genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names,Serotinous,regen_strategy
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (concolorous-leaved red bloodwoods),subser. Peltiformes ms,Corymbia collina,silver-leaved bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (1),E. collina,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia oocarpa,NA,combination resprouter,yes,yes,yes,NT,O,C,- (1),E. oocarpa,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia dichromophloia,small-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(3),"C. rubens, E. atrovirens, E. dichromophloia",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia capricornia,small-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(2),E. capricornia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia drysdalensis,silver-tipped bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,- (1),E. drysdalensis,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia umbonata,rusty bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1),"E. ollaris, E. umbonata",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia erythrophloia,red bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1),E. erythrophloia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia pocillum,red bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),E. pocillum,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia ellipsoidea,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1),"C. porphyritica, E. ellipsoidea",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia cliftoniana,Bungle Bungle bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),"E. pontis, E. cliftoniana, C. sp. Yampi Peninsula (Barrett 2280 & Start)",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia chippendalei,sandhill bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(3),E. chippendalei,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia eremaea subsp. oligocarpa,mallee bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1)m,"E. fordeana, E. nelsonii, E. polycarpa var. oligocarpa",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia eremaea subsp. eremaea,range bloodwood,combination resprouter,yes,yes,yes,"NT,SA,WA",O,C,G(3)m,"E. australis, E. symonii, E. connerensis",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,?Corymbia lenziana,narrow-leaved bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(2),"Dubious species (possibly = C. eremaea subsp. eremaea), E. lenziana",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia opaca,desert bloodwood,combination resprouter,yes,yes,yes,"NT,WA,SA",O,C,G(2),"E. centralis, E. orientalis, E. opaca",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia hamersleyana,Hamersley bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(2)m,"C. semiclara, E. bynoeana, E. hesperis, E. hamersleyana",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia terminalis,plains bloodwood,combination resprouter,yes,yes,yes,"Qld,NT,NSW,SA",O,C,G(3)m,"C. tumescens, E. terminalis",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia dampieri,pindan bloodwood,combination resprouter,yes,yes,yes,"WA,NT,Qld",O,C,- (2),"C. curtipes, C. greeniana, E. dampieri, E. blackwelliana, E. durackiana",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia byrnesii,NA,combination resprouter,yes,yes,yes,WA,O,C,-,E. byrnesii,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia foelscheana,broad-leaved bloodwood,combination resprouter,yes,yes,yes,NT,O,C,-1,E. foelscheana,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia latifolia,round-leaved bloodwood,combination resprouter,yes,yes,yes,"NT,WA,PNG,Qld,Indo?",O,C,- (1),E. latifolia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia porrecta,grey bloodwood,combination resprouter,yes,yes,yes,NT,O,C,- (1),E. porrecta,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia x semiclara,NA,combination resprouter,yes,yes,yes,WA,O,C,-,C. hamerselyana - C. opaca intergrade,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia x opacula,NA,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(1),C. capricornia - C. opaca intergrade,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia x pedimontana,NA,combination resprouter,yes,yes,yes,WA,O,C,-,C. dampieri - C. opaca intergrade,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia ferruginea subsp. ferruginea,rusty bloodwood,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(2),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia ferruginea subsp. stypophylla,rusty bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),"E. stypophylla, E. sp. HH in Brooker & Kleinig 1994",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia abbreviata,scraggy bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,- (1),E. abbreviata,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia cadophora subsp. pliantha,Ellenbrae bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (1),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia cadophora subsp. cadophora,twin-leaved bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (2),E. cadophora subsp. polychroma,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia zygophylla,Broome bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (1),E. zygophylla,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia pachycarpa,urn-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(2),"C. pachycarpa subsp. glabrescens, E. pachycarpa, E. sp. KK in Brooker & Kleinig 1994",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia sphaerica,big-fruited bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(2),E. sp. II in Brooker & Kleinig 1994,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia papillosa,Maningrida bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(2),"C. papillosa subsp. globifera, E. papillosa, E. sp. GG in Brooker & Kleinig",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia chartacea,Oenpelli bloodwood,combination resprouter,yes,yes,yes,NT,O,C,- (1),"E. chartacea, E. sp. JJ in Brooker & Kleinig 1994",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia dunlopiana,bristle-leaved bloodwood,combination resprouter,yes,yes,yes,NT,O,C,-,"E. dunlopiana, E. sp. FF in Brooker & Kleinig 1994",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia setosa subsp. pedicellaris,rough-leaved bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia setosa subsp. setosa,rough-leaved bloodwood,combination resprouter,yes,yes,yes,"NT,Qld",O,C,G(2),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia deserticola subsp. deserticola,dainty bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(3),E. desertorum D.J.Carr & S.G.S.Carr,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),NA,Corymbia deserticola subsp. mesogeotica,dainty bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(2),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia eximia,yellow bloodwood,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,E. eximia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia petalophylla,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. petalophylla,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia watsoniana,large-fruited yellowjacket,combination resprouter,yes,yes,yes,NA,NA,NA,NA,E. watsoniana,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia watsoniana subsp. capillata,large-fruited yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(2),"C. catenaria, E. watsoniana subsp. capillata",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia watsoniana subsp. watsoniana,large-fruited yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia scabrida,rough-leaved yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. scabrida,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia peltata,yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. peltata,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia dimorpha,variable-leaved yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. peltata subsp. dimorpha,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),NA,NA,NA,Corymbia leichhardtii,yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. leichhardtii,NA,epicormic lignotuber
