genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia dampieri ,pindan bloodwood,combination resprouter,yes,yes,yes,"WA,NT,Qld",O,C,- (2),"C. curtipes, C. greeniana, E. dampieri, E. blackwelliana, E. durackiana"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia byrnesii,,combination resprouter,yes,yes,yes,WA,O,C,- ,E. byrnesii 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia foelscheana ,broad-leaved bloodwood,combination resprouter,yes,yes,yes,NT,O,C,-1,E. foelscheana 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia latifolia ,round-leaved bloodwood,combination resprouter,yes,yes,yes,"NT,WA,PNG,Qld,Indo?",O,C,- (1),E. latifolia 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia porrecta ,grey bloodwood,combination resprouter,yes,yes,yes,NT,O,C,- (1),E. porrecta 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,[Corymbia x semiclara],,combination resprouter,yes,yes,yes,WA,O,C,-,C. hamerselyana - C. opaca intergrade
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,[Corymbia x opacula],,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(1),C. capricornia - C. opaca intergrade
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,[Corymbia x pedimontana],,combination resprouter,yes,yes,yes,WA,O,C,-,C. dampieri - C. opaca intergrade
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia ferruginea subsp. ferruginea ,rusty bloodwood,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(2),
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia ferruginea subsp. stypophylla ,rusty bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),"E. stypophylla, E. sp. HH in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia abbreviata ,scraggy bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,- (1),E. abbreviata 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia cadophora subsp. pliantha ,Ellenbrae bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (1),
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia cadophora subsp. cadophora ,twin-leaved bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (2),E. cadophora subsp. polychroma
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia zygophylla ,Broome bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (1),E. zygophylla 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia pachycarpa ,urn-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(2),"C. pachycarpa subsp. glabrescens, E. pachycarpa, E. sp. KK in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia sphaerica ,big-fruited bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(2),E. sp. II in Brooker & Kleinig 1994
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia papillosa ,Maningrida bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(2),"C. papillosa subsp. globifera, E. papillosa, E. sp. GG in Brooker & Kleinig "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia chartacea ,Oenpelli bloodwood,combination resprouter,yes,yes,yes,NT,O,C,- (1),"E. chartacea, E. sp. JJ in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia dunlopiana ,bristle-leaved bloodwood,combination resprouter,yes,yes,yes,NT,O,C,-,"E. dunlopiana, E. sp. FF in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia setosa subsp. pedicellaris ,rough-leaved bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1),
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia setosa subsp. setosa ,rough-leaved bloodwood,combination resprouter,yes,yes,yes,"NT,Qld",O,C,G(2),
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia deserticola subsp. deserticola,dainty bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(3),E. desertorum D.J.Carr & S.G.S.Carr
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Terminalipterae ms (juvenile-leaved red bloodwoods),,Corymbia deserticola subsp. mesogeotica ,dainty bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(2),
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia eximia ,yellow bloodwood,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,E. eximia 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia petalophylla,,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. petalophylla
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia watsoniana ,large-fruited yellowjacket,combination resprouter,yes,yes,yes,,,,,E. watsoniana 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia watsoniana subsp. capillata ,large-fruited yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(2),"C. catenaria, E. watsoniana subsp. capillata "
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia watsoniana subsp. watsoniana ,large-fruited yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia scabrida ,rough-leaved yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. scabrida
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia peltata ,yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. peltata 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia dimorpha ,variable-leaved yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. peltata subsp. dimorpha 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia leichhardtii ,yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. leichhardtii 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia bunites ,Blackdown yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. bunites 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia aureola ,coalfields yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. aureola
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia bloxsomei ,Barakula yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. bloxsomei 
Corymbia (bloodwoods),subg. Blakella,sect. Naviculares (yellow bloodwoods),,,,Corymbia leptoloma ,Paluma yellowjacket,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. leptoloma
Corymbia (bloodwoods),subg. Blakella,sect. Torellianae,,,,Corymbia torelliana,"cadagi, cadaghi",Regenerative strategy uncertain or variable,,,,Qld,O,C,G(2),E. torelliana 
Corymbia (bloodwoods),subg. Blakella,sect. Maculatae (spotted gums),,,,Corymbia citriodora ,lemon-scented gum,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. citriodora 
Corymbia (bloodwoods),subg. Blakella,sect. Maculatae (spotted gums),,,,Corymbia variegata ,northern spotted gum,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(2)m,"C. citriodora subsp. variegata, E. variegata"
Corymbia (bloodwoods),subg. Blakella,sect. Maculatae (spotted gums),,,,Corymbia maculata ,spotted gum,combination resprouter,yes,yes,yes,"NSW,Qld,Vic",O,C,G(3)m,"C. henryi, E. maculata "
Corymbia (bloodwoods),subg. Blakella,"sect. Abbreviatae (paper-fruited bloodwoods, ghost gums)",,ser. Tessellatae ms,,Corymbia tessellaris,"carbeen, Moreton Bay ash",combination resprouter,yes,yes,yes,"Qld,NSW,PNG",O,C,G(2),E. tessellaris 
Corymbia (bloodwoods),subg. Blakella,"sect. Abbreviatae (paper-fruited bloodwoods, ghost gums)",,ser. Tessellatae ms,,Corymbia papuana ,ghost gum,combination resprouter,yes,yes,yes,"PNG,Qld,Indo",O,C,G(1) ,"C. paracolpica, E. papuana"
Corymbia (bloodwoods),subg. Blakella,"sect. Abbreviatae (paper-fruited bloodwoods, ghost gums)",,ser. Tessellatae ms,,?Corymbia arafurica ,Darwin ghost gum,combination resprouter,yes,yes,yes,NT,O,C,G(1),Dubious species (possibly = C. papuana)
Corymbia (bloodwoods),subg. Blakella,"sect. Abbreviatae (paper-fruited bloodwoods, ghost gums)",,ser. Tessellatae ms,,Corymbia bella ,weeping ghost gum,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(2),"E. bella, E. sp. AA in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Blakella,"sect. Abbreviatae (paper-fruited bloodwoods, ghost gums)",,ser. Scutiformes ms,,Corymbia torta ,Kimberley ghost gum,combination resprouter,yes,yes,yes,WA,O,C,-,"C. torta subsp. allanii, C. torta subsp. mixtifolia"
