room temp,air humidity,material,species,rep#,max_temp (C),point_burning_time (s),time to edge (s),RoS (cm/s),bulk density (g/cm3),packing ratio,total mass before (g),total mass after (g),fuel consumption (%),FMC%,%N leaves,%C leaves,%P leaves
19.8,70.7,dried,Mac_com,3,678.54,287.0,77.00,0.162,0.04167685,,61.39,1.551,97.47352989,6.940451745,1.533784266,51.25429543,0.068746991
23.1,65.3,dried,Mac_com,4,703.78,309.4,96.00,0.130,0.04040733,,59.52,,,7.412444747,,,
23.9,71.2,dried,Mac_com,5,637.96,351.0,92.00,0.136,0.04046843,,59.61,,,6.258064516,,,
20.9,73.1,dried,Per_lev,1,692.16,262.4,64.00,0.195,0.03496945,,51.51,3.423,93.35468841,5.354200988,0.810504073,47.81341242,0.033258172
22,57.8,dried,Per_lev,2,561.22,279.8,74.00,0.169,0.03379498,,49.78,3.047,93.8790679,5.239687848,0.860805019,50.33632364,0.032874424
21.7,59.6,dried,Per_lev,3,616.80,244.2,55.00,0.227,0.03480652,,51.27,4.047,92.10649503,5.931586608,0.852525652,48.35228204,0.031262361
22.1,69.1,dried,San_acu,1,660.74,954.6,265.00,0.047,0.07765105,,114.38,18.754,83.60377688,6.204620462,0.939016534,45.89047295,0.056530707
20.2,70,dried,San_acu,2,652.76,936.0,315.00,0.040,0.07549898,,111.21,22.92,79.3903426,5.129982669,0.988899787,47.90820938,0.060261856
21.5,57.4,dried,San_acu,3,600.98,1021.6,237.00,0.053,0.07904277,,116.43,20.81,82.12659967,6.240928882,0.985279458,45.97870111,0.057259975
23,65.4,dried,Syn_glan,1,556.52,145.6,76.00,0.164,0.01749491,,25.77,2.788,89.18121847,8.328826393,2.031064438,48.38877022,0.110011643
20.8,64.8,dried,Syn_glan,2,556.60,140.6,105.00,0.119,0.01763747,,25.98,3.423,86.82448037,7.297297297,1.924232037,47.91081006,0.103928029
21.3,56.9,dried,Syn_glan,3,646.48,147.8,60.00,0.208,0.01845214,,27.18,2.796,89.71302428,7.56302521,1.947370114,46.70303614,0.113892836
18.6,81.2,dried,Syn_glan,4,620.06,126.6,82.00,0.152,0.01788866,,26.35,,,7.184058731,,,
22.4,74.5,dried,Syn_glan,5,530.40,127.6,89.00,0.140,0.01672777,,24.64,,,7.379767828,,,
22,59.8,dried,Syn_glan,6,525.68,130.6,95.00,0.132,0.01660557,,24.46,,,7.471698113,,,
22.7,64.4,dried,Syn_glo,1,664.18,214.2,65.00,0.192,0.02858113,,42.1,3.584,91.48693587,7.520891365,1.058398308,51.01846236,0.044156418
20.7,66.4,dried,Syn_glo,2,644.68,198.6,60.00,0.208,0.02926001,,43.1,4.105,90.47563805,6.923076923,1.104860644,51.54255798,0.044297262
21.3,58.1,dried,Syn_glo,3,731.92,218.0,56.00,0.223,0.02879837,,42.42,3.234,92.37623762,8.416833667,0.934417853,51.33972363,0.041282353
22.1,67.3,dried,Syn_glo,4,656.44,212.4,27.00,0.463,0.02828242,,41.66,,,7.973421927,,,
22.8,65.4,dried,Tri_sca,1,520.96,72.8,41.00,0.305,0.01043449,,15.37,2.746,82.13402733,5.926916221,0.584148923,44.76343127,0.029983292
22.1,57.2,dried,Tri_sca,2,528.66,79.4,32.00,0.391,0.01378819,,20.31,2.359,88.385032,5.459508644,0.592674734,45.3992389,0.035117978
17.3,81.1,dried,Tri_sca,3,534.20,79.8,49.00,0.255,0.01048880,,15.45,2.752,82.18770227,6.912621359,0.635338992,44.75636897,0.033749736
22.3,65.2,dried,Tri_sca,4,324.64,66.8,27.00,0.463,0.00967413,,14.25,,,7.355595668,,,
25.1,68.6,dried,Tri_sca,5,488.96,79.4,35.00,0.357,0.01006110,,14.82,,,5.728607232,,,
,,senes,sAca_dor,1,654.72,270.8,75.00,0.167,0.03249151,,47.86,2.761,94.23109068,7.730337079,1.466073491,51.9814099,0.032844407
,,senes,sAca_dor,2,660.32,283.6,75.00,0.167,0.03433809,,50.58,2.953,94.161724,7.070707071,1.307282338,52.66423201,0.018766639
,,senes,sAca_dor,4,671.68,400.0,86.00,0.145,0.04556687,,67.12,,,5.987688864,1.130815403,51.77701132,0.020496256
,,senes,sAca_dor,6,598.46,486.6,101.00,0.124,0.04602851,,67.8,6.445,90.49410029,6.522737712,1.545221081,52.17154132,0.036550103
,,senes,sAca_dor,7,628.76,348.0,75.00,0.167,0.03838425,,56.54,3.356,94.0643792,5.720492397,1.230920996,51.463509,0.022843884
,,senes,sAllocas,1,565.26,116.0,28.00,0.446,0.01628649,,23.99,1.126,95.30637766,7.571801567,1.144701641,50.99189998,0.022494856
,,senes,sAllocas,2,635.20,108.2,27.00,0.463,0.01636117,,24.1,1.704,92.92946058,6.435285611,1.13424452,50.5058951,0.015229807
,,senes,sAllocas,3,641.52,161.8,29.00,0.431,0.01980991,,29.18,1.498,94.86634681,7.014492754,1.092772935,50.16571226,0.014255562
,,senes,sAllocas,4,615.46,134.0,23.00,0.543,0.01691785,,24.92,,,7.729083665,1.111202971,50.91470908,0.015539986
,,senes,sAllocas,5,595.56,137.8,31.00,0.403,0.01633401,,24.06,,,8.096280088,1.07919031,50.57204591,0.015778418
,,senes,sBra_pop,1,546.70,84.8,38.00,0.329,0.01274270,,18.77,1.963,89.54182206,7.502863688,1.109617336,48.36861976,0.030153238
,,senes,sBra_pop,2,610.84,88.6,39.00,0.321,0.01315003,,19.37,1.96,89.88125968,7.865853659,1.219035149,49.07660538,0.032959174
,,senes,sBra_pop,3,708.70,91.8,38.00,0.329,0.01384250,,20.39,2.161,89.40166748,6.166783462,1.119512118,48.44288746,0.030831671
,,senes,sBra_pop,6,678.70,88.2,40.00,0.313,0.01255940,,18.5,1.614,91.27567568,8.285714286,1.163520714,48.09780483,0.062272847
,,senes,sBra_pop,7,551.88,96.4,36.00,0.347,0.01272234,,18.74,1.447,92.27854856,7.109375,0.829476954,48.92365295,0.020788779
,,senes,sBra_pop,8,653.98,96.0,46.00,0.272,0.01304141,,19.21,1.899,90.11452369,6.878761823,1.127726827,48.99402626,0.045227537
,,senes,sEuc_int,1,687.72,360.0,105.00,0.119,0.04276986,,63,6.794,89.21587302,5.323679727,1.038833681,50.3258302,0.049351863
,,senes,sEuc_int,2,697.82,340.0,99.00,0.126,0.04530210,,66.73,7.262,89.11733853,6.693711968,0.958687793,51.04260786,0.038475073
,,senes,sEuc_int,6,637.96,496.8,123.00,0.102,0.04258656,,62.73,5.797,90.75880759,6.284760845,1.42297919,51.1065205,0.068901988
,,senes,sGei_par,1,618.70,418.0,109.00,0.115,0.04316361,,63.58,9.346,85.30040893,7.685551164,1.246600026,45.22559188,0.05923772
,,senes,sGei_par,2,642.00,296.0,96.00,0.130,0.03980991,,58.64,11.399,80.56105048,7.706422018,1.392237535,47.33324252,0.068901988
,,senes,sGei_par,3,635.12,410.2,105.00,0.119,0.03941616,,58.06,9.605,83.45676886,6.397984887,1.197950988,45.35250025,0.056248985
,,senes,sGei_par,4,566.74,359.2,98.00,0.128,0.03724372,,54.86,,,6.41093011,1.245393344,45.37570584,0.056493482
,,senes,sGei_par,5,617.02,337.2,119.00,0.105,0.03763069,,55.43,,,6.415739949,1.335322232,44.72170637,0.055306152
,,senes,sHak_tep,1,739.18,1086.2,127.00,0.098,0.09184657,,135.29,8.471,93.73863552,6.84588934,0.812300155,50.09178871,0.014873554
,,senes,sHak_tep,2,718.66,1393.4,169.00,0.074,0.09816701,,144.6,7.645,94.71300138,7.831562377,0.776896743,51.01491994,0.015589831
,,senes,sHak_tep,3,714.14,1066.6,166.00,0.075,0.09310930,,137.15,8.648,93.69449508,6.362773029,0.746614053,49.14155728,0.014548281
,,senes,sLas_fer,1,627.08,132.4,57.00,0.219,0.02004752,,29.53,1.491,94.95089739,7.781236105,1.061742057,49.49382906,0.031732207
,,senes,sLas_fer,2,641.48,135.0,51.00,0.245,0.01963340,,28.92,1.847,93.61341632,7.577639752,0.750668396,49.593934,0.01835894
,,senes,sLas_fer,3,658.54,143.2,41.00,0.305,0.01945010,,28.65,1.338,95.32984293,8.310700706,0.940315058,49.10185042,0.025414162
,,senes,sLas_fer,4,669.22,143.6,54.00,0.231,0.01932790,,28.47,,,8.544652701,0.846304668,50.5375166,0.022957713
,,senes,sLas_fer,5,612.40,126.4,48.00,0.260,0.01927359,,28.39,,,6.96485623,0.992763111,50.87204088,0.028991561
,,senes,sMac_com,1,614.30,278.8,81.00,0.154,0.03757637,,55.35,3.232,94.16079494,9.059405941,1.305206181,53.2817112,0.027691067
,,senes,sMac_com,2,708.56,266.4,106.00,0.118,0.03792261,,55.86,2.174,96.10812746,9.28442029,1.288829046,53.70616028,0.028642965
,,senes,sMac_com,3,612.12,314.2,85.00,0.147,0.03879158,,57.14,1.922,96.63633182,9.404388715,1.236051319,54.23599609,0.032699699
,,senes,sMac_com,4,714.32,258.0,92.00,0.136,0.03858113,,56.83,,,7.937841243,1.385770667,53.27720031,0.027575359
,,senes,sMac_com,5,685.86,324.4,80.00,0.156,0.03852003,,56.74,,,9.192200557,1.233309955,53.53085229,0.03250303
,,senes,sSan_acu,1,715.42,907.4,217.00,0.058,0.08204345,,120.85,11.142,90.78030616,6.976744186,0.748657319,48.71598914,0.020460751
,,senes,sSan_acu,2,612.84,643.0,197.00,0.063,0.05993211,,88.28,9.513,89.22405981,7.229580574,0.808938314,47.51794947,0.023212123
,,senes,sSyn_glo,1,712.38,141.8,30.00,0.417,0.02104549,,31,,,6.666666667,0.718333766,51.14760627,0.021433059
,,senes,sSyn_glo,2,662.02,138.0,28.00,0.446,0.02151392,,31.69,,,8.210751538,0.527744027,53.58703721,0.018296478
,,senes,sSyn_glo,3,722.72,149.8,35.00,0.357,0.02203666,,32.46,2.591,92.01786815,8.188206538,0.554479382,53.59236002,0.01217357
,,senes,sSyn_glo,4,724.70,145.4,37.00,0.338,0.02415479,,35.58,1.907,94.64024733,7.890271493,0.577857833,53.06671399,0.01411272
,,senes,sSyn_glo,5,667.08,123.0,34.00,0.368,0.02038018,,30.02,2.449,91.84210526,7.950963222,0.5598067,53.83248613,0.014634196
