Species,Population,Temp,CO2,Genotype,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Tleaf (deg C),TBlk (deg C),CO2R (umol mol-1),CO2S (umol mol-1),CiCa (ratio)
Waratah,Coastal,Elv,640,BWK219T5,62,11.6,0.0811,618,2.23,2.76,31.03,31.8,901.82,885.55,0.697871379
Waratah,Coastal,Elv,640,BWK219T5,62,13.1,0.0755,845,2.36,3.12,32.3,31.79,1200.99,1181.86,0.714974701
Waratah,Coastal,Elv,640,BWK219T5,62,14.4,0.0673,1.06E+03,2.21,3.27,32.9,31.8,1499.96,1478.75,0.71682164
Waratah,Coastal,Elv,640,BWK219T5,62,14.1,0.0643,1.24E+03,2.04,3.17,31.72,31.81,1695.43,1674.41,0.740559361
Waratah,Coastal,Elv,640,BWK219T5,62,14.3,0.0596,1.18E+03,2.04,3.4,32.63,31.79,1672.48,1651.33,0.714575524
Waratah,Coastal,Elv,640,BWK219T7,94,-0.691206065,0.075971474,63.60344826,2.094610171,2.750080333,31.68596649,32.07271576,50.6840744,51.32563782,1.239213987
Waratah,Coastal,Elv,640,BWK219T7,94,0.296353498,0.080889429,89.14828477,2.251590653,2.779718427,31.81233597,32.06994247,100.0091705,99.43743896,0.896526356
Waratah,Coastal,Elv,640,BWK219T7,94,2.377114856,0.076583536,137.9927376,2.185618303,2.847792346,31.74171829,32.06473541,199.6060028,196.5214081,0.702176617
Waratah,Coastal,Elv,640,BWK219T7,94,4.345357157,0.079590902,194.3492216,2.123181119,2.670576938,30.52849388,32.0684166,299.7727966,294.3095398,0.660356514
Waratah,Coastal,Elv,640,BWK219T7,94,6.391927139,0.067382817,222.9750419,2.024727933,2.99422982,31.42964363,32.07253265,400.5913391,392.6918335,0.567811762
Waratah,Coastal,Elv,640,BWK219T7,94,9.825502572,0.06801141,368.5836869,1.990925215,2.917923864,31.25052261,32.07307053,640.086731,627.9136963,0.586997368
Waratah,Coastal,Elv,640,BWK219T7,94,11.7789684,0.062964974,545.5273174,1.934419863,3.054824199,31.82071877,32.07077789,900.7473145,885.9180908,0.615776247
Waratah,Coastal,Elv,640,BWK219T7,94,13.7671079,0.060982578,766.5382417,1.877442776,3.059733102,31.78925896,32.07014084,1200.310059,1182.739014,0.648104301
Waratah,Coastal,Elv,640,BWK219T7,94,14.84021619,0.056356868,991.6462874,1.709233817,3.012692096,31.45173454,32.08139801,1499.633789,1480.541382,0.669786268
Waratah,Coastal,Elv,640,BWK219T7,94,14.6043041,0.055743908,1186.491385,1.648081335,2.938136242,31.12758636,32.0721283,1700.19165,1681.096436,0.705784249
Waratah,Coastal,Elv,640,BWK219T7,94,15.60153754,0.054602859,1433.05223,1.597933313,2.907939256,30.95145226,32.07168579,1998.907104,1978.287964,0.724390107
Waratah,Coastal,Amb,400,BWK222T6,357,-0.654151866,0.114996555,58.10405011,2.013905281,1.783326743,27.68084335,28.12103081,49.59388351,50.25778198,1.156120462
Waratah,Coastal,Amb,400,BWK222T6,357,0.742238859,0.110648292,85.46306801,1.930485264,1.774603192,27.49975204,28.12141609,100.3387985,99.21776581,0.8613686
Waratah,Coastal,Amb,400,BWK222T6,357,3.215927026,0.108713273,141.6439497,1.903616911,1.778472418,27.79947281,28.12082481,199.7094727,195.4022827,0.724883802
Waratah,Coastal,Amb,400,BWK222T6,357,5.853262634,0.105460847,193.7671323,1.803639805,1.736582878,27.39735413,28.12176704,299.9161987,292.2546997,0.663007755
Waratah,Coastal,Amb,400,BWK222T6,357,8.218590379,0.101496164,246.7268915,1.713439733,1.712717326,27.1196537,28.12454414,399.7692566,389.1004333,0.634095648
Waratah,Coastal,Amb,400,BWK222T6,357,12.17709793,0.096903283,404.0392488,1.626104498,1.700400947,26.9221077,28.12601471,641.0317383,625.1939087,0.646262293
Waratah,Coastal,Amb,400,BWK222T6,357,14.46080696,0.093923758,608.0390466,1.566164561,1.688387624,26.75310326,28.12761307,900.8075562,881.7930298,0.689548484
Waratah,Coastal,Amb,400,BWK222T6,357,15.49653917,0.091227824,873.1321059,1.515682524,1.68136763,26.60178757,28.12874031,1201.18811,1180.439331,0.739667074
Waratah,Coastal,Amb,400,BWK222T6,357,16.54512791,0.090200855,1139.978233,1.527724743,1.713185411,26.74511909,28.13397217,1500.439819,1477.875488,0.77136284
Waratah,Coastal,Amb,400,BWK222T6,357,16.62228345,0.083427081,1308.250124,1.401634022,1.69560754,26.75594139,28.12985992,1698.953857,1676.179199,0.780495382
Waratah,Coastal,Amb,400,BWK222T6,357,16.48404939,0.081924051,1598.370175,1.358261514,1.673351287,26.49459076,28.13559723,1999.886475,1976.851807,0.808543245
Waratah,Coastal,Elv,640,BWK222T7,358,-0.68432081,0.028624963,85.04233402,1.064424648,3.652599813,33.03063965,32.07120514,49.7737999,50.52975082,1.683015108
Waratah,Coastal,Elv,640,BWK222T7,358,0.152168895,0.032618745,88.00922255,1.150943844,3.469303965,32.87878418,32.06914139,101.2543335,100.9326096,0.871960241
Waratah,Coastal,Elv,640,BWK222T7,358,0.98021958,0.026442267,128.8731035,0.935133007,3.469188668,32.94901276,32.0706749,199.3765411,197.9792938,0.650942334
Waratah,Coastal,Elv,640,BWK222T7,358,1.913392886,0.02247905,147.7720275,0.774903405,3.375469091,32.80298233,32.07145309,299.8110046,297.2409973,0.497145511
Waratah,Coastal,Elv,640,BWK222T7,358,2.880044195,0.019480302,143.8809932,0.664908678,3.336288922,32.97252274,32.06805801,400.4368896,396.6674194,0.362724504
Waratah,Coastal,Elv,640,BWK222T7,358,3.716611397,0.014886332,211.3106957,0.511747678,3.355115912,32.96881104,32.06715775,640.8217163,635.9755249,0.332262308
Waratah,Coastal,Elv,640,BWK222T7,358,5.323955326,0.013986119,252.6964369,0.434232168,3.037107633,31.45184326,32.0698204,899.7421265,892.8946533,0.28300812
Waratah,Coastal,Elv,640,BWK222T7,358,6.707123369,0.01442376,400.2952145,0.50276913,3.408827273,32.28678513,32.07211685,1200.899292,1192.138062,0.335779242
Waratah,Coastal,Elv,640,BWK222T7,358,7.785396475,0.011964005,392.2139428,0.420545869,3.434598818,32.30484009,32.06732941,1500.358398,1490.273438,0.263182536
Waratah,Coastal,Elv,640,BWK222T7,358,9.040012174,0.010364598,235.4672885,0.362900654,3.41717752,32.47423553,32.07159042,1701.010376,1689.436157,0.139376257
Waratah,Coastal,Elv,640,BWK222T7,358,9.512652873,0.009968446,390.3603603,0.343095902,3.356408161,32.5782814,32.07027054,1999.684692,1987.460449,0.196411637
Waratah,Coastal,Elv,640,BWK222T7,358,-0.555850371,0.031665809,74.70204253,1.186748999,3.674079008,34.65577698,32.06699371,49.53127289,50.12638855,1.49027378
Waratah,Coastal,Elv,640,BWK222T7,358,-0.125064808,0.028726528,101.577011,1.100859153,3.752429496,34.88271332,32.06766129,100.7923965,100.809288,1.007615597
Waratah,Coastal,Elv,640,BWK222T7,358,0.886180659,0.022308108,123.553862,0.966786673,4.223514739,36.31196594,32.06639481,200.0847168,198.7917023,0.621524241
Waratah,Coastal,Elv,640,BWK222T7,358,2.18388868,0.019974106,107.1831783,0.869075319,4.238679524,36.25748825,32.06753159,300.268158,297.3397217,0.360473796
Waratah,Coastal,Elv,640,BWK222T7,358,2.740508571,0.023456469,192.454854,0.793002007,3.313202862,33.17258453,32.06938553,400.421875,396.759491,0.485066793
Waratah,Coastal,Elv,640,BWK222T7,358,4.518260956,0.019768247,242.5928872,0.672967554,3.333234429,33.1114502,32.06971359,640.4291992,634.5003052,0.382336912
Waratah,Coastal,Elv,640,BWK222T7,358,6.198133306,0.016319839,250.1897082,0.568296117,3.40447077,33.30701447,32.06948471,900.8831787,892.8450317,0.280216274
Waratah,Coastal,Elv,640,BWK222T7,358,7.507155852,0.012131279,152.5453146,0.505671727,4.055855759,35.41117096,32.06891251,1200.986328,1191.264404,0.12805328
Waratah,Coastal,Elv,640,BWK222T7,358,8.420006139,0.014158006,483.1183289,0.460360261,3.180160592,32.40869522,32.07255554,1501.19812,1490.279785,0.324179616
Waratah,Coastal,Elv,640,BWK222T7,358,9.052883707,0.011269117,337.443913,0.432996733,3.744034597,34.30137634,32.07053375,1701.402344,1689.670532,0.199709888
Waratah,Coastal,Elv,640,BWK222T7,358,10.563583,0.01109775,388.9818013,0.39998528,3.516597878,33.46095276,32.07334518,1999.383667,1985.766602,0.195884955
Waratah,Coastal,Amb,400,BWK225T8,84,-0.451638554,0.076620785,58.6296916,1.617428272,2.114602153,28.66741943,28.12215805,50.47898865,50.88542175,1.152190344
Waratah,Coastal,Amb,400,BWK225T8,84,0.428544495,0.077838215,87.96453971,1.569465206,2.018983722,28.77769852,28.11995888,100.7089996,100.0644379,0.879078937
Waratah,Coastal,Amb,400,BWK225T8,84,2.806464571,0.078229836,133.724007,1.516899233,1.939749569,28.92863846,28.11638451,201.0522614,197.6326599,0.676629091
Waratah,Coastal,Amb,400,BWK225T8,84,4.552268092,0.079248409,193.3136067,1.536535047,1.939175429,29.11576271,28.11562729,300.5131836,295.0031433,0.655293379
Waratah,Coastal,Amb,400,BWK225T8,84,5.982069839,0.079130633,257.2458569,1.646955576,2.081885945,29.33504105,28.11461258,399.2205811,391.928772,0.656358694
Waratah,Coastal,Amb,400,BWK225T8,84,10.60973448,0.072378619,370.8620844,1.5796995,2.177437358,29.53404808,28.1126194,640.7121582,627.9442139,0.590597184
Waratah,Coastal,Amb,400,BWK225T8,84,12.50346487,0.064141051,545.3488076,1.229218701,1.911565355,27.5956192,28.11352539,900.1303101,885.1724243,0.616093309
Waratah,Coastal,Amb,400,BWK225T8,84,15.48209929,0.059220704,721.0696353,1.378357121,2.317402921,28.52163696,28.11803246,1201.157349,1182.319336,0.609877225
Waratah,Coastal,Amb,400,BWK225T8,84,16.83660523,0.051767608,900.4165968,1.35721666,2.604548994,29.39466858,28.1157341,1499.694092,1478.958618,0.608817979
Waratah,Coastal,Amb,400,BWK225T8,84,17.29644986,0.044060321,982.9186514,1.206797601,2.712054223,29.80896187,28.11449242,1699.045898,1677.783813,0.585843446
Waratah,Coastal,Amb,400,BWK225T8,84,17.2685621,0.038887978,1198.753759,0.9428664,2.401975512,28.11661911,28.12014008,2000.357056,1979.294922,0.605646862
Waratah,Coastal,Elv,640,BWK235T5,53,-0.589485488,0.026349896,82.92668762,0.906104905,3.37850552,32.5054512,32.07656479,49.97046661,50.56791306,1.639907258
Waratah,Coastal,Elv,640,BWK235T5,53,0.09854783,0.027799326,88.86473115,0.944235363,3.335805316,32.77873611,32.07426834,99.95757294,99.74578094,0.89091218
Waratah,Coastal,Elv,640,BWK235T5,53,1.253492494,0.027168464,116.6825653,0.899176207,3.245551408,33.0867691,32.07226181,201.0743103,199.4995117,0.584876446
Waratah,Coastal,Elv,640,BWK235T5,53,2.668242073,0.027246755,127.6224568,0.893928425,3.213804435,33.38840485,32.06995773,299.9502869,296.7260742,0.430101929
Waratah,Coastal,Elv,640,BWK235T5,53,3.971902881,0.025912283,135.5616454,0.767713364,2.908560437,31.81942558,32.07406235,399.9640198,395.2652283,0.342963751
Waratah,Coastal,Elv,640,BWK235T5,53,6.868094938,0.025898547,183.9315961,0.851857624,3.225590928,32.69282532,32.0717392,641.1072388,632.9660034,0.290586848
Waratah,Coastal,Elv,640,BWK235T5,53,8.765845813,0.024255192,276.0540144,0.808999996,3.266714426,33.01556015,32.05327988,899.9577637,889.5328369,0.310335946
Waratah,Coastal,Elv,640,BWK235T5,53,11.26747302,0.022383006,334.7182503,0.767557797,3.36404497,32.29839325,32.07519531,1200.592285,1187.20752,0.281937441
Waratah,Coastal,Elv,640,BWK235T5,53,12.88735102,0.020549597,419.5489309,0.742847531,3.540013052,33.0032196,32.07084656,1499.478027,1484.102661,0.282695357
Waratah,Coastal,Elv,640,BWK235T5,53,13.77404132,0.018995784,460.7079244,0.632821579,3.268471223,31.61766624,32.07568741,1700.838989,1684.529053,0.273493606
Waratah,Coastal,Elv,640,BWK235T5,53,15.5794042,0.017582857,485.2003333,0.641952503,3.576568046,32.52374649,32.07197189,2000.8125,1982.292236,0.244767307
Waratah,Coastal,Amb,640,BWK236T2,199,-0.634332434,0.112204499,58.04082704,2.527772169,2.286970565,28.13269997,28.11629677,50.10821152,50.71583939,1.144431952
Waratah,Coastal,Amb,640,BWK236T2,199,0.715337041,0.130951358,87.41810572,3.021278166,2.355139236,28.85679817,28.11529732,101.3228836,100.1011353,0.873297845
Waratah,Coastal,Amb,640,BWK236T2,199,2.701273903,0.090467186,141.0602181,1.950081791,2.176384799,27.12941551,28.11705399,199.8138123,196.1109009,0.719288002
Waratah,Coastal,Amb,640,BWK236T2,199,4.507024326,0.083720372,196.4360088,2.082390553,2.501321138,28.48695564,28.11712456,300.9144287,294.7658997,0.666413615
Waratah,Coastal,Amb,640,BWK236T2,199,5.010192919,0.057193511,236.6877209,1.496067078,2.603989356,29.07575417,28.11425781,399.3829041,392.6629028,0.602775865
Waratah,Coastal,Amb,640,BWK236T2,199,7.620704617,0.042947113,325.32966,0.969187324,2.241694746,27.14017677,28.12026215,640.2793579,630.3937988,0.5160737
Waratah,Coastal,Amb,640,BWK236T2,199,10.29552646,0.044351839,481.193133,1.164832192,2.607366186,28.36420441,28.11723328,900.2972412,886.6972046,0.542680332
Waratah,Coastal,Amb,640,BWK236T2,199,10.09091557,0.02782463,562.4923261,0.760041082,2.694391057,28.78615189,28.11654091,1199.349854,1186.150635,0.474216604
Waratah,Coastal,Amb,640,BWK236T2,199,11.50279929,0.025575541,710.8427328,0.690102406,2.657327817,28.97632599,28.11560059,1498.777344,1483.742432,0.479087689
Waratah,Coastal,Amb,640,BWK236T2,199,12.02789624,0.02335467,800.394005,0.623842584,2.626789213,29.19252586,28.11433029,1699.379639,1683.669312,0.475386704
Waratah,Coastal,Amb,640,BWK236T2,199,11.69153845,0.019750905,977.6359129,0.462026502,2.303240585,27.3843689,28.11922455,2001.329224,1986.190796,0.492216516
Waratah,Coastal,Amb,640,BWK236T2,199,-1.333769983,0.101901446,72.34316344,2.026609001,2.007254082,29.39123154,28.09154129,51.33991241,52.81005096,1.369874903
Waratah,Coastal,Amb,640,BWK236T2,199,0.466862997,0.150340644,89.38562333,3.100795595,2.111672717,30.28359222,28.08924103,98.73100281,97.80814362,0.913887331
Waratah,Coastal,Amb,640,BWK236T2,199,3.061668992,0.106084091,141.1823885,2.373301718,2.25626651,30.72135925,28.08515549,199.270462,195.0466919,0.723838928
Waratah,Coastal,Amb,640,BWK236T2,199,4.796306154,0.078400338,183.3602192,1.844836679,2.351378021,30.77357292,28.08440208,299.1259766,292.7314758,0.626376848
Waratah,Coastal,Amb,640,BWK236T2,199,6.505972397,0.064821629,215.3268745,1.606067505,2.464556798,30.92551994,28.08480072,399.8616638,391.312439,0.550268412
Waratah,Coastal,Amb,640,BWK236T2,199,8.847039457,0.04441993,285.8729509,1.162233969,2.584387596,31.20365334,28.08115005,639.6762085,628.1992798,0.455067301
Waratah,Coastal,Amb,640,BWK236T2,199,10.50461419,0.031208901,317.7022432,0.788894307,2.483229614,31.24622536,28.08650589,899.3088379,885.8823853,0.358628017
Waratah,Coastal,Amb,640,BWK236T2,199,11.19269394,0.026706346,478.8965385,0.667253994,2.4510728,31.08273315,28.08910179,1202.817505,1188.454834,0.402957289
Waratah,Coastal,Amb,640,BWK236T2,199,13.61348285,0.025935666,568.9541693,0.658876728,2.495939346,30.4818306,28.08795166,1474.310059,1456.845215,0.390538517
Waratah,Coastal,Amb,640,BWK236T2,199,13.78434165,0.025981758,574.7017494,0.648707798,2.455132065,30.04465103,28.0893383,1489.067871,1471.403564,0.390580642
Waratah,Coastal,Amb,640,BWK236T2,199,14.00311412,0.026165808,582.8800314,0.637620195,2.398313099,29.57966614,28.08896446,1504.483032,1486.566162,0.392098277
Waratah,Coastal,Amb,640,BWK236T4,196,-0.815,0.167,56.9,3.6,2.23,29.02,27.9,49.91,50.68,1.12273086
Waratah,Coastal,Amb,640,BWK236T4,196,0.202,0.126,94.1,3.03,2.45,29.5,27.89,101.24,100.63,0.935108814
Waratah,Coastal,Amb,640,BWK236T4,196,2.59,0.104,149,2.62,2.54,29.78,27.89,200.7,196.97,0.756460375
Waratah,Coastal,Amb,640,BWK236T4,196,4.64,0.0862,195,2.25,2.61,29.95,27.89,300.35,293.99,0.663287867
Waratah,Coastal,Amb,640,BWK236T4,196,6.2,0.0738,241,1.98,2.68,29.99,27.89,400.91,392.53,0.613965812
Waratah,Coastal,Amb,640,BWK236T4,196,9.08,0.0589,355,1.66,2.8,30.26,27.89,640.73,628.58,0.564765026
Waratah,Coastal,Amb,640,BWK236T4,196,11.3,0.0465,458,1.34,2.85,30.32,27.89,899.41,884.39,0.517871075
Waratah,Coastal,Amb,640,BWK236T4,196,13.2,0.0433,647,1.2,2.74,29.62,27.89,1200.31,1182.75,0.547030226
Waratah,Coastal,Amb,640,BWK236T4,196,14.1,0.0401,860,1.1,2.71,29.21,27.89,1500.87,1481.95,0.580316475
Waratah,Coastal,Amb,640,BWK236T4,196,14.9,0.0388,1.00E+03,1.05,2.67,28.8,27.89,1702.06,1682.03,0.594519717
Waratah,Coastal,Amb,640,BWK236T4,196,14.1,0.0376,1.06E+03,0.999,2.62,28.31,27.9,1748.45,1729.5,0.6128939
Waratah,Coastal,Elv,640,BWK236T5,191,-0.521422735,0.031357472,73.64756737,0.970629402,3.049089885,32.19256592,32.02385712,49.31067276,49.878479,1.476539959
Waratah,Coastal,Elv,640,BWK236T5,191,0.023575123,0.03658477,94.06081762,1.10626477,2.980646569,32.46466446,32.0207634,100.0065918,99.84570313,0.942061748
Waratah,Coastal,Elv,640,BWK236T5,191,1.327585816,0.03850515,134.6715054,1.16846302,2.990447097,32.76826096,32.01879501,200.5351868,198.6630859,0.677888923
Waratah,Coastal,Elv,640,BWK236T5,191,2.704067425,0.040778446,178.8911176,1.116303465,2.710265085,30.74893188,32.02272415,300.4844055,296.8399963,0.602651664
Waratah,Coastal,Elv,640,BWK236T5,191,4.164642465,0.039953003,210.5852128,1.273866017,3.150153728,32.19288254,32.02050018,400.6117859,395.0090027,0.53311497
Waratah,Coastal,Elv,640,BWK236T5,191,6.463974835,0.034694244,307.5067532,1.004162733,2.860596919,30.79907227,32.01177597,639.196106,630.6755371,0.487583131
Waratah,Coastal,Elv,640,BWK236T5,191,9.071813481,0.035578333,440.465644,1.151701724,3.198114797,31.59799576,32.02260971,899.6904297,887.5728149,0.496258602
Waratah,Coastal,Elv,640,BWK236T5,191,11.10865517,0.030786411,553.3595958,1.080091007,3.455528721,32.53973007,32.02000427,1200.174072,1185.297363,0.466852971
Waratah,Coastal,Elv,640,BWK236T5,191,12.01236715,0.029442325,769.6974427,0.91702144,3.075256601,30.73377228,32.0243988,1501.02124,1484.964966,0.518327005
Waratah,Coastal,Elv,640,BWK236T5,191,13.03830854,0.027177429,839.4312511,0.940426832,3.40541019,32.18426132,32.02187347,1701.289429,1683.737305,0.498552386
Waratah,Coastal,Elv,640,BWK236T5,191,12.86952404,0.024148111,1051.958071,0.712437503,2.908988457,30.12010384,32.02354431,2000.173218,1983.026245,0.530481164
Waratah,Coastal,Amb,400,BWK236T8,57,-0.419527952,0.054237982,60.19979255,0.988841758,1.820628129,27.37717628,28.11673546,48.79867172,49.24386215,1.222483167
Waratah,Coastal,Amb,400,BWK236T8,57,0.433342511,0.064800918,85.2038209,1.456908961,2.253141225,28.40401649,28.11709976,100.1938782,99.4995575,0.856323616
Waratah,Coastal,Amb,400,BWK236T8,57,2.384242783,0.058642651,124.5819146,1.357561665,2.312781811,28.99485016,28.11462975,200.023468,196.8414307,0.632904944
Waratah,Coastal,Amb,400,BWK236T8,57,4.50658931,0.060750602,164.0931621,1.379333912,2.267592404,29.26131058,28.11349869,299.3168945,293.4204407,0.559242436
