Species,Population,Temp,CO2,Potnum,Height (cm),BaseDiameter (mm),LeafNum,LeafArea (cm2),LeafSize (cm2),LMA (g m-2),LAR (m2 kg-1),LeafDW (g),StemDW (g),RootDW (g),TuberDW (g),RootShoot,Leaffrac,Stemfrac,Tuberfrac,Rootfrac,BiomassDW (g)
Waratah,Upland,Amb,400,552,9.5,5.525,28,257.074,9.181214286,93.33888297,5.247050659,2.3995,0.564,1.2837,0.6522,0.653247849,48.97538474,11.51161367,13.3118341,26.20116749,4.8994
Waratah,Upland,Amb,400,561,11.5,5.065,18,153.49,8.527222222,117.4929963,4.241812906,1.8034,0.5566,0.8614,0.3971,0.533262712,49.8383308,15.38206439,10.97416056,23.80544424,3.6185
Waratah,Upland,Amb,400,562,11,4.525,29,177.904,6.13462069,101.3130677,3.931666998,1.8024,0.4939,1.9094,0.3192,0.970517789,39.83292448,10.91515835,7.054299543,42.19761763,4.5249
Waratah,Upland,Amb,400,571,8.5,3.705,23,215.766,9.381130435,102.3840642,5.516901048,2.2091,0.5339,1.0184,0.1496,0.425811156,56.48427512,13.65124009,3.825108668,26.03937612,3.911
Waratah,Upland,Amb,400,572,13.5,5.515,32,241.627,7.55084375,103.916367,4.371519548,2.5109,0.784,2.059,0.1734,0.677531943,45.42724296,14.18414054,3.137155573,37.25146093,5.5273
Waratah,Upland,Amb,400,581,8,3.555,22,145.077,6.594409091,112.4782012,3.222859047,1.6318,0.543,1.8747,0.452,1.069845503,36.25013884,12.06264578,10.04109741,41.64611796,4.5015
Waratah,Upland,Amb,400,582,8.7,5.3,28,199.646,7.130214286,98.30900694,4.968666783,1.9627,0.5513,1.3018,0.2023,0.598289578,48.84646972,13.72041512,5.034717901,32.39839725,4.0181
Waratah,Upland,Amb,400,591,10.8,5.73,25,218.272,8.73088,108.8870767,4.209194693,2.3767,0.6984,1.3779,0.7326,0.686319144,45.83269053,13.46806541,14.12758408,26.57165998,5.1856
Waratah,Upland,Amb,400,592,11.5,3.79,37,269.922,7.295189189,98.34692985,4.823394864,2.6546,0.9773,1.497,0.4672,0.540818855,47.43660764,17.46394811,8.348671396,26.75077286,5.5961
Waratah,Coastal,Amb,640,601,16.5,4.98,18,237.462,13.19233333,118.4231582,2.721128504,2.8121,0.8046,3.1094,2.0005,1.412862554,32.22446314,9.220085715,22.9241629,35.63128825,8.7266
Waratah,Coastal,Amb,640,602,12.5,4.915,18,192.324,10.68466667,96.99777459,2.778565959,1.8655,0.4087,3.0102,1.6373,2.043575763,26.95147146,5.904618808,23.65459352,43.48931621,6.9217
Waratah,Coastal,Amb,640,611,11.5,5.095,29,476.989,16.44789655,106.0129269,4.598592432,5.0567,1.1667,2.8446,1.3045,0.666693447,48.75102434,11.24801157,12.57652446,27.42443962,10.3725
Waratah,Coastal,Amb,640,612,11,3.075,10,92.627,9.2627,72.5274488,5.595107218,0.6718,0.1786,0.6278,0.1773,0.94673095,40.57988523,10.78828149,10.70975536,37.92207792,1.6555
Waratah,Coastal,Amb,640,621,24.5,6.505,24,380.542,15.85591667,124.0336152,3.307450285,4.72,1.7263,3.5747,1.4846,0.784837814,41.0235016,15.00399805,12.90328188,31.06921847,11.5056
Waratah,Coastal,Amb,640,622,16,4.015,14,182.182,13.013,112.1790298,3.048662941,2.0437,0.5843,2.071,1.2768,1.273896499,34.19960507,9.77777034,21.36617691,34.65644767,5.9758
Waratah,Coastal,Amb,640,631,28,6.26,30,542.864,18.09546667,109.5799316,4.399364647,5.9487,1.5116,3.2622,1.6171,0.654035361,48.20820772,12.2499919,13.10496288,26.4368375,12.3396
Waratah,Coastal,Amb,640,632,16.5,4.52,27,256.682,9.506740741,85.60008103,5.023917639,2.1972,0.6473,1.5376,0.7271,0.796168044,43.0047757,12.66930243,14.23119079,30.09473107,5.1092
Waratah,Coastal,Amb,640,641,27.5,6.585,40,639.123,15.978075,92.16222855,5.552907548,5.8903,1.521,3.8475,0.2509,0.552993402,51.17683345,13.21494044,2.179900432,33.42832567,11.5097
Waratah,Coastal,Amb,640,642,15.5,4.22,20,221.131,11.05655,102.3103952,3.853664912,2.2624,0.5357,2.6799,0.2602,1.050748722,39.42699801,9.335680178,4.534523021,46.70279879,5.7382
Waratah,Upland,Amb,640,651,15.5,6.755,34,523.908,15.40905882,90.14559808,6.091386848,4.7228,1.4206,2.123,0.3344,0.400006511,54.91117105,16.51706818,3.888010418,24.68375035,8.6008
Waratah,Upland,Amb,640,652,8.5,3.485,19,191.615,10.085,97.45583592,4.892381147,1.8674,0.5043,1.2372,0.3077,0.651389299,47.67910943,12.87596385,7.856303937,31.58862279,3.9166
Waratah,Upland,Amb,640,661,11,3.73,29,106.118,3.659241379,118.396502,5.127959795,1.2564,0.2695,0.4884,0.0551,0.356183236,60.71325022,13.02309848,2.662607519,23.60104378,2.0694
Waratah,Upland,Amb,640,662,9.5,3.74,13,160.814,12.37030769,95.27155596,4.829104231,1.5321,0.31,1.1383,0.3497,0.807773736,46.0076274,9.309029759,10.50118615,34.18215669,3.3301
Waratah,Upland,Amb,640,671,13.5,5.295,25,249.42,9.9768,105.1038409,4.950872387,2.6215,0.8134,1.4363,0.1667,0.466680253,52.03557038,16.14561623,3.308918399,28.509895,5.0379
Waratah,Upland,Amb,640,672,11,5.48,47,479.671,10.20576596,91.33760432,6.781431581,4.3812,0.92,1.3941,0.378,0.334282804,61.93997144,13.00665884,5.344040264,19.70932945,7.0733
Waratah,Upland,Amb,640,681,13,5.9,35,304.759,8.7074,106.3594512,4.493909992,3.2414,0.9424,2.225,0.3728,0.620918782,47.79698006,13.89642562,5.497227793,32.80936652,6.7816
Waratah,Upland,Amb,640,682,9.5,3.67,19,197.742,10.40747368,117.6836484,2.995137911,2.3271,0.8942,2.7449,0.6359,1.049514171,35.24787568,13.54417534,9.631783826,41.57616516,6.6021
Waratah,Upland,Amb,640,691,10,6.605,20,242.769,12.13845,129.5840902,3.584311467,3.1459,0.8981,2.2867,0.4424,0.674851632,46.44697406,13.25980718,6.531721073,33.76149769,6.7731
Waratah,Upland,Amb,640,692,14,6.72,33,368.810099,10.20666667,117.1931032,3.519818469,4.3222,1.3875,3.7005,1.0679,0.8351402,41.24984491,13.24190454,10.19173323,35.31651731,10.4781
