Species,Population,Temp,CO2,Genotype,Potnum,Potnum_merged,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,7.556611091,0.064536301,421.0330755,1.504718059,2.321016714,5.5,1,31.5508709,29.70631599,32.02416992,641.1153564,631.7540894,16.95944214,18.58444786,36.62157822,40.1305542,499.8225708,201.3533936
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,4.972408752,0.060204724,479.777454,1.383371635,2.285236397,5.5,1,31.50220871,29.48139763,32.02536774,641.4271851,634.987793,16.9078064,18.40231895,36.61420822,39.85060883,499.7301025,100.8479614
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,3.14282707,0.0550583,521.5459354,1.235864691,2.229782648,5.5,1,31.4021492,29.14614105,32.02548981,639.7020874,635.3793335,16.83095932,18.1662941,36.65393066,39.5619812,499.7828979,60.90604401
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,1.453528645,0.050582392,569.0275389,1.124780463,2.206922485,5.5,1,31.34537506,28.99695969,32.02723694,639.8103027,637.4214478,16.82645035,18.04205704,36.77283859,39.42945099,499.7240601,30.97500229
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,-0.653662031,0.046125553,639.5326814,1.066957523,2.291049511,5.5,1,31.48442078,29.36785316,32.03065109,640.5928345,640.5600586,16.92169952,18.07444572,36.68440247,39.18342972,499.8672485,0.21566397
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,6.783910817,0.058232789,184.9897441,2.009783863,3.47026638,6,1,28.32790947,28.49892998,28.12278366,399.9212341,390.8343506,1.93098557,4.333227158,5.02721405,11.2813158,499.8019409,998.7408447
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,7.007823163,0.065397409,198.0497517,2.295134314,3.531524143,6,1,28.48738289,29.39547157,28.11909485,399.1981812,389.7096863,3.051014662,5.790896893,7.870648384,14.93867397,499.6952209,1800.448975
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,6.702872363,0.061078292,195.2295814,2.068556588,3.401767418,6,1,28.52225876,29.24971581,28.11791039,399.2208252,390.2044373,4.270391941,6.73712635,10.99371243,17.34407997,499.7588196,1400.086426
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,6.690586352,0.059208922,191.064589,1.914252577,3.244646177,6,1,28.55054283,29.0190773,28.11571121,399.3297119,390.3991699,5.479780674,7.760347366,14.08463097,19.94635201,499.7171936,900.0895996
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,6.256652341,0.058738718,202.2868528,1.843223049,3.146961963,6,1,28.61307144,29.06465721,28.11411858,399.2633972,390.8864441,6.642028809,8.835500717,17.01070976,22.6283493,499.7384949,700.2873535
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,5.970670417,0.056515268,204.3627437,1.721236028,3.05199495,6,1,28.6306591,28.9577446,28.09376717,399.0082703,391.032135,7.482263565,9.529004097,19.14754677,24.38527489,499.7705383,501.4289856
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,5.690500226,0.052414306,203.7437463,1.439312776,2.754701752,6,1,28.06263924,27.32113838,28.11903763,401.0384521,393.5254211,7.144272327,8.85723114,18.90169716,23.43369675,499.6843262,299.3261414
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,4.919002408,0.052223165,225.5904309,1.503993037,2.886059221,6,1,28.3926506,28.15351486,28.11605453,399.7657166,393.1503906,7.56621933,9.354929924,19.64139938,24.28477287,499.7756348,200.2084198
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,2.986665791,0.044182929,269.5892141,1.311337825,2.964641028,6,1,28.57147789,28.58831978,28.11554909,399.3887939,395.1807556,7.987171173,9.546562195,20.5225563,24.52931595,499.7408752,99.43288422
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,2.465251607,0.039395518,280.3004661,1.022311267,2.594835747,6,1,27.82515335,26.58276939,28.12091255,399.2598572,395.8156738,7.686462879,8.902422905,20.63064384,23.89430809,499.9556885,59.76159668
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,0.802898584,0.03943609,348.1578181,1.119770446,2.834583254,6,1,28.3162384,27.89853287,28.11771011,399.7773438,398.2776794,7.970608711,9.30273056,20.78891563,24.26335144,499.6630859,30.39742661
Waratah,Coastal,Amb,400,BWK222T6,357,BWK222_357_T6,-1.484732552,0.033561983,452.3778983,0.986982332,2.927483373,6,1,28.51923561,28.39105225,28.11585045,399.856842,401.1638184,8.297647476,9.47119236,21.38542747,24.40999031,499.8365784,0.447832078
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,5.331902502,0.020676595,195.4580247,0.701045407,3.321494275,6,1,31.88793373,32.89608002,32.07471466,640.1677246,633.2423096,16.08105469,16.9074192,34.10078812,35.85313797,500.4032898,1000.785583
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,4.657883521,0.01837494,200.4444321,0.708810709,3.76322167,6,1,32.12334824,34.77249146,32.07603073,640.2991333,634.1760864,17.19659233,18.03103447,35.9863205,37.73250961,500.475769,1798.940796
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,3.562608865,0.01189828,131.7760633,0.436542263,3.570431374,6,1,32.2323494,34.5516243,32.07378387,639.7659912,635.1617432,18.75661659,19.26996994,39.0128746,40.08062744,500.3923035,1399.625244
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,3.379824756,0.010979855,120.7609539,0.366117152,3.246390352,6,1,32.23215866,33.78343201,32.07328796,639.4656982,635.1348877,19.76483154,20.19490051,41.11312866,42.00772095,500.4640808,900.3270874
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,3.292470401,0.011681153,161.7789191,0.375840562,3.13419586,6,1,32.24880219,33.52423859,32.06967926,639.1583862,634.925354,20.11203575,20.55332756,41.79929733,42.71644211,500.5066223,699.9379272
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,2.964983472,0.010674145,169.9041198,0.324539987,2.961554887,6,1,32.19684982,33.1268692,32.06726074,639.2237549,635.4216919,20.74887657,21.12975693,43.24994659,44.04387283,500.4446106,498.6361694
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,3.046859978,0.013154486,246.4953861,0.333311289,2.481327328,6,1,31.57386208,30.72693443,32.07266235,640.4373169,636.5297852,19.07904816,19.4709034,41.20978928,42.05617523,500.4216614,298.9981384
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,2.421811046,0.011304475,270.2576091,0.339734631,2.939360463,6,1,31.93203163,31.93375015,32.07182312,639.2288818,636.065979,17.65115547,18.05115128,37.36935806,38.21619415,500.4082947,199.8391266
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,1.130875291,0.006038669,313.428675,0.190859674,3.086281383,6,1,32.03456879,32.14149857,32.06906128,639.204895,637.7030029,16.92493629,17.14985847,35.62649918,36.0999527,500.4036255,99.35142517
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,0.684411162,0.004997539,395.7420597,0.135982603,2.6633372,6,1,31.50915527,30.3645668,32.07097626,638.6464233,637.7219238,16.58922958,16.74952698,35.98179626,36.32947922,500.4633789,60.75453568
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,0.780154141,0.005055857,367.1601206,0.154444328,2.989081979,6,1,31.75019073,31.14565277,32.07234192,640.1088257,639.0551147,15.30354881,15.48585415,32.74300766,33.13306046,500.4328308,28.83695793
Waratah,Coastal,Elv,640,BWK222T7,358,BWK222_358_T7,-0.41984746,0.00391807,775.1651236,0.129215011,3.223300194,6,1,31.96147728,31.88836288,32.07065964,640.5128784,640.9170532,14.95315456,15.10577106,31.61427689,31.93694115,500.3251343,0.194195196
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,6.120159182,0.057123929,205.2357531,1.554950229,2.709739776,5.300000191,1,28.50737381,30.73752594,27.97388649,399.6681213,392.5407715,15.57904434,17.19735146,40.20259094,44.37871933,500.4927063,999.3758545
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.881885543,0.050647605,187.6876149,1.780884919,3.476609963,5.300000191,1,28.56978798,33.82466888,27.97449493,399.5808105,392.6101379,16.13656807,17.98894691,41.48984528,46.25262451,500.3781128,1799.254395
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.934499838,0.056812488,208.9524307,1.599234153,2.799032704,5.300000191,1,28.48473358,31.48934174,27.97310829,399.3711853,392.4197693,16.56819534,18.23143005,42.83230209,47.13211441,500.3150024,1400.994019
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.956697054,0.056955485,210.4911355,1.403281927,2.455240747,5.300000191,1,28.36611176,30.0894413,27.97211838,399.3819275,392.4894409,16.64276314,18.10216522,43.33293533,47.13279724,500.3940735,901.1045532
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.637358924,0.05716345,220.6665589,1.344612461,2.347086685,5.300000191,1,28.27465057,29.48249245,27.97376633,399.1592712,392.6299438,16.3140316,17.71281433,42.71555328,46.37803268,500.4506226,700.8719482
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.735958305,0.053290708,206.7760434,1.264529215,2.366048182,5.300000191,1,28.19712448,29.32086563,27.97333717,399.642334,393.0406494,15.82812977,17.14450073,41.63152695,45.09387589,500.3986511,500.0678406
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.096500545,0.051014483,220.4795001,1.145445183,2.239947166,5.300000191,1,28.11496353,28.64454842,27.97504807,399.6044006,393.7286682,15.6391964,16.83199501,41.34135056,44.49444962,500.3925171,300.5709839
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,5.074081751,0.045730135,203.6085916,1.019795265,2.222498094,5.300000191,1,28.01295662,28.45796967,27.97605896,399.9449463,394.1452942,15.51699829,16.57915497,41.27606201,44.10145569,500.4258118,200.1810913
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,3.646567304,0.041123425,241.0775879,0.886640968,2.147469001,5.300000191,1,27.91090584,28.01064682,27.97813416,399.882019,395.6481934,15.40355396,16.32731056,41.22695541,43.69934845,500.399353,100.0372086
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,2.309465258,0.03699396,284.8351748,0.765022214,2.05903541,5.300000191,1,27.81090164,27.45393372,27.97972679,399.8887329,397.1211548,15.20021534,15.99744892,40.92761993,43.07422256,500.4498596,60.09592056
Waratah,Coastal,Amb,400,BWK225T8,84,BWK225_84_T8,0.771866423,0.032208032,348.0332656,0.651121488,2.011315698,5.300000191,1,27.71132088,27.09516716,27.98172379,399.9918213,398.8992004,15.03107166,15.70987511,40.71580887,42.55453491,500.3996582,30.2729187
