Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment,location_name,location_name2,location_name3
vcsb-2697,1067,Phyllanthus lacunarius,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,1000,NA,NA,NA,NA,15,11/22/2011,4/16/2013,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-2694,1066,Nicotiana goodspeedii,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,750,NA,NA,NA,NA,15,11/22/2011,4/16/2013,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-4715-trial,1077,Sphaeromorphaea littoralis,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,NA,NA,NA,NA,NA,NA,11/22/2011,4/16/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-4715-trial,1077,Sphaeromorphaea littoralis,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,NA,NA,NA,NA,NA,NA,11/22/2011,4/16/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-4702-trial,1067,Phyllanthus lacunarius,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,NA,NA,NA,NA,NA,NA,11/22/2011,4/16/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/17/2012,246 days,NA,12,NA,NA,27,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-4701-trial,1066,Nicotiana goodspeedii,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,NA,NA,NA,NA,NA,NA,11/22/2011,4/16/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/21/2012,183 days,NA,0,NA,NA,25,NA,NA,NA,NA,Agar 1%,20,15,NA,NA,none,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-421,1290,Asperula gemella,Victorian Conservation Seed Bank,Neds Corner Station.,-34.137278,141.257,NA,3600,NA,NA,NA,NA,NA,11/23/2011,4/16/2013,Victorian Conservation Seedbank,"Birch, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.137278_lat_and_141.257_long,location_at_-34.137278_lat_and_141.257_long,location_at_-34.137278_lat_and_141.257_long
vcsb-4678-trial,1290,Asperula gemella,Victorian Conservation Seed Bank,Neds Corner Station.,-34.137278,141.257,NA,NA,NA,NA,NA,NA,NA,11/23/2011,4/16/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.137278_lat_and_141.257_long,location_at_-34.137278_lat_and_141.257_long,location_at_-34.137278_lat_and_141.257_long
vcsb-3097,1496,Scleroblitum atriplicinum,Victorian Conservation Seed Bank,Neds Corner Trust for Nature Property. Beside the Mail Route about 1.2 km SW of Neds Corner Station.,-34.149361,141.315944,NA,9034,NA,NA,NA,NA,15,NA,10/22/2015,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.149361_lat_and_141.315944_long,location_at_-34.149361_lat_and_141.315944_long,location_at_-34.149361_lat_and_141.315944_long
vcsb-5039-trial,1496,Scleroblitum atriplicinum,Victorian Conservation Seed Bank,Neds Corner Trust for Nature Property. Beside the Mail Route about 1.2 km SW of Neds Corner Station.,-34.149361,141.315944,NA,NA,NA,NA,NA,NA,NA,NA,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/20/2014,125 days,NA,NA,NA,NA,25,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.149361_lat_and_141.315944_long,location_at_-34.149361_lat_and_141.315944_long,location_at_-34.149361_lat_and_141.315944_long
