species,height (m),LMA,root wood density (g cm-3),stem wood density (g cm-3),leaf size (mm2)
Gompholobium grandiflorum,,,0.83,0.88,75
Gompholobium latifolium,1.75,,,,
Gompholobium latifolium,2.2,,,,
Gompholobium latifolium,1.55,,,,
Gompholobium latifolium,1.3,,,,
Gompholobium latifolium,1.6,,,,
Gompholobium latifolium,1.65,,,,
Gompholobium latifolium,,85.33,,,
Gompholobium latifolium,,,0.83,0.83,196
Hakea dactyloides,1.6,,,,
Hakea dactyloides,2.4,,,,
Hakea dactyloides,2.7,,,,
Hakea dactyloides,2.4,,,,
Hakea dactyloides,2.8,,,,
Hakea dactyloides,2,,,,
Hakea dactyloides,,230.33,,,
Hakea dactyloides,,,0.76,0.72,1880
Hakea sericea,2.7,,,,
Hakea sericea,2.5,,,,
Hakea sericea,2.55,,,,
Hakea sericea,2.55,,,,
Hakea sericea,2.21,,,,
Hakea sericea,2.6,,,,
Hakea sericea,,194.83,,,
Hakea sericea,,,0.82,0.75,34
Hakea tephrosperma,1.63,,,,
Hakea tephrosperma,2.55,,,,
Hakea tephrosperma,2.29,,,,
Hakea tephrosperma,2.48,,,,
Hakea tephrosperma,2.1,,,,
Hakea tephrosperma,2.05,,,,
Hakea tephrosperma,,306.83,,,
Hakea tephrosperma,,,0.90,0.90,86
Isopogon anemonifolius,1.45,,,,
Isopogon anemonifolius,1.25,,,,
Isopogon anemonifolius,1.38,,,,
Isopogon anemonifolius,0.87,,,,
Isopogon anemonifolius,1.45,,,,
Isopogon anemonifolius,1.32,,,,
Isopogon anemonifolius,,255,,,
Isopogon anemonifolius,,,0.80,0.80,547
Lambertia formosa,1.9,,,,
Lambertia formosa,1.4,,,,
Lambertia formosa,1.2,,,,
Lambertia formosa,1.45,,,,
Lambertia formosa,1.47,,,,
Lambertia formosa,0.78,,,,
Lambertia formosa,,214,,,
Lambertia formosa,,,0.72,0.75,185
Leptomeria acida,2.45,,,,
Leptomeria acida,2.4,,,,
Leptomeria acida,3.5,,,,
Leptomeria acida,3.2,,,,
Leptomeria acida,3.5,,,,
Leptomeria acida,3.4,,,,
Leptomeria acida,,284.17,,,
Leptomeria acida,,,0.63,0.78,94
Leptospermum parvifolium,2.6,,,,
Leptospermum parvifolium,2.3,,,,
Leptospermum parvifolium,1.58,,,,
Leptospermum parvifolium,1.64,,,,
Leptospermum parvifolium,1.38,,,,
Leptospermum parvifolium,1.48,,,,
Leptospermum parvifolium,,142.33,,,
Leptospermum parvifolium,,,0.92,0.78,22
Leucopogon lanceolatus,1.75,,,,
Leucopogon lanceolatus,1.4,,,,
Leucopogon lanceolatus,1.43,,,,
Leucopogon lanceolatus,1.26,,,,
Leucopogon lanceolatus,1.03,,,,
Leucopogon lanceolatus,1.24,,,,
Leucopogon lanceolatus,,127.33,,,
Leucopogon lanceolatus,,,0.88,0.71,73
Melaleuca uncinata,1.3,,,,
Melaleuca uncinata,1.8,,,,
Melaleuca uncinata,1.8,,,,
Melaleuca uncinata,1.3,,,,
Melaleuca uncinata,1.2,,,,
Melaleuca uncinata,1.95,,,,
Melaleuca uncinata,,,,,
Melaleuca uncinata,1.8,,,,
Melaleuca uncinata,,219.4,,,
Melaleuca uncinata,,,0.80,0.78,26
Melicope micrococca,2.47,,,,
Melicope micrococca,1.98,,,,
Melicope micrococca,2.25,,,,
Melicope micrococca,2.82,,,,
Melicope micrococca,3.07,,,,
Melicope micrococca,3.54,,,,
Melicope micrococca,,89.5,,,
Melicope micrococca,,,0.70,0.36,7128
Myoporum  platycarpum,1.65,,,,
Myoporum  platycarpum,1.3,,,,
Myoporum  platycarpum,1.8,,,,
Myoporum  platycarpum,1.2,,,,
Myoporum  platycarpum,0.85,,,,
Myoporum  platycarpum,1.55,,,,
Myoporum  platycarpum,1.3,,,,
Myoporum  platycarpum,,250.58,,,
Myoporum platycarpum,,,,0.83,314
Olearia decurrens,1.05,,,,
Olearia decurrens,1.1,,,,
Olearia decurrens,1.2,,,,
Olearia decurrens,1.85,,,,
Olearia decurrens,0.95,,,,
Olearia decurrens,1.15,,,,
Olearia decurrens,,153.8,,,
Olearia decurrens,,,0.76,0.82,25
Olearia pimeleoides,0.4,,,,
Olearia pimeleoides,0.5,,,,
Olearia pimeleoides,0.45,,,,
Olearia pimeleoides,0.55,,,,
Olearia pimeleoides,0.65,,,,
Olearia pimeleoides,0.85,,,,
Olearia pimeleoides,0.85,,,,
Olearia pimeleoides,1,,,,
Olearia pimeleoides,,121,,,
Olearia pimeleoides,,,0.79,0.90,7
Oxylobium aciculiferum,2.15,,,,
Oxylobium aciculiferum,2.5,,,,
Oxylobium aciculiferum,2.6,,,,
Oxylobium aciculiferum,2.78,,,,
Oxylobium aciculiferum,1.67,,,,
Oxylobium aciculiferum,2.35,,,,
Oxylobium aciculiferum,,126.5,,,
Oxylobium aciculiferum,,,0.71,0.87,67
Oxylobium ilicifolium,2.05,,,,
Oxylobium ilicifolium,2.02,,,,
Oxylobium ilicifolium,1.79,,,,
Oxylobium ilicifolium,1.95,,,,
Oxylobium ilicifolium,1.47,,,,
Oxylobium ilicifolium,2.27,,,,
Oxylobium ilicifolium,,150.67,,,
Oxylobium ilicifolium,,,0.88,0.90,175
Persoonia isophylla,1.98,,,,
Persoonia isophylla,1.04,,,,
Persoonia isophylla,1.15,,,,
Persoonia isophylla,1.4,,,,
Persoonia isophylla,1.4,,,,
Persoonia isophylla,1.7,,,,
Persoonia isophylla,,210,,,
Persoonia isophylla,,,0.71,0.79,21
Persoonia levis,1.8,,,,
Persoonia levis,2.8,,,,
Persoonia levis,1.42,,,,
Persoonia levis,2.1,,,,
Persoonia levis,2,,,,
Persoonia levis,2.5,,,,
Persoonia levis,,244,,,
Persoonia levis,,,0.60,0.67,3575
Persoonia linearis,2.2,,,,
Persoonia linearis,2,,,,
Persoonia linearis,3.01,,,,
Persoonia linearis,3.1,,,,
Persoonia linearis,1.75,,,,
Persoonia linearis,3.7,,,,
Persoonia linearis,,154,,,
Persoonia linearis,,,0.62,0.67,182
Petrophile pulchella,2.7,,,,
Petrophile pulchella,2.2,,,,
Petrophile pulchella,3.1,,,,
Petrophile pulchella,2.7,,,,
Petrophile pulchella,2.1,,,,
Petrophile pulchella,2.55,,,,
Petrophile pulchella,,245.17,,,
Petrophile pulchella,,,0.54,0.66,331
Philotheca difformis,1.1,,,,
Philotheca difformis,1.05,,,,
Philotheca difformis,,,,,
Philotheca difformis,0.95,,,,
Philotheca difformis,0.95,,,,
Philotheca difformis,1.2,,,,
Philotheca difformis,,275.2,,,
Philotheca difformis,,272.6,,,
Philotheca difformis,,,0.85,0.95,7
Philotheca difformis,,,0.86,0.92,6
Phyllota phylicoides,0.86,,,,
Phyllota phylicoides,0.98,,,,
Phyllota phylicoides,1.03,,,,
Phyllota phylicoides,1.03,,,,
Phyllota phylicoides,1.07,,,,
Phyllota phylicoides,1.4,,,,
Phyllota phylicoides,1.6,,,,
Phyllota phylicoides,,137.14,,,
Phyllota phylicoides,,,0.59,0.87,10
Prostanthera incisa,1.3,,,,
Prostanthera incisa,1.3,,,,
Prostanthera incisa,1.3,,,,
Prostanthera incisa,1,,,,
Prostanthera incisa,0.95,,,,
Prostanthera incisa,1.2,,,,
Prostanthera incisa,,40.33,,,
Prostanthera incisa,,,0.75,0.65,48
Senna artemisiodes,1.65,,,,
Senna artemisiodes,1.9,,,,
Senna artemisiodes,1.9,,,,
Senna artemisiodes,1.2,,,,
Senna artemisiodes,1.3,,,,
Senna artemisiodes,2.03,,,,
Senna artemisiodes,1.75,,,,
Senna artemisiodes,1.25,,,,
Senna artemisiodes,1.16,,,,
Senna artemisiodes,2.01,,,,
Senna artemisiodes,1.72,,,,
Senna artemisiodes,,321.8,,,
Senna artemisiodes,,334.64,,,
Senna artemisiodes,,,0.79,0.90,87
Senna artemisiodes,,,0.80,0.86,113
,,,,,
