Run,Treatment,Cell,FvFm,ID,Family,Genus,Species,Species.s,distance,Rep,Salinity,ppt,Date,FM,DM,WCg,Wca.m2,Succulence,thermocouple,F id,LMA,WCi,GF,Tcrit,Tmax,location_name,latitude (deg),longitude (deg)
Part-2,D1,a9,0.766,Am-L-3,Acanthaceae,Avicennia,Avicennia marina,Am.low,6.35,3,Low,6,4/07/2022,0.024,0.0064,2.75,350.075,350.075,9,9,127.3,100,Tree,44.28,53.13,Daintree National Park 4,-16.29,145.41
Part-2,D1,e9,0.765,Am-L-4,Acanthaceae,Avicennia,Avicennia marina,Am.low,6.35,4,Low,6,4/07/2022,0.0219,0.0069,2.173913043,298.4782608,298.4782608,45,45,137.3,100,Tree,42.76,51.98,Daintree National Park 4,-16.29,145.41
Part-2,D1,a4,0.797,Am-L-5,Acanthaceae,Avicennia,Avicennia marina,Am.low,6.35,5,Low,6,4/07/2022,0.0248,0.0072,2.444444444,350.0444444,350.0444444,4,4,143.2,100,Tree,47.72,54.79,Daintree National Park 4,-16.29,145.41
Part-1,D1,a2,0.71,Bg-H-1,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.high,1.07,1,High,10,4/07/2022,0.0359,0.0084,3.273809524,547.0535715,547.0535715,2,2,167.1,100,Tree,45.09,53.69,Daintree National Park 6,-16.28,145.45
Part-1,D1,c2,0.727,Bg-H-2,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.high,1.07,2,High,10,4/07/2022,0.029,0.0088,2.295454545,401.9340908,401.9340908,20,20,175.1,100,Tree,46.89,55.73,Daintree National Park 6,-16.28,145.45
Part-1,D1,d4,0.728,Bg-H-3,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.high,1.07,3,High,10,4/07/2022,0.0407,0.0083,3.903614458,644.486747,644.486747,31,31,165.1,100,Tree,48.86,55.02,Daintree National Park 6,-16.28,145.45
Part-1,D1,a3,0.704,Bg-H-4,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.high,1.07,4,High,10,4/07/2022,0.0324,0.0077,3.207792208,491.4337663,491.4337663,3,3,153.2,100,Tree,44.11,53.35,Daintree National Park 6,-16.28,145.45
Part-1,D1,b5,0.733,Bg-H-5,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.high,1.07,5,High,10,4/07/2022,0.0314,0.0092,2.413043478,441.5869565,441.5869565,14,14,183,100,Tree,47.14,56.65,Daintree National Park 6,-16.28,145.45
Part-1,D1,c7,0.771,Bs-L-1,Rhizophoraceae,Bruguiera,Bruguiera sexangula,Bs.low,16.63,1,Low,6,4/07/2022,0.0198,0.0071,1.788732394,252.7478873,252.7478873,25,25,141.3,100,Tree,46.8,57.53,Daintree National Park 7,-16.258,145.34
Part-1,D1,d2,0.751,Bs-L-2,Rhizophoraceae,Bruguiera,Bruguiera sexangula,Bs.low,16.63,2,Low,6,4/07/2022,0.019,0.0063,2.015873016,252.5888889,252.5888889,29,29,125.3,100,Tree,44.67,54.93,Daintree National Park 7,-16.258,145.34
Part-1,D1,b8,0.779,Bs-L-3,Rhizophoraceae,Bruguiera,Bruguiera sexangula,Bs.low,16.63,3,Low,6,4/07/2022,0.02,0.0067,1.985074627,264.6104478,264.6104478,17,17,133.3,100,Tree,44.05,53.63,Daintree National Park 7,-16.258,145.34
Part-1,D1,c6,0.768,Bs-L-4,Rhizophoraceae,Bruguiera,Bruguiera sexangula,Bs.low,16.63,4,Low,6,4/07/2022,0.0169,0.0054,2.12962963,228.7222223,228.7222223,24,24,107.4,100,Tree,45.67,54.07,Daintree National Park 7,-16.258,145.34
Part-1,D1,b7,0.758,Bs-L-5,Rhizophoraceae,Bruguiera,Bruguiera sexangula,Bs.low,16.63,5,Low,6,4/07/2022,0.0179,0.0065,1.753846154,226.7723077,226.7723077,16,16,129.3,100,Tree,42.31,53.54,Daintree National Park 7,-16.258,145.34
Part-1,D1,c9,0.777,Hl-L-1,Malvaceae,Heritiera,Heritieria littoralis,Hl.low,14.72,1,Low,8,4/07/2022,0.0149,0.0054,1.759259259,188.9444444,188.9444444,27,27,107.4,100,Tree,43.33,53.75,Daintree National Park 8,-16.24,145.35
Part-1,D1,e3,0.711,Hl-L-2,Malvaceae,Heritiera,Heritieria littoralis,Hl.low,14.72,2,Low,8,4/07/2022,0.0172,0.0068,1.529411765,206.9294118,206.9294118,39,39,135.3,100,Tree,47.41,54.46,Daintree National Park 8,-16.24,145.35
Part-1,D1,a9,0.753,Hl-L-3,Malvaceae,Heritiera,Heritieria littoralis,Hl.low,14.72,3,Low,8,4/07/2022,0.0147,0.0053,1.773584906,186.9358491,186.9358491,9,9,105.4,100,Tree,46.25,55.24,Daintree National Park 8,-16.24,145.35
Part-1,D1,e9,0.763,Hl-L-4,Malvaceae,Heritiera,Heritieria littoralis,Hl.low,14.72,4,Low,8,4/07/2022,0.0122,0.0054,1.259259259,135.2444444,135.2444444,45,45,107.4,100,Tree,46.37,54.56,Daintree National Park 8,-16.24,145.35
Part-1,D1,a4,0.746,Hl-L-5,Malvaceae,Heritiera,Heritieria littoralis,Hl.low,14.72,5,Low,8,4/07/2022,0.0134,0.0049,1.734693878,169.1326531,169.1326531,4,4,97.5,100,Tree,45.06,56.86,Daintree National Park 8,-16.24,145.35
Part-1,D1,b6,0.742,Lr-H-1,Combretaceae,Lumnitzera,Lumnitzera racemosa,Lr.high,0.53,1,High,11,4/07/2022,0.0528,0.0098,4.387755102,855.6122449,855.6122449,15,15,195,100,Tree,50.03,55.13,Daintree National Park 9,-16.28,145.45
Part-1,D1,b9,0.65,Lr-H-2,Combretaceae,Lumnitzera,Lumnitzera racemosa,Lr.high,0.53,2,High,11,4/07/2022,0.0508,0.0085,4.976470588,841.5211764,841.5211764,18,18,169.1,100,Tree,47.77,54.64,Daintree National Park 9,-16.28,145.45
Part-1,D1,e7,0.758,Lr-H-3,Combretaceae,Lumnitzera,Lumnitzera racemosa,Lr.high,0.53,3,High,11,4/07/2022,0.0588,0.0097,5.06185567,976.9381443,976.9381443,43,43,193,100,Tree,49.96,55.69,Daintree National Park 9,-16.28,145.45
Part-1,D1,d7,0.739,Lr-H-4,Combretaceae,Lumnitzera,Lumnitzera racemosa,Lr.high,0.53,4,High,11,4/07/2022,0.0723,0.011,5.572727273,1219.312727,1219.312727,34,34,218.8,100,Tree,49.85,59.05,Daintree National Park 9,-16.28,145.45
Part-1,D1,c8,0.745,Lr-H-5,Combretaceae,Lumnitzera,Lumnitzera racemosa,Lr.high,0.53,5,High,11,4/07/2022,0.068,0.0101,5.732673267,1151.694059,1151.694059,26,26,200.9,100,Tree,49,58.48,Daintree National Park 9,-16.28,145.45
Part-1,D1,d3,0.684,Ra-H-1,Rhizophoraceae,Rhizophora,Rhizophora apiculata,Ra.high,1.08,1,High,10,4/07/2022,0.0291,0.0086,2.38372093,407.8546511,407.8546511,30,30,171.1,100,Tree,45.53,54.48,Daintree National Park 10,-16.28,145.45
Part-1,D1,b4,0.701,Ra-H-2,Rhizophoraceae,Rhizophora,Rhizophora apiculata,Ra.high,1.08,2,High,10,4/07/2022,0.0324,0.0094,2.446808511,457.5531916,457.5531916,13,13,187,100,Tree,44.54,56.09,Daintree National Park 10,-16.28,145.45
Part-1,D1,d6,0.769,Ra-H-3,Rhizophoraceae,Rhizophora,Rhizophora apiculata,Ra.high,1.08,3,High,10,4/07/2022,0.0388,0.0096,3.041666667,580.9583334,580.9583334,33,33,191,100,Tree,45.35,54.93,Daintree National Park 10,-16.28,145.45
Part-1,D1,d8,0.761,Ra-H-4,Rhizophoraceae,Rhizophora,Rhizophora apiculata,Ra.high,1.08,4,High,10,4/07/2022,0.0404,0.0105,2.847619048,594.8676191,594.8676191,35,35,208.9,100,Tree,44.94,53.86,Daintree National Park 10,-16.28,145.45
Part-1,D1,e6,0.743,Ra-H-5,Rhizophoraceae,Rhizophora,Rhizophora apiculata,Ra.high,1.08,5,High,10,4/07/2022,0.0344,0.0104,2.307692308,477.4615385,477.4615385,42,42,206.9,100,Tree,46.46,55.98,Daintree National Park 10,-16.28,145.45
Part-1,D1,a7,0.771,Rs-H-1,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.high,1.08,1,High,11,4/07/2022,0.0319,0.0087,2.666666667,461.6000001,461.6000001,7,7,173.1,100,Tree,46.76,55.9,Daintree National Park 12,-16.28,145.45
Part-1,D1,c4,0.754,Rs-H-2,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.high,1.08,2,High,11,4/07/2022,0.0355,0.0103,2.446601942,501.3087379,501.3087379,22,22,204.9,100,Tree,48.71,55.62,Daintree National Park 12,-16.28,145.45
Part-1,D1,d5,0.77,Rs-H-3,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.high,1.08,3,High,11,4/07/2022,0.0308,0.0094,2.276595745,425.7234043,425.7234043,32,32,187,100,Tree,48.55,55.35,Daintree National Park 12,-16.28,145.45
Part-1,D1,e4,0.743,Rs-H-4,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.high,1.08,4,High,11,4/07/2022,0.0382,0.0115,2.32173913,531.2139129,531.2139129,40,40,228.8,100,Tree,48.04,54.32,Daintree National Park 12,-16.28,145.45
Part-1,D1,e2,0.714,Rs-H-5,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.high,1.08,5,High,11,4/07/2022,0.029,0.008,2.625,417.9,417.9,38,38,159.2,100,Tree,49.57,55.66,Daintree National Park 12,-16.28,145.45
Part-2,D1,b1,0.792,Rs-L-1,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.low,12.9,1,Low,7,4/07/2022,0.0278,0.0071,2.915492958,411.959155,411.959155,10,10,141.3,100,Tree,44.64,53.05,Daintree National Park 11,-16.24,145.36
Part-2,D1,a6,0.802,Rs-L-2,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.low,12.9,2,Low,7,4/07/2022,0.0257,0.0079,2.253164557,354.1974684,354.1974684,6,6,157.2,100,Tree,47.43,55.07,Daintree National Park 11,-16.24,145.36
Part-2,D1,a8,0.811,Rs-L-3,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.low,12.9,3,Low,7,4/07/2022,0.025,0.0068,2.676470588,362.1264706,362.1264706,8,8,135.3,100,Tree,46.92,55,Daintree National Park 11,-16.24,145.36
Part-2,D1,d9,0.814,Rs-L-4,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.low,12.9,4,Low,7,4/07/2022,0.0252,0.0067,2.76119403,368.0671642,368.0671642,36,36,133.3,100,Tree,45.47,54.88,Daintree National Park 11,-16.24,145.36
Part-2,D1,a1,0.784,Rs-L-5,Rhizophoraceae,Rhizophora,Rhizophora stylosa,Rs.low,12.9,5,Low,7,4/07/2022,0.0266,0.0082,2.243902439,365.9804878,365.9804878,1,1,163.1,100,Tree,46.51,54.59,Daintree National Park 11,-16.24,145.36
Part-2,D1,a7,0.788,Sa-H-1,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.high,0.6,1,High,11,4/07/2022,0.032,0.0092,2.47826087,453.5217392,453.5217392,7,7,183,100,Tree,49.29,54.9,Daintree National Park 13,-16.28,145.44
Part-2,D1,c4,0.808,Sa-H-2,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.high,0.6,2,High,11,4/07/2022,0.0326,0.0101,2.227722772,447.5495049,447.5495049,22,22,200.9,100,Tree,48.16,59.13,Daintree National Park 13,-16.28,145.44
Part-2,D1,d5,0.794,Sa-H-3,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.high,0.6,3,High,11,4/07/2022,0.0325,0.0098,2.316326531,451.6836735,451.6836735,32,32,195,100,Tree,47.29,54.52,Daintree National Park 13,-16.28,145.44
Part-2,D1,e4,0.79,Sa-H-4,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.high,0.6,4,High,11,4/07/2022,0.0323,0.0091,2.549450549,461.4505494,461.4505494,40,40,181,100,Tree,50.56,55.49,Daintree National Park 13,-16.28,145.44
Part-2,D1,e2,0.809,Sa-H-5,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.high,0.6,5,High,11,4/07/2022,0.0326,0.0093,2.505376344,463.4946236,463.4946236,38,38,185,100,Tree,47.71,56.59,Daintree National Park 13,-16.28,145.44
Part-2,D1,b6,0.736,Sa-L-1,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.low,6.25,1,Low,6,4/07/2022,0.0399,0.0143,1.79020979,509.3146853,509.3146853,15,15,284.5,100,Tree,46.31,50.97,Daintree National Park 14,-16.29,145.41
Part-2,D1,b9,0.792,Sa-L-2,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.low,6.25,2,Low,6,4/07/2022,0.0349,0.0106,2.29245283,483.4783018,483.4783018,18,18,210.9,100,Tree,42.74,54.04,Daintree National Park 14,-16.29,145.41
Part-2,D1,e7,0.818,Sa-L-3,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.low,6.25,3,Low,6,4/07/2022,0.0325,0.0104,2.125,439.6625,439.6625,43,43,206.9,100,Tree,47.14,55.66,Daintree National Park 14,-16.29,145.41
Part-2,D1,d7,0.789,Sa-L-4,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.low,6.25,4,Low,6,4/07/2022,0.0377,0.0134,1.813432836,483.4611941,483.4611941,34,34,266.6,100,Tree,46.66,54.45,Daintree National Park 14,-16.29,145.41
Part-2,D1,c8,0.761,Sa-L-5,Sonneratiaceae,Sonneratia,Sonneratia alba,Sa.low,6.25,5,Low,6,4/07/2022,0.0351,0.0119,1.949579832,461.4655462,461.4655462,26,26,236.7,100,Tree,45.01,54.13,Daintree National Park 14,-16.29,145.41
Part-1,D1,c5,0.79,Sc-L-1,Sonneratiaceae,Sonneratia,Sonneratia caseolaris,Sc.low,16.68,1,Low,6,4/07/2022,0.0268,0.0079,2.392405063,376.0860759,376.0860759,23,23,157.2,100,Tree,46.85,54.84,Daintree National Park 15,-16.257,145.34
Part-1,D1,e5,0.733,Sc-L-2,Sonneratiaceae,Sonneratia,Sonneratia caseolaris,Sc.low,16.68,2,Low,6,4/07/2022,0.0326,0.0076,3.289473684,497.368421,497.368421,41,41,151.2,100,Tree,46.33,54.88,Daintree National Park 15,-16.257,145.34
Part-1,D1,d1,0.727,Sc-L-3,Sonneratiaceae,Sonneratia,Sonneratia caseolaris,Sc.low,16.68,3,Low,6,4/07/2022,0.0252,0.0073,2.452054795,356.0383562,356.0383562,28,28,145.2,100,Tree,47.29,55.26,Daintree National Park 15,-16.257,145.34
Part-1,D1,c3,0.74,Sc-L-4,Sonneratiaceae,Sonneratia,Sonneratia caseolaris,Sc.low,16.68,4,Low,6,4/07/2022,0.0314,0.0087,2.609195402,451.6517241,451.6517241,21,21,173.1,100,Tree,47.017,55.16,Daintree National Park 15,-16.257,145.34
Part-1,D1,e8,0.751,Sc-L-5,Sonneratiaceae,Sonneratia,Sonneratia caseolaris,Sc.low,16.68,5,Low,6,4/07/2022,0.0304,0.0081,2.75308642,443.5222223,443.5222223,44,44,161.1,100,Tree,44.91,53.55,Daintree National Park 15,-16.257,145.34
Part-2,D1,c7,0.806,Xg-H-1,Meliaceae,Xylocarpus,Xylocarpus granatum,Xg.high,1.07,1,High,10,4/07/2022,0.0259,0.0068,2.808823529,380.0338235,380.0338235,25,25,135.3,100,Tree,47.53,53.51,Daintree National Park 16,-16.27,145.45
Part-2,D1,d2,0.78,Xg-H-2,Meliaceae,Xylocarpus,Xylocarpus granatum,Xg.high,1.07,2,High,10,4/07/2022,0.0422,0.0082,4.146341463,676.2682926,676.2682926,29,29,163.1,100,Tree,47.63,55.83,Daintree National Park 16,-16.27,145.45
Part-2,D1,b8,0.776,Xg-H-3,Meliaceae,Xylocarpus,Xylocarpus granatum,Xg.high,1.07,3,High,10,4/07/2022,0.0299,0.0071,3.211267606,453.7521127,453.7521127,17,17,141.3,100,Tree,48.1,55.7,Daintree National Park 16,-16.27,145.45
Part-2,D1,c6,0.778,Xg-H-4,Meliaceae,Xylocarpus,Xylocarpus granatum,Xg.high,1.07,4,High,10,4/07/2022,0.0696,0.0126,4.523809524,1134.119048,1134.119048,24,24,250.7,100,Tree,46.75,54.35,Daintree National Park 16,-16.27,145.45
Part-2,D1,b7,0.808,Xg-H-5,Meliaceae,Xylocarpus,Xylocarpus granatum,Xg.high,1.07,5,High,10,4/07/2022,0.0493,0.0109,3.52293578,763.7724771,763.7724771,16,16,216.8,100,Tree,46.59,53.4,Daintree National Park 16,-16.27,145.45
Part-2,D2,c5,0.755,Aa-H-1,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,1,Low,7,4/07/2022,0.0156,0.005,1.905,210.94,256.71,23,23,99.5,88.60465116,Tree,48.48,55.91,Daintree National Park 5,-16.24,145.35
Part-2,D2,e5,0.781,Aa-H-2,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,2,Low,7,4/07/2022,0.0124,0.0046,1.695652174,155.1521739,232.7896551,41,41,91.5,84.05797103,Tree,50.1,57.97,Daintree National Park 5,-16.24,145.35
Part-2,D2,d1,0.77,Aa-H-3,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,3,Low,7,4/07/2022,0.0134,0.0054,1.481481481,159.1111111,220.7093023,28,28,107.4,57.39072404,Tree,50.59,56.58,Daintree National Park 5,-16.24,145.35
Part-2,D2,c3,0.784,Aa-H-4,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,4,Low,7,4/07/2022,0.0144,0.0056,1.571428571,175.0571428,200.8566037,21,21,111.4,82.46110325,Tree,51.47,58.3,Daintree National Park 5,-16.24,145.35
Part-2,D2,e8,0.79,Aa-H-5,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,5,Low,7,4/07/2022,0.0134,0.0055,1.436363636,157.1381818,252.73,44,44,109.4,67.85969933,Tree,50.06,56.45,Daintree National Park 5,-16.24,145.35
Part-2,D2,a2,0.746,Ac-L-1,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,1,Low,7,4/07/2022,0.0146,0.0053,1.754716981,184.9471698,260.5444445,2,2,105.4,72.33184502,Tree,48.16,52.153,Daintree National Park 2,-16.24,145.36
Part-2,D2,c2,0.699,Ac-L-2,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,2,Low,7,4/07/2022,0.0174,0.0069,1.52173913,208.9347825,284.5142857,20,20,137.3,81.93979931,Tree,49.39,58.57,Daintree National Park 2,-16.24,145.36
Part-2,D2,d4,0.727,Ac-L-3,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,3,Low,7,4/07/2022,0.0163,0.0077,1.116883117,171.1064935,254.6447059,31,31,153.2,74.16801949,Tree,50.8,58.27,Daintree National Park 2,-16.24,145.36
Part-2,D2,a3,0.77,Ac-L-4,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,4,Low,7,4/07/2022,0.017,0.0062,1.741935484,214.7806452,350.1611941,3,3,123.3,66.31231671,Tree,47.06,53.157,Daintree National Park 2,-16.24,145.36
Part-2,D2,b5,0.721,Ac-L-5,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,5,Low,7,4/07/2022,0.0138,0.0052,1.653846154,171.1730769,312.3027028,14,14,103.5,77.95198431,Tree,48.76,56.4,Daintree National Park 2,-16.24,145.36
Part-1,D2,b2,0.741,Ai-L-1,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,1,Low,7,4/07/2022,0.018,0.0032,4.625,294.6125,371.9964286,11,11,63.7,69.25133689,Shrub,45.99,51.7,Daintree National Park 1,-16.25,145.34
Part-1,D2,e1,0.794,Ai-L-2,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,2,Low,7,4/07/2022,0.0202,0.0046,3.391304348,310.3043478,499.1477273,37,37,91.5,59.44915988,Shrub,48.46,54.01,Daintree National Park 1,-16.25,145.34
Part-1,D2,c1,0.754,Ai-L-3,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,3,Low,7,4/07/2022,0.0176,0.0035,4.028571429,280.3885715,385.8444445,19,19,69.6,74.75699559,Shrub,45.76,51.27,Daintree National Park 1,-16.25,145.34
Part-1,D2,a5,0.752,Ai-L-4,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,4,Low,7,4/07/2022,0.0229,0.0042,4.452380952,372.2190476,375.9567567,5,5,83.6,87.16301335,Shrub,47.54,53.22,Daintree National Park 1,-16.25,145.34
Part-1,D2,b3,0.757,Ai-L-5,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,5,Low,7,4/07/2022,0.0255,0.0059,3.322033898,390.0067796,493.2444445,12,12,117.4,84.39037724,Shrub,46.91,52.16,Daintree National Park 1,-16.25,145.34
Part-2,D2,d3,0.781,Am-H-1,Acanthaceae,Avicennia,Avicennia marina,Am.high,0.6,1,High,11,4/07/2022,0.0166,0.0067,1.47761194,196.9656716,356.0383562,30,30,133.3,60.26015173,Tree,50.1,55,Daintree National Park 3,-16.28,145.45
