species_name,SITE_ID,area leaf mm2,C:N ratio leaf ratio,carbon content leaf % dry weight,force of fracture N,lamina thickness mm,nitrogen content leaf % dry weight,SLA cm2/g,toughness leaf Nm-1,water content leaf %,veg,%Lignin,%Hemicell,%Cellulose,%Holocellulose,Lignin (g cm-2),mf_holo,mf_lignin,mf_hemi,mf_cellu,totStrucPoly,lgSLA,lgH2O,lgthick,lgsize,lgFF,lgTough,lgLignin,lgHemiC,lgCellulose,lgHoloC,lgLignin_a
Banksia serrata,Challenger Track KCNP,2082,77.9,48.8,2.3,0.5,0.6,36.6,4875,46.5,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banksia serrata,NA,NA,NA,NA,NA,NA,NA,38.2,NA,NA,Dry,23.1,12.3,23.6,35.9,0.006,0.61,0.39,0.21,0.4,59,1.582,1.661,-0.301,3.291,0.342,3.643,1.364,1.09,1.373,1.555,-2.218
Blechnum cartilagineum,Bola Creek Royal NP,24288,43.6,42.1,0.3,0.2,1,130.4,1194,64.5,Wet,6.6,11.8,25.3,37.1,5.00E-04,0.85,0.15,0.27,0.58,43.7,2.115,1.81,-0.699,4.385,-0.523,3.176,0.82,1.072,1.403,1.569,-3.296
Breynia oblongifolia,Dyke KCNP,330.2,32.04,40.7,0.1,0.2,1.3,101.5,434.4,27.5,Wet,25.1,5.6,10.4,16,0.0025,0.39,0.61,0.14,0.25,41.1,2.006,1.439,-0.699,2.519,-1,2.699,1.4,0.748,1.017,1.204,-2.607
Bursaria spinosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wet,10.1,10.7,8.2,18.9,NA,0.65,0.35,0.37,0.28,29,NA,NA,NA,NA,NA,NA,1.004,1.029,0.914,1.276,NA
Caustis recurvata,Bundeena Road Royal NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,5.1,31.7,25.2,56.9,NA,0.92,0.08,0.51,0.41,62,NA,NA,NA,NA,NA,NA,0.708,1.501,1.401,1.755,NA
Ceratopetalum apetalum,Bola Creek Royal NP,4597,50.45,45.4,0.49,0.28,0.91,123.6,1765,66.59,Wet,16.4,10.7,24.6,35.3,0.0013,0.68,0.32,0.21,0.48,51.7,2.092,1.823,-0.553,3.662,-0.31,3.243,1.215,1.029,1.391,1.548,-2.877
Cissus hypoglauca,Dyke KCNP,1805,33.42,45.8,0.32,0.26,1.4,121.6,1212,64.8,Wet,11.3,11.1,19.3,30.4,9.00E-04,0.73,0.27,0.27,0.46,41.7,2.085,1.812,-0.585,3.256,-0.495,3.09,1.053,1.045,1.286,1.483,-3.032
Citriobatus pauciflorus,Bola Creek Royal NP,45.3,32.15,46.5,0.07,0.15,1.5,227.8,440,50.5,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,Dyke KCNP,48.8,31.81,46,0.05,0.16,1.47,176.4,311.3,58.4,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia gummifera,Bundeena Road Royal NP,1886,56.49,48,0.93,0.35,0.9,44.3,2630,48.3,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia gummifera,Challenger Track KCNP,2270,71.5,48.4,1.2,0.38,0.68,42.2,3158,45.2,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia gummifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,18.4,7.7,12.5,20.2,0.0043,0.52,0.48,0.2,0.32,38.6,1.636,1.67,-0.438,3.318,0.027,3.465,1.265,0.886,1.097,1.305,-2.371
Diospyros australis,Bola Creek Royal NP,2599,35.45,47.3,0.5,0.3,1.3,87.5,1560,60.2,Wet,17,5.3,12.4,17.7,0.0019,0.51,0.49,0.15,0.36,34.7,1.942,1.78,-0.523,3.415,-0.301,3.222,1.23,0.724,1.093,1.248,-2.712
Doryphora sassafras,Bola Creek Royal NP,4619,29.58,42.7,0.5,0.3,1.4,143,1693,69.6,Wet,11.8,11.9,23.5,35.4,8.00E-04,0.75,0.25,0.25,0.5,47.2,2.155,1.843,-0.523,3.665,-0.301,3.222,1.072,1.076,1.371,1.549,-3.083
Eucalyptus haemastoma,Bundeena Road Royal NP,2488,74.39,50.6,0.95,0.4,0.69,42.4,2177,50.1,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus haemastoma,Challenger Track KCNP,2782,74.4,50.6,2.36,0.6,0.69,29.4,3942,43.6,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus haemastoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,17.5,5.4,8.8,14.2,0.0049,0.45,0.55,0.17,0.28,31.7,1.555,1.671,-0.301,3.421,0.219,3.52,1.243,0.732,0.944,1.152,-2.312
Grevillea buxifolia,Challenger Track KCNP,58.5,69.1,48.9,0.56,0.37,0.7,67.3,1525,53.1,Dry,17.4,8.3,20,28.3,0.0026,0.62,0.38,0.18,0.44,45.7,1.828,1.743,-0.432,1.769,-0.252,3.18,1.241,0.919,1.301,1.452,-2.587
Grevillea sphacelata,Bundeena Road Royal NP,42,65.65,48.7,0.7,0.4,0.77,60.6,1698,46.3,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.782,1.666,-0.398,1.623,-0.155,3.243,NA,NA,NA,NA,NA
Gymnostachys anceps,Bola Creek Royal NP,15407,43.76,43.7,3.05,0.5,1,51.8,6230,64.2,Wet,6.2,13.1,38.2,51.3,0.0012,0.89,0.11,0.23,0.66,57.5,1.714,1.808,-0.301,4.188,0.484,3.785,0.792,1.117,1.582,1.71,-2.922
Hakea teretifolia,Bundeena Road Royal NP,83.6,87.43,48.8,2.38,2.08,0.6,18.1,1143,57.3,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea teretifolia,Challenger Track KCNP,76.5,104.4,49.9,3.2,1.9,0.5,24.1,1705,56,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea teretifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,14.6,13.8,28.8,42.6,0.0069,0.74,0.26,0.24,0.5,57.2,1.324,1.753,0.299,1.903,0.446,3.147,1.164,1.14,1.459,1.629,-2.16
Hemigenia purpurea,Bundeena Road Royal NP,7.76,67.05,52.1,0.1,0.8,0.79,70.5,125,56.9,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigenia purpurea,Challenger Track KCNP,8.2,64.8,52.5,0.08,0.8,0.8,48.1,101,62.2,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigenia purpurea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,16.6,3.9,5.9,9.8,0.0028,0.37,0.63,0.15,0.22,26.4,1.773,1.775,-0.097,0.902,-1.046,2.051,1.22,0.591,0.771,0.991,-2.553
Hibbertia dentata,Dyke KCNP,859,26.26,37,0.32,0.45,1.4,127.1,706,73.9,Wet,15.7,17.8,16,33.8,0.0012,0.68,0.32,0.36,0.32,49.5,2.104,1.869,-0.347,2.934,-0.495,2.852,1.196,1.25,1.204,1.529,-2.908
Hibbertia monogyna,Challenger Track KCNP,47.6,46.7,45.3,0.13,0.36,1,73.6,349,60.1,Dry,13.3,10.6,7.8,18.4,0.0018,0.58,0.42,0.33,0.25,31.7,1.867,1.779,-0.444,1.678,-0.886,2.558,1.124,1.025,0.892,1.265,-2.743
Isopogon anethifolius,Bundeena Road Royal NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,18.9,10.9,18.4,29.3,NA,0.61,0.39,0.23,0.38,48.2,NA,NA,NA,NA,NA,NA,1.276,1.037,1.265,1.467,NA
Lepidosperma laterale,Dyke KCNP,11476,75.39,45,3.8,0.7,0.6,44.1,5112,50.5,Wet,4.7,27.2,37.1,64.3,0.0011,0.93,0.07,0.39,0.54,69,1.644,1.703,-0.155,4.06,0.58,3.735,0.672,1.435,1.569,1.808,-2.972
Leptospermum trinervium,Bundeena Road Royal NP,20.6,55.49,48.8,0.4,0.4,0.9,62.6,1099,49.1,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum trinervium,Challenger Track KCNP,34.9,67.7,49.2,0.49,0.34,0.7,67.7,1454,46.4,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum trinervium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,20.7,8.5,12.7,21.2,0.0032,0.51,0.49,0.2,0.3,41.9,1.814,1.679,-0.432,1.443,-0.352,3.08,1.316,0.929,1.104,1.326,-2.498
Leucopogon microphyllus,Bundeena Road Royal NP,2.7,71.32,50.7,0.4,0.37,0.72,76.8,1099,37.1,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucopogon microphyllus,Challenger Track KCNP,2.58,70.1,51.2,0.34,0.25,0.7,69.1,1348,45.7,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucopogon microphyllus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,15.6,8.8,15.1,23.9,0.0021,0.61,0.39,0.22,0.38,39.5,1.863,1.617,-0.509,0.422,-0.432,3.077,1.193,0.944,1.179,1.378,-2.67
Livistona australis,Bola Creek Royal NP,2118974,40,42.4,0.57,0.17,1.1,108,3364,63.8,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livistona australis,Dyke KCNP,878424,27.97,46.3,0.59,0.18,1.7,98.6,3312,61.5,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livistona australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wet,12.4,22.5,23.2,45.7,0.0012,0.79,0.21,0.39,0.4,58.1,2.014,1.797,-0.757,6.176,-0.237,3.52,1.093,1.352,1.365,1.66,-2.921
Lomatia myricoides ,Bola Creek Royal NP,3495,58.45,47.2,0.5,0.3,0.8,171,1739,57.2,Wet,21.8,11.7,24.4,36.1,0.0013,0.62,0.38,0.2,0.42,57.9,2.233,1.757,-0.523,3.543,-0.301,3.222,1.338,1.068,1.387,1.558,-2.895
Macrozamia communis,Dyke KCNP,367941,43.08,49.6,2.7,0.6,1.2,41.1,4591,55.8,Wet,23.2,8.5,25,33.5,0.0056,0.59,0.41,0.15,0.44,56.7,1.614,1.747,-0.222,5.566,0.431,3.653,1.365,0.929,1.398,1.525,-2.248
Palmeria scandens,Bola Creek Royal NP,5365,26.41,44,0.2,0.2,1.7,234,1213,75.3,Wet,16.4,14.9,30.1,45,7.00E-04,0.73,0.27,0.24,0.49,61.4,2.369,1.877,-0.699,3.73,-0.699,3,1.215,1.173,1.479,1.653,-3.154
Patersonia glabrata,Bundeena Road Royal NP,1126,63.48,47.5,2,0.69,0.77,40,3554,44.5,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patersonia glabrata,Challenger Track KCNP,591,63.5,47.5,1.81,0.68,0.77,44.2,2758,55,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patersonia glabrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,10.8,23.1,31,54.1,0.0026,0.83,0.17,0.36,0.48,64.9,1.624,1.697,-0.164,2.934,0.333,3.498,1.033,1.364,1.491,1.733,-2.591
Platysace linearifolia,Bundeena Road Royal NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,17.7,9.8,6.6,16.4,0.0031,0.48,0.52,0.29,0.19,34.1,1.758,1.728,-0.222,0.978,-1,2.222,1.248,0.991,0.82,1.215,-2.51
Persoonia lanceolata,Bundeena Road Royal NP,516,87.72,48.1,0.85,0.6,0.6,45.8,1490,58.8,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persoonia lanceolata,Challenger Track KCNP,888,70.2,47.2,1.1,0.6,0.67,48.2,1721,56.9,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persoonia lanceolata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,13.3,6.1,13.2,19.3,0.0028,0.59,0.41,0.19,0.4,32.6,1.672,1.762,-0.222,2.846,-0.011,3.211,1.124,0.785,1.121,1.286,-2.548
Platysace linearifolia,Bundeena Road Royal NP,9.5,47.04,51.5,0.1,0.6,1.18,57.3,164,53.4,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomaderris ferruginea,Dyke KCNP,913,41.48,46.9,0.3,0.3,1.13,81.2,867,30.8,Wet,10.1,14.8,26.5,41.3,0.0012,0.8,0.2,0.29,0.52,51.4,1.91,1.489,-0.523,2.96,-0.523,3,1.004,1.17,1.423,1.616,-2.905
Pteridium esculentum,Dyke KCNP,285807,31.71,43,0.39,0.31,1.37,94.5,1284,51,Wet,18,10.7,22.4,33.1,0.0019,0.65,0.35,0.21,0.44,51.1,1.975,1.708,-0.509,5.456,-0.409,3.1,1.255,1.029,1.35,1.52,-2.72
Pultenaea daphnoides,Dyke KCNP,137.52,22.67,48.8,0.11,0.255,2.16,104.36,412.7,65.38,Wet,14.5,16,14.6,30.6,0.0014,0.68,0.32,0.35,0.32,45.1,2.019,1.815,-0.593,2.138,-0.959,2.635,1.161,1.204,1.164,1.486,-2.857
Pultenaea elliptica,Challenger Track KCNP,18.1,52.7,51.6,0.17,0.3,1.06,102.3,516.6,54.2,Dry,20.6,13.1,11,24.1,0.002,0.54,0.46,0.29,0.25,44.7,2.01,1.734,-0.523,1.258,-0.77,2.753,1.314,1.117,1.041,1.382,-2.696
Pultenaea flexilis,Dyke KCNP,48.3,22.64,45.6,0.21,0.33,2.03,149.1,649.4,77.2,Wet,13.6,30.4,11.4,41.8,9.00E-04,0.75,0.25,0.55,0.21,55.4,2.173,1.888,-0.481,1.684,-0.678,2.804,1.134,1.483,1.057,1.621,-3.04
Ripogonum album,Bola Creek Royal NP,3881,41.6,47,0.69,0.28,1.1,128,2513,66.1,Wet,18.6,13.5,32.5,46,0.0015,0.71,0.29,0.21,0.5,64.6,2.107,1.82,-0.553,3.589,-0.161,3.392,1.27,1.13,1.512,1.663,-2.838
Syncarpia glomulifera,Bola Creek Royal NP,2886,41.41,50.7,0.6,0.2,1.2,84.6,2261.84,50.9,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncarpia glomulifera,Dyke KCNP,2910.3,45.89,46.96,0.67,0.29,1.03,73.9,2337.1,37.3,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncarpia glomulifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wet,16.7,11.7,19.2,30.9,0.0021,0.65,0.35,0.25,0.4,47.6,1.899,1.644,-0.611,3.462,-0.197,3.414,1.223,1.068,1.283,1.49,-2.676
Synoum glandulosum,Dyke KCNP,1036.9,28.16,46.65,0.18,0.31,1.66,124,554.7,64.4,Wet,10.8,11.7,12.9,24.6,9.00E-04,0.69,0.31,0.33,0.36,35.4,2.093,1.809,-0.509,3.016,-0.745,2.764,1.033,1.068,1.111,1.391,-3.06
Tasmannia insipida,Bola Creek Royal NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wet,23,8.6,13.5,22.1,NA,0.49,0.51,0.19,0.3,45.1,NA,NA,NA,NA,NA,NA,1.362,0.934,1.13,1.344,NA
Trochocarpa laurina,Bola Creek Royal NP,1236,53.54,46.9,0.82,0.26,0.9,119,3134,48,Wet,12.7,12.8,35.9,48.7,0.0011,0.79,0.21,0.21,0.58,61.4,2.076,1.681,-0.585,3.092,-0.086,3.499,1.104,1.107,1.555,1.688,-2.972
Wilkiea hugeliana,Bola Creek Royal NP,4205,38.71,43.3,0.7,0.3,1.2,105,2028,62.8,Wet,11.5,14.6,25.1,39.7,0.0011,0.78,0.22,0.29,0.49,51.2,2.021,1.798,-0.523,3.624,-0.155,3.368,1.061,1.164,1.4,1.599,-2.96
