name original,growth form,flowering duration,maximum height (m),dispersal mode,seritony,plant longevity,plant_height_duplicate,maximum height (m)_filtered
Cymbopogon refractus,Grass,Spring - Summer,0.25,NA,NA,NA,NA,0.25
Danthonia purpurascens,Grass,Spring - Summer,0.9,NA,NA,NA,Duplicate of GrassBase_2014_0880,NA
Chloris ventricosa,Grass,Summer,1,NA,NA,NA,Duplicate of GrassBase_2014_0240,NA
Hemarthria uncinata,Grass,Summer,0.1,NA,NA,NA,NA,0.1
Danthonia paradoxa,Grass,Summer,0.4,NA,NA,NA,NA,0.4
Stipa pubescens,Grass,Summer,0.4,NA,NA,NA,NA,0.4
Dichelachne micrantha,Grass,Summer,0.6,NA,NA,NA,NA,0.6
Dicanthium sericeum,Grass,Summer,0.7,NA,NA,NA,NA,0.7
Aristida benthamii,Grass,Summer,0.8,NA,NA,NA,NA,0.8
Aristida ramosa,Grass,Summer - Autumn,0.3,NA,NA,NA,NA,0.3
Aristida vagans,Grass,Summer - Autumn,0.8,NA,NA,NA,NA,0.8
Danthonia longifolia,Grass,NA,0.7,NA,NA,NA,NA,0.7
Digitaria parviflora,Grass,NA,0.7,NA,NA,NA,NA,0.7
Phragmites australis,Grass,Jan - Apr,3,anemochory,NA,NA,NA,3
Imperata cylindrica,Grass,Nov - Feb,0.8,anemochory,NA,NA,NA,0.8
Spinifex sericeus,Grass,Oct - Mar,1,anemochory,NA,NA,NA,1
Themeda australis,Grass,Sep - Mar,0.5,exo-zoochory,NA,NA,NA,0.5
Cenchrus caliculatus,Grass,Summer,0.2,exo-zoochory,NA,NA,NA,0.2
Rorippa laciniata,herb,NA,0.3,NA,no,annual,NA,0.3
Drosera peltata,herb,Sep - Dec,0.25,NA,no,NA,NA,0.25
Ranunculus lappaceus,herb,Aug - Dec,0.5,NA,no,NA,NA,0.5
Tetragonia tetragoniodes,herb,Aug - Sep,0.3,NA,no,NA,Duplicate of TMAG_2009_024,NA
Drosera binata,herb,Dec - Jan,0.3,NA,no,NA,NA,0.3
Sarcocornia quinqueflora,herb,Nov - Feb,0.25,NA,no,NA,NA,0.25
Drosera pygmaea,herb,Oct - Dec,0.05,NA,no,NA,NA,0.05
Drosera spathulata,herb,Oct - Feb,0.1,NA,no,NA,NA,0.1
Sueda australis,herb,Sep - Dec,0.8,NA,no,NA,Duplicate of TMAG_2009_032,NA
Crassula sieberana,herb,Sep - Nov,0.2,NA,no,NA,NA,0.2
Drosera auriculata,herb,Sep - Dec,0.25,NA,no,NA,NA,0.25
Gonocarpus micrantha,Herb,All year,0.1,NA,NA,NA,NA,0.1
Pterostylis acuminata,Herb,Apr - May,0.15,NA,NA,NA,NA,0.15
Pterostylis daintreana,Herb,Apr - Jul,0.3,NA,NA,NA,NA,0.3
Pterostylis longifolia,Herb,Apr - Oct,0.9,NA,NA,NA,NA,0.9
Caladenia caerulea,Herb,Aug - Sep,0.1,NA,NA,NA,NA,0.1
Caladenia testacea,Herb,Aug - Sep,0.1,NA,NA,NA,NA,0.1
Glossodia minor,Herb,Aug - Sep,0.15,NA,NA,NA,NA,0.15
Glossodia major,Herb,Aug - Sep,0.2,NA,NA,NA,NA,0.2
Pseuderantheum variabile,Herb,Dec - Jan,0.15,NA,NA,NA,NA,0.15
Gonocarpus teucrioides,Herb,Dec - Jan,0.4,NA,NA,NA,NA,0.4
Pterostylis obtusa,Herb,Feb - Jun,0.25,NA,NA,NA,NA,0.25
Cotula coronopifolia,Herb,Jul - Oct,0.1,NA,NA,NA,NA,0.1
Cotula australis,Herb,Jul - Oct,0.1,NA,NA,NA,NA,0.1
Pterostylis nutans,Herb,Jun - Sep,0.4,NA,NA,NA,NA,0.4
Pterostylis grandiflora,Herb,May - Jul,0.25,NA,NA,NA,NA,0.25
Rimacola elliptica,Herb,Nov - Dec,0.15,NA,NA,NA,NA,0.15
Cymbidium suave,Herb,Oct - Dec,0.4,NA,NA,NA,NA,0.4
Stylidium graminifolium,Herb,Oct - Dec,0.4,NA,NA,NA,NA,0.4
Wahlenbergia sp,Herb,Oct - Jan,0.5,NA,NA,NA,NA,0.5
Stylidium lineare,Herb,Sep - Dec,0.2,NA,NA,NA,NA,0.2
Mitrasacme polymorpha,Herb,Sep - Dec,0.25,NA,NA,NA,NA,0.25
Actinotus helianthi,Herb,Sep - Dec,0.4,NA,NA,NA,NA,0.4
Pomax umbellata,Herb,Sep - Nov,0.2,NA,NA,NA,NA,0.2
Caladenia carnea,Herb,Spring,0.2,NA,NA,NA,NA,0.2
Gonocarpus tetragyna,Herb,NA,0.4,NA,NA,NA,NA,0.4
Centipeda minima,Herb,NA,0.2,NA,NA,NA,Duplicate of WAH_1998_1127,NA
Utricularia dichotoma,Herb,Aug - Mar,0.2,NA,NA,NA,NA,0.2
Goodenia paniculata,Herb,Dec - Feb,0.5,NA,NA,NA,Duplicate of Barlow_1981_1814,NA
Pratia pendunculata,Herb,Dec - Mar,0.02,NA,NA,NA,NA,0.02
Pratia purpurescens,Herb,Dec - May,12,NA,NA,NA,NA,12
Utricularia lateriflora,Herb,Feb - Mar,0.08,NA,NA,NA,NA,0.08
Utricularia uliginosa,Herb,Feb - Mar,0.08,NA,NA,NA,NA,0.08
Goodenia stelligera,Herb,Jul - Dec,0.4,NA,NA,NA,NA,0.4
Lobelia dentata,Herb,Jul - Feb,0.4,NA,NA,NA,NA,0.4
Velleia lyrata,Herb,Jun - Jul,0.3,NA,NA,NA,NA,0.3
Laxmannia gracilis,Herb,Nov - Dec,0.3,NA,NA,NA,NA,0.3
Triglochin striata,Herb,Nov - Dec,0.3,NA,NA,NA,NA,0.3
Lobelia alata,Herb,Nov - Jan,0.2,NA,NA,NA,NA,0.2
Scaevola ramosissima,Herb,Nov - Jan,0.3,NA,NA,NA,NA,0.3
Goodenia dimorpha,Herb,Nov - MAr,0.3,NA,NA,NA,NA,0.3
Brunoniella australis,Herb,Oct - Dec,0.2,NA,NA,NA,NA,0.2
Goodenia heterophylla,Herb,Oct - Feb,0.4,NA,NA,NA,Duplicate of Barlow_1981_1764,NA
Velleia spathulata,Herb,Oct - Jan,0.2,NA,NA,NA,NA,0.2
Scutellaria mollis,Herb,Sep - Dec,0.3,NA,NA,NA,NA,0.3
Opercularia varia,Herb,Sep - Nov,0.3,NA,NA,NA,NA,0.3
Centella asiatica,Herb,Dec - Jan,0.1,NA,NA,NA,NA,0.1
Senecio glomeratus,Herb,Summer,0.5,anemochory,NA,annual,NA,0.5
Epilobium billardierianum,Herb,Dec - Feb,0.3,anemochory,NA,NA,NA,0.3
Senecio lautus ssp dissec,Herb,May - Oct,0.7,anemochory,NA,NA,NA,0.7
Vernonia cinerea,Herb,Nov - Apr,0.5,anemochory,NA,NA,NA,0.5
Lagenifera stipitata,Herb,Oct - Dec,0.4,anemochory,NA,NA,NA,0.4
Helichrysum apiculatum,Herb,Oct - Dec,0.5,anemochory,NA,NA,NA,0.5
Vittadinia triloba,Herb,Oct - Feb,0.3,anemochory,NA,NA,NA,0.3
Senecio linearifolius,Herb,Sep - Nov,1,anemochory,NA,NA,NA,1
Helichrysum scorpioides,Herb,Sep - Nov,0.3,anemochory,NA,NA,NA,0.3
Poranthera microphylla,herb,Sep - Dec,0.1,ballistic + ant,no,annual,Duplicate of WAH_1998_5031,NA
Carpobrotus glaucesens,herb,All year,0.25,endozoochory,no,NA,NA,0.25
Peperomia leptostachya,HERB,Nov - Dec,0.3,endozoochory,NA,NA,NA,0.3
Ranunculus plebius,herb,Dec - Jan,0.3,exo-zoochory,no,NA,NA,0.3
Daucus glochidiatus,Herb,Spring,0.1,exo-zoochory,NA,NA,NA,0.1
Actinotus minor,Herb,All year,0.3,myrmecochory,NA,NA,NA,0.3
Xanthosia pilosa,Herb,Aug - Feb,0.6,myrmecochory,NA,NA,NA,0.6
Goodenia bellidifolia,Herb,Nov - Feb,0.3,myrmecochory,NA,NA,NA,0.3
Viola hederacea,Herb,Sep - Dec,0.1,myrmecochory,NA,NA,NA,0.1
Opercularia aspera,Herb,Sep - Nov,0.3,myrmecochory,NA,NA,NA,0.3
Opercularia hispida,Herb,Sep - Nov,0.3,myrmecochory,NA,NA,NA,0.3
Pelargonium inodorum,herb,NA,0.4,NA,no,annual,NA,0.4
Pelargonium australe,herb,Dec - Jan,0.5,NA,no,NA,Duplicate of WAH_1998_4652,NA
Geranium solanderi,herb,Sep - Feb,0.5,NA,no,NA,NA,0.5
Trachymene procumbens,Herb,Aug - Dec,0.1,NA,NA,NA,NA,0.1
Plectranthus parviflorus,Herb,Aug - Mar,0.4,NA,NA,NA,NA,0.4
Ludwigia peploides,Herb,Jan - Apr,0.1,NA,NA,NA,NA,0.1
Samolus repens,Herb,Oct - Jan,0.3,NA,NA,NA,NA,0.3
Hypericum japonicum,Herb,Sep - Feb,0.15,NA,NA,NA,NA,0.15
Apium prostratum,Herb,Sep - Nov,0.1,NA,NA,NA,NA,0.1
Vittadinia scabra,Herb,Summer,0.3,NA,NA,NA,NA,0.3
Verbena officinalis,Herb,NA,NA,NA,NA,NA,NA,NA
Dichondra repens,"Herb, cree",Sep - Dec,0.02,NA,NA,NA,NA,0.02
Alocasia macrorrhizos,"Herb, Pere",Dec - Mar,1,endozoochory,NA,NA,NA,1
Xanthosia tridentata,"Herb, wood",Mar - Nov,0.2,myrmecochory,NA,NA,NA,0.2
Eucalyptus obtusiflora,mallee,Aug - Dec,6,NA,NA,NA,NA,6
Eucalyptus stricta,mallee,Dec - Apr,3,NA,NA,NA,NA,3
Eucalyptus luehmanniana,mallee,Jul - Nov,6,NA,NA,NA,NA,6
Notothixos subaureus,PARA,All year,NA,endozoochory,no,NA,NA,NA
Amyema pendulum,PARA,Aug - Nov,NA,endozoochory,no,NA,NA,NA
Muellerina eucalyptoides,PARA,Dec - Feb,NA,endozoochory,no,NA,NA,NA
Dendrophthoe vitellina,PARA,Jul - Sep,NA,endozoochory,no,NA,NA,NA
Amyema congener,PARA,Jun - Nov,NA,endozoochory,no,NA,NA,NA
Cassytha glabella,para,Nov - Mar,NA,endozoochory,no,NA,NA,NA
Cassytha paniculata,para,Oct - Dec,NA,endozoochory,no,NA,NA,NA
Cassytha pubescens,para,Oct - Dec,NA,endozoochory,no,NA,NA,NA
Typha domingensis,Reed,Dec - Feb,2,anemochory,NA,NA,NA,2
Dipodium punctatum,Saprophyte,Nov - Jan,0.5,NA,NA,NA,NA,0.5
Cyathochaeta diandra,Sedge,NA,0.9,NA,NA,NA,NA,0.9
Schoenus melanostachys,Sedge,Aug - Feb,0.4,NA,NA,NA,NA,0.4
Schoenus ericetorum,Sedge,Oct - Nov,0.3,NA,NA,NA,NA,0.3
Schoenus imberbis,Sedge,Oct - Nov,0.3,NA,NA,NA,NA,0.3
Ptilanthelium deustum,Sedge,Sep - Nov,0.4,NA,NA,NA,NA,0.4
Lepidosperma viscidium,Sedge,Dec - Feb,0.7,NA,NA,NA,NA,0.7
Schoenus brevifolius,Sedge,Dec - Mar,0.7,NA,NA,NA,NA,0.7
Schoenus villosus,Sedge,May - Jun,0.2,NA,NA,NA,NA,0.2
Schoenus paludosus,Sedge,May - Jun,0.4,NA,NA,NA,NA,0.4
Lepidosperma longitudinal,sedge,Nov - Jan,2,NA,NA,NA,Duplicate of WAH_1998_3713,NA
Baumea rubiginosa,Sedge,Oct - Dec,1,NA,NA,NA,NA,1
Baumea juncea,Sedge,Oct - Dec,0.7,NA,NA,NA,NA,0.7
Lepidosperma laterale,Sedge,Sep - Mar,1,myrmecochory,NA,NA,NA,1
Cyperus sanguinolentus,Sedge,Dec - Apr,0.3,NA,NA,NA,NA,0.3
Gahnia erythrocarpa,Sedge,irregular,2,NA,NA,NA,NA,2
Gahnia melanocarpa,Sedge,Jun - Jul,2,NA,NA,NA,NA,2
Isolepis inundata,Sedge,Aug - Dec,0.3,NA,NA,annual,NA,0.3
Isolepis nodosa,Sedge,Oct - Feb,0.9,NA,NA,annual,NA,0.9
Baumea acuta,Sedge,NA,1,NA,NA,NA,NA,1
Schoenus moorei,Sedge,NA,0.15,NA,NA,NA,NA,0.15
Lepidosperma lineare,Sedge,NA,0.6,NA,NA,NA,NA,0.6
Lepidosperma filiforme,Sedge,NA,0.7,NA,NA,NA,NA,0.7
Cyperus difformis,Sedge,Dec - Mar,0.5,NA,NA,NA,NA,0.5
Gahnia clarkei,Sedge,irregular,2,NA,NA,NA,NA,2
Eleocharis sphacelata,Sedge,Nov - Apr,2,NA,NA,NA,Duplicate of WAH_1998_2005,NA
Schoenus apogon,Sedge,Nov - Dec,0.25,NA,NA,NA,NA,0.25
Schoenus turbinatus,Sedge,Oct - Feb,0.4,NA,NA,NA,NA,0.4
Gahnia sieberana,Sedge,Sep - Dec,2,NA,NA,NA,Duplicate of Hughes_1992_243,2
Chorizandra cymbaria,Sedge,Sep - Nov,1,NA,NA,NA,Duplicate of WAH_1998_1210,NA
Schoenus pachylepis,Sedge,NA,0.3,NA,NA,NA,NA,0.3
Carex pumila,Sedge,Sep - Dec,0.3,NA,NA,NA,NA,0.3
Tricostularia pauciflora,Sedge,NA,0.3,myrmecochory,NA,NA,NA,0.3
Lepidosperma flexuosum,Sedge,Apr - May,1,myrmecochory,NA,NA,NA,1
Caustis pentandra,Sedge,Apr - May,2,myrmecochory,NA,NA,NA,2
Lepidosperma urophorum,Sedge,Jul - Aug,1,myrmecochory,NA,NA,NA,1
Caustis flexuosa,Sedge,Sep - Nov,0.8,myrmecochory,NA,NA,NA,0.8
Lepidosperma neesii,Sedge,May - Jun,0.8,NA,NA,NA,NA,0.8
Leptospermum attenuatum,Shrub,Aug - Dec,4,NA,NA,NA,NA,4
Angophora hispida,shrub,Oct - Dec,2.5,NA,NA,NA,NA,2.5
Phyllanthus thymoides,shrub,Jul - Nov,0.4,NA,no,NA,NA,0.4
Banksia spinulosa,shrub,Mar - Sep,2,anemochory,yes,NA,NA,2
Rubus rosifolius,shrub,All year,1,endozoochory,no,NA,NA,1
Rubus parvifolius,shrub,Oct - Dec,1,endozoochory,no,NA,NA,1
Pomaderris lanigera,shrub,Aug - Sep,2,NA,no,NA,NA,2
Petrophile pulchella,shrub,Dec - Mar,3,NA,yes,NA,Duplicate of Barlow_1981_3410,NA
Isopogon anethifolius,shrub,Sep - Dec,2,NA,yes,NA,Duplicate of Barlow_1981_2742,NA
Lambertia formosa,shrub,Sep - May,2,NA,yes,NA,Duplicate of Barlow_1981_2837,NA
Isopogon anemonifolius,shrub,Sep - Nov,2,NA,yes,NA,Duplicate of Barlow_1981_2741,NA
Conospermum longifolium,shrub,Jul - Nov,1,NA,no,NA,NA,1
Conospermum taxifolium,shrub,Jul - Oct,1,NA,no,NA,NA,1
Acacia ulicifolia,shrub,Jun - Sep,2,NA,no,NA,NA,2
Stackhousia nuda,shrub,Nov - Feb,0.8,NA,no,NA,NA,0.8
Stackhousia viminea,shrub,Oct - Dec,0.6,NA,no,NA,NA,0.6
Conospermum tenuifolium,shrub,Sep - Jan,1,NA,no,NA,NA,1
Viminaria juncea,shrub,Sep - Nov,3,NA,no,NA,NA,3
Sphaerolobium vimineum,shrub,Sep - Nov,0.5,NA,no,NA,NA,0.5
Epacris longiflora,shrub,Apr - Nov,1,NA,NA,NA,NA,1
Darwinia leptantha,Shrub,Apr - Sep,0.8,NA,NA,NA,NA,0.8
Xanthorrhoea media,Shrub,Aug - Mar,1,NA,NA,NA,NA,1
Micromyrtus ciliata,Shrub,Aug - Sep,0.5,NA,NA,NA,NA,0.5
Tristania neriifolia,Shrub,Dec - Jan,3,NA,NA,NA,NA,3
Baeckia densifolia,Shrub,Dec - May,2,NA,NA,NA,NA,2
Baeckia brevifolia,Shrub,Feb - Apr;Jul - Aug,0.8,NA,NA,NA,NA,0.8
Baeckia imbricata,Shrub,Feb - May,0.8,NA,NA,NA,NA,0.8
Leptospermum squarrosum,Shrub,Jan - Apr,3,NA,NA,NA,NA,3
Baeckia linifolia,Shrub,Jan - Feb,2,NA,NA,NA,NA,2
Darwinia biflora,Shrub,Jul - Nov,0.8,NA,NA,NA,NA,0.8
Sprengelia incarnata,shrub,Jul - Oct,1,NA,NA,NA,NA,1
Darwinia procera,Shrub,Jul - Oct,2,NA,NA,NA,NA,2
Leptospermum laevigatum,Shrub,Jul - Oct,4,NA,NA,NA,NA,4
Epacris microphylla,shrub,Jun - Nov,0.6,NA,NA,NA,NA,0.6
Epacris obtusifolia,shrub,Jun - Nov,0.8,NA,NA,NA,NA,0.8
Darwinia fascicularis,Shrub,Jun - Sep,2,NA,NA,NA,NA,2
Epacris pulchella,shrub,Mar - Jun,1,NA,NA,NA,NA,1
Callistemon citrinus,Shrub,Mar - May; Oct - Dec,2,NA,NA,NA,NA,2
Woollsia pungens,shrub,May - Sep,1,NA,NA,NA,NA,1
Leptospermum arachnoides,Shrub,Nov - Dec,1,NA,NA,NA,NA,1
Epacris crassifolia,shrub,Nov - Jan,1,NA,NA,NA,NA,1
Xanthorrhoea arborea,Shrub,Nov - Jan,2,NA,NA,NA,Duplicate of Barlow_1981_4258,NA
Melaleuca erubescens,Shrub,Nov - Jan,4,NA,NA,NA,NA,4
Callistemon linearis,Shrub,Oct - Dec,2,NA,NA,NA,NA,2
Kunzea ambigua,Shrub,Oct - Dec,5,NA,NA,NA,NA,5
Melaleuca hypericifolia,Shrub,Oct - Jan,1,NA,NA,NA,NA,1
Leptospermum juniperinum,Shrub,Oct - Jan,2,NA,NA,NA,NA,2
Melaleuca thymifolia,Shrub,Oct - Jan,2,NA,NA,NA,NA,2
Callistemon linearifolius,Shrub,Oct - Nov,2,NA,NA,NA,NA,2
Callistemon rigidus,Shrub,Oct - Nov,2,NA,NA,NA,NA,2
Leptospermum lanigerum,Shrub,Oct - Nov,3,NA,NA,NA,NA,3
Baeckia diosmifolia,Shrub,Sep - Dec,1,NA,NA,NA,NA,1
Leptospermum polygalifoli,Shrub,Sep - Dec,2,NA,NA,NA,NA,2
Callistemon pinifolius,Shrub,Sep - Nov,2,NA,NA,NA,NA,2
Melaleuca deanei,Shrub,Sep - Nov,3,NA,NA,NA,NA,3
Epacris purpurascens,shrub,Sep - Oct,1,NA,NA,NA,NA,1
Kunzea capitata,Shrub,Sep - Oct,2,NA,NA,NA,NA,2
Callistemon shiressii,Shrub,Sep - Oct,3,NA,NA,NA,NA,3
Leptospermum parvifolium,Shrub,Sep -Nov,1,NA,NA,NA,NA,1
Westringia fruticosa,Shrub,All year,1.5,NA,NA,NA,NA,1.5
Goodenia ovata,Shrub,Oct - Dec,1,NA,NA,NA,NA,1
Astrotricha floccosa,shrub,Oct - Jan,3,NA,NA,NA,NA,3
Dampiera purpurea,Shrub,Oct - Nov,1,NA,NA,NA,Duplicate of Barlow_1981_1081,NA
Breynia oblongifolia,shrub,Oct - Dec,2,NA,no,NA,NA,2
Pultenaea ferruginea,shrub,Sep - Nov,2,NA,no,NA,NA,2
Billardiera procumbens,shrub,Sep - Nov,0.25,NA,no,NA,NA,0.25
Gompholobium minus,shrub,Sep - Nov,0.3,NA,no,NA,NA,0.3
Mirbelia rubiifolia,shrub,Sep - Nov,0.5,NA,no,NA,NA,0.5
Prostanthera linearis,Shrub,Aug - Mar,3,NA,NA,NA,NA,3
