site ID,species,SLA (cm2/g),LA/SA (cm2/cm2),WD (g/cm3),Kh (kg*m/Mpa*s),Ks,Kl
Westhead Kuringai Chase National Park,Syncarpia glomulifera,63.81872083,794.7156171,0.549633532,2.46E-05,0.447959752,0.000563673
Westhead Kuringai Chase National Park,Synoum glandulosum,93.9875693,1694.309175,0.510690239,5.97E-06,0.430126663,0.000253866
Westhead Kuringai Chase National Park,Synoum glandulosum,90.14349406,801.4586152,0.526142837,5.31E-06,0.176888021,0.000220708
Westhead Kuringai Chase National Park,Synoum glandulosum,109.2893967,1021.262693,0.532071897,1.62E-05,0.636634654,0.00062338
Westhead Kuringai Chase National Park,Synoum glandulosum,79.36456425,857.8792836,0.480894244,9.82E-06,0.471961098,0.000550149
Murrua Track Kuringai Chase National Park,Acacia suaveolens,41.68225131,1664.473684,0.633635849,1.62E-06,0.576816257,0.000346546
Murrua Track Kuringai Chase National Park,Acacia suaveolens,47.677731,1220.567857,0.667734021,7.42E-06,0.471511618,0.000386305
Murrua Track Kuringai Chase National Park,Acacia suaveolens,46.87916199,2933.720413,0.598407859,2.50E-06,0.584666475,0.000199292
Murrua Track Kuringai Chase National Park,Boronia ledifolia,57.80110469,670.3407892,0.720825137,3.75E-06,0.373735336,0.00055753
Murrua Track Kuringai Chase National Park,Boronia ledifolia,51.61511945,894.1562608,0.901245961,3.70E-06,0.383021765,0.000428361
Murrua Track Kuringai Chase National Park,Boronia ledifolia,57.53793064,971.4928913,0.862886154,3.08E-06,0.392704769,0.000404228
Murrua Track Kuringai Chase National Park,Eriostemon australasius,66.07178646,3220.20202,0.913539456,7.39E-06,1.639598382,0.00050916
Murrua Track Kuringai Chase National Park,Eriostemon australasius,64.51976356,842.6820127,0.904956286,4.26E-06,0.4678695,0.000555215
Murrua Track Kuringai Chase National Park,Eriostemon australasius,73.2865044,925.5744135,0.910439623,5.27E-06,0.51768435,0.000559311
Murrua Track Kuringai Chase National Park,Eriostemon australasius,87.5169014,961.385817,0.715420225,4.57E-06,0.421948396,0.000438896
Murrua Track Kuringai Chase National Park,Eriostemon australasius,78.26043288,774.0927665,0.842030644,5.24E-06,0.520829878,0.000672826
Murrua Track Kuringai Chase National Park,Hakea dactyloides,31.13210925,1810.9161,0.709787021,1.26E-05,0.674021929,0.000372199
Murrua Track Kuringai Chase National Park,Hakea dactyloides,32.87403134,2658.961595,0.837830518,4.42E-06,0.487839812,0.00018347
Murrua Track Kuringai Chase National Park,Hakea dactyloides,35.00527965,1632.141492,0.687947191,3.41E-06,0.267120021,0.000163662
Murrua Track Kuringai Chase National Park,Hakea dactyloides,36.9305965,2126.360255,0.766222259,4.10E-06,0.428164843,0.00020136
Murrua Track Kuringai Chase National Park,Lambertia formosa,41.75520572,2699.86864,0.712599884,1.57E-05,1.376589337,0.000509873
Murrua Track Kuringai Chase National Park,Lambertia formosa,33.37781004,2574.178886,0.757538204,2.47E-05,1.764765454,0.000685564
Murrua Track Kuringai Chase National Park,Lambertia formosa,45.19164284,3002.097434,0.668589451,1.16E-05,0.987395489,0.000328902
Murrua Track Kuringai Chase National Park,Lambertia formosa,39.2603746,1646.301644,0.705052586,1.08E-05,1.026717911,0.000623651
Murrua Track Kuringai Chase National Park,Leptospermum trinervium,86.58331525,384.44037,0.80326335,1.29E-05,0.172568267,0.000448882
Murrua Track Kuringai Chase National Park,Leptospermum trinervium,84.28283167,227.7657905,0.929108465,2.07E-05,0.260283811,0.00114277
Murrua Track Kuringai Chase National Park,Leptospermum trinervium,71.28599932,187.0854883,1.026114749,1.15E-05,0.118608108,0.000633978
Murrua Track Kuringai Chase National Park,Persoonia levis,51.51192886,4025.343966,0.573397967,1.05E-05,0.780250388,0.000193834
Murrua Track Kuringai Chase National Park,Persoonia levis,37.96275048,1689.493966,0.640046116,5.84E-06,0.400113838,0.000236825
Murrua Track Kuringai Chase National Park,Persoonia levis,51.77497718,3060.914256,0.619705736,7.62E-06,0.625077114,0.000204213
Murrua Track Kuringai Chase National Park,Phyllota phylicoides,54.91732995,381.4237404,0.693028472,8.53E-06,0.551993668,0.001447193
Murrua Track Kuringai Chase National Park,Phyllota phylicoides,60.54509788,252.7174238,0.92080663,9.74E-06,0.33947893,0.001343314
Murrua Track Kuringai Chase National Park,Phyllota phylicoides,55.76335878,615.2549399,0.734541189,1.43E-05,0.577225318,0.000938189
Woodland Round Hill Nature Reserve,Acacia havilandiorum,40.38285785,510.1508018,0.875306319,3.12E-07,0.097350455,0.000190827
Woodland Round Hill Nature Reserve,Acacia havilandiorum,40.9766615,596.7768086,0.958315748,8.56E-07,0.235890929,0.000395275
Woodland Round Hill Nature Reserve,Acacia havilandiorum,31.71261274,603.3220191,0.88684646,1.10E-06,0.206122143,0.000341645
Woodland Round Hill Nature Reserve,Brachychiton populneus,84.8216641,6049.218243,0.499454095,1.13E-05,1.176778209,0.000194534
Woodland Round Hill Nature Reserve,Brachychiton populneus,90.33864794,11140.03149,0.655894455,4.65E-06,0.967244317,8.68E-05
Woodland Round Hill Nature Reserve,Brachychiton populneus,70.07832283,9263.787619,0.750807637,3.33E-06,0.699791991,7.55E-05
Woodland Round Hill Nature Reserve,Dodonaea viscosa ssp angustissima,74.15725466,2581.035754,0.977218861,3.61E-06,0.908162879,0.00035186
Woodland Round Hill Nature Reserve,Dodonaea viscosa ssp angustissima,84.03293449,4193.9661,1.038371524,5.29E-06,1.099860395,0.000262248
Woodland Round Hill Nature Reserve,Dodonaea viscosa ssp angustissima,70.6435764,3495.319342,0.974177208,3.25E-06,0.781357763,0.000223544
Woodland Round Hill Nature Reserve,Dodonaea viscosa ssp angustissima,59.18512346,1875.940367,1.092285445,2.45E-06,0.682217836,0.000363667
Woodland Round Hill Nature Reserve,Dodonaea viscosa ssp angustissima,56.18433789,2032.802982,0.963662518,5.28E-06,0.902199714,0.000443821
Woodland Round Hill Nature Reserve,Eremophila longifolia,49.41150616,3449.454287,0.666027546,5.49E-06,1.380321942,0.000400157
Woodland Round Hill Nature Reserve,Eremophila longifolia,46.55079679,3249.408336,0.813851091,8.11E-06,1.364986961,0.000420072
Woodland Round Hill Nature Reserve,Eremophila longifolia,34.74864925,3874.192153,0.791397971,4.16E-06,0.678359764,0.000175097
Woodland Round Hill Nature Reserve,Geijera parviflora,61.23919957,2807.121108,0.779147093,1.10E-05,1.193223013,0.00042507
Woodland Round Hill Nature Reserve,Geijera parviflora,71.33405823,531.6273867,0.804682634,2.63E-06,0.300248257,0.000564772
Woodland Round Hill Nature Reserve,Geijera parviflora,47.59811891,1338.398075,0.913316373,7.81E-06,0.913382515,0.000682445
Woodland Round Hill Nature Reserve,Geijera parviflora,68.59344658,671.8165313,0.918974268,3.50E-06,0.139886661,0.000208222
Woodland Round Hill Nature Reserve,Hakea tephrosperma,25.68810088,576.2702088,0.936037659,4.25E-06,0.285770442,0.000495897
Woodland Round Hill Nature Reserve,Hakea tephrosperma,22.94684754,724.9118583,0.810021936,9.64E-06,0.458388288,0.000632337
Woodland Round Hill Nature Reserve,Hakea tephrosperma,19.17178546,768.8243072,1.190045842,9.61E-06,0.689996659,0.00089747
Woodland Round Hill Nature Reserve,Philotheca difformis,39.26306414,1107.189297,0.88559086,1.71E-06,0.371286077,0.000335341
Woodland Round Hill Nature Reserve,Philotheca difformis,62.06731102,3622.785144,0.92801679,4.52E-06,1.304083553,0.000359967
Woodland Round Hill Nature Reserve,Philotheca difformis,63.37919237,4531.902275,0.949346084,5.00E-06,0.961006746,0.000212054
Woodland Round Hill Nature Reserve,Philotheca difformis,37.15421332,176.6379473,0.950053033,8.20E-07,0.069155882,0.000391512
Woodland Round Hill Nature Reserve,Senna artemisioides var 3lft,38.57587936,644.8819764,0.980885316,5.93E-06,0.418728669,0.000649311
Woodland Round Hill Nature Reserve,Senna artemisioides var 3lft,35.00899889,521.0577414,0.824893158,3.84E-06,0.172541466,0.000331137
Woodland Round Hill Nature Reserve,Senna artemisioides var 3lft,41.65911501,476.6333436,1.070002304,9.66E-06,0.405335961,0.000850415
Mallee Round Hill Nature Reserve,Acacia doratoxylon,58.19223131,567.4464763,0.859056402,1.17E-05,0.365716719,0.000644496
Mallee Round Hill Nature Reserve,Acacia doratoxylon,52.19352649,572.3133921,0.726451163,1.21E-05,0.421646545,0.000736741
Mallee Round Hill Nature Reserve,Acacia doratoxylon,41.32162678,783.6377138,0.865532498,1.18E-05,0.282959091,0.000361084
Mallee Round Hill Nature Reserve,Bertya cunninghamii,47.95594297,403.0370368,0.692569201,4.97E-06,0.282218434,0.00070023
Mallee Round Hill Nature Reserve,Bertya cunninghamii,50.99583437,465.6864795,0.684149704,4.74E-06,0.308181166,0.000661778
Mallee Round Hill Nature Reserve,Bertya cunninghamii,39.09132951,337.0780342,0.702943327,3.45E-06,0.128530335,0.000381307
Mallee Round Hill Nature Reserve,Beyeria opaca,61.509217,244.4750512,0.828171345,2.39E-06,0.111516297,0.000456146
Mallee Round Hill Nature Reserve,Beyeria opaca,67.96652474,311.4852953,0.798309519,1.06E-06,0.071289987,0.000228871
Mallee Round Hill Nature Reserve,Beyeria opaca,63.96771935,455.1080214,0.811894969,6.27E-07,0.0297684,6.54E-05
Mallee Round Hill Nature Reserve,Cassinia laevis,79.10935095,664.2466015,0.731866667,5.07E-06,0.264198533,0.000397742
Mallee Round Hill Nature Reserve,Cassinia laevis,73.63089533,916.2052486,0.776474242,4.82E-06,0.330677468,0.000360921
Mallee Round Hill Nature Reserve,Cassinia laevis,52.57627491,784.3150681,0.773118042,3.79E-06,0.282382308,0.000360037
Mallee Round Hill Nature Reserve,Eremophila glabra,84.5364125,1347.964557,0.786037572,1.55E-06,0.184444126,0.000136832
Mallee Round Hill Nature Reserve,Eremophila glabra,69.65863138,1479.420181,0.78525594,1.62E-06,0.235611668,0.000159259
Mallee Round Hill Nature Reserve,Eremophila glabra,73.00618626,647.6022402,0.67468362,2.05E-06,0.304583208,0.000470325
Mallee Round Hill Nature Reserve,Eremophila glabra,50.52045906,946.8653147,0.819243362,3.34E-06,0.445632722,0.00047064
Mallee Round Hill Nature Reserve,Eucalyptus socialis,35.04526986,3117.293339,0.783039363,1.13E-06,0.131355318,4.21E-05
Mallee Round Hill Nature Reserve,Eucalyptus socialis,35.39413984,2533.491668,0.83709894,3.71E-06,0.424607595,0.000167598
Mallee Round Hill Nature Reserve,Eucalyptus socialis,34.20636689,3301.886342,0.858036585,5.34E-06,0.770403301,0.000233322
Mallee Round Hill Nature Reserve,Melaleuca uncinata,36.49039279,258.1705035,0.688818193,8.20E-06,0.205560676,0.000796221
Mallee Round Hill Nature Reserve,Melaleuca uncinata,49.29304304,156.2002393,0.817983142,1.03E-05,0.291086704,0.001863548
Mallee Round Hill Nature Reserve,Melaleuca uncinata,41.41195657,125.8162657,0.754260182,5.77E-06,0.150479887,0.001196029
Mallee Round Hill Nature Reserve,Olearia pimelioides,69.56184509,762.2727957,0.785866615,2.74E-07,0.044766768,5.87E-05
Mallee Round Hill Nature Reserve,Olearia pimelioides,94.90921994,1004.842864,0.844632006,8.40E-07,0.104120687,0.000103619
Mallee Round Hill Nature Reserve,Olearia pimelioides,81.3757751,1217.82533,0.838681196,8.59E-07,0.121553521,9.98E-05
