Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Lycopogon fastigatum,96,92,NA,NA,NA,NA,NA,NA,NA,NA,1
Lythrum hyssopifolia,96,92,19.57,NA,NA,NA,NA,NA,NA,NA,NA
Maireana decalvans,96,92,2.44,NA,NA,NA,NA,NA,NA,NA,NA
Maireana enchylaenoides,96,92,26.39,NA,NA,NA,NA,NA,NA,NA,NA
Maireana excavata,96,92,22.5,NA,NA,NA,NA,NA,NA,NA,NA
Maireana pentagona,96,92,34.75,NA,NA,NA,NA,NA,NA,NA,NA
Microseris lanceolata,96,92,19.8,NA,131.8,NA,NA,NA,137.79,NA,NA
Microseris lanceolata,96,92,NA,NA,NA,NA,3.252,NA,NA,NA,704
Minuria leptophylla,96,92,1.99,NA,NA,NA,NA,NA,NA,NA,NA
Neopaxia australasica,96,92,14.51,NA,14.8,NA,NA,NA,160.5,NA,NA
Neopaxia australasica,96,92,NA,NA,NA,NA,0.752,NA,NA,NA,41
Oreomyrrhis ciliata,96,92,10.76,NA,68,NA,NA,NA,320,NA,NA
Oreomyrrhis eriopoda,96,92,9.59,NA,87.2,NA,NA,NA,241,NA,NA
Oreomyrrhis eriopoda,96,92,NA,NA,NA,NA,4.539,NA,NA,NA,81
Oreomyrrhis pulvinifica,96,92,14.86,NA,18.1,NA,NA,NA,205.38,NA,NA
Oreomyrrhis pulvinifica,96,92,NA,NA,NA,NA,1.04,NA,NA,NA,42
Oxalis perennans,96,92,34.44,NA,NA,NA,NA,NA,NA,NA,NA
Parantennaria uniceps,96,92,74.92,NA,4.8,NA,NA,NA,152.17,NA,NA
Plantago alpestris,96,92,NA,NA,NA,NA,0.417,NA,NA,NA,274
Plantago glacialis,96,92,8.28,NA,8.5,NA,NA,NA,398.57,NA,NA
Plantago glacialis,96,92,NA,NA,NA,NA,0.24,NA,NA,NA,37
Plantago muelleri,96,92,8.35,NA,29.1,NA,NA,NA,180.19,NA,NA
Plantago varia,96,92,28.56,NA,NA,NA,NA,NA,NA,NA,NA
Poa costiniana,96,92,5.8,NA,124.8,NA,NA,NA,366.61,NA,NA
Poa costiniana,96,92,NA,NA,NA,NA,0.198,NA,NA,NA,386
Poa fawcettiae,96,92,61.02,NA,158.9,NA,NA,NA,115.38,NA,NA
Poa fawcettiae,96,92,NA,NA,NA,NA,0.359,NA,NA,NA,138
Poa hiemata,96,92,NA,NA,57.6,NA,NA,NA,0,NA,NA
Poa hiemata,96,92,NA,NA,NA,NA,0.35,NA,NA,NA,57
Poa saxicola,96,92,115.85,NA,156.1,NA,NA,NA,60,NA,NA
Poa saxicola,96,92,NA,NA,NA,NA,0.97,NA,NA,NA,192
Podocarpus lawrencei,96,92,NA,NA,NA,NA,14.351,NA,NA,NA,18
Pogonolepis muelleriana,96,92,57.25,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum alpestre,96,92,18.75,NA,206.2,NA,NA,NA,137.55,NA,NA
Prasophyllum alpestre,96,92,NA,NA,NA,NA,0.013,NA,NA,NA,618
Prasophyllum alpinum,96,92,NA,NA,NA,NA,0.003,NA,NA,NA,308
Prasophyllum tadgellianum,96,92,22.89,NA,126.3,NA,NA,NA,133.13,NA,NA
Prasophyllum tadgellianum,96,92,NA,NA,NA,NA,NA,NA,NA,NA,592
Pratia surrepens s.l.,96,92,10.59,NA,2.6,NA,NA,NA,860.26,NA,NA
Ptilotus exaltatus,96,92,2.97,NA,NA,NA,NA,NA,NA,NA,NA
Pycnosorus globosus,96,92,25.97,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus acrophilus,96,92,51.29,NA,16,NA,NA,NA,35.29,NA,NA
Ranunculus acrophilus,96,92,NA,NA,NA,NA,1.076,NA,NA,NA,62
Ranunculus anemoneus,96,92,NA,NA,NA,NA,2.547,NA,NA,NA,5378
Ranunculus anenonemous,96,92,5.88,NA,196.7,NA,NA,NA,225.44,NA,NA
Ranunculus dissectifolius,96,92,NA,NA,NA,NA,1.748,NA,NA,NA,312
Ranunculus graniticola,96,92,23.23,NA,36,NA,NA,NA,111.84,NA,NA
Ranunculus gunnianus,96,92,9.33,NA,196.7,NA,NA,NA,177.55,NA,NA
Ranunculus millanii,96,92,12.53,NA,30,NA,NA,NA,278.89,NA,NA
Ranunculus muelleri,96,92,9.3,NA,61.7,NA,NA,NA,203.59,NA,NA
Ranunculus niphophilus,96,92,10.47,NA,30.7,NA,NA,NA,230.98,NA,NA
Ranunculus niphophilus,96,92,NA,NA,NA,NA,1.644,NA,NA,NA,145
Rhagodia candolleana,96,92,33.11,NA,NA,NA,NA,NA,NA,NA,NA
Rhodanthe corymbiflora,96,92,38.7,NA,NA,NA,NA,NA,NA,NA,NA
Rytidosperma nudiflorum,96,92,45.42,NA,77.7,NA,NA,NA,63.83,NA,NA
Rytidosperma nudiflorum,96,92,NA,NA,NA,NA,1.275,NA,NA,NA,47
Scleranthus biflorus,96,92,12.28,NA,11.4,NA,NA,NA,125,NA,NA
Scleranthus biflorus,96,92,NA,NA,NA,NA,0.552,NA,NA,NA,5
Sclerolaena diacantha,96,92,13.2,NA,NA,NA,NA,NA,NA,NA,NA
Senecio gunnii,96,92,25.6,NA,278.3,NA,NA,NA,111.68,NA,NA
Senecio gunnii,96,92,NA,NA,NA,NA,0.342,NA,NA,NA,34
Senecio pectinatus var. major,96,92,8.69,NA,22.9,NA,NA,NA,223.71,NA,NA
Senecio pinnatifolius var. pleicephalus,96,92,NA,NA,NA,NA,0.288,NA,NA,NA,97
Senecio pinnatifolius var. pleiocephalus,96,92,194.42,NA,191.7,NA,NA,NA,12.35,NA,NA
Sida corrugata,96,92,38.56,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia pulvinaris,96,92,NA,NA,NA,NA,2.635,NA,NA,NA,6
Stackhousia pulvinarus,96,92,5.96,NA,12.6,NA,NA,NA,512.5,NA,NA
Swainsona procumbens,96,92,18.72,NA,NA,NA,NA,NA,NA,NA,NA
Swainsona swainsonioides,96,92,1.8,NA,NA,NA,NA,NA,NA,NA,NA
Teucrium racemosum,96,92,4.93,NA,NA,NA,NA,NA,NA,NA,NA
Trisetum spicatum subsp australiense,96,92,NA,NA,NA,NA,0.377,NA,NA,NA,463
Trisetum spicatum subsp. australiense,96,92,18.54,NA,194.9,NA,NA,NA,119.34,NA,NA
Uncinia sulcata,96,92,19.81,NA,89.7,NA,NA,NA,200,NA,NA
Viola betonicifolia,96,92,NA,NA,NA,NA,1.365,NA,NA,NA,187
Viola betonicifolia subsp. betonicifolia,96,92,17.18,NA,31.3,NA,NA,NA,234.32,NA,NA
Vittadinia cuneata,96,92,3.54,NA,NA,NA,NA,NA,NA,NA,NA
Wahlenbergia ceracea,96,92,19.61,NA,45.2,NA,NA,NA,301.58,NA,NA
Wahlenbergia ceracea,96,92,NA,NA,NA,NA,0.02,NA,NA,NA,140
Wurmbea dioica,96,92,24.48,NA,NA,NA,NA,NA,NA,NA,NA
Zygophyllum glaucum,96,92,1.47,NA,NA,NA,NA,NA,NA,NA,NA
Juncus subsecundus,96,92,6.3,NA,NA,NA,NA,NA,NA,NA,NA
Lawrencia squamata,96,92,NA,NA,NA,NA,0.0248,NA,NA,NA,NA
Lycium australe,96,92,11.52,NA,NA,NA,NA,NA,NA,NA,NA
Plantago euryphylla,96,92,1269.21,NA,3,NA,NA,NA,196.32,NA,NA
Salsola tragus subsp. tragus,96,92,8.11,NA,NA,NA,NA,NA,NA,NA,NA
Whalleya proluta,96,92,2.43,NA,NA,NA,NA,NA,NA,NA,NA
Acaena sp.,96,92,19.99,NA,47.3,NA,NA,NA,385,NA,NA
Craspedia sp.,96,92,NA,NA,NA,NA,0.92,NA,NA,NA,506
Austrodanthonia sp.,96,92,2.95,NA,NA,NA,NA,NA,NA,NA,NA
Avena sp.,96,92,20.9,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia sp. B,96,92,15.96,NA,94.8,NA,NA,NA,199.3,NA,NA
Solanum sp.,96,92,32.9,NA,NA,NA,NA,NA,NA,NA,NA
Melictys sp.,96,92,NA,NA,NA,NA,12.452,NA,NA,NA,16
Spergularia sp.,96,92,1.44,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome spathulata,96,92,NA,NA,NA,NA,0.239,NA,NA,NA,195
Brachysome spatulatha subsp. spathulata,96,92,22.9,NA,35.6,NA,NA,NA,71.43,NA,NA
Trisetum spicatum subsp. australiense,96,92,NA,NA,NA,NA,0.377,NA,NA,NA,463
Trisetum spicatum subsp. australiense,96,92,18.54,NA,194.9,NA,NA,NA,119.34,NA,NA
Austrostipa sp.,96,92,7.26,NA,NA,NA,NA,NA,NA,NA,NA
Isolepis sp.,96,92,10.48,NA,NA,NA,NA,NA,NA,NA,NA
