Family,Genus,Species,Introduced,Fire_response,Fire induced flowering,Geophyte,Thickets,Sandplains,Granites
Droseraceae,Drosera,macrantha,,RSS,,x,x,,
Droseraceae,Drosera,menziesii,,RSS,x,x,,x,
Droseraceae,Drosera,menziesii subsp. Penicillaris,,RSS,x,x,x,,
Droseraceae,Drosera,pulchella,,RSS,,,,,x
Elaeocarpaceae,Tetratheca,setigera,,?NSS*,,,,x,
Eremosynaceae,Eremosyne,pectinata,,A,x,,x,,x
Ericaceae,Andersonia,caerulea,,NSS,,,,x,
Ericaceae,Andersonia,micrantha,,NSS*,,,,x,
Ericaceae,Andersonia,sprengelioides,,NSS,x,,,,x
Ericaceae,Leucopogon,altissimus,,NSS,,,x,x,x
Ericaceae,Leucopogon,assimilis,,NSS*,,,x,,x
Ericaceae,Leucopogon,elegans,,NSS,,,,x,x
Ericaceae,Leucopogon,obovatus,,NSS,,,x,x,x
Ericaceae,Leucopogon,reflexus,,NSS*,,,x,x,x
Ericaceae,Leucopogon,verticillatus,,RSS,,,x,,
Ericaceae,Lysinema,ciliatum,,NSS,,,,x,
Ericaceae,Lysinema,sp.,,NSS,,,,x,
Ericaceae,Sphenotoma,dracophylloides,,NSS*,,,,x,
Ericaceae,Styphelia,discolor,,NSS*,,,,x,
Ericaceae,Styphelia,erubescens,,NSS*,,,x,,x
Ericaceae,Styphelia,madida,,NSS*,,,x,x,x
Ericaceae,Styphelia,racemulosa,,NSS*,,,x,,
Euphorbiaceae,Amperea,ericoides,,RSS,,,,x,
Euphorbiaceae,Ricinocarpus,glaucus,,NSS,,,x,,x
Fabaceae,?Sphaerolobium,sp.,,?NSS*,,,x,,
Fabaceae,Acacia,leioderma,,NSS*,,,x,,
Fabaceae,Acacia,myrtifolia,,NSS,,,x,,x
Fabaceae,Acacia,sulcata,,NSS,,,,,x
Fabaceae,Bossiaea,dentata,,NSS*,,,x,,x
Fabaceae,Bossiaea,linophylla,,NSS*,,,x,,
Fabaceae,Bossiaea,praetermissa,,NSS*,,,x,x,
Fabaceae,Chorizema,glycinifolium,,NSS*,,,,x,
Fabaceae,Chorizema,rhombeum,,NSS,,,x,,
Fabaceae,Chorizema,sp.,,NSS*,,,,x,
Fabaceae,Daviesia,gracilis,,RSS*,,,,x,
Fabaceae,Daviesia,incrassata,,NSS+,,,,x,
Fabaceae,Eutaxia,myrtifolia,,NSS,,,x,x,x
Fabaceae,Gastrolobium,bilobum,,NSS,,,x,,x
Fabaceae,Gastrolobium,coriaceum,,NSS,,,x,x,x
Fabaceae,Gompholobium,scabrum,,NSS,,,,x,
Fabaceae,Hardenbergia,comptoniana,,RSS,,,x,,
Fabaceae,Hovea,trisperma,,NSS,,,,,x
Fabaceae,Isotropis,cuneifolia,,FP,x,,x,,
Fabaceae,Jacksonia,horrida,,NSS,,,,x,
Fabaceae,Kennedia,coccinea,,FP,,,x,,
Fabaceae,Kennedia,glabratum,,FP,,,,,x
Fabaceae,Pultenaea,reticulata,,NSS*,,,x,,
Fabaceae,Pultenaea,reticulata,,RSS,,,,x,
Fabaceae,Sphaerolobium,pubescens,,?,,,,x,
Goodeniaceae,Dampiera,leptoclada,,NSS*,,,x,x,
Goodeniaceae,Dampiera,linearis,,NSS,,,x,x,
Goodeniaceae,Goodenia,trinervis,,NSS,,,,,x
Goodeniaceae,Scaevola,sp.,,NSS,,,x,,
Goodeniaceae,Scaevola,striata,,NSS,,,x,,
Haemodoraceae,Conostylis,serrulata,,RSS,,,,x,
Haemodoraceae,Haemodorum,sparsiflorum,,RSS,,,x,,x
Haemodoraceae,Haemodorum,spicatum,,RSS,x (o),x,x,x,x
Hemerocallidaceae,Agrostocrinum,hirsutum,,RSS,,x,x,x,x
Hemerocallidaceae,Agrostocrinum,scabrum,,RSS,,x,x,,x
Hemerocallidaceae,Chamaescilla,corymbosa,,RSS,x,x,,,x
Hemerocallidaceae,Johnsonia,sp.,,RSS,,,,x,
Hemerocallidaceae,Johnsonia,teretifolia,,RSS,,,,x,
Hemerocallidaceae,Tricoryne,elatior,,RSS,,x,,,x
Iridaceae,Patersonia,occidentalis,,RSS,,,,x,x
Iridaceae,Patersonia,umbrosa,,RSS,,,x,x,
Lamiaceae,Microcorys,virgata,,NSS,,,,,x
Lauraceae,Cassytha,sp.,,NSS,,,x,x,x
Lentibulariaceae,Utricularia,menziesii,,RSS,,x,,,x
Lindsaceae,Lindsaea,linearis,,RSS,,,x,x,
Loganiaceae,Orianthera,serpyllifolia,,RSS,,,x,,
Loganiaceae,Phyllangium,paradoxum,,A,,,x,,x
Malvaceae,Commersonia,grandiflora,,FP,,,,,x
Malvaceae,Commersonia,parviflora,,FP,,,,,x
Malvaceae,Thomasia,purpurea,,?RSS,,,x,,
Malvaceae,Thomasia,purpurea,,?NSS*,,,,,x
Menyanthaceae,Ornduffia,parnassifolia,,RSS,,,,,x
Montiaceae,Calandrinia,sp.,,A,,,,,x
Myrtaceae,Agonis,theiformis,,RSC,,,x,,x
Myrtaceae,Agonis,theiformis,,RSC+,,,,x,
Myrtaceae,Beaufortia,decussata,,NSC,,,x,,x
Myrtaceae,Corymbia,calophylla,,RSC,,,x,,x
Myrtaceae,Darwinia,citriodora,,NSS,,,x,,x
Myrtaceae,Darwinia,diosmoides,,NSS*,,,,,x
Myrtaceae,Darwinia,vestita,,NSS*,,,,x,
Myrtaceae,Eucalyptus,marginata,,RSC,,,x,,x
Myrtaceae,Eucalyptus,marginata,,RSC+,,,,x,
Myrtaceae,Hypocalymma,strictum,,RSS+,,,,x,
Myrtaceae,Hypocalymma,strictum,,RSS,,,x,,x
Myrtaceae,Melaleuca,striata,,RSC,,,x,x,
Myrtaceae,Melaleuca,thymoides,,RSC+,,,x,x,
Myrtaceae,Taxandria,angustifolia,,RSC+,,,x,x,x
Myrtaceae,Taxandria,marginata,,RSC+,,,x,,x
Myrtaceae,Taxandria,parviceps,,RSC,,,x,x,
Myrtaceae,Verticordia,plumosa var. plumosa,,NSS,,,,,x
Olacaceae,Olax,phyllanthi,,NSS,,,,,x
Orchidaceae,Caladenia,flava,,RSS,,,x,,
Orchidaceae,Caladenia,sp.,,RSS,,,,,x
Orchidaceae,Cryptostylis,ovata,,RSS,,x,,,x
Orchidaceae,Cryptostylis,robusta,,RSS,,x,,,x
Orchidaceae,Disa,bracteata,,RSS,,x,,,x
Orchidaceae,Elythranthera,brunonis,,RSS,,x,,x,x
Orchidaceae,Eriochilus,dilatatus,,RSS,x,x,,,x
Orchidaceae,Leporella,fimbriata,,RSS,x,x,,x,
Orchidaceae,Prasophyllum,?regium,,RSS,x,x,,,x
Orchidaceae,Prasophyllum,gibbosum,,RSS,x,x,,x,
Orchidaceae,Prasophyllum,sp.,,RSS,x,x,,x,x
Orchidaceae,Prasophyllum,hians,,RSS,x,x,x,,
Orchidaceae,Pterostylis,sp.,,RSS,,x,,,x
Orchidaceae,Thelymitra,sp.,,RSS,,x,,,x
Phyllanthaceae,Poranthera,florosa,,A,,,x,,x
Pittosporaceae,Billardiera,drummondii,,NSS,,,x,,
Pittosporaceae,Billardiera,fusiformis,,RSS*,,,x,,x
Pittosporaceae,Billardiera,laxiflora,,NSS,,,x,x,x
Poaceae,Amphipogon,amphipogonoides,,RSS,,,x,,
Poaceae,Amphipogon,turbinatus,,RSS,,,,,x
Poaceae,Neurachne,alopecuroidea,,RSS,,,x,,x
Poaceae,Rytidosperma,sp.,,RSS,,,,x,
Poaceae,Rytidosperma,sp.,,RSS,,,,,x
Poaceae,Tetrarrhena,laevis,,RSS,,,,,x
Polygalaceae,Comesperma,calymega,,FP,,,,x,
Polygalaceae,Comesperma,virgatum,,FP,,,x,x,
Polygonaceae,Muehlenbeckia,adpressa,,NSS*,,,x,,x
Proteaceae,?Grevillea,pulchella,,NSS,,,x,,
Proteaceae,Adenanthos,cuneatos,,RSS+,,,,x,
Proteaceae,Adenanthos,obovatus,,RSS,,,,x,
Proteaceae,Banksia,attenuata,,RSC,,,,x,
Proteaceae,Banksia,coccinea,,NSC,,,,x,
Proteaceae,Banksia,formosa,,NSC,,,x,,x
Proteaceae,Banksia,grandis,,RSC,,,x,x,
Proteaceae,Conospermum,caeruleum subsp. caeruleum,,RSS,,,,x,
Proteaceae,Conospermum,teretifolium,,RSS+,,,,x,
Proteaceae,Franklandia,fucifolia,,RSS,,,,x,
Proteaceae,Hakea,ceratophylla,,RSC,,,,x,
Proteaceae,Hakea,drupacea,,NSC,,,x,,x
Proteaceae,Hakea,elliptica,,NSC,,,x,x,x
Proteaceae,Hakea,florida,,RSC+,,,x,,x
Proteaceae,Hakea,ruscifolia,,RSC,,,,x,
Proteaceae,Isopogon,attenuatus,,RSC,,,,x,
Proteaceae,Petrophile,rigida,,RSC+,,,x,x,
Proteaceae,Synaphea,polymorpha ?(not flowering),,?,,,,x,
Ranunculaceae,Clematis,pubescens,,RSS,,,x,,
Restionaceae,Desmocladus,fasciculatus,,RSS,,,x,x,x
Restionaceae,Desmocladus,flexuosus,,RSS,,,x,,x
Restionaceae,Hypolaena,exsulca,,RSS,,,x,x,x
Restionaceae,Lepyrodia,monoica,,NSS,,,x,,x
Restionaceae,Lepyrodia,hermaphrodita,,NSS,,,,,x
Restionaceae,Loxocarya,cinerea,,RSS,,,x,x,
Rubiaceae,Opercularia,hispidula,,RSS,,,x,x,x
Rutaceae,Boronia,gracilipes,,?NSS,,,x,,
Rutaceae,Boronia,spathulata,,?NSS,,,x,,
Rutaceae,Boronia,spathulata,,RSS,,,,x,
Rutaceae,Chorilaena,anceps,,NSS,,,x,,
Rutaceae,Cyanothamnus,subsessilis,,?NSS*,,,,,x
Santalaceae,Leptomeria,sp.,,NSS,,,x,,
Sapindaceae,Dodonaea,ceratocarpa,,RSS++mostly seen as seedlings,,,x,,x
Solanaceae,Anthocercis,viscosa,,NSS,,,x,,x
Stylidiaceae,Levenhookia,pauciflora,,A,,,,x,
Stylidiaceae,Levenhookia,pusilla,,A,,,x,,x
Stylidiaceae,Stylidium,acuminatum,,RSS,,,,x,x
Stylidiaceae,Stylidium,diversifolium,,RSS,,?,,x,
Stylidiaceae,Stylidium,hirsutum,,NSS,,,,,x
Stylidiaceae,Stylidium,schoenoides,,?NSS*,,,,x,
Stylidiaceae,Stylidium,spathulatum,,RSS,,?,,x,x
Thymelaeaceae,Pimelea,angustifolia,,NSS,,,x,x,x
Thymelaeaceae,Pimelea,imbricata,,NSS,,,,,x
Thymelaeaceae,Pimelea,longiflora,,NSS,,,,x,
Thymelaeaceae,Pimelea,rosea,,RSS,,,x,,
Thymelaeaceae,Pimelea,sulphurea,,NSS*,,,x,,
Thymelaeaceae,Pimelea,longiflora,,NSS,,,x,,
Xanthorrhoeacea e,Xanthorrhoea,platyphylla,,RSS,x,,x,x,
