Ort,Site,latitude,Typ,Species,art#,#,dec/ev,de,Höhe,Umf,leaf type,age,sample wt,sample area,SLA,SLA,m2/kg,,N [mg/g],N(mg/g),N [mg/g],sample#,d13C,d13C,d13C,,delta,delta,delta,art,rainfall,15N,15N,15N
1,Melville Island 1,11.77,2.0,Eucalyptus nesophilla ,25,2,evergreen,1,26.5,200,red/expanding,0/2,2.38,148.96,2.82,6.26,,,9.01,11.27,,"13,14",-25.2,-26.8,,,17.85,19.52,,E.n/e/old,1801,-1.88,-0.46,
1,Melville Island 1,11.77,2.0,Eucalyptus tetrodonta,33,2,evergreen,1,23,67,red/expanded,0/2,2.60,112.34,3.03,4.32,,,8.27,9.97,,"17,18",-26.9,-27.8,,,19.63,20.57,,E.t/e/med,1801,-2.58,-2.41,
1,Melville Island 1,11.77,2.0,Eucalyptus tetrodonta,33,3,evergreen,1,20,69,red/expanded,0/2,2.98,142.24,3.38,4.77,,,9.17,11.54,,"19,20",-27.1,-26.9,,,19.84,19.63,,E.t/e/med,1801,-1.55,-1.91,
1,Melville Island 1,11.77,2.0,Eucalyptus tetrodonta ,33,1,evergreen,1,17.5,78,red/expanding,0/2,3.15,144.28,2.78,4.58,,,8.02,11.39,,"15,16",-26.2,-27.7,,,18.90,20.47,,E.t/e/old,1801,-2.42,-1.61,
1,Melville Island 1,11.77,2.0,Livistona humilis,42,1,evergreen,1,3.5,34,old,3,3.41,169.74,,,4.98,,,,17.50,21,,,-30.5,,,,23.41,Liv/e/old,1801,,,1.65
1,Melville Island 1,11.77,2.0,Persoonia falcata,47,1,evergreen,1,4,11,old,3,3.34,160.30,,,4.80,,,,7.27,22,,,-30.0,,,,22.89,Per/e/old,1801,,,4.09
2,Melville Island 2,,6.0,Cashew,14,1,evergreen,1,5,45,old,3,3.56,279.14,,,7.84,,,,21.10,23,,,-28.9,,,,21.73,cas/old,1801,2.87,,
2,Melville Island 2,,6.0,Cashew,14,2,evergreen,1,6,60,old,3,3.31,246.25,,,7.44,,,,20.83,24,,,-28.6,,,,21.41,cas/old,1801,5.41,,
2,Melville Island 2,,6.0,Cashew,14,3,evergreen,1,6,50,old,3,3.58,298.17,,,8.33,,,,26.35,25,,,-28.1,,,,20.89,cas/old,1801,2.76,,
2,Melville Island 2,,6.0,Garcinia mangostana,35,2,,1,1.3,,shade leaves pine forest,3,3.05,224.55,,,7.36,,,,14.18,1,,,-27.6,,,,20.36,gar/shade,1801,-3.30,,
2,Melville Island 2,,6.0,Garcinia mangostana,35,3,,1,1.5,,shade leaves pine forest,3,3.15,206.03,,,6.54,,,,13.80,2,,,-25.3,,,,17.95,gar/shade,1801,1.60,,
2,Melville Island 2,,6.0,Garcinia mangostana,35,1,evergreen,1,1.5,,shade leaves pine forest,3,3.58,190.25,,,5.31,,,,12.48,30,,,-27.7,,,,20.47,gar/shade,1801,-2.42,,
2,Melville Island 2,,6.0,Mango Kensington,45,1,evergreen,1,2,6,irrigated,3,3.04,202.77,,,6.67,,,,11.86,26,,,-29.1,,,,21.94,mang/irr,1801,2.12,,
2,Melville Island 2,,6.0,Mango Kensington,45,2,evergreen,1,1,17,irrigated,3,3.08,168.51,,,5.47,,,,12.08,27,,,-29.9,,,,22.78,mang/irr,1801,1.65,,
2,Melville Island 2,,6.0,Mango Kensington,45,3,evergreen,1,4,40,dry,3,3.13,204.03,,,6.52,,,,14.74,28,,,-28.2,,,,20.99,Mang/dry,1801,1.27,,
2,Melville Island 2,,6.0,Mango Kensington,45,4,evergreen,1,2,35,dry,3,3.11,200.93,,,6.46,,,,15.65,29,,,-28.7,,,,21.52,Mang/dry,1801,-1.22,,
3,Darwin Plantage CSIRO,,6.0,Cashew Guntur,15,1,evergreen,1,6.5,73 base,irrigated,3,3.59,226.56,,,6.31,,,,12.81,33,,,-28.3,,,,21.10,cas/irr,1693,1.25,,
3,Darwin Plantage CSIRO,,6.0,Cashew Guntur,15,2,evergreen,1,7,65 base,irrigated,3,3.16,242.52,,,7.67,,,,11.51,34,,,-28.3,,,,21.10,cas/irr,1693,-4.84,,
3,Darwin Plantage CSIRO,,6.0,Cashew Guntur,15,3,evergreen,1,7,75 base,irrigated,3,3.81,253.37,,,6.65,,,,12.18,35,,,-29.2,,,,22.04,cas/irr,1693,-0.02,,
3,Darwin Plantage CSIRO,,6.0,Garcinia mangostana,35,1,evergreen,1,1.7,3,shade rainforest simul.,3,3.05,191.01,,,6.26,,,,18.18,41,,,-25.7,,,,18.37,garc/shade,1693,-2.43,,
3,Darwin Plantage CSIRO,,6.0,Garcinia mangostana,35,2,evergreen,1,1.5,3,shadehouse,3,2.98,196.82,,,6.60,,,,14.81,42,,,-24.9,,,,17.54,garc/shade,1693,-3.16,,
3,Darwin Plantage CSIRO,,6.0,Mango Irwin,44,1,evergreen,1,2.7,49 base,irrigated,3,3.49,197.13,,,5.65,,,,16.31,36,,,-27.2,,,,19.94,man/irr,1693,-2.59,,
3,Darwin Plantage CSIRO,,6.0,Mango Kensington,45,1,evergreen,1,6.5,87 base,irrigated,3,3.12,213.58,,,6.85,,,,12.86,37,,,-27.0,,,,19.73,man/irr,1693,-0.36,,
3,Darwin Plantage CSIRO,,6.0,Mango Kensington,45,2,evergreen,1,6,70 base,dry,3,3.43,204.08,,,5.95,,,,10.02,38,,,-27.2,,,,19.94,man/dry,1693,-5.07,,
3,Darwin Plantage CSIRO,,6.0,Mango Kensington,45,3,evergreen,1,6.5, 85 base,irrigated,3,3.25,233.88,,,7.20,,,,12.52,39,,,-27.2,,,,19.94,man/irr,1693,1.16,,
3,Darwin Plantage CSIRO,,6.0,Mango Kensington,45,4,evergreen,1,6.5,75 base,irrigated,3,3.18,234.17,,,7.36,,,,11.93,40,,,-27.6,,,,20.36,man/irr,1693,0.60,,
4,Kapalga Bburnt,12.68,5.0,Acacia mimula,5,1,evergreen,1,4,12,old leaves,3,3.13,186.48,,,5.96,,,,26.44,43,,,-27.9,,,,20.68,ac.m/e/old,1344,,,-3.83
4,Kapalga B ,12.68,0.0,Buchanania obovata,12,2,deciduous,2,8,45,new decid. leaves,1,3.19,254.38,,7.97,,,,16.47,,44,,-26.8,,,,19.52,,buc/d/yg,1344,,-0.74,
4,Kapalga B ,12.68,1.0,Erythrophleum chlorostachys ,18,1,deciduous,2,14.5,83,new expanding leaves,1,3.01,286.55,,,9.52,,,,22.98,45,-26.1,,,,,,18.79,Ery/d/yg,1344,,,-0.08
4,Kapalga B,12.68,1.0,Erythrophleum chlorostachys ,18,2,deciduous,2,13.5,77,new expanding leaves,1,3.11,307.62,,,9.89,,,,24.76,46,-25.6,,,,,,18.27,Ery/d/yg,1344,,,-0.65
4,Kapalga B,12.68,1.0,Erythrophleum chlorostachys ,18,3,deciduous,2,13.5,85,new expanding leaves,1,3.05,381.36,,,12.50,,,,27.06,47,-25.8,,,,,,18.48,Ery/d/yg,1344,,,-0.14
4,Kapalga B,12.68,2.0,Eucalyptus miniata,24,1,evergreen,1,15,96,new expanding leaves,1,3.23,214.22,,6.63,,,,11.73,,48,,-28.9,,,,21.73,,E.m/e/yg,1344,,0.91,
4,Kapalga B,12.68,2.0,Eucalyptus miniata,24,2,evergreen,1,16,102,new expanding leaves,1,3.07,164.02,,5.34,,,,11.87,,49,,-27.9,,,,20.68,,E.m./e/yg,1344,,-3.50,
4,Kapalga B,12.68,2.0,Eucalyptus miniata,24,3,evergreen,1,13,59,red/expanding,0/1,3.39,195.28,4.22,5.76,,,10.34,11.76,,"50,51",-27.2,-27.5,,,19.94,20.26,,E.m/e/yg,1344,-2.50,-2.80,
4,Kapalga B,12.68,0.0,Eucalyptus porrecta,27,1,deciduous,2,11.5,65,expanded leaves,0/3,3.16,307.77,4.55, ,9.74,,17.54, ,18.34,"52,53",-27.6, ,-28.4,,20.36, ,21.20,E.p/d/med/old,1344,-1.26, ,-0.54
4,Kapalga B,12.68,0.0,Eucalyptus porrecta,27,2,deciduous,2,13.5,116,young/expand/old leaves,0/1/3,3.25,187.66,4.53,9.86,5.77,,15.26,16.18,7.03,54/55/56,-27.0,-27.8,-29.5,,19.73,20.57,22.36,E.p/d/old,1344,-1.45,-0.83,-1.43
4,Kapalga B,12.68,2.0,Eucalyptus tetradonta,33,1,evergreen,1,18,103,old leaves,3,3.23,189.69,,,5.87,,,,9.47,57,,,-26.8,,,,19.52,E.t/e/old,1344,,,-2.08
4,Kapalga B,12.68,2.0,Eucalyptus tetradonta,33,2,evergreen,1,15,65,old leaves,3,3.04,151.43,,,4.98,,,,9.61,58,,,-27.6,,,,20.36,E.t/e/old,1344,,,-1.37
4,Kapalga B,12.68,2.0,Eucalyptus tetradonta,33,3,evergreen,1,17,75,expanding leaves,2,3.22,199.90,,6.21,,,,11.28,,59,,-27.4,,,,20.15,,E.t/e/yg,1344,,-3.04,
4,Kapalga B,12.68,2.0,Livistona humilis,42,1,evergreen,1,6.5,20,old leaves,3,3.21,127.81,,,3.98,,,,8.64,60,,,-29.0,,,,21.83,liv/old,1344,,,0.69
4,Kapalga B,12.68,2.0,Xanthostemon paradoxus,53,1,evergreen,2,14.5,87,new  leaves,1,3.41,375.47,11.01,,,,12.12,,,61,,-25.1,,,17.75,,,xan/yg,1344,-1.73,,
5,Kapalga Cunburnt,12.68,5.0,Acacia mimula,5,1,evergreen,1,4,10,old leaves,3,3.34,159.97,,,4.79,,,,21.34,62,,,-29.9,,,,22.78,Ac.m/e/old,1344,,,-2.26
5,Kapalga C ,12.68,0.0,Buchanania obovata,12,1,deciduous,2,8.5,44,red/expanded,0/2,3.05,221.68,4.51,7.27,,,21.26,18.58,,63,-27.1,-26.7,,,19.84,19.42,,Buch/d/yg,1344,0.36,-0.24,
5,Kapalga C ,12.68,1.0,Erythrophleum chlorostachys ,18,2,deciduous,2,14.5,139,expanding leaves,2,3.09,358.66,,,11.61,,,,24.66,65,-25.5,,,,,,18.16,Ery/d/yg,1344,,,-0.75
5,Kapalga C,12.68,1.0,Erythrophleum chlorostachys ,18,3,deciduous,2,14.5,96,expanding leaves,2,3.07,327.41,,,10.66,,,,20.79,66,-25.3,,,,,,17.95,Ery/d/yg,1344,,,-1.30
5,Kapalga C,12.68,1.0,Erythrophleum chlorostachys ,18,4,deciduous,2,15.5,87,expanding leaves,2,3.18,352.61,,,11.09,,,,21.43,67,-26.1,,,,,,18.79,Ery/d/yg,1344,,,-1.18
5,Kapalga C ,12.68,2.0,Eucalyptus miniata,24,1,evergreen,1,16,155,expanded leaves,2,3.29,193.84,,5.89,,,,10.88,,68,,-28.1,,,,20.89,,E.m/e/yg,1344,,-1.98,
5,Kapalga C,12.68,2.0,Eucalyptus miniata,24,2,evergreen,1,16,133,old leaves,3,3.05,169.62,,,5.56,,,,10.82,69,,,-28.1,,,,20.89,E.m/e/old,1344,,,-2.59
5,Kapalga C,12.68,2.0,Eucalyptus miniata,24,3,evergreen,1,15,94,expanded leaves,2,3.08,177.36,,5.76,,,,11.32,,70,,-28.0,,,,20.78,,E.m/e/yg,1344,,-2.44,
5,Kapalga C,12.68,0.0,Eucalyptus porrecta,27,1,deciduous,2,11.5,43,red/old,0/3,3.21,184.92,3.26,,5.76,,13.10,,7.58,71,-28.6,,-29.5,,21.41,,22.36,E.p/d/old,1344,-2.45,,-2.52
5,Kapalga C,12.68,2.0,Eucalyptus tetradonta,33,1,evergreen,1,15,53,old leaves,3,3.09,158.97,,,5.14,,,,8.25,73,,,-26.7,,,,19.42,E.t/e/old,1344,,,-0.95
5,Kapalga C,12.68,2.0,Eucalyptus tetradonta,33,2,evergreen,1,14,65,expanded leaves,2,3.07,164.42,,5.36,,,,7.59,,74,,-29.0,,,,21.83,,E.t/e/yg,1344,,-1.14,
5,Kapalga C,12.68,2.0,Eucalyptus tetradonta,33,3,evergreen,1,18,82,old leaves,3,3.07,106.95,,,3.48,,,,8.25,75,,,-27.8,,,,20.57,E.t/e/old,1344,,,-4.81
5,Kapalga C,12.68,2.0,Livistona humilis,42,1,evergreen,1,4,28,old leaf,3,3.56,160.68,,,4.51,,,,13.93,76,,,-29.6,,,,22.46,liv/old,1344,,,1.80
5,Kapalga C,12.68,2.0,Xanthostemon paradoxus,53,1,evergreen,1,9.5,42,expanded leaves,2,3.07,237.58,,7.74,,,,14.83,,77,,-25.8,,,,18.48,,xan/yg,1344,,-0.04,
6,Kapalga K burnt,12.68,2.0,Eucalyptus miniata,24,1,evergreen,1,16,70,expanded leaves,3,3.03,163.12,, ,5.38,,, ,13.75,78,, ,-28.0,,, ,20.78,E.m/e/md/old,1344,, ,-1.54
6,Kapalga K,12.68,2.0,Eucalyptus miniata,24,2,evergreen,1,17,91,old leaves,3,3.07,157.32,,,5.12,,,,10.14,79,,,-27.4,,,,20.15,E.m/e/old,1344,,,-3.45
6,Kapalga K,12.68,2.0,Eucalyptus miniata,24,3,evergreen,1,15,24.4,old leaves,3,3.01,163.96,,,5.45,,,,,237,,,-27.8,,,,20.57,E.t/e/old,1344,,,
6,Kapalga K,12.68,2.0,Eucalyptus tetradonta,33,1,evergreen,1,20,125,old leaves,3,3.14,107.40,,,3.42,,,,11.26,80,,,-25.9,,,,18.58,E.t/e/old,1344,,,-1.21
6,Kapalga K,12.68,2.0,Eucalyptus tetradonta,33,2,evergreen,1,19,39.5,old leaves,3,3.03,134.34,,,4.43,,,,,235,,,-27.1,,,,19.84,E.t/e/old,1344,,,
6,Kapalga K,12.68,2.0,Eucalyptus tetradonta,33,3,evergreen,1,18,31.5,old leaves,3,2.84,128.41,,,4.52,,,,,236,,,-26.8,,,,19.52,E.t/e/old,1344,,,
7,Kapalga M unburnt,12.68,2.0,Eucalyptus miniata,24,1,evergreen,1,14,61,expanded leaves,3,3.06,162.60,, ,5.31,,, ,10.31,81,, ,-27.9,,, ,20.68,E.m./e/med/old,1344,, ,1.12
7,Kapalga M,12.68,2.0,Eucalyptus miniata,24,2,evergreen,1,10,23,old leaves,3,2.38,127.63,,,5.36,,,,,238,,,-28.0,,,,20.78,E.m/e/old,1344,,,
7,Kapalga M,12.68,2.0,Eucalyptus miniata,24,2,evergreen,1,18,51.5,old leaves,3,2.82,136.91,,,4.85,,,,,239,,,-28.2,,,,20.99,E.m/e/old,1344,,,
7,Kapalga M,12.68,2.0,Eucalyptus tetradonta,33,1,evergreen,1,14,50,old leaves,3,3.35,142.93,,,4.27,,,,8.36,82,,,-26.9,,,,19.63,E.t./e/old,1344,,,0.49
7,Kapalga M,12.68,2.0,Eucalyptus tetradonta,33,3,evergreen,1,14,20,old leaves,3,2.96,117.67,,,3.98,,,,,240,,,-27.8,,,,20.57,E.t./e/old,1344,,,
7,Kapalga M,12.68,2.0,Eucalyptus tetradonta,33,3,evergreen,1,15,36.5,very old leaves,3,2.90,121.52,,,4.19,,,,,241,,,-26.9,,,,19.63,E.t./e/old,1344,,,
8,Kapalga P burnt,12.68,2.0,Eucalyptus miniata,24,1,evergreen,1,19,122,expanded leaves,3,3.21,160.89,, ,5.01,,, ,11.41,83,, ,-26.6,,, ,19.31,E.m/e/med,1344,, ,-0.17
8,Kapalga P,12.68,2.0,Eucalyptus miniata,24,2,evergreen,1,16,109,old leaves,3,3.29,161.15,,,4.90,,,,10.45,84,,,-28.0,,,,20.78,E.m./e/old,1344,,,-1.14
8,Kapalga P,12.68,2.0,Eucalyptus miniata,24,3,evergreen,1,15,32.7,old leaves,3,2.69,158.36,,,5.89,,,,,242,,,-28.1,,,,20.89,E.m/e/old,1344,,,
8,Kapalga P,12.68,2.0,Eucalyptus tetradonta,33,1,evergreen,1,18,139,old leaves,3,3.11,130.01,,,4.18,,,,8.15,85,,,-26.3,,,,19.00,E.t/e/old,1344,,-0.08,
8,Kapalga P,12.68,2.0,Eucalyptus tetradonta,33,2,evergreen,1,15,118,old leaves,3,3.25,148.01,,,4.55,,,,9.24,86,,,-27.6,,,,20.36,E.t./e/old,1344,,-0.51,
8,Kapalga P,12.68,2.0,Eucalyptus tetradonta,33,3,evergreen,1,17,33.5,old leaves,3,3.04,120.66,,,3.97,,,,,243,,,-28.9,,,,21.73,E.t./e/old,1344,,,
9,Kapalga Q unburnt,12.55,0.0,Eucalyptus clavigera,21,1,deciduous,2,13,77,expanded leaves,2to3,3.11,182.64,,,5.87,,,,11.59,87,,,-26.0,,,,18.69,E.c/d/med,1344,,,-0.29
9,Kapalga Q,12.55,0.0,Eucalyptus clavigera,21,2,deciduous,2,10.6,108,expanded leaves,2to3,3.21,180.36,,,5.62,,,,13.79,88,,,-26.3,,,,19.00,E.d/d/med,1344,,,0.02
9,Kapalga Q,12.55,0.0,Eucalyptus clavigera,21,3,deciduous,2,12.3,66,expanded leaves,2to3,3.52,165.71,,,4.71,,,,11.05,89,,,-26.4,,,,19.10,E.d./d/med,1344,,,-0.68
9,Kapalga Q,12.55,2.0,Eucalyptus tectifica,30,2,evergreen,1,10.8,52,old leaves,3,3.44,203.25,,,5.91,,,,13.39,92,,,-26.9,,,,19.63,E.tec/e/old,1344,,,-1.02
9,Kapalga Q,12.55,2.0,Eucalyptus tectifica,30,3,evergreen,1,9,91,young expanding leaves,1,3.01,246.71,,8.20,,,,18.44,,93,,-24.6,,,,17.22,,E.tec/e/yg,1344,,-0.10,
9,Kapalga Q,12.55,2.0,Eucalyptus tectifica,30,1,evergreen,1,12,84,red/expanding,0/1,3.13,271.35,5.84,8.67,,,17.03,16.14,,"90,91",-25.6,-27.2,,,18.27,19.94,,E.tec/e/med,1344,1.01,0.18,
9,Kapalga Q,12.55,2.0,Planchonia careya,49,1,evergreen,1,4.8,22,expanded leaves,2,3.39,300.18,,8.85,,,,20.35,,94,,-25.3,,,,17.95,,Pl/med,1344,,-1.25,
10,Kapalga Sunburnt,12.55,2.0,Eucalyptus miniata,24,1,evergreen,1,15,121,expanding leaves,2to3,3.31,182.94,,,5.53,,,,10.71,95,,,-27.7,,,,20.47,E.m/e/med,1344,,,
10,Kapalga S,12.55,2.0,Eucalyptus miniata,24,2,evergreen,1,17,85,expanding leaves,2to3,3.24,177.21,,,5.47,,,,9.39,96,,,-29.3,,,,22.15,E.m/e/med,1344,,,-1.28
10,Kapalga S,12.55,2.0,Eucalyptus miniata,24,3,evergreen,1,14,19.7,old  leaves,3,3.02,175.21,5.80,,5.80,,,,,244,,,-26.6,,,,19.31,E.m/e/old,1344,,,-0.90
10,Kapalga S,12.55,2.0,Eucalyptus tetradonta,33,1,evergreen,1,15,99,old leaves,3,3.02,129.89,4.30,,4.30,,,,10.15,97,,,-27.1,,,,19.84,E.t/e/old,1344,,,-1.36
10,Kapalga S,12.55,2.0,Eucalyptus tetradonta,33,2,evergreen,1,15,98,old leaves,3,3.06,139.33,4.55,,4.55,,,,9.64,98,,,-26.4,,,,19.10,E.t/e/old,1344,,,-1.77
10,Kapalga S,12.55,2.0,Eucalyptus tetradonta,33,3,evergreen,1,18,114,very old leaves,3,3.22,116.62,3.62,,3.62,,,,6.84,99,,,-26.1,,,,18.79,E.t/e/old,1344,,,-0.88
11,Katherine 1,14.30,5.0,Acacia dimidiata,3,1,evergreen,1,2,3,old expanded leaves,2,3.36,168.49,,,5.01,,,,21.56,100,,,-26.1,,,,18.79,ac.d/e/old,970,,,0.06
11,Katherine 1,14.30,0.0,Buchanania obovata,12,1,deciduous,2,6.5,60,expanded leaves,2,3.31,205.38,,6.20,,,,11.59,,101,,-27.1,,,,19.84,,Bu/yg,970,,1.45,
11,Katherine 1,14.30,0.0,Cochlospermum fraseri,16,1,deciduous,2,3,15,young expanding  leaves,1,3.08,231.19,,7.51,,,,17.39,,102,,-26.2,,,,18.90,,co/yg,970,,1.60,
11,Katherine 1,14.30,1.0,Erythrophleum chlorostachys ,18,3,deciduous,2,7.5,32,young expanding leaves,1,3.29,373.91,,,11.37,,,,26.80,103,-27.7,,,,,,20.47,Ery/d/yg,970,,,-1.82
11,Katherine 1,14.30,1.0,Erythrophleum chlorostachys ,18,4,deciduous,2,7,63,young expanding leaves,1,3.03,388.98,,,12.84,,,,28.14,104,-26.9,,,,,,19.63,Ery/d/yg,970,,,-0.99
11,Katherine 1,14.30,1.0,Erythrophleum chlorostachys ,18,5,deciduous,2,7.5,67,young expanding leaves,1,3.06,431.49,,,14.10,,,,30.15,105,-26.4,,,,,,19.10,Ery/d/yg,970,,,0.37
11,Katherine 1,14.30,2.0,Eucalyptus bleeseri,19,1,evergreen,1,15,90,old leaves,3,3.05,133.38,,,4.37,,,,9.01,106,,,-26.9,,,,19.63,E.b/e/old,970,,,1.10
11,Katherine 1,14.30,2.0,Eucalyptus miniata,24,2,evergreen,1,11,95,old leaves,3,3.11,146.94,,,4.72,,,,9.94,109,,,-26.8,,,,19.52,E.m/e/old,970,,,-0.72
11,Katherine 1,14.30,2.0,Eucalyptus miniata,24,3,evergreen,1,14,105,old leaves,3,3.69,145.64,,,3.95,,,,10.24,110,,,-28.5,,,,21.31,E.m/e/old,970,,,-1.99
11,Katherine 1,14.30,2.0,Eucalyptus miniata,24,1,evergreen,1,15,100,red/expanding,0/1,3.26,177.95,4.45,5.46,,,14.51,12.66,,106/107,-25.8,-26.4,,,18.48,19.10,,E.m/e/med,970,-1.49,0.48,
11,Katherine 1,14.30,2.0,Eucalyptus tetrodonta,33,1,evergreen,1,14.5,170,red/old,0/3,3.06,103.81,1.89,,3.39,,11.27,,9.21,111/112,-23.1,,-27.0,,15.66,,19.73,E.t/e/old,970,-0.01,,-0.30
11,Katherine 1,14.30,2.0,Eucalyptus tetrodonta,33,2,evergreen,1,15.5,85,red/old,0/3,3.46,151.96,2.67,,4.39,,10.55,,10.54,113/114,-24.8,,-25.3,,17.43,,17.95,E.t/e/old,970,-0.79,,0.82
11,Katherine 1,14.30,2.0,Eucalyptus tetrodonta,33,3,evergreen,1,14,148,red/old,0/3,3.35,137.36,3.06,,4.10,,8.85,,8.11,115/116,-24.3,,-27.6,,16.91,,20.36,E.t/e/old,970,-1.23,,1.13
11,Katherine 1,14.30,2.0,Eucalyptus tetrodonta,33,5,evergreen,1,13,55,red/old,0/3,3.51,135.32,2.50,,3.86,,11.60,,9.07,117/118,-23.6,,-27.9,,16.18,,20.68,E.t/e/old,970,-0.06,,-0.61
11,Katherine 1,14.30,3.0,Grevillea pryamidalis,38,1,evergreen,1,10,27,old leaves,3,3.42,4.41,,,0.13,,,,5.58,119,,,-25.3,,,,17.95,gre/old,970,,,5.40
11,Katherine 1,14.30,2.0,Petalostigma quadriloculare,48,1,evergreen,1,4,21,old leaves,3,3.21,158.96,4.95,,4.94,,,,6.88,120,,,-29.8,,,,22.68,Pet/old,970,,,0.24
12,Katherine 2,14.58,0.0,Brachychiton diversifolius,10,1,deciduous,2,10.5,75,expanding leaves,1,3.05,249.64,,8.18,,,,15.43,,121,,-25.6,,,,18.27,,Bra/med,970,,2.28,
12,Katherine 2,14.58,0.0,Brachychiton megaphylla,11,1,deciduous,2,8,49,expanding leaves,1,3.16,176.05,5.57,,,,20.87,,,122,,-25.0,,,17.64,,,bra/med,970,1.94,,
12,Katherine 2,14.58,2.0,Eucalyptus conferiflora,22,1,semi-decid.,3,9,80,expanded leaves,2,3.16,224.95,,7.12,,,,11.74,,128,,-27.2,,,,19.94,,E.c/d/med,970,,0.90,
12,Katherine 2,14.58,0.0,Eucalyptus tectifera,30,1,deciduous,2,14,140,old leaves,3,3.13,153.83,,,4.91,,,,9.69,123,,,-26.3,,,,19.00,E.tec/d/old,970,,,0.48
12,Katherine 2,14.58,0.0,Eucalyptus tectifica,30,2,deciduous,2,17,140,old leaves,3,3.35,155.79,,,4.65,,,,11.75,124,,,-25.6,,,,18.27,E.tec/d/old,970,,,3.24
12,Katherine 2,14.58,0.0,Eucalyptus tectifica,30,3,deciduous,2,12.5,80,young red leaves,0,3.02,168.97,5.60,,,,24.66,,,125,-25.5,,,,18.16,,,E.tec/d/yg,970,-0.18,,
12,Katherine 2,14.58,2.0,Lysiphyllum cunninghamii,43,1,evergreen,1,5,40,"old leaves, Caesalp.",3,3.34,231.48,,,6.93,,,,15.33,127,,,-27.4,,,,20.15,Lys/old,970,,,3.29
12,Katherine 2,14.58,0.0,Planchonia careya,49,1,deciduous,2,4,35,expanded leaves,2,3.28,204.52,,6.24,,,,18.11,,126,,-27.0,,,,19.73,,plan/old,970,,-2.27,
13,Victoria River,15.58,0.0,Adansonia gregorii,7,1,deciduous,2,14.5,398,young expanding leaves,3,3.19,157.39,,4.93,,,,15.76,,129,,-26.9,,,,19.63,,Ad/yg,803,,3.91,
13,Victoria River,15.58,0.0,Adansonia gregorii,7,2,deciduous,2,20.8,355,".1.stem, young expanding",1,3.09,161.31,,5.22,,,,14.75,,130,,-26.3,,,,19.00,,Ad/yg,803,,3.79,
13,Victoria River,15.58,0.0,Adansonia gregorii,7,2,deciduous,2,,,"2. stem, young exp. shade",1,3.13,173.17,,5.53,,,,13.48,,131,,-27.5,,,,20.26,,Ad/yg,803,,4.35,
13,Victoria River,15.58,0.0,Adansonia gregorii,7,3,deciduous,2,,,"Timber Creek, young",1,3.07,158.93,5.18,,,,22.96,,,132,-26.9,,,,19.63,,,Ad/yg,803,5.65,,
