Species,Family,Continent,Climate,Mass (5weeks; g)-mean,Mass (5weeks; g)-sd,root extension rate (5weeks ; mm d-1)-mean,root extension rate (5weeks ; mm d-1)-sd,STRL (5weeks; gm-1)-mean,STRL (5weeks; gm-1)-SD,STRL (5weeks; gm-1)-N,Mass (20 weeks; g) - mean,Mass (20 weeks; g) - sd,RMF (20 weeks; g g-1) - mean,RMF (20 weeks; g g-1) - sd,SMF (20 weeks; g g-1) - mean,SMF (20 weeks; g g-1) - sd,LMF (20 weeks; g g-1); mean,LMF (20 weeks; g g-1); sd,LMF (20 weeks; g g-1); N,RGR (from 5 to 20weeks; (g g-1d-1)) - mean,RGR (from 5 to 20weeks; (g g-1d-1))-sd
Acacia tortilis,Fabaceae ,Africa,SA,0.494,0.232,25.431,3.565,8.196,5.152,10,35.318,15.76,0.438,0.108,0.306,0.074,0.256,0.068,10,0.042,0.005
Aspidosperma macrocarpon,Apocynaceae,South America,H,1.526,0.499,10.763,2.944,0.794,0.388,10,16.725,5.628,0.457,0.104,0.105,0.02,0.435,0.088,10,0.023,0.003
Aspidosperma pyrifolium,Apocynaceae,South America,SA,0.435,0.154,11.46,5.13,2.695,1.536,9,6.094,2.158,0.261,0.051,0.37,0.04,0.35,0.034,9,0.025,0.004
Atalaya hemiglauca,Sapindaceae,Australia,SA,0.261,0.055,20.397,2.749,9.283,3.286,7,7.185,5.263,0.265,0.092,0.187,0.06,0.539,0.108,10,0.029,0.013
Brachylaena discolor,Asteraceae,Africa,H,0.067,0.071,5.265,0.908,20.426,16.086,10,20.583,14.304,0.226,0.068,0.191,0.063,0.543,0.086,10,0.06,0.009
Brachystegia spiciformis,Fabaceae,Africa,H,0.602,0.125,14.274,4.31,2.184,0.477,10,4.599,3.247,0.579,0.094,0.064,0.016,0.357,0.087,10,0.018,0.009
Caesalpinia pyramidalis,Fabaceae,South America,SA,1.259,0.579,25.017,5.709,2.763,0.393,10,30.682,20.814,0.363,0.089,0.296,0.073,0.341,0.04,10,0.03,0.009
Colophospermum mopane,Fabaceae ,Africa,SA,1.357,0.665,29.054,3.751,4.447,2.626,10,26.144,20.133,0.374,0.109,0.224,0.043,0.402,0.107,10,0.027,0.006
Combretum apiculatum,Combretaceae,Africa,SA,0.303,0.166,15.529,4.715,10.052,4.899,10,16.98,12.658,0.346,0.061,0.303,0.04,0.349,0.045,8,0.039,0.01
Combretum hereroense,Combretaceae,Africa,SA,0.318,0.16,14.209,5.225,8.549,3.929,10,28.208,19.482,0.254,0.089,0.274,0.036,0.47,0.1,10,0.043,0.008
Combretum molle,Combretaceae,Africa,H,0.404,0.177,16.404,3.317,6.86,1.787,9,37.756,17.791,0.318,0.076,0.271,0.041,0.411,0.064,10,0.046,0.005
Combretum zeyheri,Combretaceae,Africa,SA,1.228,0.54,19.582,3.051,2.431,1.041,10,17.138,6.24,0.391,0.078,0.249,0.049,0.34,0.05,5,0.028,0.003
Dalbergia miscolobium,Fabaceae,South America,H,0.189,0.085,9.737,1.407,16.867,9.326,10,13.336,7.873,0.238,0.044,0.277,0.031,0.485,0.042,5,0.037,0.006
Dichrostachys cinerea,Fabaceae,Africa,SA,0.521,0.194,19.978,8.492,4.471,2.749,10,34.516,19.09,0.309,0.104,0.271,0.053,0.394,0.094,10,0.041,0.007
Dimorphandra mollis,Fabaceae ,South America,H,0.094,0.083,5.137,2.661,9.552,5.538,10,1.007,0.901,0.306,0.076,0.209,0.047,0.485,0.094,9,0.02,0.009
Eriotheca pubescens,Malvaceae,South America,H,0.075,0.023,3.227,2.064,19.192,21.234,5,2.226,1.377,0.433,0.049,0.079,0.01,0.487,0.051,10,0.032,0.01
Erythrina vespertilio,Fabaceae,Australia,H,0.875,0.818,22.889,6.251,4.848,2.442,8,35.068,18.528,0.639,0.151,0.168,0.092,0.194,0.081,9,0.041,0.006
Eucalyptus crebra,Myrtaceae,Australia,SA,0.097,0.035,13.783,5.341,27.762,15.596,10,14.453,8.904,0.118,0.034,0.34,0.044,0.542,0.049,10,0.048,0.01
Eucalyptus erythrophloia,Myrtaceae,Australia,SA,0.151,0.109,19.963,8.35,25.536,12.685,10,1.982,1.592,0.078,0.033,0.254,0.067,0.656,0.065,7,0.025,0.011
Eucalyptus melanophloia,Myrtaceae,Australia,SA,0.1,0.067,12.071,4.662,26.951,25.563,10,51.541,31.395,0.127,0.037,0.39,0.036,0.483,0.044,10,0.062,0.006
Eucalyptus miniata,Myrtaceae,Australia,H,1.388,0.359,24.674,3.849,4.309,3.17,10,60.217,33.003,0.143,0.033,0.329,0.037,0.528,0.062,10,0.041,0.007
Eucalyptus platyphylla,Myrtaceae,Australia,H,0.35,0.203,16.103,3.788,7.493,4.087,10,35.324,24.37,0.15,0.05,0.27,0.024,0.58,0.046,10,0.044,0.015
Eucalyptus shirleyi,Myrtaceae,Australia,SA,1,1.16,20.4,5.033,6.985,4.881,10,87.292,38.328,0.215,0.077,0.362,0.127,0.423,0.107,9,0.053,0.007
Eucalyptus tessellaris,Myrtaceae,Australia,H,0.327,0.3,17.929,8.796,12.65,6.467,10,35.717,23.764,0.209,0.096,0.237,0.059,0.554,0.066,10,0.049,0.016
Euclea divinorum,Ebenaceae,Africa,SA,0.045,0.022,2.658,1.594,7.338,3.429,5,1.453,0.731,0.336,0.029,0.154,0.033,0.504,0.021,6,0.039,0.009
 Eugenia dysenterica,Myrtaceae,South America,H,0.514,0.094,4.171,1.429,1.73,0.518,5,3.269,1.27,0.301,0.061,0.127,0.014,0.55,0.044,5,0.018,0.004
Grevillea pteridifolia,Proteaceae,Australia,H,0.528,0.404,25.176,11.401,4.873,2.009,10,48.247,36.328,0.316,0.175,0.113,0.046,0.571,0.159,10,0.046,0.004
Gymnosporia senegalensis,Celastraceae,Africa,H,0.326,0.098,3.905,1.943,1.517,1.29,5,10.295,5.61,0.289,0.052,0.203,0.019,0.507,0.036,10,0.036,0.008
Julbernardia globiflora,Fabaceae,Africa,H,0.436,0.091,16.046,4.841,4.168,0.944,10,4.344,2.829,0.612,0.159,0.07,0.041,0.317,0.124,9,0.021,0.008
Kielmeyera coriacea,Clusiaceae,South America,H,0.243,0.084,5.514,1.946,4.246,2.307,10,2.737,1.278,0.65,0.13,0.033,0.019,0.278,0.129,10,0.022,0.004
Lysiphyllum hookeri,Fabaceae,Australia,SA,0.273,0.161,9.196,7.655,6.575,3.454,10,13.415,7.81,0.239,0.034,0.364,0.072,0.396,0.098,10,0.039,0.014
Melaleuca viridiflora,Myrtaceae,Australia,H,0.051,0.024,2.672,1.966,5.654,4.066,10,8.529,2.569,0.259,0.061,0.195,0.04,0.545,0.073,10,0.051,0.004
Mimosa caesalpiniaefolia,Fabaceae,South America,SA,0.717,0.311,17.214,6.609,4.869,6.324,10,56.875,62.463,0.253,0.054,0.345,0.022,0.401,0.051,10,0.042,0.007
Mimosa claussenii,Fabaceae ,South America,H,0.252,0.145,7.277,4.543,7.16,6.508,10,24.782,12.432,0.148,0.093,0.095,0.04,0.757,0.094,10,0.048,0.006
Mimosa tenuiflora,Fabaceae,South America,SA,0.778,0.376,25.804,4.926,5.232,2.498,10,132.206,43.023,0.283,0.059,0.404,0.056,0.313,0.048,10,0.05,0.006
Peltophorum africanum,Fabaceae ,Africa,SA,0.698,0.328,23.371,6.339,5.747,1.223,10,31.95,31.282,0.253,0.076,0.228,0.037,0.519,0.064,10,0.034,0.012
Petalostigma pubescens,Euphorbiaceae,Australia,SA,0.163,0.09,10.466,4.897,8.707,3.097,10,5.073,2.894,0.262,0.069,0.169,0.025,0.568,0.064,10,0.033,0.007
Plathymenia reticulata,Fabaceae,South America,H,0.113,0.063,6.701,2.868,11.472,6.551,10,4.95,2.619,0.247,0.061,0.257,0.039,0.497,0.056,10,0.037,0.002
Schotia brachypetala,Fabaceae ,Africa,H,0.546,0.127,18.551,5.008,5.039,1.561,5,23.581,12.866,0.211,0.048,0.336,0.035,0.453,0.064,5,0.036,0.006
Strychnos spinosa,Loganiaceae,Africa,H,0.456,0.083,6.923,2.723,0.771,0.285,10,2.451,2.129,0.447,0.051,0.202,0.037,0.333,0.05,10,0.014,0.007
