Genus_species,Leaf_area_cm2,Leaf_weight_g,LMA_g_m2,lamina_depth_um,leaf_type,leaf_shape,SITE_text,latitude (deg),longitude (deg)
Melichrus urceolatus,0.2358,0.004,170,,broadleaf,,The Rock,-35.26666667,147.0666667
Melichrus urceolatus,0.267,0.0048,180,,broadleaf,,The Rock,-35.26666667,147.0666667
Melichrus urceolatus,0.2862,0.0053,185,,broadleaf,,The Rock,-35.26666667,147.0666667
Melichrus urceolatus,0.3293,0.0048,146,260,broadleaf,narrow ovate,The Rock,-35.26666667,147.0666667
Muellerina eucalyptoides,27,,,700,broadleaf,lanceolate,The Rock,-35.26666667,147.0666667
Phyllanthus hirtellus,0.1202,0.0028,233,,broadleaf,,The Rock,-35.26666667,147.0666667
Phyllanthus hirtellus,0.131,0.0038,290,,broadleaf,,The Rock,-35.26666667,147.0666667
Phyllanthus hirtellus,0.1738,0.0048,276,,broadleaf,,The Rock,-35.26666667,147.0666667
Phyllanthus hirtellus,0.219,0.0053,242,,broadleaf,,The Rock,-35.26666667,147.0666667
Phyllanthus hirtellus,0.2483,0.0064,258,,broadleaf,,The Rock,-35.26666667,147.0666667
Phyllanthus hirtellus,0.303,0.0081,267,338,broadleaf,oblanceolate,The Rock,-35.26666667,147.0666667
Prostanthera ovalifolia,0.351,0.009,256,,broadleaf,,The Rock,-35.26666667,147.0666667
Prostanthera ovalifolia,0.41,0.0094,229,,broadleaf,,The Rock,-35.26666667,147.0666667
Prostanthera ovalifolia,0.397,0.0112,282,,broadleaf,,The Rock,-35.26666667,147.0666667
Prostanthera ovalifolia,0.319,0.0095,298,,broadleaf,,The Rock,-35.26666667,147.0666667
Prostanthera ovalifolia,0.426,0.0123,289,,broadleaf,,The Rock,-35.26666667,147.0666667
Prostanthera ovalifolia,0.578,0.0122,211,345,broadleaf,ovate,The Rock,-35.26666667,147.0666667
Pultenaea foliolosa,0.0282,0.0005,177,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea foliolosa,0.0245,0.00045,184,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea foliolosa,0.02,0.0003,150,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea foliolosa,0.0191,0.0003,157,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea foliolosa,0.0225,0.0004,178,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea foliolosa,0.0303,0.0005,165,243,broadleaf,elliptic-oblong,The Rock,-35.26666667,147.0666667
Pultenaea largiflorens,0.0461,0.0008,174,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea largiflorens,0.0389,0.0009,231,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea largiflorens,0.0354,0.0009,254,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea largiflorens,0.0359,0.0007,195,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea largiflorens,0.0532,0.001,188,,broadleaf,,The Rock,-35.26666667,147.0666667
Pultenaea largiflorens,0.0331,0.0007,211,233,broadleaf,narrow cuneate,The Rock,-35.26666667,147.0666667
Senecio garlandii,45.52,0.5625,124,,broadleaf,,The Rock,-35.26666667,147.0666667
Senecio garlandii,27.96,0.2437,87,,broadleaf,,The Rock,-35.26666667,147.0666667
Senecio garlandii,27.23,0.397,146,,broadleaf,,The Rock,-35.26666667,147.0666667
Senecio garlandii,33.45,0.4672,140,,broadleaf,,The Rock,-35.26666667,147.0666667
Senecio garlandii,41.82,0.5069,121,,broadleaf,,The Rock,-35.26666667,147.0666667
Senecio garlandii,16.42,0.2308,141,237,broadleaf,obovate-elliptic,The Rock,-35.26666667,147.0666667
Xanthorrhoea glauca,22.04,,335,,broadleaf,,The Rock,-35.26666667,147.0666667
Xanthorrhoea glauca,21.74,,338,,broadleaf,,The Rock,-35.26666667,147.0666667
Xanthorrhoea glauca,19.85,,320,,broadleaf,,The Rock,-35.26666667,147.0666667
Xanthorrhoea glauca,14.92,,340,,broadleaf,,The Rock,-35.26666667,147.0666667
Xanthorrhoea glauca,17.92,,348,,broadleaf,,The Rock,-35.26666667,147.0666667
Xanthorrhoea glauca,19.31,,323,1075,broadleaf,linear,The Rock,-35.26666667,147.0666667
Zieria cystisoides,0.718,0.0177,247,,trifoliolate leaves,,The Rock,-35.26666667,147.0666667
Zieria cystisoides,0.615,0.0127,207,,trifoliolate leaves,,The Rock,-35.26666667,147.0666667
Zieria cystisoides,0.569,0.0106,186,,trifoliolate leaves,,The Rock,-35.26666667,147.0666667
Zieria cystisoides,2.377,0.0413,174,,trifoliolate leaves,,The Rock,-35.26666667,147.0666667
Zieria cystisoides,1.235,0.0186,151,,trifoliolate leaves,,The Rock,-35.26666667,147.0666667
Zieria cystisoides,1.168,0.0168,144,211,trifoliolate leaves,ovate elliptic,The Rock,-35.26666667,147.0666667
