Block!,Column!,Row!,Species!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,P_LL,LMR_D,LMR,RMR_D,RMR,Total_B,Total_Bln,Total_B_D,Total_BG,Total_LL,Total_LD,Total_LF,ABG,ABG_D,ABG_BG,ABG_BG_D,LMR_Comments,Was_Licored!,Photo,Cond,Ci,Trmmol,VpdL,Ci_Ca,WUEi,Photo_D,Cond_D,Ci_D,Trmmol_D,VpdL_D,Ci_Ca_D,WUEi_D,SLA_Licorred,fresh_weight_g,turgid_weight_g,water_uptake_g,water_content_g,dry_weight_g,dry_weight_mg,RWC,area_cm2,area_mm2,SLA_cm_g:4,SLA_mm_mg,LMA_gr,LMA_mm_mg,SLA_Done,%N:1,%C:1,d13C:2,complete,insufficient_sample,Average_PRI,species_name,population,water_treatment,context
3,13,e,ag,3,LoElev,HiWat,7,ag3LoElev7,6,2,8,0.75,0.663641744,0.747389469,0.187216413,0.210842035,0.5069,-0.679441534,0.4501,0.0949,0.3364,0.0568,0.3932,0.412,0.3552,4.341412013,3.74288725,Okay,Yes,0.576988092,0.011120276,307.5537956,0.136574065,1.149333154,0.773483567,51.88613134,0.464050698,0.013905255,335.5952553,0.229804072,1.542530372,0.84134215,33.37232678,y,0.2765,0.2813,0.0048,0.2111,0.0702,7.02,0.977261961,NA,NA,NA,NA,NA,NA,No,4.1,44.2,-25.59,AGM3L7,No,-0.0568,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
1,12,a,ag,3,LoElev,LoWat,8,ag3LoElev8,10,3,13,0.769230769,0.560505627,0.56737146,0.400262063,0.405165015,1.2974,0.260362262,1.2817,0.5193,0.7272,0.0157,0.7429,0.7781,0.7624,1.498363181,1.468130175,Okay,Yes,7.152689359,0.123428178,281.0835896,1.658291843,1.304301947,0.732390708,57.95021424,7.241008345,0.148644728,283.9679618,1.210246156,0.790252732,0.769610071,48.71352276,y,0.2848,0.3025,0.0177,0.2122,0.0903,9.03,0.916588124,6.015,601.5,66.6113,6.661129568,0.015012469,NA,Yes,2,44,-26.46,AGM3L8,No,0.012433333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 3 grown under low water conditions
3,11,g,ag,3,LoElev,LoWat,9,ag3LoElev9,10,1,11,0.909090909,0.733111424,0.740889291,0.245167072,0.247768146,2.3433,0.851560192,2.3187,0.5745,1.7179,0.0246,1.7425,1.7688,1.7442,3.078851175,3.036031332,Okay,Yes,2.310825842,0.036973735,289.4622011,0.527286772,1.342628168,0.727195016,62.49911913,2.307807663,0.035767189,284.1715209,0.585105183,1.532149078,0.715740117,64.52303709,y,0.2037,0.2083,0.0046,0.1445,0.0638,6.38,0.96816609,NA,NA,NA,NA,NA,NA,No,1.4,45.9,-29.11,AGM3L9,No,-0.0444,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 3 grown under low water conditions
3,7,c,ag,3,LoElev,HiWat,10,ag3LoElev10,12,3,15,0.8,0.747730888,0.759456377,0.230069243,0.233677058,4.2748,1.452737318,4.2088,0.9835,3.1964,0.066,3.2624,3.2913,3.2253,3.346517539,3.279410269,Okay,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0678,1.0883,0.0205,0.7707,0.3176,31.76,0.973400804,19.14,1914,60.2645,6.026448363,0.016593521,NA,Yes,NA,NA,NA,NA,No,0.0365,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
2,12,d,ag,3,LoElev,LoWat,11,ag3LoElev11,NA,6,6,NA,0.542267391,0.560915981,0.39486331,0.40844267,1.2693,0.238465567,1.2271,0.5012,0.6883,0.0422,0.7305,0.7681,0.7259,1.532521947,1.448324022,Okay,Yes,1.343148771,0.028981231,316.0619414,0.326481841,1.055374156,0.795453776,46.34547014,5.311135973,0.127750807,308.6683137,1.568814539,1.198644451,0.794397791,41.57418715,y,0.1913,0.2083,0.017,0.1413,0.067,6.7,0.879688606,4.55,455,67.9104,6.791044776,0.014725275,NA,Yes,NA,NA,NA,NA,No,0.015866667,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 3 grown under low water conditions
2,14,g,ag,3,LoElev,LoWat,12,ag3LoElev12,11,4,15,0.733333333,0.629398792,0.641767697,0.314987055,0.321177161,1.0429,0.042005294,1.0228,0.3285,0.6564,0.0201,0.6765,0.7144,0.6943,2.174733638,2.113546423,Okay,Yes,10.44394722,0.210249498,300.8746424,2.078756636,0.96737679,0.773180247,49.67406487,10.84558877,0.250753629,310.2438945,2.622554206,1.031410431,0.797954135,43.25197128,y,0.1646,0.1666,0.002,0.1158,0.0508,5.08,0.982728843,4.649,464.9,91.5157,9.151574803,0.010927081,NA,Yes,1.7,44.9,-26.91,AGM3L12,No,-0.0595,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 3 grown under low water conditions
2,15,c,ag,3,LoElev,HiWat,x1,ag3LoElevx1,4,11,15,0.266666667,0.49822009,0.656938776,0.210184182,0.277142857,0.6461,-0.436800988,0.49,0.1358,0.3219,0.1561,0.478,0.5103,0.3542,3.757731959,2.608247423,Okay,Yes,-0.09770958,0.012199903,403.3776114,0.185223057,1.415228627,1.00778621,-8.009045491,0.50933754,0.015028049,446.2875286,0.213137293,1.326375537,1.111516293,33.89245937,y,0.2827,0.3019,0.0192,0.2173,0.0846,8.46,0.91164289,7.107,710.7,84.0071,8.40070922,0.011903757,NA,Yes,NA,NA,NA,NA,No,0.057133333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
3,4,e,ag,5,LoElev,HiWat,1,ag5LoElev1,10,2,12,0.833333333,0.769964595,0.797494143,0.166502754,0.172455944,1.0168,0.016660441,0.9817,0.1693,0.7829,0.0351,0.818,0.8475,0.8124,5.005906675,4.798582398,Okay,Yes,12.83628132,0.252404246,295.246262,2.671438508,1.044151996,0.763909664,50.85604348,15.21844974,0.142889909,205.4232729,1.16415481,0.780645563,0.53441444,106.5047201,y,0.3823,0.3888,0.0065,0.2679,0.1209,12.09,0.975737215,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.034033333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
2,4,b,ag,5,LoElev,LoWat,2,ag5LoElev2,11,2,13,0.846153846,0.678199096,0.683496048,0.27530215,0.277452348,1.0839,0.080565648,1.0755,0.2984,0.7351,0.0084,0.7435,0.7855,0.7771,2.632372654,2.60422252,Okay,Yes,2.063602411,0.036785194,300.8785227,0.424331126,1.084751376,0.756581939,56.09872332,12.9614263,0.240134421,283.7275475,1.746434227,0.715493198,0.747063649,53.9757118,y,0.2634,0.267,0.0036,0.1801,0.0869,8.69,0.980011105,6.009,600.9,69.1484,6.914844649,0.014461641,NA,Yes,NA,NA,NA,NA,No,-0.036233333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
1,15,h,ag,5,LoElev,HiWat,3,ag5LoElev3,9,1,10,0.9,0.763895064,0.775504063,0.184081814,0.186879326,0.6747,-0.393487131,0.6646,0.1242,0.5154,0.0101,0.5255,0.5505,0.5404,4.43236715,4.351046699,Okay,Yes,14.09117804,0.413076468,312.7033213,3.116785356,0.780665643,0.830677601,34.11275907,7.197416709,0.163617831,307.8363105,2.266964222,1.338221105,0.792229392,43.98919519,y,0.1819,0.1985,0.0166,0.1383,0.0602,6.02,0.879971077,4.375,437.5,72.6744,7.26744186,0.01376,NA,Yes,NA,NA,NA,NA,No,-0.036233333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
3,12,f,ag,5,LoElev,LoWat,4,ag5LoElev4,8,2,10,0.8,0.765925522,0.783233366,0.204201337,0.208815734,1.4662,0.38267402,1.4338,0.2994,1.123,0.0324,1.1554,1.1668,1.1344,3.897127589,3.788911156,Okay,Yes,0.286353145,0.009583924,342.2210515,0.130285203,1.271950575,0.85948675,29.87848759,0.614345941,0.019178598,336.6000571,0.315159997,1.535432012,0.846282557,32.03289121,y,0.3215,0.3265,0.005,0.2237,0.1028,10.28,0.977648637,NA,0,NA,NA,NA,NA,No,3.1,45.2,-25.43,AGM5L4,No,0.015333333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
2,15,a,ag,5,LoElev,HiWat,5,ag5LoElev5,9,5,14,0.642857143,0.720524017,0.74746988,0.201523739,0.209060241,1.0763,0.073529233,1.0375,0.2169,0.7755,0.0388,0.8143,0.8594,0.8206,3.96219456,3.783310281,Okay,Yes,4.012082849,0.073835874,302.0984528,0.749886511,0.957485861,0.762840943,54.33785263,6.614724586,0.181920701,325.3521072,2.371881924,1.263508888,0.827343198,36.36048317,y,0.1511,0.1619,0.0108,0.11,0.0519,5.19,0.901818182,3.603,360.3,69.422,6.942196532,0.014404663,NA,Yes,2.4,44.7,-27.05,AGM5L5,No,0.015866667,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
3,2,h,ag,5,LoElev,LoWat,6,ag5LoElev6,14,3,17,0.823529412,0.696773697,0.70675987,0.282821283,0.286874683,2.5974,0.954510945,2.5607,0.7346,1.8098,0.0367,1.8465,1.8628,1.8261,2.535801797,2.485842635,Okay,Yes,2.963724958,0.052830551,300.9487365,0.615863694,1.101448012,0.755773523,56.09869452,3.756215172,0.015540219,-24.83470782,0.165685378,0.995903169,-0.068086185,241.7092828,y,0.4491,0.4575,0.0084,0.3091,0.1484,14.84,0.972824329,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.034033333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
3,3,g,ag,5,LoElev,LoWat,7,ag5LoElev7,11,0,11,1,0.723859282,0.723859282,0.25148032,0.25148032,1.4355,0.361513221,1.4355,0.361,1.0391,0,1.0391,1.0745,1.0745,2.976454294,2.976454294,Okay,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3322,0.3373,0.0051,0.2256,0.1117,11.17,0.977393617,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.034033333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
2,9,b,ag,5,LoElev,LoWat,8,ag5LoElev8,7,7,14,0.5,0.742527908,0.840260799,0.122794382,0.138956805,0.2777,-1.281213885,0.2454,0.0341,0.2062,0.0323,0.2385,0.2436,0.2113,7.143695015,6.196480938,Okay,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1216,0.1271,0.0055,0.0887,0.0384,3.84,0.937993236,2.496,249.6,65,6.5,0.015384615,NA,Yes,NA,NA,NA,NA,No,-0.027966667,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
3,14,e,ag,5,LoElev,HiWat,9,ag5LoElev9,7,4,11,0.636363636,0.713918904,0.794499345,0.152776292,0.170020241,0.9347,-0.067529657,0.8399,0.1428,0.6673,0.0948,0.7621,0.7919,0.6971,5.545518207,4.881652661,Okay,Yes,1.53547093,0.041376501,330.1019201,0.549202482,1.25041131,0.830135846,37.10973319,0.387128329,0.041298817,374.0332272,0.689249942,1.566655368,0.936213672,9.373835773,y,0.1588,0.1696,0.0108,0.1155,0.0541,5.41,0.906493506,NA,NA,NA,NA,NA,NA,No,2,46.5,-24.85,AGM5L9,No,0.014733333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
2,6,e,ag,5,LoElev,LoWat,10,ag5LoElev10,10,6,16,0.625,0.667360285,0.680756868,0.282342449,0.288010189,1.682,0.519983562,1.6489,0.4749,1.1225,0.0331,1.1556,1.2071,1.174,2.541798273,2.472099389,Okay,Yes,13.80287547,0.386441296,311.4107175,3.999506344,1.053423271,0.82133576,35.71791009,13.76286317,0.342539091,288.2216429,2.215782536,0.650089759,0.799453721,40.17895628,y,0.3306,0.3452,0.0146,0.229,0.1162,11.62,0.936244541,6.972,697.2,60,6,0.016666667,NA,Yes,NA,NA,NA,NA,No,0.057433333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
2,3,d,ag,5,LoElev,HiWat,11,ag5LoElev11,8,0,8,1,0.782004674,0.804783538,0.144637756,0.148850882,0.7702,-0.261105058,0.7484,0.1114,0.6023,0.0218,0.6241,0.6588,0.637,5.913824057,5.718132855,Okay,Yes,5.84639091,0.101047965,288.0324914,1.232285266,1.170552457,0.739690315,57.85758192,9.141378224,0.148392681,261.6963397,0.98029202,0.639454464,0.712308883,61.60262212,y,0.3055,0.3258,0.0203,0.2344,0.0914,9.14,0.913395904,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,0.057133333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
2,2,g,ag,5,LoElev,HiWat,12,ag5LoElev12,12,3,15,0.8,0.781855002,0.790855832,0.159214257,0.161047155,2.469,0.90381321,2.4409,0.3931,1.9304,0.0281,1.9585,2.0759,2.0478,5.280844569,5.209361486,Okay,Yes,2.470539074,0.024468812,227.5194273,0.276491658,1.064726665,0.574540999,100.9668589,15.44498019,0.298650304,279.7117033,1.843353191,0.62084376,0.752973528,51.71593665,y,0.2434,0.267,0.0236,0.1701,0.0969,9.69,0.861258083,6.009,600.9,62.0124,6.20123839,0.016125811,NA,Yes,NA,NA,NA,NA,No,-0.034033333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
3,3,f,ag,5,LoElev,HiWat,13,ag5LoElev13,7,0,7,1,0.620425159,0.620425159,0.358755205,0.358755205,0.4563,-0.784604791,0.4563,0.1637,0.2831,NA,0.2831,0.2926,0.2926,1.787416005,1.787416005,Okay,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2001,0.2053,0.0052,0.1439,0.0614,6.14,0.963863794,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,0.034,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 5 grown under high water conditions
1,12,e,ag,5,LoElev,LoWat,14,ag5LoElev14,6,3,9,0.666666667,0.621372032,0.631932021,0.329815303,0.335420394,0.2274,-1.481044698,0.2236,0.075,0.1413,0.0038,0.1451,0.1524,0.1486,2.032,1.981333333,Okay,Yes,7.194717669,0.119246157,284.2012589,1.084744928,0.880252966,0.732146148,60.33500655,5.423894042,0.085232055,273.5183987,0.91079891,1.019864322,0.714384969,63.63678568,y,0.1058,0.1132,0.0074,0.0772,0.036,3.6,0.904145078,2.111,211.1,58.6389,5.863888889,0.017053529,NA,Yes,NA,NA,NA,NA,No,0.047566667,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
1,1,c,ag,5,LoElev,LoWat,15,ag5LoElev15,6,4,10,0.6,0.530399105,0.564958284,0.399850802,0.425903854,0.2681,-1.316395234,0.2517,0.1072,0.1422,0.0164,0.1586,0.1609,0.1445,1.500932836,1.347947761,Okay,Yes,15.0114342,0.387658387,319.1129636,4.065049626,1.059887272,0.815086393,38.72335725,0.557500382,0.056158778,373.7235777,0.847566525,1.428552072,0.936154787,9.927217048,y,0.0941,0.1044,0.0103,0.0774,0.027,2.7,0.866925065,1.942,194.2,71.9259,7.192592593,0.013903193,NA,Yes,1.2,43.5,-27.07,AGM5L15,No,0.042533333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
2,8,b,ag,5,LoElev,LoWat,16,ag5LoElev16,8,2,10,0.8,0.571521881,0.584893048,0.37295885,0.381684492,0.61240000000000006,-0.490369615,0.5984,0.2284,0.35,0.014,0.364,0.384,0.37,1.681260946,1.619964974,Okay,Yes,6.288594904,0.183664532,324.7188268,1.53683535,0.815658966,0.839637306,34.23957165,4.998497856,0.085182834,280.0141089,0.720136664,0.804494278,0.735818146,58.67963772,y,0.1713,0.1938,0.0225,0.1321,0.0617,6.17,0.829674489,3.71,371,60.1297,6.012965964,0.016630728,NA,Yes,0.7,46.3,-27.59,AGM5L16,No,-0.023166667,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 5 grown under low water conditions
