Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Commersonia magniflora (F.Muell.) F.Muell. subsp. magniflora,NA,NA,NA,NA,NA,NA,NA
Corchorus,NA,NA,NA,NA,NA,NA,NA
Corchorus aestuans L.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003",Seeder,None,NA,NA
Corchorus aulacocarpus Halford,NA,NA,NA,NA,NA,NA,NA
Corchorus capsularis L.,NA,NA,KNP plots,Seeder,None,NA,NA
Corchorus elderi F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Corchorus fascicularis Lam.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Corchorus macropetalus (F.Muell.) Domin,NA,NA,NA,NA,NA,NA,NA
Corchorus macropterus G.J.Leach & Cheek,NA,NA,KNP plots,Seeder,None,NA,NA
Corchorus obclavatus Halford,NA,NA,NA,NA,NA,NA,NA
Corchorus olitorius L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Corchorus pascuorum Domin,NA,NA,Brennan 2004,NA,NA,NA,NA
Corchorus pumilio R.Br. ex Benth.,NA,NA,KNP plots,Seeder,None,NA,NA
Corchorus sericeus Ewart & O.B.Davies,NA,NA,NA,NA,NA,NA,NA
Corchorus sericeus Ewart & O.B.Davies subsp. densiflorus (Benth.) Halford,NA,NA,NA,NA,NA,NA,NA
Corchorus sericeus Ewart & O.B.Davies subsp. sericeus,NA,NA,NA,NA,NA,NA,NA
Corchorus sidoides F.Muell.,NA,NA,NA,NA,NA,NA,NA
Corchorus sidoides F.Muell. subsp. rostrisepalus (Domin) Halford,NA,NA,NA,NA,NA,NA,NA
Corchorus sidoides F.Muell. subsp. sidoides,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA
Corchorus sidoides F.Muell. subsp. vermicularis (F.Muell.) Halford,NA,NA,NA,NA,NA,NA,NA
Corchorus sp. Keep River (K.G.Brennan 10502),NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Corchorus sublatus Halford,NA,NA,NA,NA,NA,NA,NA
Corchorus tridens L.,NA,NA,Brennan 2004,NA,NA,NA,NA
Corchorus trilocularis L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Corchorus walcottii F.Muell.,NA,NA,"Brock 2004, Brennan 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Decaschistia,NA,NA,NA,NA,NA,NA,NA
Decaschistia byrnesii Fryxell,NA,NA,NA,NA,NA,NA,NA
Decaschistia byrnesii Fryxell subsp. byrnesii,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dicarpidium,NA,NA,NA,NA,NA,NA,NA
Dicarpidium monoicum F.Muell.,NA,NA,I.D. Cowie 2020,NA,None,NA,NA
Dicarpidium sp. Arnhem Land (L.A.Craven 2494) Cowie,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Dicarpidium sp. Nabarlek (R.Hinz 561) Cowie,NA,NA,I.D. Cowie 2020,NA,None,NA,NA
Dicarpidium sp. Purnululu (K.A.Menkhorst 766) Cowie,NA,NA,I.D. Cowie 2020,NA,None,NA,NA
Dicarpidium sp. Ubirr (N.Byrnes 2821) Cowie,NA,NA,I.D. Cowie 2020,NA,None,NA,NA
Gilesia,NA,NA,NA,NA,NA,NA,NA
Gilesia biniflora F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gossypium,NA,NA,NA,NA,NA,NA,NA
Gossypium australe F.Muell.,NA,NA,"Yates 2003, Latz 2004, Liddle 2004",Faculative resprouter,NA,NA,NA
Gossypium bickii Prokh.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,NA,NA,NA
Gossypium cunninghamii Tod.,NA,NA,NA,NA,NA,NA,NA
Gossypium hirsutum L.,NA,NA,NA,NA,NA,NA,NA
Gossypium nelsonii Fryxell,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gossypium sturtianum J.H.Willis,NA,NA,NA,NA,NA,NA,NA
Gossypium sturtianum J.H.Willis var. nandewarense (Derera) Fryxell,NA,NA,NA,NA,NA,NA,NA
Gossypium sturtianum J.H.Willis var. sturtianum,NA,NA,Latz 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Grewia,NA,NA,NA,NA,NA,NA,NA
Grewia asiatica L.,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Grewia breviflora Benth.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Grewia mesomischa Burret,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Grewia orbifolia F.Muell. ex Benth.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Grewia oxyphylla Burret,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Grewia savannicola R.L.Barrett,NA,NA,"Yates 2003, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Guazuma ulmifolia Lam.,NA,NA,NA,NA,NA,NA,NA
Hannafordia,NA,NA,NA,NA,NA,NA,NA
Hannafordia bissillii F.Muell.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Hannafordia bissillii F.Muell. subsp. bissillii,NA,NA,NA,NA,NA,NA,NA
Helicteres,NA,NA,NA,NA,NA,NA,NA
Helicteres angustifolia L.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Helicteres cana (Schott & Endl.) Benth.,NA,NA,"Cowie 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres cana (Schott & Endl.) Benth. subsp. cana,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Helicteres cana (Schott & Endl.) Benth. subsp. latifolia Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Helicteres darwinensis Cowie,NA,NA,"Cowie 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres flagellaris (Benth.) Cowie,NA,NA,Yates 2003; Cowie 2019,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres hirsuta Lour.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Helicteres integrifolia (F.Muell.) Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Helicteres integrifolia (F.Muell.) Cowie subsp. St Vidgeons (K.Manning 425) Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Helicteres integrifolia (F.Muell.) Cowie subsp. dentata (F.Muell. ex Benth.) Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Helicteres integrifolia (F.Muell.) Cowie subsp. integrifolia,NA,NA,Cowie 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres isora L.,NA,NA,JRS 2004; Cowie 2019,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Helicteres kombolgiana Cowie,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Helicteres macrothrix Cowie,NA,NA,"Cowie 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres procumbens (F.Muell. ex Benth.) Cowie,NA,NA,Cowie 2019,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres serpens Cowie,NA,NA,Cowie 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres sphaerotheca Cowie,NA,NA,"Cowie 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Helicteres tenuipila Cowie,NA,NA,Cowie 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Herissantia,NA,NA,NA,NA,NA,NA,NA
Herissantia crispa (L.) Brizicky.,NA,NA,JRS 2004,Seeder,None,NA,NA
Hibiscus,NA,NA,NA,NA,NA,NA,NA
"Hibiscus aneuthe Craven, F.D.Wilson & Fryxell",NA,NA,NA,NA,NA,NA,NA
Hibiscus arenicola A.Mitch.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Hibiscus arnhemensis F.D.Wilson,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA
Hibiscus austrinus Juswara & Craven,NA,NA,NA,NA,NA,NA,NA
Hibiscus austrinus Juswara & Craven var. austrinus,NA,NA,NA,NA,NA,NA,NA
"Hibiscus bacalusius Craven, F.D.Wilson & Fryxell",NA,NA,I.D.Cowie,Seeder,NA,NA,NA
Hibiscus brachychlaenus F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Hibiscus brachysiphonius F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Hibiscus brennanii Craven,NA,NA,"Liddle 2004, Brennan 2004",Seeder,NA,NA,NA
Hibiscus burtonii F.M.Bailey,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Hibiscus byrnesii F.D.Wilson,NA,NA,KNP plots,Seeder,None,NA,NA
Hibiscus cravenii (Fryxell) B.E.Pfeil & Craven,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
"Hibiscus fallax Craven, F.D.Wilson & Fryxell",NA,NA,I.D.Cowie,Seeder,NA,NA,NA
Hibiscus fluvialis Juswara & Craven,NA,NA,NA,NA,NA,NA,NA
Hibiscus fryxellii Mabb.,NA,NA,NA,NA,NA,NA,NA
Hibiscus fryxellii Mabb. var. fryxellii,NA,NA,NA,NA,NA,NA,NA
"Hibiscus fryxellii Mabb. var. mollis Craven, F.D.Wilson & Fryxell",NA,NA,NA,NA,NA,NA,NA
Hibiscus geranioides A.Cunn. ex Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA
"Hibiscus inimicus Craven, F.D.Wilson & Fryxell",NA,NA,NA,NA,NA,NA,NA
Hibiscus krichauffianus F.Muell.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Hibiscus leptocladus Benth.,NA,NA,"KNP plots, Nitmiluk plots, Latz 2004","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Hibiscus lobatus (Murray) Kuntze,NA,NA,JRS 2004,Seeder,None,NA,NA
Hibiscus menzeliae F.D.Wilson & Byrnes,NA,NA,NA,NA,NA,NA,NA
Hibiscus meraukensis Hochr.,NA,NA,"Yates 2003, JRS 2004",Seeder,None,NA,NA
Hibiscus multilobatus Juswara & Craven,NA,NA,NA,NA,NA,NA,NA
Hibiscus panduriformis Burm.f.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Hibiscus pentaphyllus F.Muell.,NA,NA,JRS 2004,Seeder,None,NA,NA
"Hibiscus petherickii Craven, F.D.Wilson & Fryxell",NA,NA,I.D.Cowie,Seeder,NA,NA,NA
"Hibiscus riceae Craven, F.D.Wilson & Fryxell",NA,NA,NA,NA,NA,NA,NA
Hibiscus sabdariffa L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Hibiscus setulosus F.Muell.,NA,NA,NA,NA,NA,NA,NA
Hibiscus solanifolius F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Hibiscus sp. Spirit Hills (G.Boehme 5) NT Herbarium,NA,NA,Cowie 2019,Seeder,NA,NA,NA
Hibiscus sturtii Hook.,NA,NA,NA,NA,NA,NA,NA
Hibiscus sturtii Hook. var. campylochlamys F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Hibiscus sturtii Hook. var. grandiflorus Benth.,NA,NA,Latz 2004,"Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Hibiscus sturtii Hook. var. platychlamys Benth.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Hibiscus sturtii Hook. var. sturtii,NA,NA,Latz 2004,Seeder,None,NA,NA
Hibiscus sturtii Hook. var. truncatus Fryxell,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Hibiscus symonii F.D.Wilson & Byrnes,NA,NA,KNP plots,Seeder,None,NA,NA
"Hibiscus thegaleus Craven, F.D.Wilson & Fryxell",NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Hibiscus tiliaceus L.,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Hibiscus verdcourtii Craven,NA,NA,"Albrecht 2004, Brock 2004, Liddle 2004, Brennan 2004",Seeder,None,NA,NA
Hibiscus vitifolius L.,NA,NA,JRS 2004,Seeder,None,NA,NA
Hibiscus zonatus F.Muell.,NA,NA,NA,NA,NA,NA,NA
Hildegardia,NA,NA,NA,NA,NA,NA,NA
Hildegardia australiensis G.J.Leach & Cheek,NA,NA,JRS 2004,Faculative resprouter,None,NA,NA
Lawrencia,NA,NA,NA,NA,NA,NA,NA
Lawrencia glomerata Hook.,NA,NA,"Latz 2004, Liddle 2004","Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Lawrencia sp. Glen Helen (P.K.Latz 15936),NA,NA,NA,NA,NA,NA,NA
Lawrencia sp. The Granites (D.E.Albrecht 8856),NA,NA,NA,NA,NA,NA,NA
Lawrencia squamata Nees,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Lawrencia viridigrisea Lander,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Malachra,NA,NA,NA,NA,NA,NA,NA
Malachra capitata (L.) L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Malachra fasciata Jacq.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Malachra fasciata Jacq. var. lineariloba (Turcz.) Gurke,NA,NA,KNP plots,Seeder,None,NA,NA
Malva,NA,NA,NA,NA,NA,NA,NA
Malva parviflora L.,NA,NA,Latz 2004,Seeder,None,NA,NA
Malva preissiana Miq.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Malvastrum,NA,NA,NA,NA,NA,NA,NA
Malvastrum americanum (L.) Torr.,NA,NA,"JRS 2004, Latz 2004","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Malvastrum coromandelianum (L.) Garcke,NA,NA,NA,NA,NA,NA,NA
Malvastrum sp. limestone (I.D.Cowie 14531) Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Melhania,NA,NA,NA,NA,NA,NA,NA
Melhania oblongifolia F.Muell.,NA,NA,"Yates 2003, JRS 2004",Seeder,None,NA,NA
Melhania sp. Mt Bundey (I.D.Cowie 9988) Cowie,NA,NA,I.D.Cowie,NA,NA,NA,NA
Melochia,NA,NA,NA,NA,NA,NA,NA
Melochia corchorifolia L.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Melochia pyramidata L.,NA,NA,Brennan 2004,NA,NA,NA,NA
Pentapetes,NA,NA,NA,NA,NA,NA,NA
Pentapetes phoenicea L.,NA,NA,NA,NA,NA,NA,NA
Radyera,NA,NA,NA,NA,NA,NA,NA
Radyera farragei (F.Muell.) Fryxell & S.H.Hashmi,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Schoutenia,NA,NA,NA,NA,NA,NA,NA
Schoutenia ovata Korth.,NA,NA,"JRS 2004, Liddle 2004; Cowie 2019",Resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Seringia,NA,NA,NA,NA,NA,NA,NA
Seringia adenolasia F.Muell.,NA,NA,NA,NA,NA,NA,NA
Seringia corollata Steetz,NA,NA,NA,NA,NA,NA,NA
Seringia elliptica C.F.Wilkins,NA,NA,NA,NA,NA,NA,NA
Seringia nephrosperma F.Muell.,NA,NA,Yates 2003,Seeder,None,NA,NA
Sida,NA,NA,NA,NA,NA,NA,NA
Sida acuta Burm.f.,NA,NA,"KNP plots, JRS 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida ammophila F.Muell. ex J.H.Willis,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida arenicola S.T.Reynolds & A.E.Holland,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sida argillacea A.E.Holland & S.T.Reynolds,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida atherophora Domin,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida brachypoda A.E.Holland & S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Sida calyxhymenia J.Gay ex DC.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sida cardiophylla F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida cleisocalyx F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sida cordifolia L.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida cunninghamii C.T.White,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida echinocarpa F.Muell.,NA,NA,NA,NA,NA,NA,NA
Sida everistiana S.T.Reynolds & A.E.Holland,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida fibulifera Lindl.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida filiformis A.Cunn.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,None,NA,NA
Sida goniocarpa (F.Muell. ex Benth.) Domin,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida hackettiana W.Fitzg.,NA,NA,NA,NA,NA,NA,NA
Sida intricata F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sida laevis Domin,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida macropoda F.Muell. ex Benth.,NA,NA,NA,NA,NA,NA,NA
Sida magnifica Domin,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida phaeotricha F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Sida platycalyx F.Muell. ex Benth.,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida pusilla Cav.,NA,NA,NA,NA,NA,NA,NA
Sida rhombifolia L.,NA,NA,NA,NA,NA,NA,NA
Sida rohlenae Domin,NA,NA,NA,NA,NA,NA,NA
Sida rohlenae Domin subsp. occidentalis R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Sida rohlenae Domin subsp. rohlenae,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida sp. Ambalindum (C.R.Dunlop 2080),NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida sp. Bond Springs (D.J.Nelson 2538),NA,NA,Brennan 2004,NA,NA,NA,NA
Sida sp. Chewings Range (D.E.Albrecht 10558),NA,NA,NA,NA,NA,NA,NA
Sida sp. Groote Eylandt (C.R.Dunlop 9300 & G.J.Leach),NA,NA,NA,NA,NA,NA,NA
Sida sp. Hale River (P.K.Latz 12036),NA,NA,Brennan 2004,NA,NA,NA,NA
Sida sp. Horseshoe Bend (R.E.Winkworth 798),NA,NA,Brennan 2004,NA,NA,NA,NA
Sida sp. Huckitta (P.K.Latz 12592),NA,NA,"Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida sp. Kathleen Springs (A.C.Beauglehole 26934),NA,NA,NA,NA,NA,NA,NA
Sida sp. Lajamanu (J.Egan 4317) Brennan,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida sp. McArthur River (T.S.Henshall 1619),NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
NA,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida sp. Musselbrook (M.B.Thomas+ MRS437) Qld Herbarium,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida sp. Nitmiluk (P.A.Fryxell 4220 & L.A.Craven),NA,NA,NA,NA,NA,NA,NA
Sida sp. Petermann Ranges (B.G.Thomson 2340),NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Seeder,None,NA,NA
Sida sp. Rabbit Flat (P.K.Latz 12326),NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida sp. Rainbow Valley (D.E.Albrecht 6601),NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sida sp. Simpson Desert dunes (P.K.Latz 18008),NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida sp. Suplejack Station (T.S.Henshall 2345),NA,NA,NA,NA,NA,NA,NA
Sida sp. Tawallah Ck (P.K.Latz 14542),NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida sp. Victoria River (I.D.Cowie 5058),NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Sida sp. Wakaya Desert (P.K.Latz 11894),NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida sp. Walhallow Station (C.Edgoose 28/Oct/94),NA,NA,NA,NA,NA,NA,NA
Sida sp. Watarrka (D.E.Albrecht 8672),NA,NA,Brennan 2004,NA,NA,NA,NA
Sida sp. Western sand dunes (P.K.Latz 11980),NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sida sp. excedentifolia (J.L.Egan 1925),NA,NA,NA,NA,NA,NA,NA
Sida sp. golden calyces (G.J.Leach 1966),NA,NA,Brennan 2004,NA,NA,NA,NA
Sida sp. limestone (D.E.Albrecht 5748),NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Sida sp. pindan (B.G.Thomson 3398),NA,NA,"Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sida spenceriana F.Muell.,NA,NA,NA,NA,NA,NA,NA
Sida spinosa L.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sida subcordata Span.,NA,NA,NA,NA,NA,NA,NA
Sida trichopoda F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sterculia,NA,NA,NA,NA,NA,NA,NA
Sterculia holtzei F.Muell.,NA,NA,"Yates 2003, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sterculia quadrifida R.Br.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Thespesia,NA,NA,NA,NA,NA,NA,NA
Thespesia populneoides (Roxb.) Kostel.,NA,NA,"JRS 2004, Liddle 2004",Seeder,None,NA,NA
Thespesia thespesioides (R.Br. ex Benth.) Fryxell,NA,NA,NA,NA,NA,NA,NA
Triumfetta,NA,NA,NA,NA,NA,NA,NA
Triumfetta albida (F.Muell. ex Domin) Halford,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Triumfetta antrorsa Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta aquila Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta arnhemica Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta centralis Halford,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Triumfetta chaetocarpa F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Triumfetta cinerea Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta clivorum Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta clivorum Halford subsp. brevipetala Halford,NA,NA,Brennan 2004,NA,NA,NA,NA
Triumfetta denticulata R.Br. ex Benth.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Triumfetta deserticola Halford,NA,NA,Brennan 2004,NA,NA,NA,NA
Triumfetta fissurata Halford,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Triumfetta glaucescens (R.Br.) Benth.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Triumfetta inermis Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta johnstonii F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA
Triumfetta litticola Halford,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Triumfetta longipedunculata Halford,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Triumfetta maconochieana Halford,NA,NA,Brennan 2004,NA,NA,NA,NA
Triumfetta mellina Halford,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Triumfetta micracantha F.Muell.,NA,NA,"JRS 2004, Liddle 2004",Seeder,None,NA,NA
Triumfetta oenpelliensis Halford,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Triumfetta pannosa R.Br. ex Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta parviflora Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA
Triumfetta pentandra A.Rich.,NA,NA,JRS 2004,Seeder,None,NA,NA
Triumfetta plumigera F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Triumfetta prostrata Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta repens (Blume) Merr. & Rolfe,NA,NA,I.D.Cowie,NA,NA,NA,NA
Triumfetta rhomboidea Jacq.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004, Liddle 2004",Seeder,None,NA,NA
Triumfetta ryeae Halford,NA,NA,I.D.Cowie,Seeder,NA,NA,NA
Triumfetta ryeae Halford subsp. ryeae,NA,NA,NA,NA,NA,NA,NA
Triumfetta sp. Bradshaw (B.M.Stuckey 57),NA,NA,NA,NA,NA,NA,NA
Triumfetta sp. fleshy (C.R.Michell 2169),NA,NA,NA,NA,NA,NA,NA
Triumfetta sylvicola Halford,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA
Triumfetta triandra Sprague & Hutch.,NA,NA,NA,NA,NA,NA,NA
Triumfetta viridis Halford,NA,NA,NA,NA,NA,NA,NA
Triumfetta winneckeana F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Urena,NA,NA,NA,NA,NA,NA,NA
Urena armitiana F.Muell.,NA,NA,NA,NA,NA,NA,NA
Urena armitiana F.Muell. var. spenceri (Ewart) Fryxell & Craven,NA,NA,NA,NA,NA,NA,NA
Urena australiensis Fryxell & Craven,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Urena lobata L.,NA,NA,"KNP plots, JRS 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Waltheria,NA,NA,NA,NA,NA,NA,NA
Waltheria indica L.,NA,NA,"Yates 2003, KNP plots, Nitmiluk plots, JRS 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Waltheria virgata Ewart & Cookson,NA,NA,Brennan 2004,NA,NA,NA,NA
