Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Hibiscus krichauffianus,R+,P-,NA,NA,NA,NA,NA
Hibiscus sturtii var. grandiflorus,R+,P+,NA,NA,NA,NA,NA
Hibiscus sturtii var. sturtii,R+,P+,NA,NA,NA,NA,NA
Hibiscus sturtii var. truncatus,R+,P-,NA,NA,NA,NA,NA
Indigofera basedowii,R+,P+,NA,NA,NA,NA,NA
Indigofera helmsii,R-,P+,NA,NA,NA,NA,NA
Indigofera leucotricha,R-,P-,NA,NA,NA,NA,NA
Indigofera sp. MacDonnell Ranges (P.K.Latz 11587) Peter Wilson,R+,P+,NA,NA,NA,NA,NA
Ipomoea costata,R+,P+,NA,NA,NA,NA,NA
Isotropis atropurpurea,R+,P-,NA,NA,NA,NA,NA
Jacksonia odontoclada,R+,P-,NA,NA,NA,NA,NA
Jasminum calcareum,R+,P-,NA,NA,NA,NA,NA
Jasminum didymum subsp. lineare,R+,P-,NA,NA,NA,NA,NA
Keraudrenia nephrosperma,R-,P+,NA,NA,NA,NA,NA
Keraudrenia velutina,R+,P-,NA,NA,NA,NA,NA
Lysiana exocarpi subsp. exocarpi,R-,P-,NA,NA,NA,NA,NA
Lysiana murrayi,R-,P-,NA,NA,NA,NA,NA
Lysiana spathulata,R-,P-,NA,NA,NA,NA,NA
Macrozamia macdonnellii,R+,P-,NA,NA,NA,NA,VI
Maireana triptera,R-,P-,NA,NA,NA,NA,NA
Marsdenia australis,R+,P-,NA,NA,NA,NA,NA
Melaleuca lasiandra,R+,P-,NA,NA,NA,NA,VI
Micromyrtus flaviflora,R+,P-,NA,NA,NA,NA,NA
Mirbelia viminalis,R-,P+,NA,NA,NA,NA,NA
Muehlenbeckia florulenta,R+,P-,NA,NA,NA,NA,NA
Myoporum montanum,R+,P-,NA,NA,NA,NA,NA
Olearia ferresii,R+,P-,NA,NA,NA,NA,NA
Olearia stuartii,R+,P-,NA,NA,NA,NA,NA
Olearia subspicata,R+,P-,NA,NA,NA,NA,NA
Ozothamnus kempei,R+,P-,NA,NA,NA,NA,NA
Pandorea doratoxylon,R+,P-,NA,NA,NA,NA,VI
Petalostigma nummularium,R+,P-,NA,NA,NA,NA,NA
Petalostylis cassioides,R+,P+,NA,NA,NA,NA,NA
Pittosporum angustifolium,R-,P-,NA,NA,NA,NA,VI
Pluchea dunlopii,R+,P-,NA,NA,NA,NA,NA
Pluchea ferdinandi-muelleri,R+,P-,NA,NA,NA,NA,NA
Pluchea tetranthera,R+,P-,NA,NA,NA,NA,NA
Premna acuminata,R+,P-,NA,NA,NA,NA,VI
Prostanthera sericea,R+,P-,NA,NA,NA,NA,NA
Prostanthera striatiflora,R+,P-,NA,NA,NA,NA,NA
Psydrax latifolia,R-,P-,NA,NA,NA,NA,NA
Psydrax suaveolens,R+,P-,NA,NA,NA,NA,NA
