name_original,raw_trait_value ,trait ,units,SITE_ID
Doryphora sassafras,1.4,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Doryphora sassafras,29.58,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Gymnostachys anceps,15407,area leaf,mm2,Bola Creek Royal NP_3
Gymnostachys anceps,51.8,SLA,cm2/g,Bola Creek Royal NP_3
Gymnostachys anceps,64.2,water content leaf,%,Bola Creek Royal NP_3
Gymnostachys anceps,0.5,lamina thickness ,mm,Bola Creek Royal NP_3
Gymnostachys anceps,3.05,force of fracture,N,Bola Creek Royal NP_3
Gymnostachys anceps,6230,toughness leaf,Nm-1,Bola Creek Royal NP_3
Gymnostachys anceps,43.7,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Gymnostachys anceps,1,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Gymnostachys anceps,43.76,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Livistona australis,2118974,area leaf,mm2,Bola Creek Royal NP_3
Livistona australis,108,SLA,cm2/g,Bola Creek Royal NP_3
Livistona australis,63.8,water content leaf,%,Bola Creek Royal NP_3
Livistona australis,0.17,lamina thickness ,mm,Bola Creek Royal NP_3
Livistona australis,0.57,force of fracture,N,Bola Creek Royal NP_3
Livistona australis,3364,toughness leaf,Nm-1,Bola Creek Royal NP_3
Livistona australis,42.4,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Livistona australis,1.1,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Livistona australis,40,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Lomatia myriocoides,3495,area leaf,mm2,Bola Creek Royal NP_3
Lomatia myriocoides,171,SLA,cm2/g,Bola Creek Royal NP_3
Lomatia myriocoides,57.2,water content leaf,%,Bola Creek Royal NP_3
Lomatia myriocoides,0.3,lamina thickness ,mm,Bola Creek Royal NP_3
Lomatia myriocoides,0.5,force of fracture,N,Bola Creek Royal NP_3
Lomatia myriocoides,1739,toughness leaf,Nm-1,Bola Creek Royal NP_3
Lomatia myriocoides,47.2,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Lomatia myriocoides,0.8,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Lomatia myriocoides,58.45,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Palmeria scandens,5365,area leaf,mm2,Bola Creek Royal NP_3
Palmeria scandens,234,SLA,cm2/g,Bola Creek Royal NP_3
Palmeria scandens,75.3,water content leaf,%,Bola Creek Royal NP_3
Palmeria scandens,0.2,lamina thickness ,mm,Bola Creek Royal NP_3
Palmeria scandens,0.2,force of fracture,N,Bola Creek Royal NP_3
Palmeria scandens,1213,toughness leaf,Nm-1,Bola Creek Royal NP_3
Palmeria scandens,44,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Palmeria scandens,1.7,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Palmeria scandens,26.41,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Ripogonum album,3881,area leaf,mm2,Bola Creek Royal NP_3
Ripogonum album,128,SLA,cm2/g,Bola Creek Royal NP_3
Ripogonum album,66.1,water content leaf,%,Bola Creek Royal NP_3
Ripogonum album,0.28,lamina thickness ,mm,Bola Creek Royal NP_3
Ripogonum album,0.69,force of fracture,N,Bola Creek Royal NP_3
Ripogonum album,2513,toughness leaf,Nm-1,Bola Creek Royal NP_3
Ripogonum album,47,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Ripogonum album,1.1,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Ripogonum album,41.6,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Syncarpia glomulifera,2886,area leaf,mm2,Bola Creek Royal NP_3
Syncarpia glomulifera,84.6,SLA,cm2/g,Bola Creek Royal NP_3
Syncarpia glomulifera,50.9,water content leaf,%,Bola Creek Royal NP_3
Syncarpia glomulifera,0.2,lamina thickness ,mm,Bola Creek Royal NP_3
Syncarpia glomulifera,0.6,force of fracture,N,Bola Creek Royal NP_3
Syncarpia glomulifera,2261.84,toughness leaf,Nm-1,Bola Creek Royal NP_3
Syncarpia glomulifera,50.7,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Syncarpia glomulifera,1.2,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Syncarpia glomulifera,41.41,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Trochocarpa laurina,1236,area leaf,mm2,Bola Creek Royal NP_3
Trochocarpa laurina,119,SLA,cm2/g,Bola Creek Royal NP_3
Trochocarpa laurina,48,water content leaf,%,Bola Creek Royal NP_3
Trochocarpa laurina,0.26,lamina thickness ,mm,Bola Creek Royal NP_3
Trochocarpa laurina,0.82,force of fracture,N,Bola Creek Royal NP_3
Trochocarpa laurina,3134,toughness leaf,Nm-1,Bola Creek Royal NP_3
Trochocarpa laurina,46.9,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Trochocarpa laurina,0.9,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Trochocarpa laurina,53.54,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Wilkiea huegeliana,4205,area leaf,mm2,Bola Creek Royal NP_3
Wilkiea huegeliana,105,SLA,cm2/g,Bola Creek Royal NP_3
Wilkiea huegeliana,62.8,water content leaf,%,Bola Creek Royal NP_3
Wilkiea huegeliana,0.3,lamina thickness ,mm,Bola Creek Royal NP_3
Wilkiea huegeliana,0.7,force of fracture,N,Bola Creek Royal NP_3
Wilkiea huegeliana,2028,toughness leaf,Nm-1,Bola Creek Royal NP_3
Wilkiea huegeliana,43.3,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Wilkiea huegeliana,1.2,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Wilkiea huegeliana,38.71,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Acacia suaveolens,305,area leaf,mm2,Bundeena Road Royal NP_3
Acacia suaveolens,38.6,SLA,cm2/g,Bundeena Road Royal NP_3
Acacia suaveolens,57.5,water content leaf,%,Bundeena Road Royal NP_3
Acacia suaveolens,0.6,lamina thickness ,mm,Bundeena Road Royal NP_3
Acacia suaveolens,1.06,force of fracture,N,Bundeena Road Royal NP_3
Acacia suaveolens,1709,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Acacia suaveolens,49.7,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Acacia suaveolens,1.4,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Acacia suaveolens,35.89,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Allocasuarina distyla,395,area leaf,mm2,Bundeena Road Royal NP_3
Allocasuarina distyla,18,SLA,cm2/g,Bundeena Road Royal NP_3
Allocasuarina distyla,37.6,water content leaf,%,Bundeena Road Royal NP_3
Allocasuarina distyla,1.5,lamina thickness ,mm,Bundeena Road Royal NP_3
Allocasuarina distyla,2.4,force of fracture,N,Bundeena Road Royal NP_3
Allocasuarina distyla,1654,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Allocasuarina distyla,48.5,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Allocasuarina distyla,0.69,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Allocasuarina distyla,72.01,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Angophora hispida,3004,area leaf,mm2,Bundeena Road Royal NP_3
Angophora hispida,38.9,SLA,cm2/g,Bundeena Road Royal NP_3
Angophora hispida,43.8,water content leaf,%,Bundeena Road Royal NP_3
Angophora hispida,0.49,lamina thickness ,mm,Bundeena Road Royal NP_3
Angophora hispida,2.1,force of fracture,N,Bundeena Road Royal NP_3
Angophora hispida,4270,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Angophora hispida,49.7,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Angophora hispida,1.2,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Angophora hispida,49.5,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Banksia serrata,1829,area leaf,mm2,Bundeena Road Royal NP_3
Banksia serrata,39.8,SLA,cm2/g,Bundeena Road Royal NP_3
Banksia serrata,45.1,water content leaf,%,Bundeena Road Royal NP_3
Banksia serrata,0.5,lamina thickness ,mm,Bundeena Road Royal NP_3
Banksia serrata,2.1,force of fracture,N,Bundeena Road Royal NP_3
Banksia serrata,4329,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Banksia serrata,50,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Banksia serrata,0.6,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Banksia serrata,83.7,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Corymbia gummifera,1886,area leaf,mm2,Bundeena Road Royal NP_3
Corymbia gummifera,44.3,SLA,cm2/g,Bundeena Road Royal NP_3
Corymbia gummifera,48.3,water content leaf,%,Bundeena Road Royal NP_3
Corymbia gummifera,0.35,lamina thickness ,mm,Bundeena Road Royal NP_3
Corymbia gummifera,0.93,force of fracture,N,Bundeena Road Royal NP_3
Corymbia gummifera,2630,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Corymbia gummifera,48,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Corymbia gummifera,0.9,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Corymbia gummifera,56.49,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Eucalyptus haemastoma,2488,area leaf,mm2,Bundeena Road Royal NP_3
Eucalyptus haemastoma,42.4,SLA,cm2/g,Bundeena Road Royal NP_3
Eucalyptus haemastoma,50.1,water content leaf,%,Bundeena Road Royal NP_3
Eucalyptus haemastoma,0.4,lamina thickness ,mm,Bundeena Road Royal NP_3
Eucalyptus haemastoma,0.95,force of fracture,N,Bundeena Road Royal NP_3
Eucalyptus haemastoma,2177,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Eucalyptus haemastoma,50.6,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Eucalyptus haemastoma,0.69,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Eucalyptus haemastoma,74.39,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Grevillea sphacelata,42,area leaf,mm2,Bundeena Road Royal NP_3
Grevillea sphacelata,60.6,SLA,cm2/g,Bundeena Road Royal NP_3
Grevillea sphacelata,46.3,water content leaf,%,Bundeena Road Royal NP_3
Grevillea sphacelata,0.4,lamina thickness ,mm,Bundeena Road Royal NP_3
Grevillea sphacelata,0.7,force of fracture,N,Bundeena Road Royal NP_3
Grevillea sphacelata,1698,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Grevillea sphacelata,48.7,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Grevillea sphacelata,0.77,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Grevillea sphacelata,65.65,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Hakea teretifolia,83.6,area leaf,mm2,Bundeena Road Royal NP_3
Hakea teretifolia,18.1,SLA,cm2/g,Bundeena Road Royal NP_3
Hakea teretifolia,57.3,water content leaf,%,Bundeena Road Royal NP_3
Hakea teretifolia,2.08,lamina thickness ,mm,Bundeena Road Royal NP_3
Hakea teretifolia,2.38,force of fracture,N,Bundeena Road Royal NP_3
Hakea teretifolia,1143,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Hakea teretifolia,48.8,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Hakea teretifolia,0.6,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Hakea teretifolia,87.43,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Hemigenia purpurea,7.76,area leaf,mm2,Bundeena Road Royal NP_3
Hemigenia purpurea,70.5,SLA,cm2/g,Bundeena Road Royal NP_3
Hemigenia purpurea,56.9,water content leaf,%,Bundeena Road Royal NP_3
Hemigenia purpurea,0.8,lamina thickness ,mm,Bundeena Road Royal NP_3
Hemigenia purpurea,0.1,force of fracture,N,Bundeena Road Royal NP_3
Hemigenia purpurea,125,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Hemigenia purpurea,52.1,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Hemigenia purpurea,0.79,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Hemigenia purpurea,67.05,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Leptospermum trinervium,20.6,area leaf,mm2,Bundeena Road Royal NP_3
Leptospermum trinervium,62.6,SLA,cm2/g,Bundeena Road Royal NP_3
Leptospermum trinervium,49.1,water content leaf,%,Bundeena Road Royal NP_3
Leptospermum trinervium,0.4,lamina thickness ,mm,Bundeena Road Royal NP_3
Leptospermum trinervium,0.4,force of fracture,N,Bundeena Road Royal NP_3
Leptospermum trinervium,1099,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Leptospermum trinervium,48.8,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Leptospermum trinervium,0.9,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Leptospermum trinervium,55.49,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Leucopogon microphyllus,2.7,area leaf,mm2,Bundeena Road Royal NP_3
Leucopogon microphyllus,76.8,SLA,cm2/g,Bundeena Road Royal NP_3
Leucopogon microphyllus,37.1,water content leaf,%,Bundeena Road Royal NP_3
Leucopogon microphyllus,0.37,lamina thickness ,mm,Bundeena Road Royal NP_3
Leucopogon microphyllus,0.4,force of fracture,N,Bundeena Road Royal NP_3
Leucopogon microphyllus,1099,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Leucopogon microphyllus,50.7,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Leucopogon microphyllus,0.72,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Leucopogon microphyllus,71.32,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Patersonia glabrata,1126,area leaf,mm2,Bundeena Road Royal NP_3
Patersonia glabrata,40,SLA,cm2/g,Bundeena Road Royal NP_3
Patersonia glabrata,44.5,water content leaf,%,Bundeena Road Royal NP_3
Patersonia glabrata,0.69,lamina thickness ,mm,Bundeena Road Royal NP_3
Patersonia glabrata,2,force of fracture,N,Bundeena Road Royal NP_3
Patersonia glabrata,3554,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Patersonia glabrata,47.5,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Patersonia glabrata,0.77,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Patersonia glabrata,63.48,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Persoonia lanceolata,516,area leaf,mm2,Bundeena Road Royal NP_3
Persoonia lanceolata,45.8,SLA,cm2/g,Bundeena Road Royal NP_3
Persoonia lanceolata,58.8,water content leaf,%,Bundeena Road Royal NP_3
Persoonia lanceolata,0.6,lamina thickness ,mm,Bundeena Road Royal NP_3
Persoonia lanceolata,0.85,force of fracture,N,Bundeena Road Royal NP_3
Persoonia lanceolata,1490,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Persoonia lanceolata,48.1,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Persoonia lanceolata,0.6,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Persoonia lanceolata,87.72,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Platysace linearifolia,9.5,area leaf,mm2,Bundeena Road Royal NP_3
Platysace linearifolia,57.3,SLA,cm2/g,Bundeena Road Royal NP_3
Platysace linearifolia,53.4,water content leaf,%,Bundeena Road Royal NP_3
Platysace linearifolia,0.6,lamina thickness ,mm,Bundeena Road Royal NP_3
Platysace linearifolia,0.1,force of fracture,N,Bundeena Road Royal NP_3
Platysace linearifolia,164,toughness leaf,Nm-1,Bundeena Road Royal NP_3
Platysace linearifolia,51.5,carbon content leaf,% dry weight,Bundeena Road Royal NP_3
Platysace linearifolia,1.18,nitrogen content leaf,% dry weight,Bundeena Road Royal NP_3
Platysace linearifolia,47.04,C:N ratio leaf,ratio,Bundeena Road Royal NP_3
Acacia suaveolens,335,area leaf,mm2,Challenger Track KCNP_3
Acacia suaveolens,42.4,SLA,cm2/g,Challenger Track KCNP_3
Acacia suaveolens,43,water content leaf,%,Challenger Track KCNP_3
Acacia suaveolens,0.6,lamina thickness ,mm,Challenger Track KCNP_3
Acacia suaveolens,1.2,force of fracture,N,Challenger Track KCNP_3
Acacia suaveolens,1874,toughness leaf,Nm-1,Challenger Track KCNP_3
Acacia suaveolens,50.9,carbon content leaf,% dry weight,Challenger Track KCNP_3
Acacia suaveolens,0.9,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Acacia suaveolens,61.4,C:N ratio leaf,ratio,Challenger Track KCNP_3
Angophora hispida,2904,area leaf,mm2,Challenger Track KCNP_3
Angophora hispida,46,SLA,cm2/g,Challenger Track KCNP_3
Angophora hispida,42.4,water content leaf,%,Challenger Track KCNP_3
Angophora hispida,0.4,lamina thickness ,mm,Challenger Track KCNP_3
Angophora hispida,2,force of fracture,N,Challenger Track KCNP_3
Angophora hispida,4733,toughness leaf,Nm-1,Challenger Track KCNP_3
Angophora hispida,49.2,carbon content leaf,% dry weight,Challenger Track KCNP_3
Angophora hispida,0.7,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Angophora hispida,67.4,C:N ratio leaf,ratio,Challenger Track KCNP_3
Banksia serrata,2082,area leaf,mm2,Challenger Track KCNP_3
Banksia serrata,36.6,SLA,cm2/g,Challenger Track KCNP_3
Banksia serrata,46.5,water content leaf,%,Challenger Track KCNP_3
Banksia serrata,0.5,lamina thickness ,mm,Challenger Track KCNP_3
Banksia serrata,2.3,force of fracture,N,Challenger Track KCNP_3
Banksia serrata,4875,toughness leaf,Nm-1,Challenger Track KCNP_3
Banksia serrata,48.8,carbon content leaf,% dry weight,Challenger Track KCNP_3
Banksia serrata,0.6,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Banksia serrata,77.9,C:N ratio leaf,ratio,Challenger Track KCNP_3
Corymbia gummifera,2270,area leaf,mm2,Challenger Track KCNP_3
Corymbia gummifera,42.2,SLA,cm2/g,Challenger Track KCNP_3
Corymbia gummifera,45.2,water content leaf,%,Challenger Track KCNP_3
Corymbia gummifera,0.38,lamina thickness ,mm,Challenger Track KCNP_3
Corymbia gummifera,1.2,force of fracture,N,Challenger Track KCNP_3
Corymbia gummifera,3158,toughness leaf,Nm-1,Challenger Track KCNP_3
Corymbia gummifera,48.4,carbon content leaf,% dry weight,Challenger Track KCNP_3
Corymbia gummifera,0.68,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Corymbia gummifera,71.5,C:N ratio leaf,ratio,Challenger Track KCNP_3
Eucalyptus haemastoma,2782,area leaf,mm2,Challenger Track KCNP_3
Eucalyptus haemastoma,29.4,SLA,cm2/g,Challenger Track KCNP_3
Eucalyptus haemastoma,43.6,water content leaf,%,Challenger Track KCNP_3
Eucalyptus haemastoma,0.6,lamina thickness ,mm,Challenger Track KCNP_3
Eucalyptus haemastoma,2.36,force of fracture,N,Challenger Track KCNP_3
Eucalyptus haemastoma,3942,toughness leaf,Nm-1,Challenger Track KCNP_3
Eucalyptus haemastoma,50.6,carbon content leaf,% dry weight,Challenger Track KCNP_3
Eucalyptus haemastoma,0.69,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Eucalyptus haemastoma,74.4,C:N ratio leaf,ratio,Challenger Track KCNP_3
Grevillea buxifolia,58.5,area leaf,mm2,Challenger Track KCNP_3
Grevillea buxifolia,67.3,SLA,cm2/g,Challenger Track KCNP_3
Grevillea buxifolia,53.1,water content leaf,%,Challenger Track KCNP_3
Grevillea buxifolia,0.37,lamina thickness ,mm,Challenger Track KCNP_3
Grevillea buxifolia,0.56,force of fracture,N,Challenger Track KCNP_3
Grevillea buxifolia,1525,toughness leaf,Nm-1,Challenger Track KCNP_3
Grevillea buxifolia,48.9,carbon content leaf,% dry weight,Challenger Track KCNP_3
Grevillea buxifolia,0.7,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Grevillea buxifolia,69.1,C:N ratio leaf,ratio,Challenger Track KCNP_3
Hakea teretifolia,76.5,area leaf,mm2,Challenger Track KCNP_3
Hakea teretifolia,24.1,SLA,cm2/g,Challenger Track KCNP_3
Hakea teretifolia,56,water content leaf,%,Challenger Track KCNP_3
Hakea teretifolia,1.9,lamina thickness ,mm,Challenger Track KCNP_3
Hakea teretifolia,3.2,force of fracture,N,Challenger Track KCNP_3
Hakea teretifolia,1705,toughness leaf,Nm-1,Challenger Track KCNP_3
Hakea teretifolia,49.9,carbon content leaf,% dry weight,Challenger Track KCNP_3
Hakea teretifolia,0.5,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Hakea teretifolia,104.4,C:N ratio leaf,ratio,Challenger Track KCNP_3
Hemigenia purpurea,8.2,area leaf,mm2,Challenger Track KCNP_3
Hemigenia purpurea,48.1,SLA,cm2/g,Challenger Track KCNP_3
Hemigenia purpurea,62.2,water content leaf,%,Challenger Track KCNP_3
Hemigenia purpurea,0.8,lamina thickness ,mm,Challenger Track KCNP_3
Hemigenia purpurea,0.08,force of fracture,N,Challenger Track KCNP_3
Hemigenia purpurea,101,toughness leaf,Nm-1,Challenger Track KCNP_3
Hemigenia purpurea,52.5,carbon content leaf,% dry weight,Challenger Track KCNP_3
Hemigenia purpurea,0.8,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Hemigenia purpurea,64.8,C:N ratio leaf,ratio,Challenger Track KCNP_3
Hibbertia monogyna,47.6,area leaf,mm2,Challenger Track KCNP_3
Hibbertia monogyna,73.6,SLA,cm2/g,Challenger Track KCNP_3
Hibbertia monogyna,60.1,water content leaf,%,Challenger Track KCNP_3
Hibbertia monogyna,0.36,lamina thickness ,mm,Challenger Track KCNP_3
Hibbertia monogyna,0.13,force of fracture,N,Challenger Track KCNP_3
Hibbertia monogyna,349,toughness leaf,Nm-1,Challenger Track KCNP_3
Hibbertia monogyna,45.3,carbon content leaf,% dry weight,Challenger Track KCNP_3
Hibbertia monogyna,1,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Hibbertia monogyna,46.7,C:N ratio leaf,ratio,Challenger Track KCNP_3
Leptospermum trinervium,34.9,area leaf,mm2,Challenger Track KCNP_3
Leptospermum trinervium,67.7,SLA,cm2/g,Challenger Track KCNP_3
Leptospermum trinervium,46.4,water content leaf,%,Challenger Track KCNP_3
Leptospermum trinervium,0.34,lamina thickness ,mm,Challenger Track KCNP_3
Leptospermum trinervium,0.49,force of fracture,N,Challenger Track KCNP_3
Leptospermum trinervium,1454,toughness leaf,Nm-1,Challenger Track KCNP_3
Leptospermum trinervium,49.2,carbon content leaf,% dry weight,Challenger Track KCNP_3
Leptospermum trinervium,0.7,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Leptospermum trinervium,67.7,C:N ratio leaf,ratio,Challenger Track KCNP_3
Leucopogon microphyllus,2.58,area leaf,mm2,Challenger Track KCNP_3
Leucopogon microphyllus,69.1,SLA,cm2/g,Challenger Track KCNP_3
Leucopogon microphyllus,45.7,water content leaf,%,Challenger Track KCNP_3
Leucopogon microphyllus,0.25,lamina thickness ,mm,Challenger Track KCNP_3
Leucopogon microphyllus,0.34,force of fracture,N,Challenger Track KCNP_3
Leucopogon microphyllus,1348,toughness leaf,Nm-1,Challenger Track KCNP_3
Leucopogon microphyllus,51.2,carbon content leaf,% dry weight,Challenger Track KCNP_3
Leucopogon microphyllus,0.7,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Leucopogon microphyllus,70.1,C:N ratio leaf,ratio,Challenger Track KCNP_3
Patersonia glabrata,591,area leaf,mm2,Challenger Track KCNP_3
