Family,Species,Growth Form,Leaf Type,Dispersal Mode,Seed Bank,Fire Response,Post-fire Recruitment,Site (original),Site,Fire intensity
Lauraceae,Cinnamomum oliveri,Tree,Coriaceous,Vertebrate,Soil,V,-,WPNP,Washpool National Park,High intensity fire
Rubiaceae,Coprosma quadrifida,Shrub,Sclerophyll,Vertebrate,Soil,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Lauraceae,Cryptocarya foveolata,Small Tree,Mesophyll,Vertebrate,Soil,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Lauraceae,Cryptocarya glaucescens,Small Tree,Mesophyll,Vertebrate,Soil,V,-,WPNP,Washpool National Park,High intensity fire
Lauraceae,Cryptocarya rigida,Small Tree,Mesophyll,Vertebrate,Soil,V,-,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Celastraceae,Denhamia celestroides,Small Tree,Coriaceous,Passive,Soil,V,-,WPNP,Washpool National Park,High intensity fire
Ebenaceae,Diospyros australis,Small Tree,Coriaceous,Vertebrate,Soil,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Saoindaceae,Dodonaea megazyga*,Small Tree,Mesophyll,Passive,Soil,II,+,WPNP,Washpool National Park,High intensity fire
Monimiaceae,Doryphora sassafras,Tree,Coriaceous,Passive,Dispersed,IV & V,-,WPNP,Washpool National Park,High intensity fire
Elaeocarpaceae,Elaeocarpus reticulatus,Small Tree,Coriaceous,Vertebrate,Soil,V,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Lauraceae,Endiandra muelleri,Tree,Mesophyll,Vertebrate,Soil,V,-,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Eupomatiaceae,Eupomatia laurina,Shrub,Mesophyll,Vertebrate,Dispersed,IV & V,-,WPNP,Washpool National Park,High intensity fire
Fabaceae,Goodia lotifolia,Shrub,Mesophyll,Invertebrate,Soil,IV & V,+,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Proteaceae,Hakea eriantha,Shrub,Sclerophyll,Wind,Canopy,V,+,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Monimiaceae,Hedycarya angustifolia,Small Tree,Mesophyll,Vertebrate,Dispersed,V,-,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Fabaceae,Indigofera australis,Shrub,Mesophyll,Invertebrate,Soil,IV & V,-,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Epacridaceae,Leucopogon hookeri,Shrub,Sclerophyll,Vertebrate,Soil,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Epacridaceae,Leucopogon lanceolatus subsp. lanceolatus,Shrub,Sclerophyll,Vertebrate,Soil,V,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Proteaceae,Lomatia silaifolia,Shrub,Sclerophyll,Wind,Canopy,IV & V,+,WPNP,Washpool National Park,High intensity fire
Myrtaceae,Lophostemon confertus,Tree,Sclerophyll,Passive,Canopy,V,-,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Rutaceae,Melicope micrococca,Shrub,Mesophyll,Vertebrate,Soil,IV & V,+,WPNP,Washpool National Park,High intensity fire
Oleaceae,Notelaea sp. A,Small Tree,Coriaceous,Vertebrate,Soil,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Asteraceae,Olearia alpicola,Shrub,Coriaceous,Wind,Dispersed,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Asteraceae,Olearia covenyi,Shrub,Coriaceous,Wind,Dispersed,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Asteraceae,Olearia oppositifolia,Shrub,Coriaceous,Wind,Dispersed,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Euphorbiaceae,Omalanthus nitens*,Small Tree,Mesophyll,Vertebrate,Soil,II,-,WPNP,Washpool National Park,High intensity fire
Proteaceae,Orites excelsa,Tree,Sclerophyll,Wind,Dispersed,II,-,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Asteraceae,Ozothamnus diosmifolius,Shrub,Mesophyll,Passive,Dispersed,IV,-,WPNP,Washpool National Park,High intensity fire
Proteaceae,Persoonia conjuncta,Shrub,Sclerophyll,Vertebrate,Soil,II,+,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Proteaceae,Persoonia linearis,Shrub,Sclerophyll,Vertebrate,Soil,V,+,MGNP,Mummel Gulf National Park,Low intensity fire
Proteaceae,Persoonia media,Shrub,Sclerophyll,Vertebrate,Soil,II,+,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Proteaceae,Persoonia rufa,Shrub,Sclerophyll,Vertebrate,Soil,II,+,WPNP,Washpool National Park,High intensity fire
Thymeliaceae,Pimelea ligustrina subsp. ligustrina,Shrub,Mesophyll,Passive,Soil,II,+,"MGNP, WPNP","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Thymeliaceae,Pimelea neo-anglica,Shrub,Sclerophyll,Passive,Soil,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Pittosporaceae,Pittosporum undulatum,Small Tree,Mesophyll,Vertebrate,Soil,IV & V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Fabaceae,Podolobium ilicifolium,Shrub,Sclerophyll,Invertebrate,Soil,IV & V,+,MGNP,Mummel Gulf National Park,Low intensity fire
Araliaceae,Polyscias sambucifolia subsp. A,Tree,Mesophyll,Vertebrate,Soil,IV,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Fabaceae,Pultenaea sp. B,Shrub,Sclerophyll,Invertebrate,Soil,II,+,WPNP,Washpool National Park,High intensity fire
Rubiaceae,Psychotria loniceroides,Shrub,Mesophyll,Vertebrate,Soil,IV & V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Myrsinaceae,Rapanea howittiana,Small Tree,Coriaceous,Vertebrate,Soil,V,-,WPNP,Washpool National Park,High intensity fire
Myrsinaceae,Rapanea variabilis,Small Tree,Coriaceous,Vertebrate,Soil,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Myrtaceae,Rhodamnia rubescens*,Shrub,Mesophyll,Vertebrate,Soil,IV & V,-,WPNP,Washpool National Park,High intensity fire
Cunoniaceae,Schizomeria ovata,Shrub,Mesophyll,Vertebrate,Soil,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Solanaceae,Solanum densevestitum,Shrub,Mesophyll,Vertebrate,Soil,IV & V,-,WPNP,Washpool National Park,High intensity fire
Meliaceae,Synoum glandulosum,Small Tree,Mesophyll,Vertebrate,Dispersed,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Winteraceae,Tasmannia insipida,Shrub,Mesophyll,Vertebrate,Soil,V,-,WPNP,Washpool National Park,High intensity fire
Winteraceae,Tasmannia stipitata,Shrub,Mesophyll,Vertebrate,Soil,IV & V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Epacridaceae,Trochocarpa laurina,Small Tree,Sclerophyll,Vertebrate,Soil,V,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Epacridaceae,Trochocarpa sp. A,Shrub,Sclerophyll,Vertebrate,Soil,V,-,MGNP,Mummel Gulf National Park,Low intensity fire
Rutaceae,Zieria arborescens,Small Tree,Mesophyll,Invertebrate,Soil,II,+,WPNP,Washpool National Park,High intensity fire
Rutaceae,Zieria smithii subsp. smithii,Shrub,Mesophyll,Invertebrate,Soil,II,+,WPNP,Washpool National Park,High intensity fire
