site,latitude,longitude,vegetation,MAP (mm),date,name_original,name_edited,rep,delta_13C,notes,photosynthetic_pathway
Idalia,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca HOst,Atalaya hemiglauca,3,-24.9,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca Host,Atalaya hemiglauca,3,-25,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Atriplex lindegi ,Atriplex lindegi ,1,-14.9,,CAM
Idalia,-24.08,145,Tropical woodland,450,1992,Atriplex lindegi ,Atriplex lindegi ,2,-15,,
Idalia,-24.08,145,Tropical woodland,450,1992,Atriplex lindegi ,Atriplex lindegi ,3,-15,,
Idalia,-24.08,145,Tropical woodland,450,1992,Caparis lavintha,Capparis lasiantha,1,-26.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Caparis lavintha,Capparis lasiantha,2,-26.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Caparis lavintha,Capparis lasiantha,3,-26.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Caparis mitchelli,Capparis mitchellii,1,-24.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Caparis mitchelli,Capparis mitchellii,2,-24.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Caparis mitchelli,Capparis mitchellii,3,-24.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,Carissa ovata,Carissa ovata,1,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Carissa ovata,Carissa ovata,2,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Carissa ovata,Carissa ovata,3,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia artemisioides,Cassia artemisioides,1,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia artemisioides,Cassia artemisioides,2,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia artemisioides,Cassia artemisioides,3,-25.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. nemophylla,Cassia nemophylla var. nemophylla,1,-25.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. nemophylla,Cassia nemophylla var. nemophylla,2,-25.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. nemophylla,Cassia nemophylla var. nemophylla,3,-25.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. zygophylla,Cassia nemophylla var. zygophylla,1,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. zygophylla,Cassia nemophylla var. zygophylla,2,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. zygophylla,Cassia nemophylla var. zygophylla,3,-25.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia oligophylla,Cassia oligophylla,1,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia oligophylla,Cassia oligophylla,2,-25.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia oligophylla,Cassia oligophylla,3,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia phylodinia,Cassia phylodinia,1,-26.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia phylodinia,Cassia phylodinia,2,-26.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Cassia phylodinia,Cassia phylodinia,3,-26.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Enchylaena tormentosa,Enchylaena tomentosa,1,-24.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Enchylaena tormentosa,Enchylaena tomentosa,2,-25,,
Idalia,-24.08,145,Tropical woodland,450,1992,Enchylaena tormentosa,Enchylaena tomentosa,3,-24.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Mioporum desertii,Eremophila deserti,1,-25,,
Idalia,-24.08,145,Tropical woodland,450,1992,Mioporum desertii,Eremophila deserti,2,-25,,
Idalia,-24.08,145,Tropical woodland,450,1992,Mioporum desertii,Eremophila deserti,3,-25,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla maculosa,Eremophila maculata,1,-23.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla maculosa,Eremophila maculata,2,-23.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla maculosa,Eremophila maculata,3,-23.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla oppositifolia,Eremophila oppositifolia,1,-26.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla oppositifolia,Eremophila oppositifolia,2,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla oppositifolia,Eremophila oppositifolia,3,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla sp.1,Erimophylla sp.1,1,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla sp.1,Erimophylla sp.1,2,-25.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla sp.1,Erimophylla sp.1,3,-25.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla sp.2,Erimophylla sp.2,1,-24.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla sp.2,Erimophylla sp.2,2,-24.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Erimophylla sp.2,Erimophylla sp.2,3,-24.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,Eucalyptus brownii,Eucalyptus brownii,1,-24.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Eucalyptus brownii,Eucalyptus brownii,2,-24.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,Eucalyptus brownii,Eucalyptus brownii,3,-24.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.cambadei,Eucalyptus cambageana,1,-23.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.cambadei,Eucalyptus cambageana,2,-23.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.cambadei,Eucalyptus cambageana,3,-23.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.meliodora,Eucalyptus melanophloia,1,-24.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.meliodora,Eucalyptus melanophloia,2,-24.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.meliodora,Eucalyptus melanophloia,3,-24.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,E. popunea,Eucalyptus populnea,1,-24.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,E. popunea,Eucalyptus populnea,2,-24.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,E. popunea,Eucalyptus populnea,3,-24.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.rosettiana,Eucalyptus thozetiana,1,-23.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.rosettiana,Eucalyptus thozetiana,2,-23.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,E.rosettiana,Eucalyptus thozetiana,3,-23.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Flindersia maculosa,Flindersia maculosa,1,-25.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Flindersia maculosa,Flindersia maculosa,2,-25.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Flindersia maculosa,Flindersia maculosa,3,-25.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Geijera hardiflora,Geijera parviflora,1,-26.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,Geijera hardiflora,Geijera parviflora,2,-26.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Geijera hardiflora,Geijera parviflora,3,-26.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Grevillea striata,Grevillea striata,1,-25.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,Grevillea striata,Grevillea striata,2,-25.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Grevillea striata,Grevillea striata,3,-25.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,L. exo,Lysiana exocarpi,1,-27.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,Liseana exo,Lysiana exocarpi,1,-27.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exo,Lysiana exocarpi,1,-27.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exocarpei,Lysiana exocarpi,1,-26.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exocarpi Mistletoe,Lysiana exocarpi,1,-27.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,L. exo,Lysiana exocarpi,2,-28,,
Idalia,-24.08,145,Tropical woodland,450,1992,Liseana exo,Lysiana exocarpi,2,-27.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exo,Lysiana exocarpi,2,-27.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exocarpei,Lysiana exocarpi,2,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exocarpi Mistletoe,Lysiana exocarpi,2,-27.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,L. exo,Lysiana exocarpi,3,-28.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Liseana exo,Lysiana exocarpi,3,-27,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exo,Lysiana exocarpi,3,-27.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exocarpei,Lysiana exocarpi,3,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Litseana exocarpi Mistletoe,Lysiana exocarpi,3,-27.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Host Litophyllum gilva,Lysiphyllum gilvum,1,-24.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Lysiphyllum gilva,Lysiphyllum gilvum,1,-26,,
Idalia,-24.08,145,Tropical woodland,450,1992,Host Litophyllum gilva,Lysiphyllum gilvum,2,-24.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Lysiphyllum gilva,Lysiphyllum gilvum,2,-26.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Host Litophyllum gilva,Lysiphyllum gilvum,3,-24.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Lysiphyllum gilva,Lysiphyllum gilvum,3,-26.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,M. geogii,Maireana georgei,1,-24.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,M. geogii,Maireana georgei,2,-24.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,M. geogii,Maireana georgei,3,-24.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Marin tomentosa,Maireana tomentosa,1,-23.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Marin tomentosa,Maireana tomentosa,2,-23.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Marin tomentosa,Maireana tomentosa,3,-23.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Neobasia proseriflora,Neobasia proseriflora,1,-22.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,Neobasia proseriflora,Neobasia proseriflora,2,-22.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Neobasia proseriflora,Neobasia proseriflora,3,-22.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Owenia acidula,Owenia acidula,1,-27.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Owenia acidula,Owenia acidula,2,-27.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Owenia acidula,Owenia acidula,3,-27.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Parsonsia,Parsonsia sp.,1,-26,,
Idalia,-24.08,145,Tropical woodland,450,1992,Parsonsia,Parsonsia sp.,2,-26.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Parsonsia,Parsonsia sp.,3,-26,,
Idalia,-24.08,145,Tropical woodland,450,1992,Phabalium glandulosus,Phebalium glandulosum,1,-27.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Phabalium glandulosus,Phebalium glandulosum,2,-26.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Phabalium glandulosus,Phebalium glandulosum,3,-27.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Pterocaulon sphacelatun,Pterocaulon sphacelatum,1,-25.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Pterocaulon sphacelatun,Pterocaulon sphacelatum,2,-25.2,,
Idalia,-24.08,145,Tropical woodland,450,1992,Pterocaulon sphacelatun,Pterocaulon sphacelatum,3,-25,,
Idalia,-24.08,145,Tropical woodland,450,1992,Santalum lanceolatum,Santalum lanceolatum,1,-26.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Santalum lanceolatum,Santalum lanceolatum,2,-26.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Santalum lanceolatum,Santalum lanceolatum,3,-26.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Solanum quadriloculatum,Solanum quadriloculatum,1,-27,,
Idalia,-24.08,145,Tropical woodland,450,1992,Solanum quadriloculatum,Solanum quadriloculatum,2,-27,,
Idalia,-24.08,145,Tropical woodland,450,1992,Solanum quadriloculatum,Solanum quadriloculatum,3,-27,,
