Date,DEPLOYED,Collected,Total hours,Location,Location_raw,Sightings,sightings_edited,length_of_visit (seconds),behavioural_notes,time_of_day,time_of_day (end)
19.09.28,11:02,12:03,1:01,Nursery,Translocation Nursey,Caterpillar on flower,Caterpillar ,4800,on flower,11:21,
19.09.28,11:02,12:03,1:01,Nursery,Translocation Nursey,Small ants,ants_small,,,,
19.09.28,11:02,12:03,1:01,Nursery,Translocation Nursey,Red mite,mite,,,,
19.09.28,11:02,12:03,1:01,Nursery,Translocation Nursey,Tiny black bug,bug,,,,
19.11.03,7:45,9:01,1:56,Cheltenham,Cheltenham,None,None,,,,
19.10.31,9:25,10:45,1:02,Cheltenham,Cheltenham,,,,,,
19.10.31,9:25,10:48,1:23,Cheltenham,Cheltenham,Moving grass triggered. None,None,,,,
19.09.04,10:49,11:03,0:14,Nursery,Nursery- translocation planting,Wasp (flies around but never lands on flower),Wasp,,flies around but never lands on flower,,
19.09.04,10:49,11:03,0:14,Nursery,Nursery- translocation planting,Skink (never visits flower),Skink,,never visits flower,,
19.09.04,10:49,11:03,0:14,Nursery,Nursery- translocation planting,Hoverfly visits flower,Hoverfly,,floral visitor,11:14,
19.09.04,10:49,11:03,0:14,Nursery,Nursery- translocation planting,Hoverfly visits flower,Hoverfly,,floral visitor,11:15,
19.09.04,11:04,11:49,0:45,Nursery,Translocation Nursey,None,None,,,,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Lasioglossum,Lasioglossum,,,8:01,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Lasioglossum,Lasioglossum,,,8:25,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Lasioglossum,Lasioglossum,,,8:28,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Lasioglossum,Lasioglossum,,,8:04,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Lasioglossum,Lasioglossum,,,8:45,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Cockroach/cricket,Cockroach,,,,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Cockroach/cricket,cricket,,,,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Green bug,Green bug,,,,
19.11.08,7:57,9:01,1:04,Turramurra,Auluba,Lasioglossum,Lasioglossum,,,9:18,
