species,seed mass (mg)
Parsonsia straminea,10.3437
Banksia marginata,10.5027
Acacia cf irrorata,10.8194
Sarcopetalum harveyanum,10.8845
Crowea saligna,11.0138
Lomandra longifolia,11.33
Banksia spinulosa,11.3454
Passiflora edulis,11.5024
Cassytha pubescens,11.5252
Eriostemon buxifolius,11.5337
Xanthorrhoea resinosa,11.5468
Psychotria loniceroides,11.994
Acmena smithii,12.035
Cayratia clematidea,12.3099
Angophora floribunda,12.7302
Backhousia myrtifolia,13.0056
Lomandra cylindrica,13.054
Acacia ulicifolia,13.3361
Correa reflexa,13.3511
Maytenus silvestris,13.8924
Lomatia silaifolia,14.037
Hakea teretifolia,14.446
Lomandra gracilis,14.621
Caustis pentandra,15.127
Angophora costata,15.134
Xanthorrhoea arborea,15.3062
Bossiaea heterophylla,15.4611
Glochidion ferdinandi,15.751
Gahnia erythrocarpa,16.65
Ceratopetalum apetalum,17.0914
Pittosporum revolutum,17.1105
Bossiaea ensata,17.1686
Lomandra confertifolia,17.488
Ceratopetalum gummiferum,17.5126
Stephania japonica,18.581
Hovea linearis,18.8748
Banksia oblongifolia,19.9224
Hakea dactyloides,20.023
Styphelia tubiflora,20.2
Eriostemon australasius,20.2438
Scaevola ramosissima,21.0828
Ligustrum lucidum,21.3788
Grevillea sericea,21.7139
Ligustrum sinense,22.4772
Lantana camara,23.0012
Clerodendrum tomentosum,23.369
Eustrephus latifolius,24.6859
Lambertia formosa,25.085
Grevillea oleoides,26.4
Banksia ericifolia,26.7442
Rapanea variabilis,27.208
Guoia semiglauca,27.223
Grevillea speciosa,27.396
Gahnia aspera,27.614
Hakea sericea,28.0574
Trochocarpa laurina,28.2232
Acacia suaveolens,28.485
Angophora hispida,28.4998
Grevillea sphacelata,28.99
Smilax australis,29.809
Smilax glyciphylla,36.8968
Cissus hypoglauca,38.058
Doryanthes excelsa,43.079
Ricinocarpos pinifolius,48.245
Anisopogon avenaceus,54.367
Hakea gibbosa,59.28
Grevillea buxifolia,59.434
Banksia serrata,62.034
Telopea speciosissima,64.8978
Ochna serrulata,83.7595
Persoonia lanceolata,102.328
Notelaea venosa,130.839
Olea africana,162.798
Persoonia laurina,165.45
Wilkiea heugliana,169.46
Persoonia pinifolia,174.4166
Persoonia linearis,179.32
Schizomeria ovata,201.648
Persoonia levis,225.925
Synoum glandulosum,226.9165
Gymnostachys anceps,228.6
Diospyros australis,242.304
Brachychiton sp.,315.39
Cryptocarya glaucescens,323.99
Cryptocarya microneura,442.22
Elaeodendron australe,462.915
Livistona australis,841.29
Macrozamia communis,7473.87
