genus,species,binomial,growth form ,min height (m) ,max height (m) ,extreme max height (m) ,extreme min leaf length (mm) ,min leaf length (mm) ,max leaf length (mm) ,extreme max leaf length (mm) ,extreme min leaf width (mm) ,min leaf width (mm) ,max leaf width (mm) ,extreme max leaf width (mm) ,seed shape,seed length min (mm) ,seed length max (mm) ,seed width min (mm) ,seed width max (mm) ,seed breadth min (mm) ,seed breadth max (mm) ,leaf type ,leaf shape 
Eremophila,spinescens,Eremophila spinescens,shrub,0.3,0.5,,2.5,5,19,27,,0.5,2.6,4,ovoid,2,2.5,1,1,1,1,simple,elliptic
Eremophila,cryptothrix,Eremophila cryptothrix,shrub,1,2.5,,15,17.5,33,45,,1.5,2.5,,ovoid,2,2.7,0.8,1,0.8,1,simple,elliptic
Eremophila,pungens,Eremophila pungens,shrub,1,1.5,,,6,16,,,7,12,,ovoid,2,3,1,1,1,1,simple,elliptic
Eremophila,flaccida,Eremophila flaccida,shrub,,1,,,30,95,,,4,30,,ovoid,2.4,3,1,1,1,1,simple,elliptic
Eremophila,prostrata,Eremophila prostrata,shrub,,,,,24,42,54,,3.5,6.5,9,ovoid,2.5,3,0.9,1,0.9,1,simple,elliptic
Eremophila,calorhabdos,Eremophila calorhabdos,shrub,1,2.5,4,9,13,24,26,3.5,5,12,16,ovoid,2.7,3,0.8,1,0.8,1,simple,elliptic
Eremophila,youngii,Eremophila youngii,shrub,,4,,15,24,45,48,,2.1,5.3,7.2,ovoid,2.5,3.2,1,1,1,1,simple,elliptic
Eremophila,deserti,Eremophila deserti,shrub,0.5,2.5,5,18,25,50,76,1,3,6,8.5,oblong,3,3.2,1,1,1,1,simple,elliptic
Eremophila,gilesii,Eremophila gilesii,shrub,0.15,0.8,1.5,,12,91,,,0.5,5.6,,ovoid,2,3.5,0.8,1,0.8,1,simple,elliptic
Eremophila,latrobei,Eremophila latrobei,shrub,0.5,4,,4,9,50,90,0.7,1,3.5,5,ovoid,3,3.5,1,1,1,1,simple,elliptic
Eremophila,campanulata,Eremophila campanulata,shrub,0.25,0.47,,,3,10,15,,1,2,,ovoid,3,3.5,1,1,1,1,simple,elliptic
Eremophila,subfloccosa,Eremophila subfloccosa,shrub,0.3,1,,10,15,37,53,3,5.5,11,18,ovoid,3,3.5,0.9,1,0.9,1,simple,elliptic
Eremophila,fallax,Eremophila fallax,shrub,1,2,3,20,30,60,75,,3,6,9,oblong,3.5,3.5,1,1,1,1,simple,elliptic
Eremophila,linearis,Eremophila linearis,tree; shrub,1,4,,,16,23,27,,1.1,1.8,2.3,ovoid,4.5,5,1,1,1,1,simple,elliptic
Eremophila,viscida,Eremophila viscida,tree; shrub,,5,,36,45,90,95,8,10,21,23,ovoid,2.2,2.2,0.9,1,0.9,1,simple,elliptic
Eremophila,alternifolia,Eremophila alternifolia,shrub,1,3,,4,20,40,70,,1,3,5,ovoid,3,3,0.8,1,0.8,1,simple,elliptic
Eremophila,gracillima,Eremophila gracillima,shrub,0.2,0.3,0.5,6,10,28,34,,0.5,0.9,,ovoid,1.8,2,1,1.1,1,1.1,simple,elliptic
Myoporum,betcheanum,Myoporum betcheanum,tree; shrub,2,8,,42,58,130,165,,6,19,,oblong,1.8,2.2,1,1.1,1,1.1,simple,elliptic
Eremophila,oldfieldii,Eremophila oldfieldii,shrub,,2.5,6,,30,110,,,1.1,9.5,,ovoid,2.3,2.5,1,1.1,1,1.1,simple,elliptic
Eremophila,debilis,Eremophila debilis,shrub,0.3,2,3,22,32,85,125,3.5,8,20,29,ovoid,3,3.5,1,1.1,1,1.1,simple,elliptic
Eremophila,enata,Eremophila enata,shrub,0.25,0.3,,7,9,20,26,3,3.5,9,11,ovoid,2.5,2.7,0.7,1.2,0.7,1.2,simple,elliptic
Eremophila,rigens,Eremophila rigens,shrub,1.5,3.5,,,51,79,94,,3,5,,ovoid,2.5,3,1,1.2,1,1.2,simple,elliptic
Eremophila,rigida,Eremophila rigida,shrub,0.5,1.2,,7.5,9,13.5,15.5,,8,16.5,,ovoid,3,3.2,1,1.2,1,1.2,simple,elliptic
Eremophila,alatisepala,Eremophila alatisepala,shrub,1,2,3.5,37,40,47,80,1.2,1.7,5,9,ovoid,2.2,3.4,0.8,1.2,0.8,1.2,simple,elliptic
Eremophila,undulata,Eremophila undulata,shrub,,0.5,,16,22,30,33,5,6,10,,oblong,3.5,3.6,1,1.2,1,1.2,simple,elliptic
Eremophila,longifolia,Eremophila longifolia,shrub,1,3,,30,50,160,200,,3,8,14,ovoid,3,4,1,1.2,1,1.2,simple,elliptic
Eremophila,santalina,Eremophila santalina,tree; shrub,1,6,,33,42,95,,,3.5,12,,ovoid,3.5,4,1,1.2,1,1.2,simple,elliptic
Eremophila,laanii,Eremophila laanii,shrub,1,3,6,,26,40,48,,2,7,,ovoid,3.5,4,1.1,1.2,1.1,1.2,simple,elliptic
Eremophila,hillii,Eremophila hillii,shrub,,0.8,,5.5,8.5,18,20,3.6,4.5,10,,ovoid,3,4,1,1.3,1,1.3,simple,elliptic
Eremophila,tetraptera,Eremophila tetraptera,tree; shrub,1,3,,25,35,65,73,3,4,9,15,ovoid,3.5,4.1,1.2,1.3,1.2,1.3,simple,elliptic
Eremophila,prolata,Eremophila prolata,shrub,0.8,1.8,,15,20,40,,,1.6,3,4,ovoid,2.8,3,1.2,1.4,1.2,1.4,simple,elliptic
Eremophila,obovata,Eremophila obovata,shrub,0.2,0.5,0.8,,4,28,,,2,11,,ovoid,3,4,1,1.5,1,1.5,simple,elliptic
Eremophila,macdonnellii,Eremophila macdonnellii,shrub,0.3,1.2,,4,9,27,35,1,2,5.5,9,ovoid,3.5,4,1.2,1.5,1.2,1.5,simple,elliptic
Eremophila,maculata,Eremophila maculata,shrub,0.3,2.5,,3.8,6.5,37,45,0.5,1,11,18,ovoid,5,7,1.6,1.8,1.6,1.8,simple,elliptic
Myoporum,cordifolium,Myoporum cordifolium,shrub,0.4,1,1.5,,1.2,2.5,3.8,,1.2,2.5,3.7,ovoid,1.2,1.5,1,2.2,1,2.2,simple,elliptic
Eremophila,serpens,Eremophila serpens,shrub,,0.3,,,31,43,47,5,8.5,12,14,oblong,2.5,2.5,2,2.2,2,2.2,simple,elliptic
Eremophila,dendritica,Eremophila dendritica,shrub,0.32,0.5,,,4.5,8.5,11,,4,9,,ovoid,4.8,7,2.7,3.8,2.7,3.8,simple,elliptic
Eremophila,decussata,Eremophila decussata,shrub,,0.5,,,4.5,14,21,,2,5.5,7,ovoid,2,0.7,,,,,simple,elliptic
Eremophila,linsmithii,Eremophila linsmithii,shrub,0.5,2.5,,25,30,50,,0.5,1,3,5.5,oblong,2,2.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,caespitosa,Eremophila caespitosa,shrub,0.15,0.2,,4.8,6,14,19.5,,0.8,1.8,,ovoid,2,3,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,mitchellii,Eremophila mitchellii,tree; shrub,2,6,10,22.5,24,55,62,,2,5.5,7.5,ovoid,2.5,3,,,,,simple,elliptic
Eremophila,arachnoides,Eremophila arachnoides,shrub,,3.5,,14,20,32,,,0.7,1,,ovoid,2.5,3,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,gibsonii,Eremophila gibsonii,shrub,1,2.5,3.5,13.5,22.5,43,50,,0.8,2,,oblong,3,3,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,stenophylla,Eremophila stenophylla,tree; shrub,,6,,40,47,67,71,,0.6,1,,ovoid,3,3.5,,,,,simple,elliptic
Eremophila,racemosa,Eremophila racemosa,shrub,0.3,1.6,,13,18,43,50,2,2.4,6,8,ovoid,4,5,1.5,1.5,1.5,1.5,simple,elliptic
Eremophila,parviflora,Eremophila parviflora,shrub,0.2,1.2,,,1,5,9,,0.7,1.5,6,ovoid,1.5,1.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,clavata,Eremophila clavata,shrub,0.15,0.5,,4.5,5,10.5,15.5,,0.9,1.6,,ovoid,1.5,1.5,0.6,0.6,0.6,0.6,simple,elliptic
Eremophila,adenotricha,Eremophila adenotricha,shrub,0.5,1.4,,17,20,30,40,,1.3,2.5,,ovoid,1.5,1.5,0.5,0.5,0.5,0.5,simple,elliptic
Eremophila,scaberula,Eremophila scaberula,shrub,0.25,0.75,,2.5,4,6,7.5,,0.6,1,,ovoid,1.5,1.5,1,1,1,1,simple,elliptic
Eremophila,arbuscula,Eremophila arbuscula,shrub,4,8,11,,23,80,128,2,2.5,6,,ovoid,1.5,1.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,ionantha,Eremophila ionantha,shrub,0.4,2.5,,4,9,30,,,0.8,1.3,,oblong,1.6,1.6,0.6,0.6,0.6,0.6,simple,elliptic
Eremophila,densifolia,Eremophila densifolia,shrub,0.2,0.35,0.8,3.5,6,18,24.5,0.7,0.9,2,2.7,ovoid,1.7,1.7,0.5,0.5,0.5,0.5,simple,elliptic
Eremophila,ternifolia,Eremophila ternifolia,shrub,0.3,0.5,,,6,11,,,2.5,4,,ovoid,2,2,0.5,0.5,0.5,0.5,simple,elliptic
Eremophila,veronica,Eremophila veronica,shrub,0.2,0.6,,,2.5,8,,,0.8,2,,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,freelingii,Eremophila freelingii,shrub,0.8,1.5,2,18,35,80,95,2.2,5,10,13,ovoid,2,2,0.7,0.7,0.7,0.7,simple,elliptic
Eremophila,clarkei,Eremophila clarkei,shrub,1,4,,12,16,45,64.5,2.2,3,6.5,8.2,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,punctata,Eremophila punctata,shrub,0.5,2.2,,5,9,16,26,,1.5,3.5,,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,annosocaule,Eremophila annosocaule,shrub,,0.8,,,5,11,,,0.7,1,,ovoid,2,2,1,1,1,1,simple,elliptic
Eremophila,pantonii,Eremophila pantonii,shrub,0.7,3,,,5,27,,,1,3,4,ovoid,2,2,1,1,1,1,simple,elliptic
Eremophila,strongylophylla,Eremophila strongylophylla,shrub,0.4,0.6,,6.5,9,18,20,,6.5,13,16,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,retrophila,Eremophila retrophila,shrub,,1.8,,9.5,15,32,,2,3,4.5,,ovoid,2,2,1,1,1,1,simple,elliptic
Eremophila,subteretifolia,Eremophila subteretifolia,shrub,0.05,0.15,,9.5,12,19,25,0.7,0.9,1.3,1.8,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,gibbosa,Eremophila gibbosa,shrub,0.5,3.5,,12,15,35,45,4,7,18,22,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,incisa,Eremophila incisa,shrub,0.2,0.3,,5.5,7.3,12,15,,3.5,7,10,ovoid,2.2,2.2,1.1,1.1,1.1,1.1,simple,elliptic
Eremophila,glutinosa,Eremophila glutinosa,shrub,0.4,2,3,,8,20,35,,0.5,1.5,,ovoid,2.2,2.2,1,1,1,1,simple,elliptic
Eremophila,verrucosa,Eremophila verrucosa,shrub,1,2,,5,10,16,,,1.4,2.2,,ovoid,2.2,2.2,1,1,1,1,simple,elliptic
Eremophila,hygrophana,Eremophila hygrophana,shrub,0.3,1.2,,9,12,25,32,,2.5,5,8,ovoid,2.2,2.2,1,1,1,1,simple,elliptic
Eremophila,labrosa,Eremophila labrosa,shrub,0.4,1.2,1.8,,5,19,28.5,,0.8,2,,ovoid,2.5,2.5,0.7,0.7,0.7,0.7,simple,elliptic
Eremophila,pinnatifida,Eremophila pinnatifida,shrub,0.6,1,1.3,,5,9.5,,,2.5,4.5,,ovoid,2.5,2.5,0.7,0.7,0.7,0.7,simple,elliptic
Eremophila,accrescens,Eremophila accrescens,shrub,0.4,1,1.5,,10.5,28,30,3,3.5,7,8.5,ovoid,2.5,2.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,goodwinii,Eremophila goodwinii,shrub,,1,,22,28,58,68,,2,4,6.5,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,pendulina,Eremophila pendulina,shrub,,3,,5.5,9,24,31,,0.5,1.8,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,exilifolia,Eremophila exilifolia,shrub,0.3,1,2,,2.5,12,16,,0.6,1.5,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,battii,Eremophila battii,shrub,0.2,0.4,0.5,4,5,14,18.5,,1.2,3.5,4.5,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,magnifica,Eremophila magnifica,shrub,,1.3,,20,29,63,88,3.5,6,15,22,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,spongiocarpa,Eremophila spongiocarpa,shrub,0.5,1,,7,12,24,33,,1.8,4,5,oblong,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,reticulata,Eremophila reticulata,shrub,0.5,1.8,,5,6.5,12,15.5,4,5.5,10.5,13,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,scoparia,Eremophila scoparia,shrub,1,3,4,,4,24.5,30,,0.8,2.5,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,ovata,Eremophila ovata,shrub,0.25,1,,8,10,25,35,6,9,14,17,oblong,2.5,2.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,punicea,Eremophila punicea,shrub,0.3,0.6,,,4,8.5,,1.5,2,3.5,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,margarethae,Eremophila margarethae,shrub,0.25,0.9,1.5,8,12,42,62,1,2,5,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,cordatisepala,Eremophila cordatisepala,shrub,0.25,0.5,,5,7,18,25,1.5,2.5,5,7,ovoid,2.5,2.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,biserrata,Eremophila biserrata,shrub,,1,,14,18,24,28,3.5,5,11,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,virens,Eremophila virens,shrub,2,5,,38,45,70,140,13,15,30,66,ovoid,2.5,2.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,serrulata,Eremophila serrulata,shrub,1,2.5,,8,11,51,85,3,6,22,30,ovoid,2.5,2.5,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,abietina,Eremophila abietina,shrub,1,2,,,12,45,,,0.7,4.5,,ovoid,2.5,2.5,1,1,1,1,simple,elliptic
Eremophila,acrida,Eremophila acrida,shrub,0.4,0.6,1,23,30,50,82,3.5,5,11.5,14,ovoid,2.8,2.8,1,1,1,1,simple,elliptic
Eremophila,foliosissima,Eremophila foliosissima,shrub,0.25,0.5,0.9,28,40,88,,,1,2,,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,demissa,Eremophila demissa,shrub,0.25,0.4,,,5.5,13,,,2,4,,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,erioclayx,Eremophila erioclayx,shrub,0.7,2,3,10,15,32,41,,0.8,4,5.5,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,rostrata,Eremophila rostrata,shrub,,3.5,,,25,40,,,0.7,1,,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,glabra,Eremophila glabra,shrub,0.05,3,,,7.5,61,,,0.8,1.8,,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,fraseri,Eremophila fraseri,shrub,1,4,6,14,25,45,55,10,12,28,32,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,ramiflora,Eremophila ramiflora,shrub,1,3,,40,45,75,80,12,18,26,28,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,neglecta,Eremophila neglecta,shrub,1,2.5,,16,20,40,48,2.8,3.2,6.8,8,ovoid,3,3,1,1,1,1,simple,elliptic
Eremophila,spectabilis,Eremophila spectabilis,shrub,0.3,1,1.5,28,32,84,112,,1.5,4,6,ovoid,3.5,3.5,1,1,1,1,simple,elliptic
Eremophila,pentaptera,Eremophila pentaptera,shrub,,0.4,,,12,29.5,36,,3,7,10,ovoid,3.5,3.5,1,1,1,1,simple,elliptic
Eremophila,pterocarpa,Eremophila pterocarpa,shrub,0.6,2,5,11,14,40,45,,1,5.6,,ovoid,3.5,3.5,1.2,1.2,1.2,1.2,simple,elliptic
Eremophila,recurva,Eremophila recurva,shrub,0.5,1.8,,25,32,57,70,,3.5,7,,ovoid,4,4,1.5,1.5,1.5,1.5,simple,elliptic
Eremophila,duttonii,Eremophila duttonii,tree; shrub,1,3.5,,16,30,40,48,2.5,3,5,8,ovoid,4,4,1.5,1.5,1.5,1.5,simple,elliptic
Eremophila,maitlandii,Eremophila maitlandii,tree; shrub,1,4,,21,24,64,88,,2.5,6,7.5,ovoid,4.5,4.5,1,1,1,1,simple,elliptic
Myoporum,obscurum,Myoporum obscurum,tree; shrub,,6,,,69,135,150,18,25,40,45,,,,,,,,simple,elliptic
Myoporum,velutinum,Myoporum velutinum,shrub,1,1.3,,40,50,72,80,,6.8,16,22,,,,,,,,simple,elliptic
Myoporum,turbinatum,Myoporum turbinatum,shrub,,4,,10.5,15,50,80,,0.5,1,1.5,,,,,,,,simple,elliptic
Diocirea,acutifolia,Diocirea acutifolia,shrub,0.4,0.6,,6.3,6.6,9.5,10.5,,1,1.5,1.7,,,,,,,,simple,elliptic
Diocirea,microphylla,Diocirea microphylla,shrub,0.4,0.8,1,1.3,1.5,2,2.6,,0.7,1,1.3,,,,,,,,simple,elliptic
Diocirea,ternata,Diocirea ternata,shrub,0.4,0.8,,,2.9,4.5,5,1,1.2,2.1,2.4,,,,,,,,simple,elliptic
Diocirea,violacea,Diocirea violacea,shrub,0.25,5,,2.3,2.5,4.5,5,,0.7,1.6,,,,,,,,,simple,elliptic
Eremophila,compresa,Eremophila compresa,shrub,0.8,2,,6,8,16,21,,2,7,,,,,,,,,simple,elliptic
Eremophila,lactea,Eremophila lactea,shrub,1,3.5,,7,10,31.5,44,,2,6,11,,,,,,,,simple,elliptic
Eremophila,micrantha,Eremophila micrantha,shrub,1,3,,14,18,25,,,0.8,1.2,,,,,,,,,simple,elliptic
Eremophila,psilocalyx,Eremophila psilocalyx,shrub,0.5,2.5,,6.5,11.5,26,30,1.5,2,3.5,4,,,,,,,,simple,elliptic
Eremophila,succinea,Eremophila succinea,shrub,1,3,,13,15.5,31,33,,1,2,,,,,,,,,simple,elliptic
Eremophila,dempsteri,Eremophila dempsteri,shrub,1,4,,,2,7.5,11,,0.5,1.3,,,,,,,,,simple,elliptic
Eremophila,ciliata,Eremophila ciliata,shrub,1,1.5,,,5,12,20,,1.2,2.5,,,,,,,,,simple,elliptic
Eremophila,dichroantha,Eremophila dichroantha,shrub,0.5,3,,4,5.5,13,17,,0.8,1.2,,,,,,,,,simple,elliptic
Eremophila,interstans,Eremophila interstans,tree; shrub,1,6,,,2,21.5,,,0.5,1.2,,,,,,,,,simple,elliptic
Eremophila,falcata,Eremophila falcata,shrub,,2,,15,19,31,,,1,6.5,,,,,,,,,simple,elliptic
Eremophila,caperata,Eremophila caperata,shrub,1,3,5,14,16,31,34.5,,,1,2.5,,,,,,,,simple,elliptic
Eremophila,chamaephila,Eremophila chamaephila,shrub,0.15,0.3,,,2.5,7,10,,0.7,1.5,,,,,,,,,simple,elliptic
Eremophila,pergalndulosa,Eremophila pergalndulosa,shrub,,1,,,5,9.5,,,1.4,2,,,,,,,,,simple,elliptic
Eremophila,weldii,Eremophila weldii,shrub,0.15,1.8,,,2.5,10,12.5,,1.5,3.5,,,,,,,,,simple,elliptic
Eremophila,oblonga,Eremophila oblonga,shrub,0.15,0.25,3,,1.3,3.5,,,0.6,1.7,,,,,,,,,simple,elliptic
Eremophila,praecox,Eremophila praecox,shrub,0.3,1.5,,3.5,5,11,,,0.5,1.2,,,,,,,,,simple,elliptic
Eremophila,pustulata,Eremophila pustulata,shrub,0.5,1.5,,4,5.5,9,11.5,,1,3,,,,,,,,,simple,elliptic
Eremophila,homoplastica,Eremophila homoplastica,shrub,0.25,0.4,,,1.7,4.5,7,,1,1.5,2,,,,,,,,simple,elliptic
Eremophila,eversa,Eremophila eversa,shrub,,0.5,,,3.3,6.2,,,1.1,1.8,,,,,,,,,simple,elliptic
Eremophila,verticillata,Eremophila verticillata,shrub,0.4,1,1.4,,2.5,6,,,1,1,,,,,,,,,simple,elliptic
Eremophila,caerulea,Eremophila caerulea,shrub,0.3,0.6,,,4,10,13.5,,0.7,1.5,,,,,,,,,simple,elliptic
Eremophila,nivea,Eremophila nivea,shrub,0.8,1.6,,6,8,18,22,,1.5,2.5,3.5,,,,,,,,simple,elliptic
Eremophila,microtheca,Eremophila microtheca,shrub,,1.5,,4.5,6.5,16,22,,0.5,1,1.5,,,,,,,,simple,elliptic
Eremophila,phillipsii,Eremophila phillipsii,shrub,0.5,3.5,,,20,45,55,,0.8,2.5,,,,,,,,,simple,elliptic
Eremophila,complanata,Eremophila complanata,shrub,,2,,17,20,35,40,,1.6,3.4,,,,,,,,,simple,elliptic
Eremophila,papillata,Eremophila papillata,shrub,,0.8,,3,5,15,20,,0.9,1.5,2.2,,,,,,,,simple,elliptic
Eremophila,sargentii,Eremophila sargentii,shrub,0.9,2,,,2,6.5,,,0.5,1.5,,,,,,,,,simple,elliptic
Eremophila,vernicosa,Eremophila vernicosa,shrub,,1,,3,4,6,,,2,3.5,,,,,,,,,simple,elliptic
Eremophila,lehamnniana,Eremophila lehamnniana,shrub,0.5,1.5,2.5,3,4,10,15,,2,5,6.5,,,,,,,,simple,elliptic
Eremophila,occidens,Eremophila occidens,shrub,,1.5,,10.5,17,28,32,,3.5,6.5,8,,,,,,,,simple,elliptic
Eremophila,barbata,Eremophila barbata,shrub,,1,,,5,10,,,3,7.5,,,,,,,,,simple,elliptic
Eremophila,behriana,Eremophila behriana,shrub,0.1,0.25,0.6,,4.5,15.5,26,,3,7.5,10,,,,,,,,simple,elliptic
Eremophila,crassifolia,Eremophila crassifolia,shrub,0.2,1,,2.5,4,9,11,2,2.5,7,,,,,,,,,simple,elliptic
Eremophila,spuria,Eremophila spuria,shrub,,2,,18,21,48,60,0.7,1,2,3,,,,,,,,simple,elliptic
Eremophila,setacea,Eremophila setacea,shrub,0.5,1.5,,15.5,24,57,80,1,1.5,3,4.5,,,,,,,,simple,elliptic
Eremophila,platythamnos,Eremophila platythamnos,shrub,0.3,1.5,2,,5,20,,,2,11,,,,,,,,,simple,elliptic
Eremophila,arenaria,Eremophila arenaria,shrub,,1,,8.5,10.5,19.5,23.5,,1.5,3.5,,,,,,,,,simple,elliptic
