accepted_name,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,euclid_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaflength_min2,leaflength_max2,leafwidth_min2,leafwidth_max2
Corymbia abergiana,1.2,1.8,0.8,1.1,2.1,3.4,1.8,2.6,7,7,white_cream,NNNNNNNYYNNN,8,15.2,2,6.4,corymbia_abergiana,8,13.5,cm,2,5,cm,80,180,20,64,NA,15.2,NA,NA
Corymbia aparrerinja,0.6,0.7,0.5,0.6,0.9,1.3,0.7,0.9,3,7,white_cream,YYNNNNYNNNNY,5,16.5,0.7,3.2,corymbia_aparrerinja,5,15.5,cm,2,6.5,cm,50,165,7,32,NA,NA,NA,NA
Corymbia arafurica,0.5,0.8,0.4,0.6,0.9,1.2,0.6,1,3,7,white_cream,NNNNNNNNNNNN,8,20.7,1.3,5.5,corymbia_arafurica,NA,NA,NA,NA,NA,NA,80,207,13,55,NA,NA,NA,NA
Corymbia arenaria,0.4,NA,0.3,NA,0.8,1.3,0.7,1.3,7,7,white_cream,YNNNNNNNNNNN,6,16,0.8,3,corymbia_arenaria,NA,NA,NA,NA,NA,NA,60,190,8,30,NA,16,NA,NA
Corymbia arnhemensis,0.4,0.6,0.3,0.4,0.8,1.4,0.6,1,7,7,white_cream,NYYYNNNNNNYN,7.5,18,0.8,1.8,corymbia_arnhemensis,3.5,11.5,cm,2,4,cm,75,180,8,25,NA,NA,NA,1.8
Corymbia aspera,0.3,0.5,0.3,0.4,0.5,0.8,0.4,0.7,7,7,white_cream,NNNNNNNNNYYN,1.5,6.8,0.7,3.5,corymbia_aspera,2,6.5,cm,1,4.3,cm,15,68,7,35,NA,NA,NA,NA
Corymbia aureola,0.8,0.9,0.7,NA,1,1.7,0.9,1.6,7,7,NA,NNNNNNNNNNNN,10,20.5,1.2,3,corymbia_aureola,11,28,cm,4,10,cm,85,205,12,40,10,NA,NA,3
Corymbia bella,0.5,0.7,0.4,0.5,0.8,1.1,0.6,1.1,3,3,white_cream,YNNNNNYNYYYY,7,23,0.6,2.5,corymbia_bella,6.5,11,cm,1.7,3,cm,70,230,6,25,NA,NA,NA,NA
Corymbia blakei,0.4,0.5,0.3,0.4,0.6,1,0.5,0.9,7,7,white_cream,NNNNNNNNNNNY,4,13,0.3,1.8,corymbia_blakei,NA,NA,NA,NA,NA,NA,40,130,3,18,NA,NA,NA,NA
Corymbia bleeseri,0.8,1.5,0.5,0.8,1.5,2.5,1,1.5,7,7,white_cream,NNYYYYNYNNNN,7.5,15,0.9,2.7,corymbia_bleeseri,4,14,cm,2.5,6.5,cm,75,184,9,27,NA,15,NA,NA
Corymbia bloxsomei,0.9,NA,0.7,NA,1.2,1.8,0.9,1.3,7,11,white_cream,NNNNNYNNNNNY,11,18.8,1,3.5,corymbia_bloxsomei,7,14,cm,3.8,6,cm,88,188,10,51,11,NA,NA,3.5
Corymbia brachycarpa,0.6,NA,0.5,NA,1.3,1.8,1,1.5,7,7,white_cream,NNNNNNNNNNNN,8,15,0.9,2.1,corymbia_brachycarpa,7,11.5,cm,0.4,1.1,cm,65,150,9,21,8,NA,NA,NA
Corymbia bunites,0.7,NA,0.5,NA,0.8,1.2,0.7,1.1,7,7,white_cream,NNNNNNNNNNNN,7.3,20,1.2,3.5,corymbia_bunites,8,15,cm,2,3.5,cm,73,200,12,40,NA,NA,NA,3.5
Corymbia cadophora,0.8,1.8,0.6,1.1,2.5,4.2,1.7,3,7,7,red_brown white_cream,YYNYNYYYYYNN,7,25.5,2.8,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25.5,2.8,10.2
Corymbia calophylla,0.6,1.4,0.6,1,1.9,4.4,1.8,4,7,7,pink white_cream,YYYYYNNNYNNY,7,19,2,5.5,corymbia_calophylla,4.5,24,cm,3.5,9,cm,70,190,20,55,NA,NA,NA,NA
Corymbia candida,0.4,0.6,0.4,0.5,0.5,1.1,0.6,1.1,3,3,white_cream,NNNNNNYNNNNN,3,8,0.8,2.7,corymbia_candida,2,4.5,cm,0.8,2.1,cm,30,80,8,27,NA,NA,NA,NA
Corymbia chartacea,1,1.6,0.8,1.1,2.1,3,2.1,3,3,7,pink white_cream,NYNNYNNYNNNN,6,16,3,8.6,corymbia_chartacea,NA,12,cm,NA,7,cm,45,160,30,86,6,NA,NA,NA
Corymbia chippendalei,0.7,0.9,0.5,0.7,1.6,2.8,1.5,2.5,7,7,white_cream,YNNNNNNNNNNN,8,13,1,2.3,corymbia_chippendalei,5,11,cm,1,2,cm,65,130,10,23,8,NA,NA,NA
Corymbia citriodora,0.6,1.1,0.5,0.7,0.8,1.5,0.7,1.2,3,3,white_cream,YNNYYYYYNYNY,10,23,0.6,2.8,corymbia_citriodora,8,21,cm,3.2,8,cm,70,230,6,35,10,NA,NA,2.8
Corymbia clandestina,0.8,NA,0.5,NA,0.9,1.4,0.7,1,7,7,white_cream,NNNNNNNNNNNN,7.3,12,1,2,corymbia_clandestina,5.5,10.5,cm,0.8,1.6,cm,73,120,10,20,NA,NA,NA,NA
Corymbia clarksoniana,0.7,1.2,0.4,0.8,1.2,2.5,0.9,1.6,7,7,white_cream,YNYYYYYYYYYY,6,18,1,3,corymbia_clarksoniana,6,14.5,cm,1.2,5,cm,60,180,10,30,NA,NA,NA,NA
Corymbia clavigera,0.7,NA,0.4,NA,0.9,1.4,0.7,0.9,3,7,white_cream,NNNNNYNNYYYN,7,16,1.4,2.5,corymbia_clavigera,NA,NA,NA,NA,NA,NA,70,160,14,25,NA,NA,NA,NA
Corymbia cliftoniana,0.6,NA,0.4,NA,1.5,2.4,1.5,2.5,7,7,white_cream,NNNNNNNNNNNN,7.8,15,1,2.6,corymbia_cliftoniana,4,11.3,cm,2.5,6,cm,78,170,10,26,NA,15,NA,NA
Corymbia collina,1.3,1.6,1,1.1,2.6,3.7,1.8,2.5,7,7,white_cream,NNNYYYNNNNNN,9.2,23.5,1,3,corymbia_collina,5.5,13,cm,4,7,cm,92,235,10,30,NA,NA,NA,NA
Corymbia confertiflora,0.4,0.7,0.4,0.5,0.7,1.5,0.6,1.2,7,7,white_cream,NNNNNYYYYYYN,6,16,2.5,10.3,corymbia_confertiflora,9.8,23,cm,4.2,17,cm,50,210,18,103,6,16,2.5,NA
Corymbia dallachiana,0.5,0.7,0.4,0.6,0.9,1.3,0.7,1,3,7,white_cream,NYYYYYYYNNYY,9.3,27,0.9,3.4,corymbia_dallachiana,10,26,cm,3.5,15,cm,93,270,9,34,NA,NA,NA,NA
Corymbia dendromerinx,0.5,0.7,0.4,0.6,0.7,1.2,0.6,0.8,3,7,white_cream,NNNNNNNNNYYN,6,15,3.6,8.5,corymbia_dendromerinx,NA,NA,NA,NA,NA,NA,60,150,36,100,NA,NA,NA,8.5
Corymbia deserticola,0.5,0.7,0.3,0.5,0.9,1.7,0.9,1.6,7,7,white_cream,NNNNYYYYYNYN,2,6.2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.2,1,4
Corymbia dichromophloia,0.4,0.7,0.3,0.5,0.8,1.3,0.6,1.1,7,7,white_cream,NYYYYNYYNNNN,7,23,0.8,5.5,corymbia_dichromophloia,9.5,22,cm,5.5,10,cm,70,230,8,55,NA,NA,NA,NA
Corymbia disjuncta,0.5,0.8,0.4,0.6,0.9,1.7,0.7,1.4,7,7,white_cream,NNNNNNNYYYYN,9,18,5,12.5,corymbia_disjuncta,15,35,cm,10,23,cm,60,255,42,156,9,18,5,12.5
Corymbia dunlopiana,1.2,2,0.7,1,2,3.5,2.3,3.2,1,3,red_brown,YYNYYYYNYYNY,3.5,12,2,5.7,corymbia_dunlopiana,4,12.5,cm,3,8,cm,35,120,20,57,NA,NA,NA,NA
Corymbia ellipsoidea,0.7,0.8,0.4,0.5,1.2,1.9,0.9,1.4,7,7,white_cream,YYNNNNNNNNNN,9,17.5,0.7,2.3,corymbia_ellipsoidea,NA,NA,NA,NA,NA,NA,70,240,7,27,9,17.5,NA,2.3
Corymbia eremaea,0.6,0.8,0.4,0.5,1.1,2.2,0.9,1.8,7,7,white_cream,YNYYNNNNNNYY,7.5,12,1,2.1,corymbia_eremaea,NA,NA,NA,NA,NA,NA,60,150,8,21,7.5,12,1,NA
Corymbia erythrophloia,0.6,1,0.5,0.7,1.1,2.1,1,1.6,7,7,white_cream,YYYYNNNNNNNN,9,23.6,2,3.5,corymbia_erythrophloia,5.5,12.5,cm,2,5.5,cm,90,236,10,35,NA,NA,2,NA
Corymbia eximia,1,1.3,0.7,1,1,1.9,1,1.6,7,7,white_cream,NNNNNNNNYYYN,10,24,1.7,6,corymbia_eximia,4,21,cm,2.5,8,cm,100,240,17,60,NA,NA,NA,NA
Corymbia ferriticola,0.4,0.5,0.3,0.4,0.6,1,0.4,0.9,7,7,white_cream,YNNNNNNNNNNY,4,10,0.6,2.2,corymbia_ferriticola,3.5,8,cm,1.3,3.7,cm,40,100,6,22,NA,NA,NA,NA
Corymbia ferruginea,0.7,1.4,0.5,0.8,1.8,3.3,1.5,2.9,3,7,white_cream,YYYYYYNNNNNY,6.3,21.5,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,21.5,2,9
Corymbia ficifolia,1.2,1.8,0.6,0.8,2,4.2,1.8,3,7,7,red_brown,YYYYYNNNYNNN,7,13,2.5,5,corymbia_ficifolia,NA,NA,NA,NA,NA,NA,70,150,22,55,NA,13,2.5,5
Corymbia flavescens,0.6,0.9,0.5,0.8,0.8,1.2,0.8,1.1,3,3,white_cream,NNNYYYNNNNYY,7,23.5,1.3,6,corymbia_flavescens,7,15.5,cm,4.5,11,cm,60,235,13,70,7,NA,NA,6
Corymbia foelscheana,0.9,1.4,0.7,0.9,2.2,3,1.4,2.4,7,7,white_cream,YYYYYYYYYYYY,10,27.5,4,13.5,corymbia_foelscheana,17,25,cm,15,18.5,cm,80,275,40,135,10,NA,NA,NA
Corymbia gilbertensis,0.5,0.7,0.4,0.5,0.5,1,0.5,0.8,7,7,white_cream,NNNNNNNNNNNN,5,13,0.7,4.6,corymbia_gilbertensis,NA,NA,NA,NA,NA,NA,40,160,4,46,5,13,0.7,NA
Corymbia grandifolia,0.7,1.5,0.6,0.9,1,2.2,0.8,1.6,3,7,white_cream,YNNYNYYYYYYN,8,20,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,3,15
Corymbia greeniana,0.6,1,0.5,0.8,1.3,2.8,1.1,2.2,7,7,white_cream,YYYYYNNYNYNN,8,23,2,7.6,corymbia_greeniana,10,26,cm,3.5,18,cm,80,270,12,76,NA,23,2,NA
Corymbia gummifera,0.8,1.2,0.4,0.6,1.2,2.2,0.9,1.8,7,7,white_cream,YYYYYYNNNNNY,5.5,16,1.5,5,corymbia_gummifera,9,16.5,cm,3,5.2,cm,55,160,15,50,NA,NA,NA,NA
Corymbia haematoxylon,0.6,1.1,0.4,0.7,1.5,3.6,1.2,2.7,7,7,white_cream,NYYNNNNNNNNN,7,12,2,3.5,corymbia_haematoxylon,NA,NA,NA,NA,NA,NA,55,140,17,40,7,12,2,3.5
Corymbia hamersleyana,0.6,0.8,0.5,0.8,1.1,1.7,0.9,1.6,7,9,white_cream,NNYYYYYYYNNN,8,16.5,1,2,corymbia_hamersleyana,4.5,10.5,cm,1.2,3,cm,80,165,10,30,NA,NA,NA,2
Corymbia hendersonii,0.8,1.2,0.4,0.6,1.7,3.1,1.4,2.2,7,7,white_cream,YYYNNNNNNNNN,7,17,0.8,3,corymbia_hendersonii,4.2,9.5,cm,0.7,2,cm,70,170,8,35,NA,NA,NA,3
Corymbia henryi,1.2,1.3,0.6,0.8,0.9,1.5,0.9,1.6,3,3,white_cream,YNNNNNNNNNYN,11,28,2.2,4.5,corymbia_henryi,8,25,cm,4,10,cm,110,280,22,45,NA,NA,NA,NA
Corymbia hylandii,0.5,0.7,0.3,0.5,1,1.8,0.8,1.2,7,7,white_cream,NNNYNYNNNNNN,8.4,19.5,0.9,2.5,corymbia_hylandii,3.5,8,cm,0.4,1.5,cm,75,195,9,25,8.4,NA,NA,NA
Corymbia intermedia,0.7,1,0.4,0.6,1,2,0.8,1.6,7,7,white_cream,YYYYYYYNNYYY,8,15,1.3,4,corymbia_intermedia,8,16,cm,2,4.2,cm,80,150,13,40,NA,NA,NA,NA
Corymbia jacobsiana,0.4,NA,0.2,NA,0.7,1.1,0.4,0.8,7,7,white_cream,NYNYNNNNNNNY,5.3,13.7,0.7,2,corymbia_jacobsiana,4.5,10.5,cm,0.2,0.8,cm,53,137,7,30,NA,NA,NA,2
Corymbia kombolgiensis,0.4,0.6,0.3,0.5,0.8,1,0.4,0.8,7,13,white_cream,NNNNNNNYNYYN,8,21,0.6,1,corymbia_kombolgiensis,4.5,9,cm,2,6,cm,58,210,6,25,8,NA,NA,1
Corymbia lamprophylla,0.6,0.9,0.4,0.6,1.1,1.8,1,1.4,7,7,white_cream,YNYYNNNYNNNN,7,18,1,3,corymbia_lamprophylla,6.5,13.5,cm,1,2,cm,70,180,10,30,NA,NA,NA,NA
Corymbia latifolia,0.5,0.6,0.3,0.6,0.8,1.4,0.8,1.2,7,7,white_cream,YYYNNNNNYYYY,7,16.5,4,12.3,corymbia_latifolia,8.5,22.5,cm,8,14,cm,70,165,40,123,NA,NA,NA,NA
Corymbia leichhardtii,0.6,0.9,0.5,0.6,0.8,1.5,0.7,1.3,7,7,white_cream,YYYNNNNNNNNN,10.5,24.5,1,3.8,corymbia_leichhardtii,6.5,16.5,cm,2.5,7,cm,80,245,10,48,10.5,NA,NA,3.8
Corymbia lenziana,0.6,0.8,0.4,0.5,1.2,1.9,1,1.7,7,7,white_cream,NNNNNNNNNNNN,6.5,12,0.5,1.5,corymbia_lenziana,4,10,cm,0.3,0.8,cm,65,120,5,15,NA,NA,NA,NA
Corymbia leptoloma,0.6,0.8,0.5,0.6,0.8,1.1,0.8,1.1,7,7,white_cream,NNNNNNNNNNNN,8.9,21.5,2.1,5,corymbia_leptoloma,8.5,20,cm,5,10,cm,89,215,21,50,NA,NA,NA,NA
Corymbia ligans,0.7,0.9,0.4,0.5,1.1,2,0.7,1.2,7,7,NA,YNNNNNNNNNNN,7.7,15,0.8,1.6,corymbia_ligans,8,14,cm,1.3,1.8,cm,77,175,8,20,NA,15,NA,1.6
Corymbia maculata,0.8,1,0.6,0.8,0.9,1.4,0.8,1.3,3,3,white_cream,NNYYYYYYYNNN,8,21,1.2,3,corymbia_maculata,7,19,cm,3,7.5,cm,80,210,12,30,NA,NA,NA,NA
Corymbia nesophila,0.5,0.7,0.3,0.5,0.8,1.5,0.6,1,7,7,white_cream,NNNNYYYYNNNN,7.3,21,0.7,2.8,corymbia_nesophila,4.8,12.5,cm,2.3,8,cm,73,210,7,28,NA,NA,NA,NA
Corymbia novoguinensis,1.1,1.2,0.6,0.7,1.7,2.4,1.1,1.5,7,7,white_cream,NNNNYYYYNNNN,10,21,1.2,3.5,corymbia_novoguinensis,NA,NA,NA,NA,NA,NA,100,210,12,35,NA,NA,NA,NA
Corymbia oocarpa,0.7,NA,0.5,NA,1,1.4,0.8,1.1,7,7,white_cream,NNYNNNNNNNNN,10,22,0.9,2.7,corymbia_oocarpa,5.5,9.5,cm,1.3,2,cm,100,220,9,27,NA,NA,NA,NA
Corymbia opaca,0.9,1.3,0.6,0.8,1.6,2.9,1.2,1.9,7,7,white_cream,NNYYYYYYNYNN,9,17,1.1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,17,1.1,3.5
Corymbia pachycarpa,1.5,2.6,0.8,1,2.3,3.8,2.5,3.3,3,7,white_cream,NNNNNNNNNNNY,4,12,1.7,5,corymbia_pachycarpa,4,13,cm,1.5,5,cm,40,120,17,50,NA,NA,NA,NA
Corymbia papillosa,0.6,NA,0.4,0.5,1.2,1.7,1,1.6,7,7,white_cream,NNNNNNNNNNYN,4,12.2,2,5.5,corymbia_papillosa,3,10,cm,1.5,5,cm,35,122,20,55,4,NA,NA,NA
Corymbia papuana,0.5,0.6,0.4,0.5,0.6,1.2,0.6,0.8,3,7,white_cream,NNNNNNYYYYYN,9,21,1.6,3.5,corymbia_papuana,5,19,cm,2.2,11,cm,90,260,16,42,NA,21,NA,3.5
Corymbia paractia,0.5,0.7,0.4,0.5,0.7,1.1,0.6,0.9,3,7,white_cream,NNNNNNNNNNYY,7.5,14,1.4,5.5,corymbia_paractia,5,11,cm,4,6,cm,48,140,14,70,7.5,NA,NA,5.5
Corymbia pauciseta,0.6,0.7,0.4,0.5,0.8,1.5,0.7,1.2,7,7,white_cream,NNNNNNNNNYYN,9,19.5,2.7,9,corymbia_pauciseta,NA,NA,NA,NA,NA,NA,63,195,27,90,9,NA,NA,NA
Corymbia peltata,0.6,0.8,0.4,0.5,0.7,1.4,0.8,1.2,7,7,white_cream,NYNNNNNNNNNN,6,13.5,3.5,11,corymbia_peltata,6,21,cm,4,12,cm,43,135,35,110,6,NA,NA,NA
Corymbia petalophylla,0.7,0.8,0.4,0.5,0.8,1.4,0.8,1.2,7,7,white_cream,NNNNNNNNYNNN,8,19,1.5,4.5,corymbia_petalophylla,7.5,14.5,cm,4,10,cm,80,190,15,45,NA,NA,NA,NA
Corymbia plena,1.1,1.7,0.7,1.2,2,3.1,1.3,2,7,7,white_cream,NNNNYYNNNNNN,7.6,15.5,1,2.5,corymbia_plena,NA,NA,NA,NA,NA,NA,76,180,10,30,NA,15.5,NA,2.5
Corymbia pocillum,0.5,0.6,0.4,0.55,0.9,1.4,0.8,1.2,7,7,white_cream,YYNNNYNNNNNN,8,20.5,0.7,3,corymbia_pocillum,NA,18,cm,NA,3,cm,80,205,7,30,NA,NA,NA,NA
Corymbia polycarpa,0.9,1.4,0.5,0.8,1.5,3.5,0.8,1.6,7,9,white_cream,NYYYYYYYNNNN,7.8,20.8,1,3.8,corymbia_polycarpa,NA,25,cm,1,4,cm,78,208,10,38,NA,NA,NA,NA
Corymbia polysciada,0.6,0.8,0.4,0.7,0.9,1.5,0.8,1.1,7,7,white_cream,NNNNNYNYYYYN,6,21,1,7.5,corymbia_polysciada,NA,NA,NA,NA,NA,NA,60,255,10,115,NA,21,NA,7.5
Corymbia porrecta,1,1.5,0.7,0.9,1.8,3,1.5,2.6,7,7,white_cream,YYYYNNNNNNNN,9,23.5,3,8.5,corymbia_porrecta,18,25,cm,11,17,cm,90,235,18,85,NA,NA,3,NA
Corymbia ptychocarpa,1.3,2.4,1.1,1.8,3,5.5,2.2,4.5,7,7,red_brown white_cream,NYYYYYNNYYYY,11,46,2.7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,46,2.7,13
Corymbia rhodops,0.8,1.5,0.4,0.7,1.7,2.8,1.2,2,7,7,red_brown white_cream,YYNNNNNNNNNY,8,15.2,0.8,2.5,corymbia_rhodops,4.5,12,cm,1.5,3,cm,80,152,8,30,NA,NA,NA,2.5
Corymbia scabrida,0.7,NA,0.6,NA,0.8,1.3,0.8,1.1,7,7,white_cream,NNNNNNNNNYNN,6.5,12.5,2,3.5,corymbia_scabrida,5,18.5,cm,4,5.5,cm,50,125,13,48,6.5,NA,2,3.5
Corymbia serendipita,0.5,NA,0.4,NA,1,1.5,0.8,1,7,7,white_cream,NYNNNNNNNNNN,7.5,18,0.7,1.7,corymbia_serendipita,6,12,cm,1.2,1.8,cm,75,180,8,22,NA,NA,0.7,1.7
Corymbia setosa,0.6,1.2,1.1,2.5,1.1,2.8,1.1,2.5,3,7,white_cream,YYYYYYYYYYYY,2.7,7.7,1,5,corymbia_setosa,3.8,7.8,cm,1.7,3.3,cm,15,77,10,50,2.7,NA,NA,NA
Corymbia sphaerica,1,1.2,0.9,1,2.1,3.1,2,3.1,3,3,NA,NNNNNNNNNNNN,3,7,1.5,4.5,corymbia_sphaerica,NA,8,cm,NA,5,cm,30,100,15,45,NA,7,NA,NA
Corymbia stockeri,0.6,0.8,0.4,0.6,1,1.7,0.8,1.4,7,7,white_cream,NYNNNNNNNNNN,8,21.5,0.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,21.5,0.9,2.5
Corymbia terminalis,0.6,1.4,0.5,1,1.5,3.1,1.2,2.2,7,7,pink white_cream,NNYYYYYYYYNN,8,20,1.2,3,corymbia_terminalis,6,17,cm,1.2,4.5,cm,80,200,12,30,NA,NA,NA,NA
Corymbia tessellaris,0.4,0.6,0.3,0.5,0.6,1.2,0.6,1,3,7,white_cream,YYNNYYYYYYYY,9,24,0.6,2.5,corymbia_tessellaris,5.5,11,cm,1,2,cm,90,240,6,25,NA,NA,NA,NA
Corymbia torelliana,0.7,0.8,0.5,0.7,0.9,1.4,0.8,1.4,3,7,white_cream,NNNNNNNYYYYN,6,16,1.5,8.5,corymbia_torelliana,9,14.5,cm,6,10.5,cm,60,160,15,85,NA,NA,NA,NA
Corymbia torta,0.5,0.6,0.3,0.4,0.6,0.9,0.5,0.9,3,7,white_cream,NNNNNNNNNNYN,7,17.5,0.7,2.5,corymbia_torta,NA,NA,NA,NA,NA,NA,70,175,7,45,NA,NA,NA,2.5
Corymbia trachyphloia,0.4,0.5,0.2,0.4,0.6,1,0.5,0.8,7,7,white_cream,YYYYYYNYNNNY,6.5,14,0.9,2.6,corymbia_trachyphloia,5,12,cm,1,3.5,cm,65,140,9,40,NA,NA,NA,2.6
Corymbia umbonata,0.6,0.8,0.5,0.6,1.2,1.9,1.1,1.6,7,7,white_cream,NNYYNNNNNNNN,9,23,0.8,2,corymbia_umbonata,5.5,15,cm,2.5,5.5,cm,90,270,8,20,NA,23,NA,NA
Corymbia watsoniana,1.5,2,1.2,1.7,1.5,3.2,1.2,2.4,7,7,white_cream,NNNNNYNNNNYN,9,26.5,1.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,26.5,1.8,7
Corymbia xanthope,0.7,0.8,0.4,0.5,1.4,2,1,1.5,7,7,white_cream,NNNNNNNNNNNN,9,20,1,2.5,corymbia_xanthope,4.8,10,cm,0.7,2,cm,90,200,10,25,NA,NA,NA,NA
Corymbia zygophylla,1,1.3,0.7,0.8,1.8,3.5,1.7,3.3,3,7,white_cream,NNNNNNNNNNNN,6.5,14.5,1.8,6,corymbia_zygophylla,3.5,10,cm,1.5,4.5,cm,65,145,18,60,NA,NA,NA,NA
Eucalyptus abdita,1.1,2.1,0.25,0.4,0.6,NA,0.4,0.5,13,13,white_cream,NYNNNNNNNNNN,5.5,8,1.1,1.8,eucalyptus_abdita,8.2,11.6,cm,4,6,cm,55,100,11,18,NA,8,NA,NA
Eucalyptus absita,0.4,0.6,0.3,0.4,0.4,0.5,0.4,0.6,7,7,white_cream,NNNNNYNNNNYN,7,11,1.5,4,eucalyptus_absita,4.5,8.5,cm,2,6.5,cm,70,110,15,40,NA,NA,NA,NA
Eucalyptus acaciiformis,0.3,0.4,0.2,0.3,0.3,0.4,0.3,0.6,7,7,white_cream,YNNNNNNNNNNY,5,13,1,2.2,eucalyptus_acaciiformis,2,4.5,cm,0.5,1.5,cm,50,130,10,22,NA,NA,NA,NA
Eucalyptus accedens,0.8,1.4,0.5,0.7,0.6,1.1,0.6,0.9,7,11,white_cream,YYYYNNNNNNNY,8,18,1.2,3,eucalyptus_accedens,4,17,cm,3,11,cm,80,180,12,30,NA,NA,NA,NA
Eucalyptus acies,0.6,0.9,0.7,0.9,0.9,1.2,1.3,1.5,7,7,white_cream,YNNNNNNNYYYN,8,13.5,2,4,eucalyptus_acies,7,12,cm,3,5,cm,80,135,20,40,NA,NA,NA,NA
Eucalyptus acmenoides,0.5,0.7,0.3,0.5,0.5,0.8,0.4,0.9,11,15,white_cream,NNNYNNYYYYYY,7,15.7,0.9,4,eucalyptus_acmenoides,5,12.5,cm,1.3,5.7,cm,70,157,9,50,NA,NA,NA,4
Eucalyptus acroleuca,0.2,0.3,0.1,0.2,0.2,0.3,0.2,0.3,7,7,white_cream,NNNNNNNNNNYY,7,14,0.6,1.2,eucalyptus_acroleuca,6,13,cm,0.7,1.1,cm,70,170,6,15,NA,14,NA,1.2
Eucalyptus adesmophloia,0.7,1.2,0.35,0.5,0.4,0.6,0.5,0.9,11,21,white_cream,YNNNNNNYYNYN,5.5,12.5,1,2.5,eucalyptus_adesmophloia,2,6.5,cm,2,5,cm,55,125,10,32,NA,NA,NA,2.5
