taxon_name,trait_name,value_type,value,unit,original_name,observation_id,value_new
Allocasuarina grevilleoides,leaf_length,maximum,24,mm,Allocasuarina grevilleoides,0121,NA
Allocasuarina grevilleoides,leaf_width,minimum,0.5,mm,Allocasuarina grevilleoides,0121,NA
Allocasuarina grevilleoides,leaf_width,maximum,0.8,mm,Allocasuarina grevilleoides,0121,NA
Allocasuarina lehmanniana,leaf_length,minimum,5,mm,Allocasuarina lehmanniana,0127,NA
Allocasuarina lehmanniana,leaf_length,maximum,9,mm,Allocasuarina lehmanniana,0127,NA
Allocasuarina lehmanniana,leaf_width,minimum,0.7,mm,Allocasuarina lehmanniana,0127,NA
Allocasuarina lehmanniana,leaf_width,maximum,1.2,mm,Allocasuarina lehmanniana,0127,NA
Allocasuarina mackliniana subsp. hirtilinea,leaf_length,minimum,11,mm,Allocasuarina mackliniana subsp. hirtilinea,0133,NA
Allocasuarina mackliniana subsp. hirtilinea,leaf_length,maximum,15,mm,Allocasuarina mackliniana subsp. hirtilinea,0133,NA
Allocasuarina mackliniana subsp. hirtilinea,leaf_width,minimum,1,mm,Allocasuarina mackliniana subsp. hirtilinea,0133,NA
Allocasuarina mackliniana subsp. hirtilinea,leaf_width,maximum,1.3,mm,Allocasuarina mackliniana subsp. hirtilinea,0133,NA
Allocasuarina mackliniana subsp. mackliniana,leaf_length,minimum,9,mm,Allocasuarina mackliniana subsp. mackliniana,0134,NA
Allocasuarina mackliniana subsp. mackliniana,leaf_length,maximum,17,mm,Allocasuarina mackliniana subsp. mackliniana,0134,NA
Allocasuarina mackliniana subsp. mackliniana,leaf_width,minimum,0.8,mm,Allocasuarina mackliniana subsp. mackliniana,0134,NA
Allocasuarina mackliniana subsp. mackliniana,leaf_width,maximum,1.2,mm,Allocasuarina mackliniana subsp. mackliniana,0134,NA
Allocasuarina mackliniana subsp. xerophila,leaf_length,minimum,7,mm,Allocasuarina mackliniana subsp. xerophila,0135,NA
Allocasuarina mackliniana subsp. xerophila,leaf_length,maximum,13,mm,Allocasuarina mackliniana subsp. xerophila,0135,NA
Allocasuarina mackliniana subsp. xerophila,leaf_width,minimum,0.8,mm,Allocasuarina mackliniana subsp. xerophila,0135,NA
Allocasuarina mackliniana subsp. xerophila,leaf_width,maximum,1.4,mm,Allocasuarina mackliniana subsp. xerophila,0135,NA
Allocasuarina monilifera,leaf_length,minimum,6,mm,Allocasuarina monilifera,0139,NA
Allocasuarina monilifera,leaf_length,maximum,11,mm,Allocasuarina monilifera,0139,NA
Allocasuarina monilifera,leaf_width,minimum,0.6,mm,Allocasuarina monilifera,0139,NA
Allocasuarina monilifera,leaf_width,maximum,1.2,mm,Allocasuarina monilifera,0139,NA
Allocasuarina pinaster,leaf_length,minimum,20,mm,Allocasuarina pinaster,0148,NA
Allocasuarina pinaster,leaf_length,maximum,50,mm,Allocasuarina pinaster,0148,NA
Allocasuarina pinaster,leaf_width,minimum,1,mm,Allocasuarina pinaster,0148,NA
Allocasuarina pinaster,leaf_width,maximum,1.2,mm,Allocasuarina pinaster,0148,NA
Allocasuarina ramosissima,leaf_length,minimum,6,mm,Allocasuarina ramosissima,0151,NA
Allocasuarina ramosissima,leaf_length,maximum,20,mm,Allocasuarina ramosissima,0151,NA
Allocasuarina ramosissima,leaf_width,minimum,0.6,mm,Allocasuarina ramosissima,0151,NA
Allocasuarina ramosissima,leaf_width,maximum,1,mm,Allocasuarina ramosissima,0151,NA
Allocasuarina rigida subsp. exsul,leaf_length,minimum,10,mm,Allocasuarina rigida subsp. exsul,0153,NA
Allocasuarina rigida subsp. exsul,leaf_length,maximum,14,mm,Allocasuarina rigida subsp. exsul,0153,NA
Allocasuarina rigida subsp. exsul,leaf_width,minimum,0.7,mm,Allocasuarina rigida subsp. exsul,0153,NA
Allocasuarina rigida subsp. exsul,leaf_width,maximum,0.9,mm,Allocasuarina rigida subsp. exsul,0153,NA
Allocasuarina rigida subsp. rigida,leaf_length,minimum,10,mm,Allocasuarina rigida subsp. rigida,0154,NA
Allocasuarina rigida subsp. rigida,leaf_length,maximum,25,mm,Allocasuarina rigida subsp. rigida,0154,NA
Allocasuarina rigida subsp. rigida,leaf_width,minimum,0.8,mm,Allocasuarina rigida subsp. rigida,0154,NA
Allocasuarina rigida subsp. rigida,leaf_width,maximum,1.5,mm,Allocasuarina rigida subsp. rigida,0154,NA
Allocasuarina spinosissima,leaf_length,minimum,8,mm,Allocasuarina spinosissima,0159,NA
Allocasuarina spinosissima,leaf_length,maximum,13,mm,Allocasuarina spinosissima,0159,NA
Allocasuarina spinosissima,leaf_width,minimum,1,mm,Allocasuarina spinosissima,0159,NA
Allocasuarina spinosissima,leaf_width,maximum,1.8,mm,Allocasuarina spinosissima,0159,NA
Aloe parvibracteata,plant_height,maximum,1.5,m,Aloe parvibracteata,0175,NA
Aloe maculata,plant_height,maximum,0.8,m,Aloe saponaria,0176,NA
Aloe vera,plant_height,maximum,1,m,Aloe vera,0177,NA
Amomum dallachyi,leaf_length,minimum,430,mm,Amomum dallachyi,0187,NA
Amomum dallachyi,leaf_width,minimum,90,mm,Amomum dallachyi,0187,NA
Amyema linophylla,leaf_width,minimum,1,mm,Amyema linophyllum,0213,NA
Amyema linophylla,leaf_width,maximum,2.5,mm,Amyema linophyllum,0213,NA
Amyema linophylla subsp. linophylla,leaf_length,minimum,1,mm,Amyema linophyllum subsp. linophyllum,0214,NA
Amyema linophylla subsp. linophylla,leaf_length,maximum,2,mm,Amyema linophyllum subsp. linophyllum,0214,NA
Amyema linophylla subsp. orientalis,leaf_length,minimum,1.3,mm,Amyema linophyllum subsp. orientale,0215,NA
Amyema linophylla subsp. orientalis,leaf_length,maximum,2.5,mm,Amyema linophyllum subsp. orientale,0215,NA
Amyema quandang var. bancroftii,leaf_length,minimum,200,mm,Amyema quandang var. bancroftii,0235,NA
Amyema quandang var. bancroftii,leaf_length,maximum,450,mm,Amyema quandang var. bancroftii,0235,NA
Amyema quandang var. quandang,leaf_length,minimum,8,mm,Amyema quandang var. quandang,0236,NA
Amyema quandang var. quandang,leaf_length,maximum,20,mm,Amyema quandang var. quandang,0236,NA
Amyema tridactyla,leaf_width,minimum,1,mm,Amyema tridactylum,0246,NA
Anemone crassifolia,leaf_length,minimum,15,mm,Anemone crassifolia,0253,NA
Anemone crassifolia,leaf_length,maximum,50,mm,Anemone crassifolia,0253,NA
Anigozanthos bicolor subsp. bicolor,plant_height,maximum,0.6,m,Anigozanthos bicolor subsp. bicolor,0255,NA
Anigozanthos bicolor subsp. decrescens,plant_height,maximum,0.45,m,Anigozanthos bicolor subsp. decrescens,0256,NA
Anigozanthos bicolor subsp. exstans,plant_height,maximum,0.25,m,Anigozanthos bicolor subsp. exstans,0257,NA
Anigozanthos bicolor subsp. minor,plant_height,maximum,0.2,m,Anigozanthos bicolor subsp. minor,0258,NA
Anigozanthos flavidus,plant_height,maximum,3,m,Anigozanthos flavidus,0259,NA
Anigozanthos gabrielae,plant_height,maximum,0.2,m,Anigozanthos gabrielae,0260,NA
Anigozanthos humilis,plant_height,maximum,0.3,m,Anigozanthos humilis,0261,NA
Anigozanthos humilis subsp. chrysanthus,plant_height,maximum,0.4,m,Anigozanthos humilis subsp. chrysanthus,0262,NA
Anigozanthos humilis subsp. humilis,plant_height,maximum,0.3,m,Anigozanthos humilis subsp. humilis,0263,NA
Anigozanthos kalbarriensis,plant_height,maximum,0.2,m,Anigozanthos kalbarriensis,0264,NA
Anigozanthos manglesii,plant_height,maximum,1.1,m,Anigozanthos manglesii,0265,NA
Anigozanthos onycis,plant_height,maximum,0.3,m,Anigozanthos onycis,0268,NA
Anigozanthos preissii,plant_height,maximum,0.7,m,Anigozanthos preissii,0269,NA
Anigozanthos rufus,plant_height,maximum,1,m,Anigozanthos rufus,0271,NA
Anigozanthos viridis,plant_height,maximum,0.85,m,Anigozanthos viridis,0272,NA
Anthobolus filifolius,leaf_width,minimum,0.5,mm,Anthobolus filifolius,0275,NA
Anthobolus filifolius,leaf_width,maximum,1,mm,Anthobolus filifolius,0275,NA
Anthobolus foveolatus,leaf_width,minimum,1.5,mm,Anthobolus foveolatus,0276,NA
Anthobolus foveolatus,leaf_width,maximum,2,mm,Anthobolus foveolatus,0276,NA
Apatophyllum constablei,leaf_width,minimum,0.5,mm,Apatophyllum constablei,0281,NA
Arnhemia cryptantha,plant_height,maximum,0.3,m,Arnhemia cryptantha,0312,NA
Arthropodium dyeri,leaf_length,minimum,100,mm,Arthropodium dyeri,0318,NA
Arthropodium dyeri,leaf_length,maximum,150,mm,Arthropodium dyeri,0318,NA
Arthropodium dyeri,leaf_width,minimum,2,mm,Arthropodium dyeri,0318,NA
Arthropodium dyeri,leaf_width,maximum,2,mm,Arthropodium dyeri,0318,NA
Astelia alpina,plant_height,maximum,0.3,m,Astelia alpina,0331,NA
Australina pusilla,plant_height,maximum,0.5,m,Australina pusilla,0352,NA
Banksia baxteri,leaf_length,minimum,70,mm,Banksia baxteri,0365,NA
Banksia baxteri,leaf_length,maximum,170,mm,Banksia baxteri,0365,NA
Banksia baxteri,leaf_width,minimum,25,mm,Banksia baxteri,0365,NA
Banksia baxteri,leaf_width,maximum,75,mm,Banksia baxteri,0365,NA
Banksia blechnifolia,plant_height,maximum,0.01,m,Banksia blechnifolia,0367,NA
Banksia candolleana,leaf_length,minimum,150,mm,Banksia candolleana,0371,NA
Banksia candolleana,leaf_length,maximum,400,mm,Banksia candolleana,0371,NA
Banksia candolleana,leaf_width,minimum,6,mm,Banksia candolleana,0371,NA
Banksia candolleana,leaf_width,maximum,20,mm,Banksia candolleana,0371,NA
Banksia chamaephyton,leaf_length,minimum,150,mm,Banksia chamaephyton,0373,NA
Banksia chamaephyton,leaf_length,maximum,300,mm,Banksia chamaephyton,0373,NA
Banksia chamaephyton,leaf_width,minimum,40,mm,Banksia chamaephyton,0373,NA
Banksia chamaephyton,leaf_width,maximum,160,mm,Banksia chamaephyton,0373,NA
Banksia chamaephyton,plant_height,maximum,0.02,m,Banksia chamaephyton,0373,NA
Banksia dryandroides,leaf_length,minimum,50,mm,Banksia dryandroides,0380,NA
Banksia dryandroides,leaf_length,maximum,170,mm,Banksia dryandroides,0380,NA
Banksia dryandroides,leaf_width,minimum,7,mm,Banksia dryandroides,0380,NA
Banksia dryandroides,leaf_width,maximum,15,mm,Banksia dryandroides,0380,NA
Banksia gardneri,plant_height,maximum,0.02,m,Banksia gardneri,0387,NA
Banksia goodii,plant_height,maximum,0.2,m,Banksia goodii,0391,NA
Banksia grandis,leaf_length,minimum,100,mm,Banksia grandis,0392,NA
Banksia grandis,leaf_length,maximum,450,mm,Banksia grandis,0392,NA
Banksia grandis,leaf_width,minimum,30,mm,Banksia grandis,0392,NA
Banksia grandis,leaf_width,maximum,110,mm,Banksia grandis,0392,NA
Banksia laricina,leaf_width,minimum,0.8,mm,Banksia laricina,0405,NA
Banksia littoralis,leaf_width,minimum,10,mm,Banksia littoralis,0411,NA
Banksia pulchella,leaf_width,minimum,1,mm,Banksia pulchella,0436,NA
Banksia repens,leaf_width,minimum,180,mm,Banksia repens,0438,NA
Banksia repens,plant_height,maximum,0.03,m,Banksia repens,0438,NA
Banksia scabrella,leaf_width,minimum,1,mm,Banksia scabrella,0441,NA
Banksia solandri,leaf_length,minimum,100,mm,Banksia solandri,0446,NA
Banksia solandri,leaf_length,maximum,300,mm,Banksia solandri,0446,NA
Banksia solandri,leaf_width,minimum,40,mm,Banksia solandri,0446,NA
Banksia solandri,leaf_width,maximum,120,mm,Banksia solandri,0446,NA
Banksia speciosa,leaf_length,minimum,200,mm,Banksia speciosa,0447,NA
Banksia speciosa,leaf_length,maximum,450,mm,Banksia speciosa,0447,NA
Banksia speciosa,leaf_width,minimum,20,mm,Banksia speciosa,0447,NA
Banksia speciosa,leaf_width,maximum,40,mm,Banksia speciosa,0447,NA
Banksia sphaerocarpa var. caesia,plant_height,maximum,4,m,Banksia sphaerocarpa var. caesia,0449,NA
Banksia violacea,leaf_width,minimum,1.5,mm,Banksia violacea,0461,NA
Blandfordia nobilis,leaf_width,maximum,5,mm,Blandfordia nobilis,0486,NA
Borya scirpoidea,plant_height,maximum,0.15,m,Borya scirpoidea,0497,NA
Bowenia serrulata,plant_height,maximum,0.015,m,Bowenia serrulata,0501,NA
Caesalpinia crista,plant_height,maximum,15,m,Caesalpinia crista,0532,NA
Caesia calliantha,plant_height,maximum,0.7,m,Caesia calliantha,0544,NA
Caesia chlorantha,plant_height,maximum,0.6,m,Caesia chlorantha,0545,NA
Caesia micrantha,plant_height,maximum,0.6,m,Caesia micrantha,0546,NA
Caesia occidentalis,plant_height,maximum,0.65,m,Caesia occidentalis,0547,NA
Caesia parviflora,plant_height,maximum,0.55,m,Caesia parviflora,0548,NA
Caesia parviflora var. minor,leaf_length,minimum,200,mm,Caesia parviflora var. minor,0549,NA
Caesia parviflora var. minor,leaf_length,maximum,200,mm,Caesia parviflora var. minor,0549,NA
Caesia parviflora var. minor,leaf_width,minimum,2,mm,Caesia parviflora var. minor,0549,NA
Caesia parviflora var. minor,leaf_width,maximum,2,mm,Caesia parviflora var. minor,0549,NA
Caesia parviflora var. minor,plant_height,maximum,0.2,m,Caesia parviflora var. minor,0549,NA
Caesia parviflora var. parviflora,leaf_length,minimum,750,mm,Caesia parviflora var. parviflora,0550,NA
Caesia parviflora var. parviflora,leaf_length,maximum,750,mm,Caesia parviflora var. parviflora,0550,NA
Caesia parviflora var. parviflora,leaf_width,minimum,5,mm,Caesia parviflora var. parviflora,0550,NA
Caesia parviflora var. parviflora,leaf_width,maximum,5,mm,Caesia parviflora var. parviflora,0550,NA
Caesia parviflora var. parviflora,plant_height,maximum,0.75,m,Caesia parviflora var. parviflora,0550,NA
Caesia parviflora var. vittata,leaf_length,minimum,500,mm,Caesia parviflora var. vittata,0551,NA
Caesia parviflora var. vittata,leaf_length,maximum,500,mm,Caesia parviflora var. vittata,0551,NA
Caesia parviflora var. vittata,leaf_width,minimum,8,mm,Caesia parviflora var. vittata,0551,NA
Caesia parviflora var. vittata,leaf_width,maximum,8,mm,Caesia parviflora var. vittata,0551,NA
Caesia parviflora var. vittata,plant_height,maximum,0.5,m,Caesia parviflora var. vittata,0551,NA
Caesia setifera,plant_height,maximum,0.45,m,Caesia setifera,0553,NA
Calectasia intermedia,plant_height,maximum,0.5,m,Calectasia intermedia,0556,NA
Callitris baileyi,leaf_length,minimum,2,mm,Callitris baileyi,0559,NA
Callitris endlicheri,leaf_length,minimum,2,mm,Callitris endlicheri,0563,NA
Callitris gracilis,leaf_length,minimum,2,mm,Callitris gracilis,0565,NA
Callitris gracilis,leaf_length,maximum,4,mm,Callitris gracilis,0565,NA
Callitris intratropica,leaf_length,minimum,2,mm,Callitris intratropica,0568,NA
Carnarvonia araliifolia var. araliifolia,leaf_length,minimum,50,mm,Carnarvonia araliifolia var. araliifolia,0603,NA
Carnarvonia araliifolia var. araliifolia,leaf_length,maximum,120,mm,Carnarvonia araliifolia var. araliifolia,0603,NA
Carnarvonia araliifolia var. montana,leaf_length,minimum,40,mm,Carnarvonia araliifolia var. montana,0604,NA
Carnarvonia araliifolia var. montana,leaf_length,maximum,80,mm,Carnarvonia araliifolia var. montana,0604,NA
Cassia tomentella,leaf_width,minimum,20,mm,Cassia brewsteri var. tomentella,0611,NA
Cassytha muelleri,leaf_length,minimum,0.5,mm,Cassytha muelleri,0633,NA
Cassytha muelleri,leaf_length,maximum,1.5,mm,Cassytha muelleri,0633,NA
Cassytha muelleri,leaf_width,minimum,0.8,mm,Cassytha muelleri,0633,NA
Cassytha muelleri,leaf_width,maximum,0.8,mm,Cassytha muelleri,0633,NA
Cassytha racemosa,leaf_length,minimum,1.5,mm,Cassytha racemosa,0641,NA
Cassytha racemosa,leaf_length,maximum,2.5,mm,Cassytha racemosa,0641,NA
Cassytha racemosa,leaf_width,minimum,0.5,mm,Cassytha racemosa,0641,NA
Cassytha racemosa,leaf_width,maximum,0.8,mm,Cassytha racemosa,0641,NA
Chamaecrista longipes,plant_height,maximum,0.3,m,Chamaecrista longipes,0677,NA
Chamaescilla corymbosa,plant_height,maximum,0.4,m,Chamaescilla corymbosa,0681,NA
Chamaescilla corymbosa var. paradoxa,plant_height,maximum,0.2,m,Chamaescilla corymbosa var. paradoxa,0684,NA
Chamaescilla spiralis,plant_height,maximum,0.4,m,Chamaescilla spiralis,0685,NA
Chamaexeros fimbriata,plant_height,maximum,0.7,m,Chamaexeros fimbriata,0686,NA
Choretrum glomeratum,leaf_length,minimum,1,mm,Choretrum glomeratum,0690,NA
Choretrum pauciflorum,leaf_length,minimum,0.5,mm,Choretrum pauciflorum,0694,NA
Conospermum acerosum,leaf_length,minimum,100,mm,Conospermum acerosum,0718,NA
Conospermum capitatum subsp. capitatum,leaf_width,maximum,2,mm,Conospermum capitatum subsp. capitatum,0742,NA
Conospermum capitatum subsp. glabratum,leaf_width,minimum,2,mm,Conospermum capitatum subsp. glabratum,0743,NA
Conospermum capitatum subsp. glabratum,leaf_width,maximum,2,mm,Conospermum capitatum subsp. glabratum,0743,NA
Conospermum capitatum subsp. velutinum,plant_height,maximum,0.5,m,Conospermum capitatum subsp. velutinum,0744,NA
Conospermum galeatum,leaf_width,minimum,0.5,mm,Conospermum galeatum,0768,NA
Conospermum longifolium subsp. angustifolium,leaf_width,maximum,4,mm,Conospermum longifolium subsp. angustifolium,0777,NA
Conospermum longifolium subsp. longifolium,leaf_width,maximum,8,mm,Conospermum longifolium subsp. longifolium,0778,NA
Conostylis aculeata,plant_height,maximum,0.6,m,Conostylis aculeata,0806,NA
Conostylis aculeata subsp. aculeata,plant_height,maximum,0.1,m,Conostylis aculeata subsp. aculeata,0807,NA
Conostylis aculeata subsp. breviflora,plant_height,maximum,0.16,m,Conostylis aculeata subsp. breviflora,0808,NA
Conostylis aculeata subsp. cygnorum,plant_height,maximum,0.09,m,Conostylis aculeata subsp. cygnorum,0810,NA
Conostylis aculeata subsp. echinissima,leaf_width,minimum,1,mm,Conostylis aculeata subsp. echinissima,0811,NA
Conostylis aculeata subsp. echinissima,plant_height,maximum,0.09,m,Conostylis aculeata subsp. echinissima,0811,NA
Conostylis aculeata subsp. gracilis,plant_height,maximum,0.1,m,Conostylis aculeata subsp. gracilis,0812,NA
Conostylis aculeata subsp. preissii,plant_height,maximum,0.15,m,Conostylis aculeata subsp. preissii,0813,NA
Conostylis aculeata subsp. rhipidion,plant_height,maximum,0.15,m,Conostylis aculeata subsp. rhipidion,0814,NA
Conostylis aculeata subsp. septentrionora,plant_height,maximum,0.09,m,Conostylis aculeata subsp. septentrionora,0815,NA
Conostylis aculeata subsp. spinuligera,plant_height,maximum,0.09,m,Conostylis aculeata subsp. spinuligera,0816,NA
Conostylis albescens,plant_height,maximum,0.17,m,Conostylis albescens,0817,NA
Conostylis androstemma,leaf_width,minimum,1,mm,Conostylis androstemma,0818,NA
Conostylis angustifolia,plant_height,maximum,0.4,m,Conostylis angustifolia,0819,NA
Conostylis argentea,plant_height,maximum,0.25,m,Conostylis argentea,0820,NA
Conostylis aurea,plant_height,maximum,0.4,m,Conostylis aurea,0821,NA
Conostylis bealiana,plant_height,maximum,0.15,m,Conostylis bealiana,0822,NA
Conostylis breviscapa,plant_height,maximum,0.33,m,Conostylis breviscapa,0824,NA
Conostylis candicans subsp. candicans,plant_height,maximum,0.3,m,Conostylis candicans subsp. candicans,0827,NA
Conostylis candicans subsp. flavifolia,plant_height,maximum,0.12,m,Conostylis candicans subsp. flavifolia,0828,NA
Conostylis candicans subsp. procumbens,plant_height,maximum,0.12,m,Conostylis candicans subsp. procumbens,0829,NA
Conostylis canteriata,plant_height,maximum,0.2,m,Conostylis canteriata,0830,NA
Conostylis caricina,plant_height,maximum,0.3,m,Conostylis caricina,0831,NA
Conostylis crassinerva,plant_height,maximum,0.18,m,Conostylis crassinerva,0834,NA
Conostylis dielsii,plant_height,maximum,0.33,m,Conostylis dielsii,0838,NA
Conostylis dielsii subsp. teres,leaf_width,minimum,1,mm,Conostylis dielsii subsp. teres,0840,NA
Conostylis dielsii subsp. teres,plant_height,maximum,0.15,m,Conostylis dielsii subsp. teres,0840,NA
Conostylis drummondii,plant_height,maximum,0.3,m,Conostylis drummondii,0841,NA
Conostylis festucacea,plant_height,maximum,0.4,m,Conostylis festucacea,0842,NA
Conostylis hiemalis,plant_height,maximum,0.18,m,Conostylis hiemalis,0845,NA
Conostylis juncea,plant_height,maximum,0.4,m,Conostylis juncea,0846,NA
Conostylis latens,plant_height,maximum,0.27,m,Conostylis latens,0847,NA
Conostylis lepidospermoides,plant_height,maximum,0.36,m,Conostylis lepidospermoides,0849,NA
Conostylis micrantha,plant_height,maximum,0.24,m,Conostylis micrantha,0850,NA
Conostylis misera,plant_height,maximum,0.18,m,Conostylis misera,0851,NA
Conostylis neocymosa,plant_height,maximum,0.25,m,Conostylis neocymosa,0852,NA
Conostylis pauciflora,plant_height,maximum,0.15,m,Conostylis pauciflora,0853,NA
Conostylis petrophiloides,plant_height,maximum,0.3,m,Conostylis petrophiloides,0856,NA
Conostylis phathyrantha,plant_height,maximum,0.3,m,Conostylis phathyrantha,0857,NA
Conostylis prolifera,plant_height,maximum,0.06,m,Conostylis prolifera,0858,NA
Conostylis robusta,plant_height,maximum,0.4,m,Conostylis robusta,0861,NA
Conostylis rogeri,plant_height,maximum,0.05,m,Conostylis rogeri,0862,NA
Conostylis seminuda,plant_height,maximum,0.3,m,Conostylis seminuda,0863,NA
Conostylis seorsiflora,plant_height,maximum,0.16,m,Conostylis seorsiflora,0864,NA
Conostylis seorsiflora subsp. longissima,plant_height,maximum,0.1,m,Conostylis seorsiflora subsp. longissima,0865,NA
Conostylis seorsiflora subsp. seorsiflora,plant_height,maximum,0.1,m,Conostylis seorsiflora subsp. seorsiflora,0866,NA
Conostylis seorsiflora subsp. trichophylla,plant_height,maximum,0.1,m,Conostylis seorsiflora subsp. trichophylla,0867,NA
Conostylis serrulata,plant_height,maximum,0.4,m,Conostylis serrulata,0868,NA
Conostylis setosa,plant_height,maximum,0.3,m,Conostylis setosa,0872,NA
Conostylis teretifolia,plant_height,maximum,0.17,m,Conostylis teretifolia,0874,NA
Conostylis teretiuscula,plant_height,maximum,0.4,m,Conostylis teretiuscula,0877,NA
Conostylis tomentosa,plant_height,maximum,0.2,m,Conostylis tomentosa,0878,NA
Conostylis vaginata,plant_height,maximum,0.15,m,Conostylis vaginata,0879,NA
Conostylis villosa,plant_height,maximum,0.2,m,Conostylis villosa,0880,NA
Conostylis wonganensis,plant_height,maximum,0.17,m,Conostylis wonganensis,0881,NA
Corynocarpus rupestris,plant_height,maximum,12,m,Corynocarpus rupestris,0897,NA
Corynocarpus rupestris subsp. rupestris,plant_height,maximum,5,m,Corynocarpus rupestris subsp. rupestris,0899,NA
Corynotheca asperata,plant_height,maximum,0.6,m,Corynotheca asperata,0900,NA
Corynotheca flexuosissima,plant_height,maximum,0.6,m,Corynotheca flexuosissima,0901,NA
Corynotheca lateriflora,plant_height,maximum,0.75,m,Corynotheca lateriflora,0902,NA
Corynotheca licrota,plant_height,maximum,0.7,m,Corynotheca licrota,0903,NA
Corynotheca pungens,plant_height,maximum,1,m,Corynotheca pungens,0911,NA
Crinum pedunculatum,leaf_length,minimum,1000,mm,Crinum pedunculatum,0916,NA
Crinum pedunculatum,leaf_width,minimum,100,mm,Crinum pedunculatum,0916,NA
Cupaniopsis serrata,leaf_width,minimum,25,mm,Cupaniopsis serrata,0979,NA
Cupaniopsis wadsworthii,leaf_length,minimum,13,mm,Cupaniopsis wadsworthii,0982,NA
Cupaniopsis wadsworthii,leaf_width,minimum,13,mm,Cupaniopsis wadsworthii,0982,NA
Curculigo ensifolia var. longifolia,leaf_length,minimum,500,mm,Curculigo ensifolia var. longifolia,0985,NA
Curcuma australasica,leaf_length,minimum,450,mm,Curcuma australasica,0986,NA
Curcuma australasica,leaf_width,minimum,190,mm,Curcuma australasica,0986,NA
