species_name,leaf_length_min_GrassBase_2014,leaf_length_min_Metcalfe_2020_2,leaf_length_min_SAH_2014,leaf_length_min_Wheeler_2002,leaf_length_min_to_keep,original_name
Axonopus compressus,NA,30,NA,NA,keep,Axonopus compressus
Axonopus fissifolius,NA,45,NA,NA,keep,Axonopus fissifolius
Bambusa balcooa,NA,150,NA,NA,keep,Bambusa balcooa
Bambusa moreheadiana,300,170,NA,NA,keep,Bambusa moreheadiana
Bambusa vulgaris,NA,150,NA,NA,keep,Bambusa vulgaris
Bothriochloa bladhii,100,100,NA,NA,omit,Bothriochloa bladhii
Bothriochloa bladhii,100,100,NA,NA,omit,Bothriochloa bladhii subsp. bladhii
Bothriochloa bladhii,100,100,NA,NA,omit,Bothriochloa bladhii subsp. glabra
Bothriochloa decipiens,60,60,NA,NA,omit,Bothriochloa decipiens
Bothriochloa decipiens,60,60,NA,NA,omit,Bothriochloa decipiens var. decipiens
Bothriochloa decipiens,60,60,NA,NA,omit,Bothriochloa decipiens var. cloncurrensis
Bothriochloa erianthoides,70,70,NA,NA,omit,Bothriochloa erianthoides
Bothriochloa ewartiana,70,70,NA,NA,omit,Bothriochloa ewartiana
Bothriochloa macra,NA,50,NA,NA,keep,Bothriochloa macra
Bothriochloa pertusa,NA,50,NA,NA,keep,Bothriochloa pertusa
Brachiaria atrisola,30,30,NA,NA,omit,Urochloa atrisola
Brachiaria brizantha,NA,30,NA,NA,keep,Urochloa brizantha
Brachiaria decumbens,NA,50,NA,NA,keep,Urochloa decumbens
Brachiaria distachya,18,18,NA,NA,omit,Urochloa distachya
Brachiaria foliosa,40,40,NA,NA,omit,Urochloa foliosa
Brachiaria gilesii,NA,20,NA,NA,keep,Urochloa gilesii
Brachiaria holosericea,NA,10,NA,NA,keep,Urochloa holosericea
Brachiaria holosericea,NA,10,NA,NA,keep,Urochloa holosericea subsp. holosericea
Brachiaria holosericea subsp. velutina,10,10,NA,NA,omit,Urochloa holosericea subsp. velutina
Brachiaria humidicola,NA,40,NA,NA,keep,Urochloa humidicola
Brachiaria kurzii,20,20,NA,NA,omit,Urochloa kurzii
Brachiaria mutica,NA,60,NA,NA,keep,Urochloa mutica
Brachiaria piligera,NA,40,NA,NA,keep,Urochloa piligera
Brachiaria polyphylla,NA,20,NA,NA,keep,Urochloa polyphylla
Brachiaria praetervisa,NA,400,3,NA,keep,Urochloa praetervisa
Brachiaria pubigera,NA,30,NA,NA,keep,Urochloa pubigera
Brachiaria ramosa,NA,20,NA,NA,keep,Urochloa ramosa
Brachiaria reptans,15,15,NA,NA,omit,Urochloa reptans
Brachiaria subquadripara,NA,20,NA,NA,keep,Urochloa subquadripara
Brachiaria whiteana,40,40,NA,NA,omit,Urochloa whiteana
Brachyachne convergens,30,30,NA,NA,omit,Brachyachne convergens
Brachyachne tenella,50,50,NA,NA,omit,Brachyachne tenella
Briza minor,NA,30,NA,NA,keep,Briza minor
Calyptochloa gracillima,12,12,NA,NA,omit,Calyptochloa gracillima
Capillipedium parviflorum,100,100,NA,NA,omit,Capillipedium parviflorum
Capillipedium spicigerum,100,200,NA,NA,keep,Capillipedium spicigerum
Cenchrus caliculatus,140,50,NA,NA,keep,Cenchrus caliculatus
Cenchrus ciliaris,NA,30,NA,NA,keep,Cenchrus ciliaris
Cenchrus echinatus,NA,40,NA,NA,keep,Cenchrus echinatus
Cenchrus elymoides,140,140,NA,NA,omit,Cenchrus elymoides var. elymoides
Cenchrus pennisetiformis,NA,20,NA,NA,keep,Cenchrus pennisetiformis
Cenchrus robustus,60,60,NA,NA,omit,Cenchrus robustus
Cenchrus setiger,NA,20,NA,NA,keep,Cenchrus setiger
Centotheca lappacea,80,80,NA,NA,omit,Centotheca lappacea
Centotheca philippinensis,25,25,NA,NA,omit,Centotheca philippinensis
Chionachne cyathopoda,130,130,NA,NA,omit,Chionachne cyathopoda
Chionachne hubbardiana,60,150,NA,NA,keep,Chionachne hubbardiana
Chloris barbata,NA,40,NA,NA,keep,Chloris inflata
Chloris divaricata,30,30,NA,NA,omit,Chloris divaricata
Chloris divaricata,30,30,NA,NA,omit,Chloris divaricata var. divaricata
Chloris divaricata,30,30,NA,NA,omit,Chloris divaricata var. cynodontoides
Chloris gayana,NA,140,NA,NA,keep,Chloris gayana
Chloris lobata,10,80,NA,NA,keep,Chloris lobata
Chloris pectinata,50,50,NA,NA,omit,Chloris pectinata
Chloris pumilio,70,70,NA,NA,omit,Chloris pumilio
Chloris ventricosa,40,50,NA,NA,keep,Chloris ventricosa
Chloris virgata,NA,100,NA,NA,keep,Chloris virgata
Chrysopogon aciculatus,NA,10,NA,NA,keep,Chrysopogon aciculatus
Chrysopogon benthamianus,NA,50,NA,NA,keep,Chrysopogon fallax
Chrysopogon filipes,150,150,NA,NA,omit,Chrysopogon filipes
Chrysopogon oliganthus,250,250,NA,NA,omit,Chrysopogon oliganthus
Chrysopogon pallidus,200,200,NA,NA,omit,Chrysopogon pallidus
Chrysopogon setifolius,80,80,NA,NA,omit,Chrysopogon setifolius
Chrysopogon sylvaticus,250,250,NA,NA,omit,Chrysopogon sylvaticus
Chrysopogon zizanioides,NA,300,NA,NA,keep,Chrysopogon zizanioides
Cleistochloa sclerachne,45,45,NA,NA,omit,Cleistochloa sclerachne
Cleistochloa subjuncea,10,10,NA,NA,omit,Cleistochloa subjuncea
Coelachne pulchella,NA,8,NA,NA,keep,Coelachne pulchella
Coelorachis rottboellioides,NA,200,NA,NA,keep,Mnesithea rottboellioides
Coix gasteenii,90,90,NA,NA,omit,Coix gasteenii
Cymbopogon ambiguus,150,150,NA,NA,omit,Cymbopogon ambiguus
Cymbopogon bombycinus,150,150,NA,NA,omit,Cymbopogon bombycinus
Cymbopogon caesius,NA,50,NA,NA,keep,Cymbopogon caesius
Cymbopogon globosus,300,300,NA,NA,omit,Cymbopogon globosus
Cymbopogon gratus,100,100,NA,NA,omit,Cymbopogon gratus
Cymbopogon obtectus,150,150,NA,NA,omit,Cymbopogon obtectus
Cymbopogon queenslandicus,150,150,NA,NA,omit,Cymbopogon queenslandicus
Cymbopogon refractus,100,100,NA,NA,omit,Cymbopogon refractus
Cynodon aethiopicus,NA,30,NA,NA,keep,Cynodon aethiopicus
Cynodon dactylon,NA,10,NA,NA,keep,Cynodon dactylon var. dactylon
Cynodon nlemfuensis,NA,50,NA,NA,keep,Cynodon nlemfuensis var. nlemfuensis
Cynodon radiatus,NA,40,NA,NA,keep,Cynodon radiatus
Cyrtococcum capitis-york,NA,25,NA,NA,keep,Cyrtococcum capitis-york
Cyrtococcum oxyphyllum,20,20,NA,NA,omit,Cyrtococcum oxyphyllum
Dactyloctenium aegyptium,NA,30,NA,NA,keep,Dactyloctenium aegyptium
Dactyloctenium australe,NA,50,NA,NA,keep,Dactyloctenium australe
Dactyloctenium buchananensis,15,40,NA,NA,keep,Dactyloctenium buchananensis
Dactyloctenium radulans,40,40,NA,NA,omit,Dactyloctenium radulans
Dichanthium annulatum,NA,30,NA,NA,keep,Dichanthium annulatum
Dichanthium aristatum,NA,30,NA,NA,keep,Dichanthium aristatum
Dichanthium caricosum,NA,30,NA,NA,keep,Dichanthium caricosum
Dichanthium fecundum,100,100,NA,NA,omit,Dichanthium fecundum
Dichanthium queenslandicum,90,90,NA,NA,omit,Dichanthium queenslandicum
Dichanthium sericeum,NA,80,NA,NA,keep,Dichanthium sericeum
Dichanthium sericeum,NA,80,NA,NA,keep,Dichanthium sericeum subsp. sericeum
Dichanthium sericeum subsp. humilius,80,80,NA,NA,omit,Dichanthium sericeum subsp. humilius
Dichanthium sericeum subsp. polystachyum,80,80,NA,NA,omit,Dichanthium sericeum subsp. polystachyum
Dichanthium setosum,70,70,NA,NA,omit,Dichanthium setosum
Dichanthium tenue,70,70,NA,NA,omit,Dichanthium tenue
Dichelachne micrantha,70,70,NA,NA,omit,Dichelachne micrantha
Digitaria ammophila,40,10,NA,NA,keep,Digitaria ammophila
Digitaria baileyi,30,30,NA,NA,omit,Digitaria baileyi
Digitaria bicornis,NA,10,NA,NA,keep,Digitaria bicornis
Digitaria breviglumis,25,30,NA,NA,keep,Digitaria breviglumis
Digitaria brownii,30,30,NA,NA,omit,Digitaria brownii
Digitaria ciliaris,NA,20,5,NA,keep,Digitaria ciliaris
Digitaria coenicola,NA,20,5,NA,keep,Digitaria coenicola
Digitaria ctenantha,NA,19,3,NA,keep,Digitaria ctenantha
Digitaria didactyla,NA,19,NA,NA,keep,Digitaria didactyla
Digitaria diffusa,15,10,NA,NA,keep,Digitaria diffusa
Digitaria divaricatissima,20,40,NA,NA,keep,Digitaria divaricatissima
Digitaria eriantha cv. Pangola,NA,50,NA,NA,keep,Digitaria eriantha cv. Pangola
Digitaria gibbosa,25,25,NA,NA,omit,Digitaria gibbosa
Digitaria hystrichoides,30,30,NA,NA,omit,Digitaria hystrichoides
Digitaria imbricata,20,20,NA,NA,omit,Digitaria imbricata
Digitaria leucostachya,50,50,NA,NA,omit,Digitaria leucostachya
Digitaria longiflora,25,25,NA,NA,omit,Digitaria longiflora
Digitaria milanjiana cv. Jarra,NA,150,NA,NA,keep,Digitaria milanjiana cv. Jarra
Digitaria minima,5,5,NA,NA,omit,Digitaria minima
Digitaria nematostachya,60,60,NA,NA,omit,Digitaria nematostachya
Digitaria orbata,60,60,NA,NA,omit,Digitaria orbata
Digitaria papposa,90,90,NA,NA,omit,Digitaria papposa
Digitaria parviflora,30,30,NA,NA,omit,Digitaria parviflora
Digitaria radicosa,NA,20,NA,NA,keep,Digitaria radicosa
Digitaria ramularis,50,50,NA,NA,omit,Digitaria ramularis
Digitaria setigera,30,30,NA,NA,omit,Digitaria setigera
Digitaria tonsa,NA,80,NA,NA,keep,Digitaria tonsa
Digitaria violascens,NA,30,NA,NA,keep,Digitaria violascens
Dimeria acinaciformis,10,10,NA,NA,omit,Dimeria acinaciformis
Dimeria chloridiformis,80,80,NA,NA,omit,Dimeria chloridiformis
Dimeria ornithopoda,5,5,NA,NA,omit,Dimeria ornithopoda
Echinochloa colona,NA,30,NA,NA,keep,Echinochloa colona
Echinochloa crus-galli,NA,5,NA,NA,keep,Echinochloa crus-galli
Echinochloa elliptica,70,70,NA,NA,omit,Echinochloa elliptica
Echinochloa frumentacea,NA,80,NA,NA,keep,Echinochloa frumentacea
Echinochloa inundata,100,100,NA,NA,omit,Echinochloa inundata
Echinochloa kimberleyensis,150,150,NA,NA,omit,Echinochloa kimberleyensis
Echinochloa oryzoides,NA,70,NA,NA,keep,Echinochloa oryzoides
Echinochloa polystachya cv. Amity,NA,250,NA,NA,keep,Echinochloa polystachya cv. Amity
Echinochloa telmatophila,100,100,NA,NA,omit,Echinochloa dietrichiana
Echinochloa telmatophila,100,100,NA,NA,omit,Echinochloa telmatophila
Echinochloa turneriana,50,50,NA,NA,omit,Echinochloa turneriana
Echinopogon nutans var. nutans,20,20,NA,NA,omit,Echinopogon nutans var. nutans
Ectrosia agrostoides,10,10,NA,NA,omit,Ectrosia agrostoides
Ectrosia anomala,30,30,NA,NA,omit,Ectrosia anomala
Ectrosia appressa,70,70,NA,NA,omit,Ectrosia appressa
Ectrosia blakei,50,50,NA,NA,omit,Ectrosia blakei
Ectrosia confusa,40,40,NA,NA,omit,Ectrosia confusa
Ectrosia danesii,40,40,NA,NA,omit,Ectrosia danesii
Ectrosia gulliveri,50,50,NA,NA,omit,Ectrosia gulliveri
Ectrosia laxa,70,70,NA,NA,omit,Ectrosia laxa
Ectrosia leporina,50,50,NA,NA,omit,Ectrosia leporina
Ectrosia nervilemma,20,20,NA,NA,omit,Ectrosia nervilemma
Ectrosia scabrida,60,60,NA,NA,omit,Ectrosia scabrida
Ectrosia schultzii,100,100,NA,NA,omit,Ectrosia schultzii
Ectrosia schultzii var. annua,30,100,NA,NA,keep,Ectrosia schultzii var. annua
Ectrosia schultzii var. schultzii,30,100,NA,NA,keep,Ectrosia schultzii var. schultzii
Ectrosiopsis lasioclada,100,100,NA,NA,omit,Ectrosia lasioclada
Ehrharta stipoides,25,25,2,20,omit,Microlaena stipoides
Ehrharta stipoides,25,25,2,20,omit,Microlaena stipoides var. stipoides
Eleusine indica,NA,50,NA,NA,keep,Eleusine indica
Elionurus citreus,200,200,NA,NA,omit,Elionurus citreus
Elytrophorus spicatus,50,50,NA,NA,omit,Elytrophorus spicatus
Enneapogon truncatus,60,60,NA,NA,omit,Enneapogon truncatus
Enteropogon acicularis,50,50,NA,NA,omit,Enteropogon acicularis
Enteropogon dolichostachyus,80,80,NA,NA,omit,Enteropogon dolichostachyus
Enteropogon minutus,50,50,NA,NA,omit,Enteropogon minutus
Enteropogon paucispiceus,30,30,NA,NA,omit,Enteropogon paucispiceus
Enteropogon ramosus,30,30,NA,NA,omit,Enteropogon ramosus
Enteropogon unispiceus,30,30,NA,NA,omit,Enteropogon unispiceus
Entolasia marginata,30,30,NA,NA,omit,Entolasia marginata
Entolasia stricta,5,5,NA,NA,omit,Entolasia stricta
Entolasia whiteana,10,10,NA,NA,omit,Entolasia whiteana
Eragrostis advena,100,100,NA,NA,omit,Thellungia advena
Eragrostis amabilis,NA,20,NA,NA,keep,Eragrostis amabilis
Eragrostis basedowii,30,30,3,NA,omit,Eragrostis basedowii
Eragrostis brownii,100,100,NA,50,omit,Eragrostis brownii
Eragrostis capitula,120,120,NA,NA,omit,Eragrostis capitula
Eragrostis cilianensis,NA,50,NA,NA,keep,Eragrostis cilianensis
Eragrostis concinna,60,60,NA,NA,omit,Eragrostis concinna
Eragrostis cumingii,50,50,NA,NA,omit,Eragrostis cumingii
Eragrostis curvula,NA,100,NA,NA,keep,Eragrostis curvula
Eragrostis dielsii,40,40,NA,NA,omit,Eragrostis dielsii
Eragrostis elongata,100,100,10,100,omit,Eragrostis elongata
Eragrostis falcata,20,20,NA,NA,omit,Eragrostis falcata
Eragrostis fallax,150,150,NA,NA,omit,Eragrostis fallax
Eragrostis jacobsiana,50,50,NA,NA,omit,Eragrostis jacobsiana
Eragrostis lacunaria,20,20,2,NA,omit,Eragrostis lacunaria
Eragrostis leptocarpa,100,100,NA,NA,omit,Eragrostis leptocarpa
Eragrostis leptostachya,150,150,NA,NA,omit,Eragrostis leptostachya
Eragrostis longipedicellata,50,50,NA,NA,omit,Eragrostis longipedicellata
Eragrostis mexicana,NA,50,NA,NA,keep,Eragrostis mexicana
Eragrostis microcarpa,50,50,NA,NA,omit,Eragrostis microcarpa
Eragrostis minor,NA,30,NA,NA,keep,Eragrostis minor
Eragrostis parviflora,60,60,NA,NA,omit,Eragrostis parviflora
Eragrostis patula,NA,40,NA,NA,keep,Eragrostis tenuifolia
Eragrostis pergracilis,10,10,NA,NA,omit,Eragrostis pergracilis
Eragrostis pilosa,NA,20,NA,NA,keep,Eragrostis pilosa
Eragrostis pubescens,70,70,NA,NA,omit,Eragrostis pubescens
Eragrostis rigidiuscula,200,200,NA,NA,omit,Eragrostis rigidiuscula
Eragrostis schultzii,100,100,NA,NA,omit,Eragrostis schultzii
Eragrostis setifolia,40,40,NA,NA,omit,Eragrostis setifolia
Eragrostis speciosa,150,150,NA,NA,omit,Eragrostis speciosa
Eragrostis stenostachya,50,50,NA,NA,omit,Eragrostis stenostachya
Eragrostis sterilis,100,100,NA,NA,omit,Eragrostis sterilis
Eragrostis unioloides,30,30,NA,NA,omit,Eragrostis unioloides
Eragrostis xerophila,20,20,NA,NA,omit,Eragrostis xerophila
Eremochloa bimaculata,50,50,NA,NA,omit,Eremochloa bimaculata
Eremochloa muricata,10,10,NA,NA,omit,Eremochloa muricata
Eriachne aristidea,70,70,NA,NA,omit,Eriachne aristidea
Eriachne basalis,100,100,NA,NA,omit,Eriachne basalis
Eriachne benthamii,90,90,NA,NA,omit,Eriachne benthamii
Eriachne burkittii,100,100,NA,NA,omit,Eriachne burkittii
Eriachne filiformis,20,20,NA,NA,omit,Eriachne filiformis
Eriachne helmsii,25,25,2.5,NA,omit,Eriachne helmsii
Eriachne humilis,5,50,NA,NA,keep,Eriachne humilis
Eriachne insularis,50,50,NA,NA,omit,Eriachne insularis
Eriachne melicacea,30,30,NA,NA,omit,Eriachne melicacea
Eriachne mucronata,20,20,1,NA,omit,Eriachne mucronata
Eriachne obtusa,50,50,NA,NA,omit,Eriachne obtusa
Eriachne pallescens,50,50,NA,NA,omit,Eriachne pallescens
Eriachne rara,40,40,NA,NA,omit,Eriachne rara
Eriachne squarrosa,150,150,NA,NA,omit,Eriachne squarrosa
Eriachne stipacea,100,100,NA,NA,omit,Eriachne stipacea
Eriachne triodioides,100,100,NA,NA,omit,Eriachne triodioides
Eriachne triseta,50,50,NA,NA,omit,Eriachne triseta
Eriachne vesiculosa,150,150,NA,NA,omit,Eriachne vesiculosa
Eriochloa australiensis,20,20,NA,NA,omit,Eriochloa australiensis
Eriochloa crebra,40,40,NA,NA,omit,Eriochloa crebra
Eriochloa fatmensis,30,30,NA,NA,omit,Eriochloa fatmensis
Eriochloa meyeriana,NA,50,NA,NA,keep,Eriochloa meyeriana
Eriochloa procera,20,20,NA,NA,omit,Eriochloa procera
Eriochloa pseudoacrotricha,70,70,NA,NA,omit,Eriochloa pseudoacrotricha
Eulalia annua,30,30,NA,NA,omit,Eulalia annua
Eulalia aurea,30,30,NA,NA,omit,Eulalia aurea
Eulalia contorta,100,100,NA,NA,omit,Pseudopogonatherum contortum
Eulalia irritans,150,150,NA,NA,omit,Pseudopogonatherum irritans
Eulalia mackinlayi,150,150,NA,NA,omit,Eulalia mackinlayi
Eulalia trispicata,40,40,NA,NA,omit,Eulalia trispicata
Eustachys distichophylla,NA,90,NA,NA,keep,Eustachys distichophylla
Germainia grandiflora,70,70,NA,NA,omit,Germainia grandiflora
Hackelochloa granularis,NA,20,NA,NA,keep,Mnesithea granularis
Hemarthria uncinata,50,50,NA,50,omit,Hemarthria uncinata
Hemarthria uncinata,50,50,NA,50,omit,Hemarthria uncinata var. uncinata
Hemarthria uncinata,50,50,NA,50,omit,Hemarthria uncinata var. spathacea
Heterachne abortiva,50,50,NA,NA,omit,Heterachne abortiva
Heterachne gulliveri,35,35,NA,NA,omit,Heterachne gulliveri
Heteropogon contortus,30,30,NA,NA,omit,Heteropogon contortus
Heteropogon triticeus,200,200,NA,NA,omit,Heteropogon triticeus
Holcolemma dispar,20,20,NA,NA,omit,Holcolemma dispar
Holcus lanatus,NA,40,NA,NA,keep,Holcus lanatus
Hymenachne amplexicaulis,120,120,NA,NA,omit,Hymenachne acutigluma
Hyparrhenia filipendula,150,150,NA,NA,omit,Hyparrhenia filipendula
Hyparrhenia hirta,NA,20,10,NA,keep,Hyparrhenia hirta
Hyparrhenia rufa,NA,100,NA,NA,keep,Hyparrhenia rufa
Hyparrhenia rufa,NA,100,NA,NA,keep,Hyparrhenia rufa subsp. rufa
Hyparrhenia rufa,NA,100,NA,NA,keep,Hyparrhenia rufa subsp. altissima
Ichnanthus pallens,NA,20,NA,NA,keep,Ichnanthus pallens
Imperata cylindrica,NA,30,NA,NA,keep,Imperata cylindrica
Isachne confusa,7,7,NA,NA,omit,Isachne confusa
Isachne globosa,10,10,5,NA,omit,Isachne globosa
Isachne pulchella,NA,10,NA,NA,keep,Isachne pulchella
Isachne sp. (Cape Tribulation R.L.Jago 4560),NA,25,NA,NA,keep,Isachne sp. (Cape Tribulation R.L.Jago 4560)
Ischaemum australe,100,100,NA,NA,omit,Ischaemum australe
Ischaemum australe,100,100,NA,NA,omit,Ischaemum australe var. arundinaceum
Ischaemum australe,100,100,NA,NA,omit,Ischaemum australe var. villosum
Ischaemum australe var. australe,100,100,NA,NA,omit,Ischaemum australe var. australe
Ischaemum decumbens,10,10,NA,NA,omit,Ischaemum decumbens
Ischaemum fragile,60,60,NA,NA,omit,Ischaemum fragile
Ischaemum muticum,20,20,NA,NA,omit,Ischaemum muticum
Ischaemum rugosum,50,50,NA,NA,omit,Ischaemum rugosum
Ischaemum rugosum,50,50,NA,NA,omit,Ischaemum rugosum var. rugosum
Ischaemum rugosum,50,50,NA,NA,omit,Ischaemum rugosum var. segetum
Ischaemum triticeum,60,60,NA,NA,omit,Ischaemum triticeum
Ischaemum tropicum,80,80,NA,NA,omit,Ischaemum tropicum
Iseilema calvum,100,100,NA,NA,omit,Iseilema calvum
Iseilema ciliatum,60,60,NA,NA,omit,Iseilema ciliatum
Iseilema convexum,90,90,NA,NA,omit,Iseilema convexum
Iseilema fragile,30,30,NA,NA,omit,Iseilema fragile
Iseilema macratherum,100,100,NA,NA,omit,Iseilema macratherum
Iseilema membranaceum,20,20,NA,NA,omit,Iseilema membranaceum
Iseilema vaginiflorum,100,100,NA,NA,omit,Iseilema vaginiflorum
Iseilema windersii,80,80,NA,NA,omit,Iseilema windersii
Leersia hexandra,60,60,NA,NA,omit,Leersia hexandra
Leptaspis banksii,95,95,NA,NA,omit,Leptaspis banksii
Leptaspis tararaensis,100,100,NA,NA,omit,Scrotochloa tararaensis
Leptaspis urceolata,150,150,NA,NA,omit,Scrotochloa urceolata
Leptochloa asthenes,NA,17,NA,NA,keep,Leptochloa decipiens subsp. asthenes
Leptochloa decipiens,NA,17,NA,NA,keep,Leptochloa decipiens
Leptochloa decipiens,NA,17,NA,NA,keep,Leptochloa decipiens subsp. decipiens
Leptochloa digitata,50,50,NA,NA,omit,Leptochloa digitata
Leptochloa divaricatissima,30,30,NA,NA,omit,Leptochloa divaricatissima
Leptochloa fusca,250,140,NA,NA,keep,Leptochloa fusca
Leptochloa fusca,250,140,NA,NA,keep,Leptochloa fusca subsp. fusca
Leptochloa fusca subsp. uninervia,NA,140,NA,NA,keep,Leptochloa fusca subsp. uninervia
Leptochloa ligulata,150,140,NA,NA,keep,Leptochloa ligulata
Leptochloa neesii,100,50,NA,NA,keep,Leptochloa neesii
Leptochloa panicea subsp. brachiata,30,30,NA,NA,omit,Leptochloa panicea subsp. brachiata
Lepturus copeanus,35,35,NA,NA,omit,Lepturus copeanus
Lepturus minutus,3,3,NA,NA,omit,Lepturus minutus
Lepturus repens,30,30,NA,NA,omit,Lepturus repens
Lepturus xerophilus,25,25,NA,NA,omit,Lepturus xerophilus
Lolium perenne,NA,30,NA,NA,keep,Lolium perenne
Lophatherum gracile,80,80,NA,NA,omit,Lophatherum gracile
Melinis minutiflora,NA,50,NA,NA,keep,Melinis minutiflora
Melinis repens,NA,30,5,NA,keep,Melinis repens
Micraira subulifolia,5,5,NA,NA,omit,Micraira subulifolia
Microstegium nudum,NA,10,NA,NA,keep,Microstegium nudum
Mnesithea formosa,10,10,NA,NA,omit,Mnesithea formosa
Mnesithea pilosa,30,30,NA,NA,omit,Mnesithea pilosa
Neololeba atra,250,250,NA,NA,omit,Bambusa forbesii
Ophiuros exaltatus,500,500,NA,NA,omit,Ophiuros exaltatus
Oplismenus burmanni,NA,10,NA,NA,keep,Oplismenus burmannii
