species_name,leaf_width_max_GrassBase_2014,leaf_width_max_Metcalfe_2020_2,leaf_width_max_SAH_2014,leaf_width_max_Wheeler_2002,leaf_width_max_to_keep,original_name
Aristida macroclada,2.3,2.3,NA,NA,omit,Aristida macroclada subsp. macroclada
Aristida macroclada subsp. queenslandica,NA,2.3,NA,NA,keep,Aristida macroclada subsp. queenslandica
Aristida muricata,2,2,NA,NA,omit,Aristida muricata
Aristida nitidula,1,1,NA,NA,omit,Aristida nitidula
Aristida perniciosa,3,3,NA,NA,omit,Aristida perniciosa
Aristida personata,2.5,2.5,NA,NA,omit,Aristida personata
Aristida polyclados,1.8,1.8,NA,NA,omit,Aristida polyclados
Aristida pruinosa,4.5,4.5,NA,NA,omit,Aristida pruinosa
Aristida psammophila,1.5,1.5,NA,NA,omit,Aristida psammophila
Aristida queenslandica,2,2,NA,NA,omit,Aristida queenslandica
Aristida queenslandica,2,2,NA,NA,omit,Aristida queenslandica var. queenslandica
Aristida queenslandica var. dissimilis,NA,2,NA,NA,keep,Aristida queenslandica var. dissimilis
Aristida ramosa,2,2,NA,NA,omit,Aristida ramosa
Aristida schultzii,2,2,NA,NA,omit,Aristida schultzii
Aristida sciuroides,2,2,NA,NA,omit,Aristida sciuroides
Aristida spuria,0.5,0.5,NA,NA,omit,Aristida spuria
Aristida superpendens,1.2,1.2,NA,NA,omit,Aristida superpendens
Aristida thompsonii,0.7,0.75,NA,NA,keep,Aristida thompsonii
Aristida utilis,2,2,NA,NA,omit,Aristida utilis var. utilis
Aristida warburgii,1,1,NA,NA,omit,Aristida warburgii
Arthragrostis aristispicula,5.5,2.8,NA,NA,keep,Arthragrostis aristispicula
Arthragrostis deschampsioides,5,2.8,NA,NA,keep,Arthragrostis deschampsioides
Arthraxon hispidus,NA,25,NA,NA,keep,Arthraxon hispidus
Arundinella nepalensis,10,10,NA,NA,omit,Arundinella nepalensis
Arundinella setosa,5,5,NA,NA,omit,Arundinella setosa
Arundo donax,NA,70,70,NA,omit,Arundo donax var. donax
Astrebla elymoides,5,5,NA,NA,omit,Astrebla elymoides
Astrebla lappacea,5,5,NA,NA,omit,Astrebla lappacea
Astrebla pectinata,2.7,6,NA,NA,keep,Astrebla pectinata
Astrebla squarrosa,6,6,NA,NA,omit,Astrebla squarrosa
Avena sterilis subsp. ludoviciana,NA,18,NA,NA,keep,Avena sterilis subsp. ludoviciana
Axonopus compressus,NA,12,NA,NA,keep,Axonopus compressus
Axonopus fissifolius,NA,7,NA,NA,keep,Axonopus fissifolius
Bambusa balcooa,NA,50,NA,NA,keep,Bambusa balcooa
Bambusa moreheadiana,30,50,NA,NA,keep,Bambusa moreheadiana
Bambusa vulgaris,NA,45,NA,NA,keep,Bambusa vulgaris
Bothriochloa bladhii,12,12,8,NA,omit,Bothriochloa bladhii
Bothriochloa bladhii,12,12,8,NA,omit,Bothriochloa bladhii subsp. bladhii
Bothriochloa bladhii,12,12,8,NA,omit,Bothriochloa bladhii subsp. glabra
Bothriochloa decipiens,6,5,NA,NA,keep,Bothriochloa decipiens
Bothriochloa decipiens,6,5,NA,NA,keep,Bothriochloa decipiens var. decipiens
Bothriochloa decipiens,6,5,NA,NA,keep,Bothriochloa decipiens var. cloncurrensis
Bothriochloa erianthoides,8,8,NA,NA,omit,Bothriochloa erianthoides
Bothriochloa ewartiana,6,6,5,NA,omit,Bothriochloa ewartiana
Bothriochloa macra,NA,5.5,3,NA,keep,Bothriochloa macra
Bothriochloa pertusa,NA,5,NA,NA,keep,Bothriochloa pertusa
Brachiaria atrisola,10,10,NA,NA,omit,Urochloa atrisola
Brachiaria brizantha,NA,20,NA,NA,keep,Urochloa brizantha
Brachiaria decumbens,NA,15,NA,NA,keep,Urochloa decumbens
Brachiaria distachya,9,9,NA,NA,omit,Urochloa distachya
Brachiaria foliosa,22,22,NA,NA,omit,Urochloa foliosa
Brachiaria gilesii,NA,13,NA,NA,keep,Urochloa gilesii
Brachiaria holosericea,NA,7,NA,NA,keep,Urochloa holosericea
Brachiaria holosericea,NA,7,NA,NA,keep,Urochloa holosericea subsp. holosericea
Brachiaria holosericea subsp. velutina,7,7,NA,NA,omit,Urochloa holosericea subsp. velutina
Brachiaria humidicola,NA,10,NA,NA,keep,Urochloa humidicola
Brachiaria kurzii,18,18,NA,NA,omit,Urochloa kurzii
Brachiaria mutica,NA,15,NA,NA,keep,Urochloa mutica
Brachiaria piligera,NA,11,6,NA,keep,Urochloa piligera
Brachiaria polyphylla,NA,7,NA,NA,keep,Urochloa polyphylla
Brachiaria praetervisa,NA,13,15,NA,keep,Urochloa praetervisa
Brachiaria pubigera,NA,16,NA,NA,keep,Urochloa pubigera
Brachiaria ramosa,NA,14,NA,NA,keep,Urochloa ramosa
Brachiaria reptans,15,15,NA,NA,omit,Urochloa reptans
Brachiaria subquadripara,NA,10,NA,NA,keep,Urochloa subquadripara
Brachiaria whiteana,5,5,NA,NA,omit,Urochloa whiteana
Brachyachne convergens,3,3,NA,NA,omit,Brachyachne convergens
Brachyachne tenella,2,2,NA,NA,omit,Brachyachne tenella
Briza minor,NA,9,NA,NA,keep,Briza minor
Calyptochloa gracillima,6,6,NA,NA,omit,Calyptochloa gracillima
Capillipedium parviflorum,7,7,NA,NA,omit,Capillipedium parviflorum
Capillipedium spicigerum,7,7,NA,NA,omit,Capillipedium spicigerum
Cenchrus caliculatus,19,19,NA,NA,omit,Cenchrus caliculatus
Cenchrus ciliaris,NA,10,6,NA,keep,Cenchrus ciliaris
Cenchrus echinatus,NA,10,NA,NA,keep,Cenchrus echinatus
Cenchrus elymoides,10.2,10.2,NA,NA,omit,Cenchrus elymoides var. elymoides
Cenchrus pennisetiformis,NA,5,NA,NA,keep,Cenchrus pennisetiformis
Cenchrus robustus,7,7,NA,NA,omit,Cenchrus robustus
Cenchrus setiger,NA,7,NA,NA,keep,Cenchrus setiger
Centotheca lappacea,20,20,NA,NA,omit,Centotheca lappacea
Centotheca philippinensis,12,10,NA,NA,keep,Centotheca philippinensis
Chionachne cyathopoda,30,30,NA,NA,omit,Chionachne cyathopoda
Chionachne hubbardiana,15,15,NA,NA,omit,Chionachne hubbardiana
Chloris barbata,NA,5,NA,NA,keep,Chloris inflata
Chloris divaricata,2,2,NA,NA,omit,Chloris divaricata
Chloris divaricata,2,2,NA,NA,omit,Chloris divaricata var. divaricata
Chloris divaricata,2,2,NA,NA,omit,Chloris divaricata var. cynodontoides
Chloris gayana,NA,9,6,NA,keep,Chloris gayana
Chloris lobata,2,0.6,NA,NA,keep,Chloris lobata
Chloris pectinata,5,5,3,NA,omit,Chloris pectinata
Chloris pumilio,4,3,NA,NA,keep,Chloris pumilio
Chloris ventricosa,3,3,NA,NA,omit,Chloris ventricosa
Chloris virgata,NA,8,NA,NA,keep,Chloris virgata
Chrysopogon aciculatus,NA,5,NA,NA,keep,Chrysopogon aciculatus
Chrysopogon benthamianus,NA,7,NA,NA,keep,Chrysopogon fallax
Chrysopogon filipes,6,6,NA,NA,omit,Chrysopogon filipes
Chrysopogon oliganthus,5,5,NA,NA,omit,Chrysopogon oliganthus
Chrysopogon pallidus,6,6,NA,NA,omit,Chrysopogon pallidus
Chrysopogon setifolius,1,1,NA,NA,omit,Chrysopogon setifolius
Chrysopogon sylvaticus,6,6,NA,NA,omit,Chrysopogon sylvaticus
Chrysopogon zizanioides,NA,10,NA,NA,keep,Chrysopogon zizanioides
Cleistochloa sclerachne,6,6,NA,NA,omit,Cleistochloa sclerachne
Cleistochloa subjuncea,3,3,NA,NA,omit,Cleistochloa subjuncea
Coelachne pulchella,NA,5,NA,NA,keep,Coelachne pulchella
Coelorachis rottboellioides,NA,20,NA,NA,keep,Mnesithea rottboellioides
Coix gasteenii,23,23,NA,NA,omit,Coix gasteenii
Cymbopogon ambiguus,5,5,NA,NA,omit,Cymbopogon ambiguus
Cymbopogon bombycinus,4.5,4.5,NA,NA,omit,Cymbopogon bombycinus
Cymbopogon caesius,NA,10,NA,NA,keep,Cymbopogon caesius
Cymbopogon globosus,8,7,NA,NA,keep,Cymbopogon globosus
Cymbopogon gratus,4,4,NA,NA,omit,Cymbopogon gratus
Cymbopogon obtectus,3,3,NA,NA,omit,Cymbopogon obtectus
Cymbopogon queenslandicus,10,10,NA,NA,omit,Cymbopogon queenslandicus
Cymbopogon refractus,4,4,NA,NA,omit,Cymbopogon refractus
Cynodon aethiopicus,NA,7,NA,NA,keep,Cynodon aethiopicus
Cynodon dactylon,NA,4,NA,NA,keep,Cynodon dactylon var. dactylon
Cynodon nlemfuensis,NA,5,NA,NA,keep,Cynodon nlemfuensis var. nlemfuensis
Cynodon radiatus,NA,10,NA,NA,keep,Cynodon radiatus
Cyrtococcum capitis-york,NA,5,NA,NA,keep,Cyrtococcum capitis-york
Cyrtococcum oxyphyllum,15,15,NA,NA,omit,Cyrtococcum oxyphyllum
Dactyloctenium aegyptium,NA,7.5,NA,NA,keep,Dactyloctenium aegyptium
Dactyloctenium australe,NA,4.5,NA,NA,keep,Dactyloctenium australe
Dactyloctenium buchananensis,1.5,4,NA,NA,keep,Dactyloctenium buchananensis
Dactyloctenium radulans,4,4,NA,NA,omit,Dactyloctenium radulans
Dichanthium annulatum,NA,7,NA,NA,keep,Dichanthium annulatum
Dichanthium aristatum,NA,5,NA,NA,keep,Dichanthium aristatum
Dichanthium caricosum,NA,7,NA,NA,keep,Dichanthium caricosum
Dichanthium fecundum,5,5,NA,NA,omit,Dichanthium fecundum
Dichanthium queenslandicum,5,5,NA,NA,omit,Dichanthium queenslandicum
Dichanthium sericeum,NA,4,NA,NA,keep,Dichanthium sericeum
Dichanthium sericeum,NA,4,NA,NA,keep,Dichanthium sericeum subsp. sericeum
Dichanthium sericeum subsp. humilius,4,4,NA,NA,omit,Dichanthium sericeum subsp. humilius
Dichanthium sericeum subsp. polystachyum,4,4,NA,NA,omit,Dichanthium sericeum subsp. polystachyum
Dichanthium setosum,3.5,3.5,NA,NA,omit,Dichanthium setosum
Dichanthium tenue,3.5,3.5,NA,NA,omit,Dichanthium tenue
Dichelachne micrantha,5,5,5,3,omit,Dichelachne micrantha
Digitaria ammophila,7.5,7.5,NA,NA,omit,Digitaria ammophila
Digitaria baileyi,5,5,NA,NA,omit,Digitaria baileyi
Digitaria bicornis,NA,10,NA,NA,keep,Digitaria bicornis
Digitaria breviglumis,0.8,4,NA,NA,keep,Digitaria breviglumis
Digitaria brownii,7,7,NA,NA,omit,Digitaria brownii
Digitaria ciliaris,NA,10,8,NA,keep,Digitaria ciliaris
Digitaria coenicola,6,6,6,NA,omit,Digitaria coenicola
Digitaria ctenantha,NA,5,5,NA,omit,Digitaria ctenantha
Digitaria didactyla,NA,6,NA,NA,keep,Digitaria didactyla
Digitaria diffusa,3,5,NA,NA,keep,Digitaria diffusa
Digitaria divaricatissima,7,7,NA,NA,omit,Digitaria divaricatissima
Digitaria eriantha cv. Pangola,NA,7,NA,NA,keep,Digitaria eriantha cv. Pangola
Digitaria gibbosa,4,4,NA,NA,omit,Digitaria gibbosa
Digitaria hystrichoides,8,8,NA,NA,omit,Digitaria hystrichoides
Digitaria imbricata,3.1,3.1,NA,NA,omit,Digitaria imbricata
Digitaria leucostachya,8,8,NA,NA,omit,Digitaria leucostachya
Digitaria longiflora,5,5,NA,NA,omit,Digitaria longiflora
Digitaria milanjiana cv. Jarra,NA,13,NA,NA,keep,Digitaria milanjiana cv. Jarra
Digitaria minima,2,2,NA,NA,omit,Digitaria minima
Digitaria nematostachya,7,7,NA,NA,omit,Digitaria nematostachya
Digitaria orbata,5.5,7.5,NA,NA,keep,Digitaria orbata
Digitaria papposa,8,8,NA,NA,omit,Digitaria papposa
Digitaria parviflora,8,8,NA,NA,omit,Digitaria parviflora
Digitaria radicosa,NA,5,NA,NA,keep,Digitaria radicosa
Digitaria ramularis,5.5,5.5,NA,NA,omit,Digitaria ramularis
Digitaria setigera,13,13,NA,NA,omit,Digitaria setigera
Digitaria tonsa,NA,6.2,NA,NA,keep,Digitaria tonsa
Digitaria violascens,NA,7,NA,NA,keep,Digitaria violascens
Dimeria acinaciformis,2,2,NA,NA,omit,Dimeria acinaciformis
Dimeria chloridiformis,6,6,NA,NA,omit,Dimeria chloridiformis
Dimeria ornithopoda,3,3,NA,NA,omit,Dimeria ornithopoda
Echinochloa colona,NA,8,NA,NA,keep,Echinochloa colona
Echinochloa crus-galli,NA,20,NA,NA,keep,Echinochloa crus-galli
Echinochloa elliptica,15,15,NA,NA,omit,Echinochloa elliptica
Echinochloa frumentacea,NA,22,NA,NA,keep,Echinochloa frumentacea
Echinochloa inundata,15,15,12,NA,omit,Echinochloa inundata
Echinochloa kimberleyensis,15,15,NA,NA,omit,Echinochloa kimberleyensis
Echinochloa oryzoides,NA,12,NA,NA,keep,Echinochloa oryzoides
Echinochloa polystachya cv. Amity,NA,35,NA,NA,keep,Echinochloa polystachya cv. Amity
Echinochloa telmatophila,18,18,NA,NA,omit,Echinochloa dietrichiana
Echinochloa telmatophila,18,18,NA,NA,omit,Echinochloa telmatophila
Echinochloa turneriana,15,15,NA,NA,omit,Echinochloa turneriana
Echinopogon nutans var. nutans,6,8,NA,NA,keep,Echinopogon nutans var. nutans
Ectrosia agrostoides,2,2,NA,NA,omit,Ectrosia agrostoides
Ectrosia anomala,3,3,NA,NA,omit,Ectrosia anomala
Ectrosia appressa,4,4,NA,NA,omit,Ectrosia appressa
Ectrosia blakei,2.5,2.5,NA,NA,omit,Ectrosia blakei
Ectrosia confusa,2,2,NA,NA,omit,Ectrosia confusa
Ectrosia danesii,4,4,NA,NA,omit,Ectrosia danesii
Ectrosia gulliveri,4,4,NA,NA,omit,Ectrosia gulliveri
Ectrosia laxa,2.8,2.8,NA,NA,omit,Ectrosia laxa
Ectrosia leporina,4,4,NA,NA,omit,Ectrosia leporina
Ectrosia nervilemma,4,4,NA,NA,omit,Ectrosia nervilemma
Ectrosia ovata,2.5,4,NA,NA,keep,Ectrosia ovata
Ectrosia scabrida,3,3,NA,NA,omit,Ectrosia scabrida
Ectrosia schultzii,4.5,4.5,NA,NA,omit,Ectrosia schultzii
Ectrosia schultzii var. annua,4.5,4.5,NA,NA,omit,Ectrosia schultzii var. annua
Ectrosia schultzii var. schultzii,4.5,4.5,NA,NA,omit,Ectrosia schultzii var. schultzii
Ectrosiopsis lasioclada,3.1,3.1,NA,NA,omit,Ectrosia lasioclada
Ehrharta stipoides,5,10,NA,7,keep,Microlaena stipoides
Ehrharta stipoides,5,10,NA,7,keep,Microlaena stipoides var. stipoides
Eleusine indica,NA,8,NA,NA,keep,Eleusine indica
Elionurus citreus,5,5,NA,NA,omit,Elionurus citreus
Elytrophorus spicatus,0.7,6,NA,NA,keep,Elytrophorus spicatus
Enneapogon avenaceus,3,3,NA,NA,omit,Enneapogon avenaceus
Enneapogon cylindricus,2,2,NA,NA,omit,Enneapogon cylindricus
Enneapogon gracilis,2,2,NA,NA,omit,Enneapogon gracilis
Enneapogon intermedius,2,2,NA,NA,omit,Enneapogon intermedius
Enneapogon lindleyanus,4.4,4.4,NA,NA,omit,Enneapogon lindleyanus
Enneapogon nigricans,5,5,NA,NA,omit,Enneapogon nigricans
Enneapogon pallidus,3,3,NA,NA,omit,Enneapogon pallidus
Enneapogon polyphyllus,3,3,NA,NA,omit,Enneapogon polyphyllus
Enneapogon purpurascens,5,5,NA,NA,omit,Enneapogon purpurascens
Enneapogon robustissimus,5,5,NA,NA,omit,Enneapogon robustissimus
Enneapogon truncatus,3,3,NA,NA,omit,Enneapogon truncatus
Enneapogon virens,3,3,NA,NA,omit,Enneapogon virens
Enteropogon acicularis,4,4,NA,NA,omit,Enteropogon acicularis
Enteropogon dolichostachyus,8,8,NA,NA,omit,Enteropogon dolichostachyus
Enteropogon minutus,3.5,3.5,NA,NA,omit,Enteropogon minutus
Enteropogon paucispiceus,0.7,1.7,NA,NA,keep,Enteropogon paucispiceus
Enteropogon ramosus,5,5,NA,NA,omit,Enteropogon ramosus
Enteropogon unispiceus,1.5,1.5,NA,NA,omit,Enteropogon unispiceus
Entolasia marginata,15,15,NA,NA,omit,Entolasia marginata
Entolasia stricta,7,7,NA,NA,omit,Entolasia stricta
Entolasia whiteana,5,5,NA,NA,omit,Entolasia whiteana
Eragrostis advena,5,5,NA,NA,omit,Thellungia advena
Eragrostis amabilis,NA,3,NA,NA,keep,Eragrostis amabilis
Eragrostis basedowii,3.5,5,3.5,NA,keep,Eragrostis basedowii
Eragrostis brownii,3,3,2.5,2.5,omit,Eragrostis brownii
Eragrostis capitula,4,4,NA,NA,omit,Eragrostis capitula
Eragrostis cilianensis,NA,8,8,NA,omit,Eragrostis cilianensis
Eragrostis concinna,5,5,NA,NA,omit,Eragrostis concinna
Eragrostis cumingii,3.5,3.5,NA,NA,omit,Eragrostis cumingii
Eragrostis curvula,NA,3,3,NA,omit,Eragrostis curvula
Eragrostis dielsii,3.5,3.5,3.5,NA,omit,Eragrostis dielsii
Eragrostis elongata,0.4,0.4,4,4,omit,Eragrostis elongata
Eragrostis exigua,5,5,NA,NA,omit,Eragrostis exigua
Eragrostis falcata,1,1,NA,NA,omit,Eragrostis falcata
Eragrostis fallax,5,5,NA,NA,omit,Eragrostis fallax
Eragrostis filicaulis,NA,1,NA,NA,keep,Eragrostis filicaulis
Eragrostis interrupta,6,6,NA,NA,omit,Eragrostis interrupta
Eragrostis jacobsiana,3,3,NA,NA,omit,Eragrostis jacobsiana
Eragrostis lacunaria,2,2,NA,NA,omit,Eragrostis lacunaria
Eragrostis leptocarpa,3.8,3.8,3.8,NA,omit,Eragrostis leptocarpa
Eragrostis leptostachya,3,3,NA,NA,omit,Eragrostis leptostachya
Eragrostis longipedicellata,1,1,NA,NA,omit,Eragrostis longipedicellata
Eragrostis megalosperma,NA,2.5,NA,NA,keep,Eragrostis megalosperma
Eragrostis mexicana,NA,10,5.5,NA,keep,Eragrostis mexicana
Eragrostis microcarpa,2,2,NA,NA,omit,Eragrostis microcarpa
Eragrostis minor,NA,6,6,NA,omit,Eragrostis minor
Eragrostis parviflora,5,5,4.5,NA,omit,Eragrostis parviflora
Eragrostis patula,NA,4,NA,NA,keep,Eragrostis tenuifolia
Eragrostis pergracilis,1.5,1.5,1.5,NA,omit,Eragrostis pergracilis
Eragrostis pilosa,NA,4,NA,NA,keep,Eragrostis pilosa
Eragrostis pubescens,5.5,5.5,NA,NA,omit,Eragrostis pubescens
Eragrostis rigidiuscula,5,5,NA,NA,omit,Eragrostis rigidiuscula
Eragrostis schultzii,8,8,NA,NA,omit,Eragrostis schultzii
Eragrostis setifolia,2,2,NA,NA,omit,Eragrostis setifolia
Eragrostis sororia,3,3,NA,NA,omit,Eragrostis sororia
Eragrostis spartinoides,3,3,NA,NA,omit,Eragrostis spartinoides
Eragrostis speciosa,2,2,NA,NA,omit,Eragrostis speciosa
Eragrostis stagnalis,2.8,2.8,NA,NA,omit,Eragrostis stagnalis
Eragrostis stenostachya,2,2,NA,NA,omit,Eragrostis stenostachya
Eragrostis sterilis,2,2,NA,NA,omit,Eragrostis sterilis
Eragrostis subtilis,NA,1,NA,NA,keep,Eragrostis subtilis
Eragrostis tenellula,6,6,6,NA,omit,Eragrostis tenellula
Eragrostis triquetra,1.5,1.5,NA,NA,omit,Eragrostis triquetra
Eragrostis unioloides,5,5,NA,NA,omit,Eragrostis unioloides
Eragrostis xerophila,4.5,4.5,4.5,NA,omit,Eragrostis xerophila
Eremochloa bimaculata,5,5,NA,NA,omit,Eremochloa bimaculata
Eremochloa muricata,6,6,NA,NA,omit,Eremochloa muricata
Eriachne aristidea,6,6,NA,NA,omit,Eriachne aristidea
Eriachne armitii,6,6,NA,NA,omit,Eriachne armitii
Eriachne basalis,3,3,NA,NA,omit,Eriachne basalis
Eriachne benthamii,4.5,4.5,NA,NA,omit,Eriachne benthamii
Eriachne burkittii,5,5,NA,NA,omit,Eriachne burkittii
Eriachne ciliata,4,4,NA,NA,omit,Eriachne ciliata
Eriachne filiformis,0.5,0.5,NA,NA,omit,Eriachne filiformis
Eriachne glauca,5,5,NA,NA,omit,Eriachne glauca var. glauca
Eriachne glauca,5,5,NA,NA,omit,Eriachne glauca var. barbinodis
Eriachne helmsii,3,3,NA,NA,omit,Eriachne helmsii
Eriachne humilis,1,1,NA,NA,omit,Eriachne humilis
Eriachne insularis,2,2,NA,NA,omit,Eriachne insularis
Eriachne melicacea,2,2,NA,NA,omit,Eriachne melicacea
Eriachne mucronata,2,2,NA,NA,omit,Eriachne mucronata
Eriachne obtusa,4,4,NA,NA,omit,Eriachne obtusa
Eriachne pallescens,3.5,3.5,NA,NA,omit,Eriachne pallescens
Eriachne rara,3,3,NA,NA,omit,Eriachne rara
Eriachne squarrosa,5,5,NA,NA,omit,Eriachne squarrosa
Eriachne stipacea,7.5,7.5,NA,NA,omit,Eriachne stipacea
Eriachne triodioides,90,90,NA,NA,omit,Eriachne triodioides
Eriachne triseta,2,2,NA,NA,omit,Eriachne triseta
Eriachne vesiculosa,3,3,NA,NA,omit,Eriachne vesiculosa
Eriochloa australiensis,7,7,4,NA,omit,Eriochloa australiensis
Eriochloa crebra,7,7,5,NA,omit,Eriochloa crebra
Eriochloa fatmensis,10,10,NA,NA,omit,Eriochloa fatmensis
Eriochloa meyeriana,NA,15,NA,NA,keep,Eriochloa meyeriana
Eriochloa procera,8,8,NA,NA,omit,Eriochloa procera
Eriochloa pseudoacrotricha,7,7,4,NA,omit,Eriochloa pseudoacrotricha
Eulalia annua,3,3,NA,NA,omit,Eulalia annua
Eulalia aurea,6,6,NA,NA,omit,Eulalia aurea
Eulalia contorta,5,5,NA,NA,omit,Pseudopogonatherum contortum
Eulalia irritans,3,3,NA,NA,omit,Pseudopogonatherum irritans
Eulalia mackinlayi,6,6,NA,NA,omit,Eulalia mackinlayi
Eulalia trispicata,5,5,NA,NA,omit,Eulalia trispicata
Eustachys distichophylla,NA,20,15,NA,keep,Eustachys distichophylla
Germainia grandiflora,5,5,NA,NA,omit,Germainia grandiflora
Hackelochloa granularis,NA,12,NA,NA,keep,Mnesithea granularis
Hemarthria uncinata,5,5,4,5,omit,Hemarthria uncinata
Hemarthria uncinata,5,5,4,5,omit,Hemarthria uncinata var. uncinata
Hemarthria uncinata,5,5,4,5,omit,Hemarthria uncinata var. spathacea
Heterachne abortiva,4,4,NA,NA,omit,Heterachne abortiva
Heterachne gulliveri,3.5,3.5,NA,NA,omit,Heterachne gulliveri
Heteropogon contortus,8,8,NA,NA,omit,Heteropogon contortus
Heteropogon triticeus,16,16,NA,NA,omit,Heteropogon triticeus
Holcolemma dispar,3,3,NA,NA,omit,Holcolemma dispar
Holcus lanatus,NA,10,NA,NA,keep,Holcus lanatus
Hymenachne amplexicaulis,30,30,NA,NA,omit,Hymenachne acutigluma
Hyparrhenia filipendula,5,5,NA,NA,omit,Hyparrhenia filipendula
Hyparrhenia hirta,NA,4,5,NA,keep,Hyparrhenia hirta
Hyparrhenia rufa,NA,8,NA,NA,keep,Hyparrhenia rufa
Hyparrhenia rufa,NA,8,NA,NA,keep,Hyparrhenia rufa subsp. rufa
Hyparrhenia rufa,NA,8,NA,NA,keep,Hyparrhenia rufa subsp. altissima
Ichnanthus pallens,NA,25,NA,NA,keep,Ichnanthus pallens
Imperata cylindrica,NA,20,NA,NA,keep,Imperata cylindrica
Isachne confusa,10,10,NA,NA,omit,Isachne confusa
Isachne globosa,20,20,NA,NA,omit,Isachne globosa
Isachne pulchella,NA,10,NA,NA,keep,Isachne pulchella
Isachne sp. (Cape Tribulation R.L.Jago 4560),NA,13,NA,NA,keep,Isachne sp. (Cape Tribulation R.L.Jago 4560)
Ischaemum australe,5,5,NA,NA,omit,Ischaemum australe
Ischaemum australe,5,5,NA,NA,omit,Ischaemum australe var. arundinaceum
Ischaemum australe,5,5,NA,NA,omit,Ischaemum australe var. villosum
Ischaemum australe var. australe,5,5,NA,NA,omit,Ischaemum australe var. australe
Ischaemum decumbens,6,6,NA,NA,omit,Ischaemum decumbens
Ischaemum fragile,7,7,NA,NA,omit,Ischaemum fragile
Ischaemum muticum,14,14,NA,NA,omit,Ischaemum muticum
Ischaemum rugosum,15,15,NA,NA,omit,Ischaemum rugosum
Ischaemum rugosum,15,15,NA,NA,omit,Ischaemum rugosum var. rugosum
Ischaemum rugosum,15,15,NA,NA,omit,Ischaemum rugosum var. segetum
Ischaemum triticeum,12,12,NA,NA,omit,Ischaemum triticeum
Ischaemum tropicum,4,4,NA,NA,omit,Ischaemum tropicum
Iseilema calvum,6,6,NA,NA,omit,Iseilema calvum
Iseilema ciliatum,3,3,NA,NA,omit,Iseilema ciliatum
Iseilema convexum,5.5,5.5,NA,NA,omit,Iseilema convexum
Iseilema fragile,4,4,NA,NA,omit,Iseilema fragile
Iseilema macratherum,6,6,NA,NA,omit,Iseilema macratherum
Iseilema membranaceum,5,5,3,NA,omit,Iseilema membranaceum
