species_name,leaf_length_max_GrassBase_2014,leaf_length_max_Metcalfe_2020_2,leaf_length_max_SAH_2014,leaf_length_max_Wheeler_2002,leaf_length_max_to_keep,original_name
Cleistochloa sclerachne,120,120,NA,NA,omit,Cleistochloa sclerachne
Cleistochloa subjuncea,60,60,NA,NA,omit,Cleistochloa subjuncea
Coelachne pulchella,NA,30,NA,NA,keep,Coelachne pulchella
Coelorachis rottboellioides,NA,500,NA,NA,keep,Mnesithea rottboellioides
Coix gasteenii,1500,1500,NA,NA,omit,Coix gasteenii
Cymbopogon ambiguus,500,500,NA,NA,omit,Cymbopogon ambiguus
Cymbopogon bombycinus,400,400,NA,NA,omit,Cymbopogon bombycinus
Cymbopogon caesius,NA,300,NA,NA,keep,Cymbopogon caesius
Cymbopogon globosus,600,600,NA,NA,omit,Cymbopogon globosus
Cymbopogon gratus,200,200,NA,NA,omit,Cymbopogon gratus
Cymbopogon obtectus,350,350,NA,NA,omit,Cymbopogon obtectus
Cymbopogon queenslandicus,500,500,NA,NA,omit,Cymbopogon queenslandicus
Cymbopogon refractus,400,400,NA,NA,omit,Cymbopogon refractus
Cynodon aethiopicus,NA,260,NA,NA,keep,Cynodon aethiopicus
Cynodon dactylon,NA,120,NA,NA,keep,Cynodon dactylon var. dactylon
Cynodon nlemfuensis,NA,160,NA,NA,keep,Cynodon nlemfuensis var. nlemfuensis
Cynodon radiatus,NA,170,NA,NA,keep,Cynodon radiatus
Cyrtococcum capitis-york,NA,70,NA,NA,keep,Cyrtococcum capitis-york
Cyrtococcum oxyphyllum,200,200,NA,NA,omit,Cyrtococcum oxyphyllum
Dactyloctenium aegyptium,NA,250,NA,NA,keep,Dactyloctenium aegyptium
Dactyloctenium australe,NA,270,NA,NA,keep,Dactyloctenium australe
Dactyloctenium buchananensis,30,80,NA,NA,keep,Dactyloctenium buchananensis
Dactyloctenium radulans,80,80,NA,NA,omit,Dactyloctenium radulans
Dichanthium annulatum,NA,300,NA,NA,keep,Dichanthium annulatum
Dichanthium aristatum,NA,250,NA,NA,keep,Dichanthium aristatum
Dichanthium caricosum,NA,300,NA,NA,keep,Dichanthium caricosum
Dichanthium fecundum,250,250,NA,NA,omit,Dichanthium fecundum
Dichanthium queenslandicum,180,180,NA,NA,omit,Dichanthium queenslandicum
Dichanthium sericeum,NA,150,NA,NA,keep,Dichanthium sericeum
Dichanthium sericeum,NA,150,NA,NA,keep,Dichanthium sericeum subsp. sericeum
Dichanthium sericeum subsp. humilius,150,150,NA,NA,omit,Dichanthium sericeum subsp. humilius
Dichanthium sericeum subsp. polystachyum,150,150,NA,NA,omit,Dichanthium sericeum subsp. polystachyum
Dichanthium setosum,150,150,NA,NA,omit,Dichanthium setosum
Dichanthium tenue,150,150,NA,NA,omit,Dichanthium tenue
Dichelachne micrantha,230,230,230,200,omit,Dichelachne micrantha
Digitaria ammophila,200,200,NA,NA,omit,Digitaria ammophila
Digitaria baileyi,140,140,NA,NA,omit,Digitaria baileyi
Digitaria bicornis,NA,195,NA,NA,keep,Digitaria bicornis
Digitaria breviglumis,75,150,NA,NA,keep,Digitaria breviglumis
Digitaria brownii,120,120,NA,NA,omit,Digitaria brownii
Digitaria ciliaris,NA,250,150,NA,keep,Digitaria ciliaris
Digitaria coenicola,80,150,150,NA,omit,Digitaria coenicola
Digitaria ctenantha,NA,110,110,NA,omit,Digitaria ctenantha
Digitaria didactyla,NA,100,NA,NA,keep,Digitaria didactyla
Digitaria diffusa,80,80,NA,NA,omit,Digitaria diffusa
Digitaria divaricatissima,220,220,NA,NA,omit,Digitaria divaricatissima
Digitaria eriantha cv. Pangola,NA,200,NA,NA,keep,Digitaria eriantha cv. Pangola
Digitaria gibbosa,150,150,NA,NA,omit,Digitaria gibbosa
Digitaria hystrichoides,180,180,NA,NA,omit,Digitaria hystrichoides
Digitaria imbricata,75,75,NA,NA,omit,Digitaria imbricata
Digitaria leucostachya,250,250,NA,NA,omit,Digitaria leucostachya
Digitaria longiflora,130,130,NA,NA,omit,Digitaria longiflora
Digitaria milanjiana cv. Jarra,NA,300,NA,NA,keep,Digitaria milanjiana cv. Jarra
Digitaria minima,57,57,NA,NA,omit,Digitaria minima
Digitaria nematostachya,250,250,NA,NA,omit,Digitaria nematostachya
Digitaria orbata,250,300,NA,NA,keep,Digitaria orbata
Digitaria papposa,270,270,NA,NA,omit,Digitaria papposa
Digitaria parviflora,350,350,NA,NA,omit,Digitaria parviflora
Digitaria radicosa,NA,100,NA,NA,keep,Digitaria radicosa
Digitaria ramularis,250,250,NA,NA,omit,Digitaria ramularis
Digitaria setigera,250,250,NA,NA,omit,Digitaria setigera
Digitaria tonsa,NA,220,NA,NA,keep,Digitaria tonsa
Digitaria violascens,NA,250,NA,NA,keep,Digitaria violascens
Dimeria acinaciformis,40,40,NA,NA,omit,Dimeria acinaciformis
Dimeria chloridiformis,250,250,NA,NA,omit,Dimeria chloridiformis
Dimeria ornithopoda,70,70,NA,NA,omit,Dimeria ornithopoda
Echinochloa colona,NA,300,NA,NA,keep,Echinochloa colona
Echinochloa crus-galli,NA,350,NA,NA,keep,Echinochloa crus-galli
Echinochloa elliptica,500,500,NA,NA,omit,Echinochloa elliptica
Echinochloa frumentacea,NA,350,NA,NA,keep,Echinochloa frumentacea
Echinochloa inundata,400,400,500,NA,omit,Echinochloa inundata
Echinochloa kimberleyensis,420,420,NA,NA,omit,Echinochloa kimberleyensis
Echinochloa oryzoides,NA,350,NA,NA,keep,Echinochloa oryzoides
Echinochloa polystachya cv. Amity,NA,500,NA,NA,keep,Echinochloa polystachya cv. Amity
Echinochloa telmatophila,350,350,NA,NA,omit,Echinochloa dietrichiana
Echinochloa telmatophila,350,350,NA,NA,omit,Echinochloa telmatophila
Echinochloa turneriana,300,300,NA,NA,omit,Echinochloa turneriana
Echinopogon nutans var. nutans,150,170,NA,NA,keep,Echinopogon nutans var. nutans
Ectrosia agrostoides,90,90,NA,NA,omit,Ectrosia agrostoides
Ectrosia anomala,100,100,NA,NA,omit,Ectrosia anomala
Ectrosia appressa,130,130,NA,NA,omit,Ectrosia appressa
Ectrosia blakei,100,100,NA,NA,omit,Ectrosia blakei
Ectrosia confusa,80,80,NA,NA,omit,Ectrosia confusa
Ectrosia danesii,85,85,NA,NA,omit,Ectrosia danesii
Ectrosia gulliveri,120,120,NA,NA,omit,Ectrosia gulliveri
Ectrosia laxa,150,150,NA,NA,omit,Ectrosia laxa
Ectrosia leporina,120,120,NA,NA,omit,Ectrosia leporina
Ectrosia nervilemma,100,100,NA,NA,omit,Ectrosia nervilemma
Ectrosia scabrida,120,120,NA,NA,omit,Ectrosia scabrida
Ectrosia schultzii,230,230,NA,NA,omit,Ectrosia schultzii
Ectrosia schultzii var. annua,130,230,NA,NA,keep,Ectrosia schultzii var. annua
Ectrosia schultzii var. schultzii,230,230,NA,NA,omit,Ectrosia schultzii var. schultzii
Ectrosiopsis lasioclada,300,300,NA,NA,omit,Ectrosia lasioclada
Ehrharta stipoides,250,250,80,200,omit,Microlaena stipoides
Ehrharta stipoides,250,250,80,200,omit,Microlaena stipoides var. stipoides
Eleusine indica,NA,400,NA,NA,keep,Eleusine indica
Elionurus citreus,400,400,NA,NA,omit,Elionurus citreus
Elytrophorus spicatus,250,250,100,NA,omit,Elytrophorus spicatus
Enneapogon truncatus,240,240,NA,NA,omit,Enneapogon truncatus
Enteropogon acicularis,200,500,NA,NA,keep,Enteropogon acicularis
Enteropogon dolichostachyus,300,300,NA,NA,omit,Enteropogon dolichostachyus
Enteropogon minutus,150,150,NA,NA,omit,Enteropogon minutus
Enteropogon paucispiceus,100,100,NA,NA,omit,Enteropogon paucispiceus
Enteropogon ramosus,200,200,NA,NA,omit,Enteropogon ramosus
Enteropogon unispiceus,100,100,NA,NA,omit,Enteropogon unispiceus
Entolasia marginata,200,200,NA,NA,omit,Entolasia marginata
Entolasia stricta,100,100,NA,NA,omit,Entolasia stricta
Entolasia whiteana,100,100,NA,NA,omit,Entolasia whiteana
Eragrostis advena,300,300,NA,NA,omit,Thellungia advena
Eragrostis amabilis,NA,90,NA,NA,keep,Eragrostis amabilis
Eragrostis basedowii,100,260,100,NA,keep,Eragrostis basedowii
Eragrostis brownii,250,250,NA,150,omit,Eragrostis brownii
Eragrostis capitula,250,250,NA,NA,omit,Eragrostis capitula
Eragrostis cilianensis,NA,200,200,NA,omit,Eragrostis cilianensis
Eragrostis concinna,200,200,NA,NA,omit,Eragrostis concinna
Eragrostis cumingii,100,100,NA,NA,omit,Eragrostis cumingii
Eragrostis curvula,NA,300,300,NA,omit,Eragrostis curvula
Eragrostis dielsii,80,80,NA,NA,omit,Eragrostis dielsii
Eragrostis elongata,210,210,210,200,omit,Eragrostis elongata
Eragrostis falcata,80,80,NA,NA,omit,Eragrostis falcata
Eragrostis fallax,300,300,NA,NA,omit,Eragrostis fallax
Eragrostis interrupta,350,350,NA,NA,omit,Eragrostis interrupta
Eragrostis jacobsiana,90,90,NA,NA,omit,Eragrostis jacobsiana
Eragrostis lacunaria,70,70,70,NA,omit,Eragrostis lacunaria
Eragrostis leptocarpa,150,150,NA,NA,omit,Eragrostis leptocarpa
Eragrostis leptostachya,250,250,NA,NA,omit,Eragrostis leptostachya
Eragrostis longipedicellata,100,100,NA,NA,omit,Eragrostis longipedicellata
Eragrostis mexicana,NA,300,NA,NA,keep,Eragrostis mexicana
Eragrostis microcarpa,100,100,NA,NA,omit,Eragrostis microcarpa
Eragrostis minor,NA,120,120,NA,omit,Eragrostis minor
Eragrostis parviflora,300,300,NA,NA,omit,Eragrostis parviflora
Eragrostis patula,NA,300,NA,NA,keep,Eragrostis tenuifolia
Eragrostis pergracilis,50,50,NA,NA,omit,Eragrostis pergracilis
Eragrostis pilosa,NA,200,NA,NA,keep,Eragrostis pilosa
Eragrostis pubescens,150,150,NA,NA,omit,Eragrostis pubescens
Eragrostis rigidiuscula,300,300,NA,NA,omit,Eragrostis rigidiuscula
Eragrostis schultzii,300,300,NA,NA,omit,Eragrostis schultzii
Eragrostis setifolia,130,130,NA,NA,omit,Eragrostis setifolia
Eragrostis speciosa,250,250,220,NA,omit,Eragrostis speciosa
Eragrostis stenostachya,150,150,NA,NA,omit,Eragrostis stenostachya
Eragrostis sterilis,160,160,NA,NA,omit,Eragrostis sterilis
Eragrostis tenellula,300,300,300,NA,omit,Eragrostis tenellula
Eragrostis unioloides,100,100,NA,NA,omit,Eragrostis unioloides
Eragrostis xerophila,80,80,60,NA,omit,Eragrostis xerophila
Eremochloa bimaculata,120,120,NA,NA,omit,Eremochloa bimaculata
Eremochloa muricata,170,170,NA,NA,omit,Eremochloa muricata
Eriachne aristidea,190,190,NA,NA,omit,Eriachne aristidea
Eriachne basalis,200,200,NA,NA,omit,Eriachne basalis
Eriachne benthamii,180,180,NA,NA,omit,Eriachne benthamii
Eriachne burkittii,350,350,NA,NA,omit,Eriachne burkittii
Eriachne ciliata,50,400,NA,NA,keep,Eriachne ciliata
Eriachne filiformis,50,50,NA,NA,omit,Eriachne filiformis
Eriachne glauca,NA,2500,NA,NA,keep,Eriachne glauca var. glauca
Eriachne glauca,NA,2500,NA,NA,keep,Eriachne glauca var. barbinodis
Eriachne helmsii,160,160,100,NA,omit,Eriachne helmsii
Eriachne humilis,5,200,NA,NA,keep,Eriachne humilis
Eriachne insularis,80,80,NA,NA,omit,Eriachne insularis
Eriachne melicacea,150,150,NA,NA,omit,Eriachne melicacea
Eriachne mucronata,50,200,30,NA,keep,Eriachne mucronata
Eriachne obtusa,160,160,NA,NA,omit,Eriachne obtusa
Eriachne pallescens,180,180,NA,NA,omit,Eriachne pallescens
Eriachne rara,200,200,NA,NA,omit,Eriachne rara
Eriachne squarrosa,300,300,NA,NA,omit,Eriachne squarrosa
Eriachne stipacea,230,230,NA,NA,omit,Eriachne stipacea
Eriachne triodioides,400,400,NA,NA,omit,Eriachne triodioides
Eriachne triseta,250,250,NA,NA,omit,Eriachne triseta
Eriachne vesiculosa,300,300,NA,NA,omit,Eriachne vesiculosa
Eriochloa australiensis,170,170,NA,NA,omit,Eriochloa australiensis
Eriochloa crebra,250,250,NA,NA,omit,Eriochloa crebra
Eriochloa fatmensis,300,300,NA,NA,omit,Eriochloa fatmensis
Eriochloa meyeriana,NA,250,NA,NA,keep,Eriochloa meyeriana
Eriochloa procera,400,400,NA,NA,omit,Eriochloa procera
Eriochloa pseudoacrotricha,300,300,NA,NA,omit,Eriochloa pseudoacrotricha
Eulalia annua,70,70,NA,NA,omit,Eulalia annua
Eulalia aurea,300,300,NA,NA,omit,Eulalia aurea
Eulalia contorta,300,300,NA,NA,omit,Pseudopogonatherum contortum
Eulalia irritans,500,500,NA,NA,omit,Pseudopogonatherum irritans
Eulalia mackinlayi,350,350,NA,NA,omit,Eulalia mackinlayi
Eulalia trispicata,350,350,NA,NA,omit,Eulalia trispicata
Eustachys distichophylla,NA,400,NA,NA,keep,Eustachys distichophylla
Germainia grandiflora,300,300,NA,NA,omit,Germainia grandiflora
Hackelochloa granularis,NA,150,NA,NA,keep,Mnesithea granularis
Hemarthria uncinata,150,150,NA,150,omit,Hemarthria uncinata
Hemarthria uncinata,150,150,NA,150,omit,Hemarthria uncinata var. uncinata
Hemarthria uncinata,150,150,NA,150,omit,Hemarthria uncinata var. spathacea
Heterachne abortiva,180,180,NA,NA,omit,Heterachne abortiva
Heterachne gulliveri,160,160,NA,NA,omit,Heterachne gulliveri
Heteropogon contortus,300,300,NA,NA,omit,Heteropogon contortus
Heteropogon triticeus,800,800,NA,NA,omit,Heteropogon triticeus
Holcolemma dispar,100,100,NA,NA,omit,Holcolemma dispar
Holcus lanatus,NA,200,NA,NA,keep,Holcus lanatus
Hymenachne amplexicaulis,450,450,NA,NA,omit,Hymenachne acutigluma
Hyparrhenia filipendula,300,300,NA,NA,omit,Hyparrhenia filipendula
Hyparrhenia hirta,NA,300,300,NA,omit,Hyparrhenia hirta
Hyparrhenia rufa,NA,600,NA,NA,keep,Hyparrhenia rufa
Hyparrhenia rufa,NA,600,NA,NA,keep,Hyparrhenia rufa subsp. rufa
Hyparrhenia rufa,NA,600,NA,NA,keep,Hyparrhenia rufa subsp. altissima
Ichnanthus pallens,NA,110,NA,NA,keep,Ichnanthus pallens
Imperata cylindrica,NA,1000,NA,NA,keep,Imperata cylindrica
Isachne confusa,25,25,NA,NA,omit,Isachne confusa
Isachne globosa,140,140,80,NA,omit,Isachne globosa
Isachne pulchella,NA,50,NA,NA,keep,Isachne pulchella
Isachne sp. (Cape Tribulation R.L.Jago 4560),NA,55,NA,NA,keep,Isachne sp. (Cape Tribulation R.L.Jago 4560)
Ischaemum australe,200,200,NA,NA,omit,Ischaemum australe
Ischaemum australe,200,200,NA,NA,omit,Ischaemum australe var. arundinaceum
Ischaemum australe,200,200,NA,NA,omit,Ischaemum australe var. villosum
Ischaemum australe var. australe,200,200,NA,NA,omit,Ischaemum australe var. australe
Ischaemum decumbens,50,50,NA,NA,omit,Ischaemum decumbens
Ischaemum fragile,330,330,NA,NA,omit,Ischaemum fragile
Ischaemum muticum,150,150,NA,NA,omit,Ischaemum muticum
Ischaemum rugosum,300,300,NA,NA,omit,Ischaemum rugosum
Ischaemum rugosum,300,300,NA,NA,omit,Ischaemum rugosum var. rugosum
Ischaemum rugosum,300,300,NA,NA,omit,Ischaemum rugosum var. segetum
Ischaemum triticeum,330,330,NA,NA,omit,Ischaemum triticeum
Ischaemum tropicum,200,200,NA,NA,omit,Ischaemum tropicum
Iseilema calvum,250,250,NA,NA,omit,Iseilema calvum
Iseilema ciliatum,120,120,NA,NA,omit,Iseilema ciliatum
Iseilema convexum,180,180,NA,NA,omit,Iseilema convexum
Iseilema fragile,70,70,NA,NA,omit,Iseilema fragile
Iseilema macratherum,250,250,NA,NA,omit,Iseilema macratherum
Iseilema membranaceum,200,200,NA,NA,omit,Iseilema membranaceum
Iseilema vaginiflorum,200,200,NA,NA,omit,Iseilema vaginiflorum
Iseilema windersii,160,160,NA,NA,omit,Iseilema windersii
Leersia hexandra,200,200,NA,NA,omit,Leersia hexandra
Leptaspis banksii,390,390,NA,NA,omit,Leptaspis banksii
Leptaspis tararaensis,400,400,NA,NA,omit,Scrotochloa tararaensis
Leptaspis urceolata,250,250,NA,NA,omit,Scrotochloa urceolata
Leptochloa asthenes,NA,210,NA,NA,keep,Leptochloa decipiens subsp. asthenes
Leptochloa decipiens,NA,210,NA,NA,keep,Leptochloa decipiens
Leptochloa decipiens,NA,210,NA,NA,keep,Leptochloa decipiens subsp. decipiens
Leptochloa digitata,220,220,NA,NA,omit,Leptochloa digitata
Leptochloa divaricatissima,240,240,NA,NA,omit,Leptochloa divaricatissima
Leptochloa fusca,550,550,300,NA,omit,Leptochloa fusca
Leptochloa fusca,550,550,300,NA,omit,Leptochloa fusca subsp. fusca
Leptochloa fusca subsp. uninervia,NA,550,NA,NA,keep,Leptochloa fusca subsp. uninervia
Leptochloa ligulata,350,350,NA,NA,omit,Leptochloa ligulata
Leptochloa neesii,200,350,NA,NA,keep,Leptochloa neesii
Leptochloa panicea subsp. brachiata,250,350,NA,NA,keep,Leptochloa panicea subsp. brachiata
Lepturus copeanus,45,60,NA,NA,keep,Lepturus copeanus
Lepturus minutus,6,20,NA,NA,keep,Lepturus minutus
Lepturus repens,300,300,NA,NA,omit,Lepturus repens
Lepturus xerophilus,110,110,NA,NA,omit,Lepturus xerophilus
Lolium perenne,NA,200,200,NA,omit,Lolium perenne
Lophatherum gracile,200,200,NA,NA,omit,Lophatherum gracile
Melinis minutiflora,NA,200,NA,NA,keep,Melinis minutiflora
Melinis repens,NA,300,300,NA,omit,Melinis repens
Micraira subulifolia,10,15,NA,NA,keep,Micraira subulifolia
Microstegium nudum,NA,80,NA,NA,keep,Microstegium nudum
