PlantID,Order - APG,Family - APG,Family - BRI old,Family - BRI current,Genus - current,Genus - synonyms,Genus - synonyms,Genus - synonyms,Genus - synonyms,Species - current,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,current full name with authority,current full name without authority,Altitudinal_range_in_Aus_MIN(m),Altitudinal_range_in_Aus_Max(m),Latitudinal_limits_in_Aus_MIN,Latitudinal_limits_in_Aus_MAX,Longitudinal_limits_in_Aus_MIN,Longitudinal_limits_in_Aus_MAX,Endemicity_level,IUCN Conservation_status,EPBC Conservation_status,NCA Conservation_status,Growth Form,Growth Form,Growth Form,Raunkier_life_form,Raunkier_life_form,Raunkier_life_form,,Height_max (m),Clonality,Clonality,Physical_defence,Photosynthetic pathway,Photosynthetic pathway,Photosynthetic pathway,Specific_leaf_area,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Leaf_type,MIN _#_of_leaflets_in_array,MAX_#_of_leaflets_in_array,MIN length Leaflet (mm),MAX length Leaflet (mm),MIN width Leaflet (mm),MAX width Leaflet (mm),Laminar Unit Area (mm2),Leaf_phenology,Leaf_longevity,Leaf_fracture_toughness,Wood_density,1_Nutrient_uptake_strategy,1_Dispersal_mode,2_Dispersal_mode,Fruit_type,Fruit_functional_type ,Fruit_accessories,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Max_length_seed (mm),Min_breadth_seed (mm),Max_breadth_seed(mm),Min_width_seed (mm),Max_width_seed(mm),Seed_mass (g),Resprouting_capacity,Suckering_capacity,1_Pollination_syndrome,Nectar_volume,Nectar_concentration,Sex habit,Sex habit,Sex habit,Sex habit,Shade tolerance,References
5131,Poales,Poaceae,Poaceae,,Aristida,,,,,benthamii var. benthamii  ,,,,,,Aristida benthamii Henrard var. benthamii,Aristida benthamii var. benthamii,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.9,,,,C4,,,,200,250,3,3,simple,,,,,,,,405,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3,4,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/GrassBase/AusGrass/Watson & Dallwitz 1992
5132,Poales,Poaceae,Poaceae,,Aristida,,,,,benthamii var. spinulifera  ,,,,,,Aristida benthamii var. spinulifera B.K.Simon,Aristida benthamii var. spinulifera,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.9,,,,C4,,,,200,250,3,3,simple,,,,,,,,405,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3,4,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/GrassBase/AusGrass/Watson & Dallwitz 1992
5133,Poales,Poaceae,Poaceae,,Aristida,,,,,biglandulosa    ,biglandulosa var. laevis ,biglandulosa var. biglandulosa,,,,Aristida biglandulosa J.M.Black,Aristida biglandulosa,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.2,,,,C4,,,,150,300,3,5,simple,,,,,,,,540,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,7,8,,,,,,,,,,0.007667,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5134,Poales,Poaceae,Poaceae,,Aristida,,,,,blakei    ,,,,,,Aristida blakei B.K.Simon,Aristida blakei,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.9,,,,C4,,,,110,200,1,1.5,simple,,,,,,,,116.25,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5135,Poales,Poaceae,Poaceae,,Aristida,,,,,burraensis    ,,,,,,Aristida burraensis B.K.Simon,Aristida burraensis,,,,,,,Queensland,,,rare,Tussock,,,Hemicryophyte,,,,0.8,,,,C4,,,,70,140,1,1,simple,,,,,,,,63,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC/NCA 2006
5136,Poales,Poaceae,Poaceae,,Aristida,Chaetaria ,,,,calycina    ,glumaris ,calicina ,armata ,praealta ,,Aristida calycina R.Br.,Aristida calycina,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.28,,,,C4,,,,200,250,1,4,simple,,,,,,,,337.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3,5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5137,Poales,Poaceae,Poaceae,,Aristida,,,,,calycina var. calycina  ,,,,,,Aristida calycina R.Br. var. calycina,Aristida calycina var. calycina,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.28,,,,C4,,,,200,250,1,4,simple,,,,,,,,337.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3,5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5138,Poales,Poaceae,Poaceae,,Aristida,,,,,calycina var. praealta  ,,,,,,Aristida calycina var. praealta Domin,Aristida calycina var. praealta,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.28,,,,C4,,,,200,250,1,4,simple,,,,,,,,337.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3,5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5139,Poales,Poaceae,Poaceae,,Aristida,,,,,caput-medusae    ,ramosa var. compacta ,vagans var. compacta ,,,,Aristida caput-medusae Domin,Aristida caput-medusae,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.85,,,,C4,,,,20,40,0.5,1,simple,,,,,,,,13.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4,6.1,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5140,Poales,Poaceae,Poaceae,,Aristida,,,,,contorta    ,arenaria ,arenaria var. brevistipitata ,arenaria var. hirsuta ,arenarium ,,Aristida contorta F.Muell.,Aristida contorta,,,,,,,Australia,,,,Tussock,,,Therophyte,Hemicryophyte,,,0.44,,,,C4,,,,30,100,1,1,simple,,,,,,,,39,,,,,arbuscular mycorrhiza,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3,4.5,,,,,,,,,,0.002926,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC/Wang & Qiu 2006
5141,Poales,Poaceae,Poaceae,,Aristida,,,,,dominii    ,hirta ,,,,,Aristida dominii B.K.Simon,Aristida dominii,,,,,,,Australia,,,,Tussock,,,Therophyte,,,,0.5,,,,C4,,,,80,160,0.5,0.5,simple,,,,,,,,36,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4.5,5.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5142,Poales,Poaceae,Poaceae,,Aristida,,,,,exserta    ,,,,,,Aristida exserta S.T.Blake,Aristida exserta,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.75,,,,C4,,,,40,80,0.5,0.5,simple,,,,,,,,18,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5,6,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5143,Poales,Poaceae,Poaceae,,Aristida,,,,,gracilipes    ,vagans var. gracilipes ,vagans var. gracillima ,,,,Aristida gracilipes (Domin) Henrard,Aristida gracilipes,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.15,,,,C4,,,,40,80,0.5,0.5,simple,,,,,,,,18,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,6,8,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5144,Poales,Poaceae,Poaceae,,Aristida,,,,,granitica    ,,,,,,Aristida granitica B.K.Simon,Aristida granitica,,,,,,,Queensland,,endangered,endangered,Tussock,,,Hemicryophyte,,,,0.75,,,,C4,,,,100,210,1.5,1.5,simple,,,,,,,,139.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/NCA 2006/EPBC 1999
5145,Poales,Poaceae,Poaceae,,Aristida,,,,,helicophylla    ,,,,,,Aristida helicophylla S.T.Blake,Aristida helicophylla,,,,,,,Queensland,,,,Tussock,,,Hemicryophyte,,,,1.5,,,,C4,,,,100,210,2,3,simple,,,,,,,,232.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,3,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5146,Poales,Poaceae,Poaceae,,Aristida,Arthratherum ,,,,holathera    ,browniana ,muelleri ,stipoides ,stipoides var. brachyathera ,,Aristida holathera Domin,Aristida holathera,,,,,,,Cosmopolitan,,,,Tussock,,,Therophyte,Hemicryophyte,,,1.28,,,,C4,,,,100,250,2,4,simple,,,,,,,,315,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4.8,7.9,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5147,Poales,Poaceae,Poaceae,,Aristida,,,,,holathera var. holathera  ,,,,,,Aristida holathera Domin var. holathera,Aristida holathera var. holathera,,,,,,,Cosmopolitan,,,,Tussock,,,Therophyte,Hemicryophyte,,,1.28,,,,C4,,,,100,250,1.5,1.5,simple,,,,,,,,157.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4.8,7.9,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5148,Poales,Poaceae,Poaceae,,Aristida,Arthratherum ,,,,hygrometrica    ,hygrometricum ,,,,,Aristida hygrometrica R.Br.,Aristida hygrometrica,,,,,,,Australia,,,,Tussock,,,Therophyte,,,,0.84,,,,C4,,,,110,270,0.8,1.2,simple,,,,,,,,114,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,6.6,8.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5149,Poales,Poaceae,Poaceae,,Aristida,,,,,inaequiglumis    ,,,,,,Aristida inaequiglumis Domin,Aristida inaequiglumis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.55,,,,C4,,,,150,300,2.3,4.5,simple,,,,,,,,459,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3.1,7,,,,,,,,,,0.001614,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5150,Poales,Poaceae,Poaceae,,Aristida,,,,,ingrata    ,,,,,,Aristida ingrata Domin,Aristida ingrata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.55,,,,C4,,,,100,230,3,4,simple,,,,,,,,346.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5151,Poales,Poaceae,Poaceae,,Aristida,,,,,jerichoensis    ,ingrata var. jerichoensis ,,,,,Aristida jerichoensis (Domin) Henrard,Aristida jerichoensis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.6,,,,C4,,,,160,180,2,2,simple,,,,,,,,204,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3.5,4.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5152,Poales,Poaceae,Poaceae,,Aristida,,,,,jerichoensis var. jerichoensis  ,,,,,,Aristida jerichoensis (Domin) Henrard var. jerichoensis,Aristida jerichoensis var. jerichoensis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.6,,,,C4,,,,160,180,2,2,simple,,,,,,,,204,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3.5,4.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5153,Poales,Poaceae,Poaceae,,Aristida,,,,,jerichoensis var. subspinulifera  ,,,,,,Aristida jerichoensis var. subspinulifera Henrard,Aristida jerichoensis var. subspinulifera,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.6,,,,C4,,,,160,180,2,2,simple,,,,,,,,204,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3.5,4.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5154,Poales,Poaceae,Poaceae,,Aristida,,,,,latifolia    ,latifolia var. minor ,,,,,Aristida latifolia Domin,Aristida latifolia,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.31,,,,C4,,,,350,700,2,4.5,simple,,,,,,,,1023.75,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5,7.5,,,,,,,,,,0.001,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5155,Poales,Poaceae,Poaceae,,Aristida,,,,,lazaridis    ,,,,,,Aristida lazaridis B.K.Simon,Aristida lazaridis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.4,,,,C4,,,,100,200,2,3,simple,,,,,,,,225,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5,8.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5156,Poales,Poaceae,Poaceae,,Aristida,,,,,leptopoda    ,,,,,,Aristida leptopoda Benth.,Aristida leptopoda,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.65,,,,C4,,,,150,300,3.5,3.5,simple,,,,,,,,472.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,10.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5157,Poales,Poaceae,Poaceae,,Aristida,,,,,lignosa    ,,,,,,Aristida lignosa B.K.Simon,Aristida lignosa,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,2,,,,C4,,,,150,300,2,4,simple,,,,,,,,405,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5158,Poales,Poaceae,Poaceae,,Aristida,,,,,longicollis    ,adscensionis var. longicollis ,,,,,Aristida longicollis (Domin) Henrard,Aristida longicollis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.8,,,,C4,,,,90,180,2,3,simple,,,,,,,,202.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4,6.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5159,Poales,Poaceae,Poaceae,,Aristida,,,,,macroclada subsp. macroclada  ,novaeguineae ,,,,,Aristida macroclada Henrard subsp. macroclada,Aristida macroclada subsp. macroclada,,,,,,,Cosmopolitan,,,,Tussock,,,Hemicryophyte,,,,1,,,,C4,,,,150,300,1,2.3,simple,,,,,,,,222.75,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5,8,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5160,Poales,Poaceae,Poaceae,,Aristida,,,,,macroclada subsp. queenslandica  ,novaeguineae ,,,,,Aristida macroclada subsp. queenslandica B.K.Simon,Aristida macroclada subsp. queenslandica,,,,,,,Cosmopolitan,,,,Tussock,,,Hemicryophyte,,,,1,,,,C4,,,,150,300,1,2.3,simple,,,,,,,,222.75,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5,8,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5161,Poales,Poaceae,Poaceae,,Aristida,,,,,muricata    ,,,,,,Aristida muricata Henrard,Aristida muricata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.9,,,,C4,,,,90,190,1,2,simple,,,,,,,,126,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5162,Poales,Poaceae,Poaceae,,Aristida,,,,,nitidula    ,,,,,,Aristida nitidula (Henrard) S.T.Blake ex J.M.Black,Aristida nitidula,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.82,,,,C4,,,,120,170,0.7,1,simple,,,,,,,,73.95,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4.6,6,,,,,,,,,,0.001942,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5163,Poales,Poaceae,Poaceae,,Aristida,,,,,perniciosa    ,,,,,,Aristida perniciosa Domin,Aristida perniciosa,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.37,,,,C4,,,,100,200,2,3,simple,,,,,,,,225,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5.4,7.6,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5164,Poales,Poaceae,Poaceae,,Aristida,,,,,personata    ,ramosa var. speciosa ,,,,,Aristida personata Henrard,Aristida personata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.2,,,,C4,,,,80,160,1,2.5,simple,,,,,,,,126,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,6,8.5,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5165,Poales,Poaceae,Poaceae,,Aristida,,,,,polyclados    ,,,,,,Aristida polyclados Domin,Aristida polyclados,,,,,,,Australia,,,,Tussock,,,Therophyte,,,,0.4,,,,C4,,,,80,110,0.5,1.8,simple,,,,,,,,65.55,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,3.7,5.6,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
