Species ,Latitude,Longitude,Organ,Wood density (g/cm^3),Total bark density (g/cm^3),Inner bark density (g/cm^3),Bark thickness (mm),"Relative bark thickness (%, standardized by stem diameter)",Outer bark thickness (mm),Inner bark thickness (mm),Structural Young's modulus (N/m^2),Wood Young's modulus (N/m^2),Total bark Young's modulus (N/m^2),"Bark photosynthesis (0: absence, 1: presence)",MOR,site_name,sample_size
Doryphora_aromatica,-16.1,145.4,Twig,0.583333333,0.333333333,0.423333333,0.663333333,10.37666667,0.098,0.598,5457.2,7663.366667,1399.7,1,77.5,Daintree National Park,3
Dysoxylum_papuanum,-16.1,145.4,Twig,0.57,0.356666667,0.393333333,1.086666667,16.97,0.083,1.253,5038.6,9937.5,843.1333333,1,98.23333333,Daintree National Park,3
Elaeocarpus_grandis,-16.1,145.4,Twig,0.5,0.41,0.406666667,1.15,15.66333333,0.055,1.37,3680.166667,6609.866667,1192,1,62.13333333,Daintree National Park,3
Endiandra_microneura,-16.1,145.4,Twig,0.64,0.606666667,0.633333333,0.863333333,13.61,0.079,0.938,3898.9,6193.666667,1019.533333,1,70.1,Daintree National Park,3
Eupomatia_laurina,-16.1,145.4,Twig,0.553333333,0.356666667,0.59,0.53,8.91,0.092,0.66,6692.233333,8543,2856,1,72.03333333,Daintree National Park,3
Ficus_variegata,-16.1,145.4,Twig,0.413333333,0.333333333,0.36,0.82,12.70333333,0.038,0.946,4660.333333,5433.8,3641.133333,1,42.66666667,Daintree National Park,3
Gillbeea_whypallana,-16.1,145.4,Twig,0.44,0.5,0.503333333,0.496666667,9.773333333,0.073,0.472,4387.366667,5724.733333,1839.933333,1,68.03333333,Daintree National Park,3
Gomphandra_australiana,-16.1,145.4,Twig,0.5,0.323333333,0.446666667,0.676666667,12.81,0.057,0.622,4749.766667,6829.2,2496.3,1,54.7,Daintree National Park,3
Haplostichanthus_ramiflorus,-16.1,145.4,Twig,0.633333333,0.48,0.463333333,1.163333333,19.08,0.279,1.108,4851.766667,8010.266667,2514.633333,1,67.03333333,Daintree National Park,3
Hernandia_albiflora,-16.1,145.4,Twig,0.51,0.376666667,0.426666667,0.75,13.71,0.229,0.666,5639.3,10313.63333,2087.15,1,56.16666667,Daintree National Park,3
Idiospermum_australiense,-16.1,145.4,Twig,0.576666667,0.456666667,0.516666667,1.13,18.34666667,0.126,0.82,3463.266667,6508.366667,1205.5,1,57.5,Daintree National Park,3
Myristica_globosa,-16.1,145.4,Twig,0.483333333,0.356666667,0.303333333,1.306666667,18.21666667,0.164,1.234,2729.566667,5032.9,843.1666667,1,55.2,Daintree National Park,3
Rockinghamia_angustifolia,-16.1,145.4,Twig,0.486666667,0.476666667,0.615,0.593333333,10.92666667,0.096,0.55,4170.4,5851.866667,1225.366667,1,45.73333333,Daintree National Park,3
Acacia_latescens,-12.5,131.1,Twig,0.618,0.518,0.518,1.055,17.73085431,0.073,1.201,6278.342056,9925.015151,3287.125559,0,53.32375165,Howard Springs Nature Park,5
Alstonia_actinophylla,-12.5,131.1,Twig,0.461666667,0.185,0.373333333,4.682,41.71979495,2.138,1.394,602.5270535,3528.502719,251.6039886,1,27.20512915,Howard Springs Nature Park,5
Brachychiton_paradoxus,-12.5,131.1,Twig,0.534,0.536,0.548,3.1025,37.20510332,0.251,2.753,2027.982349,3960.389778,1686.424648,1,31.67238774,Howard Springs Nature Park,5
Buchanania_obovata,-12.5,131.1,Twig,0.502,0.38,0.3525,3.7895,31.91441516,0.393,3.75,1256.061011,4765.857992,311.4951986,1,34.56340528,Howard Springs Nature Park,5
Cochlospermum_fraseri,-12.5,131.1,Twig,0.302,0.352,0.352,2.55,30.77895786,0.203,3.406,2110.302669,2555.556035,1991.359044,1,22.3012754,Howard Springs Nature Park,5
Corymbia_bleeseri,-12.5,131.1,Twig,0.744,0.758,0.758,1.203,20.61912136,0.279,1.263,3178.551309,5750.417691,1552.908689,1,45.35577092,Howard Springs Nature Park,5
Corymbia_porrecta,-12.5,131.1,Twig,0.662,0.534,0.628,3.0675,32.7400916,0.78,1.512,1191.467565,4469.282333,359.6729999,1,49.46536316,Howard Springs Nature Park,5
Erythrophleum_chlorostachys,-12.5,131.1,Twig,0.798,0.574,0.5675,4.013,40.15534472,3.238,3.319,1015.625096,7479.947481,196.8896046,1,66.55103614,Howard Springs Nature Park,5
Eucalyptus_miniata,-12.5,131.1,Twig,0.56,0.55,0.55,1.919,20.49003375,0.093,1.786,3415.434732,6506.716491,1120.888186,1,40.32785419,Howard Springs Nature Park,5
Eucalyptus_tetrodonta,-12.5,131.1,Twig,0.7,0.512,0.646666667,1.6465,28.01032139,0.747,1.524,3056.628038,8625.22033,997.9664049,1,69.06820309,Howard Springs Nature Park,5
Grevillea_decurrens,-12.5,131.1,Twig,0.62,0.404,0.528,2.3965,31.69313731,1.135,1.314,2558.193096,9054.190454,697.4318992,1,47.84907993,Howard Springs Nature Park,5
Grevillea_pteridifolia,-12.5,131.1,Twig,0.602,0.53,0.64,1.951,22.36713856,0.461,1.223,2847.595423,6070.359207,949.8276813,1,43.36473659,Howard Springs Nature Park,5
Lophostemon_lactifluus,-12.5,131.1,Twig,0.516,0.416,0.5425,2.8355,26.63270857,0.341,1.188,1849.469384,4738.140861,783.0870302,1,43.51085904,Howard Springs Nature Park,5
Persoonia_falcata,-12.5,131.1,Twig,0.688,0.606,0.636666667,2.35125,23.19355975,1.209,1.084,3138.946758,5046.995936,414.6455484,1,36.27158512,Howard Springs Nature Park,5
Petalostigma_pubescens,-12.5,131.1,Twig,0.664,0.532,0.544,1.9205,26.03231729,0.606,1.756,2449.680093,6935.268492,492.8180363,1,54.3843934,Howard Springs Nature Park,5
Planchonia_careya,-12.5,131.1,Twig,0.526,0.262,0.31,4.186,40.18016863,1.681,4.225,737.7758249,4016.42449,266.0573807,1,33.33854674,Howard Springs Nature Park,5
Xanthostemon_paradoxus,-12.5,131.1,Twig,0.744,0.498,0.53,5.108,42.70747358,0.975,4.088,887.4213154,6820.090025,192.471792,0,77.35385076,Howard Springs Nature Park,5
Acacia_parvipinnula,-32.8,150.9,Twig,0.566,0.426,0.524,0.90625,14.16306195,0.024,0.959,6886.983502,10334.32564,2788.639862,1,57.88773074,Yengo National Park,5
Angophora_costata,-32.8,150.9,Twig,0.586,0.45,0.442,1.65575,23.25632763,0.027,1.687,2835.104281,6112.059145,1101.786564,1,49.13067737,Yengo National Park,5
Bursaria_spinosa,-32.8,150.9,Twig,0.6,0.328,0.324,0.84275,12.05222518,0.068,1.021,5658.0094,8398.06806,1620.528727,1,47.43115616,Yengo National Park,5
Cassinia_aff._cunninghamii,-32.8,150.9,Twig,0.716,0.436,0.58,0.78775,16.73409034,0.1,0.2575,8277.230132,12810.79206,3653.923167,1,55.87011005,Yengo National Park,5
Casuarina_torulosa,-32.8,150.9,Twig,0.692,0.42,0.578,1.71225,30.25806618,1.1,0.912,2807.870171,9907.954305,637.8681034,1,55.47358109,Yengo National Park,5
Daviesia_squarrosa,-32.8,150.9,Twig,0.764,0.86,0.86,0.525,11.66957635,0.208,0.529,5292.016169,6834.529763,2897.049454,1,42.48249909,Yengo National Park,5
Eucalyptus_crebra,-32.8,150.9,Twig,0.67,0.47,0.532,1.89325,26.69831382,1.199,1.806,2713.854701,8023.87475,667.4021179,1,57.67122584,Yengo National Park,5
Eucalyptus_punctata,-32.8,150.9,Twig,0.654,0.464,0.48,1.3615,20.63972242,0.446,1.186,4115.83443,8764.454734,1221.864995,1,58.93497283,Yengo National Park,5
Grevillea_mucronulata,-32.8,150.9,Twig,0.664,0.57,0.57,0.7135,11.77560131,0.121,0.616,3620.753367,4302.45071,2678.130272,1,30.53195333,Yengo National Park,5
Jacksonia_scoparia,-32.8,150.9,Twig,0.69,0.64,0.64,1.32725,19.62823619,0.32,1.083,3066.363532,6421.362982,1186.833676,1,57.42912857,Yengo National Park,5
Melaleuca_pallida,-32.8,150.9,Twig,0.742,0.376,0.538,1.4385,25.09340849,1.318,0.539,3137.671645,7970.40495,957.2488571,1,56.67151156,Yengo National Park,5
Persoonia_linearis,-32.8,150.9,Twig,0.542,0.522,0.572,1.23825,19.35277235,1.067,0.576,3406.452613,5617.389968,1885.641405,1,41.62392929,Yengo National Park,5
Podolobium_ilicifolium,-32.8,150.9,Twig,0.83,0.793333333,0.793333333,0.37175,8.263811452,0.129,1.209,9153.571584,9114.300086,9952.876481,1,54.40717645,Yengo National Park,5
Prostanthera_aff._violaceae,-32.8,150.9,Twig,0.672,0.6275,0.6275,0.35375,9.412835443,0.093,0.469,10378.85803,12604.89534,4614.079956,1,63.79502232,Yengo National Park,5
Pultenaea_scabra,-32.8,150.9,Twig,0.866,0.792,0.792,0.27975,8.21588079,0.129,0.237,6539.091937,7764.175853,4114.169406,0,54.58558519,Yengo National Park,5
