gen spp,site_text,C3C4,Nfixer,growth form,deciduous/evergreen,leaf Nmass,leaf Pmass,delta 13C,15-N
Vitex acuminata,Kakadu2,C3,N,T,D,1.20,,-26.51,2.23
Waltheria sp.,Kakadu2,C3,N,H or S?,E,1.00,,-28.32,-1.49
Xanthostemon paradoxus,Kakadu2,C3,N,T,E,1.06,,-27.54,0.29
Acacia dimidiata,Kakadu3,C3,Y,T or S,E,2.70,,-29.44,1.72
Barringtonia acutangula,Kakadu3,C3,N,T,facultative-D,2.22,,-28.58,5.24
Centipeda sp.,Kakadu3,C3,N,H,E,2.67,,-30.55,6.31
Coldenia procumbens,Kakadu3,C3,N,H,E,4.86,,-28.99,12.85
Commelina sp.,Kakadu3,C3,N,G?,E,2.72,,-29.51,8.19
Cyperus aquatilis,Kakadu3,C3,N,G,E,2.50,,-27.68,7.49
Eucalyptus bigalerita,Kakadu3,C3,N,T,E,1.00,,-29.88,-0.94
Glinus sp.,Kakadu3,C3,N,H,E,4.24,,-30.85,8.46
Goodenia sp.,Kakadu3,C3,N,S or H,E,2.41,,-27.86,3.30
Hyptis sp.,Kakadu3,C3,N,H,E,3.66,,-31.39,10.46
Limnophila sp.,Kakadu3,C3,N,H,E,1.40,,-28.89,-0.30
Livistona sp.,Kakadu3,C3,N,T,E,1.30,,-29.33,2.84
Lophostemon lactifluus,Kakadu3,C3,N,T,facultative-D,1.05,,-29.71,1.64
Ludwigia octovalvis,Kakadu3,C3,N,H,E,1.50,,-29.69,3.85
Melaleuca viridiflora,Kakadu3,C3,N,T,E,1.30,,-30.27,4.28
Pandanus spiralis,Kakadu3,C3,N,T,E,1.20,,-29.58,4.99
Phyllanthus carpentariae,Kakadu3,C3,N,S,E,1.85,,-27.89,1.44
Abrus precatorius,Kakadu4,C3,Y,V,E,3.05,,-29.94,0.78
Acacia auriculiformis,Kakadu4,C3,Y,T,E,2.43,,-29.67,0.95
Adenanthera pavonina,Kakadu4,C3,Y,T,E,2.25,,-28.36,0.20
Alstonia actinophylla,Kakadu4,C3,N,T,E,1.90,,-28.54,2.43
Ampelocissus acetosa,Kakadu4,C3,N,V,E,2.63,,-30.63,1.57
Bidens bipinnata,Kakadu4,C3,N,H,E,3.95,,-30.55,1.25
Cathormion umbellatum,Kakadu4,C3,Y,T,E,2.20,,-28.88,2.05
Cayratia sp.,Kakadu4,C3,N,V,E,2.40,,-32.02,2.24
Cupaniopsis anacardioides,Kakadu4,C3,N,T,E,2.14,,-30.99,2.29
Dioscorea bulbifera,Kakadu4,C3,N,V,E,3.22,,-31.55,1.88
Dunbaria sp.,Kakadu4,C3,Y,H,E,3.38,,-32.33,-0.63
Elaeocarpus arnhemicus,Kakadu4,C3,N,T,E,1.40,,-30.55,0.81
Eucalyptus alba,Kakadu4,C3,N,T,facultative-D,1.21,,-29.66,1.69
Exocarpus latifolius,Kakadu4,C3,N,T or S,E,1.95,,-30.54,2.61
Ficus scobina,Kakadu4,C3,N,T,facultative-D,2.13,,-28.97,4.18
Flagellaria indica,Kakadu4,C3,N,V,E,3.00,,-30.19,3.49
Ganophyllum falcatum,Kakadu4,C3,N,T,E,2.02,,-28.53,0.98
Glycine tomentella,Kakadu4,C3,Y,V,E,3.44,,-29.79,0.30
Glycosmis trifoliata,Kakadu4,C3,N,S,E,1.51,,-31.02,0.59
Hibiscus meraukensis,Kakadu4,C3,N,S,E,3.47,,-30.21,0.26
Hyptis sp.,Kakadu4,C3,N,H,E,3.23,,-32.44,2.47
Indigofera hirsuta,Kakadu4,C3,Y,H,E,3.49,,-30.96,0.45
Litsea glutinosa,Kakadu4,C3,N,T,E,2.23,,-29.53,2.15
Luffa aegyptiaca,Kakadu4,C3,N,V,E,3.60,,-31.29,1.61
Pandanus spiralis,Kakadu4,C3,N,T,E,1.15,,-30.55,3.45
Passiflora foetida,Kakadu4,C3,N,V,E,3.85,,-29.62,2.25
Planchonia careya,Kakadu4,C3,N,T,E,1.50,,-27.75,3.75
Senna obtusifolia,Kakadu4,C3,N,S,E,4.62,,-31.98,2.11
Smilax australis,Kakadu4,C3,N,V,E,1.95,,-31.14,2.14
Sterculia quadrifida,Kakadu4,C3,N,T,D,2.10,,-28.84,1.62
Strychnos lucida,Kakadu4,C3,N,T,E,2.20,,-29.96,3.04
Tacca leontopetaloides,Kakadu4,C3,N,H,E,4.41,,-31.41,2.39
Terminalia microcarpa,Kakadu4,C3,N,T,D,1.73,,-28.91,3.20
Trema tomentosa,Kakadu4,C3,N,T,E,3.50,,-31.23,2.68
Vitex acuminata,Kakadu4,C3,N,T,D,2.02,,-27.93,3.16
Wrightia pubescens,Kakadu4,C3,N,T,D,3.30,,-27.95,2.88
Acacia sp.,Kakadu5,C3,Y,T,E,1.8,,-31.18,-0.39
Alphitonia excelsa,Kakadu5,C3,N,T,E,0.8,,-30.24,1.88
Alysicarpus schomburgkii,Kakadu5,C3,Y,H,E,2.6,,-31.24,-0.86
Ampelocissus acetosa,Kakadu5,C3,N,V,E,1.5,,-29.17,0.39
Arthrostylis aphylla,Kakadu5,C3,N,G,E,0.7,,-28.34,1.77
Buchanania obovata,Kakadu5,C3,N,T,facultative-D,0.8,,-29.145,1.07
Corymbia bleeseri,Kakadu5,C3,N,T,E,0.8,,-28.395,0.13
Corymbia porrecta,Kakadu5,C3,N,T,E,0.9,,-28.665,0.12
Crotalaria novae-hollandiae,Kakadu5,C3,Y,H,E,2.9,,-30.55,-0.11
Desmodium brownii,Kakadu5,C3,Y,H,E,1.9,,-30.73,-1.44
Erythrophleum chlorostachys,Kakadu5,C3,N,T,facultative-D,2.2,,-28.705,-0.43
Eucalyptus miniata,Kakadu5,C3,N,T,E,0.9,,-29.4,-0.79
Eucalyptus tetrodonta,Kakadu5,C3,N,T,E,0.9,,-29.025,1.11
Ficus opposita,Kakadu5,C3,N,T,facultative-D,1.5,,-29.68,0.36
Galactia tenuiflora,Kakadu5,C3,Y,V,E,2.4,,-30.69,-0.82
Gardenia megasperma,Kakadu5,C3,N,T,facultative-D,1.0,,-30.865,1.67
Indigofera linifolia,Kakadu5,C3,Y,H,E,3.4,,-30.52,0.73
Kailarsenia suffruticosa,Kakadu5,C3,N,H,E,0.6,,-28.99,1.15
Livistona humilis,Kakadu5,C3,N,T,E,1.3,,-28.36,0.76
Lomandra sp.,Kakadu5,C3,N,G?,E,0.9,,-26.49,1.23
Pachynema junceum,Kakadu5,C3,N,S,E,0.7,,-29.7,1.59
Pandanus spiralis,Kakadu5,C3,N,T,E,1.0,,-28.75,0.50
Parinari corymbosum,Kakadu5,C3,N,T,E,1.1,,-30.305,0.86
Petalostigma quadriloculare,Kakadu5,C3,N,S,E,0.4,,-27.885,0.82
Planchonia careya,Kakadu5,C3,N,T,E,0.7,,-28.075,0.78
Polygala sp.,Kakadu5,C3,N,H,E,2.2,,-30,2.19
Terminalia carpentariae,Kakadu5,C3,N,T,D,0.9,,-28.89,0.93
Allosyncarpia ternata,Kakadu6,C3,N,T,E,1.0,,-30.65,-1.00
Carpentaria acuminata,Kakadu6,C3,N,T,E,1.4,,-34.05,2.42
Epipremnum amplissimum,Kakadu6,C3,N,S,E,2.7,,-35.02,5.65
Erythrophleum chlorostachys,Kakadu6,C3,N,T,facultative-D,2.5,,-29.14,-1.52
Fagraea racemosa,Kakadu6,C3,N,T,E,1.4,,-32.48,2.33
Flagellaria indica,Kakadu6,C3,N,V,E,2.7,,-32.655,6.62
Gmelina sp.,Kakadu6,C3,N,T,E,1.2,,-30.675,-1.95
Helicia australasica,Kakadu6,C3,N,T,E,1.2,,-32.355,4.65
Ilex arnhemensis,Kakadu6,C3,N,T,E,1.2,,-30.605,-1.17
Lindsaea sp.,Kakadu6,C3,N,O (Fern),E,1.6,,-32.115,0.83
Lophopetalum arnhemicum,Kakadu6,C3,N,T,E,1.7,,-30.77,3.65
Melastoma malabathricum ssp. Malabathricum,Kakadu6,C3,N,S,E,1.4,,-31.195,-0.03
Melicope elleryana,Kakadu6,C3,N,T,E,1.5,,-32.55,6.78
Myristica insipida,Kakadu6,C3,N,T,E,1.7,,-33.185,3.60
Myrsine benthamiana,Kakadu6,C3,N,T,E,1.2,,-30.775,-0.93
Pandanus spiralis,Kakadu6,C3,N,T,E,0.9,,-32.37,4.13
Scleria sp.,Kakadu6,C3,N,G,E,1.6,,-31.23,6.92
Syzygium forte,Kakadu6,C3,N,T,E,1.2,,-30.12,3.52
Xanthostemon eucalyptoides,Kakadu6,C3,N,T,E,1.4,,-29.4775,0.77
Aegialitis annulata,Kakadu11,C3,N,S,E,1.9,,-28.63,4.37
Avicennia marina,Kakadu11,C3,N,T,E,2.1,,-27.925,6.29
Bruguiera sp.,Kakadu11,C3,N,T,E,0.8,,-27.095,2.20
Excoecaria sp.,Kakadu11,C3,N,T,E,2.1,,-26.445,3.78
Lumnitzera sp.,Kakadu11,C3,N,T,E,0.7,,-28.305,3.77
Pluchea sp.,Kakadu11,C3,N,S,E,1.7,,-29.39,2.02
Sesuvium portulacastrum,Kakadu11,C3,N,H,E,2.3,,-26.215,10.11
Thespesia sp.,Kakadu11,C3,N,T,E,2.4,,-30.595,4.41
Xylocarpus moluccensis,Kakadu11,C3,N,T,E,1.2,,-26.15,-0.76
Acacia excelsa,Monklands,C3,Y,T,E,2.10,0.05,-28.51,2.03
Allocasuarina luehmannii,Monklands,C3,N,T,E,1.37,0.05,-28.22,0.53
Aristida calycina,Monklands,C4,N,G,E,0.95,0.13,-14.00,3.11
Aristida holathera,Monklands,C4,N,G,E,0.61,0.06,-13.64,1.60
Bothriochloa ewartiana,Monklands,C4,N,G,E,1.14,0.12,-12.88,0.49
Chrysopogon fallax,Monklands,C4,N,G,E,0.93,0.08,-13.50,2.81
