Site name,Site name expanded,Species,context,sample month,sample number,Hv sapwood,Hydraulic condictivity,HC per leaf area,HC per branch TA,HC per SW area,Predawn water potential,minimum water potential,Amass
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,summer,January,3,0.000198078,1200.024,1.054687994,57.41440545,53.24601162,-0.3,-2.4,
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,summer,January,4,0.000613669,1356,2.750507099,50.1318614,44.82066775,-0.4,-3.1,
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,summer,January,5,0.000499545,2200,5.376344086,109.4591296,107.6247224,-0.4,-1.6,
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,summer,January,6,0.00021374,2896.6772,2.865160435,153.6874073,134.0490291,-0.5,-3,
Crosslands,Crosslands_ridgetop,Angophora hispida,summer,January,1,9.89E-05,4387.2339,2.85627207,265.2746566,288.8285785,-0.55,-1.2,87.39
Crosslands,Crosslands_ridgetop,Angophora hispida,summer,January,2,0.000127169,2867.5,2.362220941,120.3179911,185.7547034,-0.5,-2.1,
Crosslands,Crosslands_ridgetop,Angophora hispida,summer,January,3,0.000206565,3665.75,4.978609263,172.6976784,241.0191083,-0.2,-1.6,
Crosslands,Crosslands_ridgetop,Angophora hispida,summer,January,4,0.000468535,660,1.251184834,24.56758949,26.70417727,-0.4,-3.3,
Crosslands,Crosslands_ridgetop,Angophora hispida,summer,January,5,0.000156593,3618,3.005232993,204.2733384,191.913273,-0.4,-1.7,
Crosslands,Crosslands_ridgetop,Angophora hispida,summer,January,6,0.000227049,4212,5.080820265,198.4321411,223.7766696,-0.5,-2.7,
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,summer,January,1,0.000532634,1193.2389,4.738835981,75.73588738,88.9698305,-0.25,-2.2,78.31
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,summer,January,2,0.000373284,1911.679,4.948690137,90.06138582,132.5717327,-0.4,-3,
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,summer,January,3,0.000879109,840,5.978647687,49.9169047,68.00802029,-0.5,-1.4,
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,summer,January,4,0.000287855,682.3452,1.881293631,46.79289809,65.35560557,-0.25,-2.5,
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,summer,January,5,0.000330483,145,0.496575342,12.2067245,15.02574616,-0.7,-1.2,
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,summer,January,6,0.000333625,1376.25,4.274068323,107.415003,128.1099535,-0.7,-3,
Crosslands,Crosslands_river_flat,Glochidion ferdinandi,summer,January,1,0.000364028,1044,1.934408004,55.39093318,53.13899933,-0.05,-1.4,
Crosslands,Crosslands_river_flat,Glochidion ferdinandi,summer,January,2,0.000302564,1518.75,2.46110841,78.01137787,81.34174378,-0.1,-1.7,
Crosslands,Crosslands_river_flat,Glochidion ferdinandi,summer,January,3,0.000331657,1202.75,1.881354607,63.81364453,56.72586468,-0.2,-1.4,
Crosslands,Crosslands_river_flat,Glochidion ferdinandi,summer,January,4,0.000460071,1302.9265,2.715561692,65.34151317,59.02485707,-0.05,-1.5,
Crosslands,Crosslands_river_flat,Glochidion ferdinandi,summer,January,5,0.000354291,1143.3219,1.828729846,54.49012189,51.61666624,-0.1,-1.2,
Crosslands,Crosslands_river_flat,Glochidion ferdinandi,summer,January,6,0.000285797,1003.324,1.850468462,48.94741309,64.74770746,-0.25,-1.4,
Crosslands,Crosslands_river_flat,Banksia integrifolia,summer,January,1,0.000537099,1222.5,3.43109739,56.93454225,63.88205987,-0.5,-1.75,
Crosslands,Crosslands_river_flat,Banksia integrifolia,summer,January,2,0.000368919,939.5683,2.475805797,68.1758644,67.10974449,-0.5,-2.3,
Crosslands,Crosslands_river_flat,Banksia integrifolia,summer,January,3,0.000552744,680,2.563136072,39.21421631,46.37114862,-0.45,-1.4,
Crosslands,Crosslands_river_flat,Banksia integrifolia,summer,January,4,0.000238573,237.49905,0.592119297,23.60620459,24.81924204,-0.5,-1.7,
Crosslands,Crosslands_river_flat,Banksia integrifolia,summer,January,5,0.000512782,1046.5182,5.274789315,75.9362389,102.8660651,-0.5,-1.8,
Crosslands,Crosslands_river_flat,Banksia integrifolia,summer,January,6,0.00045084,554.6496,2.15816965,41.42370536,47.8699187,-0.5,-1.9,
Crosslands,Crosslands_river_flat,Cissus hypoglauca,summer,January,1,0.000373302,4948.075,12.15444608,315.4652821,325.5931689,-0.2,-1,
Crosslands,Crosslands_river_flat,Cissus hypoglauca,summer,January,2,0.00035721,1226.636,2.588932039,60.07664862,72.47651348,-0.2,-1.15,
Crosslands,Crosslands_river_flat,Cissus hypoglauca,summer,January,3,0.000579806,587.49765,2.856089694,38.65726496,49.25942817,-0.15,-1.1,
Crosslands,Crosslands_river_flat,Cissus hypoglauca,summer,January,4,0.000110468,3128.0184,3.703111637,234.7497888,335.2215629,-0.25,-1.2,
Crosslands,Crosslands_river_flat,Cissus hypoglauca,summer,January,5,0.000305601,3648.9822,8.83530799,276.5249832,289.112379,-0.25,-1,
Crosslands,Crosslands_river_flat,Cissus hypoglauca,summer,January,6,0.000264763,5210,9.350323044,323.423567,353.1580126,-0.2,-0.9,
Royal NP,Royal NP,Angophora hispida,summer,January,1,0.000165727,1591.0086,2.336625936,143.359732,140.9921772,-0.2,-1,75.09
Royal NP,Royal NP,Angophora hispida,summer,January,2,0.000168222,2482.6768,2.896263182,189.0618543,172.1694726,-0.25,-1.1,
Royal NP,Royal NP,Angophora hispida,summer,January,3,0.000229644,916.5,1.912961803,128.8634699,83.30102465,-0.2,-0.9,
Royal NP,Royal NP,Angophora hispida,summer,January,4,0.000274173,1110.4275,2.073627451,93.963049,75.63213767,-0.2,-1,
Royal NP,Royal NP,Angophora hispida,summer,January,5,0.000198785,884,1.730279898,88.35806085,87.04267824,-0.2,-0.9,
Royal NP,Royal NP,Angophora hispida,summer,January,6,0.000274627,861.25,2.198187851,63.70351331,80.0425887,-0.15,-0.85,
Royal NP,Royal NP,Banksia oblongifolia,summer,January,1,0.000695829,292.5,2.415359207,43.70091304,34.71198509,-0.15,-1.8,60.39
Royal NP,Royal NP,Banksia oblongifolia,summer,January,2,0.000352479,289.4217,1.457309668,21.9327819,41.34455438,-0.25,-1.6,
Royal NP,Royal NP,Banksia oblongifolia,summer,January,3,0.000541811,416.4951,3.276908733,32.50704627,60.48070748,-0.1,-1.7,
Royal NP,Royal NP,Banksia oblongifolia,summer,January,4,0.000602646,452.0885,2.903587026,34.5966045,48.18061529,-0.1,-1.8,
Royal NP,Royal NP,Banksia oblongifolia,summer,January,5,0.000428675,467.5,2.060379022,30.48368181,48.06387097,-0.25,-1.2,
Royal NP,Royal NP,Banksia oblongifolia,summer,January,6,0.000593111,1504,5.479052823,96.31822311,92.37818548,-0.2,-0.8,
Royal NP,Royal NP,Persoonia lanceolata,summer,January,1,0.000488031,3441,6.382860323,194.2798666,130.7879382,-0.05,-0.85,56.14
Royal NP,Royal NP,Persoonia lanceolata,summer,January,2,0.00033562,2043.1567,4.579015464,153.3336901,136.4346828,-0.05,-1.1,
Royal NP,Royal NP,Persoonia lanceolata,summer,January,3,0.000459819,6063.75,11.85715682,272.9281719,257.8655025,-0.1,-0.2,
Royal NP,Royal NP,Persoonia lanceolata,summer,January,4,0.000524676,1272.9275,4.664446684,96.93651367,88.90151833,-0.1,-0.15,
Royal NP,Royal NP,Persoonia lanceolata,summer,January,5,0.001188248,3081.25,17.81069364,174.703094,149.8903262,-0.05,-0.5,
Royal NP,Royal NP,Persoonia lanceolata,summer,January,6,0.000828744,2317,9.234754882,138.2841568,111.4307773,-0.1,-0.2,
Royal NP,Royal NP,Banksia oblongifolia,winter,,,,,,,,,,29
Royal NP,Royal NP,Persoonia lanceolata,winter,,,,,,,,,,30.4
Royal NP,Royal NP,Angophora hispida,winter,,,,,,,,,,41.5
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,winter,,,,,,,,,,66.9
Crosslands,Crosslands_ridgetop,Angophora hispida,winter,,,,,,,,,,70.3
Crosslands,Crosslands_ridgetop,Banksia oblongifolia,winter,,,,,,,,,,86.9
Crosslands,Crosslands_mangrove,Avicennia marina,winter,,,,,,,,,,90.4
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,winter,,,,,,,,,,97.5
