Sample,location,distance [km],Species,d13C,No. of Leaves,Specific Leaf Area (m2 kg-1),"BHU 1,3 [cm]",tree height [m],Sprouter or obligate Seeder,above See NN [m],Leaf Area (cm2),area per Leaf [cm2]/No. Leaf,Dry weight per leaf [g]/No. Leaves,Dry matter (g),Latitude,Longitude,N [%],C [%]
184,Thursday Rock,546,Eucalyptus salmonophloia,-26.48,12,3.12275,90,23.18,sprouter,434,68.41,5.7,0.2,2.191,-31.51111111,120.8163889,1.3,51.78
185,Thursday Rock,546,Eucalyptus salmonophloia,-24.84,11,2.94099,86,10.5,sprouter,434,83.78,7.6,0.3,2.849,-31.51111111,120.8163889,1.17,52.94
186,Thursday Rock,546,Eucalyptus salmonophloia,-26.21,11,2.84726,102,12.75,sprouter,434,45.26,4.1,0.1,1.59,-31.51111111,120.8163889,1.35,51.67
187,Thursday Rock,546,Eucalyptus loxophleba ssp.lissophloia,-24.47,10,2.82543,42,6.5,sprouter,434,136.96,13.7,0.5,4.847,-31.51111111,120.8163889,1.47,52.45
188,Thursday Rock,546,Eucalyptus loxophleba ssp.lissophloia,-25.22,11,3.03777,34,7,sprouter,434,101.75,9.3,0.3,3.35,-31.51111111,120.8163889,1.31,52.97
189,Thursday Rock,546,Eucalyptus loxophleba ssp.lissophloia,-25.3,12,3.10117,37,6,sprouter,434,135.85,11.3,0.4,4.381,-31.51111111,120.8163889,1.32,51.07
190,Thursday Rock,546,Eucalyptus salubris,-24.48,12,2.54861,21,8.2,obligater seeder,434,60.42,5,0.2,2.371,-31.51111111,120.8163889,0.96,53.58
191,Thursday Rock,546,Eucalyptus salubris,-25.07,13,2.58844,22,8.3,obligater seeder,434,50.85,3.9,0.2,1.965,-31.51111111,120.8163889,0.94,52.75
192,Thursday Rock,546,Eucalyptus salubris,-25.07,12,2.63783,19,7.5,obligater seeder,434,57.56,4.8,0.2,2.182,-31.51111111,120.8163889,1.2,52.7
193,Queen Victoria Rock,582,Eucalyptus flocktoniae subsp. flocktoniae,-27.01,9,2.60938,27,6,sprouter,429,106.34,11.8,0.5,4.075,-31.19138889,120.9422222,1.04,53.08
194,Queen Victoria Rock,582,Eucalyptus flocktoniae subsp. flocktoniae,-26.42,9,2.55104,24,6,sprouter,429,76.34,8.5,0.3,2.993,-31.19138889,120.9422222,0.95,52.7
195,Queen Victoria Rock,582,Eucalyptus flocktoniae subsp. flocktoniae,-27.81,9,2.37229,33,6,sprouter,429,82.06,9.1,0.4,3.459,-31.19138889,120.9422222,0.91,51.71
196,Queen Victoria Rock,582,Eucalyptus tenera,-24.63,12,2.15857,14,4,sprouter,429,80.45,6.7,0.3,3.727,-31.19138889,120.9422222,0.83,53.9
197,Queen Victoria Rock,582,Eucalyptus tenera,-24.46,10,2.18899,10,3.4,sprouter,429,54.02,5.4,0.2,2.468,-31.19138889,120.9422222,0.8,53.59
198,Queen Victoria Rock,582,Eucalyptus tenera,-24.96,12,2.33606,12,4,sprouter,429,77.02,6.4,0.3,3.297,-31.19138889,120.9422222,0.97,52.82
199,Kalgoorlie,662,Eucalyptus salmonophloia,-25.85,10,3.29692,120,17.28,sprouter,350,57.64,5.8,0.2,1.748,-30.64305556,121.4536111,1.34,51.85
200,Kalgoorlie,662,Eucalyptus salmonophloia,-25.59,10,3.37227,98,15.12,sprouter,350,79.4,7.9,0.2,2.355,-30.64305556,121.4536111,1.29,52.14
201,Kalgoorlie,662,Eucalyptus salmonophloia,-25.44,10,3.12658,110,17.25,sprouter,350,76.82,7.7,0.2,2.457,-30.64305556,121.4536111,1.32,52.27
202,Kalgoorlie,662,Eucalyptus lesouefii,-25.5,10,2.1248,100,15.21,obligater seeder,350,199.17,19.9,0.9,9.374,-30.64305556,121.4536111,1.92,52.79
203,Menzies,706,Eucalyptus rigidula,-26.84,12,2.82681,14,4,sprouter,391,69.22,5.8,0.2,2.449,-29.905,121.1188889,1.05,51.73
204,Menzies,706,Eucalyptus rigidula,-26.01,10,2.70146,22,4,sprouter,391,78.88,7.9,0.3,2.92,-29.905,121.1188889,1,52.35
205,Menzies,706,Eucalyptus rigidula,-26.22,10,2.75075,23,4.2,sprouter,391,61.46,6.1,0.2,2.234,-29.905,121.1188889,1.15,51.69
206,Menzies,706,Syn. Eucalyptus transcontinentalis subsp. semivestita,-27.2,10,2.56209,19,4.5,sprouter,391,122.15,12.2,0.5,4.768,-29.905,121.1188889,1.13,51.54
207,Menzies,706,Eucalyptus concinna,-26.22,9,2.71468,22,5.2,sprouter,391,98.35,10.9,0.4,3.623,-29.905,121.1188889,1.18,51.28
208,Menzies,706,Eucalyptus concinna,-25.37,10,2.61816,15,4,sprouter,391,100.71,10.1,0.4,3.847,-29.905,121.1188889,1.11,50.46
209,Menzies,706,Eucalyptus concinna,-25.98,11,2.55622,20,4.5,sprouter,391,95.37,8.7,0.3,3.731,-29.905,121.1188889,1.08,51.25
210,Menzies,706,Eucalyptus leptopoda subsp. subluta,-25.14,9,2.92537,6,3,sprouter,391,84.59,9.4,0.3,2.892,-29.905,121.1188889,1.23,51.27
211,Menzies,706,Eucalyptus leptopoda subsp. subluta,-24.15,10,3.55159,6,2.5,sprouter,391,66.5,6.7,0.2,1.872,-29.905,121.1188889,1.43,51.24
212,Menzies,706,Eucalyptus leptopoda subsp. subluta,-25.25,11,3.12754,6,2.5,sprouter,391,66.26,6,0.2,2.119,-29.905,121.1188889,1.45,51.3
213,Menzies,706,Eucalyptus oldfieldii subsp. oldfieldii ms,-25.59,11,2.07143,18,4,sprouter,391,118.03,10.7,0.5,5.698,-29.905,121.1188889,1.18,51.09
214,Menzies,706,Eucalyptusjutsonii,-27.97,14,2.60432,38,4.5,seeder,391,49.68,3.5,0.1,1.908,-29.905,121.1188889,0.88,51.11
215,MenzeesII,717,Eucalyptus longissima,-25.82,10,3.22597,63,7,sprouter,412,96.65,9.7,0.3,2.996,-29.76138889,121.0627778,1.2,52.38
216,Lake Ballard,752,Eucalyptus youngiana,-26.52,8,2.64306,74,9,sprouter,370,142.4,17.8,0.7,5.388,-29.49527778,121.2522222,1.17,50.42
217,Quarzripe,776,Eucalyptus salubris,-26.18,9,2.96338,100,7,obligater seeder,465,75.99,8.4,0.3,2.564,-29.24222222,121.2522222,0.84,52.1
218,Quarzripe,776,Eucalyptus salubris,-24.08,9,3.2691,90,7.5,obligater seeder,465,114.68,12.7,0.4,3.508,-29.24222222,121.2522222,1.03,51.91
219,Quarzripe,776,Eucalyptus salubris,-24.79,10,2.9299,80,8.7,obligater seeder,465,67.88,6.8,0.2,2.317,-29.24222222,121.2522222,1.13,52.5
220,Quarzripe,776,Eucalyptus carnei,-24.16,10,2.14717,72,6,obligater seeder,465,187.74,18.8,0.9,8.744,-29.24222222,121.2522222,0.78,51.32
221,Quarzripe,776,putative Eucalyptus carnei x Eucalyptus salubris,-25.14,10,3.49965,110,8,obligater seeder,465,74.14,7.4,0.2,2.119,-29.24222222,121.2522222,1.01,52.5
222,Bore Brakeaway,777,Eucalyptus longissima,-24.65,11,3.48021,33,6,sprouter,465,49.68,4.5,0.1,1.428,-29.24277778,121.2561111,1.34,52.4
223,Mt. Morrains,862,Eucalyptus lucasii,-24.43,9,4.23212,55,6.8,sprouter,434,74.9,8.3,0.2,1.77,-28.76416667,121.9683333,1.75,52.62
224,Mt. Morrains,862,Eucalyptus lucasii,-25.5,10,3.32234,45,7.8,sprouter,434,180.35,18,0.5,5.428,-28.76416667,121.9683333,1.47,50.22
225,Mt. Morrains,862,Eucalyptus lucasii,-26.34,10,3.20454,34,6.8,sprouter,434,144.81,14.5,0.5,4.519,-28.76416667,121.9683333,1.33,51.13
226,Mt. Morrains,862,Eucalyptus youngiana,-26.33,10,2.90452,60,7.2,sprouter,434,175.25,17.5,0.6,6.034,-28.76416667,121.9683333,1.04,48.45
227,Mt. Morrains,862,Eucalyptus youngiana,-26.7,10,2.62364,55,7.8,sprouter,434,187.8,18.8,0.7,7.158,-28.76416667,121.9683333,1,46.37
228,Mt. Morrains,862,Eucalyptus youngiana,-26.78,12,3.34068,45,7,sprouter,434,131.91,11,0.3,3.949,-28.76416667,121.9683333,1.26,51.45
229,Admuro flat,911,Eucalyptus salubris,-23.79,12,3.2228,88,8,obligater seeder,511,74.25,6.2,0.2,2.304,-28.56527778,120.4822222,0.9,51.15
230,Admuro flat,911,Eucalyptus salubris,-24.83,11,3.24471,72,9.5,obligater seeder,511,77.5,7,0.2,2.389,-28.56527778,120.4822222,1.19,51.55
231,Admuro flat,911,Eucalyptus salubris,-24.31,11,3.3719,42,7.5,obligater seeder,511,67.9,6.2,0.2,2.014,-28.56527778,120.4822222,1.02,51.51
232,Admuro flat,911,Eucalyptus gypsophila,-26.17,11,2.59479,57,6.5,sprouter,511,105.87,9.6,0.4,4.08,-28.56527778,120.4822222,0.78,50.78
233,Adam Range,931,Eucalyptus gongylocarpa,-28.73,17,3.56686,110,8,sprouter,499,58.6,3.4,0.1,1.643,-28.40083333,122.5677778,0.97,50.77
234,Adam Range,931,Eucalyptus gongylocarpa,-28.48,12,4.42862,90,8,sprouter,499,75.57,6.3,0.1,1.706,-28.40083333,122.5677778,1.27,50.3
235,Adam Range,931,Eucalyptus gongylocarpa,-29.07,13,4.38023,122,7,sprouter,499,69.05,5.3,0.1,1.576,-28.40083333,122.5677778,1.49,49.76
236,Adam Range,931,Eucalyptus rigidula,-27.05,12,2.40958,12,4,sprouter,499,120.25,10,0.4,4.991,-28.40083333,122.5677778,0.92,51.55
237,Adam Range,931,Eucalyptus rigidula,-27.24,16,2.46352,15,4,sprouter,499,124.43,7.8,0.3,5.051,-28.40083333,122.5677778,1,51.24
238,Adam Range,931,Eucalyptus rigidula,-26.94,13,2.13388,20,5,sprouter,499,88.94,6.8,0.3,4.168,-28.40083333,122.5677778,1.08,50.58
239,Adam Range,931,Eucalyptus youngiana,-27.53,11,2.3214,24,4,sprouter,499,248.74,22.6,1,10.715,-28.40083333,122.5677778,1.05,50.71
240,Warburton Camp,934,Eucalyptus trivalvis,-25.02,10,2.69176,38,5,sprouter,509,114.26,11.4,0.4,4.245,-28.38472222,122.5852778,1.11,51.38
241,Warburton Camp,934,Eucalyptus trivalvis,-25.12,10,2.89315,41,5.5,sprouter,509,123.85,12.4,0.4,4.281,-28.38472222,122.5852778,1.19,51.42
242,Warburton Camp,934,Eucalyptus trivalvis,-25.27,10,3.83082,33,5,sprouter,509,144.15,14.4,0.4,3.763,-28.38472222,122.5852778,1.26,50.44
243,Warburton Camp,934,Eucalyptus lucasii,-28.29,9,3.97391,40,7,sprouter,509,151.12,16.8,0.4,3.803,-28.38472222,122.5852778,1.7,51.15
244,Warburton Camp,934,Eucalyptus youngiana,-26.49,6,2.88131,31,4,sprouter,509,181.56,30.3,1.1,6.301,-28.38472222,122.5852778,1.15,50.57
245,Warburton W,957,probably Eucalyptus socialis - Eucalyptus hypolaena intergrade,-26.83,9,2.93645,46,5,sprouter,484,133.45,14.8,0.5,4.545,-28.22722222,122.7319444,1.18,52.09
246,Warburton W,957,Eucalyptus concinna,-25.9,10,2.84404,13,3.5,sprouter,484,111.6,11.2,0.4,3.924,-28.22722222,122.7319444,1.17,52.855
247,Warburton W,957,Eucalyptus trivalvis,-26.17,9,2.91508,40,6.5,sprouter,484,126.08,14,0.5,4.325,-28.22722222,122.7319444,1.27,52.16
248,Warburton W,957,Eucalyptus gongylocarpa,-26.02,20,3.71582,158,10.5,sprouter,484,65.64,3.3,0.1,1.767,-28.22722222,122.7319444,1.08,50.41
249,Cosmo Newberry,1007,Eucalyptus leptopoda subsp. elevata,-26.3,11,3.01402,5,2,sprouter,449,75.26,6.8,0.2,2.497,-28.22722222,122.7319444,1.05,48.56
250,Cosmo Newberry,1007,Eucalyptus leptopoda subsp. elevata,-26.74,11,2.89491,6,2.3,sprouter,449,69.53,6.3,0.2,2.402,-28.22722222,122.7319444,1.12,49.47
251,Cosmo Newberry,1007,Eucalyptus leptopoda subsp. elevata,-25.66,10,2.89689,5,2,sprouter,449,99.32,9.9,0.3,3.429,-28.22722222,122.7319444,1.16,49.33
252,Cosmo Newberry,1007,Eucalyptus rigidula,-26.42,14,2.7412,5,2,sprouter,449,112.2,8,0.3,4.093,-28.22722222,122.7319444,1.05,51.37
253,Jutson well,1027,Eucalyptus ewartiana,-25.5,10,2.83285,25,4,sprouter,454,79.47,7.9,0.3,2.805,-27.89861111,123.3783333,1.26,52.22
254,Lake Throssel,1040,Eucalyptus concinna,-26.79,10,2.40004,53,6.5,sprouter,400,108.16,10.8,0.5,4.507,-27.91833333,123.6158333,0.96,48.88
255,Lake Throssel,1040,Eucalyptus concinna,-26.83,10,2.48002,42,5.5,sprouter,400,89.37,8.9,0.4,3.604,-27.91833333,123.6158333,1.02,49.79
256,Lake Throssel,1040,Eucalyptus concinna,-25.93,9,2.63558,75,6.5,sprouter,400,84.56,9.4,0.4,3.208,-27.91833333,123.6158333,0.94,48.64
257,Lake Throssel,1040,Eucalyptus eremicola subsp. peeneri ms,-26.39,9,3.44484,32,7,sprouter,400,54.68,6.1,0.2,1.587,-27.91833333,123.6158333,1.31,50.73
258,Lake Throssel,1040,Eucalyptus eremicola subsp. peeneri ms,-26.93,10,3.3672,28,6,sprouter,400,40.1,4,0.1,1.191,-27.91833333,123.6158333,1.23,50.7
259,Lake Throssel,1040,Eucalyptus eremicola subsp. peeneri ms,-26.1,11,3.41479,38,4.5,sprouter,400,58.55,5.3,0.2,1.715,-27.91833333,123.6158333,1.31,50.97
260,Tjukayiria Roadhouse,1218,Eucalyptus oldfieldii subsp. pauper ms,-27.02,9,2.64798,11,1.5,sprouter,459,88.44,9.8,0.4,3.34,-27.0525,125.1491667,1.04,51.42
261,Tjukayiria Roadhouse,1218,Eucalyptus oldfieldii subsp. pauper ms,-27.1,10,2.28005,23,2.5,sprouter,459,111.49,11.1,0.5,4.89,-27.0525,125.1491667,0.88,51.15
262,Tjukayiria Roadhouse,1218,Eucalyptus oldfieldii subsp. pauper ms,-26.7,10,2.73228,15,2.5,sprouter,459,139.86,14,0.5,5.119,-27.0525,125.1491667,1.16,51.29
263,Sideroad I,1225,Eucalyptus leptopoda subsp. elevata,-26.38,13,2.89893,13,2.5,sprouter,449,52.03,4,0.1,1.795,-27.0375,125.2361111,1.34,49.79
264,Sideroad I,1225,Eucalyptus leptopoda subsp. elevata,-26.31,11,2.90741,6,2,sprouter,449,48.83,4.4,0.2,1.68,-27.0375,125.2361111,1.43,49.34
265,Sideroad I,1225,Eucalyptus leptopoda subsp. elevata,-26.31,9,2.69962,12,2.5,sprouter,449,57.34,6.4,0.2,2.124,-27.0375,125.2361111,1.3,49.66
266,Sideroad I,1225,Eucalyptus lucasii,-25.89,7,2.36778,43,6.5,sprouter,449,177.42,25.3,1.1,7.493,-27.0375,125.2361111,1.41,52.12
267,Sideroad I,1225,Eucalyptus lucasii,-25.74,9,2.50438,30,4.3,sprouter,449,187.27,20.8,0.8,7.478,-27.0375,125.2361111,1.39,52.51
268,Sideroad I,1225,Eucalyptus lucasii,-26.87,9,2.64557,44,9,sprouter,449,255.16,28.4,1.1,9.645,-27.0375,125.2361111,1.47,52.83
269,Parallel Rd,1226,Eucalyptus youngiana,-26.71,6,2.51432,63,4,sprouter,439,161.99,27,1.1,6.443,-27.03777778,125.2405556,1.12,49.43
270,Parallel Rd,1226,Eucalyptus youngiana,-27.6,7,2.47165,22,4,sprouter,439,138.42,19.8,0.8,5.6,-27.03777778,125.2405556,1.23,51.81
271,Parallel Rd,1226,Eucalyptus youngiana,-28.48,10,2.58785,38,4.8,sprouter,439,153.26,15.3,0.6,5.922,-27.03777778,125.2405556,1.09,49.69
272,Sanddunes,1250,Corymbia opaca,-26.97,11,3.40178,40,7,sprouter,419,221.01,20.1,0.6,6.497,-26.99861111,125.5338889,0.85,48.64
273,Sanddunes,1250,Eucalyptus youngiana,-27.97,5,2.52986,,,sprouter,419,199.73,39.9,1.6,7.895,-26.99861111,125.5338889,1.07,49.82
274,Sanddunes,1250,Eucalyptus youngiana,,10,2.8971,25,4.5,sprouter,419,195.96,19.6,0.7,6.764,-26.99861111,125.5338889,1.03,49.13
275,Sanddune II,1252,Eucalyptus victrix,-25.45,8,3.44805,135,7,sprouter,396,142.57,17.8,0.5,4.135,-26.99583333,125.5588889,1.33,51.15
276,Sanddune II,1252,Eucalyptus victrix,-26.83,10,3.77244,135,8.5,sprouter,396,222.71,22.3,0.6,5.904,-26.99583333,125.5588889,1.37,50.93
277,Sanddune II,1252,Eucalyptus victrix,-28.31,10,4.10761,43,4.5,sprouter,396,99.93,10,0.2,2.433,-26.99583333,125.5588889,1.38,49.76
278,Sanddune II,1252,Eucalyptus lucasii,-26.54,13,3.09353,26,5,sprouter,396,137.69,10.6,0.3,4.451,-26.99583333,125.5588889,1.54,51.6
279,Sanddune II,1252,Eucalyptus lucasii,-26.43,9,3.31038,32,5,sprouter,396,107.2,11.9,0.4,3.238,-26.99583333,125.5588889,1.68,51.98
280,Sanddune II,1252,Eucalyptus lucasii,-27.39,11,3.44099,23,4,sprouter,396,140.53,12.8,0.4,4.084,-26.99583333,125.5588889,1.44,52.77
281,Sanddune III,1254,Corymbia opaca,-27.44,10,3.68288,73,9,sprouter,399,110.35,11,0.3,2.996,-26.99611111,125.5938889,1.09,50.1
282,Sanddune III,1254,Corymbia opaca,-27.71,10,3.67315,104,12.5,sprouter,399,127.62,12.8,0.3,3.474,-26.99611111,125.5938889,0.83,47.25
283,Creek,1262,Eucalyptus intertexta,-27.12,13,3.66046,140,8.5,sprouter,443,114.47,8.8,0.2,3.127,-26.985,125.7013889,1.44,48.36
284,Creek,1262,Eucalyptus intertexta,-28.06,9,3.60929,70,9.5,sprouter,443,75.25,8.4,0.2,2.085,-26.985,125.7013889,1.38,48
285,Creek,1262,Eucalyptus intertexta,-28.23,11,4.30783,59,7,sprouter,443,92.95,8.5,0.2,2.158,-26.985,125.7013889,1.22,48.26
286,Breakaway,1288,Eucalyptus trivalvis,-27.68,14,3.3501,23,4,sprouter,445,183.13,13.1,0.4,5.466,-26.97944444,126.0525,1.06,50.74
287,Breakaway,1288,Eucalyptus trivalvis,-28,9,2.59499,30,4.5,sprouter,445,120.54,13.4,0.5,4.645,-26.97944444,126.0525,0.88,52.09
288,Breakaway,1288,Eucalyptus trivalvis,,9,2.51658,30,4.5,sprouter,445,104.76,11.6,0.5,4.163,-26.97944444,126.0525,0.76,51.47
289,Breakaway,1288,Eucalyptusyoungiana,-26.92,9,2.50723,26,4,sprouter,445,124.83,13.9,0.6,4.979,-26.97944444,126.0525,1.04,50.1
290,Breakaway,1288,Eucalyptusyoungiana,-26.73,10,2.6816,23,2.6,sprouter,445,162.14,16.2,0.6,6.046,-26.97944444,126.0525,1.03,51.41
291,Breakaway,1288,Eucalyptusyoungiana,-26.1,11,2.3796,10,4,sprouter,445,147.89,13.4,0.6,6.215,-26.97944444,126.0525,0.97,51.16
292,Lunchplace,1299,Eucalyptus gongylocarpa,-27.72,11,3.94157,110,10.5,sprouter,415,106.04,9.6,0.2,2.69,-27.00027778,126.2269444,1.08,50.8
293,Lunchplace,1299,Eucalyptus gongylocarpa,-28.56,11,3.5161,131,11.5,sprouter,415,98.82,9,0.3,2.811,-27.00027778,126.2269444,1.07,50.63
294,Lunchplace,1299,Eucalyptus gongylocarpa,-28.55,13,3.43933,53,6,sprouter,415,117.03,9,0.3,3.403,-27.00027778,126.2269444,0.95,50.29
295,Lunchplace,1299,Eucalyptus youngiana,-28.42,6,2.76956,21,4.5,sprouter,415,138.73,23.1,0.8,5.009,-27.00027778,126.2269444,0.77,49.41
296,Lunchplace,1299,Eucalyptus youngiana,-27.41,5,2.71586,21,4.5,sprouter,415,187.56,37.5,1.4,6.906,-27.00027778,126.2269444,1.09,50.34
297,Lunchplace,1299,Eucalyptus youngiana,-28.28,9,2.87432,26,5.2,sprouter,415,245.68,27.3,0.9,8.547,-27.00027778,126.2269444,0.98,49.7
298,On Road,1300,Eucalyptus concinna,-26.82,10,2.76595,26,5.5,sprouter,428,126.39,12.6,0.5,4.57,-27.00777778,126.2497222,1.25,50.59
299,On Road,1300,Eucalyptus concinna,-25.62,9,2.22594,20,4,sprouter,428,140.96,15.7,0.7,6.333,-27.00777778,126.2497222,1.08,50.37
300,On Road,1300,Eucalyptus concinna,-26.76,9,2.25498,56,5.5,sprouter,428,212.99,23.7,1,9.445,-27.00777778,126.2497222,1.1,51.07
301,On Road,1300,Eucalyptus concinna,-25.8,10,2.52044,24,4.5,sprouter,428,145.18,14.5,0.6,5.76,-27.00777778,126.2497222,1,49.29
302,On Road,1300,Eucalyptus gamophylla,-26.93,15,4.14484,21,5.5,sprouter,431,146.57,9.8,0.2,3.536,-27.00833333,126.2516667,1.34,50.39
303,On Road,1300,Eucalyptus gamophylla,-27.31,10,3.87143,40,5,sprouter,431,99.31,9.9,0.3,2.565,-27.00833333,126.2516667,1,49.69
304,On Road,1300,Eucalyptus gamophylla,-27.85,8,4.47195,36,5,sprouter,431,129.36,16.2,0.4,2.893,-27.00833333,126.2516667,1.18,49.62
305,ConneySue Hwy,1350,Eucalyptus socialis subsp. eucentrica ms,-27.96,10,2.94959,21,5,sprouter,431,119.19,11.9,0.4,4.041,-26.54277778,126.4016667,1.15,51.92
306,ConneySue Hwy,1350,Eucalyptus socialis subsp. eucentrica ms,-27.09,10,3.04962,16,5.5,sprouter,431,104.73,10.5,0.3,3.434,-26.54277778,126.4016667,1.19,52.06
307,ConneySue Hwy,1350,Eucalyptus socialis subsp. eucentrica ms,-28.66,12,3.12901,19,4,sprouter,431,89.84,7.5,0.2,2.871,-26.54277778,126.4016667,1,52.62
308,ConneySue Hwy,1350,Eucalyptus youngiana,-27.61,9,2.57315,16,5.5,sprouter,431,194.34,21.6,0.8,7.553,-26.54277778,126.4016667,1.05,50.65
309,ConneySue Hwy,1350,Eucalyptus gamophylla,-26.86,10,3.22732,20,4.5,sprouter,431,130.4,13,0.4,4.041,-26.54277778,126.4016667,0.96,44.87
310,ConneySue Hwy,1351,Eucalyptus mannensis subsp. mannensis,-27.86,11,2.41188,14,4,sprouter,397,65.28,5.9,0.2,2.707,-26.53194444,126.4036111,0.97,50.22
311,ConneySue Hwy,1351,Eucalyptus mannensis subsp. mannensis,-27.44,9,2.43461,20,5,sprouter,397,53.89,6,0.2,2.214,-26.53194444,126.4036111,0.95,49.85
312,ConneySue Hwy,1351,Eucalyptus mannensis subsp. mannensis,-26.68,10,2.43506,16,4.5,sprouter,397,74.62,7.5,0.3,3.064,-26.53194444,126.4036111,0.71,48.15
313,ConneySueCamp,1360,Eucalyptus gongylocarpa,-28.18,16,3.48465,90,10,sprouter,393,108.39,6.8,0.2,3.111,-26.42722222,126.4127778,0.9,48.88
314,ConneySueCamp,1360,Eucalyptus gongylocarpa,-28.01,11,4.24576,105,9.5,sprouter,393,66.34,6,0.1,1.563,-26.42722222,126.4127778,0.99,50.58
315,ConneySueCamp,1360,Eucalyptus gongylocarpa,-27.63,12,3.92268,90,9.5,sprouter,393,76.61,6.4,0.2,1.953,-26.42722222,126.4127778,0.99,50.28
316,ConneySueCamp,1360,Eucalyptus soziales,-28.32,8,3.40357,9,5.5,sprouter,393,72.53,9.1,0.3,2.131,-26.42722222,126.4127778,1.06,51.19
317,ConneySueCamp,1360,Eucalyptus soziales,-27.76,6,2.86028,15,4,sprouter,393,135.64,22.6,0.8,4.742,-26.42722222,126.4127778,1.11,52.33
318,ConneySueCamp,1360,Eucalyptus soziales,-27.88,10,3.17722,15,4,sprouter,393,108.07,10.8,0.3,3.401,-26.42722222,126.4127778,0.99,53.45
319,ConneySueCamp,1360,Eucalyptus eremicola subsp. peeneri ms,-27.46,10,3.11142,13,4,sprouter,393,91.79,9.2,0.3,2.95,-26.42722222,126.4127778,1.19,50.31
320,ConneySueCamp,1360,Eucalyptus eremicola subsp. peeneri ms,-27.86,11,2.61231,19,4,sprouter,393,78.97,7.2,0.3,3.023,-26.42722222,126.4127778,0.92,49.84
321,ConneySueCamp,1360,Eucalyptus eremicola subsp. peeneri ms,-26.74,13,3.3787,15,3,sprouter,393,75.97,5.8,0.2,2.249,-26.42722222,126.4127778,1.19,51.8
322,ConneySueCamp,1360,Eucalyptus mannensis subsp. mannensis,-27.6,11,2.76845,20,5,sprouter,393,84.28,7.7,0.3,3.044,-26.42722222,126.4127778,0.91,50.25
323,ConneySueCamp,1360,Eucalyptus mannensis subsp. mannensis,-26.84,13,2.75874,15,4,sprouter,393,96.36,7.4,0.3,3.493,-26.42722222,126.4127778,1.15,50.66
324,ConneySueCamp,1360,Eucalyptus mannensis subsp. mannensis,-26.1,12,2.59975,15,4,sprouter,393,86.53,7.2,0.3,3.328,-26.42722222,126.4127778,1.18,50.92
325,Neili Jucn,1356,Eucalyptus gamophylla,-27.38,11,4.8788,40,5.5,sprouter,468,132.24,12,0.2,2.711,-26.36777778,126.285,0.99,50.04
326,Neili Jucn,1356,Eucalyptus gamophylla,-26.11,11,3.29189,61,4.5,sprouter,468,185.35,16.9,0.5,5.631,-26.36777778,126.285,1.08,48.14
327,Neili Jucn,1356,Eucalyptus gamophylla,-26.2,12,3.93601,26,4,sprouter,468,103.71,8.6,0.2,2.635,-26.36777778,126.285,1.01,50.67
328,Neili Jucn,1356,Eucalyptus gamophylla ,-26.15,10,4.03112,6,2,sprouter,468,215.52,21.6,0.5,5.346,-26.36777778,126.285,1.5,49.91
329,Neili Jucn,1356,Eucalyptus gamophylla,-27.18,10,3.80906,5,1.5,sprouter,468,215.49,21.5,0.6,5.657,-26.36777778,126.285,0.96,49.08
330,Neili Jucn,1356,Eucalyptus gamophylla ,-27.58,11,3.78099,5,1.5,sprouter,468,307.61,28,0.7,8.136,-26.36777778,126.285,1.05,49.26
331,Rd Warburton,1367,Corymbia chippendalei,-29.18,12,3.59673,80,8.5,sprouter,431,180.2,15,0.4,5.01,-26.23472222,126.2763889,1.2,48.36
332,Rd Warburton,1367,Corymbia chippendalei,-27.75,9,3.07097,135,9,sprouter,431,85.68,9.5,0.3,2.79,-26.23472222,126.2763889,0.89,47.74
333,Rd Warburton,1367,Corymbia chippendalei,-28.53,9,2.99157,84,9,sprouter,431,112.51,12.5,0.4,3.761,-26.23472222,126.2763889,1.08,49.49
334,Warburton,1442,Eucalyptus oxymitra,-27.08,8,2.64516,11,2.5,sprouter,496,161.81,20.2,0.8,6.117,-25.88083333,126.9127778,1.07,49.17
335,Warburton,1442,Eucalyptus oxymitra,-26.3,8,2.52659,9,2.5,sprouter,496,137.3,17.2,0.7,5.434,-25.88083333,126.9127778,1.02,48.01
336,Warburton,1442,Eucalyptus oxymitra,-26.43,10,2.50336,9,2.5,sprouter,496,182.77,18.3,0.7,7.301,-25.88083333,126.9127778,1.02,49.36
337,Warburton,1442,Eucalyptus gamophylla,-26.86,10,3.41967,17,3,sprouter,496,144.97,14.5,0.4,4.239,-25.88083333,126.9127778,0.93,48.99
338,Warburton,1442,Eucalyptus gamophylla,-26.29,9,3.47471,13,3,sprouter,496,93.64,10.4,0.3,2.695,-25.88083333,126.9127778,1.02,49.66
339,Warburton,1442,Eucalyptus gamophylla,-25.91,12,3.24856,17,4,sprouter,496,118.67,9.9,0.3,3.653,-25.88083333,126.9127778,1.04,48.76
340,Warburton II,1454,Eucalyptus kingsmillii - Eucalyptus youngiana intergrade,-27.65,8,2.57671,21,5,sprouter,519,133.69,16.7,0.6,5.188,-25.82722222,127.0111111,1.05,49.67
341,Warburton II,1454,Eucalyptus kingsmillii - Eucalyptus youngiana intergrade,-26.96,8,2.46154,19,5,sprouter,519,163.69,20.5,0.8,6.65,-25.82722222,127.0111111,1.03,49.29
