Sample,location,distance [km],Species,d13C,No. of Leaves,Specific Leaf Area (m2 kg-1),"BHU 1,3 [cm]",tree height [m],Sprouter or obligate Seeder,above See NN [m],Leaf Area (cm2),area per Leaf [cm2]/No. Leaf,Dry weight per leaf [g]/No. Leaves,Dry matter (g),Latitude,Longitude,N [%],C [%]
90,Lake Grace,240,Eucalyptus flocktoniae subsp. flocktoniae,-25.95,10,2.41288,35,6.8,sprouter,311,43.55,4.4,0.2,1.805,-33.38166667,118.51,0.86,55.03
91,Lake Grace,240,Eucalyptus flocktoniae subsp. flocktoniae,-24.22,11,2.89922,42,7.5,sprouter,311,56.01,5.1,0.2,1.932,-33.38166667,118.51,1.12,53.61
92,Lake Grace,240,Eucalyptus pileata,-24.95,9,2.31867,25,4.5,sprouter,311,45.81,5.1,0.2,1.976,-33.38166667,118.51,0.97,53.15
93,Lake Grace,240,Eucalyptus pileata,-25.55,10,2.30193,39,4,sprouter,311,90.07,9,0.4,3.913,-33.38166667,118.51,1.01,53.34
94,Lake Grace,240,Eucalyptus pileata,-24.61,9,1.86227,30,5.2,sprouter,311,51.92,5.8,0.3,2.788,-33.38166667,118.51,0.85,52.98
95,Grace camp,257,Eucalyptus samonophloia,-26.6,10,3.11859,253,13.77,sprouter,311,64.72,6.5,0.2,2.075,-33.165,118.4727778,1.05,52.84
96,Grace camp,257,Eucalyptus samonophloia,-27.05,11,3.83228,237,15.66,sprouter,311,66.49,6,0.2,1.735,-33.165,118.4727778,1.45,52.37
97,Grace camp,257,Eucalyptus samonophloia,-25.78,11,3.16831,240,17.94,sprouter,311,82.49,7.5,0.2,2.604,-33.165,118.4727778,1.55,52.68
98,Grace camp,257,Eucalyptus salubris,-23.68,10,2.45664,73,11.75,obligater seeder,311,41.5,4.2,0.2,1.689,-33.165,118.4727778,0.81,52.86
99,Grace camp,257,Eucalyptus salubris,-24.51,14,2.54414,60,13.26,obligater seeder,311,51.73,3.7,0.1,2.033,-33.165,118.4727778,1.06,53.93
100,Grace camp,257,Eucalyptus salubris,-25.6,13,2.59594,76,12,obligater seeder,311,69.47,5.3,0.2,2.676,-33.165,118.4727778,1.02,53.6
101,Grace camp,257,Eucalyptus urna,-24.68,8,2.26093,97,11.25,obligater seeder,311,82.68,10.3,0.5,3.657,-33.165,118.4727778,1.08,52.42
102,Grace camp,257,Eucalyptus urna,-26.16,11,2.41575,105,12.25,obligater seeder,311,113.83,10.3,0.4,4.712,-33.165,118.4727778,1.03,53.44
103,Grace camp,257,Eucalyptus urna,-25.92,15,2.76677,85,13.25,obligater seeder,311,128.27,8.6,0.3,4.636,-33.165,118.4727778,1.26,53.06
104,Jilakin Rock,296,Eucalyptus marginata subsp. marginata,-26.76,9,4.36847,110,15.5,sprouter,285,105.35,11.7,0.3,2.412,-32.66472222,118.3258333,1.39,53.37
105,Jilakin Rock,296,Eucalyptus marginata subsp. marginata,-27.71,8,4.21319,156,18.09,sprouter,285,114.03,14.3,0.3,2.707,-32.66472222,118.3258333,1.31,53.26
106,Jilakin Rock,296,Eucalyptus marginata subsp. marginata,-26.09,10,3.64268,182,18.63,sprouter,285,146.25,14.6,0.4,4.015,-32.66472222,118.3258333,1.31,52.53
107,Jilakin Rock,296,Eucalyptus loxophleba subsp. loxophleba,-27.63,11,3.9305,124,13,sprouter,285,135.5,12.3,0.3,3.447,-32.66472222,118.3258333,1.47,52.39
108,Jilakin Rock,296,Eucalyptus loxophleba subsp. loxophleba,-27.41,11,3.00469,122,17.25,sprouter,285,168.53,15.3,0.5,5.609,-32.66472222,118.3258333,1.3,52.39
109,Jilakin Rock,296,Eucalyptus loxophleba subsp. loxophleba,-26.46,9,2.9767,113,17.75,sprouter,285,113.43,12.6,0.4,3.811,-32.66472222,118.3258333,1.32,52.22
110,Dragon Rock,327,Eucalyptus astringens subsp. redacta,-25.99,7,2.85855,72,8.5,obligate seeder,406,55.33,7.9,0.3,1.936,-32.72972222,119.0047222,0.97,51.87
111,Dragon Rock,327,Eucalyptus astringens subsp. redacta,-26.35,7,2.5917,86,13.26,obligate seeder,406,53.84,7.7,0.3,2.077,-32.72972222,119.0047222,0.86,52.87
112,Dragon Rock,327,Eucalyptus astringens subsp. redacta,-25.62,10,2.41918,54,98,obligate seeder,406,95.34,9.5,0.4,3.941,-32.72972222,119.0047222,0.91,51.36
113,Dragon Rock,327,Eucalyptus phaenophylla,-26.22,9,2.56617,21,6,sprouter,406,59.63,6.6,0.3,2.324,-32.72972222,119.0047222,0.89,54.17
114,Dragon Rock,327,Eucalyptus phaenophylla,-25.77,10,2.17694,19,55,sprouter,406,90.6,9.1,0.4,4.162,-32.72972222,119.0047222,0.78,53.76
115,Dragon Rock,327,Eucalyptus phaenophylla,-26.89,10,2.22897,16,4.2,sprouter,406,78.89,7.9,0.4,3.539,-32.72972222,119.0047222,0.76,53.93
116,Dragon Rock,327,Eucalyptusflocktoniae subsp. flocktonia,-24.91,7,2.09052,18,6.7,sprouter,406,94.36,13.5,0.6,4.514,-32.72972222,119.0047222,0.92,52.67
