Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)",seed_mass_outcome,plant_height_outcome
Pimelea serpyllifolia,Myrtales,Thymeleaceae,Pimelea,1474,1.5,0.137445,0.0028556,0,0,0,omit,keep
Pittosporum bicolor,Rosales,Pittosporaceae,Pittosporum,1476,15,12.7235,0.005668,0,0,0,omit,keep
Plantago bellidioides,Plantaginales,Plantaginaceae,Plantago,1482,0.065,29.0074,3.576e-4,1,1,0,omit,keep
Plantago daltonii,Plantaginales,Plantaginaceae,Plantago,1483,0.05,29.0074,5.49867e-4,0,1,1,keep,keep
Plantago debilis,Plantaginales,Plantaginaceae,Plantago,1484,0.05,47.1239,2.168e-4,0,0,0,keep,keep
Plantago glabrata,Plantaginales,Plantaginaceae,Plantago,1486,0.065,29.0074,5.49867e-4,1,1,1,keep,keep
Plantago gunnii,Plantaginales,Plantaginaceae,Plantago,1488,0.03,29.0074,5.49867e-4,0,1,1,keep,keep
Plantago hispida,Plantaginales,Plantaginaceae,Plantago,1489,0.1,8.4823,5.49867e-4,0,0,1,keep,keep
Plantago paradoxa,Plantaginales,Plantaginaceae,Plantago,1490,0.03,29.0074,3.312e-4,0,1,0,keep,keep
Plantago tasmanica,Plantaginales,Plantaginaceae,Plantago,1491,0.03,29.0074,2.624e-4,0,1,0,keep,keep
Plantago triantha,Plantaginales,Plantaginaceae,Plantago,1492,0.03,29.0074,3.824e-4,0,1,0,omit,keep
Plantago varia,Plantaginales,Plantaginaceae,Plantago,1493,0.2,31.4159,0.0017488,0,0,0,keep,keep
Platylobium formosum,Fabales,Fabaceae,Platylobium,1494,2.5,13.7445,0.00202928,0,0,0,keep,keep
Platylobium obtusangulum,Fabales,Fabaceae,Platylobium,1495,1,8.95354,0.00569,0,0,0,keep,keep
Platylobium triangulare,Fabales,Fabaceae,Platylobium,1496,0.2,6.53451,0.00385964,0,0,1,keep,keep
Pleurosorus rutifolius,Polypodiales,Aspleniaceae,Pleurosorus,1497,0.1,0.785398,0.0033,0,1,1,keep,keep
Poa clelandii,Poales,Poaceae,Poa,1501,0.5,0.054847,3.296e-4,0,1,0,keep,keep
Poa clivicola,Poales,Poaceae,Poa,1502,0.5,0.054847,3.676e-4,0,1,0,keep,keep
Poa gunnii,Poales,Poaceae,Poa,1505,0.7,0.054847,4.724e-4,0,1,0,keep,keep
Poa hookeri,Poales,Poaceae,Poa,1508,0.86,0.054847,4.204e-4,1,1,1,keep,keep
Poa labillardierei,Poales,Poaceae,Poa,1510,0.5,0.054847,5e-4,0,1,0,keep,keep
Poa mollis,Poales,Poaceae,Poa,1511,0.8,0.054847,4.204e-4,0,1,1,keep,keep
Poa poiformis,Poales,Poaceae,Poa,1512,1,0.054847,2.84e-4,0,1,0,keep,keep
Poa rodwayi,Poales,Poaceae,Poa,1513,0.6,0.054847,4.072e-4,0,1,0,keep,keep
Poa saxicola,Poales,Poaceae,Poa,1514,1,0.141372,6.188e-4,0,0,0,keep,keep
Poa sieberiana,Poales,Poaceae,Poa,1515,1,0.00549779,4.204e-4,0,0,1,keep,keep
Poa tenera,Poales,Poaceae,Poa,1516,2,0.0176715,3.836e-4,0,0,0,keep,keep
Podocarpus lawrencei,Pinales,Podocarpaceae,Podocarpus,1517,1,0.235619,0.00177688,0,0,1,keep,keep
Podolepis jaceoides,Asterales,Asteraceae,Podolepis,1518,0.7,31.41592654,8.22e-4,0,0,0,keep,omit
Polyphlebium venosum,Polypodiales,Hymenophyllaceae,Polyphlebium,1522,0.1375,10.8123,0.0033,1,1,1,keep,keep
Polystichum proliferum,Polypodiales,Dryopteridaceae,Polystichum,1524,0.8,53.01437603,0.0033,0,0,1,keep,keep
Pomaderris apetala,Rhamnales,Rhamnaceae,Pomaderris,1525,15,25.9181,0.0011348,0,0,0,keep,keep
Pomaderris aspera,Rhamnales,Rhamnaceae,Pomaderris,1526,15,56.5487,9.984e-4,0,0,0,keep,keep
Pomaderris elliptica,Rhamnales,Rhamnaceae,Pomaderris,1528,4,31.8086,0.0010548,0,0,0,keep,keep
Pomaderris phylicifolia,Rhamnales,Rhamnaceae,Pomaderris,1532,2.5,0.706858,6.86e-4,0,0,0,keep,keep
Pomaderris pilifera,Rhamnales,Rhamnaceae,Pomaderris,1533,3,8.24668,0.0012344,0,0,0,keep,keep
Poranthera microphylla,Malpighiales,Phyllanthaceae,Poranthera,1535,0.15,0.353429,0.0028776,0,0,1,keep,keep
Potamogeton australiensis,Alismatales,Potamogetonaceae,Potamogeton,1538,0,25.5254,1.66e-4,0,0,1,keep,NA
Potamogeton tricarinatus,Alismatales,Potamogetonaceae,Potamogeton,1542,0.2,25.5254,1.66e-4,0,0,1,keep,keep
Prasophyllum alpestre,Asparagales,Orchidaceae,Prasophyllum,1543,0.45,51.443600000000004,1.14e-5,0,1,1,keep,keep
Prasophyllum alpinum,Asparagales,Orchidaceae,Prasophyllum,1544,0.3,51.443600000000004,1.14e-5,0,1,1,keep,keep
Prasophyllum australe,Asparagales,Orchidaceae,Prasophyllum,1548,0.8,51.443600000000004,1.15e-6,0,1,0,keep,keep
Prasophyllum brevilabre,Asparagales,Orchidaceae,Prasophyllum,1549,0.48,51.443600000000004,1.14e-5,0,1,1,keep,keep
Prasophyllum elatum,Asparagales,Orchidaceae,Prasophyllum,1553,1.5,51.443600000000004,1.14e-5,0,1,1,keep,keep
Prasophyllum fuscum,Asparagales,Orchidaceae,Prasophyllum,1556,0.61,51.443600000000004,1.14e-5,1,1,1,keep,keep
Prasophyllum limnetes,Asparagales,Orchidaceae,Prasophyllum,1560,0.4,16.4934,1.14e-5,0,0,1,keep,keep
Prasophyllum odoratum,Asparagales,Orchidaceae,Prasophyllum,1566,0.5,51.443600000000004,1.14e-5,0,1,1,keep,keep
Prasophyllum pulchellum,Asparagales,Orchidaceae,Prasophyllum,1569,0.61,51.443600000000004,2.16e-5,1,1,0,keep,keep
Prasophyllum rostratum,Asparagales,Orchidaceae,Prasophyllum,1571,0.45,86.3938,1.14e-5,0,0,1,keep,keep
Pratia irrigua,Asterales,Lobeliaceae,Pratia,1580,0.1,0.714712,3.07e-5,1,1,1,keep,keep
Pratia pedunculata,Asterales,Lobeliaceae,Pratia,1581,0.1,0.714712,3.07e-5,0,0,1,keep,keep
Prionotes cerinthoides,Ericales,Ericaceae,Prionotes,1583,10,0.785398,0.00707748,0,0,1,keep,keep
Prostanthera lasianthos,Lamiales,Lamiaceae,Prostanthera,1584,8,30.159300000000002,0.0019592,0,0,0,keep,keep
Prostanthera rotundifolia,Lamiales,Lamiaceae,Prostanthera,1585,3,2.35619,0.0019592,0,0,1,keep,keep
Pseudognaphalium luteoalbum,Asterales,Asteraceae,Pseudognaphalium,1587,0.45,1.9635,1.77e-5,0,0,0,keep,keep
Pseudopanax gunnii,Apiales,Araliaceae,Pseudopanax,1588,1.5,12.5664,1.676e-4,0,0,1,keep,keep
Pteridium esculentum,Polypodiales,Dennstaedtiaceae,Pteridium,1590,1.5,10.99557429,0.0033,0,1,1,keep,keep
Pteris tremula,Polypodiales,Pteridaceae,Pteris,1592,2,35.34291735,0.0033,0,0,1,keep,keep
Pterostylis alata,Asparagales,Orchidaceae,Pterostylis,1593,0.0892857,5.45197,6.4e-6,1,1,1,keep,keep
Pterostylis aphylla,Asparagales,Orchidaceae,Pterostylis,1595,0.0892857,5.45197,3.2e-6,1,1,0,keep,keep
Pterostylis concinna,Asparagales,Orchidaceae,Pterostylis,1599,0.1,3.53429,2e-5,0,0,0,keep,keep
Pterostylis curta,Asparagales,Orchidaceae,Pterostylis,1601,0.1,23.5619,6.4e-6,0,0,1,keep,keep
Pterostylis decurva,Asparagales,Orchidaceae,Pterostylis,1602,0.1,4.71239,6.4e-6,0,0,1,keep,keep
Pterostylis dubia,Asparagales,Orchidaceae,Pterostylis,1603,0.0892857,5.45197,6.4e-6,1,1,1,keep,keep
Pterostylis foliata,Asparagales,Orchidaceae,Pterostylis,1605,0.1,6.28319,6.4e-6,0,0,1,keep,keep
Pterostylis longifolia,Asparagales,Orchidaceae,Pterostylis,1608,0.1,1.25664,6.4e-6,0,0,1,keep,keep
Pterostylis melagramma,Asparagales,Orchidaceae,Pterostylis,1610,0.1,5.45197,6.4e-6,0,1,1,keep,keep
Pterostylis nana,Asparagales,Orchidaceae,Pterostylis,1611,0.05,1.5708,6.4e-6,0,0,1,keep,keep
Pterostylis nutans,Asparagales,Orchidaceae,Pterostylis,1612,0.05,5.45197,3.86e-7,0,1,0,keep,keep
Pterostylis parviflora,Asparagales,Orchidaceae,Pterostylis,1614,0.05,3.53429,6.4e-6,0,0,1,keep,keep
Pterostylis pedoglossa,Asparagales,Orchidaceae,Pterostylis,1615,0.05,1.88496,6.4e-6,0,0,1,keep,keep
Pterostylis pedunculata,Asparagales,Orchidaceae,Pterostylis,1616,0.05,9.18916,6.4e-6,0,0,1,keep,keep
