taxon_name
Melicytus dentatus s.s. (broad-leaf variant)
Melicytus dentatus s.s. (narrow-leaf variant)
Oxalis exilis/perennans
Oxalis sp. aff. exilis (glabrescent)
Parietaria cardiostegia/debilis
Pelargonium littorale subsp. helmsii
Persicaria lapathifolia (floccose form)
Pimelea linifolia subsp. rubiginosa
Pimelea sp.6
Platysace lanceolata var. ovata
Plectranthus sp. (Snowy River)
Poa labillardierei (blue leaved form)
Poa labillardierei subsp. nervosa
Poa sp. (Ellery)
Poa sp. (Lake Omeo)
Prasophyllum aff. correctum (Basalt Plain)
Prunella aff. vulgaris (Montane)
Pterostylis cycnocephala/mutica
Pterostylis sp. aff. striata (Silurian)
Ptilotus spathulatus f. angustatus
Rytidosperma aff. caespitosum (Coastal Variant)
Rytidosperma aff. indutum (Lake Omeo)
Sclerolaena diacantha (erect shrubby form)
Sclerolaena diacantha (prostrate herbaceous form)
Sclerolaena diacantha var. deminuta
Sclerolaena diacantha/uniflora
Senecio linearifolius var. glaucus ms.
Senecio pinnatifolius var. lanceolatus (swamp form)
Senecio sp. nov. (Kiandra)
Sida aff. corrugata (grey-leaf Boort form)
Solanum ellipticum/quadriloculatum
Tetragonia eremaea/tetragonoides
Thelymitra aff. ixioides (Western Victoria)
Thelymitra nuda/pauciflora
Thelymitra nuda-pauciflora complex
Triglochin striata (flat leaf variant)
Triglochin striata (robust terete leaf variant)
Triglochin striata (small terete leaf variant)
Veronica sp. aff. gracilis (Lake Omeo)
Viola cleistogamoides/sieberana
Viola hederacea sensu Entwisle (1996)
Viola hederacea sensu Thiele & Prober
Viola hederacea sensu Willis (1972)
Viola seppeltiana
Wahlenbergia aff. gracilis (Grampians)
Zieria arborescens subsp. 'europhylla'
