species,seed_mass
Parinari nonda,3019.68
Parsonsia howeana,12.3068
Paspalidium caespitosum,0.5348
Paspalidium reflexum,0.6068
Persicaria barbata,0.6248
Persoonia arborea,192.9636
Persoonia linearis,109.16
Persoonia myrtilloides,112.8748
Persoonia nutans,92.4
Petrophile clavata,10.315493
Phebalium ovatifolium,2.86
Piper mestonii,1.3468
Pityrodia angustisepala,14.0167286
Pityrodia cuneata,2.8384
Pityrodia loxocarpa,2.4008
Pityrodia oldfieldii,4.8264
Pityrodia paniculata,4.5856
Pityrodia terminalis,7.249
Podolepis rugata,0.77
Polyalthia nitidissima,147
Polygala isingii,1.94
Potamogeton pectinatus,6.28
Prostanthera sericea,3.4296
Prostanthera teretifolia,2.9929293
Psychotria daphnoides,18.4134
Pterostylis planulata,0.0014211
Ptilotus astrolasius,0.90796
Ptilotus calostachyus,0.494
Ptilotus latifolius,1.49876
Pycreus flavidus,0.129
Queenslandiella hyalina,0.3516
Ranunculus flammula,0.598
Ranunculus flammula,0.48
Regelia cymbifolia,0.61240000000000006
Regelia inops,1.3
Regelia megacephala,7.40144
Regelia velutina,3.1569
Rhagodia baccata,0.666
Rhagodia crassifolia,1.4904
Rhagodia parabolica,0.846
Rhagodia preissii,2.3512
Rhagodia preissii,1.10008
Rhynchospora rugosa,1.3148
Rhynchospora rugosa,1.3706
Rourea minor,284
Rutidosis leptorrhynchoides,1.2
Scaevola cunninghamii,17.544
Scaevola hookeri,4.7536
Scaevola nitida,8.6654
Scaevola ovalifolia,6.42
Scaevola parvibarbata,8.4076
Scaevola pulchella,16.1952
Schizachyrium brevifolium,0.3008
Schoenoplectus litoralis,0.793
Schoenoplectus litoralis,0.9525
Schoenoplectus mucronatus,0.90288
Scholtzia capitata,1.21688
Scholtzia laxiflora,3.4096
Scholtzia spatulata,1.31
Scholtzia uberiflora,2.5628
Scirpus americanus,2.49
Scirpus articulatus,0.6
Scirpus cernuus,0.11
Scirpus fluviatilis,7.18
Scirpus lacustris,1.62
Scirpus setaceus,0.05
Sclerolaena diacantha,5.142
Senecio gunnii,0.253
Senecio hispidulus,0.3122
Seringia hillii,4.0072
Sida filiformis,6.0092
Sida platycalyx,1304.4
Sida subspicata,1.1152
Sigesbeckia australiensis,1.3016
Solanum chippendalei,4.436
Solanum melongena,3.5
Solanum scabrum,0.7
Solanum viarum,2.268
Sondottia glabrata,2.7164
Spartothamnella juncea,6.984
Spartothamnella teucriiflora,3.4376
Stellaria caespitosa,0.21
Sterculia foetida,705
Streblus pendulinus,15.175
Stylidium coroniforme,0.2058462
Stylidium emarginatum,0.00676
Stylidium junceum,0.0964
Symplocos cochinchinensis,102.52
Syzygium paniculatum,136
Tecticornia arbuscula,2.3624
Tecticornia doleiformis,0.8668
Tecticornia tenuis,60.8584
Tecticornia triandra,217.08
Terminalia hadleyana,1012.3992
Tersonia cyathiflora,449.56
Tetragonia eremaea,9.39072
Tetragonia moorei,163.1884
Tetragonia tetragonioides,34.5528
Thelymitra arenaria,0.0016379
Thryptomene saxicola,1.39
Trianthema oxycalyptra,0.63
