latitude (deg),longitude (deg),locations,locality,topography,soil type,family,Samples,Leaf [P] (mg/g),Leaf [Mn] (mg/g),BS-APA (umol pNP g-1 soil h-1),RS-APA (umol pNP g-1 soil h-1),deltaAPA (umol pNP g-1 soil h-2),RS-TP (mg/kg),RS-OP (mg/kg),RS-RP (mg/kg),BS-TP (mg/kg),BS-OP (mg/kg),BS-RP (mg/kg),BS-PH,RS-PH,BS-WC (%),RS-WC (%)
-32.0223,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Acacia pulchella-D4,0.65,0.17,0.96,2.45,1.50,6.59,5.12,0.56,8.18,6.13,0.55,5.73,5.48,9.90,13.07
-32.0222,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Acacia pulchella-D5,0.59,0.21,0.75,3.70,2.95,7.16,5.83,0.75,6.46,4.18,0.50,5.56,5.16,5.38,18.27
-32.0222,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Melaleuca seriata-D1,0.33,0.02,0.70,1.13,0.43,4.53,3.26,0.70,6.47,5.20,0.54,5.77,5.52,5.60,10.10
-32.0222,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Melaleuca seriata-D2,0.29,0.02,1.24,0.90,-0.35,7.92,6.03,0.67,7.04,5.88,0.38,5.82,5.63,6.63,7.27
-32.0223,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Melaleuca seriata-D3,0.27,0.03,0.67,2.13,1.46,6.85,4.77,0.40,5.24,3.67,0.41,5.66,5.52,6.65,7.36
-32.0223,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Melaleuca seriata-D4,0.30,0.01,0.63,1.70,1.07,6.32,5.16,0.33,6.56,4.90,0.42,5.65,5.52,5.24,9.75
-32.0223,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Melaleuca seriata-D5,0.31,0.03,0.82,0.34,-0.47,6.47,5.52,0.42,6.35,5.02,0.46,5.61,5.57,6.45,6.77
-32.0223,115.9814,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Hypocalymma suave-D1,0.29,0.11,0.59,0.99,0.41,13.99,11.56,1.11,4.69,3.42,0.51,5.58,5.36,6.26,6.28
-32.0217,115.9815,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Hypocalymma suave-D2,0.29,0.03,0.87,0.67,-0.20,10.71,9.73,0.75,6.28,5.01,0.53,5.71,5.30,6.00,7.84
-32.0220,115.9814,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Hypocalymma suave-D3,0.38,0.06,0.86,0.31,-0.55,10.28,9.18,0.69,5.73,4.56,0.45,5.42,5.16,5.40,7.99
-32.0223,115.9813,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Hypocalymma suave-D4,0.39,0.11,0.64,1.05,0.41,11.52,9.48,1.12,7.79,6.54,0.63,5.45,5.17,3.55,5.66
-32.0223,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Myrtaceae,Hypocalymma suave-D5,0.40,0.06,0.91,0.28,-0.63,4.48,3.99,0.50,5.15,4.42,0.43,5.60,5.32,4.14,4.51
-32.0204,115.9793,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Leucopogon sp. (C. Tauss 5646)-D1,0.30,0.08,0.91,0.65,-0.26,4.04,3.20,0.43,5.73,4.89,0.49,5.67,5.32,6.01,9.08
-32.0204,115.9793,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Leucopogon sp. (C. Tauss 5646)-D2,0.32,0.03,0.56,0.69,0.13,6.82,5.61,1.04,7.62,6.63,0.44,5.57,5.06,6.66,8.92
-32.0203,115.9794,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Leucopogon sp. (C. Tauss 5646)-D3,0.34,0.03,0.79,0.38,-0.41,5.65,4.57,0.86,7.57,6.66,0.38,5.67,5.16,7.26,7.45
-32.0203,115.9794,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Leucopogon sp. (C. Tauss 5646)-D4,0.31,0.05,0.61,0.20,-0.41,3.97,3.37,0.38,5.67,4.83,0.30,5.65,5.01,6.03,8.58
-32.0203,115.9794,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Leucopogon sp. (C. Tauss 5646)-D5,0.29,0.05,0.79,0.82,0.03,4.33,3.03,0.38,6.53,5.58,0.44,4.93,5.15,9.80,4.62
-32.0220,115.9813,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Conostephium pendulum-D1,0.29,0.04,0.58,1.49,0.90,4.78,3.74,0.46,7.87,7.04,0.36,5.48,5.28,4.55,3.71
-32.0224,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Conostephium pendulum-D2,0.33,0.03,0.57,1.16,0.59,6.68,6.04,0.47,9.37,7.11,0.34,5.74,5.55,6.04,9.19
-32.0226,115.9813,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Conostephium pendulum-D3,0.24,0.06,0.56,0.31,-0.24,4.42,3.08,0.67,11.34,9.51,0.44,5.68,5.25,4.75,3.35
-32.0217,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Conostephium pendulum-D4,0.29,0.09,0.37,1.31,0.94,6.83,5.43,0.33,10.21,8.79,0.48,5.31,5.16,5.19,6.04
-32.0217,115.9814,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Conostephium pendulum-D5,0.33,0.05,0.60,1.63,1.04,7.84,6.54,0.35,9.41,8.88,0.34,5.80,5.00,8.55,7.68
-32.0223,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Styphelia conostephioides-D1,0.31,0.04,0.47,1.16,0.69,11.45,9.10,1.06,6.82,5.79,0.39,5.79,5.08,7.18,8.98
-32.0223,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Styphelia conostephioides-D2,0.37,0.06,0.61,1.16,0.56,8.28,7.06,0.48,7.37,6.19,0.44,5.74,5.10,5.48,12.55
-32.0227,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Styphelia conostephioides-D3,0.28,0.03,0.46,1.07,0.61,5.60,4.78,0.64,7.11,5.41,0.47,5.71,5.01,7.75,5.99
-32.0223,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Styphelia conostephioides-D4,0.29,0.03,0.36,0.92,0.55,2.82,2.39,0.47,6.42,5.67,0.35,5.66,4.93,7.15,16.01
-32.0223,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Ericaceae,Styphelia conostephioides-D5,0.36,0.04,0.69,0.33,-0.37,3.94,3.36,0.60,5.36,4.67,0.43,5.54,5.21,6.68,6.20
