date,habitat,site,bee_taxon,total_bee_n,flower_species,count,basis_of_record,cultivar_status
2016-11,Residential garden,Nedlands,Honeybee,961,Echeveria,3,captive_cultivated,cultivar
2016-11,Residential garden,Nedlands,Honeybee,961,Lavendula dentata,5,captive_cultivated,cultivar
2016-11,Residential garden,Nedlands,Honeybee,961,Melaleuca huegelii,480,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Honeybee,961,Pelargonium × hortorum,3,captive_cultivated,cultivar
2016-11,Residential garden,Nedlands,Honeybee,961,Rosa,5,captive_cultivated,cultivar
2016-11,Residential garden,Nedlands,Honeybee,961,Tanacetum cinerariifolium,5,captive_cultivated,cultivar
2016-11,Residential garden,Nedlands,Honeybee,961,Vitis vinifera,430,captive_cultivated,cultivar
2016-11,Residential garden,Nedlands,Honeybee,961,Westringia fruticosa,10,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Hylaeinae,14,Banksia ashbyi,12,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Hylaeinae,14,Melaleuca huegelii,2,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Lasioglossum,2,Melaleuca huegelii,2,captive_cultivated,wild
2016-11,Residential garden,Osborne Park,Honeybee,22,Agonis flexuosa,22,captive_cultivated,wild
2016-11,Residential garden,Osborne Park,Megachile,1,Callistemon viminalis,1,captive_cultivated,wild
2016-11,Residential garden,Wembley,Honeybees,397,Ceratopetalum gummiferum,5,captive_cultivated,wild
2016-11,Residential garden,Wembley,Honeybees,397,Limonium perezii,5,captive_cultivated,cultivar
2016-11,Residential garden,Wembley,Honeybees,397,Melaleuca braceata (Revolution),380,captive_cultivated,cultivar
2016-11,Residential garden,Wembley,Honeybees,397,Sida fallax Butterkin,5,captive_cultivated,cultivar
2016-11,Residential garden,Wembley,Honeybees,397,Tropaeolum majus (Nasurtium),2,captive_cultivated,cultivar
2016-11,Residential garden,Wembley,Hylaeinae,20,Melaleuca braceata (Revolution),20,captive_cultivated,cultivar
2016-11,Residential garden,Wembley,Lasioglossum,1,Lobelia erinus,1,captive_cultivated,cultivar
2016-11,Residential garden,Wilson,Honeybees,190,Arctotheca calendula,2,captive_cultivated,wild
2016-11,Residential garden,Wilson,Honeybees,190,Callistemon salignus 'Perth Pink',50,captive_cultivated,cultivar
2016-11,Residential garden,Wilson,Honeybees,190,Callistemon viminalis,10,captive_cultivated,wild
2016-11,Residential garden,Wilson,Honeybees,190,Gazania linearis,3,captive_cultivated,cultivar
2016-11,Residential garden,Wilson,Honeybees,190,Leucospermum,100,captive_cultivated,cultivar
2016-11,Residential garden,Wilson,Honeybees,190,Pelargonium (Regal pelargonium),2,captive_cultivated,cultivar
2016-11,Residential garden,Wilson,Honeybees,190,Regelia ciliata,3,captive_cultivated,wild
2016-11,Residential garden,Wilson,Honeybees,190,Rosa,20,captive_cultivated,cultivar
2016-11,Residential garden,Wilson,Lasioglossum,1,Arctotheca calendula,1,captive_cultivated,wild
2016-11,Residential garden,Wilson,Leioproctus,1,Callistemon viminalis,1,captive_cultivated,wild
2016-12,Bushland remnant,Bold Park,Honeybees,24,Banksia attenuata,22,field,wild
2016-12,Bushland remnant,Bold Park,Honeybees,24,Corynotheca micrantha,2,field,wild
2016-12,Bushland remnant,Bold Park,Megachile,281,Jacksonia furcellata,281,field,wild
2016-12,Bushland remnant,Kings Park,Euryglossinae sp.,1,Jacksonia sternbergiana,1,field,wild
2016-12,Bushland remnant,Kings Park,Honeybees,25,Jacksonia sericea,3,field,wild
2016-12,Bushland remnant,Kings Park,Honeybees,25,Tricoryne tenella,22,field,wild
2016-12,Bushland remnant,Kings Park,Leioproctus,62,Jacksonia sericea,63,field,wild
2016-12,Bushland remnant,Kings Park,Megachile,49,Jacksonia sericea,28,field,wild
2016-12,Bushland remnant,Kings Park,Megachile,49,Jacksonia sternbergiana,21,field,wild
2016-12,Bushland remnant,Maniana,Honeybees,18,Astartea scoparia,17,field,wild
2016-12,Bushland remnant,Maniana,Honeybees,18,Melaleuca preissiana,1,field,wild
2016-12,Bushland remnant,Maniana,Megachile spp.,77,Jacksonia floribunda,7,field,wild
2016-12,Bushland remnant,Maniana,Megachile spp.,77,Jacksonia gracillima,70,field,wild
2016-12,Bushland remnant,Piney Lakes,Amegilla,3,Dianella revoluta divicarta,2,field,wild
2016-12,Bushland remnant,Piney Lakes,Amegilla,3,Jacksonia sericea,1,field,wild
2016-12,Bushland remnant,Piney Lakes,Euryglossinae,43,Jacksonia furcellata,43,field,wild
2016-12,Bushland remnant,Piney Lakes,Honeybees,1,Jacksonia sericea,1,field,wild
2016-12,Bushland remnant,Piney Lakes,Lasioglossum,2,Hibbertia cuneiformis,2,field,wild
2016-12,Bushland remnant,Piney Lakes,Leioproctus,23,Jacksonia furcellata,13,field,wild
2016-12,Bushland remnant,Piney Lakes,Leioproctus,23,Jacksonia sericea,10,field,wild
2016-12,Bushland remnant,Piney Lakes,Lipotriches,2,Hibbertia cuneiformis,1,field,wild
2016-12,Bushland remnant,Piney Lakes,Lipotriches,2,Jacksonia sericea,1,field,wild
2016-12,Bushland remnant,Piney Lakes,Megachile,55,Jacksonia furcellata,30,field,wild
2016-12,Bushland remnant,Piney Lakes,Megachile,55,Jacksonia sericea,25,field,wild
2016-12,Bushland remnant,Shenton Park,Honeybees,16,Banksia attenuata,10,field,wild
2016-12,Bushland remnant,Shenton Park,Honeybees,16,Hemiandra pungens,2,field,wild
2016-12,Bushland remnant,Shenton Park,Honeybees,16,Jacksonia sericea,1,field,wild
2016-12,Bushland remnant,Shenton Park,Honeybees,16,Scaevola albida,2,field,wild
2016-12,Bushland remnant,Shenton Park,Honeybees,16,Tricoryne tenella,1,field,wild
2016-12,Bushland remnant,Shenton Park,Leioproctus,2,Jacksonia sericea,2,field,wild
2016-12,Bushland remnant,Shenton Park,Lipotriches,4,Jacksonia sericea,4,field,wild
2016-12,Bushland remnant,Shenton Park,Megachile spp.,196,Hemiandra pungens,2,field,wild
2016-12,Bushland remnant,Shenton Park,Megachile spp.,196,Jacksonia sericea,194,field,wild
2016-12,Bushland remnant,Star Swamp,Coelioxys,1,Jacksonia sericea,1,field,wild
2016-12,Bushland remnant,Star Swamp,Euryglossinae,2,Jacksonia sternbergiana,2,field,wild
2016-12,Bushland remnant,Star Swamp,Honeybees,55,Banksia attenuata,17,field,wild
2016-12,Bushland remnant,Star Swamp,Honeybees,55,Banksia sessilis,1,field,wild
2016-12,Bushland remnant,Star Swamp,Honeybees,55,Calothammus quadrifidus,1,field,wild
2016-12,Bushland remnant,Star Swamp,Honeybees,55,Jacksonia sericea,12,field,wild
2016-12,Bushland remnant,Star Swamp,Honeybees,55,Jacksonia sternbergiana,24,field,wild
2016-12,Bushland remnant,Star Swamp,Hylaeinae,4,Banksia attenuata,4,field,wild
2016-12,Bushland remnant,Star Swamp,Leioproctus,27,Jacksonia sericea,27,field,wild
2016-12,Bushland remnant,Star Swamp,Megachile,49,Jacksonia sericea,19,field,wild
2016-12,Bushland remnant,Star Swamp,Megachile,49,Jacksonia sternbergiana,16,field,wild
2016-12,Bushland remnant,Wireless Hill,Amegilla,1,Arnocrium preissii???,1,field,wild
2016-12,Bushland remnant,Wireless Hill,Euryglossinae,5,Jacksonia furcellata,4,field,wild
2016-12,Bushland remnant,Wireless Hill,Euryglossinae,5,Jacksonia sternbergiana,1,field,wild
2016-12,Bushland remnant,Wireless Hill,Honeybees,5,Eucalyptus marginata,1,field,wild
2016-12,Bushland remnant,Wireless Hill,Honeybees,5,Jacksonia furcellata,4,field,wild
2016-12,Bushland remnant,Wireless Hill,Leioproctus,8,Jacksonia sericea,8,field,wild
2016-12,Bushland remnant,Wireless Hill,Megachile,39,Jacksonia furcellata,12,field,wild
2016-12,Bushland remnant,Wireless Hill,Megachile,39,Jacksonia sericea,9,field,wild
2016-12,Bushland remnant,Wireless Hill,Megachile,39,Jacksonia sternbergiana,16,field,wild
2016-12,Residential garden,Bibra Lake,Honeybees,100,Banksia attenuata,30,captive_cultivated,wild
2016-12,Residential garden,Bibra Lake,Honeybees,100,Eucalyptus marginata,40,captive_cultivated,wild
2016-12,Residential garden,Bibra Lake,Honeybees,100,Lobularia maritima,10,captive_cultivated,cultivar
2016-12,Residential garden,Bibra Lake,Honeybees,100,Scaevola albida,1,captive_cultivated,wild
2016-12,Residential garden,Bibra Lake,Honeybees,100,Taraxicum officinale,10,captive_cultivated,wild
2016-12,Residential garden,Bibra Lake,Honeybees,100,honeysuckle (Lonicera),9,captive_cultivated,cultivar
2016-12,Residential garden,Bibra Lake,Hylaeinae,1,Eucalyptus marginata,1,captive_cultivated,wild
2016-12,Residential garden,Bibra Lake,Megachile,60,Gompholobium aristatu,45,captive_cultivated,wild
2016-12,Residential garden,Bibra Lake,Megachile,60,Jacksonia furcella,15,captive_cultivated,wild
2016-12,Residential garden,Gosnells,Amegilla,15,Hibbertia scandens,15,captive_cultivated,wild
2016-12,Residential garden,Gosnells,Honeybees,108,Agapanthus,1,captive_cultivated,cultivar
2016-12,Residential garden,Gosnells,Honeybees,108,Corymbia callophylae,5,captive_cultivated,wild
2016-12,Residential garden,Gosnells,Honeybees,108,Hibbertia scandens,3,captive_cultivated,wild
2016-12,Residential garden,Gosnells,Honeybees,108,Jacaranda mimosifolia,84,captive_cultivated,cultivar
2016-12,Residential garden,Gosnells,Honeybees,108,Lophostemon confertus (Queensland Brush Box),4,captive_cultivated,wild
2016-12,Residential garden,Gosnells,Honeybees,108,Plumeria obtusa (Frangipani) buds,11,captive_cultivated,cultivar
2016-12,Residential garden,Jandakot,Amegilla,3,Hibbertia scandens,3,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Euryglossinae,6,Banksia attenuate,6,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Exoneura,1,Lechenaultia floribunda,1,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Anigozanthos manglesii,2,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Banksia attenuate,1,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Carpobrutus edulis (pigface),2,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Eucalyptus rudis,29,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Foeniculum vulgare NN,5,captive_cultivated,cultivar
2016-12,Residential garden,Jandakot,Honeybees,279,Hibbertia scandens,7,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Lechenaultia floribunda,10,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Nutsyia floribunda,200,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Polygala myrtifolia,1,captive_cultivated,cultivar
2016-12,Residential garden,Jandakot,Honeybees,279,Regalia ciliata,16,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Ricinocarpos pinifolius,1,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Honeybees,279,Salvia farinacea,1,captive_cultivated,cultivar
2016-12,Residential garden,Jandakot,Honeybees,279,Xanthorrea preissii,4,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Hylaeinae,5,Lechenaultia floribunda,5,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Hylaeinae,9,Banksia attenuate,2,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Hylaeinae,9,Hibbertia scandens,1,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Hylaeinae,9,Lechenaultia floribunda,6,captive_cultivated,wild
2016-12,Residential garden,Jandakot,Megachile,11,Lechenaultia floribunda,11,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Amegilla,1,Hibbertia scandens,1,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Exoneura,29,Melaleuca heugellii,29,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Honeybees,69,Agapanthus 'Snowball',3,captive_cultivated,cultivar
2016-12,Residential garden,Nedlands,Honeybees,69,Alyogyne or Hibiscus hakeifolia(Malvaceae),4,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Honeybees,69,Anigozanthos rufus (green kangaroo paw),1,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Honeybees,69,Anigozanthos rufus (red),1,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Honeybees,69,Callistemon viminalis,2,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Honeybees,69,Magnolia grandiflora ‘Little Gem’,1,captive_cultivated,cultivar
2016-12,Residential garden,Nedlands,Honeybees,69,Melaleuca heugellii,55,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Honeybees,69,Trachelospermum jasminoides,2,captive_cultivated,cultivar
2016-12,Residential garden,Nedlands,Hylaeinae,4,Melaleuca heugellii,4,captive_cultivated,wild
2016-12,Residential garden,Nedlands,Megachile,5,Brassica oleraceae (Kale),5,captive_cultivated,cultivar
2016-12,Residential garden,Osborne Park,Honeybees,7,Agonis flexuosa,1,captive_cultivated,wild
2016-12,Residential garden,Osborne Park,Honeybees,7,Syzigium austral,6,captive_cultivated,wild
2016-12,Residential garden,Osborne Park,Meroglossa,3,Callistemon viminalis,3,captive_cultivated,wild
2016-12,Residential garden,Wembley,Amegilla,2,Hibbertia scandens,1,captive_cultivated,wild
2016-12,Residential garden,Wembley,Amegilla,2,Solanum lycopersicum (tomata),1,captive_cultivated,cultivar
2016-12,Residential garden,Wembley,Honeybees,8,"Antirrhinum majus (snapdragon, white)",1,captive_cultivated,cultivar
2016-12,Residential garden,Wembley,Honeybees,8,Jacaranda mimosifolia,1,captive_cultivated,cultivar
2016-12,Residential garden,Wembley,Honeybees,8,Limonium perezii,1,captive_cultivated,cultivar
2016-12,Residential garden,Wembley,Honeybees,8,Melaleuca braceata (Eastern States) Revolution var,1,captive_cultivated,cultivar
2016-12,Residential garden,Wembley,Honeybees,8,Plumeria (frangipani),4,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Amegilla,5,Duranta repens,5,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Honeybees,38,Agapanthus,1,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Honeybees,38,Callistemon viminalis,2,captive_cultivated,wild
2016-12,Residential garden,Wilson,Honeybees,38,Duranta repens,3,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Honeybees,38,Jacksonia sternbergiana',1,captive_cultivated,wild
2016-12,Residential garden,Wilson,Honeybees,38,Oenothera fremontii,1,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Honeybees,38,Rosa sp.,18,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Honeybees,38,Trachelospermum jasminoides,7,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Honeybees,38,Wisteria floribunda,5,captive_cultivated,cultivar
2016-12,Residential garden,Wilson,Megachile,29,Jacksonia sternbergiana',29,captive_cultivated,wild
2017-01,Bushland remnant,Bold Park,Honeybees,24,Banksia attenuata,22,field,wild
2017-01,Bushland remnant,Bold Park,Honeybees,24,Corynotheca micrantha,2,field,wild
2017-01,Bushland remnant,Bold Park,Honeybees,24,Jacksonia furcellata,0,field,wild
2017-01,Bushland remnant,Bold Park,Megachile,280,Banksia attenuata,0,field,wild
2017-01,Bushland remnant,Bold Park,Megachile,280,Corynotheca micrantha,0,field,wild
2017-01,Bushland remnant,Bold Park,Megachile,280,Jacksonia furcellata,280,field,wild
2017-01,Bushland remnant,Kings Park,Leioproctus,45,Jacksonia sericea,45,field,wild
2017-01,Bushland remnant,Kings Park,Leioproctus,45,Jacksonia sternbergiana,0,field,wild
2017-01,Bushland remnant,Kings Park,Megachile,70,Jacksonia sericea,65,field,wild
2017-01,Bushland remnant,Kings Park,Megachile,70,Jacksonia sternbergiana,5,field,wild
2017-01,Bushland remnant,Maniana,Amegilla,1,Astartea scoparia,0,field,wild
2017-01,Bushland remnant,Maniana,Amegilla,1,Jacksonia floribunda,0,field,wild
2017-01,Bushland remnant,Maniana,Amegilla,1,Taraxicum khatoonae,1,field,wild
2017-01,Bushland remnant,Maniana,Honeybees,164,Astartea scoparia,164,field,wild
2017-01,Bushland remnant,Maniana,Honeybees,164,Jacksonia floribunda,0,field,wild
2017-01,Bushland remnant,Maniana,Honeybees,164,Taraxicum khatoonae,0,field,wild
2017-01,Bushland remnant,Maniana,Lasioglossum,1,Astartea scoparia,1,field,wild
2017-01,Bushland remnant,Maniana,Lasioglossum,1,Jacksonia floribunda,0,field,wild
2017-01,Bushland remnant,Maniana,Lasioglossum,1,Taraxicum khatoonae,0,field,wild
2017-01,Bushland remnant,Maniana,Lipotriches,60,Astartea scoparia,60,field,wild
2017-01,Bushland remnant,Maniana,Lipotriches,60,Jacksonia floribunda,0,field,wild
2017-01,Bushland remnant,Maniana,Lipotriches,60,Taraxicum khatoonae,0,field,wild
2017-01,Bushland remnant,Maniana,Megachile,43,Astartea scoparia,0,field,wild
2017-01,Bushland remnant,Maniana,Megachile,43,Jacksonia floribunda,43,field,wild
2017-01,Bushland remnant,Maniana,Megachile,43,Taraxicum khatoonae,0,field,wild
2017-01,Bushland remnant,Piney Lakes,Euryglossinaee,55,Jacksonia furcellata,54,field,wild
2017-01,Bushland remnant,Piney Lakes,Euryglossinaee,55,Jacksonia sternbergiana,1,field,wild
2017-01,Bushland remnant,Piney Lakes,Euryglossinaee,55,Scholtzia involucrata,0,field,wild
2017-01,Bushland remnant,Piney Lakes,Megachile,86,Jacksonia furcellata,85,field,wild
2017-01,Bushland remnant,Piney Lakes,Megachile,86,Scholtzia involucrata,1,field,wild
2017-01,Bushland remnant,Shenton Park,Euryglossinae,9,Eucalyptus camaldulensis,9,field,wild
2017-01,Bushland remnant,Shenton Park,Euryglossinae,9,Jacksonia sericea,0,field,wild
2017-01,Bushland remnant,Shenton Park,Euryglossinae,9,Scaevola aemula,0,field,wild
2017-01,Bushland remnant,Shenton Park,Euryglossinae,9,Schinus terebinthifolius,0,field,cultivar
2017-01,Bushland remnant,Shenton Park,Exoneura,1,Eucalyptus camaldulensis,1,field,wild
2017-01,Bushland remnant,Shenton Park,Exoneura,1,Jacksonia sericea,0,field,wild
2017-01,Bushland remnant,Shenton Park,Exoneura,1,Scaevola aemula,0,field,wild
2017-01,Bushland remnant,Shenton Park,Exoneura,1,Schinus terebinthifolius,0,field,cultivar
2017-01,Bushland remnant,Shenton Park,Homalictus,5,Eucalyptus camaldulensis,5,field,wild
2017-01,Bushland remnant,Shenton Park,Homalictus,5,Jacksonia sericea,0,field,wild
2017-01,Bushland remnant,Shenton Park,Homalictus,5,Scaevola aemula,0,field,wild
2017-01,Bushland remnant,Shenton Park,Homalictus,5,Schinus terebinthifolius,0,field,cultivar
2017-01,Bushland remnant,Shenton Park,Honeybees,3208,Eucalyptus camaldulensis,3000,field,wild
2017-01,Bushland remnant,Shenton Park,Honeybees,3208,Jacksonia sericea,0,field,wild
2017-01,Bushland remnant,Shenton Park,Honeybees,3208,Scaevola aemula,8,field,wild
2017-01,Bushland remnant,Shenton Park,Honeybees,3208,Schinus terebinthifolius,200,field,cultivar
