plot.id,species,dune.system,uptake.strategy,specific.uptake.strategy,collection.date,Ca_ug.g.DW,Cu_ug.g.DW,Fe_ug.g.DW,K_ug.g.DW,Mg_ug.g.DW,Mn_ug.g.DW,Mo_ug.g.DW,P_ug.g.DW,S_ug.g.DW,Zn_ug.g.DW,N_ug.g.DW,C_%,CN,senesced_leaf_Ca,senesced_leaf_Cu,senesced_leaf_Fe,senesced_leaf_K,senesced_leaf_Mg,senesced_leaf_Mn,senesced_leaf_Mo,senesced_leaf_P,senesced_leaf_S,senesced_leaf_Zn,senesced_leaf_N
Q.Y.12,Conostylis candicans subsp. calcicola,QY,NM,NA,3/5/12,37273.01848,0.826651798,123.9472073,3609.670976,4355.755905,36.14113785,0.63308258,615.2841952,1678.811133,3.526062768,9089.13888,44.20574888,48.63579429,26537.02558,0.367119598,87.2509999,329.3457762,2138.488605,21.36893057,0.84110004,160.5123952,893.2707333,-1.139182622,6086.9225
Q.Y.12,Olearia axillaris,QY,AM,AM,3/5/12,39479.51078,0.707504618,241.459246,711.8187762,3330.742705,19.12897043,1.93953976,1062.013395,1885.457433,25.82686231,8304.2435,45.14396809,54.36252935,83000.03538,0.847932268,465.0585841,831.5005762,7135.761605,40.84920834,1.22584585,2284.449195,3026.381733,11.06740662,6429.9726
Q.Y.12,Scaevola crassifolia,QY,AM,NA,3/5/12,50831.42538,0.826533488,32.65070236,1535.500776,3998.206305,14.20042139,1.29706927,1369.003295,7434.771833,9.075036358,10209.09093,40.65616814,39.82349496,64210.13998,0.064648668,27.95720263,916.4786762,4333.955405,15.13467838,1.54632901,1214.967795,10580.12173,0.595320028,4920.7449
Q.Y.12,Spyridium globulosum,QY,AM/EM,NA,3/5/12,48339.78468,0.782607508,83.64284448,1402.114476,7269.779005,19.11030677,0.21175361,612.9285952,1331.949333,4.934286398,7133.50178,47.71373686,66.88683674,34306.20768,0.111304978,64.71908999,192.7918762,3947.889305,12.58904771,0.45287251,311.6667952,994.7668333,0.079377308,4152.4496
Q.Y.15,Acacia rostellifera ,QY,N fixing,NA,3/5/12,45080.29768,4.898279838,51.98291814,10672.33648,4732.314505,2.584521406,0.70057894,1166.174095,10905.86743,4.793548738,22444.6287,43.75238815,19.49347826,38547.34528,2.179849428,46.32294481,5018.087076,4061.023305,1.727990166,0.21942191,255.9504952,8395.730033,-0.805091812,11260.3213
Q.Y.15,Hardenbergia comptoniana ,QY,AM/N fixing,NA,3/5/12,32041.23328,8.321463198,79.88807395,5235.728076,14907.67,34.94315906,-0.65436119,842.1774952,1351.832733,2.624813988,17422.08699,47.47697246,27.25102479,39762.5701,5.0363375,48.2694,373.8449,11177.01878,17.60765,0.089528571,86.6465875,723.0140875,2.2781,8187.1915
Q.Y.15,Olearia axillaris,QY,AM,NA,3/5/12,15951.52358,8.237199118,130.4711471,7067.145276,7195.074605,3.613466126,0.09170718,5109.192895,2906.981833,6.441713508,13761.74343,44.86699829,32.6026993,21029.87388,4.791665188,139.742623,4533.300076,5752.648305,5.066493356,-0.42486143,5398.242295,2324.339133,1.482344208,11414.2179
Q.Y.15,Scaevola crassifolia,QY,AM,NA,3/5/12,26628.31888,4.912726618,62.92486182,4457.414776,9956.453805,10.27077067,0.19153593,1915.447495,12056.08183,2.808027158,16662.41545,42.25339254,25.3585038,27737.47788,4.402482398,98.56951662,1099.994376,2817.122905,5.326658416,0.51876367,1389.286595,4069.576433,2.066327138,8154.7639
Q.Y.15,Spyridium globulosum,QY,AM/EM,NA,3/5/12,20297.67848,1.226164808,69.43529731,6102.871276,4380.083705,8.832605906,0.85229111,743.7734952,1712.302133,2.308420108,8701.71577,48.57594523,55.82341058,22280.82838,0.446914598,136.2355195,824.1924762,5531.223305,7.504325586,0.26096239,617.1811952,1557.178233,-1.061858842,3491.6236
Q.Y.16,Acacia rostellifera ,QY,N fixing,NA,3/5/12,33960.81318,0.536771128,34.27343352,3140.112176,6533.738905,8.999735076,-0.0493661,914.3798952,1763.709733,2.286285678,15280.17223,46.45561997,30.40254996,54163.91188,0.353876278,44.7471776,3531.015276,8409.672305,6.798825706,0.43294506,1982.021195,2369.021833,-0.410614252,7760.6972
