Water_treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Photosynthetic_pathway,Growth_habit,Life_cycle,bud_location,resprout_prop
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,80,19,31.83,2.51,824,1838.74,310,5.93,376.21,NA,NA,NA,NA,0.2375
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,116,80,31.83,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6896551724137931
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,79,59,25.78,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7468354430379747
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,109,27,28.73,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24770642201834864
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,69,34,25.78,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4927536231884058
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,92,91,23,4,819,1778.02,307,5.79,374.85,NA,NA,NA,NA,0.9891304347826086
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,120,47,31.83,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39166666666666666
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,83,84,25.78,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0120481927710843
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,39,34,28.73,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8717948717948718
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,52,68,17.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3076923076923077
4 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,69,54,15.6,4.42,958,1745,267,6.54,278.71,C4,Tufted,Perennial,Crown,0.782608695652174
4 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,71,36,15.6,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5070422535211268
4 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,68,3,20.37,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04411764705882353
4 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,75,48,13.45,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
4 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,48,38,17.9,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7916666666666666
8 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,76,110,17.9,4.24,866,1994.21,237,8.41,273.67,NA,NA,NA,NA,1.4473684210526316
8 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,60,110,15.6,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8333333333333333
8 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,74,60,17.9,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8108108108108109
8 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,59,0,15.6,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,63,38,13.45,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6031746031746031
11 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,43,42,28.73,1.5,841,1795.44,312,5.75,370.99,NA,NA,NA,NA,0.9767441860465116
11 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,34,53,11.46,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5588235294117647
11 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,40,50,9.63,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
11 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,46,42,13.45,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9130434782608695
11 Days,Dichanthium sericeum,Panicoideae,Andropogoneae,56,67,15.6,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1964285714285714
4 Days,Eulalia aurea,Panicoideae,Andropogoneae,81,57,66.92,1.21,818,1585.7,260,6.1,317.85,C4,Rhizomatous,Perennial,Crown,0.7037037037037037
4 Days,Eulalia aurea,Panicoideae,Andropogoneae,109,87,31.83,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7981651376146789
4 Days,Eulalia aurea,Panicoideae,Andropogoneae,110,51,23,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4636363636363636
4 Days,Eulalia aurea,Panicoideae,Andropogoneae,80,39,23,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4875
4 Days,Eulalia aurea,Panicoideae,Andropogoneae,138,51,35.09,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3695652173913043
8 Days,Eulalia aurea,Panicoideae,Andropogoneae,74,75,15.6,4.74,760,1609.33,234,6.88,307.89,NA,NA,NA,NA,1.0135135135135136
8 Days,Eulalia aurea,Panicoideae,Andropogoneae,99,84,38.52,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8484848484848485
8 Days,Eulalia aurea,Panicoideae,Andropogoneae,73,78,35.09,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0684931506849316
8 Days,Eulalia aurea,Panicoideae,Andropogoneae,97,52,38.52,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5360824742268041
8 Days,Eulalia aurea,Panicoideae,Andropogoneae,91,44,76.47,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4835164835164835
11 Days,Eulalia aurea,Panicoideae,Andropogoneae,132,93,38.52,3.43,648,1317.12,214,6.15,330.25,NA,NA,NA,NA,0.7045454545454546
11 Days,Eulalia aurea,Panicoideae,Andropogoneae,98,87,31.83,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8877551020408163
11 Days,Eulalia aurea,Panicoideae,Andropogoneae,57,71,23,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2456140350877194
11 Days,Eulalia aurea,Panicoideae,Andropogoneae,90,99,28.73,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
11 Days,Eulalia aurea,Panicoideae,Andropogoneae,98,113,28.73,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153061224489796
4 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,159,132,232.05,0.69,2170,3500,613,5.71,282.49,C4,Rhizomatous,Perennial,Rhizome,0.8301886792452831
4 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,141,142,198.94,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0070921985815602
4 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,168,149,198.94,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8869047619047619
4 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,188,146,191.07,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776595744680851
4 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,210,149,206.98,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7095238095238096
8 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,151,156,168.39,0.9,1379,3781.75,394,9.6,285.71,NA,NA,NA,NA,1.033112582781457
8 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,117,113,286.48,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9658119658119658
8 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,142,119,315.84,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8380281690140845
8 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,120,128,206.98,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0666666666666667
8 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,138,97,249.56,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7028985507246377
11 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,166,115,183.35,0.91,1305,2043.14,418,4.89,320.31,NA,NA,NA,NA,0.6927710843373494
11 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,102,87,161.14,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8529411764705882
11 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,110,35,191.07,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3181818181818182
11 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,84,101,133.77,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2023809523809523
11 Days,Hemarthria uncinata,Panicoideae,Andropogoneae,123,165,305.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3414634146341464
4 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,28,34,53.79,0.52,9346,9659.8,3698,2.61,395.68,C4,Rhizomatous,Perennial,Rhizome,1.2142857142857142
4 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,23,36,45.84,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.565217391304348
4 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,13,5,35.09,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38461538461538464
4 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,20,26,71.62,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
4 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,18,17,147.14,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9444444444444444
8 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,14,24,7.96,1.76,4624,5099.68,1422,3.59,307.53,NA,NA,NA,NA,1.7142857142857142
8 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,41,43,240.72,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.048780487804878
8 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,26,29,140.37,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1153846153846154
8 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,18,7,161.14,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3888888888888889
8 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,30,30,215.18,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,18,21,103.13,0.17,7054,9181.49,2730,3.36,387.01,NA,NA,NA,NA,1.1666666666666667
11 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,25,33,76.47,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32
11 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,15,20,66.92,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3333333333333333
11 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,21,23,103.13,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0952380952380953
11 Days,Imperata  cylindrica,Panicoideae,Andropogoneae,16,21,133.77,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3125
4 Days,Themeda triandra,Panicoideae,Andropogoneae,142,123,62.39,2.28,2140,3340.6,764,4.37,357.01,C4,Tufted,Perennial,Crown,0.8661971830985915
4 Days,Themeda triandra,Panicoideae,Andropogoneae,72,139,49.74,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9305555555555556
4 Days,Themeda triandra,Panicoideae,Andropogoneae,119,72,53.79,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6050420168067226
4 Days,Themeda triandra,Panicoideae,Andropogoneae,136,132,91.99,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9705882352941176
4 Days,Themeda triandra,Panicoideae,Andropogoneae,108,88,66.92,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8148148148148148
8 Days,Themeda triandra,Panicoideae,Andropogoneae,77,85,38.52,2,1547,3002.77,607,4.95,392.37,NA,NA,NA,NA,1.103896103896104
8 Days,Themeda triandra,Panicoideae,Andropogoneae,114,107,58.01,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9385964912280702
8 Days,Themeda triandra,Panicoideae,Andropogoneae,100,64,49.74,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
8 Days,Themeda triandra,Panicoideae,Andropogoneae,102,126,35.09,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2352941176470589
8 Days,Themeda triandra,Panicoideae,Andropogoneae,150,122,49.74,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8133333333333334
11 Days,Themeda triandra,Panicoideae,Andropogoneae,80,136,35.09,2.28,758,1670.22,305,5.48,402.37,NA,NA,NA,NA,1.7
11 Days,Themeda triandra,Panicoideae,Andropogoneae,99,75,58.01,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7575757575757576
11 Days,Themeda triandra,Panicoideae,Andropogoneae,110,79,31.83,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7181818181818181
11 Days,Themeda triandra,Panicoideae,Andropogoneae,61,87,49.74,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4262295081967213
11 Days,Themeda triandra,Panicoideae,Andropogoneae,143,119,38.52,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8321678321678322
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,100,8,86.66,1.15,1351,1644,415,3.96,307.18,C4,Tufted,Perennial,Crown,0.08
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,100,34,58.01,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,117,4,49.74,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03418803418803419
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,45,17,127.32,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37777777777777777
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,125,22,58.01,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,106,48,103.13,1.03,806,1578.86,224,7.05,277.92,NA,NA,NA,NA,0.4528301886792453
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,98,65,91.99,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6632653061224489
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,117,41,108.94,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3504273504273504
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,110,50,103.13,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45454545454545453
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,100,14,86.66,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,54,53,81.49,0.66,752,1307.56,222,5.89,295.21,NA,NA,NA,NA,0.9814814814814815
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,119,48,31.83,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40336134453781514
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,71,37,91.99,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5211267605633803
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,55,54,81.49,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9818181818181818
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,89,81,42.1,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9101123595505618
4 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,81,46,76.47,1.06,325,602.62,110,5.48,338.46,C4,Rhizomatous,Perennial,Rhizome,0.5679012345679012
4 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,36,8,31.83,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2222222222222222
4 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,38,40,103.13,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0526315789473684
4 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,45,49,121.04,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0888888888888888
4 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,48,48,25.78,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,28,30,175.79,0.16,250,612.28,83,7.38,332,NA,NA,NA,NA,1.0714285714285714
8 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,33,32,86.66,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9696969696969697
8 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,39,75,133.77,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9230769230769231
8 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,40,59,108.94,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.475
8 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,44,37,127.32,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8409090909090909
11 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,41,50,168.39,0.24,241,532.93,78,6.83,323.65,NA,NA,NA,NA,1.2195121951219512
11 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,57,62,81.49,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.087719298245614
11 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,39,21,140.37,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5384615384615384
11 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,62,50,121.04,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8064516129032258
11 Days,Distichlis distichophylla,Chloridoideae,Cynodonteae,40,41,17.9,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,56,21,23,2.44,1101,1365.16,314,4.35,285.2,C3,Tufted,Perennial,Crown,0.375
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,57,4,9.63,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07017543859649122
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,77,48,11.46,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6233766233766234
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,52,45,23,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8653846153846154
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,52,54,11.46,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0384615384615385
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,68,120,23,2.96,996,1538.28,329,4.68,330.32,NA,NA,NA,NA,1.7647058823529411
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,52,101,11.46,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9423076923076923
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,76,74,28.73,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9736842105263158
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,75,113,13.45,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5066666666666666
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,69,40,15.6,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5797101449275363
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,115,137,23,5,1298,1755.51,424,4.14,326.66,NA,NA,NA,NA,1.191304347826087
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,43,46,13.45,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.069767441860465
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,48,73,7.96,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5208333333333333
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,60,82,13.45,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3666666666666667
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,79,151,15.6,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9113924050632911
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,35,15,15.6,2.24,1262,1525.6,422,3.62,334.39,C3,Tufted,Perennial,Crown,0.42857142857142855
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,28,1,25.78,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03571428571428571
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,64,0,17.9,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,27,12,13.45,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4444444444444444
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,15,6,15.6,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,26,1,23,1.13,1148,1550.21,339,4.57,295.3,NA,NA,NA,NA,0.038461538461538464
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,22,0,15.6,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,55,14,58.01,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2545454545454545
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,74,0,23,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,25,0,23,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,44,13,15.6,2.82,1242,1602.48,416,3.85,334.94,NA,NA,NA,NA,0.29545454545454547
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,27,21,23,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7777777777777778
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,39,9,15.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23076923076923078
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,53,9,35.09,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16981132075471697
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,18,0,7.96,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,40,0,7.96,5.03,1425,1427.26,421,3.39,295.44,C3,Tufted,Perennial,Crown,0
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,6,0,6.45,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,68,61,28.73,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8970588235294118
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,17,33,13.45,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9411764705882353
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,77,63,23,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8181818181818182
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,18,21,5.09,3.53,921,1225.15,264,4.64,286.64,NA,NA,NA,NA,1.1666666666666667
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,89,99,23,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1123595505617978
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,107,153,28.73,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4299065420560748
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,97,72,28.73,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7422680412371134
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,55,38,15.6,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6909090909090909
