Month,Date,Temperature,Plant species,Genus,Family,Origin,Horticutural variety,Colour,Flower N,Insect taxa,N,TotalN,Native bee genera,counts?,notes
October,25/10/2020,34.9,Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,native,n,white,1100,Wasps,0,,,,
October,25/10/2020,34.9,Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,native,n,white,1100,Syrphid flies,5,,,,
October,25/10/2020,34.9,Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,native,n,white,1100,Other flies,0,,,,
October,25/10/2020,34.9,Philotheca myoporoides,Philotheca,Rutaceae,native,n,white,200,Native bees,0,6,,,
October,25/10/2020,34.9,Philotheca myoporoides,Philotheca,Rutaceae,native,n,white,200,Honeybees,2,,,,
October,25/10/2020,34.9,Philotheca myoporoides,Philotheca,Rutaceae,native,n,white,200,Wasps,0,,,,
October,25/10/2020,34.9,Philotheca myoporoides,Philotheca,Rutaceae,native,n,white,200,Syrphid flies,4,,,,
October,25/10/2020,34.9,Philotheca myoporoides,Philotheca,Rutaceae,native,n,white,200,Other flies,0,,,,
October,25/10/2020,34.9,Chamelaucium uncinatum 'Dancing Queen',Chamelaucium,Myrtaceae,native,y,purple,100,Native bees,0,2,,,
October,25/10/2020,34.9,Chamelaucium uncinatum 'Dancing Queen',Chamelaucium,Myrtaceae,native,y,purple,100,Honeybees,0,,,,
October,25/10/2020,34.9,Chamelaucium uncinatum 'Dancing Queen',Chamelaucium,Myrtaceae,native,y,purple,100,Wasps,0,,,,
October,25/10/2020,34.9,Chamelaucium uncinatum 'Dancing Queen',Chamelaucium,Myrtaceae,native,y,purple,100,Syrphid flies,2,,,,
October,25/10/2020,34.9,Chamelaucium uncinatum 'Dancing Queen',Chamelaucium,Myrtaceae,native,y,purple,100,Other flies,0,,,,
October,25/10/2020,34.9,Chamelaucium x Verticordia,Chamelaucium,Myrtaceae,native,y,pink,100,Native bees,0,2,,,
October,25/10/2020,34.9,Chamelaucium x Verticordia,Chamelaucium,Myrtaceae,native,y,pink,100,Honeybees,2,,,,
