Site,"Latitude, Longitude",Month of Survey,Day,Time,Patch,Umbel phase,#umbel/patch,"Native bee (Colletidae, Halictidae)",Ant,Fly,Hoverfly,Mosquito,Bee or fly ,Honeybee,Wasp?,flying black unknown,bug,spider,white flying insect,brown unknown,flying unknown,beetle,aphid,slater?,moth,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,4,female,7,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,6,male,12,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,7:30am,3,male,8,,,,,,,,,,,1,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,7:30am,3,female,5,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,7:30am,5,male,11,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,7:30am,5,female,2,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,1,male,8,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,1,female,1,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,2,male,11,9,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,2,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,3,male,8,5,5,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,3,female,5,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,4,male,11,,,1,,,2,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,4,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,5,male,11,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,5,female,2,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,6,male,12,8,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,10am,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,1,male,8,1,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,1,female,1,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,2,male,11,2,1,3,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,2,female,1,,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,3,male,8,2,3,,,,1,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,3,female,5,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,4,male,11,8,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,4,female,3,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,5,male,11,2,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,5,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,6,male,12,2,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,1pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,1,male,8,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,1,female,1,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,2,male,11,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,2,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,3,male,8,1,4,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,3,female,5,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,4,male,11,1,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,4,female,3,1,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,5,male,11,1,1,4,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,5,female,2,2,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,6,male,12,,6,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,4pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,1,male,8,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,1,female,1,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,2,male,11,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,2,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,3,male,8,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,3,female,5,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,4,male,11,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,4,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,5,male,11,,1,4,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,5,female,2,,2,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,6,male,12,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,3,6:30pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,7:30am,2,male,6,,,,3,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,7:30am,2,female,3,,,,1,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,2,male,6,5,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,2,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,4,male,4,1,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,4,female,8,,6,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,5,male,10,7,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,5,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,6,male,10,10,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,10am,6,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,1,male,5,1,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,1,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,2,male,6,3,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,2,female,3,1,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,3,male,6,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,3,female,4,1,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,4,male,4,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,4,female,8,,3,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,5,male,10,5,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,5,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,6,male,10,7,,,2,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,1pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,4pm,2,male,6,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,4pm,2,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,4pm,4,male,4,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,4pm,4,female,8,,4,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,6:30pm,4,male,4,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,1,6:30pm,4,female,8,,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,1,male,4,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,1,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,2,male,7,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,2,female,3,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,3,male,6,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,3,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,4,male,3,,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,4,female,9,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,5,male,7,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,6,male,12,,,,2,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,7:30am,6,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,10am,5,male,7,4,,,,,,,,,,,1,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,10am,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,2,male,7,2,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,2,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,3,male,6,,,,,1,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,4,male,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,4,female,9,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,5,male,7,2,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,6,male,12,2,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,1pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,4pm,3,male,6,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,4pm,3,female,3,,,,,,,,,,,,,1,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,4pm,5,male,7,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,4pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,6:30pm,3,male,6,,,4,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,2,6:30pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,7:30am,5,male,7,,,,3,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,7:30am,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,10am,5,male,7,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,10am,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,1pm,5,male,7,,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,1pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,4pm,3,male,5,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,4pm,3,female,4,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,4pm,5,male,7,,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,4pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,4pm,6,male,10,1,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",Jan-03,3,4pm,6,female,2,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,1,male,11,,10,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,2,male,10,,9,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,4,male,6,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,4,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,5,male,6,,1,,,,,,,,,,,,,,1,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,10am,5,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,1,male,11,,16,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,2,male,10,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,2,female,0,,,,,,,,,,,,,,,,,,,,
