species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),flowering_time_start,flowering_time_end
Goodenia gracilis,dry,capsule,dry,NA,NA,NA,NA,NA,1,12
Goodenia grandiflora,dry,capsule,dry,NA,NA,NA,NA,NA,5,11
Goodenia hassallii,dry,capsule,dry,NA,NA,NA,NA,NA,10,1
Goodenia havilandii,dry,capsule,dry,NA,NA,NA,NA,NA,1,12
Goodenia hederacea,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia helmsii,dry,capsule,dry,NA,NA,NA,NA,NA,7,12
Goodenia heppleana,dry,capsule,dry,NA,NA,NA,NA,NA,2,6
Goodenia heterochila,dry,capsule,dry,NA,NA,NA,NA,NA,1,12
Goodenia heteromera,dry,capsule,dry,NA,NA,NA,NA,NA,5,11
Goodenia heterophylla,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia heteroptera,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia hirsuta,dry,capsule,dry,NA,NA,NA,NA,NA,7,10
Goodenia hispida,dry,capsule,dry,NA,NA,NA,NA,NA,2,5
Goodenia holtzeana,dry,capsule,dry,NA,NA,NA,NA,NA,2,6
Goodenia humilis,dry,capsule,dry,NA,NA,NA,NA,NA,11,3
Goodenia incana,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia integerrima,dry,capsule,dry,NA,NA,NA,NA,NA,11,11
Goodenia iyouta,dry,capsule,dry,NA,NA,NA,NA,NA,6,9
Goodenia janamba,dry,capsule,dry,NA,NA,NA,NA,NA,4,7
Goodenia kakadu,dry,capsule,dry,NA,NA,NA,NA,NA,4,5
Goodenia kingiana,dry,capsule,dry,NA,NA,NA,NA,NA,7,10
Goodenia krauseana,dry,capsule,dry,NA,NA,NA,NA,NA,10,12
Goodenia laevis,dry,capsule,dry,NA,NA,NA,NA,NA,8,12
Goodenia lamprosperma,dry,capsule,dry,NA,NA,NA,NA,NA,4,8
Goodenia lanata,dry,capsule,dry,NA,NA,NA,NA,NA,9,3
Goodenia larapinta,dry,capsule,dry,NA,NA,NA,NA,NA,4,9
Goodenia leiosperma,dry,capsule,dry,NA,NA,NA,NA,NA,2,6
Goodenia leptoclada,dry,capsule,dry,NA,NA,NA,NA,NA,11,1
Goodenia lineata,dry,capsule,dry,NA,NA,NA,NA,NA,11,2
Goodenia lobata,dry,capsule,dry,NA,NA,NA,NA,NA,7,9
Goodenia lunata,dry,capsule,dry,NA,NA,NA,NA,NA,3,9
Goodenia lyrata,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Goodenia macbarronii,dry,capsule,dry,NA,NA,NA,NA,NA,10,3
Goodenia macmillanii,dry,capsule,dry,NA,NA,NA,NA,NA,11,2
Goodenia macroplectra,dry,capsule,dry,NA,NA,NA,NA,NA,8,9
Goodenia maideniana,dry,capsule,dry,NA,NA,NA,NA,NA,6,10
Goodenia malvina,dry,capsule,dry,NA,NA,NA,NA,NA,3,5
Goodenia megasepala,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Goodenia micrantha,dry,capsule,dry,NA,NA,NA,NA,NA,9,12
Goodenia microptera,dry,capsule,dry,NA,NA,NA,NA,NA,3,8
Goodenia mimuloides,dry,capsule,dry,NA,NA,NA,NA,NA,6,10
Goodenia minutiflora,dry,capsule,dry,NA,NA,NA,NA,NA,3,5
Goodenia modesta,dry,capsule,dry,NA,NA,NA,NA,NA,1,12
Goodenia mueckeana,dry,capsule,dry,NA,NA,NA,NA,NA,5,9
Goodenia muelleriana,dry,capsule,dry,NA,NA,NA,NA,NA,5,9
Goodenia neglecta,dry,capsule,dry,NA,NA,NA,NA,NA,2,4
Goodenia neogoodenia,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Goodenia nigrescens,dry,capsule,dry,NA,NA,NA,NA,NA,5,8
Goodenia nuda,dry,capsule,dry,NA,NA,NA,NA,NA,4,8
Goodenia occidentalis,dry,capsule,dry,NA,NA,NA,NA,NA,6,9
Goodenia ochracea,dry,capsule,dry,NA,NA,NA,NA,NA,6,10
Goodenia odonnellii,dry,capsule,dry,NA,NA,NA,NA,NA,1,7
Goodenia ovata,dry,capsule,dry,NA,NA,NA,NA,NA,10,3
Goodenia pallida,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Goodenia paludicola,dry,capsule,dry,NA,NA,NA,NA,NA,3,5
Goodenia paniculata,dry,capsule,dry,NA,NA,NA,NA,NA,10,4
Goodenia pascua,dry,capsule,dry,NA,NA,NA,NA,NA,5,8
Goodenia peacockiana,dry,capsule,dry,NA,NA,NA,NA,NA,6,10
Goodenia perryi,dry,capsule,dry,NA,NA,NA,NA,NA,10,10
Goodenia phillipsiae,dry,capsule,dry,NA,NA,NA,NA,NA,11,11
Goodenia pilosa,dry,capsule,dry,NA,NA,NA,NA,NA,5,8
Goodenia pinifolia,dry,capsule,dry,NA,NA,NA,NA,NA,10,12
Goodenia pinnatifida,dry,capsule,dry,NA,NA,NA,NA,NA,5,11
Goodenia porphyrea,dry,capsule,dry,NA,NA,NA,NA,NA,5,4
Goodenia potamica,dry,capsule,dry,NA,NA,NA,NA,NA,6,6
Goodenia prostrata,dry,capsule,dry,NA,NA,NA,NA,NA,5,9
Goodenia pterigosperma,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia pulchella,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia pumilio,dry,capsule,dry,NA,NA,NA,NA,NA,4,7
Goodenia purpurascens,dry,capsule,dry,NA,NA,NA,NA,NA,1,5
Goodenia purpurea,dry,capsule,dry,NA,NA,NA,NA,NA,2,6
Goodenia pusilla,dry,capsule,dry,NA,NA,NA,NA,NA,10,12
Goodenia pusilliflora,dry,capsule,dry,NA,NA,NA,NA,NA,7,10
Goodenia quadrifida,dry,capsule,dry,NA,NA,NA,NA,NA,5,5
Goodenia quadrilocularis,dry,capsule,dry,NA,NA,NA,NA,NA,9,12
Goodenia quasilibera,dry,capsule,dry,NA,NA,NA,NA,NA,8,1
Goodenia racemosa,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia ramelii,dry,capsule,dry,NA,NA,NA,NA,NA,3,9
Goodenia redacta,dry,capsule,dry,NA,NA,NA,NA,NA,4,5
Goodenia robusta,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia rostrivalvis,dry,capsule,dry,NA,NA,NA,NA,NA,10,4
Goodenia rotundifolia,dry,capsule,dry,NA,NA,NA,NA,NA,9,3
Goodenia rupestris,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Goodenia saccata,dry,capsule,dry,NA,NA,NA,NA,NA,9,11
Goodenia salmoniana,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia scaevolina,dry,capsule,dry,NA,NA,NA,NA,NA,3,8
Goodenia scapigera,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia schwerinensis,dry,capsule,dry,NA,NA,NA,NA,NA,5,9
Goodenia sepalosa,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia sericostachya,dry,capsule,dry,NA,NA,NA,NA,NA,10,1
Goodenia stellata,dry,capsule,dry,NA,NA,NA,NA,NA,7,10
Goodenia stelligera,dry,capsule,dry,NA,NA,NA,NA,NA,8,2
Goodenia stenophylla,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia stephensonii,dry,capsule,dry,NA,NA,NA,NA,NA,10,1
Goodenia stirlingii,dry,capsule,dry,NA,NA,NA,NA,NA,3,7
Goodenia stobbsiana,dry,capsule,dry,NA,NA,NA,NA,NA,3,10
Goodenia strangfordii,dry,capsule,dry,NA,NA,NA,NA,NA,5,10
Goodenia subauriculata,dry,capsule,dry,NA,NA,NA,NA,NA,4,4
Goodenia suffrutescens,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Goodenia symonii,dry,capsule,dry,NA,NA,NA,NA,NA,2,6
Goodenia tenuiloba,dry,capsule,dry,NA,NA,NA,NA,NA,5,9
Goodenia trichophylla,dry,capsule,dry,NA,NA,NA,NA,NA,8,12
Goodenia triodiophila,dry,capsule,dry,NA,NA,NA,NA,NA,4,10
Goodenia tripartita,dry,capsule,dry,NA,NA,NA,NA,NA,8,10
Goodenia varia,dry,capsule,dry,NA,NA,NA,NA,NA,1,12
Goodenia vernicosa,dry,capsule,dry,NA,NA,NA,NA,NA,9,1
Goodenia vilmorinae,dry,capsule,dry,NA,NA,NA,NA,NA,4,9
Goodenia virgata,dry,capsule,dry,NA,NA,NA,NA,NA,5,11
Goodenia viridula,dry,capsule,dry,NA,NA,NA,NA,NA,11,5
Goodenia viscida,dry,capsule,dry,NA,NA,NA,NA,NA,10,1
Goodenia viscidula,dry,capsule,dry,NA,NA,NA,NA,NA,3,5
Goodenia watsonii,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Goodenia willisiana,dry,capsule,dry,NA,NA,NA,NA,NA,8,2
Goodenia wilunensis,dry,capsule,dry,NA,NA,NA,NA,NA,7,10
Goodenia xanthosperma,dry,capsule,dry,NA,NA,NA,NA,NA,5,10
Goodenia xanthotricha,dry,capsule,dry,NA,NA,NA,NA,NA,11,2
Grevillea acacioides,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea acanthifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea acerata,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea acrobotrya,dry,follicle,dry,NA,NA,NA,NA,NA,6,9
Grevillea acropogon,dry,follicle,dry,NA,NA,NA,NA,NA,6,9
Grevillea acuaria,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea adenotricha,dry,follicle,dry,NA,NA,NA,NA,NA,5,8
Grevillea agrifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea albiflora,dry,follicle,dry,NA,NA,NA,NA,NA,11,1
Grevillea alpina,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea alpivaga,dry,follicle,dry,NA,NA,NA,NA,NA,10,2
Grevillea althoferorum,dry,follicle,dry,NA,NA,NA,NA,NA,9,10
Grevillea amplexans,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea anethifolia,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea aneura,dry,follicle,dry,NA,NA,NA,NA,NA,8,1
Grevillea angulata,dry,follicle,dry,NA,NA,NA,NA,NA,3,9
Grevillea annulifera,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea aquifolium,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea arenaria,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea argyrophylla,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea armigera,dry,follicle,dry,NA,NA,NA,NA,NA,6,2
Grevillea asparagoides,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea aspera,dry,follicle,dry,NA,NA,NA,NA,NA,5,11
Grevillea aspleniifolia,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea asteriscosa,dry,follicle,dry,NA,NA,NA,NA,NA,5,11
Grevillea aurea,dry,follicle,dry,NA,NA,NA,NA,NA,4,8
Grevillea australis,dry,follicle,dry,NA,NA,NA,NA,NA,9,1
Grevillea baileyana,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea banksii,dry,follicle,dry,NA,NA,NA,NA,NA,8,10
Grevillea banyabba,dry,follicle,dry,NA,NA,NA,NA,NA,8,10
Grevillea barklyana,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea batrachioides,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea baueri,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea baxteri,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea beadleana,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea beardiana,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea bedggoodiana,dry,follicle,dry,NA,NA,NA,NA,NA,10,11
Grevillea benthamiana,dry,follicle,dry,NA,NA,NA,NA,NA,6,8
Grevillea berryana,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea biformis,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea bipinnatifida,dry,follicle,dry,NA,NA,NA,NA,NA,6,12
Grevillea biternata,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea brachystachya,dry,follicle,dry,NA,NA,NA,NA,NA,6,11
Grevillea brachystylis,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea bracteosa,dry,follicle,dry,NA,NA,NA,NA,NA,8,10
Grevillea brevifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea brevis,dry,follicle,dry,NA,NA,NA,NA,NA,3,7
Grevillea bronwenae,dry,follicle,dry,NA,NA,NA,NA,NA,6,11
Grevillea buxifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea byrnesii,dry,follicle,dry,NA,NA,NA,NA,NA,5,8
Grevillea cagiana,dry,follicle,dry,NA,NA,NA,NA,NA,6,3
Grevillea calcicola,dry,follicle,dry,NA,NA,NA,NA,NA,5,8
Grevillea caleyi,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea calliantha,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea candelabroides,dry,follicle,dry,NA,NA,NA,NA,NA,8,1
Grevillea candicans,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea candolleana,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea capitellata,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea celata,dry,follicle,dry,NA,NA,NA,NA,NA,7,2
Grevillea centristigma,dry,follicle,dry,NA,NA,NA,NA,NA,6,11
Grevillea ceratocarpa,dry,follicle,dry,NA,NA,NA,NA,NA,8,10
Grevillea cheilocarpa,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea christinae,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea chrysophaea,dry,follicle,dry,NA,NA,NA,NA,NA,6,12
Grevillea cirsiifolia,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea coccinea,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea commutata,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea concinna,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea confertifolia,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea coriacea,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea corrugata,dry,follicle,dry,NA,NA,NA,NA,NA,8,9
Grevillea costata,dry,follicle,dry,NA,NA,NA,NA,NA,5,9
Grevillea crassifolia,dry,follicle,dry,NA,NA,NA,NA,NA,6,12
Grevillea cravenii,dry,follicle,dry,NA,NA,NA,NA,NA,12,3
Grevillea crithmifolia,dry,follicle,dry,NA,NA,NA,NA,NA,6,9
Grevillea crowleyae,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea cunninghamii,dry,follicle,dry,NA,NA,NA,NA,NA,5,9
Grevillea curviloba,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea cyranostigma,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea decipiens,dry,follicle,dry,NA,NA,NA,NA,NA,5,8
Grevillea decora,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea decurrens,dry,follicle,dry,NA,NA,NA,NA,NA,11,3
Grevillea deflexa,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea delta,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea depauperata,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea didymobotrya,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea dielsiana,dry,follicle,dry,NA,NA,NA,NA,NA,8,9
Grevillea diffusa,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea dimidiata,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea diminuta,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea dimorpha,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea disjuncta,dry,follicle,dry,NA,NA,NA,NA,NA,4,9
Grevillea dissecta,dry,follicle,dry,NA,NA,NA,NA,NA,9,2
Grevillea divaricata,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea diversifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea dolichopoda,dry,follicle,dry,NA,NA,NA,NA,NA,4,11
Grevillea donaldiana,dry,follicle,dry,NA,NA,NA,NA,NA,5,7
Grevillea drummondii,dry,follicle,dry,NA,NA,NA,NA,NA,6,12
Grevillea dryandri,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea dryandroides,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea dryophylla,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea dunlopii,dry,follicle,dry,NA,NA,NA,NA,NA,12,5
Grevillea elongata,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea endlicheriana,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea epicroca,dry,follicle,dry,NA,NA,NA,NA,NA,11,5
Grevillea erectiloba,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea eremophila,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea erinacea,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea eriobotrya,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea eriostachya,dry,follicle,dry,NA,NA,NA,NA,NA,1,12
Grevillea eryngioides,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea erythroclada,dry,follicle,dry,NA,NA,NA,NA,NA,9,10
Grevillea evanescens,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea evansiana,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea excelsior,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea exposita,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea extorris,dry,follicle,dry,NA,NA,NA,NA,NA,4,9
Grevillea fasciculata,dry,follicle,dry,NA,NA,NA,NA,NA,5,11
Grevillea fastigiata,dry,follicle,dry,NA,NA,NA,NA,NA,9,3
Grevillea fililoba,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea fistulosa,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea flexuosa,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea floribunda,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea florida,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea floripendula,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea formosa,dry,follicle,dry,NA,NA,NA,NA,NA,1,3
Grevillea fulgens,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea fuscolutea,dry,follicle,dry,NA,NA,NA,NA,NA,5,12
Grevillea gariwerdensis,dry,follicle,dry,NA,NA,NA,NA,NA,10,1
Grevillea georgeana,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea glabrescens,dry,follicle,dry,NA,NA,NA,NA,NA,5,7
Grevillea glauca,dry,follicle,dry,NA,NA,NA,NA,NA,4,8
Grevillea globosa,dry,follicle,dry,NA,NA,NA,NA,NA,1,12
Grevillea glossadenia,dry,follicle,dry,NA,NA,NA,NA,NA,4,8
Grevillea goodii,dry,follicle,dry,NA,NA,NA,NA,NA,11,4
Grevillea gordoniana,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea granulifera,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea granulosa,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea guthrieana,dry,follicle,dry,NA,NA,NA,NA,NA,8,10
Grevillea hakeoides,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea halmaturina,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea haplantha,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea heliosperma,dry,follicle,dry,NA,NA,NA,NA,NA,3,9
Grevillea helmsiae,dry,follicle,dry,NA,NA,NA,NA,NA,10,4
Grevillea hilliana,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea hirtella,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea hockingsii,dry,follicle,dry,NA,NA,NA,NA,NA,6,12
Grevillea hodgei,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea hookeriana,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea huegelii,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea humifusa,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea humilis,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea iaspicula,dry,follicle,dry,NA,NA,NA,NA,NA,5,11
Grevillea ilicifolia,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea imberbis,dry,follicle,dry,NA,NA,NA,NA,NA,8,2
Grevillea inconspicua,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea incrassata,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea incurva,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea infecunda,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea infundibularis,dry,follicle,dry,NA,NA,NA,NA,NA,10,5
Grevillea insignis,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea integrifolia,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea intricata,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea involucrata,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea irrasa,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea jephcottii,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea johnsonii,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea juncifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea juniperina,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea kedumbensis,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea kenneallyi,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea kennedyana,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea lanigera,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea latifolia,dry,follicle,dry,NA,NA,NA,NA,NA,3,9
Grevillea laurifolia,dry,follicle,dry,NA,NA,NA,NA,NA,9,1
Grevillea lavandulacea,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea leiophylla,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea leptobotrys,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
Grevillea leptopoda,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea leucoclada,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea leucopteris,dry,follicle,dry,NA,NA,NA,NA,NA,7,1
Grevillea levis,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea linearifolia,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea linsmithii,dry,follicle,dry,NA,NA,NA,NA,NA,3,11
Grevillea lissopleura,dry,follicle,dry,NA,NA,NA,NA,NA,8,8
Grevillea longicuspis,dry,follicle,dry,NA,NA,NA,NA,NA,8,12
Grevillea longifolia,dry,follicle,dry,NA,NA,NA,NA,NA,7,1
Grevillea longistyla,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea lullfitzii,dry,follicle,dry,NA,NA,NA,NA,NA,9,12
Grevillea macleayana,dry,follicle,dry,NA,NA,NA,NA,NA,9,1
Grevillea maherae,dry,follicle,dry,NA,NA,NA,NA,NA,12,3
Grevillea makinsonii,dry,follicle,dry,NA,NA,NA,NA,NA,9,9
Grevillea manglesii,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea manglesioides,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea marriottii,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea masonii,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea maxwellii,dry,follicle,dry,NA,NA,NA,NA,NA,9,11
Grevillea mccutcheonii,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea metamorpha,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea micrantha,dry,follicle,dry,NA,NA,NA,NA,NA,8,1
Grevillea microstegia,dry,follicle,dry,NA,NA,NA,NA,NA,11,12
Grevillea microstyla,dry,follicle,dry,NA,NA,NA,NA,NA,12,6
Grevillea mimosoides,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea miniata,dry,follicle,dry,NA,NA,NA,NA,NA,4,8
Grevillea minutiflora,dry,follicle,dry,NA,NA,NA,NA,NA,4,9
Grevillea miqueliana,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea mollis,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea molyneuxii,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea monslacana,dry,follicle,dry,NA,NA,NA,NA,NA,10,4
Grevillea montana,dry,follicle,dry,NA,NA,NA,NA,NA,9,10
Grevillea monticola,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea montis-cole,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea mucronulata,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Grevillea muelleri,dry,follicle,dry,NA,NA,NA,NA,NA,7,9
Grevillea murex,dry,follicle,dry,NA,NA,NA,NA,NA,7,10
Grevillea muricata,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea myosodes,dry,follicle,dry,NA,NA,NA,NA,NA,5,7
Grevillea nana,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea nematophylla,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea neurophylla,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea newbeyi,dry,follicle,dry,NA,NA,NA,NA,NA,6,11
Grevillea nudiflora,dry,follicle,dry,NA,NA,NA,NA,NA,7,11
Grevillea obliquistigma,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea obtecta,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea obtusiflora,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Grevillea obtusifolia,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea occidentalis,dry,follicle,dry,NA,NA,NA,NA,NA,8,2
Grevillea oldei,dry,follicle,dry,NA,NA,NA,NA,NA,6,2
Grevillea oleoides,dry,follicle,dry,NA,NA,NA,NA,NA,8,11
Grevillea oligantha,dry,follicle,dry,NA,NA,NA,NA,NA,5,11
Grevillea oligomera,dry,follicle,dry,NA,NA,NA,NA,NA,7,12
Grevillea olivacea,dry,follicle,dry,NA,NA,NA,NA,NA,6,10
Grevillea oncogyne,dry,follicle,dry,NA,NA,NA,NA,NA,10,12
