Column,Unit,notes,col_names_in_R
RdarkN_25C_varQ10,mmol CO2 gN-1 s-1,,RdarkN_25C_varQ10
RdarkP_25C_varQ10,mmol CO2 gP-1 s-1,,RdarkP_25C_varQ10
Rdarka_MeanMonth-T_VarQ10,mmol CO2 m-2 s-1,"Predicted rates at  the mean daily T of the warmest quarter, assuming a T-variable Q10 value (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka_MeasMonth-T_varQ10
Rdarkm_MeanMonth-T_VarQ10,nmol CO2 gDM-1 s-1,,Rdarkm_MeasMonth-T_varQ10
RdarkN_MeanMonth-T_VarQ10,mmol CO2 gN-1 s-1,,RdarkN_MeasMonth-T_varQ10
RdarkP_MeanMonth-T_VarQ10,mmol CO2 gP-1 s-1,,RdarkP_MeasMonth-T_varQ10
Rdarka_TWQ-T_varQ10,mmol CO2 m-2 s-1,"Predicted rates at the mean daily T of the warmest quarter, assuming a T-variable Q10 value (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka_TWQ-T_varQ10
Rdarkm_TWQ-T_varQ10,nmol CO2 gDM-1 s-1,,Rdarkm_TWQ-T_varQ10
RdarkN_TWQ-T_varQ10,mmol CO2 gN-1 s-1,,RdarkN_TWQ-T_varQ10
RdarkP_TWQ-T_varQ10,mmol CO2 gP-1 s-1,,RdarkP_TWQ-T_varQ10
Rdarka_MaxT-WM_varQ10,mmol CO2 m-2 s-1,"Predicted rates at the mean daily maximum of the warmest month ,assuming a T-variable Q10 value (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka_MaxT-WM_varQ10
Rdarkm_MaxT-WM_varQ10,nmol CO2 gDM-1 s-1,,Rdarkm_MaxT-WM_varQ10
RdarkN_MaxT-WM_varQ10,mmol CO2 gN-1 s-1,,RdarkN_MaxT-WM_varQ10
RdarkP_MaxT-WM_varQ10,mmol CO2 gP-1 s-1,,RdarkP_MaxT-WM_varQ10
Leaf Nm,mg N g-1,,LeafNm
Leaf Pm,mg P g-1,,LeafPm
N:P,NA,,N:P
Leaf Na,g N m-2,,LeafNa
Leaf Pa,g P m-2,,LeafPa
LMA,gDM m-2,,LMA
SLA,m2 kgDM,,SLA
Glucose_a,g m-2,,Glucose_a
Fructose_a,g m-2,,Fructose_a
Sucrose_a,g m-2,,Sucrose_a
Total sugars_a,g m-2,,Totalsugars_a
Starch_a,g m-2,,Starch_a
TNC_a,g m-2,,TNC_a
Glucose_m,mg gDM-1,,Glucose_m
Fructose_m,mg gDM-1,,Fructose_m
Sucrose_m,mg gDM-1,,Sucrose_m
Total sugars_m,mg gDM-1,,Totalsugars_m
Starch_m,mg gDM-1,,Starch_m
TNC_m,mg gDM-1,,TNC_m
G*_25,ppm,,G*_25
G*_LfT,ppm,,G*_LfT
G*_TWQ,ppm,,G*_TWQ
G*_MaxT-WM,ppm,,G*_MaxT-WM
G_25,ppm,,G_25
G_LfT,ppm,,G_LfT
G_TWQ,ppm,,G_TWQ
G_MaxT-WM,ppm,,G_MaxT-WM
Kc_25,mbar,,Kc_25
Kc_Ea,kJ mol-1,,Kc_Ea
Kc_LfT,mbar,,Kc_LfT
Kc_TWQ,mbar,,Kc_TWQ
Kc_MaxT-WM,mbar,,Kc_MaxT-WM
Ko_25,mbar,,Ko_25
Ko_Ea,kJ mol-1,,Ko_Ea
Ko_LfT,mbar,,Ko_LfT
Ko_TWQ,mbar,,KoTWQ
Ko_MaxT-WM,mbar,,KoMaxT-WM
Vcmax_LfT_a,mmol CO2 m-2 s-1,,Vcmax_a_LfT
Vcmax_25_a,mmol CO2 m-2 s-1,,Vcmax_a_25
Vcmax_TWQ-T_a,mmol CO2 m-2 s-1,,Vcmax_a_TWQ-T
Vcmax_MaxT-WM_a,mmol CO2 m-2 s-1,,Vcmax_a_MaxT-WM
Vcmax_LfT_m,nmol CO2 g-1 s-1,,Vcmax_m_LfT
Vcmax_25_m,nmol CO2 g-1 s-1,,Vcmax_m_25
Vcmax_TWQ-T_m,nmol CO2 g-1 s-1,,Vcmax_m_TWQ-T
Vcmax_MaxT-WM_m,nmol CO2 g-1 s-1,,Vcmax_m_MaxT-WM
Aa_sat_LfT_Ci250,mmol CO2 m-2 s-1,,Aa_sat_LfT_Ci250
Aa_sat_Ci250_25oC_Fixed Q10,mmol CO2 m-2 s-1,"Calculated assuming R = Rdark, and that R at 25oC is calculated assuming a fixed Q10",Aa_sat_Ci250_25oC_Fixed Q10
Aa_sat_Ci250_TWQ-T_Fixed Q10,mmol CO2 m-2 s-1,"Calculated assuming R = Rdark, and that R at TWQ is calculated assuming a fixed Q10",Aa_sat_Ci250_TWQ-T_Fixed Q10
Aa_sat_Ci250_MaxT-WM_Fixed Q10,mmol CO2 m-2 s-1,"Calculated assuming R = Rdark, and that R at MaxT-WM is calculated assuming a fixed Q10",Aa_sat_Ci250_MaxT-WM_Fixed Q10
Aa_sat_Ci250_25oC_varQ10,mmol CO2 m-2 s-1,"Calculated assuming R = Rdark, and that R at 25oC is calculated assuming a T-variable Q10 (Tjoelker et al. 2001)",Aa_sat_Ci250_25oC_varQ10
Aa_sat_Ci250_TWQ-T_varQ10,mmol CO2 m-2 s-1,"Calculated assuming R = Rdark, and that R at TWQ is calculated assuming a T-variable Q10 (Tjoelker et al. 2001)",Aa_sat_Ci250_TWQ-T_varQ10
Aa_sat_Ci250_MaxT-WM_varQ10,mmol CO2 m-2 s-1,"Calculated assuming R = Rdark, and that R at MaxT-WM is calculated assuming a T-variable Q10 (Tjoelker et al. 2001)",Aa_sat_Ci250_MaxT-WM_varQ10
Am_sat_LfT_Ci250,nmol CO2 g-1 s-1,,Am_sat_LfT_Ci250
Am_sat_Ci250_25oC_Fixed Q10,nmol CO2 g-1 s-1,"Calculated assuming R = Rdark, and that R at 25oC is calculated assuming a fixed Q10",Am_sat_Ci250_25oC_Fixed Q10
Am_sat_Ci250_TWQ-T_Fixed Q10,nmol CO2 g-1 s-1,"Calculated assuming R = Rdark, and that R at TWQ is calculated assuming a fixed Q10",Am_sat_Ci250_TWQ-T_Fixed Q10
Am_sat_Ci250_MaxT-WM_Fixed Q10,nmol CO2 g-1 s-1,"Calculated assuming R = Rdark, and that R at MaxT-WM is calculated assuming a fixed Q10",Am_sat_Ci250_MaxT-WM_Fixed Q10
Am_sat_Ci250_25oC_varQ10,nmol CO2 g-1 s-1,"Calculated assuming R = Rdark, and that R at  25oC  is calculated assuming a T-variable Q10 (Tjoelker et al. 2001)",Am_sat_Ci250_25oC_varQ10
Am_sat_Ci250_TWQ-T_varQ10,nmol CO2 g-1 s-1,"Calculated assuming R = Rdark, and that R at TWQ is calculated assuming a T-variable Q10 (Tjoelker et al. 2001)",Am_sat_Ci250_TWQ-T_varQ10
Am_sat_Ci250_MaxT-WM_varQ10,nmol CO2 g-1 s-1,"Calculated assuming R = Rdark, and that R at MaxT-WM is calculated assuming a T-variable Q10 (Tjoelker et al. 2001)",Am_sat_Ci250_MaxT-WM_varQ10
Rdarka/Aa_sat_LfT,dimensionless,,Rdarka/Aa_sat_LfT
Rdarka/Aa_sat_LfT_Ci250,dimensionless,,Rdarka/Aa_sat_LfT_Ci250
Rdarka/Aa_sat_25oC_Ci250_fixedQ10,dimensionless,"Using predicted rates of R at 25oC, assuming a fixed Q10 value",Rdarka/Aa_sat_25oC_Ci250_fixedQ10
Rdarka/Aa_sat_TWQ-T_Ci250_fixedQ10,dimensionless,"Using predicted rates of R at TWQ, assuming a fixed Q10 value",Rdarka/Aa_sat_TWQ-T_Ci250_fixedQ10
Rdarka/Aa_sat_25oC_Ci250_varQ10,dimensionless,"Using predicted rates of R at 25oC, assuming a T-variable Q10 value  (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka/Aa_sat_25oC_Ci250_varQ10
Rdarka/Aa_sat_TWQ-T_Ci250_varQ10,dimensionless,"Using predicted rates of R at TWQ, assuming a T-variable Q10 value  (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka/Aa_sat_TWQ_Ci250_varQ10
Rdarka/Vcmax_LfT,dimensionless,,Rdarka/Vcmax_LfT
Rdarka/Vcmax_25oC_fixedQ10,dimensionless,"Using predicted rates of R at 25oC, assuming a fixed Q10 value",Rdarka/Vcmax_25oC_fixedQ10
Rdarka/Vcmax_TWQ-T_fixedQ10,dimensionless,"Using predicted rates of R at  TWQ, assuming a fixed Q10 value",Rdarka/Vcmax_TWQ_fixedQ10
Rdarka/Vcmax_MaxT-WM_fixedQ10,dimensionless,"Using predicted rates of R at MaxT-WM, assuming a fixed Q10 value",Rdarka/Vcmax_MaxT-WM_fixedQ10
Rdarka/Vcmax_25oC_varQ10,dimensionless,"Using predicted rates of R at 25oC, assuming a T-variable Q10 value  (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka/Vcmax_25oC_varQ10
Rdarka/Vcmax_TWQ-T_varQ10,dimensionless,"Using predicted rates of R at TWQ-T, assuming a T-variable Q10 value  (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka/Vcmax_TWQ_varQ10
Rdarka/Vcmax_MaxT-WM_varQ10,dimensionless,"Using predicted rates of R at MaxT_WM, assuming a T-variable Q10 value  (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka/Vcmax_MaxT-WM_varQ10
MAT = BIO1,°C,Mean annual temperature,MAT
Mean Diurnal Range = BIO2,(Mean of monthly (max temp - min temp)) (°C),Mean of monthly (max temp - min temp),MeanDiurnalRange
Isothermality (BIO2/BIO7) (* 100) = BIO3,NA,Mean Diurnal Range (Mean of monthly (max temp - min temp)) divided by Temperature Annual Range (BIO5-BIO6),Isothermality(BIO2/BIO7)(*100)
Temperature Seasonality = BIO4,SD *100,,TemperatureSeasonality
Max T Warmest Month = BIO5,°C,,MaxTWarmestMonth
Min T of Coldest Month = BIO6,°C,,MinTofColdestMonth
T-Annual Range (BIO5-BIO6) = BIO7,°C,,T-AnnualRange(BIO5-BIO6)
Mean T Wettest Quarter = BIO8,°C,,MeanTWettestQuarter
Mean T Driest Quarter = BIO9,°C,,MeanTDriestQuarter
Mean T Warmest Quarter (TWQ) = BIO10,°C,,MeanTWarmestQuarter
Mean T Coldest Quarter = BIO11,°C,,MeanTColdestQuarter
Annual Precip = BIO12,mm,,AnnualPrecip
Precip Wettest Month  = BIO13,mm,,PrecipWettestMonth
Precip Driest Month  = BIO14,mm,,PrecipDriestMonth
Precip Seasonality  = BIO15,CV,,PrecipSeasonality
Precip Wettest Quarter = BIO16,mm,,PrecipWettestQuarter
Precip Driest Quarter  = BIO17,mm,,PrecipDriestQuarter
Precip Warmest Quarter = BIO18,mm,,PrecipWarmestQuarter
Precip Coldest Quarter = BIO19,mm,,PrecipColdestQuarter
Measuring Month mean T,°C,For sites where we knew what month the actual measurements took place,MeasuringmonthmeanT
Measuring Month max T,°C,For sites where we knew what month the actual measurements took place,MeasuringMonthmaxT
Measuring Month min T,°C,For sites where we knew what month the actual measurements took place,MeasuringMonthminT
Monthly range,°C,For sites where we knew what month the actual measurements took place,Monthlyrange
Measuring month prec.,mm,For sites where we knew what month the actual measurements took place,Measuringmonthprec.
ai_yr,ratio: MAP/mean annual PET,"Aridity Index (AI) = MAP / MAE, where: MAP = Mean Annual Precipitation and MAE = Mean Annual Potential Evapo-
Transpiration",ai_yr
pet_yr,mm/year,Mean annual potential evapo-transpiration,pet_yr
pet_1,mm/month  in Jan,Montly potential evapo-transpiration,pet_1
pet_2,mm/month etc,Montly potential evapo-transpiration,pet_2
pet_3,mm/month etc,Montly potential evapo-transpiration,pet_3
pet_4,mm/month etc,Montly potential evapo-transpiration,pet_4
pet_5,mm/month etc,Montly potential evapo-transpiration,pet_5
pet_6,mm/month etc,Montly potential evapo-transpiration,pet_6
pet_7,mm/month etc,Montly potential evapo-transpiration,pet_7
pet_8,mm/month etc,Montly potential evapo-transpiration,pet_8
pet_9,mm/month etc,Montly potential evapo-transpiration,pet_9
pet_10,mm/month etc,Montly potential evapo-transpiration,pet_10
pet_11,mm/month etc,Montly potential evapo-transpiration,pet_11
pet_12,mm/month etc,Montly potential evapo-transpiration,pet_12
