longitude,latitude,sampling date,site,species,height (m),Specific leaf area (cm^2 g^-1),Leaf area to sapwood area ratio (cm^2 cm^-2),MOE (MPa),wood density (g cm^-1),pith area (micron^2),vessel area (micron^2),hydraulically weighted vessel diameter (micron),vessel number per area (mm^-2),vessel lumen fraction,vessel wall fraction,axial parenchyma fraction,ray fraction,axial+ray parenchyma fraction,fibre fraction,fibre wall fraction,fibre lumen fraction,conduits15 fraction,mucilage canals fraction,references
145.490E,18.162S,2012 Oct,Blencoe Falls,Grevillea parallela,5.3,48.10736636,5232.516863,3363.04279,0.6234,0,1838.685457,70.51139691,65.26401757,0.12,0.036363636,0.210909091,0.272727273,0.483636364,0.352727273,0.316363636,0.036363636,0.007272727,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124902"
145.490E,18.162S,2012 Oct,Blencoe Falls,Grevillea parallela,5.8,50.96622365,5594.419074,2348.43825,0.55149,0,1819.105266,70.48218616,72.00815574,0.130990415,0.022364217,0.252396166,0.303514377,0.555910543,0.287539936,0.265175719,0.022364217,0.003194888,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124903"
145.490E,18.162S,2012 Oct,Blencoe Falls,Grevillea parallela,4.4,NA,NA,4428.97921,0.61595,0,1048.271064,61.64229289,147.6353875,0.154761905,0.056547619,0.31547619,0.196428571,0.511904762,0.270833333,0.258928571,0.011904762,0.005952381,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124904"
145.490E,18.162S,2012 Oct,Blencoe Falls,Lophostemon suaveolens,1.9,59.81506549,2558.738272,3230.51643,0.50654,1768559.58,1277.551017,57.90190588,153.6901692,0.196347032,0.04109589,0.118721461,0.173515982,0.292237443,0.406392694,0.301369863,0.105022831,0.063926941,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124905"
145.490E,18.162S,2012 Oct,Blencoe Falls,Lophostemon suaveolens,2.4,59.47840172,5074.318192,3621.57316,0.5416,3015928.95,1130.3944,48.61788595,142.1754036,0.16071428,0.035714285,0.20089285,0.25,0.45089285,0.281250001,0.20982143,0.071428571,0.071428571,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124906"
145.490E,18.162S,2012 Oct,Blencoe Falls,Lophostemon suaveolens,2.4,48.51317881,3466.862674,3244.86888,0.52717,738902.59,1260.410036,53.68506961,143.3440418,0.180672269,0.06302521,0.172268908,0.231092437,0.403361345,0.302521008,0.210084034,0.092436975,0.050420168,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124907"
145.490E,18.162S,2012 Oct,Blencoe Falls,Melaleuca nervosa,2.6,62.40908779,5203.78307,1991.1583,0.56908,464405.93,1415.398036,59.48855808,97.45035035,0.137931034,0.022988506,0.22605364,0.176245211,0.402298851,0.38697318,0.287356322,0.099616858,0.049808429,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124908"
145.490E,18.162S,2012 Oct,Blencoe Falls,Melaleuca nervosa,3.9,53.18523746,3831.402851,1953.99661,0.61728,418617.22,1496.197255,59.26233514,114.1104268,0.170731707,0.034146341,0.209756098,0.16097561,0.370731707,0.390243902,0.302439024,0.087804878,0.034146341,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124909"
145.490E,18.162S,2012 Oct,Blencoe Falls,Melaleuca nervosa,4,83.3223053,7163.885857,2279.04872,0.50855,1178568.48,1664.521115,62.62386987,98.82852371,0.164502165,0.086580087,0.155844156,0.12987013,0.285714286,0.333333333,0.281385281,0.051948052,0.12987013,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124910"
145.490E,18.162S,2012 Oct,Blencoe Falls,Melaleuca viridiflora,2.85,39.78482163,4164.800144,1746.21548,0.56039,1418429.08,1320.465169,54.73811338,111.7340972,0.147540984,0.028688525,0.106557377,0.18442623,0.290983607,0.459016393,0.405737705,0.053278689,0.073770492,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124911"
145.490E,18.162S,2012 Oct,Blencoe Falls,Melaleuca viridiflora,2.9,50.62315722,7478.630506,1323.72517,0.54123,1915271.96,1289.8562,55.0121689,166.9834358,0.21538462,0.082051287,0.076923075,0.16410257,0.241025645,0.394871802,0.30256411,0.092307692,0.066666665,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124912"
145.490E,18.162S,2012 Oct,Blencoe Falls,Melaleuca viridiflora,3.3,35.21910844,3183.368108,1595.88075,0.57012,3257203.26,1183.418288,54.36026264,119.6473992,0.14159292,0.03539823,0.079646018,0.14159292,0.221238938,0.526548673,0.42920354,0.097345133,0.075221239,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124913"
145.490E,18.162S,2012 Oct,Blencoe Falls,Persoonia falcata,4.3,96.31273408,3738.220023,6486.38592,0.57683,1998052.93,1328.188903,58.85633504,127.4146839,0.169230769,0.057692308,0.138461538,0.061538462,0.2,0.523076923,0.415384615,0.107692308,0.05,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124914"
145.490E,18.162S,2012 Oct,Blencoe Falls,Persoonia falcata,3.7,74.94823561,6136.72828,3928.90024,0.60087,2132827.25,832.9026504,44.2002525,124.0310438,0.103305785,0.049586777,0.107438017,0.061983471,0.169421488,0.640495868,0.533057851,0.107438017,0.037190083,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124915"
145.490E,18.162S,2012 Oct,Blencoe Falls,Persoonia falcata,4,101.7873189,2403.924483,3957.2386,0.55903,1666300.74,1021.630287,58.07918016,154.0287206,0.157360406,0.096446701,0.14213198,0.091370558,0.233502538,0.426395939,0.304568528,0.121827411,0.086294416,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124916"
145.490E,18.162S,2012 Oct,Blencoe Falls,Pimelea linifolia,0.6,139.8393179,2199.494798,NA,0.4776,120637.16,438.7220763,28.5811016,195.6156304,0.085820896,0.037313433,0.03358209,0.123134328,0.156716418,0.686567164,0.343283582,0.343283582,0.03358209,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124917"
145.490E,18.162S,2012 Oct,Blencoe Falls,Pimelea linifolia,0.8,105.2293392,1211.439882,3511.39686,0.38055,47123.89,417.87497,26.99236041,242.4686504,0.10132158,0.088105726,0.044052863,0.03524229,0.079295153,0.68722468,0.38325993,0.30396475,0.044052863,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124918"
145.490E,18.162S,2012 Oct,Blencoe Falls,Pimelea linifolia,0.7,96.54667544,2355.278298,NA,0.46781,1926189,482.5002407,31.22705999,388.0496356,0.187234043,0.055319149,0.055319149,0.059574468,0.114893617,0.565957447,0.246808511,0.319148936,0.076595745,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124919"
145.490E,18.162S,2012 Oct,Blencoe Falls,Xylomelum scottianum,4,NA,NA,1271.64771,0.66585,251013.25,1471.20784,55.48010967,50.08416114,0.073684211,0.010526316,0.319298246,0.252631579,0.571929825,0.340350877,0.329824561,0.010526316,0.003508772,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124920"
145.490E,18.162S,2012 Oct,Blencoe Falls,Xylomelum scottianum,4.2,55.75696594,4652.451814,1473.17112,0.59137,229022.1,1704.855707,64.18331499,77.17893474,0.131578947,0.007518797,0.251879699,0.330827068,0.582706767,0.27443609,0.251879699,0.022556391,0.003759398,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124921"
145.490E,18.162S,2012 Oct,Blencoe Falls,Xylomelum scottianum,3.2,60.10830061,3950.027345,2459.24458,0.58801,612767.65,2560.839712,74.38650081,60.80401747,0.155709343,0.031141869,0.190311419,0.256055363,0.446366782,0.366782007,0.339100346,0.027681661,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124922"
145.449E,16.104S,2012 May,Cape Tribulation,Antirhea tenuiflora,14.4,145.2687205,9698.820394,7594.21624,0.58066,2017530.8,683.9684727,35.34293618,257.2532013,0.175953079,0.090909091,0.158357771,0.237536657,0.395894428,0.337243402,0.299120235,0.038123167,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124923"
145.449E,16.104S,2012 May,Cape Tribulation,Antirhea tenuiflora,13.5,114.0351856,7292.860898,7902.23587,0.53679,2516415.72,685.1172076,33.65564605,243.9565207,0.16713881,0.04815864,0.110481586,0.320113314,0.430594901,0.354107649,0.331444759,0.02266289,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124924"
145.449E,16.104S,2012 May,Cape Tribulation,Antirhea tenuiflora,10.7,174.5692607,4991.773902,7080.94983,0.60373,1334234.4,611.8900635,34.20139041,332.9089911,0.203703704,0.08994709,0.12962963,0.28042328,0.41005291,0.296296296,0.277777778,0.018518519,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124925"
145.449E,16.104S,2012 May,Cape Tribulation,Argyrodendron peralatum,35.4,61.67370214,10338.10151,2859.34983,0.5763,1708241.01,2122.1738,69.0507326,62.68455487,0.13302752,0.050458717,0.3348624,0.2385321,0.5733945,0.243119269,0.22018349,0.022935779,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124926"
145.449E,16.104S,2012 May,Cape Tribulation,Argyrodendron peralatum,34.9,58.27702703,14854.00288,1872.21486,0.5822,2813924.54,1514.967308,64.98111721,120.3101935,0.18226601,0.049261084,0.33990147,0.2315271,0.57142857,0.197044334,0.1773399,0.019704434,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124927"
145.449E,16.104S,2012 May,Cape Tribulation,Argyrodendron peralatum,30.6,54.62187404,16884.60718,2419.08031,0.57407,897238.86,1214.306572,57.14606791,84.22315445,0.10227273,0.073863635,0.2840909,0.34090908,0.62499998,0.198863635,0.18181818,0.017045455,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124928"
145.449E,16.104S,2012 May,Cape Tribulation,Austromuellera trinervia,16.3,70.3776298,16654.00252,4686.23135,0.46999,78526543.11,2204.514342,62.12310093,66.70803667,0.147058824,0.023529412,0.161764706,0.352941176,0.514705882,0.3,0.261764706,0.038235294,0.014705882,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124929"
145.449E,16.104S,2012 May,Cape Tribulation,Austromuellera trinervia,19.9,90.72304133,15026.34529,3298.65719,0.46591,68968168.92,1487.3693,57.46077989,102.0696003,0.15181519,0.042904291,0.16831684,0.25742575,0.42574259,0.37623762,0.25082508,0.12541254,0.00330033,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124930"
145.449E,16.104S,2012 May,Cape Tribulation,Austromuellera trinervia,19.8,77.36456024,15003.25454,3362.38379,0.45533,70272322.57,1476.644728,55.7717444,92.73908108,0.136942675,0.025477707,0.194267516,0.433121019,0.627388535,0.203821656,0.156050955,0.047770701,0.006369427,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124931"
145.449E,16.104S,2012 May,Cape Tribulation,Brombya platynema,10.8,108.6595961,8693.94173,4877.4424,0.59067,1439320.67,846.8289479,40.88337037,133.490333,0.113043478,0.030434783,0.043478261,0.3,0.343478261,0.513043478,0.365217391,0.147826087,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124932"
145.449E,16.104S,2012 May,Cape Tribulation,Brombya platynema,10.3,188.5776041,5434.221018,4532.65221,0.52999,8014988.26,644.1362672,35.24498621,131.3625531,0.084615385,0.030769231,0.061538462,0.276923077,0.338461538,0.546153846,0.419230769,0.126923077,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124933"
145.449E,16.104S,2012 May,Cape Tribulation,Brombya platynema,7.1,162.1885357,14632.25425,5907.87392,0.57006,583236.68,758.1858619,37.93029511,92.73781474,0.0703125,0.0390625,0.15625,0.26171875,0.41796875,0.47265625,0.3125,0.16015625,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124934"
145.449E,16.104S,2012 May,Cape Tribulation,Cardwellia sublimis,29.1,69.14815127,6774.708225,3591.16297,0.49791,2975402.4,1820.686731,54.08745314,68.827482,0.125313283,0.030075188,0.263157895,0.360902256,0.62406015,0.220551378,0.175438596,0.045112782,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124935"
145.449E,16.104S,2012 May,Cape Tribulation,Cardwellia sublimis,27.9,92.87890488,9179.839518,3523.17477,0.4605,2788163.48,2196.970378,58.07331309,44.15850407,0.097014925,0.027363184,0.248756219,0.410447761,0.65920398,0.21641791,0.15920398,0.05721393,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124936"
145.449E,16.104S,2012 May,Cape Tribulation,Cardwellia sublimis,24.9,81.38363724,6236.765296,3824.35771,0.44746,3272282.91,1589.011412,54.34118105,69.47062152,0.11038961,0.025974026,0.337662338,0.365800866,0.703463203,0.16017316,0.119047619,0.041125541,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124937"
145.449E,16.104S,2012 May,Cape Tribulation,Casearia dallachii,2.9,206.8057247,17569.52156,4434.16728,0.51788,4530490.77,662.8692202,34.13677103,166.5330153,0.11038961,0.045454545,0.042207794,0.31168831,0.353896104,0.49025974,0.30194805,0.18831169,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124938"
145.449E,16.104S,2012 May,Cape Tribulation,Casearia dallachii,2.7,161.5816976,20233.57584,3520.39292,0.55547,969809.65,570.0609649,31.52593221,183.846126,0.1048035,0.030567687,0.013100437,0.34934498,0.362445417,0.5021834,0.29694323,0.20524017,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124939"
145.449E,16.104S,2012 May,Cape Tribulation,Casearia dallachii,2.6,124.3588024,7923.580876,4978.72787,0.44112,3626026.24,1047.977835,41.06684348,128.3963987,0.13455658,0.033639145,0.027522936,0.38226299,0.409785926,0.42201833,0.17431192,0.24770641,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124940"
145.449E,16.104S,2012 May,Cape Tribulation,Castanospermum australe,29,106.2406201,11310.00682,3200.54088,0.39047,16486999.71,3894.395119,88.24443204,18.16243734,0.070731707,0.017073171,0.251219512,0.314634146,0.565853659,0.346341463,0.190243902,0.156097561,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124941"
145.449E,16.104S,2012 May,Cape Tribulation,Castanospermum australe,30.6,82.35225773,14994.87757,2751.67596,0.44624,35408890.8,2476.668553,69.13986375,33.75152124,0.083591331,0.021671827,0.393188854,0.185758514,0.578947368,0.315789474,0.176470588,0.139318885,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124942"
145.449E,16.104S,2012 May,Cape Tribulation,Castanospermum australe,32.9,98.55264831,8310.979019,2417.17163,0.45691,6800919.78,1570.175486,53.79950974,50.16453511,0.078767123,0.017123288,0.188356164,0.273972603,0.462328767,0.441780822,0.325342466,0.116438356,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124943"
145.449E,16.104S,2012 May,Cape Tribulation,Cleistanthus myrianthus,12.9,138.2836427,9676.44033,6692.49086,0.51527,1041909.2,757.8220505,35.78351334,128.497545,0.097378273,0.059925094,0.074906368,0.27715355,0.352059918,0.4906367,0.38576778,0.10486892,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124944"
145.449E,16.104S,2012 May,Cape Tribulation,Cleistanthus myrianthus,20.3,113.0945903,4632.289259,6720.02619,0.49615,1571581.72,1015.199841,41.43007298,157.4245222,0.15981735,0.054794521,0.091324205,0.29223743,0.383561635,0.40182649,0.28767124,0.11415525,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124945"
145.449E,16.104S,2012 May,Cape Tribulation,Cleistanthus myrianthus,19.2,136.7606469,8182.982033,5827.22054,0.59943,2137539.64,1009.253824,39.88771379,191.2130085,0.19298246,0.065789475,0.096491232,0.22807018,0.324561412,0.416666672,0.32017544,0.096491232,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124946"
145.449E,16.104S,2012 May,Cape Tribulation,Cryptocarya grandis,26.2,95.77321708,9051.902101,3922.40033,0.59067,3615580.45,1779.026098,61.41492631,87.68842692,0.156,0.051999998,0.152,0.23200001,0.38400001,0.408,0.244,0.164,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124947"
145.449E,16.104S,2012 May,Cape Tribulation,Cryptocarya grandis,24.5,107.320083,15811.61359,4670.62931,0.53965,2901103.74,2093.9897,66.76033399,54.31043429,0.11372549,0.023529413,0.14117647,0.19215687,0.33333334,0.52941175,0.34117645,0.1882353,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124948"
145.449E,16.104S,2012 May,Cape Tribulation,Cryptocarya grandis,23.3,97.84753773,9413.187164,5279.76072,0.56144,2185920.17,2000.382,69.96889131,64.20792129,0.12844037,0.041284404,0.16055046,0.21559633,0.37614679,0.45412845,0.30733946,0.14678899,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124949"
145.449E,16.104S,2012 May,Cape Tribulation,Cryptocarya mackinnoniana,20.8,54.45331344,4028.37351,3900.47247,0.59062,18388998.44,1803.143632,66.44528939,48.06420768,0.08666667,0.035555556,0.17555555,0.26666666,0.44222221,0.43333334,0.26888889,0.16444445,0,0.002222222,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124950"
