taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Fagaceae,tree,NA,NA,NA,NA,NA,monoecious,NA
Quercus,tree,NA,NA,NA,NA,NA,NA,NA
Quercus robur,tree,NA,NA,NA,NA,NA,NA,NA
Moraceae,tree,NA,NA,NA,NA,NA,monoecious,NA
Ficus,tree shrub,NA,NA,NA,NA,NA,NA,NA
Ficus carica,tree shrub,NA,NA,NA,NA,NA,NA,NA
Ficus platypoda,tree shrub,sprawling,NA,NA,NA,NA,NA,NA
Cannabaceae,herb,NA,NA,annual,NA,NA,dioecious,NA
Cannabis,herb,erect,NA,annual,NA,NA,NA,NA
Cannabis sativa,NA,NA,NA,NA,NA,NA,NA,NA
Urticaceae,herb,NA,NA,NA,NA,NA,NA,NA
Parietaria,herb,prostrate erect,NA,annual perennial,NA,NA,NA,NA
Parietaria debilis,NA,NA,NA,annual,NA,NA,NA,NA
Parietaria judaica,NA,NA,NA,perennial,NA,NA,NA,NA
Soleirolia,herb,NA,NA,perennial,NA,NA,NA,NA
Soleirolia soleirolii,herb,NA,NA,NA,NA,NA,NA,NA
Urtica,herb,erect,NA,annual perennial,NA,NA,NA,NA
Urtica incisa,NA,NA,NA,perennial,NA,NA,NA,NA
Urtica urens,NA,erect,NA,annual,NA,NA,NA,NA
Proteaceae,tree subshrub shrub herb,NA,NA,perennial,NA,NA,NA,NA
Adenanthos,tree subshrub shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Adenanthos macropodiana,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Adenanthos terminalis,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Banksia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia marginata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia ornata,shrub,bushy,NA,NA,NA,NA,NA,NA
Conospermum,subshrub shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum patens,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea,tree shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea biternata,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea ilicifolia,shrub,erect spreading procumbent,NA,NA,NA,NA,NA,NA
Grevillea aquifolium,shrub,erect spreading procumbent,NA,NA,NA,NA,NA,NA
Grevillea aspera,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea eriostachya,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea parviflora,tree shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea huegelii,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA
Grevillea juncifolia,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Grevillea lavandulacea,NA,prostrate spreading,NA,NA,NA,NA,NA,NA
Grevillea lavandulacea lavandulacea,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea lavandulacea sericea,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea rosmarinifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea rogersii,shrub,sprawling,NA,NA,NA,NA,NA,NA
Grevillea muricata,shrub,spreading,NA,NA,NA,NA,NA,NA
Grevillea nematophylla,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Grevillea parallelinervis,shrub,erect,NA,NA,NA,NA,NA,NA
Grevillea pauciflora,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea pterosperma,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea quinquenervis,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea umbellifera,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea stenobotrya,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Grevillea striata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea treueriana,shrub,spreading,NA,NA,NA,NA,NA,NA
Hakea,tree shrub,NA,NA,NA,NA,NA,NA,NA
Hakea aenigma,shrub,compact,NA,NA,NA,NA,NA,NA
Hakea carinata,shrub,erect,NA,NA,NA,NA,NA,NA
Hakea cycloptera,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea sericea,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea vittata,shrub,prostrate dense,NA,NA,NA,NA,NA,NA
Hakea divaricata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Hakea eyreana,tree,bushy,NA,NA,NA,NA,NA,NA
Hakea ednieana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Hakea francisiana,tree shrub,erect,NA,NA,NA,NA,NA,NA
Hakea laurina,tree shrub,NA,NA,NA,NA,NA,NA,NA
Hakea leucoptera,tree shrub,NA,NA,NA,NA,NA,NA,NA
Hakea suberea,NA,NA,NA,NA,NA,NA,NA,NA
Hakea minyma,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Hakea muelleriana,shrub,erect,NA,NA,NA,NA,NA,NA
Hakea nodosa,NA,NA,NA,NA,NA,NA,NA,NA
Hakea repullulans,NA,NA,NA,NA,NA,NA,NA,NA
Hakea rostrata,shrub,spreading,NA,NA,NA,NA,NA,NA
Hakea rugosa,shrub,spreading compact,NA,NA,NA,NA,NA,NA
Hakea tephrosperma,tree shrub,NA,NA,NA,NA,NA,NA,NA
Isopogon,shrub,NA,NA,NA,NA,NA,NA,NA
Isopogon ceratophyllus,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Petrophile,shrub,NA,NA,NA,NA,NA,NA,NA
Petrophile multisecta,subshrub,NA,NA,NA,NA,NA,NA,NA
Olacaceae,tree shrub,NA,NA,NA,NA,NA,NA,NA
Olax,tree shrub,NA,NA,NA,NA,NA,NA,NA
Olax obcordata,shrub,NA,NA,NA,NA,NA,NA,NA
Santalaceae,tree shrub,NA,parasitic,NA,NA,NA,NA,NA
Anthobolus,shrub,NA,NA,NA,NA,NA,dioecious,NA
Anthobolus leptomerioides,shrub,NA,NA,NA,NA,NA,NA,NA
Choretrum,shrub,NA,NA,NA,NA,NA,NA,NA
Choretrum chrysanthum,shrub,NA,NA,NA,NA,NA,NA,NA
Choretrum glomeratum,shrub,NA,NA,NA,NA,NA,NA,NA
Choretrum spicatum,shrub,NA,NA,NA,NA,NA,NA,NA
Exocarpos,tree shrub,NA,NA,NA,NA,NA,NA,NA
Exocarpos aphyllus,tree shrub,NA,NA,NA,NA,NA,NA,NA
Exocarpos cupressiformis,tree shrub,dense,NA,NA,NA,NA,NA,NA
Exocarpos sparteus,shrub,erect,NA,NA,NA,NA,NA,NA
Exocarpos strictus,tree shrub,dense,NA,NA,NA,NA,NA,NA
Exocarpos syrticola,tree shrub,NA,NA,NA,NA,NA,NA,NA
Leptomeria,shrub,NA,NA,NA,NA,NA,NA,NA
Leptomeria aphylla,shrub,NA,NA,NA,NA,NA,NA,NA
Leptomeria preissiana,shrub,NA,NA,NA,NA,NA,NA,NA
Santalum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Santalum acuminatum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Santalum lanceolatum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Santalum murrayanum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Santalum spicatum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Loranthaceae,shrub,NA,stem_parasitic,NA,NA,NA,NA,NA
Amyema,NA,NA,NA,NA,NA,NA,NA,NA
Amyema fitzgeraldii,NA,NA,NA,NA,NA,NA,NA,NA
Amyema gibberulum,NA,NA,NA,NA,NA,NA,NA,NA
Amyema hillianum,NA,NA,NA,NA,NA,NA,NA,NA
Amyema linophyllum,NA,NA,NA,NA,NA,NA,NA,NA
Amyema maidenii,NA,NA,NA,NA,NA,NA,NA,NA
Amyema melaleucae,NA,NA,NA,NA,NA,NA,NA,NA
Amyema miquelii,NA,NA,NA,NA,NA,NA,NA,NA
Amyema miraculosum,NA,NA,NA,NA,NA,NA,NA,NA
Amyema pendulum,NA,NA,NA,NA,NA,NA,NA,NA
Amyema preissii,NA,NA,NA,NA,NA,NA,NA,NA
Amyema quandang,NA,NA,NA,NA,NA,NA,NA,NA
Amyema sanguineum,NA,NA,NA,NA,NA,NA,NA,NA
Diplatia,NA,NA,NA,NA,NA,NA,NA,NA
Diplatia grandibractea,NA,NA,NA,NA,NA,NA,NA,NA
Lysiana,NA,NA,NA,NA,NA,NA,NA,NA
Lysiana exocarpi,NA,NA,NA,NA,NA,NA,NA,NA
Lysiana subfalcata,NA,NA,NA,NA,NA,NA,NA,NA
Lysiana murrayi,NA,NA,NA,NA,NA,NA,NA,NA
Muellerina,NA,NA,NA,NA,NA,NA,NA,NA
Muellerina eucalyptoides,NA,NA,NA,NA,NA,NA,NA,NA
Viscaceae,shrub,NA,stem_parasitic,NA,NA,NA,NA,NA
Korthalsella,NA,NA,NA,perennial,NA,NA,NA,NA
Korthalsella leucothrix,NA,NA,NA,NA,NA,NA,NA,NA
Polygonaceae,shrub herb,NA,NA,NA,NA,NA,NA,NA
Muehlenbeckia coccoloboides,NA,procumbent twining,NA,NA,NA,NA,NA,NA
Calycopeplus paucifolius,shrub,erect,NA,NA,NA,NA,NA,NA
Muehlenbeckia cunninghamii,shrub,NA,NA,NA,NA,NA,NA,NA
Muehlenbeckia horrida,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Polygonum convolvulus,NA,NA,NA,annual,NA,NA,NA,NA
Muehlenbeckia,shrub,erect,NA,NA,NA,NA,NA,NA
Muehlenbeckia adpressa,NA,procumbent twining,NA,NA,NA,NA,NA,woody_base
Muehlenbeckia diclina,shrub,erect,NA,NA,NA,NA,NA,NA
Muehlenbeckia gunnii,NA,NA,NA,NA,NA,NA,NA,NA
Polygonum attenuatum,NA,NA,NA,NA,NA,NA,NA,NA
Polygonum capitatum,NA,prostrate,NA,perennial,NA,NA,NA,NA
Polygonum salicifolium,NA,NA,NA,annual perennial,NA,NA,NA,NA
Polygonum glabrum,NA,NA,NA,perennial,NA,NA,NA,NA
Polygonum lapathifolium,NA,dense,NA,annual,NA,NA,NA,NA
Polygonum orientale,NA,NA,NA,annual,NA,NA,NA,NA
Polygonum strigosum,NA,prostrate,NA,perennial,NA,NA,NA,NA
Polygonum prostratum,NA,prostrate,NA,perennial,NA,NA,NA,NA
Polygonum,herb,prostrate erect,NA,NA,NA,NA,NA,NA
Polygonum aviculare,NA,prostrate open,NA,annual,NA,NA,NA,NA
Polygonum patulum,NA,NA,NA,annual,NA,NA,NA,NA
Polygonum plebeium,NA,prostrate,NA,annual,NA,NA,NA,NA
Rumex,herb,NA,NA,annual perennial,NA,NA,NA,NA
Rumex acetosella,herb,erect,NA,perennial,NA,NA,dioecious,NA
Rumex bidens,NA,NA,NA,perennial,NA,NA,monoecious,NA
Rumex brownii,NA,erect,NA,perennial,NA,NA,NA,NA
Rumex alcockii,herb,erect,NA,perennial,NA,NA,NA,NA
Rumex conglomeratus,NA,erect,NA,perennial,NA,NA,NA,NA
Rumex crispus,NA,erect,NA,NA,NA,NA,NA,NA
Rumex crystallinus,NA,erect,NA,annual,NA,NA,NA,NA
Rumex dumosus,NA,erect,NA,perennial,NA,NA,NA,NA
Rumex dumosus dumosiformis,NA,NA,NA,NA,NA,NA,NA,NA
Emex australis,NA,prostrate,NA,annual,NA,NA,NA,NA
Rumex obtusifolius,NA,NA,NA,NA,NA,NA,NA,NA
Rumex pulcher,NA,erect spreading,NA,NA,NA,NA,NA,NA
Rumex pulcher pulcher,NA,NA,NA,NA,NA,NA,NA,NA
Rumex pulcher divaricatus,NA,NA,NA,NA,NA,NA,NA,NA
Rumex sagittatus,herb,NA,NA,perennial,NA,NA,NA,NA
Emex spinosa,NA,prostrate erect,NA,annual,NA,NA,NA,NA
Rumex tenax,NA,erect,NA,perennial,NA,NA,NA,NA
Rumex vesicarius,NA,erect,NA,annual,NA,NA,NA,NA
Phytolaccaceae,tree shrub herb,NA,NA,perennial,NA,NA,NA,NA
Phytolacca,tree shrub herb,NA,NA,perennial,NA,NA,NA,NA
Phytolacca octandra,herb,NA,NA,perennial,NA,NA,NA,NA
Gyrostemonaceae,tree shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA
Codonocarpus,tree shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA
Codonocarpus cotinifolius,tree shrub,NA,NA,NA,NA,NA,NA,NA
Codonocarpus pyramidalis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Gyrostemon,tree shrub,NA,NA,NA,NA,NA,dioecious,NA
Gyrostemon australasicus,shrub,erect,NA,NA,NA,NA,NA,NA
Gyrostemon ramulosus,tree shrub,NA,NA,NA,NA,NA,NA,NA
Gyrostemon tepperi,shrub,NA,NA,NA,NA,NA,NA,NA
Gyrostemon thesioides,shrub,erect,NA,NA,NA,NA,NA,NA
Nyctaginaceae,shrub herb climber,NA,NA,annual perennial,NA,NA,NA,NA
Boerhavia,herb,prostrate,NA,annual perennial,NA,NA,NA,NA
Boerhavia dominii,herb,NA,NA,perennial,NA,NA,NA,woody_root
Boerhavia schomburgkiana,herb,NA,NA,perennial,NA,NA,NA,woody_root
Boerhavia coccinea,herb,NA,NA,annual perennial,NA,NA,NA,woody_root
Commicarpus,herb,NA,NA,perennial,NA,NA,NA,NA
Commicarpus australis,herb,erect,NA,perennial,NA,NA,NA,NA
Mirabilis,herb,erect,NA,perennial,NA,NA,NA,NA
Mirabilis jalapa,herb,erect,NA,perennial,NA,NA,NA,NA
Aizoaceae,shrub herb,NA,NA,NA,NA,NA,NA,NA
Galenia pubescens,NA,NA,NA,perennial,NA,NA,NA,NA
Galenia secunda,NA,NA,NA,perennial,NA,NA,NA,NA
Aptenia,NA,prostrate,NA,perennial,NA,NA,NA,NA
Aptenia cordifolia,NA,NA,NA,NA,NA,NA,NA,NA
Carpobrotus,shrub,prostrate,NA,NA,NA,NA,NA,NA
Carpobrotus aequilaterus,NA,NA,NA,NA,NA,NA,NA,NA
Carpobrotus edulis,NA,NA,NA,NA,NA,NA,NA,NA
Carpobrotus modestus,NA,NA,NA,NA,NA,NA,NA,NA
Carpobrotus rossii,NA,NA,NA,NA,NA,NA,NA,NA
Micropterum papulosum,NA,prostrate,NA,annual,NA,NA,NA,NA
Disphyma,shrub,NA,NA,perennial,NA,NA,NA,NA
Disphyma crassifolium,NA,prostrate,NA,NA,NA,NA,NA,NA
Drosanthemum,shrub,prostrate,NA,perennial,NA,NA,NA,NA
Drosanthemum candens,NA,prostrate trailing,NA,NA,NA,NA,NA,NA
Glinus,herb,NA,NA,annual perennial,NA,NA,NA,NA
Glinus lotoides,NA,prostrate,NA,NA,NA,NA,NA,NA
Glinus oppositifolius,NA,procumbent,NA,NA,NA,NA,NA,NA
Glinus orygioides,NA,procumbent,NA,NA,NA,NA,NA,NA
Gunniopsis,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Gunniopsis calcarea,NA,erect,NA,perennial,NA,NA,NA,NA
Gunniopsis calva,NA,NA,NA,annual,NA,NA,NA,NA
Gunniopsis kochii,NA,NA,NA,annual,NA,NA,NA,NA
Gunniopsis papillata,NA,NA,NA,annual,NA,NA,NA,NA
Gunniopsis quadrifida,NA,NA,NA,perennial,NA,NA,NA,NA
Gunniopsis septifraga,NA,prostrate,NA,annual,NA,NA,NA,NA
Gunniopsis tenuifolia,shrub,NA,NA,perennial,NA,NA,NA,NA
Gunniopsis zygophylloides,shrub,erect decumbent,NA,perennial,NA,NA,NA,NA
Mollugo cerviana,herb,NA,NA,NA,NA,NA,NA,NA
Lampranthus,NA,prostrate shrubby,NA,perennial,NA,NA,NA,NA
Lampranthus glaucus,subshrub,NA,NA,NA,NA,NA,NA,NA
Mesembryanthemum,NA,prostrate procumbent,NA,annual biennial,NA,NA,NA,NA
Mesembryanthemum aitonis,shrub,prostrate,NA,annual biennial,NA,NA,NA,NA
Mesembryanthemum crystallinum,NA,prostrate,NA,annual biennial,NA,NA,NA,NA
Mesembryanthemum nodiflorum,NA,procumbent,NA,NA,NA,NA,NA,NA
Psilocaulon,NA,erect decumbent,NA,annual perennial,NA,NA,NA,NA
Psilocaulon tenue,shrub,erect decumbent,NA,perennial,NA,NA,NA,NA
Ruschia,NA,prostrate erect shrubby,NA,perennial,NA,NA,NA,NA
Ruschia tumidula,subshrub,NA,NA,NA,NA,NA,NA,NA
Sarcozona,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Sarcozona bicarinata,NA,NA,NA,NA,NA,NA,NA,NA
Sarcozona praecox,NA,NA,NA,NA,NA,NA,NA,NA
Tetragonia,subshrub herb,NA,NA,NA,NA,NA,NA,NA
Tetragonia decumbens,subshrub,prostrate,NA,NA,NA,NA,NA,NA
Tetragonia eremaea,NA,prostrate,NA,annual,NA,NA,NA,NA
Tetragonia implexicoma,subshrub shrub,prostrate,NA,NA,NA,NA,NA,NA
Tetragonia tetragonioides,herb,prostrate erect,NA,annual perennial,NA,NA,NA,NA
Trianthema,herb,prostrate procumbent,NA,NA,NA,NA,NA,NA
Trianthema pilosa,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema triquetra,NA,NA,NA,NA,NA,NA,NA,NA
Zaleya,NA,prostrate decumbent,NA,annual perennial,NA,NA,NA,NA
Zaleya galericulata,herb,prostrate decumbent,NA,NA,NA,NA,NA,NA
Portulacaceae,herb,NA,NA,annual perennial,NA,NA,NA,NA
Anacampseros,herb,procumbent,NA,perennial,NA,NA,NA,NA
Anacampseros australiana,NA,NA,NA,NA,NA,NA,NA,NA
Calandrinia,herb,prostrate erect procumbent decumbent,NA,annual perennial,NA,NA,NA,NA
Calandrinia balonensis,herb,rosette,NA,annual,NA,NA,NA,NA
Calandrinia brevipedata,NA,prostrate decumbent,NA,annual,NA,NA,NA,NA
Calandrinia calyptrata,NA,procumbent,NA,annual,NA,NA,NA,NA
Calandrinia menziesii,NA,prostrate decumbent,NA,annual,NA,NA,NA,NA
Calandrinia corrigioloides,NA,decumbent,NA,annual,NA,NA,NA,NA
Calandrinia disperma,NA,decumbent,NA,annual,NA,NA,NA,NA
Calandrinia eremaea,NA,erect decumbent,NA,annual,NA,NA,NA,NA
Calandrinia volubilis,NA,erect spreading,NA,annual,NA,NA,NA,NA
