SPECIES,growth form,height (cm),plant longevity,leaf area (mm2),storage organ present,diaspore weight (mg),seed mass (mg),plant_height_duplicate,height (cm)_filtered
Homopholis (Panicum) proluta,grass,100,perennial,255,0,0.5009,0.5009,Duplicate of GrassBase_2014_1064,NA
Panicum decompositum,grass,145,perennial,4000,0,0.702,0.702,NA,145
Panicum subxerophilum,grass,70,perennial,117,0,0,0,Duplicate of GrassBase_2014_1066,NA
Paspalidium jubiflorum,grass,120,perennial,653,0,0,0,Duplicate of GrassBase_2014_0758,NA
Sporobolus mitchelli,grass,45,perennial,217,0,0,0,NA,45
Cheilanthes lasiophylla,fern,15,perennial,0,1,0,0,NA,15
Cheilanthes tenuifolia,fern,45,perennial,0,1,0,0,NA,45
Ophioglossum lusitanicum/polyphyllum,fern,4,perennial,187,1,0,0,NA,4
Marsilea drummondii,fern,30,perennial,67,0,0,0,NA,30
Acacia excelsa,tree,1000,perennial,167,0,16.4,16.4,NA,1000
Eucalyptus intertexta,tree,2400,perennial,667,0,0.5,0.5,NA,2400
Eucalyptus populnea,tree,2000,perennial,1633,0,0.2,0.2,Duplicate of CPBR_2002_685,NA
Acacia cambagei,tree,1000,perennial,397,0,27.51,27.51,NA,1000
Acacia stenophylla,tree,1000,perennial,825,0,63.8,63.8,NA,1000
Eucalyptus camaldulensis,tree,4000,perennial,1303,0,0.4,0.4,NA,4000
Eucalyptus largiflorens,tree,1000,perennial,1260,0,0.2,0.2,NA,1000
Eucalyptus microtheca,tree,1500,perennial,1213,0,0.615,0.615,NA,1500
Geijera parviflora,tree,900,perennial,440,0,20.17,20.17,NA,900
Dodonaea viscosa subsp. angustissima,shrub,200,perennial,83,0,8.547,8.547,NA,200
Eremophila bowmanii,shrub,150,perennial,42,0,44.91,0.906,NA,150
Eremophila duttonii,shrub,300,perennial,70,0,82.9,2.435,Duplicate of WAH_1998_2090,NA
Eremophila mitchellii,shrub,300,perennial,160,0,8.71,1.462,NA,300
Atriplex nummularia,shrub,300,perennial,163,0,12.8,1.16,NA,300
Eremophila polyclada,shrub,200,perennial,53,0,81.75,1.14,NA,200
Centaurea melitensis,forb,100,annual,167,0,1.819,1.488,NA,100
Goodenia pusilliflora,forb,20,annual,167,0,0.863,0.863,Duplicate of Barlow_1981_1831,NA
Velleia glabrata,forb,50,annual,2000,0,3.215,2.561,NA,50
Goodenia pinnatifida,forb,40,annual,450,0,2.4,1.58,Duplicate of Barlow_1981_1821,NA
Goodenia cycloptera,forb,10,biennial,467,0,3.64,2.42,NA,10
Codonocarpus cotinifolius,tree,1000,perennial,350,0,3.757,3.41,Duplicate of WAH_1998_1245,NA
Acacia hakeoides,shrub,400,perennial,600,0,30.1,28.79,NA,400
Acacia victoriae,shrub,400,perennial,133,0,35.345,34.608,NA,400
Dodonaea viscosa subsp. viscosa,shrub,300,perennial,367,0,7.05,7.04,NA,300
Sclerolaena convexula,subshrub,40,perennial,10,0,3.33,0.803,NA,40
