find,dataset_id,still_to_match,stripped_name,stripped_name2,cleaned_name,trinomial,binomial,genus,replace_new,reason_new,fuzzy_match_genus,fuzzy_match_genus_known,fuzzy_match_genus_APNI,fuzzy_match_binomial,fuzzy_match_binomial_APC_known,fuzzy_match_trinomial,fuzzy_match_trinomial_known,fuzzy_match_cleaned_APC,fuzzy_match_cleaned_APC_known,fuzzy_match_cleaned_APNI,fuzzy_match_cleaned_APC_imprecise,fuzzy_match_cleaned_APC_known_imprecise,fuzzy_match_cleaned_APNI_imprecise,taxonomic_ref,taxonomic_resolution
Acacia plectocarpa subsp. indeterminate,RussellSmith_2014,match_14_known,acacia plectocarpa indeterminate,acacia plectocarpa indeterminate,Acacia plectocarpa subsp. indeterminate,acacia plectocarpa indeterminate,acacia plectocarpa,Acacia,Acacia plectocarpa,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia ramulosa var. indeterminate,RussellSmith_2014,match_14_accepted,acacia ramulosa indeterminate,acacia ramulosa indeterminate,Acacia ramulosa var. indeterminate,acacia ramulosa indeterminate,acacia ramulosa,Acacia,Acacia ramulosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia tumida var. indeterminate,RussellSmith_2014,match_14_known,acacia tumida indeterminate,acacia tumida indeterminate,Acacia tumida var. indeterminate,acacia tumida indeterminate,acacia tumida,Acacia,Acacia tumida,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia victoriae subsp. indeterminate,RussellSmith_2014,match_14_accepted,acacia victoriae indeterminate,acacia victoriae indeterminate,Acacia victoriae subsp. indeterminate,acacia victoriae indeterminate,acacia victoriae,Acacia,Acacia victoriae,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia wickhamii subsp. indeterminate,RussellSmith_2014,match_14_accepted,acacia wickhamii indeterminate,acacia wickhamii indeterminate,Acacia wickhamii subsp. indeterminate,acacia wickhamii indeterminate,acacia wickhamii,Acacia,Acacia wickhamii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Atalaya sp. Elizabeth River (G.M.Wightman 6259),RussellSmith_2014,match_07_fuzzy_known,atalaya sp elizabeth river g m wightman 6259,atalaya elizabeth river g m wightman 6259,Atalaya sp. Elizabeth River (G.M.Wightman 6259),atalaya elizabeth river,atalaya elizabeth,Atalaya,Atalaya sp. Elizabeth River (G.M.Wightman 6259),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Atalaya,NA,NA,NA,NA,NA,NA,NA,atalaya sp elizabeth river g m wightman 6259,NA,NA,NA,NA,NA,Species
Atriplex vesicaria subsp. indeterminate,RussellSmith_2014,match_14_accepted,atriplex vesicaria indeterminate,atriplex vesicaria indeterminate,Atriplex vesicaria subsp. indeterminate,atriplex vesicaria indeterminate,atriplex vesicaria,Atriplex,Atriplex vesicaria,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Atriplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Boronia grandisepala subsp. indeterminate,RussellSmith_2014,match_14_accepted,boronia grandisepala indeterminate,boronia grandisepala indeterminate,Boronia grandisepala subsp. indeterminate,boronia grandisepala indeterminate,boronia grandisepala,Boronia,Boronia grandisepala,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Boronia,Byronia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Brachychiton sp. Wangi (S.E.Pickering 20),RussellSmith_2014,match_06_accepted,brachychiton sp wangi s e pickering 20,brachychiton wangi s e pickering 20,Brachychiton sp. Wangi (S.E.Pickering 20),brachychiton wangi s,brachychiton wangi,Brachychiton,Brachychiton Wangi (S.E.Pickering 20),match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Brachychiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Cajanus reticulatus var. indeterminate,RussellSmith_2014,match_14_accepted,cajanus reticulatus indeterminate,cajanus reticulatus indeterminate,Cajanus reticulatus var. indeterminate,cajanus reticulatus indeterminate,cajanus reticulatus,Cajanus,Cajanus reticulatus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Cajanus,Cajan,Cyanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Casuarina equisetifolia subsp. indeterminate,RussellSmith_2014,match_14_accepted,casuarina equisetifolia indeterminate,casuarina equisetifolia indeterminate,Casuarina equisetifolia subsp. indeterminate,casuarina equisetifolia indeterminate,casuarina equisetifolia,Casuarina,Casuarina equisetifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Casuarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Cleome uncifera subsp. indeterminate,RussellSmith_2014,match_14_known,cleome uncifera indeterminate,cleome uncifera indeterminate,Cleome uncifera subsp. indeterminate,cleome uncifera indeterminate,cleome uncifera,Cleome,Cleome uncifera,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Cleome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Clerodendrum floribundum var. indeterminate,RussellSmith_2014,match_14_accepted,clerodendrum floribundum indeterminate,clerodendrum floribundum indeterminate,Clerodendrum floribundum var. indeterminate,clerodendrum floribundum indeterminate,clerodendrum floribundum,Clerodendrum,Clerodendrum floribundum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Clerodendrum,Clerodendron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Cochlospermum fraseri subsp. indeterminate,RussellSmith_2014,match_14_accepted,cochlospermum fraseri indeterminate,cochlospermum fraseri indeterminate,Cochlospermum fraseri subsp. indeterminate,cochlospermum fraseri indeterminate,cochlospermum fraseri,Cochlospermum,Cochlospermum fraseri,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Cochlospermum,Ciclospermum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corchorus sericeus subsp. indeterminate,RussellSmith_2014,match_14_accepted,corchorus sericeus indeterminate,corchorus sericeus indeterminate,Corchorus sericeus subsp. indeterminate,corchorus sericeus indeterminate,corchorus sericeus,Corchorus,Corchorus sericeus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corchorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corchorus sidoides subsp. indeterminate,RussellSmith_2014,match_14_accepted,corchorus sidoides indeterminate,corchorus sidoides indeterminate,Corchorus sidoides subsp. indeterminate,corchorus sidoides indeterminate,corchorus sidoides,Corchorus,Corchorus sidoides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corchorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corymbia deserticola subsp. indeterminate,RussellSmith_2014,match_14_accepted,corymbia deserticola indeterminate,corymbia deserticola indeterminate,Corymbia deserticola subsp. indeterminate,corymbia deserticola indeterminate,corymbia deserticola,Corymbia,Corymbia deserticola,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corymbia eremaea subsp. indeterminate,RussellSmith_2014,match_14_accepted,corymbia eremaea indeterminate,corymbia eremaea indeterminate,Corymbia eremaea subsp. indeterminate,corymbia eremaea indeterminate,corymbia eremaea,Corymbia,Corymbia eremaea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corymbia ferruginea subsp. indeterminate,RussellSmith_2014,match_14_accepted,corymbia ferruginea indeterminate,corymbia ferruginea indeterminate,Corymbia ferruginea subsp. indeterminate,corymbia ferruginea indeterminate,corymbia ferruginea,Corymbia,Corymbia ferruginea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corymbia grandifolia subsp. indeterminate,RussellSmith_2014,match_14_accepted,corymbia grandifolia indeterminate,corymbia grandifolia indeterminate,Corymbia grandifolia subsp. indeterminate,corymbia grandifolia indeterminate,corymbia grandifolia,Corymbia,Corymbia grandifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corymbia pachycarpa subsp. glabrescens,RussellSmith_2014,match_06_known,corymbia pachycarpa glabrescens,corymbia pachycarpa glabrescens,Corymbia pachycarpa subsp. glabrescens,corymbia pachycarpa glabrescens,corymbia pachycarpa,Corymbia,Corymbia pachycarpa subsp. glabrescens,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Corymbia pachycarpa subsp. indeterminate,RussellSmith_2014,match_14_accepted,corymbia pachycarpa indeterminate,corymbia pachycarpa indeterminate,Corymbia pachycarpa subsp. indeterminate,corymbia pachycarpa indeterminate,corymbia pachycarpa,Corymbia,Corymbia pachycarpa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corymbia papillosa subsp. papillosa,RussellSmith_2014,match_06_known,corymbia papillosa papillosa,corymbia papillosa papillosa,Corymbia papillosa subsp. papillosa,corymbia papillosa papillosa,corymbia papillosa,Corymbia,Corymbia papillosa subsp. papillosa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Corymbia ptychocarpa subsp. indeterminate,RussellSmith_2014,match_14_accepted,corymbia ptychocarpa indeterminate,corymbia ptychocarpa indeterminate,Corymbia ptychocarpa subsp. indeterminate,corymbia ptychocarpa indeterminate,corymbia ptychocarpa,Corymbia,Corymbia ptychocarpa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corymbia,Corymbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Corynotheca micrantha var. indeterminate,RussellSmith_2014,match_14_accepted,corynotheca micrantha indeterminate,corynotheca micrantha indeterminate,Corynotheca micrantha var. indeterminate,corynotheca micrantha indeterminate,corynotheca micrantha,Corynotheca,Corynotheca micrantha,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Corynotheca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Crotalaria cunninghamii subsp. indeterminate,RussellSmith_2014,match_14_accepted,crotalaria cunninghamii indeterminate,crotalaria cunninghamii indeterminate,Crotalaria cunninghamii subsp. indeterminate,crotalaria cunninghamii indeterminate,crotalaria cunninghamii,Crotalaria,Crotalaria cunninghamii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Crotalaria,Cratalaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Crotalaria eremaea subsp. indeterminate,RussellSmith_2014,match_14_accepted,crotalaria eremaea indeterminate,crotalaria eremaea indeterminate,Crotalaria eremaea subsp. indeterminate,crotalaria eremaea indeterminate,crotalaria eremaea,Crotalaria,Crotalaria eremaea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Crotalaria,Cratalaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Crotalaria medicaginea var. indeterminate,RussellSmith_2014,match_14_accepted,crotalaria medicaginea indeterminate,crotalaria medicaginea indeterminate,Crotalaria medicaginea var. indeterminate,crotalaria medicaginea indeterminate,crotalaria medicaginea,Crotalaria,Crotalaria medicaginea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Crotalaria,Cratalaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Crotalaria montana var. indeterminate,RussellSmith_2014,match_14_accepted,crotalaria montana indeterminate,crotalaria montana indeterminate,Crotalaria montana var. indeterminate,crotalaria montana indeterminate,crotalaria montana,Crotalaria,Crotalaria montana,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Crotalaria,Cratalaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Crotalaria novae-hollandiae subsp. indeterminate,RussellSmith_2014,match_12_accepted,crotalaria novae hollandiae indeterminate,crotalaria novae hollandiae indeterminate,Crotalaria novae-hollandiae subsp. indeterminate,crotalaria novae hollandiae,crotalaria novae,Crotalaria,Crotalaria novae-hollandiae,match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-05-22),Crotalaria,Cratalaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Cycas armstrongii x conferta,RussellSmith_2014,match_11,cycas armstrongii x conferta,cycas armstrongii conferta,Cycas armstrongii x conferta,cycas armstrongii conferta,cycas armstrongii,Cycas,Cycas x [Cycas armstrongii x conferta; RussellSmith_2014],match_11. Rewording hybrid species name not in APC or APNI to indicate a genus-level alignment with APC accepted genus (2023-05-22),Cycas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Cycas armstrongii x maconochiei,RussellSmith_2014,match_11,cycas armstrongii x maconochiei,cycas armstrongii maconochiei,Cycas armstrongii x maconochiei,cycas armstrongii maconochiei,cycas armstrongii,Cycas,Cycas x [Cycas armstrongii x maconochiei; RussellSmith_2014],match_11. Rewording hybrid species name not in APC or APNI to indicate a genus-level alignment with APC accepted genus (2023-05-22),Cycas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Cycas arnhemica x orientis,RussellSmith_2014,match_11,cycas arnhemica x orientis,cycas arnhemica orientis,Cycas arnhemica x orientis,cycas arnhemica orientis,cycas arnhemica,Cycas,Cycas x [Cycas arnhemica x orientis; RussellSmith_2014],match_11. Rewording hybrid species name not in APC or APNI to indicate a genus-level alignment with APC accepted genus (2023-05-22),Cycas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Cycas canalis subsp. indeterminate,RussellSmith_2014,match_14_accepted,cycas canalis indeterminate,cycas canalis indeterminate,Cycas canalis subsp. indeterminate,cycas canalis indeterminate,cycas canalis,Cycas,Cycas canalis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Cycas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Cycas maconochiei subsp. indeterminate,RussellSmith_2014,match_14_accepted,cycas maconochiei indeterminate,cycas maconochiei indeterminate,Cycas maconochiei subsp. indeterminate,cycas maconochiei indeterminate,cycas maconochiei,Cycas,Cycas maconochiei,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Cycas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Cyclophyllum schultzii f. indeterminate,RussellSmith_2014,match_14_accepted,cyclophyllum schultzii indeterminate,cyclophyllum schultzii indeterminate,Cyclophyllum schultzii f. indeterminate,cyclophyllum schultzii indeterminate,cyclophyllum schultzii,Cyclophyllum,Cyclophyllum schultzii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Cyclophyllum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dicrastylis beveridgei subsp. indeterminate,RussellSmith_2014,match_14_accepted,dicrastylis beveridgei indeterminate,dicrastylis beveridgei indeterminate,Dicrastylis beveridgei subsp. indeterminate,dicrastylis beveridgei indeterminate,dicrastylis beveridgei,Dicrastylis,Dicrastylis beveridgei,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dicrastylis costelloi var. eriantha,RussellSmith_2014,match_06_known,dicrastylis costelloi eriantha,dicrastylis costelloi eriantha,Dicrastylis costelloi var. eriantha,dicrastylis costelloi eriantha,dicrastylis costelloi,Dicrastylis,Dicrastylis costelloi var. eriantha,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Dicrastylis costelloi var. indeterminate,RussellSmith_2014,match_14_accepted,dicrastylis costelloi indeterminate,dicrastylis costelloi indeterminate,Dicrastylis costelloi var. indeterminate,dicrastylis costelloi indeterminate,dicrastylis costelloi,Dicrastylis,Dicrastylis costelloi,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dicrastylis exsuccosa subsp. exsuccosa,RussellSmith_2014,match_06_known,dicrastylis exsuccosa exsuccosa,dicrastylis exsuccosa exsuccosa,Dicrastylis exsuccosa subsp. exsuccosa,dicrastylis exsuccosa exsuccosa,dicrastylis exsuccosa,Dicrastylis,Dicrastylis exsuccosa subsp. exsuccosa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Dicrastylis exsuccosa subsp. indeterminate,RussellSmith_2014,match_14_accepted,dicrastylis exsuccosa indeterminate,dicrastylis exsuccosa indeterminate,Dicrastylis exsuccosa subsp. indeterminate,dicrastylis exsuccosa indeterminate,dicrastylis exsuccosa,Dicrastylis,Dicrastylis exsuccosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dicrastylis gilesii var. bagotensis,RussellSmith_2014,match_06_known,dicrastylis gilesii bagotensis,dicrastylis gilesii bagotensis,Dicrastylis gilesii var. bagotensis,dicrastylis gilesii bagotensis,dicrastylis gilesii,Dicrastylis,Dicrastylis gilesii f. bagotensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forma
Dicrastylis gilesii var. indeterminate,RussellSmith_2014,match_14_accepted,dicrastylis gilesii indeterminate,dicrastylis gilesii indeterminate,Dicrastylis gilesii var. indeterminate,dicrastylis gilesii indeterminate,dicrastylis gilesii,Dicrastylis,Dicrastylis gilesii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dicrastylis gilesii var. laxa,RussellSmith_2014,match_06_known,dicrastylis gilesii laxa,dicrastylis gilesii laxa,Dicrastylis gilesii var. laxa,dicrastylis gilesii laxa,dicrastylis gilesii,Dicrastylis,Dicrastylis gilesii var. laxa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Dicrastylis,Dicrastyles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Distichostemon hispidulus var. indeterminate,RussellSmith_2014,match_14_known,distichostemon hispidulus indeterminate,distichostemon hispidulus indeterminate,Distichostemon hispidulus var. indeterminate,distichostemon hispidulus indeterminate,distichostemon hispidulus,Distichostemon,Distichostemon hispidulus,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),NA,Distichostemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dodonaea lanceolata var. indeterminate,RussellSmith_2014,match_14_accepted,dodonaea lanceolata indeterminate,dodonaea lanceolata indeterminate,Dodonaea lanceolata var. indeterminate,dodonaea lanceolata indeterminate,dodonaea lanceolata,Dodonaea,Dodonaea lanceolata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Dodonaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dodonaea viscosa subsp. indeterminate,RussellSmith_2014,match_14_accepted,dodonaea viscosa indeterminate,dodonaea viscosa indeterminate,Dodonaea viscosa subsp. indeterminate,dodonaea viscosa indeterminate,dodonaea viscosa,Dodonaea,Dodonaea viscosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Dodonaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ehretia saligna var. indeterminate,RussellSmith_2014,match_14_accepted,ehretia saligna indeterminate,ehretia saligna indeterminate,Ehretia saligna var. indeterminate,ehretia saligna indeterminate,ehretia saligna,Ehretia,Ehretia saligna,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ehretia,Ehrartia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Einadia nutans subsp. indeterminate,RussellSmith_2014,match_14_accepted,einadia nutans indeterminate,einadia nutans indeterminate,Einadia nutans subsp. indeterminate,einadia nutans indeterminate,einadia nutans,Einadia,Einadia nutans,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Einadia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Enchylaena tomentosa var. indeterminate,RussellSmith_2014,match_14_accepted,enchylaena tomentosa indeterminate,enchylaena tomentosa indeterminate,Enchylaena tomentosa var. indeterminate,enchylaena tomentosa indeterminate,enchylaena tomentosa,Enchylaena,Enchylaena tomentosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Enchylaena,Euchylaena,Euchlaena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Eremophila gilesii var. gilesii,RussellSmith_2014,match_06_accepted,eremophila gilesii gilesii,eremophila gilesii gilesii,Eremophila gilesii var. gilesii,eremophila gilesii gilesii,eremophila gilesii,Eremophila,Eremophila gilesii subsp. gilesii,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Eremophila,Exemophila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
