taxon_name,family,plant_growth_form_to_use,woodiness_to_use
Aizoon secundum,Aizoaceae,herb,herbaceous
Carpobrotus aequilaterus,Aizoaceae,herb,herbaceous
Carpobrotus chilensis,Aizoaceae,herb,herbaceous soft_woody
Carpobrotus edulis,Aizoaceae,herb,herbaceous
Carpobrotus edulis subsp. edulis,Aizoaceae,herb,herbaceous
Carpobrotus glaucescens,Aizoaceae,herb,herbaceous
Carpobrotus modestus,Aizoaceae,herb,herbaceous
Carpobrotus rossii,Aizoaceae,herb,herbaceous
Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),Aizoaceae,herb,herbaceous
Carpobrotus sp. Short Calyx (S.T.Blake 20451),Aizoaceae,herb,herbaceous
Carpobrotus sp. Thevenard Island (M.White 050),Aizoaceae,herb,herbaceous
Carpobrotus virescens,Aizoaceae,herb,herbaceous
Cleretum bellidiforme,Aizoaceae,herb,herbaceous
Cleretum papulosum,Aizoaceae,herb,herbaceous
Cleretum papulosum subsp. papulosum,Aizoaceae,herb,herbaceous
Conicosia pugioniformis,Aizoaceae,herb,herbaceous
Conicosia pugioniformis subsp. muirii,Aizoaceae,herb,herbaceous
Delosperma vinaceum,Aizoaceae,shrub,woody
Disphyma crassifolium,Aizoaceae,shrub,woody
Disphyma crassifolium subsp. clavellatum,Aizoaceae,shrub,woody
Drosanthemum candens,Aizoaceae,shrub,woody
Gunniopsis calcarea,Aizoaceae,shrub,woody
Gunniopsis calva,Aizoaceae,herb,herbaceous
Gunniopsis divisa,Aizoaceae,herb,herbaceous
Gunniopsis glabra,Aizoaceae,herb,herbaceous woody_base
Gunniopsis intermedia,Aizoaceae,herb,herbaceous
Gunniopsis kochii,Aizoaceae,herb,herbaceous
Gunniopsis papillata,Aizoaceae,herb,herbaceous
Gunniopsis propinqua,Aizoaceae,herb,herbaceous
Gunniopsis quadrifida,Aizoaceae,shrub,woody
Gunniopsis rodwayi,Aizoaceae,herb,herbaceous
Gunniopsis rubra,Aizoaceae,herb,herbaceous
Gunniopsis septifraga,Aizoaceae,herb,herbaceous
Gunniopsis sp. Blue Hills (D.J.Edinger Nats 59),Aizoaceae,herb,herbaceous
Gunniopsis sp. Lake Kerrylyn (N.Gibson et al. NG 7028),Aizoaceae,,
Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522),Aizoaceae,herb,herbaceous
Gunniopsis tenuifolia,Aizoaceae,shrub,woody
Gunniopsis zygophylloides,Aizoaceae,shrub,woody
Lampranthus glaucus,Aizoaceae,shrub subshrub,woody
Lampranthus haworthii,Aizoaceae,shrub subshrub,woody
Lampranthus immelmaniae,Aizoaceae,shrub subshrub,woody
Lampranthus multiradiatus,Aizoaceae,shrub subshrub,woody
Lampranthus tegens,Aizoaceae,shrub,woody
Malephora crocea,Aizoaceae,shrub subshrub,woody
Mesembryanthemum aitonis,Aizoaceae,shrub subshrub,woody
Mesembryanthemum cordifolium,Aizoaceae,herb shrub,herbaceous woody
Mesembryanthemum cordifolium x Mesembryanthemum haeckeliana,Aizoaceae,herb shrub,herbaceous woody
Mesembryanthemum crystallinum,Aizoaceae,herb shrub,herbaceous woody
Mesembryanthemum granulicaule,Aizoaceae,shrub,woody
Mesembryanthemum guerichianum,Aizoaceae,herb,herbaceous soft_woody
Mesembryanthemum nodiflorum,Aizoaceae,herb,herbaceous
Ruschia geminiflora,Aizoaceae,shrub,woody
Sarcozona bicarinata,Aizoaceae,shrub,woody
Sarcozona praecox,Aizoaceae,shrub,woody
Sesuvium portulacastrum,Aizoaceae,herb,herbaceous
Sesuvium portulacastrum subsp. portulacastrum,Aizoaceae,herb,herbaceous
Tetragonia coronata,Aizoaceae,herb,herbaceous
Tetragonia cristata,Aizoaceae,herb,herbaceous
Tetragonia decumbens,Aizoaceae,herb subshrub,herbaceous semi_woody
Tetragonia diptera,Aizoaceae,herb,herbaceous
Tetragonia eremaea,Aizoaceae,herb,herbaceous
Tetragonia fruticosa,Aizoaceae,herb,herbaceous
Tetragonia implexicoma,Aizoaceae,shrub subshrub,woody
Tetragonia microptera,Aizoaceae,herb,herbaceous
Tetragonia microptera var. microptera,Aizoaceae,herb,herbaceous
Tetragonia moorei,Aizoaceae,herb,herbaceous
Tetragonia nigrescens,Aizoaceae,herb,herbaceous
Tetragonia tetragonoides,Aizoaceae,herb subshrub,herbaceous semi_woody
Trianthema compactum,Aizoaceae,herb,herbaceous
Trianthema cusackianum,Aizoaceae,herb,herbaceous
Trianthema cypseleoides,Aizoaceae,herb,herbaceous
Trianthema glossostigmum,Aizoaceae,herb,herbaceous
Trianthema kimberleyi,Aizoaceae,herb,herbaceous
Trianthema megaspermum,Aizoaceae,herb,herbaceous
Trianthema oxycalyptrum,Aizoaceae,herb,herbaceous
Trianthema oxycalyptrum var. oxycalyptrum,Aizoaceae,herb,herbaceous
Trianthema oxycalyptrum var. sessiliflorum,Aizoaceae,herb,herbaceous
Trianthema patellitectum,Aizoaceae,herb,herbaceous
Trianthema pilosum,Aizoaceae,herb,herbaceous
Trianthema portulacastrum,Aizoaceae,herb,herbaceous
Trianthema rhynchocalyptrum,Aizoaceae,herb,herbaceous
Trianthema sp. Coorabulka (R.W.Purdie 1404),Aizoaceae,herb,herbaceous
Trianthema sp. Python Pool (G.R.Guerin & M.E.Trudgen GG 1023),Aizoaceae,herb,herbaceous
Trianthema triquetrum,Aizoaceae,herb,herbaceous
Trianthema turgidifolium,Aizoaceae,herb,herbaceous
Zaleya galericulata,Aizoaceae,herb,herbaceous woody_base
Zaleya galericulata subsp. australis,Aizoaceae,herb,herbaceous
Zaleya galericulata subsp. galericulata,Aizoaceae,herb,herbaceous
Akania bidwillii,Akaniaceae,tree,woody
Alisma lanceolatum,Alismataceae,herb,herbaceous
Alisma plantago-aquatica,Alismataceae,herb,herbaceous
Astonia australiensis,Alismataceae,herb,herbaceous
Butomopsis latifolia,Alismataceae,herb,herbaceous
Caldesia acanthocarpa,Alismataceae,herb,herbaceous
Caldesia oligococca,Alismataceae,herb,herbaceous
Caldesia oligococca var. oligococca,Alismataceae,herb,herbaceous
Caldesia parnassifolia,Alismataceae,herb,herbaceous
Damasonium minus,Alismataceae,herb,herbaceous
Echinodorus cordifolius,Alismataceae,herb,herbaceous
Hydrocleys nymphoides,Alismataceae,herb,herbaceous
Limnocharis flava,Alismataceae,herb,herbaceous
Sagittaria brevirostra,Alismataceae,herb,herbaceous
Sagittaria calycina,Alismataceae,herb,herbaceous
Sagittaria calycina var. calycina,Alismataceae,herb,herbaceous
Sagittaria macrophylla,Alismataceae,herb,herbaceous
Sagittaria platyphylla,Alismataceae,herb,herbaceous
Allium ampeloprasum,Alliaceae,herb,herbaceous
Allium cepa,Alliaceae,herb,herbaceous
Allium neapolitanum,Alliaceae,herb,herbaceous
Allium oleraceum,Alliaceae,herb,herbaceous
Allium orientale,Alliaceae,herb,herbaceous
Allium paniculatum,Alliaceae,herb,herbaceous
Allium paniculatum subsp. paniculatum,Alliaceae,herb,herbaceous
Allium porrum,Alliaceae,herb,herbaceous
Allium roseum,Alliaceae,herb,herbaceous
Allium scorodoprasum,Alliaceae,herb,herbaceous
Allium scorodoprasum subsp. rotundum,Alliaceae,herb,herbaceous
Allium scorodoprasum subsp. scorodoprasum,Alliaceae,herb,herbaceous
Allium triquetrum,Alliaceae,herb,herbaceous
Allium tuberosum,Alliaceae,herb,herbaceous
Allium vineale,Alliaceae,herb,herbaceous
Ipheion uniflorum,Alliaceae,herb,herbaceous
Nothoscordum borbonicum,Alliaceae,herb,herbaceous
Tulbaghia violacea,Alliaceae,herb,herbaceous
Crispiloba disperma,Alseuosmiaceae,shrub,woody
Wittsteinia vacciniacea,Alseuosmiaceae,shrub,woody
Alstroemeria aurea,Alstroemeriaceae,herb,herbaceous
Alstroemeria psittacina,Alstroemeriaceae,herb,herbaceous
Achyranthes arborescens,Amaranthaceae,tree,woody
Achyranthes aspera,Amaranthaceae,herb shrub,herbaceous woody
Achyranthes bidentata,Amaranthaceae,herb,herbaceous
Achyranthes margaretarum,Amaranthaceae,shrub,woody
Aerva javanica,Amaranthaceae,herb shrub,herbaceous woody
Aerva lanata,Amaranthaceae,herb,herbaceous woody_base
Alternanthera angustifolia,Amaranthaceae,herb,herbaceous
Alternanthera angustifolia var. lanata,Amaranthaceae,herb,herbaceous
Alternanthera bettzichiana,Amaranthaceae,herb,herbaceous
Alternanthera brasiliana,Amaranthaceae,herb,herbaceous
Alternanthera brasiliana var. villosa,Amaranthaceae,herb,herbaceous
Alternanthera denticulata,Amaranthaceae,herb,herbaceous
Alternanthera denticulata var. denticulata,Amaranthaceae,herb,herbaceous
Alternanthera denticulata var. micrantha,Amaranthaceae,herb,herbaceous
Alternanthera ficoidea,Amaranthaceae,herb,herbaceous
Alternanthera nahui,Amaranthaceae,herb,herbaceous
Alternanthera nana,Amaranthaceae,herb,herbaceous
Alternanthera nodiflora,Amaranthaceae,herb,herbaceous
Alternanthera philoxeroides,Amaranthaceae,herb,herbaceous
Alternanthera pungens,Amaranthaceae,herb,herbaceous
Alternanthera sessilis,Amaranthaceae,herb,herbaceous
Alternanthera sp. A Flora of New South Wales (M.Gray 5187),Amaranthaceae,herb,herbaceous
Alternanthera sp. Mt Isa (R.L.Specht+ 49),Amaranthaceae,herb,herbaceous
Amaranthus albus,Amaranthaceae,herb,herbaceous
Amaranthus blitum,Amaranthaceae,herb,herbaceous
Amaranthus caudatus,Amaranthaceae,herb,herbaceous
Amaranthus centralis,Amaranthaceae,herb,herbaceous
Amaranthus clementii,Amaranthaceae,herb,herbaceous
Amaranthus cochleitepalus,Amaranthaceae,herb,herbaceous
Amaranthus cruentus,Amaranthaceae,herb,herbaceous
Amaranthus cuspidifolius,Amaranthaceae,herb,herbaceous
Amaranthus deflexus,Amaranthaceae,herb,herbaceous
Amaranthus dubius,Amaranthaceae,herb,herbaceous
Amaranthus graecizans,Amaranthaceae,herb,herbaceous
Amaranthus graecizans subsp. silvestris,Amaranthaceae,herb,herbaceous
Amaranthus grandiflorus,Amaranthaceae,herb,herbaceous
Amaranthus hybridus,Amaranthaceae,herb,herbaceous
Amaranthus induratus,Amaranthaceae,herb,herbaceous
Amaranthus interruptus,Amaranthaceae,herb,herbaceous
Amaranthus macrocarpus,Amaranthaceae,herb,herbaceous
Amaranthus macrocarpus var. macrocarpus,Amaranthaceae,herb,herbaceous
Amaranthus macrocarpus var. pallidus,Amaranthaceae,herb,herbaceous
Amaranthus mitchellii,Amaranthaceae,herb,herbaceous
Amaranthus muricatus,Amaranthaceae,herb,herbaceous
Amaranthus powellii,Amaranthaceae,herb,herbaceous
Amaranthus quitensis,Amaranthaceae,herb,herbaceous
Amaranthus retroflexus,Amaranthaceae,herb,herbaceous
Amaranthus rhombeus,Amaranthaceae,herb,herbaceous
Amaranthus spinosus,Amaranthaceae,herb,herbaceous
Amaranthus tricolor,Amaranthaceae,herb,herbaceous
Amaranthus undulatus,Amaranthaceae,herb,herbaceous
Amaranthus viridis,Amaranthaceae,herb,herbaceous
Celosia argentea,Amaranthaceae,herb,herbaceous
Celosia elegantissima,Amaranthaceae,herb,herbaceous
Cyathula prostrata,Amaranthaceae,herb,herbaceous
Deeringia amaranthoides,Amaranthaceae,climber_woody shrub,woody
Deeringia arborescens,Amaranthaceae,climber_woody shrub,woody
Froelichia floridana,Amaranthaceae,herb,herbaceous
Froelichia gracilis,Amaranthaceae,herb,herbaceous
Gomphrena affinis,Amaranthaceae,herb,herbaceous
Gomphrena affinis subsp. affinis,Amaranthaceae,herb,herbaceous
Gomphrena affinis subsp. pilbarensis,Amaranthaceae,herb,herbaceous
Gomphrena arida,Amaranthaceae,herb,herbaceous
Gomphrena atrorubra,Amaranthaceae,herb,herbaceous
Gomphrena brachystylis,Amaranthaceae,herb,herbaceous
Gomphrena brachystylis subsp. brachystylis,Amaranthaceae,herb,herbaceous
Gomphrena brachystylis subsp. pindanensis,Amaranthaceae,herb,herbaceous
Gomphrena breviflora,Amaranthaceae,herb,herbaceous
Gomphrena canescens,Amaranthaceae,herb,herbaceous
Gomphrena canescens subsp. canescens,Amaranthaceae,herb,herbaceous
Gomphrena canescens subsp. erythrina,Amaranthaceae,herb,herbaceous
Gomphrena celosioides,Amaranthaceae,herb,herbaceous
Gomphrena conferta,Amaranthaceae,herb,herbaceous
Gomphrena conica,Amaranthaceae,herb,herbaceous
Gomphrena connata,Amaranthaceae,herb,herbaceous
Gomphrena cucullata,Amaranthaceae,herb,herbaceous
Gomphrena cunninghamii,Amaranthaceae,herb,herbaceous
Gomphrena diffusa,Amaranthaceae,herb,herbaceous
Gomphrena diffusa subsp. arenicola,Amaranthaceae,herb,herbaceous
Gomphrena diffusa subsp. diffusa,Amaranthaceae,herb,herbaceous
Gomphrena eichleri,Amaranthaceae,herb,herbaceous
Gomphrena flaccida,Amaranthaceae,herb,herbaceous
Gomphrena floribunda,Amaranthaceae,herb,herbaceous
Gomphrena globosa,Amaranthaceae,herb,herbaceous
Gomphrena humifusa,Amaranthaceae,herb,herbaceous
Gomphrena humilis,Amaranthaceae,herb,herbaceous
Gomphrena involucrata,Amaranthaceae,herb,herbaceous
Gomphrena kanisii,Amaranthaceae,herb,herbaceous
Gomphrena lacinulata,Amaranthaceae,herb,herbaceous
Gomphrena lanata,Amaranthaceae,herb,herbaceous
Gomphrena leontopodioides,Amaranthaceae,herb,herbaceous
Gomphrena leptoclada,Amaranthaceae,herb,herbaceous
Gomphrena leptoclada subsp. leptoclada,Amaranthaceae,herb,herbaceous
Gomphrena leptoclada subsp. saxosa,Amaranthaceae,herb,herbaceous
Gomphrena leptophylla,Amaranthaceae,herb,herbaceous
Gomphrena magentitepala,Amaranthaceae,herb,herbaceous
Gomphrena occulta,Amaranthaceae,herb,herbaceous
Gomphrena parviflora,Amaranthaceae,herb,herbaceous
Gomphrena pusilla,Amaranthaceae,herb,herbaceous
Gomphrena rosula,Amaranthaceae,herb,herbaceous
Gomphrena sordida,Amaranthaceae,herb,herbaceous
Gomphrena sp. Belele (D.W.Goodall 3215),Amaranthaceae,herb,herbaceous
Gomphrena sp. Doongmabulla (E.J.Thompson+ GAL137),Amaranthaceae,herb,herbaceous
Gomphrena sp. Martins Well (K.F.Kenneally 6116),Amaranthaceae,herb,herbaceous
Gomphrena splendida,Amaranthaceae,herb,herbaceous
Gomphrena tenella,Amaranthaceae,herb,herbaceous
Guilleminea densa,Amaranthaceae,herb,herbaceous
Hemichroa pentandra,Amaranthaceae,herb,herbaceous
Kelita uncinella,Amaranthaceae,herb,herbaceous
Nyssanthes diffusa,Amaranthaceae,herb,herbaceous
Nyssanthes erecta,Amaranthaceae,herb,herbaceous
Nyssanthes impervia,Amaranthaceae,herb,herbaceous
Nyssanthes longistyla,Amaranthaceae,herb,herbaceous
Omegandra kanisii,Amaranthaceae,herb,herbaceous
Ptilotus actinocladus,Amaranthaceae,herb,herbaceous
Ptilotus aervoides,Amaranthaceae,herb,herbaceous
Ptilotus albidus,Amaranthaceae,shrub,woody
Ptilotus alexandri,Amaranthaceae,herb,herbaceous
Ptilotus andersonii,Amaranthaceae,herb,herbaceous
Ptilotus angustifolius,Amaranthaceae,herb,herbaceous
Ptilotus aphyllus,Amaranthaceae,shrub,woody
Ptilotus appendiculatus,Amaranthaceae,herb,herbaceous
Ptilotus aristatus,Amaranthaceae,herb,herbaceous woody_root
Ptilotus aristatus subsp. aristatus,Amaranthaceae,herb,herbaceous
Ptilotus aristatus subsp. micranthus,Amaranthaceae,herb,herbaceous
Ptilotus arthrolasius,Amaranthaceae,herb shrub,herbaceous woody
Ptilotus astrolasius,Amaranthaceae,subshrub shrub,semi_woody
Ptilotus auriculifolius,Amaranthaceae,herb,herbaceous
Ptilotus axillaris,Amaranthaceae,herb,herbaceous
Ptilotus barkeri,Amaranthaceae,shrub,woody
Ptilotus beardii,Amaranthaceae,shrub,woody
Ptilotus beckerianus,Amaranthaceae,herb,herbaceous
Ptilotus benlii,Amaranthaceae,herb,herbaceous
Ptilotus blackii,Amaranthaceae,herb,herbaceous
Ptilotus brachyanthus,Amaranthaceae,herb,herbaceous
Ptilotus caespitulosus,Amaranthaceae,herb,herbaceous
Ptilotus calostachyus,Amaranthaceae,herb,herbaceous
Ptilotus capensis,Amaranthaceae,herb,herbaceous
Ptilotus capitatus,Amaranthaceae,herb,herbaceous
Ptilotus carinatus,Amaranthaceae,herb,herbaceous
Ptilotus carlsonii,Amaranthaceae,herb,herbaceous
Ptilotus chamaecladus,Amaranthaceae,herb,herbaceous
Ptilotus chippendalei,Amaranthaceae,herb,herbaceous
Ptilotus chortophytus,Amaranthaceae,herb,herbaceous
Ptilotus chrysocomus,Amaranthaceae,shrub,woody
Ptilotus clementii,Amaranthaceae,herb,herbaceous
Ptilotus clivicola,Amaranthaceae,herb,herbaceous
Ptilotus comatus,Amaranthaceae,herb,herbaceous
Ptilotus conicus,Amaranthaceae,herb,herbaceous
Ptilotus corymbosus,Amaranthaceae,herb,herbaceous
Ptilotus crispus,Amaranthaceae,herb,herbaceous
Ptilotus crosslandii,Amaranthaceae,herb,herbaceous
Ptilotus daphne,Amaranthaceae,shrub,woody
Ptilotus decalvatus,Amaranthaceae,herb,herbaceous
Ptilotus decipiens,Amaranthaceae,herb,herbaceous
Ptilotus declinatus,Amaranthaceae,herb,herbaceous
Ptilotus disparilis,Amaranthaceae,shrub,woody
Ptilotus dissitiflorus,Amaranthaceae,herb,herbaceous
Ptilotus distans,Amaranthaceae,herb,herbaceous
Ptilotus divaricatus,Amaranthaceae,herb,herbaceous
Ptilotus drummondii,Amaranthaceae,herb,herbaceous
Ptilotus drummondii var. drummondii,Amaranthaceae,herb,herbaceous
