plot,tree_number,growth_group,species,mean BAI,mean PAI,DBH_(2014),ht,"CII (canopy illumination index, see Clark and Clark)",nearest neighbor,slope,aspect,SLA(mean),CV,C(Wt%),N(Wt %),Al(mg/kg),B(mg/kg),Ca(Wt %),Cu(mg/kg),Fe(mg/kg),K(Wt %),Mg(Wt %),Mn(mg/kg),Na(mg/kg),P(Wt %),S(Wt %),Zn(mg/kg)
exp625p4,43,slow,Bobea myrtoides,2.15737E-05,0.012083333,125,6.5,1.5,0.5,16,100,117.4248365,4.60585113,50.43,1.531,4.471304854,13.67631068,0.0470701,1.078058252,20.40915049,0.283460039,0.167949741,45.07203107,402.8216699,0.046213071,0.171887196,16.13242718
exp625p4,17,slow,Brackenridgea australiana,8.45893E-05,0.034044118,165,5.9,3,2.4,14,100,90.88501204,6.617432622,50.51,1.476,2.1367584,6.782,0.124488025,0.4356,12.598756,0.166394112,0.051689115,229.897216,65.0768368,0.050867612,0.13736969,20.03648
exp625p4,5,slow,Brackenridgea australiana,8.55416E-05,0.038088235,152,6,1.5,2,14,100,99.00948441,7.169479109,48.63,1.382,15.03458182,8.388116883,0.170536364,0.442077922,47.08047727,0.153718442,0.158535736,411.6172468,70.48046169,0.077443668,0.189317086,36.64435065
exp625p4,10,slow,Brackenridgea australiana,9.96356E-05,0.037361111,175,5.4,2,2.8,14,100,101.138444,3.740933227,49.51,1.434,6.89746856,4.853414469,0.16891213,0.413049358,26.01729209,0.141693793,0.121186257,356.6751589,298.5855646,0.035678806,0.102306634,20.57363083
exp625p4,134,slow,Canarium baileyanum,2.57288E-05,0.007647059,216,12,2.5,0.4,9,260,74.24500978,3.048808306,45.65,1.904,6.05073329,13.62946139,0.15152209,0.603569111,87.24253731,0.10032623,0.269985512,198.4946918,246.7389358,0.122635457,0.306402409,10.36839714
exp625p5,50,fast,Canarium baileyanum,0.005168642,0.794591503,598,20,4,2,1,170,87.584291,8.141210456,50.87,1.91,8.866364395,17.3650904,0.143174799,1.671835883,46.29781641,0.483656412,0.246095851,116.6144089,348.4354033,0.099690799,0.223011552,13.42399166
exp625p4,180,slow,Canarium muelleri,2.2493E-05,0.012777778,114,8,2.5,0.5,13,100,126.8892087,2.21784565,46.78,1.37,2.645578947,17.58177388,0.173247506,0.797660819,19.49283626,0.34159345,0.137860657,41.89791813,228.2162534,0.085238202,0.128850012,10.57823326
exp625p4,189,med,Carnarvonia araliifolia var. araliifolia,0.000332993,0.054640523,402,15,4,2.1,18,100,66.09967379,6.82059125,48.24,0.8277,208.2663111,9.717637627,0.797472518,0.432442544,15.64891235,0.138738728,0.467879847,681.3896312,152.6349546,0.040184064,0.131270931,10.13608833
exp625p4,61A,fast,Carnarvonia araliifolia var. araliifolia,0.000599611,0.312745098,208,10,3,4.3,5,100,78.64689138,10.39638404,47.08,1.088,346.0336378,3.373684211,0.730719947,0.191525424,19.27496432,0.068810933,0.126540298,896.6131668,86.66851561,0.037524623,0.126551929,3.392328278
exp625p4,61,fast,Carnarvonia araliifolia var. araliifolia,0.00129235,0.466936275,301,15,4,4.3,5,100,75.65459301,3.345986619,46.01,1.151,89.26125061,8.612897959,0.586708768,0.36922449,18.87783673,0.299078008,0.255192093,584.9098449,355.7697714,0.041795755,0.158874949,5.803591837
exp78p1,150,slow,Castanospermum australe,0.000166733,0.036678201,327,9.8,3,5.1,6,30,124.3464208,18.81334079,46.84,1.816,21.51404082,23.45325559,0.581715472,5.166569485,86.76297376,0.827575044,0.316421607,60.75310398,114.4881341,0.347777015,0.246188253,25.10447036
exp78p1,45,fast,Castanospermum australe,0.000831982,0.070968858,805,19,4,7.5,5,30,122.3812614,5.401006516,50.82,3.202,26.27461622,20.17171171,0.617464091,3.723303303,80.89990991,1.035414486,0.354811672,64.52476156,214.9257417,0.180466894,0.178166253,21.98288288
exp78p2,4,fast,Castanospermum australe,0.001288093,0.693176471,252,11,3,5,3,30,174.7422463,11.4285746,47.67,2.672,48.62080976,56.42626016,0.865520472,10.17886179,67.82484959,1.048465951,0.27113632,53.30950244,319.2601138,0.213740747,0.196783668,17.07626016
exp78p1,107,fast,Castanospermum australe,0.001345667,0.115778547,789,14.8,4,6.5,9,30,139.7209807,7.228980185,46.05,1.725,33.29476319,9.153585927,0.336841848,7.550135318,108.1778078,0.853800487,0.431670956,70.86480108,97.01516238,0.351370466,0.226340198,33.41711773
exp625p4,127,slow,Ceratopetalum succirubrum,0.000210579,0.06244281,232,12,2.5,0.5,18,280,55.14749326,10.41655726,48.09,1.02,3480.864587,10.22141844,0.268826859,0.741914894,25.20767376,0.207564936,0.103873754,350.2252482,86.3715227,0.049815466,0.29563703,12.44546099
exp625p4,109,slow,Citronella smythii,7.23412E-05,0.02626634,181,9,2.5,1.2,18,20,141.1356822,4.774504598,45.55,1.657,178.2870522,0.973924977,0.095371969,1.113174748,22.2286688,0.550121281,0.360279445,28.73570723,602.1397347,0.077117514,0.133708794,7.336139067
exp625p5,5,slow,Citronella smythii,8.14765E-05,0.026111111,203,11,3.5,2,25,210,166.2466732,9.751564637,50.18,2.103,1053.741953,23.07079439,0.553307096,1.646495327,78.87522196,0.699885607,2.979953017,67.1273271,2482.84088,0.10502165,0.257536146,7.535669782
exp625p5,97,slow,Citronella smythii,0.000189913,0.131405229,115,8.5,2,1.2,40,190,148.1435,10.33707217,46.19,1.5,456.6751152,7.4778798,0.111453824,1.400500835,56.19986644,0.952376895,0.453947708,40.44105509,629.9781469,0.104667061,0.187519626,8.877796327
exp625p5,62,slow,Citronella smythii,0.000198676,0.063423203,205,10.5,2.5,3,10,150,158.8869732,4.489866967,54.23,1.5,639.4599884,11.81907514,0.197998845,1.801541426,77.69789981,0.877547283,1.456206237,30.76081696,733.7968208,0.112934459,0.210933923,9.570327553
exp625p5,93,med,Citronella smythii,0.000468681,0.214910131,177,7.8,2.5,2,30,190,141.8898951,2.165046704,62.84,2.246,231.9839095,9.861474037,0.085838164,1.535092127,35.21398241,0.871587538,0.589084082,34.87774874,424.4189782,0.112263056,0.17260135,10.13592965
exp78p2,249,slow,Croton triacros,0.000125233,0.422823529,138,6,2.5,1,8,345,114.8323198,1.625852357,50.41,2.738,32.47390332,25.94629909,0.699524578,8.517522659,41.16982628,1.736633474,0.183208756,304.1846526,1478.885491,0.478335241,0.165347215,12.97628399
exp78p2,244,med,Croton triacros,0.00033261,0.477411765,161,9,2.5,1.8,10,345,91.91861874,4.313028091,51.04,2.548,26.13789474,18.36738437,0.529744195,8.23261563,32.13167863,1.297375694,0.161573902,257.7515789,1622.336356,0.278660748,0.139543789,10.95127592
exp78p2,250,fast,Croton triacros,0.000973704,0.764784314,263,10,3,1,8,345,99.3801362,7.774644549,50.69,2.451,44.03514025,23.02439834,0.80830186,7.683153527,38.33651452,1.458233627,0.162822435,360.3014108,1752.784224,0.443934547,0.138181836,10.1186722
exp625p4,133,fast,Cryptocarya rigida,0.000770511,0.229910131,121,14,3,0.4,5,260,67.05046003,7.293869604,53.18,1.795,154.1162917,4.750573937,0.088223012,0.710263336,22.53417623,0.228533153,0.047026005,335.2839433,56.37404929,0.067999967,0.19948171,11.35671843
exp625p4,152,slow,Cryptocarya triplinervis,0.00010575,0.027965686,249,11,3,0.6,5,120,101.6569418,2.703055535,49.55,1.284,245.1725747,6.982576383,0.092100287,0.740545004,27.03012799,0.447357622,0.109320953,228.3378365,46.90636334,0.078717523,0.121298771,8.010200523
exp625p4,50,med,Cryptocarya triplinervis,0.000301342,0.053880719,364,15,3,1.3,14,100,96.96579359,4.327181195,52.32,1.312,291.8262686,1.388829787,0.07882301,0.757845745,28.59286902,0.281959787,0.058167905,172.1429787,24.9634641,0.072752871,0.099527269,9.752659574
exp78p2,45A,slow,Daphnandra repandula,8.49849E-05,0.404078431,126,7.5,2,3,3,350,230.1807195,3.454470926,46.48,3.785,24.71004114,63.38971519,1.749323561,8.322389241,48.64454509,1.169245823,0.475435375,21.93893671,571.5187342,0.287453282,0.297416782,28.86281646
exp78p2,43,slow,Daphnandra repandula,0.000145562,0.408980392,131,8,2,2.5,3,350,229.3365249,15.3645273,45.63,3.581,40.86283532,68.16587112,1.263681926,10.66245028,41.9928401,1.789080286,0.361412692,18.71213365,507.6919968,0.2732756,0.24288028,33.41567224
exp625p4,40,fast,Darlingia darlingiana,0.0010326,0.225710784,362,19.8,4,3.9,18,100,42.01659474,10.42677022,54.57,1.304,203.1660987,3.751057165,0.048628099,0.455442443,12.78490211,0.119404003,0.045410407,55.57144558,120.1535082,0.040322728,0.087452085,5.130070478
exp625p4,80,fast,Darlingia darlingiana,0.001058895,0.381462418,310,20,4,2,7,260,56.47078637,4.913848402,51.27,2.331,191.4134502,4.730015798,0.064856806,0.329146919,17.51969589,0.171295545,0.055987603,86.08495419,127.3542741,0.054135391,0.108103169,5.279304897
exp78p2,226,slow,Dendrocnide photinophylla,7.89546E-05,0.404705882,124,5,2,0.3,4,340,284.2270651,9.87283393,32.38,3.714,51.85415071,72.11357773,7.053467061,6.757298031,68.77960285,0.819536945,1.131168278,86.90965377,711.9268771,0.243814704,0.197931237,16.28886626
exp78p2,211,slow,Dendrocnide photinophylla,0.000143018,0.399098039,129,8,2,2.5,3,1,372.5584708,80.89056505,31.21,4.113,32.14036452,58.17645161,6.091621598,6.375080645,63.4501371,1.032562839,0.743574705,67.54188387,533.5778548,0.244609749,0.205676865,13.44951613
exp78p2,114,fast,Dendrocnide photinophylla,0.001072221,0.853019608,289,11.5,3,0.6,2,350,158.3542026,9.567584512,33.73,3.508,50.44231731,61.94126603,6.088045017,7.388060897,76.57221554,0.888651538,0.9130132,55.72758974,424.6108974,0.196563613,0.226904897,10.56258013
exp78p1,27,fast,Dendrocnide photinophylla,0.005658376,0.774636678,610,10,3,2.6,7,95,187.1417794,32.58009476,40.31,2.382,23.86960549,64.78233276,4.04815482,4.685591767,87.44010863,1.73355307,6.055568481,49.59813379,449.6371527,0.339535031,0.340097434,14.44797027
exp78p1,211,fast,Dendrocnide photinophylla,0.006156087,0.762156863,771,15.8,3,3.5,9,15,109.5777039,8.799568198,48,2.017,29.45350347,36.54453569,2.738903841,3.590587492,84.7353127,0.59765549,0.6943533,85.40583702,156.2569052,0.231412665,0.248646502,14.746494
exp625p5,38,fast,Doryphora aromatica,0.000880948,0.326405229,238,13,3,2.5,1,170,123.0236983,7.872151055,49.76,1.003,186.2933342,8.525685786,0.428135618,1.421134663,33.19492207,0.571549526,0.178497353,151.0838903,144.9168591,0.123283465,0.196884858,16.95299252
exp625p5,22,fast,Doryphora aromatica,0.001334399,0.333888889,337,13,3,1.9,20,150,139.6520489,14.1219704,49.9,1.403,88.82599671,8.520263591,0.342400932,1.906672158,31.7816804,0.623132521,0.160988265,128.7011532,144.9106516,0.155858615,0.194955446,21.83105437
exp625p5,92,fast,Doryphora aromatica,0.001353547,0.294624183,370,11,3,2.5,20,160,118.7279538,6.628753821,54.38,1.086,56.04050873,7.128927681,0.31440232,1.725519534,26.90197007,0.563472918,0.113880294,108.0562594,72.76425021,0.123191404,0.178678148,19.31936825
exp78p2,32,slow,Dysoxylum oppositifolium,0.000103893,0.647882353,196,9.5,2.5,1.5,2,10,152.0393649,5.844569169,48.6,2.908,16.84901695,30.81308851,0.935581103,10.14830508,55.21862524,1.496205198,0.345137847,18.22167985,244.0073795,0.282924302,0.246488994,80.67532957
exp78p2,35,slow,Dysoxylum pettigrewianum,6.08108E-05,0.431372549,131,8,1.5,2.5,3,5,170.5254505,6.631410669,53.45,3.509,34.04757895,60.51416504,0.970309994,16.34619883,103.2063353,1.776203977,0.565263881,50.42110461,196.8062638,0.329230434,0.331899033,29.19545159
exp78p1,44,fast,Dysoxylum pettigrewianum,0.001465987,0.208373702,542,11.8,3,3,5,40,99.56834193,5.834065633,49,3.472,27.98595137,62.57142857,0.74814997,9.757978723,59.03703267,1.023280486,0.426478111,39.52651672,250.7985638,0.471708183,0.316633596,30.1981003
exp78p1,35,fast,Dysoxylum pettigrewianum,0.001779718,0.200196078,626,17,3,5,4,20,111.7332755,12.79089129,35.29,4.49,11.66941856,13.95683849,0.833452427,6.726391753,67.59454983,0.766038433,0.481705013,56.74798625,128.8756818,0.365023683,0.366711967,29.44364261
exp78p2,46,slow,Dysoxylum schiffneri,8.81612E-05,0.436,131,9,2.5,1.5,3,350,128.0517584,7.363185657,47.71,3.337,37.07077201,23.38516285,1.245059217,14.38383595,65.67214415,1.482300796,0.447763181,30.93415682,232.3790591,0.279052502,0.257750912,23.21013269
exp78p2,81,fast,Elaeocarpus grandis,0.002566717,1.042901961,435,20,4,5,4,20,106.8136422,7.090651561,47.3,2.619,41.00115531,38.36171662,0.983750123,9.88760218,61.18767711,1.016577875,0.220417543,22.05776567,216.9991008,0.244652424,0.209776984,14.99427793
exp78p2,50,fast,Elaeocarpus grandis,0.004005841,1.251568627,549,21.2,4,6,3,358,94.77280639,5.183192797,48,2.501,139.0919771,30.45381679,0.54258703,11.58231552,59.30283715,0.708156947,0.276111955,21.41695674,192.2574173,0.205014573,0.200230733,20.13982188
exp78p2,48,fast,Elaeocarpus grandis,0.005541458,1.646196078,536,20,4,4,3,350,106.2585728,3.461785114,49.45,2.358,43.63854545,49.90526696,0.969517374,6.676118326,53.98229437,0.813449004,0.26549102,43.03699856,320.8068182,0.249636543,0.206531683,11.31313131
exp625p4,148B,fast,Elaeocarpus sericopetalus,0.00093594,0.443014706,245,15,3,5,3,100,66.96305439,3.754969425,55.07,1.399,5.683040976,6.460854403,0.11715572,0.463993025,13.63527027,0.170738553,0.061551897,145.7671142,32.62492589,0.053437572,0.108488502,8.010200523
exp625p4,76A,fast,Elaeocarpus sericopetalus,0.002152861,0.640212418,399,16,3,7,2,280,62.56871644,1.976236729,52.31,1.868,5.773078394,5.431485022,0.114038987,0.403505417,12.32764818,0.123411702,0.056985,249.2059656,29.27459337,0.059340454,0.16512684,4.833843212
exp78p1,119,med,Endiandra longipedicellata,0.00040347,0.189965398,279,18,3,4,10,15,94.53211293,11.86483056,40.67,1.815,276.68196,77.74715385,0.56417117,7.025076923,67.77250769,1.004386708,0.314781472,298.1395692,173.0375,0.455266876,0.299122932,14.61861538
exp78p2,170,fast,Endiandra longipedicellata,0.001215648,0.829137255,286,10,3,2,2,2,161.6462678,13.94524788,47.4,3.051,14.78329008,21.77131043,0.77195794,33.45928753,45.08307252,1.644413435,0.237342184,241.0731807,218.2156425,0.318610864,0.24434759,95.8274173
exp78p1,14,fast,Endiandra longipedicellata,0.002124454,0.502018454,480,12.5,4,4.6,6,95,87.94834328,11.7181862,48.79,2.091,265.7991334,40.84768467,0.802373804,2.822767365,58.63472161,0.725909768,0.464472279,330.8835281,263.1881312,0.657312667,0.388064064,11.41383682
