Genus_species,location,d13C,bark thickness (mm bark/mm whole-stem),wood density (Kasia),wood density (Sean),LMA (g m-2),LMA2 (g m-2),Leaf size (cm2),Leaf size2 (cm2),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),LA/SA (m2/m2),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea,Rmass (umol/kg/s),Rarea,WUE (mmol CO2/mol H2O/m2/s,max_ht (m),SA (mm),E (mmol/m2/s)
Geijera parviflora,Round Hill,-27.416,0.24791,0.87,,,151,,3.827,,,2091,-3.74,-4.56,,,,,,,19.14296497,
Melaleuca uncinata,Round Hill,-26.251,0.16796,0.68,,,364.8,,0.181,,4.32,1570,-4.04,-4.9,,,,,,,23.12882923,
Micromyrtus sessilis,Round Hill,-26.719,0.0861,,,,115.1,,0.012,,,,-5.03,-5.3,,,,,,,19.1941258,
Pimelea microcephala,Round Hill,-24.44,0.28379,0.7,,,56.8,,0.262,,,,-3.06,-3.68,,,,,,,12.09236711,
Santalum acuminatum,Round Hill,-25.791,0.26385,0.72,,,203.8,,5.042,,3,2748,-2.69,-4.27,,,,,,,13.40395063,
Senna artemisioides,Round Hill,-27.754,0.15256,0.81,,,387.3,,0.437,,,1881,-4.12,-4.88,,,,,,,21.29145306,
Acacia parvipinnula,Yengo,-23.519,0.18727,0.602,,,56.6,,,,,,-1.21,-1.72,,,,,6.34,,9.642458916,2.91373487
Angophora costata,Yengo,-25.804,0.2824,0.603,,,179.1,,24.565,,,,-0.98,-1.65,,,,,4.69,,5.483759933,1.969095049
Daviesia squarrosa,Yengo,-25.963,0.146,0.702,,,108.4,,0.117,,,,-0.92,-1.77,,,,,3.32,,6.526313163,2.726990292
Eucalyptus crebra,Yengo,-24.291,0.28605,0.668,,,149.5,,7.719,,,,-1.25,-2.24,,,,,4.42,,12.73193255,2.571565823
Eucalyptus fibrosa,Yengo,-25.627,0.21932,0.66,,,259.3,,40.87,,,,-1.33,-2.26,,,,,5.49,,8.440556252,2.542
Eucalyptus punctata,Yengo,-24.564,0.24095,0.639,,,216.5,,32.113,,,,-1.14,-2,,,,,5.79,,10.70382505,2.91
Eucalyptus sparsifolia,Yengo,-25.385,0.22216,0.629,,,250.1,,14.199,,,,-1.32,-2.13,,,,,4.73,,6.898296059,2.68117752
Exocarpos cupressiformis,Yengo,-24.111,0.22043,0.695,,,206.3,,0.351,,,,-1.36,-2.74,,,,,2.42,,8.973346804,4.522159744
Grevillea mucronulata,Yengo,-24.48,0.15253,0.677,,,75.2,,0.65,,,,-0.98,-1.61,,,,,4.69,,16.26773225,2.72023234
Jacksonia scoparia,Yengo,-24.348,0.19574,0.682,,,227.8,,0.27,,,,-1.27,-2.25,,,,,2.91,,10.83565151,6.581203622
Melaleuca pallida,Yengo,-24.983,0.25319,0.756,,,151.4,,1.253,,,,-1.09,-2.07,,,,,5.51,,16.85855587,1.181544072
Monotoca scoparia,Yengo,-24.744,0.13769,0.744,,,129.1,,0.109,,,,-0.33,-1.02,,,,,3.62,,11.65464116,2.110734218
Persoonia linearis,Yengo,-24.032,0.19567,0.593,,,130.3,,0.902,,,,-0.96,-1.66,,,,,5.53,,8.095114578,1.202367483
Podolobium ilicifolium,Yengo,-25.118,0.16634,0.797,,,121.5,,1.33,,,,-1.04,-1.75,,,,,4.82,,15.67643739,2.230863919
Pultenaea scabra,Yengo,-24.994,0.12815,0.803,,,93,,0.087,,,,-1.07,-1.86,,,,,3.25,,6.983629569,3.209004643
