Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area),P-allocation pattern,PUE,N (mature) (mg/g),N (senesced) (mg/g),N resorption (%),P (senesced) (mg/g),P resorption (%)
Banksia prionotes,3,Stage_4,214.732,410.714,0.523,NA,29.12,22.246,38.799,103.597,180.686,1.181,1.352,1.088,5.5,6.295,5.065,10.372,18.09,302.026,526.773,0.551,0.63,0.507,16.036,18.4,14.766,0.061,0.061,0.035,0.035,0.829,0.702,0.614,0.763,M,Proteaceae,9.988,NA,NA,NA,NA
Banksia prionotes,4,Stage_4,243.692,450.935,0.54,NA,38.847,26.047,50.762,106.884,208.303,NA,NA,NA,NA,NA,NA,8.022,15.633,311.61,607.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805,NA,NA,NA,M,Proteaceae,13.325,NA,NA,NA,NA
Banksia prionotes,5,Stage_4,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,9.212,9.167,0.484,0.23452,38.35073
Banksia prionotes,6,Stage_4,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,8.079,3.821,52.708,0.1209,60.43044
Banksia prionotes,7,Stage_4,NA,NA,NA,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,9.91,2.943,70.303,0.10385,67.27835
Banksia prionotes,8,Stage_4,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,7.182,3.452,51.929,0.11126,68.40948
Banksia prionotes,9,Stage_4,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,7.999,3.178,60.271,0.10255,71.4754
Conospermum stoechadis,1,Stage_4,154.615,753.846,0.205,NA,27.678,18.182,18.944,117.597,122.522,3.36,3.303,2.658,21.731,21.363,17.189,10.319,10.752,285.625,297.588,1.907,1.875,1.508,52.782,51.9,41.749,0.182,0.182,0.174,0.174,NA,NA,NA,NA,NA,Proteaceae,11.396,NA,NA,NA,NA
Conospermum stoechadis,2,Stage_4,302.143,746.429,0.405,NA,21.005,16.884,35.207,55.879,116.525,3.223,3.302,2.656,10.667,10.927,8.792,6.461,13.474,135.722,283.021,1.233,1.264,1.017,25.908,26.5,21.355,0.196,0.196,0.094,0.094,NA,NA,NA,NA,NA,Proteaceae,8.648,NA,NA,NA,NA
Conospermum stoechadis,3,Stage_4,256.146,780.731,0.328,NA,21.422,NA,NA,NA,NA,3.435,3.105,2.498,13.409,12.12,9.752,NA,NA,NA,NA,1.52,1.374,1.106,32.567,29.4,23.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteaceae,8.82,NA,NA,NA,NA
Conospermum stoechadis,4,Stage_4,260.923,707.692,0.369,NA,22.214,7.7,20.806,29.512,79.741,2.487,2.436,1.96,9.531,9.334,7.511,3.227,8.719,71.68,193.677,1.042,1.021,0.821,23.148,22.7,18.242,0.316,0.316,0.117,0.117,NA,NA,NA,NA,NA,Proteaceae,9.146,NA,NA,NA,NA
Conospermum stoechadis,5,Stage_4,NA,NA,NA,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteaceae,6.456,3.563,44.811,0.12984,61.27296
Conospermum stoechadis,6,Stage_4,NA,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteaceae,7.528,3.429,54.458,0.16801,66.75092
Conospermum stoechadis,7,Stage_4,NA,NA,NA,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteaceae,7.923,3.296,58.392,0.14855,61.72139
Conospermum stoechadis,8,Stage_4,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteaceae,6.734,4.295,36.216,0.19579,53.51641
Conospermum stoechadis,9,Stage_4,NA,NA,NA,0.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteaceae,7.174,3.341,53.433,0.20043,50.96063
Scaevola crassifolia,1,Stage_4,131.842,481.579,0.274,NA,NA,19.168,35.905,145.389,272.335,1.774,1.994,1.604,13.454,15.124,12.169,11.048,20.694,NA,NA,1.022,1.149,0.925,NA,NA,NA,0.104,0.104,0.056,0.056,0.704,0.397,0.353,0.439,NA,NA,13.16,NA,NA,NA,NA
Scaevola crassifolia,2,Stage_4,114.805,464.935,0.247,NA,NA,10.448,32.291,91.005,281.267,1.758,1.997,1.607,15.312,17.393,13.994,5.898,18.228,NA,NA,0.992,1.127,0.907,NA,NA,NA,0.191,0.191,0.062,0.062,1.287,0.732,0.644,0.801,NA,NA,15.431,NA,NA,NA,NA
Scaevola crassifolia,3,Stage_4,170.37,601.14,0.283,NA,NA,19.094,43.094,112.074,252.943,2.362,2.576,2.072,13.866,15.118,12.164,7.411,16.726,NA,NA,0.917,1,0.804,NA,NA,NA,0.135,0.135,0.06,0.06,1.338,0.567,0.52,0.646,NA,NA,15.123,NA,NA,NA,NA
Scaevola crassifolia,4,Stage_4,128.413,520.295,0.247,NA,NA,17.07,37.993,132.931,295.862,2.15,2.471,1.988,16.741,19.24,15.481,8.634,19.218,NA,NA,1.087,1.25,1.006,NA,NA,NA,0.145,0.145,0.065,0.065,2.676,1.245,1.083,1.346,NA,NA,15.395,NA,NA,NA,NA
Hakea incrassata,1,Stage_4,288.841,682.403,0.423,NA,21.494,13.223,27.451,45.78,95.037,2.107,2.51,2.019,7.296,8.689,6.991,7.799,16.19,167.631,347.994,1.243,1.48,1.191,26.717,31.8,25.598,0.19,0.19,0.091,0.091,1.55,0.735,0.618,0.768,M,Proteaceae,5.87,NA,NA,NA,NA
Hakea incrassata,2,Stage_4,290.196,620.915,0.467,NA,20.183,16.643,31.725,57.351,109.324,1.584,1.919,1.544,5.457,6.612,5.32,10.405,19.834,210.002,400.309,0.99,1.2,0.965,19.983,24.2,19.48,0.115,0.115,0.06,0.06,1.514,0.956,0.789,0.981,M,Proteaceae,5.512,NA,NA,NA,NA
Hakea incrassata,3,Stage_4,346.606,719.457,0.482,NA,20.359,17.449,34.045,50.342,98.225,2.237,2.817,2.266,6.454,8.126,6.538,9.054,17.666,184.336,359.666,1.161,1.462,1.176,23.631,29.8,23.941,0.161,0.161,0.083,0.083,1.429,0.639,0.507,0.631,M,Proteaceae,5.56,NA,NA,NA,NA
Hakea incrassata,4,Stage_4,307.037,674.074,0.455,NA,21.722,12.864,36,41.899,117.25,1.938,2.392,1.925,6.312,7.79,6.268,7.063,19.765,153.419,429.329,1.064,1.313,1.057,23.112,28.5,22.952,0.186,0.186,0.066,0.066,0.786,0.405,0.328,0.408,M,Proteaceae,5.932,NA,NA,NA,NA
Hakea incrassata,5,Stage_4,NA,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,5.396,3.289,39.049,0.11284,66.74598
Hakea incrassata,6,Stage_4,NA,NA,NA,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,4.125,2.657,35.587,0.09102,60.90199
Hakea incrassata,7,Stage_4,NA,NA,NA,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,4.995,2.617,47.607,0.1106,60.62036
Hakea incrassata,8,Stage_4,NA,NA,NA,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,5.242,2.642,49.6,0.10893,60.00694
Hakea incrassata,9,Stage_4,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,4.751,2.938,38.176,0.07932,66.97288
Labichea cassioides,1,Stage_4,245.902,514.754,0.478,NA,33.902,10.157,20.892,41.304,84.96,2.874,3.322,2.673,11.688,13.511,10.871,3.798,7.812,128.758,264.848,1.075,1.242,1,36.435,42.1,33.888,0.327,0.327,0.159,0.159,NA,NA,NA,NA,M,E,10.875,NA,NA,NA,NA
Labichea cassioides,2,Stage_4,203.731,518.657,0.393,NA,50.644,23.664,44.776,116.154,219.78,3.369,3.345,2.691,16.538,16.417,13.209,7.15,13.528,362.09,685.128,1.018,1.011,0.813,51.556,51.2,41.177,0.141,0.141,0.075,0.075,NA,NA,NA,NA,M,E,16.246,NA,NA,NA,NA
Labichea cassioides,3,Stage_4,132.5,275,0.482,NA,36.19,16.125,33.45,121.698,252.453,3.588,3.345,2.691,27.075,25.243,20.311,10.483,21.745,379.373,786.979,2.332,2.174,1.75,84.403,78.7,63.316,0.207,0.207,0.1,0.1,NA,NA,NA,NA,M,E,11.609,NA,NA,NA,NA
Labichea cassioides,4,Stage_4,284.211,605.263,0.47,NA,28.363,9.507,20.226,33.45,71.167,2.416,2.223,1.788,8.5,7.82,6.292,3.676,7.822,104.275,221.85,0.934,0.86,0.692,26.497,24.4,19.615,0.234,0.234,0.11,0.11,NA,NA,NA,NA,M,E,9.099,NA,NA,NA,NA
Labichea cassioides,5,Stage_4,NA,NA,NA,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,9.596,6.41,33.197,0.13678,51.69974
Labichea cassioides,6,Stage_4,NA,NA,NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,13.156,NA,100,0.0819,78.95468
Labichea cassioides,7,Stage_4,NA,NA,NA,0.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,13.096,7.126,45.584,0.18037,47.46924
Labichea cassioides,8,Stage_4,NA,NA,NA,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,9.299,5.343,42.539,0.07439,71.30131
Labichea cassioides,9,Stage_4,NA,NA,NA,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,11.998,6.661,44.485,0.09046,72.50659
Melaleuca affi. systena,1,Stage_4,208.414,631.068,0.33,NA,NA,15.311,26.718,73.463,128.199,3.633,3.205,2.579,17.432,15.378,12.373,10.534,18.382,NA,NA,2.499,2.205,1.774,NA,NA,NA,0.209,0.209,0.12,0.12,NA,NA,NA,NA,M,NA,6.974,NA,NA,NA,NA
Melaleuca affi. systena,2,Stage_4,372.034,923.729,0.403,NA,NA,33.798,64.678,90.847,173.85,5.143,4.882,3.928,13.823,13.123,10.559,9.643,18.454,NA,NA,1.467,1.393,1.121,NA,NA,NA,0.144,0.144,0.075,0.075,NA,NA,NA,NA,M,NA,9.421,NA,NA,NA,NA
Melaleuca affi. systena,3,Stage_4,327.419,879.032,0.372,NA,NA,27.377,56.274,83.616,171.872,8.579,7.834,6.304,26.202,23.928,19.253,7.688,15.803,NA,NA,2.409,2.2,1.77,NA,NA,NA,0.286,0.286,0.139,0.139,NA,NA,NA,NA,M,NA,10.876,NA,NA,NA,NA
Melaleuca affi. systena,4,Stage_4,274.118,711.765,0.385,NA,NA,18.914,41.329,69,150.773,3.953,4.068,3.273,14.421,14.839,11.94,7.09,15.492,NA,NA,1.482,1.525,1.227,NA,NA,NA,0.215,0.215,0.098,0.098,NA,NA,NA,NA,M,NA,9.732,NA,NA,NA,NA
