Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area),P-allocation pattern,PUE,N (mature) (mg/g),N (senesced) (mg/g),N resorption (%),P (senesced) (mg/g),P resorption (%)
Spyridium globulosum,3,Stage_1,192.577,449.485,0.428,NA,27.461,15.031,30.643,78.051,159.122,1.45,1.754,1.386,7.529,9.11,7.199,6.048,12.331,166.094,338.613,0.583,0.706,0.558,16.022,19.4,15.319,0.117,0.117,0.057,0.057,0.542,0.374,0.309,0.391,E,E,12.905,NA,NA,NA,NA
Spyridium globulosum,4,Stage_1,146.25,341.071,0.429,NA,23.497,18.471,39.464,126.3,269.841,NA,NA,NA,NA,NA,NA,11.439,24.439,268.769,574.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,11.042,NA,NA,NA,NA
Spyridium globulosum,5,Stage_1,146.61,376.271,0.39,NA,26.826,NA,NA,NA,NA,1.38,1.735,1.371,9.413,11.836,9.353,NA,NA,NA,NA,0.747,0.939,0.742,20.03,25.2,19.903,NA,NA,NA,NA,0.49,0.355,0.282,0.357,E,E,12.606,NA,NA,NA,NA
Spyridium globulosum,6,Stage_1,NA,NA,NA,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,9.368,6.547,30.12,0.63858,-25.93943
Spyridium globulosum,7,Stage_1,NA,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,12.652,9.71,23.256,0.73894,-31.67914
Spyridium globulosum,8,Stage_1,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,9.853,8.016,18.642,0.2818,38.07941
Spyridium globulosum,9,Stage_1,NA,NA,NA,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,10.766,11.234,-4.34,0.38614,22.90631
Spyridium globulosum,10,Stage_1,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,11.199,13.752,-22.802,0.44054,-35.37652
Templetonia retusa,1,Stage_1,170.548,383.562,0.445,NA,15.096,12.471,27.534,73.12,161.446,1.371,1.411,1.115,8.039,8.275,6.539,5.664,12.505,85.502,188.783,0.623,0.641,0.506,9.4,9.7,7.646,0.113,0.113,0.051,0.051,NA,NA,NA,NA,E,NE,12.91,NA,NA,NA,NA
Templetonia retusa,2,Stage_1,223.509,456.14,0.49,NA,17.385,12.952,30.442,57.947,136.201,1.815,1.808,1.428,8.12,8.087,6.391,3.898,9.161,67.758,159.263,0.546,0.544,0.43,9.495,9.5,7.473,0.14,0.14,0.059,0.059,NA,NA,NA,NA,E,NE,14.868,NA,NA,NA,NA
Templetonia retusa,3,Stage_1,158.744,394.619,0.402,NA,23.556,18.619,40.601,117.288,255.763,NA,NA,NA,NA,NA,NA,5.822,12.696,137.148,299.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,20.145,NA,NA,NA,NA
Templetonia retusa,4,Stage_1,175.849,433.962,0.405,NA,19.847,NA,NA,NA,NA,1.308,1.309,1.034,7.436,7.443,5.882,NA,NA,NA,NA,0.438,0.439,0.347,8.695,8.7,6.878,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,16.973,NA,NA,NA,NA
Templetonia retusa,5,Stage_1,133.624,384.279,0.348,NA,23.911,10.569,24.265,79.098,181.588,1.948,1.779,1.406,14.58,13.311,10.518,3.868,8.88,92.491,212.336,0.713,0.651,0.514,17.049,15.6,12.299,0.168,0.168,0.073,0.073,NA,NA,NA,NA,E,NE,20.449,NA,NA,NA,NA
Templetonia retusa,6,Stage_1,NA,NA,NA,1.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,20.875,12.303,41.061,0.70796,33.52482
Templetonia retusa,7,Stage_1,NA,NA,NA,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,19.357,11.083,42.747,0.5331,0.27567
Templetonia retusa,8,Stage_1,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,17.032,11.566,32.096,0.71321,-1.85668
Templetonia retusa,9,Stage_1,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,17.939,13.12,26.865,0.44793,46.35304
Templetonia retusa,10,Stage_1,NA,NA,NA,1.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,20.915,12.199,41.673,0.97181,14.84476
Acacia lasiocarpa,1,Stage_3,138.462,646.154,0.214,NA,55.236,25.634,50.723,185.133,366.333,13.232,13.438,10.822,95.567,97.054,78.159,9.199,18.202,508.088,1005.381,4.748,4.822,3.883,262.277,266.4,214.504,0.524,0.524,0.265,0.265,NA,NA,NA,NA,M,E,20.126,NA,NA,NA,NA
Acacia lasiocarpa,2,Stage_3,150.739,497.537,0.303,NA,58.171,38.778,73.3,257.255,486.275,4.581,4.722,3.803,30.392,31.325,25.227,12.137,22.942,706.021,1334.552,1.434,1.478,1.19,83.41,86,69.233,0.122,0.122,0.064,0.064,NA,NA,NA,NA,M,E,21.196,NA,NA,NA,NA
Acacia lasiocarpa,3,Stage_3,207.393,634.241,0.327,NA,43.373,21.294,47.673,102.675,229.869,7.17,7.496,6.037,34.57,36.145,29.108,6.497,14.545,281.787,630.861,2.187,2.287,1.842,94.876,99.2,79.885,0.352,0.352,0.157,0.157,NA,NA,NA,NA,M,E,15.804,NA,NA,NA,NA
Acacia lasiocarpa,4,Stage_3,203.871,729.032,0.28,NA,47.809,21.066,58.994,103.329,289.367,7.56,8.008,6.449,37.082,39.278,31.631,5.932,16.611,283.581,794.151,2.129,2.255,1.816,101.77,107.8,86.81,0.38,0.38,0.136,0.136,NA,NA,NA,NA,M,E,17.42,NA,NA,NA,NA
Acacia lasiocarpa,5,Stage_3,NA,NA,NA,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,14.911,10.244,31.297,0.2573,46.2183
Acacia lasiocarpa,6,Stage_3,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,15.02,NA,NA,0.03542,89.09549
Acacia lasiocarpa,7,Stage_3,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,18.851,NA,NA,0.08863,80.78598
Acacia lasiocarpa,8,Stage_3,NA,NA,NA,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,17.403,8.787,49.508,0.33467,-44.96664
Acacia lasiocarpa,9,Stage_3,NA,NA,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,20.276,NA,NA,0.06334,80.60167
Acacia rostellifera,1,Stage_3,113.734,394.85,0.288,NA,24.177,19.962,32.807,175.517,288.453,1.989,2.262,1.822,17.491,19.888,16.016,9.58,15.745,231.622,380.658,0.955,1.086,0.874,23.082,26.2,21.136,0.113,0.113,0.069,0.069,1.8,0.905,0.796,0.988,M,E,18.321,NA,NA,NA,NA
Acacia rostellifera,2,Stage_3,129.667,413.333,0.314,NA,22.594,16.904,36.08,130.365,278.252,1.682,1.681,1.353,12.975,12.961,10.438,7.614,16.252,172.037,367.197,0.758,0.757,0.61,17.122,17.1,13.774,0.099,0.099,0.047,0.047,1.214,0.721,0.722,0.897,M,E,17.121,NA,NA,NA,NA
