site_ID,latitude,longitude,name_original,raw_trait_value,trait,units,primary_source_id,metadata_id
NA,NA,NA,Acacia brachybotrya,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia brachystachya,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia caesiella,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia calamifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia cambagei,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia cardiophylla,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia cognata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia colletioides,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia cultriformis,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia dealbata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia deanei,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia decora,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia decurrens,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia difformis,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia doratoxylon,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia drummondii,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia elata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia extensa,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia fimbriata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia floribunda,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia genistifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia hakeoides,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia hemiteles,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia implexa,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia irrorata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia iteaphylla,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia ixiophylla,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia lanigera,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia lineata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia longissima,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia mearnsii,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia microcarpa,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia montana,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia mucronata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia myrtifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia neriifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia parvipinnula,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia penninervis,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia podalyriifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia pravissima,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia prominens,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia pulchella,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia pycnantha,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia quornensis,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia ramulosa,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia rubida,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia saligna,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia schinoides,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia silvestris,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia spectabilis,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia stricta,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia suaveolens,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia subulata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia terminalis,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia trineura,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia uncinata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia verniciflua,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia vestita,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia viscidula,Elaiosome,dispersal appendage,NA,5,5
