Material,Abbreviation,rep,MassLoss_3.5 (%),MassLoss_12 (%),MassLoss_24 (%),dry_massFlamm (g),Leaf FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),Leaf length (cm),Leaf width (cm),Leaf thickness (mm),Leaf area (cm2),Leaf mass (g),Leaf moisture (at time of measuring) (%odw),Leaf dry mass (g),Leaf volume (cm3),Leaf density (g/cm3),Leaf SLA (cm2/g),Leaf  SAperV (cm2/cm3),Leaf Energy (MJ/kg),Leaf C (wght %),Leaf N (wght %),Leaf Al (mg/kg),Leaf B (mg/kg),Leaf Ca (wght %),Leaf Cu (mg/kg),Leaf Fe (mg/kg),Leaf K (wght %),Leaf Mg (wght %),Leaf Mn (mg/kg),Leaf Na (mg/kg),Leaf P (mg/kg),Leaf S (wght %),Leaf Zn (mg/kg),Leaf Lignin (wght %),Leaf Cellulose (wght %),Leaf Ash (wght %),Leaf TotalTannins (wght %),Bark dry_massFlamm (g),Bark thicknFlam (mm),dry_massFlam (g),Bark thickness (mm),Bark area (cm2),Bark dry mass (g),Bark volume (cm3),Bark density (g/cm3),Bark MaxFlexLoad (Newton),Bark MFLperTHICKN (N/mm),BAM (cm2/g),Bark Energy (MJ/kg),Bark C (wght %),Bark N (wght %),Bark Al (mg/kg),Bark B (mg/kg),Bark Ca (wght %),Bark Cu (mg/kg),Bark Fe (mg/kg),Bark K (wght %),Bark Mg (wght %),Bark Mn (mg/kg),Bark Na (mg/kg),Bark P (mg/kg),Bark S (wght %),Bark Zn (mg/kg),Bark Lignin (wght %),Bark Cellulose (wght %),Bark Ash (wght %),Bark Free Tannins (wt%),Bark Bound Tannins (wt%),Bark Total Tannins (wt%),Bark FMC (%),Taxon,Site
LEAVES,Cor_gum,3,21.4976690,17.1896419,51.5214586,0.4021000,,3.4,9.3,35.3,44.6,10.0224215,23.1285726,87.7890983,9.3,2.7,0.55,17.7,0.460,9.9303010,0.4184470,0.9735000,0.4298377,42.2992680,36.3636364,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,4,23.3849246,40.2477552,71.5478568,0.5469280,,3.5,7.7,44.3,52.0,11.6923077,14.0786351,80.9978615,12.3,3.0,0.35,24.5,0.625,9.9303010,0.5685421,0.8575000,0.6630228,43.0926780,57.1428571,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,5,15.3472379,21.9110430,60.8059248,0.4605710,,4.4,9.4,37.4,46.8,10.9401709,20.4094499,81.2035559,12.9,2.6,0.66,20.1,0.526,9.9303010,0.4784850,1.3266000,0.3606852,42.0075865,30.3030303,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,6,26.9813896,20.8598051,57.0372637,0.4893566,,3.3,9.3,56.5,65.8,8.2674772,19.0045441,115.4577139,8.8,2.8,0.56,20.0,0.562,9.9303010,0.5112330,1.1200000,0.4564581,39.1211036,35.7142857,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,7,,,,0.5055486,,2.7,7.7,54.6,62.3,9.0208668,15.2309789,108.0014866,9.4,3.2,0.70,19.4,0.579,9.9303010,0.5266974,1.3580000,0.3878478,36.8332960,28.5714286,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,8,,,,0.5028499,,3.9,6.6,41.6,48.2,11.5975104,13.1251880,82.7284579,11.4,3.3,0.34,23.4,0.575,9.9303010,0.5230587,0.7956000,0.6574393,44.7368529,58.8235294,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,9,,,,0.2860577,,3.4,23.3,21.0,44.3,7.1783296,81.4520853,73.4117507,8.6,2.3,0.60,12.9,0.325,9.9303010,0.2956419,0.7740000,0.3819662,43.6338733,33.3333333,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_macu,1,,39.8111521,80.8277391,0.5152686,8.4780388,2.0,4.7,34.6,39.3,14.3256997,9.1214555,67.1494386,15.4,4.0,0.24,34.9,0.580,9.8107041,0.5281817,0.8376000,0.6305894,78.8870001,83.3333333,22.6763000,48.5100000,0.6807000,179.2175743,46.9740099,0.4879849,4.1590347,72.2695545,0.3485981,0.1784500,246.8591584,4611.4376238,270.9566832,0.0778705,32.0053218,22.8529121,33.9585390,0.2467917,7.3044065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia maculata,Blackwall Mountain
LEAVES,Cor_macu,2,45.5270267,44.9359272,75.1205170,0.7440735,,1.2,5.2,25.7,30.9,26.3106796,6.9885565,34.5395965,17.4,5.9,0.31,58.4,0.840,9.8107041,0.7649527,1.8104000,0.4225325,76.3445848,64.5161290,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia maculata,Blackwall Mountain
LEAVES,Cor_macu,3,27.1969055,40.4710842,61.3221493,0.8905087,,2.2,6.9,35.6,42.5,22.8941176,7.7483804,39.9771509,13.9,4.8,0.35,48.4,1.007,9.8107041,0.9170326,1.6940000,0.5413416,52.7789283,57.1428571,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia maculata,Blackwall Mountain
