Plant taxa,Te,Aq,Pn,An,Wo,He,Gr,Ge,Fe,Vi,fire response r/s,1 Rock Island,2 Hilltop Ridge,3 Hill 700,4 Robinsons Gully,5 SWupperMtG,6 SMtGCapeV,7 Little Bch Rd,8 Little Beach,9 NWupperMtG
Acacia myrtifolia (Sm.) Willd.,te,,pn,,wo,,,,,,resprout,,x,x,,x,x,x,,x
Acacia sulcata R.Br. var. platyphylla Maiden & Blakely  ,te,,pn,,wo,,,,,,seeder,,x,,,,x,x,,x
Agonis flexuosa (Willd.) Sweet,te,,pn,,wo,,,,,,resprout,x,,,,x,x,x,,
Agonis theiformis Schauer,te,,pn,,wo,,,,,,resprout,,,,,x,,,,
Agrostocrinum scabrum (R.Br.) BailL.,te,,pn,,,he,,,,,resprout,,,,,x,,,,
Allocasuarina fraseriana (Miq.) L.Johnson,te,,pn,,wo,,,,,,resprout,,,,x,,,x,,x
Allocasuarina thuyoides (Miq.) L.A.S.Johnson,te,,pn,,wo,,,,,,seeder,,x,x,,,,,,
Allocasuarina trichodon (Miq.) L.Johnson,te,,pn,,wo,,,,,,seeder,,,,,,,,,x
Amphipogon debilis R.Br.,te,,pn,,,he,gr,,,,resprout,,x,,,x,,,,
Amphipogon laguroides R.Br.,te,,pn,,,he,gr,,,,resprout,,,,,x,,,,
Amphipogon strictus R.Br.,te,,pn,,,he,gr,,,,resprout,,,,,x,,,,
Anarthria gracilis R.Br. ,te,,pn,,,he,gr,,,,resprout,,,,,x,,,,
Anarthria prolifera R.Br. ,te,,pn,,,he,gr,,,,resprout,,,x,,x,x,,,
Anarthria scabra R.Br. ,te,,pn,,,he,gr,,,,resprout,,,x,,,,,,
Andersonia sprengelioides R.Br.,te,,pn,,wo,,,,,,seeder,,x,x,,x,x,,,x
Anogramma leptophylla (L.) Link.,te,,pn,,,he,,,fe,,seeder,x,,,x,,,,,
Anthocercis viscosa R.Br.,te,,pn,,wo,,,,,,seeder,x,x,x,,x,x,x,,x
Aphelia cyperoides R.Br.,te,,,an,,,,,,,seeder,x,x,,,x,,x,,x
Asplenium aethiopicum (Burm.f.) Bech. ,te,,pn,,,he,,,fe,,seeder,x,,x,x,,,,,
Astartea glomerulosa Schauer ,te,,pn,,wo,,,,,,seeder,,,,,x,x,,,
Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett,te,,pn,,,he,gr,,,,seeder,x,,,x,,,,,
Austrostipa flavescens (Labill.) S.W.L.Jacobs & J.Everett,te,,pn,,,he,gr,,,,seeder,x,,,,,,,,
Banksia formosa R.Br.,te,,pn,,wo,,,,,,seeder,,,x,,x,,,,
Banksia grandis Willd.,te,,pn,,wo,,,,,,resprout,,,x,,,,,,
Banksia praemorsa Andrews,te,,pn,,wo,,,,,,seeder,,,x,,,x,,,
Banksia verticillata R.Br.,te,,pn,,wo,,,,,,seeder,,,,x,,,,,
Billardiera fusiformis Labill.,te,,pn,,wo,,,,,vi,seeder,,,,x,,,,,
Billardiera heterophylla (Lindl.) L.Cayzer & Crisp,te,,pn,,wo,,,,,vi,seeder,,,,,x,x,,,
Billardiera laxiflora (Benth.) E. M. Bennett,te,,pn,,wo,,,,,vi,seeder,,,,x,,,,,
Boronia albiflora R.Br. ex Benth.,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Boronia crenulata Sm. ,te,,pn,,wo,,,,,,seeder,,,,,x,,,,
Boronia spathulata Lindl.,te,,pn,,wo,,,,,,seeder,,x,,,,,,,
Borya nitida Labill. ,te,,pn,,,he,,,,,seeder,x,x,x,,x,x,x,,
Bossiaea linophylla R.Br.,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Burchardia congesta Lindl.,te,,pn,,,he,,,,,resprout,,x,,x,x,,x,,x
Caladenia flava R.Br. subsp. flava,te,,pn,,,he,,,,,resprout,x,,x,x,,x,,,
Caladenia flava subsp. sylvestris Hopper & A.P.Br. ,te,,pn,,,he,,,,,resprout,,,,,x,,,,
Caladenia granitora Hopper & A.P.Br.,te,,pn,,,he,,,,,resprout,,,x,x,x,x,,,
Caladenia latifolia R.Br.,te,,pn,,,he,,,,,resprout,x,,x,,,,,,
Caladenia marginata Lindl.,te,,pn,,,he,,,,,resprout,x,,,,,,,,
Calandrinia calyptrata Hook.f.,te,,,an,,he,,,,,seeder,x,x,x,,x,,,,
Calandrinia sp. southern granites (G.J. Keighery 11266),te,,,an,,he,,,,,seeder,,,,,,x,,,
Callistachys sp. south-coast variant (M. Carter 180),te,,pn,,wo,,,,,,seeder,,,,,,x,,,
Calytrix hirta (Regel) Nge & K.R.Thiele ,te,,pn,,wo,,,,,,seeder,,,,,,,x,,
Carpobrotus virescens (Haw.) Schwantes,te,,pn,,,he,,,,,seeder,,,,,,x,,,
Cassytha glabella R.Br.,te,,pn,,,he,,,,vi,seeder,,x,,,,,,,
Centrolepis aristata (R.Br.) Poir.,te,,,an,,,,,,,seeder,x,,,,x,,,,x
Centrolepis drummondiana (Nees) Walp.,te,,,an,,,,,,,seeder,,,,,,x,,,
Centrolepis glabra (Sond.) Hieron.,,aq,,an,,,,,,,seeder,,x,,,,,,,
Centrolepis humillima Benth.,te,,,an,,,,,,,seeder,,x,,,,,,,
Centrolepis pilosa Hieron.,te,,,an,,,,,,,seeder,,,x,,,,,,
Centrolepis polygyna (R.Br.) Hieron.,te,,,an,,,,,,,seeder,,x,x,,x,x,,,
Centrolepis strigosa (R.Br.) Roem. & Schult.,te,,,an,,,,,,,seeder,,,x,,x,x,,,
Chamaescilla corymbosa (R.Br.) Benth.,te,,pn,,,he,,ge,,,resprout,x,x,,,x,,x,,x
Chamelaucium orarium N.G.Marchant ,te,,pn,,wo,,,,,,seeder,,,,,,x,,,
Chorizema cordatum Lindl.,te,,pn,,wo,,,,,,seeder,,x,x,,,,,,
Clematis pubescens Endl.,te,,pn,,wo,,,,,vi,resprout,x,,,,,,,,
Comesperma virgatum Labill.,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Commersonia corniculata (Sm.) K.A.Sheph. & C.F.Wilkins,te,,pn,,wo,,,,,,seeder,,,,,x,,,,
Commersonia corylifolia (Graham) C.F.Wilkins & Whitlock,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Commersonia parviflora (Endl.) F.Muell.,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Conospermum capitatum R.Br.,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Corymbia calophylla (Lindl.) K.D.Hill & L.A.S.Johnson,te,,pn,,wo,,,,,,resprout,,,x,,,,,,
Crassula colorata (Nees) Ostenf.,te,,,an,,,,,,,seeder,,x,,,x,,,,
Crassula decumbens Thunb. var. decumbens,te,,,an,,,,,,,seeder,,,x,,,,,,
Crassula tetramera (Toelken) A.P.Druce & Sykes,te,,,an,,,,,,,seeder,x,x,x,,,,,,x
Cryptostylis ovata R.Br.,te,,pn,,,he,,ge,,,resprout,x,,,,,,x,,x
Cyanicula gemmata (Lindl.) Hopper & A.P.Br.,te,,pn,,,he,,ge,,,resprout,,,x,,x,,,,
Cyanicula sericea (Lindl.) Hopper & A.P.Br.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,
Cyrtostylis huegelii Endl.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,
Cyrtostylis robusta D.L.Jones & M.A.Clem.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,
Dampiera leptoclada Benth.,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Dampiera linearis R.Br.,te,,pn,,wo,,,,,,seeder,,x,,,,,,,
Darwinia citriodora (Endl.) Benth.,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Darwinia diosmoides (DC.) Benth.,te,,pn,,wo,,,,,,seeder,,x,,x,,,,,x
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",te,,,an,,he,,,,,seeder,x,,,,,,,,
Desmocladus fasciculatus (R.Br.) B.G.Briggs & L.A.S.Johnson,te,,pn,,,he,gr,,,,resprout,,x,x,,,,,,
* Disa bracteata Sw.,te,,pn,,,he,,ge,,,resprout,,,,,,,x,,
 Diuris littoralis D.L.Jones & C.J.French,te,,pn,,,he,,ge,,,resprout,x,,,,x,,x,,
Diuris longifolia R.Br.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,x
Dodonaea ceratocarpa Endl.,te,,pn,,wo,,,ge,,,seeder,,,,,x,x,,,
Drosera drummondii R.Br.,te,,pn,,,he,,ge,,vi,resprout,,,,,x,,,,x
Drosera erythrogyne N.G.Marchant & Lowrie,te,,pn,,,he,,ge,,vi,resprout,,,,,x,,,,x
Drosera erythrorhiza Lindl.,te,,pn,,,he,,ge,,,resprout,,,,,x,,x,,x
Drosera glanduligera Lehm.,te,,,an,,,,,,,seeder,x,x,x,,,,,,
Drosera huegelii Endl.,te,,pn,,,he,,ge,,,resprout,,,,,x,,,,
Drosera menziesii DC.,te,,pn,,,he,,ge,,,resprout,,,x,,,,x,,
Drosera modesta Diels,te,,pn,,,he,,ge,,,resprout,,x,x,,,x,,,
Drosera pallida Lindley,te,,pn,,,he,,ge,,vi,resprout,x,,,,,,,,
Drosera sp. Branched styles (S.C. Coffey 193) ,te,,pn,,,he,,ge,,,resprout,,,,x,,,,,
Drosera stolonifera Endl.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,x
Elythranthera brunonis (Endl.) A.S.George,te,,pn,,,he,,ge,,,resprout,,,x,,x,,,,
Eremosyne pectinata Endl. ,te,,,an,,,,,,,seeder,,,x,,x,,x,,
Eriochilus dilatatus Lindl.,te,,pn,,,he,,ge,,,resprout,x,x,,,,,,,
Eriochilus pulchellus Hopper & A.P.Br.,te,,pn,,,he,,ge,,,resprout,,,x,,,,,,
Eriochilus scaber Lindl.,te,,pn,,,he,,ge,,,resprout,,,x,,,,,,
Eucalyptus angulosa Schauer,te,,pn,,wo,,,,,,resprout,,,,,x,x,,,
Eucalyptus conferruminata D.J.Carr & S.G.M.Carr,te,,pn,,wo,,,,,,seeder,,,,,x,,,,x
Eucalyptus conferruminata D.J.Carr & S.G.M.Carr x cornuta Labill.,te,,pn,,wo,,,,,,resprout,,,x,,x,,,,
Eucalyptus cornuta Labill.,te,,pn,,wo,,,,,,seeder,,,x,,x,,x,,
Eucalyptus marginata Sm. subsp. marginata ,te,,pn,,wo,,,,,,resprout,,,x,,x,,x,,
Eucalyptus marginata Sm. x megacarpa F.Muell.,te,,pn,,wo,,,,,,resprout,,,,,x,,,,
Eucalyptus megacarpa F.Muell.,te,,pn,,wo,,,,,,seeder,,,,,x,x,,,x
Euchiton sphaericus (Willd.) Holub,te,,,an,,he,,,,,seeder,,,,,,x,,,
Eutaxia myrtifolia (Sm.) R.Br.,te,,pn,,wo,,,,,,seeder,x,x,x,,x,x,x,,x
Eutaxia parvifolia Benth.,te,,pn,,wo,,,,,,seeder,,,,,,,,,
Gastrolobium bilobum R.Br.,te,,pn,,wo,,,,,,seeder,,x,,,x,x,x,,x
Gastrolobium coriaceum (Sm.) G.Chandler & Crisp,te,,pn,,wo,,,,,,seeder,,,,,x,x,,,
Glischrocaryon aureum (Lindl.) Orchard,te,,pn,,,he,,,,,seeder,,,,,x,,,,
Gonocarpus nodulosus Nees,te,,,an,,,,,,,seeder,,,,,,,,,
Goodenia trinervis (Labill.) K.A.Sheph. ,te,,pn,,,he,,,,,seeder,,x,x,,x,,x,,x
Gyrostemon sheathii W.Fitzg.,te,,pn,,,he,,,,,seeder,,,x,,,x,,,
Haemodorum laxum R.Br.,te,,pn,,,he,,ge,,,resprout,,x,,,x,,,,
Haemodorum spicatum R.Br.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,
Hakea drupacea (C.F.Gaertn.) Roem. & Schult.,te,,pn,,wo,,,,,,seeder,,x,x,,x,x,,,x
Hakea elliptica (Sm.) R.Br.,te,,pn,,wo,,,,,,seeder,,,x,,x,,,,x
Hakea trifurcata (Sm.) R.Br.,te,,pn,,wo,,,,,,seeder,,,,,x,,x,,
Hibbertia cunninghamii Hook.,te,,pn,,wo,,,,,,seeder,x,,,,x,,,,
Hibbertia furfuracea (DC.) Benth. ,te,,pn,,wo,,,,,,seeder,,,,,,,,,x
Hibbertia hemignosta (Steud.) J.R.Wheeler,te,,pn,,wo,,,,,,seeder,,x,,,,,,,
Histiopteris incisa (Thunb.) J.Sm.,te,,pn,,,he,,,fe,,seeder,,,,,,x,,,
Homalosciadium homalocarpum (F.Muell.) H.Eichler,te,,,an,,,,,,,seeder,,,,,,,,,
Hydrocotyle alata A.Rich.,te,,,an,,,,,,,seeder,,x,,,x,x,,,
Hydrocotyle callicarpa Bunge,te,,,an,,,,,,,seeder,,,x,,x,x,,,
Hydrocotyle intertexta A.Rich.,te,,,an,,,,,,,seeder,,,,,x,,,,
Hydrocotyle serendipita A.J.Perkins,te,,,an,,,,,,,seeder,,,,,,x,,,
Hypocalymma angustifolium Endl.,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Isolepis cernua (Vahl) Roem. & Schult.,te,,,an,,,,,,,seeder,x,,x,,x,,,,
Isopogon formosus R.Br. subsp. formosus,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Isotropis cuneifolia (Sm.) Benth. ex B.D.Jackson,te,,pn,,,he,,,,,resprout,,,x,,x,,,,
Isotoma hypocrateriformis (R.Br.) Druce,te,,,an,,,,,,,seeder,,,,,x,x,,,
Jacksonia horrida DC.,te,,pn,,wo,,,,,,seeder,,,,,,x,,,
 Juncus meianthus K.L.Wilson,te,,pn,,,he,gr,,,,resprout,,,,,,x,,,
Kennedia coccinea Vent.,te,,pn,,,he,,,,vi,seeder,x,,x,,x,,,,
Kennedia glabrata Lindl.,te,,pn,,,he,,,,vi,seeder,,,x,,x,x,,,
Laxmannia jamesii Keighery,te,,pn,,,he,,,,,seeder,,x,,,,,,,
Lepidosperma angustatum R.Br.,te,,pn,,,he,gr,,,,resprout,,x,x,x,x,x,x,,x
Lepidosperma gracile R.Br.,te,,pn,,,he,gr,,,,resprout,x,,,,,,,,
Lepidosperma hopperi R.L.Barrett,te,,pn,,,he,gr,,,,resprout,x,x,x,,x,,,,x
Leptoceras menziesii R.Br.,te,,pn,,,he,,ge,,,resprout,x,,x,,x,,,,
Leptorhynchos scaber (Benth.) Haegi ,te,,,an,,,,,,,seeder,x,,,,,,,,
Leucopogon altissimus Hislop,te,,pn,,wo,,,,,,seeder,,,x,,x,,x,,
Leucopogon capitellatus DC.,te,,pn,,wo,,,,,,seeder,,,,,,,x,,
Leucopogon obovatus (Labill.) R.Br. subsp. obovatus,te,,pn,,wo,,,,,,seeder,x,x,x,,x,x,x,,
Leucopogon verticillatus R.Br.,te,,pn,,wo,,,,,,resprout,,,,,x,,,,
Levenhookia pusilla R.Br.,te,,,an,,,,,,,seeder,x,x,x,x,x,x,x,,
Lindsaea linearis Sw.,te,,pn,,,he,,,fe,,resprout,,,,,,,,,x
Lobelia anceps L.f.,te,,pn,,,he,,,,,seeder,,,,,,x,,,
Lobelia gibbosa Labill.,te,,,,,he,,,,,seeder,,,,,,,x,,
Machaerina laxa (Nees) T.Koyama ,te,,pn,,,he,gr,,,,resprout,,,,x,,,,,
Macrozamia riedlei (Gaudich.) C.A.Gardner,te,,pn,,wo,,,,,,resprout,x,,,,,,,,
Melaleuca croxfordiae Craven ,te,,pn,,wo,,,,,,seeder,,,,x,,,,,
Melaleuca diosmifolia Andrews,te,,pn,,wo,,,,,,seeder,,,x,,,,,,
Mesomelaena stygia (R.Br.) Nees.,te,,pn,,,he,,,,,resprout,,,,,x,,x,,
Microcorys virgata R.Br.,te,,pn,,wo,,,ge,,,seeder,,x,,x,,,,,
Microtis media R.Br. subsp. media,te,,pn,,,he,,,,,resprout,x,,x,x,,,,,
Millotia tenuifolia Cass.,te,,,an,,,,,,,seeder,,,x,,,,,,
Morelotia octandra (Nees) R.L.Barrett & J.J.Bruhl,te,,pn,,,he,gr,,,,resprout,,,,,x,,,,
Muehlenbeckia adpressa (Labill.) Meisn.,te,,pn,,,he,,,,vi,resprout,,,,,x,,,,
Neurachne alopecuroidea R.Br.,te,,pn,,,he,gr,,,,resprout,,x,x,,x,,,,
Nuytsia floribunda (Labill.) G.Don,te,,pn,,wo,,,,,,resprout,,x,,,,,,,
Olax phyllanthi (Labill.) R.Br.,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Olearia axillaris (DC.) F.Muell. ex Benth.,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Opercularia hispidula Endl.,te,,pn,,,he,,,,,seeder,x,,x,,x,x,,,
Ornduffia parnassifolia (Labill.) Tippery & Les,te,,pn,,,he,,,,,resprout,,,,,x,,,,
Patersonia occidentalis R.Br.,te,,pn,,,he,gr,,,,resprout,x,,,,x,,x,,
Pelargonium drummondii Turcz.,te,,pn,,,he,,,,,seeder,,,,,,x,,,
Philydrella pygmaea (R.Br.) Caruel ,te,,pn,,,he,,ge,,,resprout,,,,,x,,,,x
Phyllangium paradoxum (R.Br.) Dunlop,te,,,an,,,,,,,seeder,x,x,x,x,x,x,x,,x
Phylloglossum drummondii Kunze.,te,,pn,,,he,,ge,fe,,resprout,,x,x,,,,x,,
Pimelea imbricata R.Br. var. imbricata ,te,,pn,,wo,,,,,,seeder,,,x,,,x,x,,x
Pimelea longiflora R.Br.,te,,pn,,wo,,,,,,seeder,,,,,x,,,,
Pimelea rosea R.Br.,te,,pn,,wo,,,,,,resprout,x,,x,,x,,,,x
Platysace compressa (Labill.) C.Norman,te,,pn,,wo,,,,,,seeder,x,x,x,,x,x,,,x
Poa porphyroclados Nees,te,,pn,,,he,gr,,,,seeder,,,,,,x,,,
Poranthera florosa Halford & R.J.F.Hend.,te,,,an,,,,,,,seeder,,,x,,x,x,,,
Poranthera microphylla Brongn.,te,,,an,,,,,,,seeder,,,x,,,,,,
Prasophyllum elatum R.Br.,te,,pn,,,he,,ge,,,resprout,,,x,,x,,,,
Prasophyllum fimbria Rchb.f.,te,,pn,,,he,,ge,,,resprout,,,x,x,,,,,
Prasophyllum parvifolium Lindl.,te,,pn,,,he,,ge,,,resprout,x,,,,,,,,
Pteridium esculentum (G.Forst.) Cockayne,te,,pn,,,he,,,fe,,resprout,,,,,,x,,,
Pterostylis microphylla D.L.Jones & C.J.French,te,,pn,,,he,,ge,,,resprout,,x,x,,,,,,
Pterostylis turfosa Endl.,te,,pn,,,he,,ge,,,resprout,,,,,x,,,,
Pterostylis vittata Lindl.,te,,pn,,,he,,ge,,,resprout,,,,,x,,,,
Quinetia urvillei Cass.,te,,,an,,,,,,,seeder,x,,,,x,,,,
Rhodanthe citrina (Benth.) Paul G.Wilson,te,,,an,,,,,,,seeder,x,,,,,,x,,
Ricinocarpos glaucus Endl.,te,,pn,,wo,,,,,,seeder,,,x,,x,,,,
Rytidosperma caespitosum (Gaudich.) Connor & Edgar,te,,pn,,,he,gr,,,,seeder,x,,,,x,x,x,,
Scaevola globulifera Labill.,te,,pn,,wo,,,,,,seeder,,,,,x,,,,
Scaevola nitida R.Br.,te,,pn,,wo,,,,,,seeder,,,,,,x,,,
Schizaea fistulosa Labill.,te,,pn,,,he,,,fe,,seeder,,,,x,,,,,
Schoenus odontocarpus F.Muell.,te,,,an,,,,,,,seeder,x,,,,,x,,,
Schoenus pedicellatus (R.Br.) Benth.,te,,pn,,,he,gr,,,,resprout,,,,,x,,,,
Schoenus sp. Grassy (E. Gude & J. Harvey 250),te,,pn,,,he,gr,,,,resprout,,,,x,,,,,
Schoenus sp.,te,,pn,,,he,gr,,,,seeder,,x,,,,,,,
Senecio elegans L.,te,,,an,,he,,,,,seeder,,,,,,x,,,
Senecio hispidulus A.Rich.,te,,,an,,he,,,,,seeder,,,,,x,x,,,
Sida hookeriana Miq.,te,,pn,,wo,,,,,,seeder,,,,,,x,,,
Siloxerus humifusus Labill.,te,,,an,,,,,,,seeder,x,x,x,,x,x,x,,
Solanum symonii H. Eichler,te,,pn,,wo,,,,,,seeder,,,,,,x,,,
Spyridium globulosum (Labill.) Benth.,te,,pn,,wo,,,,,,seeder,,,,,,,x,,
Spyridium majoranifolium (Fenzl) Rye,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
Stackhousia monogyna Labill.,te,,pn,,,he,,,,,resprout,,,,x,,,,,
Stylidium adnatum R.Br.,te,,pn,,,he,,,,,seeder,,,,x,,x,,,
Stylidium calcaratum R.Br.,te,,,an,,,,,,,seeder,x,,,x,,,,,x
Stylidium diversifolium R.Br.,te,,pn,,,he,,,,,resprout,,,,,x,,,,
Stylidium ecorne (F.L.Erickson & J.H.Willis) P.G.Farrell & S.H.James,te,,,an,,,,,,,seeder,,,x,,x,,x,,
Stylidium hirsutum R.Br.,te,,pn,,,he,,,,,seeder,,,,,x,x,,,
Stylidium inundatum R.Br.,,aq,,an,,,,,,,seeder,,x,x,,,x,,,
Stylidium plantagineum Sonder,te,,pn,,,he,,,,,seeder,,,,,,x,,,
Stylidium spathulatum R.Br.,te,,pn,,,he,,,,,resprout,,x,,,x,,,,x
Stypandra glauca R.Br.,te,,pn,,,he,,,,,resprout,,x,x,,x,x,x,,x
Styphelia pallida (R.Br.) Spreng.,te,,pn,,,he,,,,,resprout,,,,,x,,,,
Synaphea polymorpha R.Br.,te,,pn,,wo,,,,,,seeder,,,,,,,x,,
Taxandria angustifolia (Schauer) J.R.Wheeler & N.G.Marchant,te,,pn,,wo,,,,,,seeder,,,x,,x,,,,
Taxandria marginata (Labill.) J.R.Wheeler & N.G.Marchant,te,,pn,,wo,,,,,,resprout,,x,x,x,x,x,x,,x
Thelymitra antennifera (Lindl.) Hook.f.,te,,pn,,,he,,ge,,,resprout,,,,,,,x,,
Thelymitra crinita Lindley,te,,pn,,,he,,ge,,,resprout,,,,x,,,x,,x
Thelymitra cucullata Rupp ,te,,pn,,,he,,ge,,,resprout,,,,x,,,,,x
Thelymitra flexuosa Endl.,te,,pn,,,he,,ge,,,resprout,x,x,,,,,,,
Thelymitra graminea Lindl.,te,,pn,,,he,,ge,,,resprout,x,x,x,,x,,,,x
Thelymitra granitora D.L.Jones & M.A.Clem.,te,,pn,,,he,,ge,,,resprout,,,,,,,,,
Thelymitra macrophylla Lindl.,te,,pn,,,he,,ge,,,resprout,,,,,x,,,,
Thelymitra vulgaris Jeanes,te,,pn,,,he,,ge,,,resprout,,,,,,,,,
Thomasia discolor Steud.,te,,pn,,wo,,,,,,seeder,,,,x,x,,,,
Thomasia purpurea (Dryand.) J.Gay,te,,pn,,wo,,,,,,seeder,,,x,,x,,,,
Thomasia solanacea (Sims) J.Gay,te,,pn,,wo,,,,,,seeder,,,,,,x,,,
Thryptomene saxicola (Hook.) Schauer,te,,pn,,wo,,,,,,seeder,,,,,,,x,,
Thysanotus isantherus R.Br.,te,,pn,,,he,,ge,,,resprout,,,,x,x,,x,,x
Thysanotus patersonii R.Br.,te,,pn,,,he,,ge,,vi,resprout,,,,,x,,,,
Thysanotus sparteus R.Br.,te,,pn,,,he,,ge,,,resprout,,,,,,x,,,
Thysanotus tenellus Endl.,te,,pn,,,he,,ge,,,resprout,,,,,x,,,,
Trachymene coerulea Graham,te,,pn,,,he,,,,,seeder,,,,,x,,,,
Trachymene pilosa Sm.,te,,,an,,,,,,,seeder,x,,,,x,,,,
Tribonanthes violacea Endl.,te,,pn,,,he,,ge,,,resprout,,x,x,,x,,,,x
"Trithuria austinensis D.D.Sokoloff, Remizowa, T.Macfarlane & Rudall",te,,,an,,,,,,,seeder,,,,,,x,,,
Utricularia menziesii R.Br.,te,,pn,,,he,,ge,,,resprout,,x,x,,x,,,,
Verticordia plumosa (Desf.) Druce var. plumosa,te,,pn,,wo,,,,,,seeder,,x,x,,x,x,x,,x
Wurmbea dioica (R.Br.) F.Muell. subsp. alba T.Macfarlane,te,,pn,,,he,,ge,,,resprout,,,,x,,,x,,
Xanthorrhoea platyphylla D.J.Bedford,te,,pn,,wo,,,,,,resprout,,,x,,x,x,,,
Xanthosia rotundifolia DC.,te,,pn,,wo,,,,,,resprout,,,x,x,x,,,,x
Xerochrysum wilsonii T.L.Collins,te,,,an,,he,,,,,seeder,,,,,,x,,,
