species,location_name,experiment_date,basis_of_record,germination (%),treatment,range of months,storage conditions,seed preparation
Sorghum plumosum,Katherine lab,1974/1975,lab,71,100 ppm Gibberellic acid,,,dehulled
Sorghum stipoideum,Katherine lab,1974/1975,lab,14.6,100 ppm Gibberellic acid,,,intact
Sorghum stipoideum,Katherine lab,1974/1975,lab,78.8,100 ppm Gibberellic acid,,,dehulled
Themeda australis,Katherine lab,1974/1975,lab,28.2,1000 ppm Gibberellic acid,,,intact
Themeda australis,Katherine lab,1974/1975,lab,70.5,1000 ppm Gibberellic acid,,,dehulled
Chrysopogon fallax,Katherine lab,1974/1975,lab,77.2,1000 ppm Gibberellic acid,,,intact
Chrysopogon fallax,Katherine lab,1974/1975,lab,86.3,1000 ppm Gibberellic acid,,,dehulled
Chrysopogon latifolius,Katherine lab,1974/1975,lab,69.7,1000 ppm Gibberellic acid,,,intact
Chrysopogon latifolius,Katherine lab,1974/1975,lab,85.9,1000 ppm Gibberellic acid,,,dehulled
Sorghum plumosum,Katherine lab,1974/1975,lab,62.8,1000 ppm Gibberellic acid,,,intact
Sorghum plumosum,Katherine lab,1974/1975,lab,94.8,1000 ppm Gibberellic acid,,,dehulled
Sorghum stipoideum,Katherine lab,1974/1975,lab,65.8,1000 ppm Gibberellic acid,,,intact
Sorghum stipoideum,Katherine lab,1974/1975,lab,89.7,1000 ppm Gibberellic acid,,,dehulled
Themeda australis,Katherine lab,1974/1975,lab,7,Potassium nitrate (0.2%),,,intact
Themeda australis,Katherine lab,1974/1975,lab,19.7,Potassium nitrate (0.2%),,,dehulled
Chrysopogon fallax,Katherine lab,1974/1975,lab,24.4,Potassium nitrate (0.2%),,,intact
Chrysopogon fallax,Katherine lab,1974/1975,lab,68.7,Potassium nitrate (0.2%),,,dehulled
Chrysopogon latifolius,Katherine lab,1974/1975,lab,26.9,Potassium nitrate (0.2%),,,intact
Chrysopogon latifolius,Katherine lab,1974/1975,lab,55.3,Potassium nitrate (0.2%),,,dehulled
Sorghum plumosum,Katherine lab,1974/1975,lab,6.9,Potassium nitrate (0.2%),,,intact
Sorghum plumosum,Katherine lab,1974/1975,lab,71.1,Potassium nitrate (0.2%),,,dehulled
Sorghum stipoideum,Katherine lab,1974/1975,lab,4.8,Potassium nitrate (0.2%),,,intact
Sorghum stipoideum,Katherine lab,1974/1975,lab,51.3,Potassium nitrate (0.2%),,,dehulled
Themeda australis,Katherine lab,1974/1975,lab,10.7,Water stratified (0-4ºC),,,intact
Themeda australis,Katherine lab,1974/1975,lab,,Water stratified (0-4ºC),,,dehulled
Chrysopogon fallax,Katherine lab,1974/1975,lab,23.6,Water stratified (0-4ºC),,,intact
Chrysopogon fallax,Katherine lab,1974/1975,lab,,Water stratified (0-4ºC),,,dehulled
Chrysopogon latifolius,Katherine lab,1974/1975,lab,18.1,Water stratified (0-4ºC),,,intact
Chrysopogon latifolius,Katherine lab,1974/1975,lab,,Water stratified (0-4ºC),,,dehulled
Sorghum plumosum,Katherine lab,1974/1975,lab,12,Water stratified (0-4ºC),,,intact
Sorghum plumosum,Katherine lab,1974/1975,lab,,Water stratified (0-4ºC),,,dehulled
Sorghum stipoideum,Katherine lab,1974/1975,lab,4.6,Water stratified (0-4ºC),,,intact
Sorghum stipoideum,Katherine lab,1974/1975,lab,,Water stratified (0-4ºC),,,dehulled
