ID,Ref,AusTraits_key,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments,site_name,soil type,lat/lon source,veg_stratum,MAP (mm),elevation (m),description,doi
11,2,Landsberg_1995,144.2,-37.9,0.0023,,172,2.1,0.0121,,165,48.7,D,Eucalyptus spp. (various),Australia,,"Brisbane Ranges, Rich""",Brisbane Ranges,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
12,2,Landsberg_1995,146.8,-36.5,0.00167,,108,1.4,0.0131,,133,55,D,Eucalyptus spp. (various),Australia,,"Stanley Plateau, Rich""",Stanley Plateau,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
13,2,Landsberg_1995,146.8,-36.7,0.00086,,130,1.8,0.0138,,90,40.4,D,Eucalyptus spp. (various),Australia,,"Mt Buffalo, Rich""",Mt Buffalo,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
14,2,Landsberg_1995,143,-33.7,0.00088,,370,3.7,0.0102,,228,38.3,D,Eucalyptus spp. (various),Australia,,"Lake Mungo, Poor""",Lake Mungo,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
15,2,Landsberg_1995,142,-35.5,0.00054,,348,3,0.0087,,255,42.2,D,Eucalyptus spp. (various),Australia,,"Wyperfeld, Poor""",Wyperfield,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
16,2,Landsberg_1995,147.5,-34.4,0.00133,,242,3.3,0.0135,,183,43.5,D,Eucalyptus spp. (various),Australia,,"Ingalba, Poor""",Ingalba,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
17,2,Landsberg_1995,149.1,-34.8,0.00126,,242,2.4,0.0106,,170,42.1,D,Eucalyptus spp. (various),Australia,,"Mundoonen, Poor""",Mundoonen,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
18,2,Landsberg_1995,144.2,-37.9,0.00177,,233,2.4,0.0105,,242,51,D,Eucalyptus spp. (various),Australia,,"Brisbane Ranges, Rich""",Brisbane Ranges,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
19,2,Landsberg_1995,146.8,-36.5,0.00272,,176,2.1,0.0122,,190,51.9,D,Eucalyptus spp. (various),Australia,,"Stanley Plateau, Poor""",Stanley Plateau,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
20,2,Landsberg_1995,146.8,-36.7,0.00253,,151,1.8,0.0122,,100,46,D,Eucalyptus spp. (various),Australia,,"Mt Buffalo, Poor""",Mt Buffalo,poor,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
21,3,Specht_1990,138.7,-35,,,250,2.04,0.0082,0.00044,,,D,Eucalyptus baxteri,Australia,,"Mt Lofty, SA""",Mt Lofty,,author,,,,,10.1071/BT9900459
22,3,Specht_1990,138.7,-35,,,227,2.13,0.0094,0.00042,,,D,Eucalyptus obliqua,Australia,,"Mt Lofty, SA""",Mt Lofty,,author,,,,,10.1071/BT9900459
23,3,Specht_1990,138.6,-35,,,263,3.07,0.0117,0.00042,,,D,Eucalyptus leuc,Australia,,"Green Hill, SA""",Green Hill,,author,,,,,10.1071/BT9900459
24,3,Specht_1990,138.6,-35,,,232,2.25,0.0097,0.00032,,,D,Eucalyptus microcarpa,Australia,,"Green Hill, SA""",Green Hill,,author,,,,,10.1071/BT9900459
25,3,Specht_1990,138.6,-35,,,164,3.09,0.0189,0.00028,,,D,Eucalyptus viminalis,Australia,,"Green Hill, SA""",Green Hill,,author,,,,,10.1071/BT9900459
26,3,Specht_1990,147.2,-33.9,,,278,3.58,0.0129,0.00047,,,D,Eucalyptus behriana,Australia,,"West Wyalong, NSW""",West Wyalong,,author,,,,,10.1071/BT9900459
27,3,Specht_1990,139.3,-34.4,,,385,4,0.0104,0.00063,,,D,Eucalyptus socialis,Australia,,"Blanchedown-Truro, SA""",Blanchedown-Truro,,author,,,,,10.1071/BT9900459
28,3,Specht_1990,141.2,-34.3,,,357,3.71,0.0104,0.0006,,,D,Eucalyptus socialis,Australia,,"Mildura, Vic""",Mildura,,author,,,,,10.1071/BT9900459
29,3,Specht_1990,139.8,-35.6,,,313,2.13,0.0068,0.00052,,,D,Eucalyptus diversifolia,Australia,,"Ki Ki, SA""",Ki Ki,,author,,,,,10.1071/BT9900459
30,3,Specht_1990,140.5,-36.1,,,333,3.3,0.0099,0.0005,,,D,Eucalyptus focunda,Australia,,"Dark Island Soak, SA""",Dark Island Soak,,author,,,,,10.1071/BT9900459
31,3,Specht_1990,140.5,-36.1,,,455,3.54,0.0078,0.00062,,,D,Eucalyptus incrassata,Australia,,"Dark Island Soak, SA""",Dark Island Soak,,author,,,,,10.1071/BT9900459
32,3,Specht_1990,145.7,-34,,,455,4.91,0.0108,0.00081,,,D,Eucalyptus incrassata,Australia,,"Goolgowi, NSW""",Goolgowi,,author,,,,,10.1071/BT9900459
33,3,Specht_1990,140,-34.2,,,455,3.28,0.0072,0.00081,,,D,Eucalyptus incrassata,Australia,,"Waikerie, SA""",Waikerie,,author,,,,,10.1071/BT9900459
34,3,Specht_1990,140,-34.2,,,357,3.64,0.0102,0.0006,,,D,Eucalyptus socialis,Australia,,"Waikerie, SA""",Waikerie,,author,,,,,10.1071/BT9900459
39,3,Specht_1990,138.7,-35,,,149,,0.0085,0.00035,,,D,Banksia marginata,Australia,,"Mt Lofty, SA, Mid-stratum""",Mt Lofty,,author,mid-stratum,,,,10.1071/BT9900459
40,3,Specht_1990,138.7,-35,,,149,,0.0108,0.00021,,,D,Leptospermum myrsinoides,Australia,,"Mt Lofty, SA, Mid-stratum""",Mt Lofty,,author,mid-stratum,,,,10.1071/BT9900459
41,3,Specht_1990,138.7,-35,,,455,,0.0055,0.00074,,,D,Lepidospermum semiteres,Australia,,"Mt Lofty, SA, ground-stratum""",Mt Lofty,,author,ground-stratum,,,,10.1071/BT9900459
42,3,Specht_1990,140.5,-36.1,,,313,,0.0054,0.00107,,,D,Hakea muellerana,Australia,,"Dark Island Soak, SA, Mid-stratum, Needle leaf ?""",Dark Island Soak,,author,mid-stratum,,,,10.1071/BT9900459
43,3,Specht_1990,140.5,-36.1,,,385,,0.0045,0.00067,,,M,Lepidosperma laterale,Australia,,"Dark Island Soak, SA, ground stratum""",Dark Island Soak,,author,ground-stratum,,,,10.1071/BT9900459
44,3,Specht_1990,140.5,-36.1,,,222,,0.0063,0.00062,,,D,Banksia marginata,Australia,,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,,author,upper stratum,,,heathland,10.1071/BT9900459
45,3,Specht_1990,140.5,-36.1,,,263,,0.0067,0.0005,,,D,Banksia ornata,Australia,,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,,author,upper stratum,,,heathland,10.1071/BT9900459
46,3,Specht_1990,140.5,-36.1,,,179,,0.0143,0.00038,,,D,Phyllota remota,Australia,,"Dark Island Soak, SA, mid stratum, heathland""",Dark Island Soak,,author,mid-stratum,,,heathland,10.1071/BT9900459
47,3,Specht_1990,140.5,-36.1,,,476,,0.0055,0.00071,,,M,Hyperlaena fastigiata,Australia,,"Dark Island Soak, SA, lower stratum, heathland""",Dark Island Soak,,author,lower stratum,,,heathland,10.1071/BT9900459
48,3,Specht_1990,140.5,-36.1,,,435,,0.0057,0.00065,,,M,Lepidosperma carphoides,Australia,,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,,author,upper stratum,,,heathland,10.1071/BT9900459
49,3,Specht_1990,140.5,-36.1,,,435,,0.0074,0.0007,,,M,Lepidosperma laterale,Australia,,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,,author,upper stratum,,,heathland,10.1071/BT9900459
35,4,Koerner_1985,148.59,-36.34,0.00268,,297,3.09,0.0104,0.00062,,,D,Eucalyptus pauciflora,Australia,,"Waste Point,NSW, Alt=940m""",Waste Point,,AusTraits,,,940,"dry, open, sclerophyll woodland",10.1007/BF00378313
36,4,Koerner_1985,148.56,-36.35,0.00242,,308,3.23,0.0105,0.00061,,,D,Eucalyptus pauciflora,Australia,,"Sawpit Creek, NSW, Alt=1215m""",Sawpit Creek,,AusTraits,,,1215,sclerophyll fores,10.1007/BF00378313
37,4,Koerner_1985,148.47,-36.37,0.0009,,324,3.99,0.0123,0.00069,,,D,Eucalyptus pauciflora,Australia,,"Daner's Gap, NSW, Alt=1645m""",Daner's Gap,,AusTraits,,,1645,subalpine shrub and tussock grassland,10.1007/BF00378313
38,4,Koerner_1985,148.39,-36.41,0.00088,,358,4.07,0.0114,0.00068,,,D,Eucalyptus pauciflora,Australia,,"Mount Perisher, NSW, Alt=2040m""",Mount Perisher,,AusTraits,,,2040,alpine boundary,10.1007/BF00378313
52,6,Schulze_1994,,,,,50,,0.0294,,,,D,Gossypium hirstum,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
59,6,Schulze_1994,,,,,60,,0.0278,,,,P,Oryza sativa,Australia,,Cereals,,,,,,,Cereals,10.1146/annurev.es.25.110194.003213
61,6,Schulze_1994,,,,,43,,0.0483,,,,P,Triticum aestivum,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
62,6,Schulze_1994,,,,,33,,0.041,,,,P,Triticum aestivum,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
63,6,Schulze_1994,,,,,32,,0.0343,,,,P,Triticum aestivum,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
64,6,Schulze_1994,,,,,37,,0.031,,,,P,Triticum aestivum,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
65,6,Schulze_1994,,,,,38,,0.0285,,,,P,Zea Mays,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
125,6,Schulze_1994,,,,,204,,0.0151,,,,D,Eucalyptus blakeyi,Australia,,Temperate evergreen broadleaf tree,,,,,,,Temperate evergreen broadleaf tree,10.1146/annurev.es.25.110194.003213
126,6,Schulze_1994,,,,,323,,0.0116,,,,D,Eucalyptus pauciflora,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
141,6,Schulze_1994,,,,,154,,0.0128,,,,D,Mangifera indica,Australia,,Tropical Fruit Plantations,,,,,,,Tropical Fruit Plantations,10.1146/annurev.es.25.110194.003213
142,6,Schulze_1994,,,,,120,,0.0144,,,,D,Anarcardium occidentale,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
143,6,Schulze_1994,,,,,111,,0.012,,,,P,Saccharum officinarum,Australia,,Sugarcane,,,,,,,Sugarcane,10.1146/annurev.es.25.110194.003213
146,6,Schulze_1994,,,,,101,,0.0162,,,,*,40 Tree Species,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
148,6,Schulze_1994,,,,,52,,0.0189,,,,*,74 Tree Species,Australia,,,,,,,,,,10.1146/annurev.es.25.110194.003213
154,7,Specht_1988,140.5,-36.1,,,380,,0.0106,0.00068,,,D,Allocasuarina pusilla,Australia,,"Dark Island Soak, SA, Jan 1982, Mid-stratum, Cylindrical leav""",Dark Island Soak,,author,mid-stratum,,,,book
155,7,Specht_1988,140.5,-36.1,,,400,,0.009,0.0003,,,D,Leptospermum myrsinoides,Australia,,"Dark Island Soak, SA, Jan 1982, Mid-stratum""",Dark Island Soak,,author,mid-stratum,,,,
156,7,Specht_1988,140.5,-36.1,,,550,,0.013,0.0005,,,D,Spyridium subochreatum,Australia,,"Dark Island Soak, SA, Jan 1982, Mid-stratum, inrolled leaves""",Dark Island Soak,,author,mid-stratum,,,,
157,7,Specht_1988,140.5,-36.1,,,470,,0.0104,0.00044,,,D,Calytrix alpestris,Australia,,"Dark Island Soak, SA, Jan 1982, ground-stratum, dicot, Cylind""",Dark Island Soak,,author,ground stratum,,,,
158,7,Specht_1988,140.5,-36.1,,,190,,0.0108,0.00045,,,D,Hibbertia Riparia,Australia,,"Dark Island Soak, SA, Jan 1982, ground-stratum, dicot""",Dark Island Soak,,author,ground stratum,,,,
159,7,Specht_1988,140.5,-36.1,,,470,,0.0105,0.00097,,,D,Hibbertia sericea,Australia,,"Dark Island Soak, SA, Jan 1982, ground-stratum, dicot, inroll""",Dark Island Soak,,author,ground stratum,,,,
160,7,Specht_1988,140.5,-36.1,,,480,,0.0055,0.00071,,,M,Hypolanea fastigiata,Australia,,"Dark Island Soak, SA, Jan 1982, ground-stratum, monocot, cyl.""",Dark Island Soak,,author,ground stratum,,,,
161,7,Specht_1988,140.5,-36.1,,,440,,0.0057,0.00065,,,M,Lepidosperma carphoides,Australia,,"Dark Island Soak, SA, Jan 1982, ground-stratum, monocot, cyl.""",Dark Island Soak,,author,ground stratum,,,,
162,7,Specht_1988,140.5,-36.1,,,440,,0.0074,0.0007,,,M,Lepidosperma laterale,Australia,,"Dark Island Soak, SA, Jan 1982, ground-stratum, monocot, cyl.""",Dark Island Soak,,author,ground stratum,,,,
163,7,Specht_1988,153,-26.9,,,190,,0.0063,0.00048,,,D,Banksia aemula,Australia,,"Beerwah, Qld, wet heathland, old leaves,emergent stratum""",Beerwah,,author,emergent stratum,,,,
164,7,Specht_1988,153,-26.9,,,220,,0.006,0.00046,,,D,Banksia aemula,Australia,,"Beerwah, Qld, wet heathland, new leaves, emergent stratum""",Beerwah,,author,emergent stratum,,,,
165,7,Specht_1988,153,-26.9,,,200,,0.0069,0.00041,,,D,Banksia oblongifolia,Australia,,"Beerwah, Qld, wet heathland, new leaves, upper stratum""",Beerwah,,author,upper statum,,,,
166,7,Specht_1988,153,-26.9,,,210,,0.0056,0.00041,,,D,Banksia oblongifolia,Australia,,"Beerwah, Qld, wet heathland, old leaves (first sample), upper""",Beerwah,,author,upper statum,,,,
167,7,Specht_1988,153,-26.9,,,210,,0.0045,0.00041,,,D,Banksia oblongifolia,Australia,,"Beerwah, Qld, wet heathland, old leaves (second sample), uppe""",Beerwah,,author,upper statum,,,,
168,7,Specht_1988,153,-26.9,,,320,,0.0045,0.00097,,,D,Banksia robur,Australia,,"Beerwah, Qld, wet heathland, upper stratum""",Beerwah,,author,upper statum,,,,
169,7,Specht_1988,153,-26.9,,,440,,0.0081,0.00124,,,D,Hakea gibbosa,Australia,,"Beerwah, Qld, wet heathland, upper stratum, cyl. leaves""",Beerwah,,author,upper statum,,,,
170,7,Specht_1988,153,-26.9,,,440,,0.0056,0.00165,,,M,Xanthorrhoea resinosa,Australia,,"Beerwah, Qld, wet heathland, upper stratum, cyl. leaves""",Beerwah,,author,upper statum,,,,
171,7,Specht_1988,153,-26.9,,,360,,0.0091,0.00036,,,D,Melaleuca sieberi,Australia,,"Beerwah, Qld, wet heathland, upper stratum""",Beerwah,,author,upper statum,,,,
172,7,Specht_1988,153,-26.9,,,570,,0.0076,0.00063,,,D,Melaleuca nodosa,Australia,,"Beerwah, Qld, wet heathland, upper stratum""",Beerwah,,author,upper statum,,,,
173,7,Specht_1988,153,-26.9,,,110,,0.0173,0.00026,,,D,Pultenaea myrtoides,Australia,,"Beerwah, Qld, wet heathland, mid stratum""",Beerwah,,author,mid-stratum,,,,
174,7,Specht_1988,153,-26.9,,,460,,0.0046,0.00083,,,M,Empodisma minus,Australia,,"Beerwah, Qld, wet heathland, ground stratum, cyl. leaves""",Beerwah,,author,ground stratum,,,,
175,7,Specht_1988,153,-26.9,,,320,,0.0047,0.0007,,,M,Schoenus spp.,Australia,,"Beerwah, Qld, wet heathland, ground stratum, cyl. leaves""",Beerwah,,author,ground stratum,,,,
176,7,Specht_1988,147.2,-33.9,,,280,,0.0129,0.00047,,,D,Euc. behriana,Australia,,"Mallee open scrub, West Wyalong, NSW, upper stratum""",West Wyalong,,author,upper statum,,,mallee,
177,7,Specht_1988,147.2,-33.9,,,560,,0.013,0.00045,,,D,Melaleuca lanceolata,Australia,,"Mallee open scrub, West Wyalong, NSW, mid stratum""",West Wyalong,,author,mid-stratum,,,mallee,
178,7,Specht_1988,147.2,-33.9,,,310,,0.01,0.00041,,,D,Cassinia laevis,Australia,,"Mallee open scrub, West Wyalong, NSW, mid stratum""",West Wyalong,,author,mid-stratum,,,mallee,
179,7,Specht_1988,140.5,-36.1,,,460,,0.0125,0.00074,,,D,Melaleuca uncinata,Australia,,"Dark Island Soak, SA, Jan 1982, mid stratum,cyl. leaves""",Dark Island Soak,,author,mid-stratum,,,,
180,7,Specht_1988,140.5,-36.1,,,310,,0.0054,0.00107,,,D,Hakea muellerana,Australia,,"Dark Island Soak, SA, Jan 1982, mid stratum,cyl. leaves""",Dark Island Soak,,author,mid-stratum,,,,
181,7,Specht_1988,140.5,-36.1,,,270,,0.0134,0.00032,,,D,Pultenaea tenuifolia,Australia,,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,,author,ground stratum,,,,
182,7,Specht_1988,140.5,-36.1,,,240,,0.0095,0.00036,,,D,Calytrix tetragona,Australia,,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,,author,ground stratum,,,,
183,7,Specht_1988,140.5,-36.1,,,350,,0.0094,0.00049,,,D,Baeckea crassifolia,Australia,,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,,author,ground stratum,,,,
184,7,Specht_1988,140.5,-36.1,,,270,,0.0063,0.00021,,,D,Brachyloma ericoides,Australia,,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,,author,ground stratum,,,,
185,7,Specht_1988,140.5,-36.1,,,380,,0.0045,0.00067,,,M,Lepidosperma laterale,Australia,,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, m""",Dark Island Soak,,author,ground stratum,,,,
248,13,Landsberg_1990,149.2,-35.3,,,237,,0.0145,,,48.2,D,Eucalyptus blakelyi,Australia,,"Hall, ACT, H=Healthy, D=dieback, 13 Sep 1982, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
249,13,Landsberg_1990,149.2,-35.3,,,212,,0.0156,,,50.2,D,Eucalyptus blakelyi,Australia,,"13 Sep 1982, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
250,13,Landsberg_1990,149.2,-35.3,,,241,,0.0145,,,46.9,D,Eucalyptus blakelyi,Australia,,"3 Oct 82, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
251,13,Landsberg_1990,149.2,-35.3,,,211,,0.0158,,,48.3,D,Eucalyptus blakelyi,Australia,,"3 Oct 82, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
252,13,Landsberg_1990,149.2,-35.3,,,226,,0.0153,,,49.7,D,Eucalyptus blakelyi,Australia,,"2 Nov 82, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
253,13,Landsberg_1990,149.2,-35.3,,,177,,0.0185,,,54,D,Eucalyptus blakelyi,Australia,,"2 Nov 82, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
254,13,Landsberg_1990,149.2,-35.3,,,175,,0.0171,,,56.4,D,Eucalyptus blakelyi,Australia,,"2 Dec 82, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
255,13,Landsberg_1990,149.2,-35.3,,,144,,0.0202,,,59.8,D,Eucalyptus blakelyi,Australia,,"2 Dec 82, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
256,13,Landsberg_1990,149.2,-35.3,,,190,,0.0147,,,56,D,Eucalyptus blakelyi,Australia,,"27 Dec 82, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
257,13,Landsberg_1990,149.2,-35.3,,,164,,0.0176,,,57.4,D,Eucalyptus blakelyi,Australia,,"27 Dec 82, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
258,13,Landsberg_1990,149.2,-35.3,,,210,,0.0144,,,53.8,D,Eucalyptus blakelyi,Australia,,"25 Jan 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
259,13,Landsberg_1990,149.2,-35.3,,,162,,0.0165,,,58,D,Eucalyptus blakelyi,Australia,,"25 Jan 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
260,13,Landsberg_1990,149.2,-35.3,,,221,,0.0143,,,50,D,Eucalyptus blakelyi,Australia,,"24 Feb 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
261,13,Landsberg_1990,149.2,-35.3,,,182,,0.016,,,51.4,D,Eucalyptus blakelyi,Australia,,"24 Feb 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
262,13,Landsberg_1990,149.2,-35.3,,,217,,0.0147,,,50.1,D,Eucalyptus blakelyi,Australia,,"9 Mar 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
263,13,Landsberg_1990,149.2,-35.3,,,179,,0.0164,,,52.6,D,Eucalyptus blakelyi,Australia,,"9 Mar 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
264,13,Landsberg_1990,149.2,-35.3,,,227,,0.0159,,,51,D,Eucalyptus blakelyi,Australia,,"7 Apr 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
265,13,Landsberg_1990,149.2,-35.3,,,186,,0.0173,,,54,D,Eucalyptus blakelyi,Australia,,"7 Apr 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
266,13,Landsberg_1990,149.2,-35.3,,,222,,0.0163,,,51,D,Eucalyptus blakelyi,Australia,,"4 May 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
267,13,Landsberg_1990,149.2,-35.3,,,191,,0.0185,,,52.2,D,Eucalyptus blakelyi,Australia,,"4 May 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
268,13,Landsberg_1990,149.2,-35.3,,,213,,0.0173,,,52.8,D,Eucalyptus blakelyi,Australia,,"14 Jun 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
269,13,Landsberg_1990,149.2,-35.3,,,195,,0.019,,,53.1,D,Eucalyptus blakelyi,Australia,,"14 Jun 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
270,13,Landsberg_1990,149.2,-35.3,,,234,,0.0178,,,48.9,D,Eucalyptus blakelyi,Australia,,"25 Jul 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
271,13,Landsberg_1990,149.2,-35.3,,,202,,0.0192,,,50.5,D,Eucalyptus blakelyi,Australia,,"25 Jul 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
272,13,Landsberg_1990,149.2,-35.3,,,225,,0.0176,,,51.8,D,Eucalyptus blakelyi,Australia,,"7 Sep 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
273,13,Landsberg_1990,149.2,-35.3,,,189,,0.0186,,,53.8,D,Eucalyptus blakelyi,Australia,,"7 Sep 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
274,13,Landsberg_1990,149.2,-35.3,,,166,,0.0218,,,60.2,D,Eucalyptus blakelyi,Australia,,"12 Nov 83, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
275,13,Landsberg_1990,149.2,-35.3,,,126,,0.0244,,,62.8,D,Eucalyptus blakelyi,Australia,,"12 Nov 83, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
276,13,Landsberg_1990,149.2,-35.3,,,150,,0.0175,,,61.2,D,Eucalyptus blakelyi,Australia,,"5 Jan 84, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
277,13,Landsberg_1990,149.2,-35.3,,,117,,0.0189,,,64,D,Eucalyptus blakelyi,Australia,,"5 Jan 84, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
278,13,Landsberg_1990,149.2,-35.3,,,175,,0.0159,,,57.5,D,Eucalyptus blakelyi,Australia,,"1 Mar 84, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
279,13,Landsberg_1990,149.2,-35.3,,,165,,0.0159,,,55.1,D,Eucalyptus blakelyi,Australia,,"1 Mar 84, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
280,13,Landsberg_1990,149.2,-35.3,,,193,,0.016,,,53.7,D,Eucalyptus blakelyi,Australia,,"11 May 84, H""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
281,13,Landsberg_1990,149.2,-35.3,,,167,,0.0162,,,54.7,D,Eucalyptus blakelyi,Australia,,"11 May 84, D""","Hall, ACT",,author,,,,pastoral property,10.1111/j.1442-9993.1990.tb01023.x
