ID,species,Leaf No.,leaf_fresh_mass_g,leaf_dry_mass_g,leaf_area_cm2,leaf_thickness_um,leaf_location,status
2c,Hedera Helix L.,1,0.053,0.013,2.6,347,tree,non-native
2c,Hedera Helix L.,2,0.174,0.040,9.5,193,tree,non-native
2c,Hedera Helix L.,3,0.288,0.063,16.9,198,tree,non-native
2c,Hedera Helix L.,4,0.492,0.110,27.0,215,tree,non-native
2c,Hedera Helix L.,5,0.403,0.097,21.8,233,tree,non-native
2c,Hedera Helix L.,6,0.619,0.156,32.7,207,tree,non-native
2c,Hedera Helix L.,7,0.626,0.178,31.1,242,tree,non-native
2c,Hedera Helix L.,8,0.264,0.053,15.7,182,tree,non-native
2c,Hedera Helix L.,9,0.427,0.092,23.5,220,tree,non-native
2c,Hedera Helix L.,10,0.474,0.117,26.4,223,tree,non-native
3a,Betula jacquemontii Spach.,1,0.996,0.401,51.5,248,tree,non-native
3a,Betula jacquemontii Spach.,2,1.208,0.507,55.4,333,tree,non-native
3a,Betula jacquemontii Spach.,3,1.344,0.569,62.0,327,tree,non-native
3a,Betula jacquemontii Spach.,4,1.009,0.395,47.1,320,tree,non-native
3a,Betula jacquemontii Spach.,5,0.600,0.232,28.6,365,tree,non-native
3a,Betula jacquemontii Spach.,6,0.921,0.396,41.6,302,tree,non-native
3a,Betula jacquemontii Spach.,7,0.657,0.263,35.8,273,tree,non-native
3a,Betula jacquemontii Spach.,8,0.946,0.364,43.9,233,tree,non-native
3a,Betula jacquemontii Spach.,9,0.953,0.395,41.5,377,tree,non-native
3a,Betula jacquemontii Spach.,10,0.213,0.092,11.0,275,tree,non-native
3b,Betula jacquemontii Spach.,1,0.469,0.186,21.1,350,tree,non-native
3b,Betula jacquemontii Spach.,2,1.100,0.420,53.3,233,tree,non-native
3b,Betula jacquemontii Spach.,3,1.000,0.427,42.9,322,tree,non-native
3b,Betula jacquemontii Spach.,4,1.016,0.424,49.3,288,tree,non-native
3b,Betula jacquemontii Spach.,5,0.732,0.289,36.4,268,tree,non-native
3b,Betula jacquemontii Spach.,6,0.513,0.211,28.1,230,tree,non-native
3b,Betula jacquemontii Spach.,7,0.552,0.222,29.6,272,tree,non-native
3b,Betula jacquemontii Spach.,8,0.658,0.269,36.7,277,tree,non-native
3b,Betula jacquemontii Spach.,9,0.386,0.158,21.6,257,tree,non-native
3b,Betula jacquemontii Spach.,10,0.599,0.261,27.9,272,tree,non-native
3c,Betula jacquemontii Spach.,1,0.583,0.246,30.4,325,tree,non-native
3c,Betula jacquemontii Spach.,2,1.249,0.535,53.6,240,tree,non-native
3c,Betula jacquemontii Spach.,3,0.997,0.416,47.4,295,tree,non-native
3c,Betula jacquemontii Spach.,4,0.536,0.213,23.8,342,tree,non-native
3c,Betula jacquemontii Spach.,5,0.764,0.322,34.9,362,tree,non-native
3c,Betula jacquemontii Spach.,6,1.122,0.470,47.9,327,tree,non-native
3c,Betula jacquemontii Spach.,7,0.734,0.310,33.0,312,tree,non-native
3c,Betula jacquemontii Spach.,8,0.956,0.382,46.7,303,tree,non-native
3c,Betula jacquemontii Spach.,9,1.391,0.562,66.0,337,tree,non-native
3c,Betula jacquemontii Spach.,10,0.797,0.335,40.2,267,tree,non-native
4a,Melia azedarach L. var. australasica,1,0.073,0.025,5.1,133,tree,Australian_species
4a,Melia azedarach L. var. australasica,2,0.090,0.030,6.0,127,tree,Australian_species
4a,Melia azedarach L. var. australasica,3,0.085,0.028,5.9,128,tree,Australian_species
4a,Melia azedarach L. var. australasica,4,0.135,0.043,10.1,125,tree,Australian_species
4a,Melia azedarach L. var. australasica,5,0.132,0.044,9.6,133,tree,Australian_species
4a,Melia azedarach L. var. australasica,6,0.135,0.044,9.7,140,tree,Australian_species
4a,Melia azedarach L. var. australasica,7,0.159,0.052,11.5,148,tree,Australian_species
4a,Melia azedarach L. var. australasica,8,0.119,0.038,8.2,140,tree,Australian_species
4a,Melia azedarach L. var. australasica,9,0.046,0.015,3.6,113,tree,Australian_species
4a,Melia azedarach L. var. australasica,10,0.119,0.040,8.4,140,tree,Australian_species
4b,Melia azedarach L. var. australasica,1,0.146,0.050,9.0,150,tree,Australian_species
4b,Melia azedarach L. var. australasica,2,0.084,0.029,5.6,138,tree,Australian_species
4b,Melia azedarach L. var. australasica,3,0.131,0.044,8.2,160,tree,Australian_species
4b,Melia azedarach L. var. australasica,4,0.105,0.035,6.5,143,tree,Australian_species
4b,Melia azedarach L. var. australasica,5,0.161,0.053,9.6,162,tree,Australian_species
4b,Melia azedarach L. var. australasica,6,0.200,0.067,11.1,162,tree,Australian_species
4b,Melia azedarach L. var. australasica,7,0.157,0.050,9.8,163,tree,Australian_species
4b,Melia azedarach L. var. australasica,8,0.168,0.053,9.9,155,tree,Australian_species
4b,Melia azedarach L. var. australasica,9,0.130,0.041,8.1,158,tree,Australian_species
4b,Melia azedarach L. var. australasica,10,0.195,0.061,11.7,160,tree,Australian_species
4c,Melia azedarach L. var. australasica,1,0.151,0.053,8.1,173,tree,Australian_species
4c,Melia azedarach L. var. australasica,2,0.098,0.034,5.5,163,tree,Australian_species
4c,Melia azedarach L. var. australasica,3,0.177,0.060,10.3,178,tree,Australian_species
4c,Melia azedarach L. var. australasica,4,0.261,0.089,15.2,195,tree,Australian_species
4c,Melia azedarach L. var. australasica,5,0.268,0.091,16.5,162,tree,Australian_species
4c,Melia azedarach L. var. australasica,6,0.131,0.046,7.3,168,tree,Australian_species
4c,Melia azedarach L. var. australasica,7,0.219,0.076,12.0,183,tree,Australian_species
4c,Melia azedarach L. var. australasica,8,0.344,0.120,18.8,200,tree,Australian_species
4c,Melia azedarach L. var. australasica,9,0.129,0.045,7.2,170,tree,Australian_species
4c,Melia azedarach L. var. australasica,10,0.078,0.026,4.6,162,tree,Australian_species
5a,Populus nigra L. 'Italica',1,0.733,0.247,42.1,240,tree,non-native
5a,Populus nigra L. 'Italica',2,0.594,0.199,34.6,155,tree,non-native
5a,Populus nigra L. 'Italica',3,0.518,0.174,30.3,153,tree,non-native
5a,Populus nigra L. 'Italica',4,0.424,0.141,24.7,230,tree,non-native
5a,Populus nigra L. 'Italica',5,0.235,0.074,13.4,188,tree,non-native
5a,Populus nigra L. 'Italica',6,0.340,0.109,19.1,197,tree,non-native
5a,Populus nigra L. 'Italica',7,0.101,0.031,5.8,215,tree,non-native
5a,Populus nigra L. 'Italica',8,0.945,0.316,50.8,187,tree,non-native
5a,Populus nigra L. 'Italica',9,0.876,0.295,46.8,153,tree,non-native
5a,Populus nigra L. 'Italica',10,0.909,0.301,48.5,183,tree,non-native
5b,Populus nigra L. 'Italica',1,0.738,0.240,43.1,158,tree,non-native
5b,Populus nigra L. 'Italica',2,0.671,0.224,38.9,147,tree,non-native
5b,Populus nigra L. 'Italica',3,0.384,0.128,21.8,238,tree,non-native
5b,Populus nigra L. 'Italica',4,0.488,0.167,29.2,155,tree,non-native
5b,Populus nigra L. 'Italica',5,0.438,0.148,25.2,202,tree,non-native
5b,Populus nigra L. 'Italica',6,0.221,0.069,12.6,227,tree,non-native
5b,Populus nigra L. 'Italica',7,0.171,0.055,9.8,198,tree,non-native
5b,Populus nigra L. 'Italica',8,0.343,0.112,18.6,197,tree,non-native
5b,Populus nigra L. 'Italica',9,0.074,0.024,4.1,225,tree,non-native
5b,Populus nigra L. 'Italica',10,0.464,0.156,27.0,165,tree,non-native
5c,Populus nigra L. 'Italica',1,0.606,0.200,35.8,172,tree,non-native
5c,Populus nigra L. 'Italica',2,0.525,0.179,31.4,142,tree,non-native
5c,Populus nigra L. 'Italica',3,0.460,0.152,27.6,162,tree,non-native
5c,Populus nigra L. 'Italica',4,0.396,0.130,23.6,192,tree,non-native
5c,Populus nigra L. 'Italica',5,0.428,0.142,25.0,178,tree,non-native
5c,Populus nigra L. 'Italica',6,0.116,0.036,6.8,182,tree,non-native
5c,Populus nigra L. 'Italica',7,0.219,0.069,12.9,207,tree,non-native
5c,Populus nigra L. 'Italica',8,0.360,0.117,20.8,200,tree,non-native
5c,Populus nigra L. 'Italica',9,0.301,0.100,17.5,198,tree,non-native
5c,Populus nigra L. 'Italica',10,0.040,0.013,2.2,245,tree,non-native
6a,Alnus rhombifolia Nutt.,1,2.063,0.882,89.5,212,tree,non-native
6a,Alnus rhombifolia Nutt.,2,0.884,0.368,37.6,273,tree,non-native
6a,Alnus rhombifolia Nutt.,3,1.309,0.528,60.1,192,tree,non-native
6a,Alnus rhombifolia Nutt.,4,1.650,0.669,80.2,193,tree,non-native
6a,Alnus rhombifolia Nutt.,5,1.572,0.607,74.1,203,tree,non-native
6a,Alnus rhombifolia Nutt.,6,1.219,0.494,55.2,258,tree,non-native
6a,Alnus rhombifolia Nutt.,7,0.754,0.257,39.6,242,tree,non-native
6a,Alnus rhombifolia Nutt.,8,0.813,0.315,43.9,187,tree,non-native
6a,Alnus rhombifolia Nutt.,9,0.890,0.374,43.0,247,tree,non-native
6a,Alnus rhombifolia Nutt.,10,1.154,0.431,55.6,190,tree,non-native
6b,Alnus rhombifolia Nutt.,1,0.319,0.111,14.8,308,tree,non-native
6b,Alnus rhombifolia Nutt.,2,1.062,0.418,46.9,197,tree,non-native
6b,Alnus rhombifolia Nutt.,3,2.127,0.913,96.9,193,tree,non-native
6b,Alnus rhombifolia Nutt.,4,0.933,0.375,44.8,222,tree,non-native
6b,Alnus rhombifolia Nutt.,5,0.657,0.259,34.7,205,tree,non-native
6b,Alnus rhombifolia Nutt.,6,1.652,0.702,79.0,195,tree,non-native
6b,Alnus rhombifolia Nutt.,7,1.350,0.558,64.2,188,tree,non-native
6b,Alnus rhombifolia Nutt.,8,1.044,0.437,51.1,213,tree,non-native
6b,Alnus rhombifolia Nutt.,9,0.490,0.184,29.1,217,tree,non-native
6b,Alnus rhombifolia Nutt.,10,1.213,0.488,59.2,212,tree,non-native
6c,Alnus rhombifolia Nutt.,1,0.483,0.193,22.6,325,tree,non-native
6c,Alnus rhombifolia Nutt.,2,1.784,0.746,83.9,218,tree,non-native
6c,Alnus rhombifolia Nutt.,3,0.882,0.356,38.7,302,tree,non-native
6c,Alnus rhombifolia Nutt.,4,1.542,0.640,77.4,177,tree,non-native
6c,Alnus rhombifolia Nutt.,5,1.740,0.719,88.3,197,tree,non-native
6c,Alnus rhombifolia Nutt.,6,0.769,0.299,45.4,182,tree,non-native
6c,Alnus rhombifolia Nutt.,7,1.198,0.489,60.6,210,tree,non-native
6c,Alnus rhombifolia Nutt.,8,0.832,0.329,50.9,193,tree,non-native
6c,Alnus rhombifolia Nutt.,9,1.499,0.632,73.6,207,tree,non-native
6c,Alnus rhombifolia Nutt.,10,1.400,0.584,68.3,198,tree,non-native
7a,Ginkgo biloba L.,1,1.247,0.398,40.2,350,tree,non-native
7a,Ginkgo biloba L.,2,0.805,0.257,27.3,330,tree,non-native
7a,Ginkgo biloba L.,3,0.457,0.138,16.6,313,tree,non-native
7a,Ginkgo biloba L.,4,0.786,0.223,28.6,305,tree,non-native
7a,Ginkgo biloba L.,5,1.016,0.307,36.0,313,tree,non-native
7a,Ginkgo biloba L.,6,0.775,0.234,26.7,310,tree,non-native
7a,Ginkgo biloba L.,7,0.831,0.253,29.9,315,tree,non-native
7a,Ginkgo biloba L.,8,0.795,0.237,30.0,312,tree,non-native
7a,Ginkgo biloba L.,9,0.376,0.109,15.0,307,tree,non-native
7a,Ginkgo biloba L.,10,0.898,0.294,31.9,320,tree,non-native
7b,Ginkgo biloba L.,1,0.142,0.040,4.3,477,tree,non-native
7b,Ginkgo biloba L.,2,0.355,0.104,11.9,377,tree,non-native
7b,Ginkgo biloba L.,3,0.350,0.098,13.0,335,tree,non-native
7b,Ginkgo biloba L.,4,0.389,0.114,13.4,345,tree,non-native
7b,Ginkgo biloba L.,5,0.775,0.228,29.2,313,tree,non-native
7b,Ginkgo biloba L.,6,0.933,0.281,35.3,322,tree,non-native
7b,Ginkgo biloba L.,7,0.357,0.100,15.9,277,tree,non-native
7b,Ginkgo biloba L.,8,0.705,0.188,31.2,250,tree,non-native
7b,Ginkgo biloba L.,9,0.530,0.157,21.6,285,tree,non-native
7b,Ginkgo biloba L.,10,0.719,0.214,28.3,305,tree,non-native
7c,Ginkgo biloba L.,1,0.220,0.061,7.6,332,tree,non-native
7c,Ginkgo biloba L.,2,0.355,0.099,11.5,402,tree,non-native
7c,Ginkgo biloba L.,3,0.299,0.079,10.1,360,tree,non-native
7c,Ginkgo biloba L.,4,0.527,0.141,16.6,365,tree,non-native
7c,Ginkgo biloba L.,5,0.467,0.117,15.8,362,tree,non-native
7c,Ginkgo biloba L.,6,0.597,0.166,19.4,367,tree,non-native
7c,Ginkgo biloba L.,7,0.929,0.252,30.9,348,tree,non-native
7c,Ginkgo biloba L.,8,0.733,0.207,30.7,282,tree,non-native
7c,Ginkgo biloba L.,9,0.683,0.206,26.2,293,tree,non-native
7c,Ginkgo biloba L.,10,0.611,0.172,27.1,253,tree,non-native
8a,Eucalyptus pauciflora Sieber ex. Sprengel,1,0.858,0.400,19.5,480,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,2,1.462,0.665,32.3,433,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,3,0.954,0.445,22.2,403,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,4,0.765,0.286,13.5,537,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,5,1.262,0.470,22.0,552,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,6,1.693,0.780,37.2,445,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,7,0.812,0.380,19.3,412,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,8,1.105,0.497,26.5,423,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,9,0.876,0.411,20.2,473,tree,Australian_species
8a,Eucalyptus pauciflora Sieber ex. Sprengel,10,0.610,0.291,14.6,417,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,1,1.102,0.520,24.4,448,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,2,1.679,0.763,30.9,492,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,3,1.022,0.463,23.1,455,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,4,1.046,0.497,25.6,390,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,5,1.520,0.676,30.7,473,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,6,1.490,0.673,31.1,470,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,7,1.801,0.783,32.0,523,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,8,1.404,0.670,28.9,443,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,9,0.710,0.331,16.3,430,tree,Australian_species
8b,Eucalyptus pauciflora Sieber ex. Sprengel,10,1.840,0.883,37.3,450,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,1,2.244,1.125,35.6,565,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,2,2.219,1.084,32.9,623,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,3,2.054,1.012,35.9,557,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,4,0.947,0.445,19.0,490,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,5,0.814,0.379,17.3,480,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,6,1.394,0.652,27.8,460,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,7,2.431,1.211,47.1,487,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,8,3.144,1.548,64.7,443,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,9,1.010,0.479,22.5,432,tree,Australian_species
8c,Eucalyptus pauciflora Sieber ex. Sprengel,10,0.921,0.448,19.6,482,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,1,0.301,0.129,11.2,317,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,2,0.224,0.097,8.3,323,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,3,0.327,0.137,11.1,317,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,4,0.232,0.097,8.9,293,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,5,0.373,0.159,12.6,337,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,6,0.255,0.107,10.0,298,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,7,0.283,0.121,10.8,340,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,8,0.385,0.172,14.5,355,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,9,0.374,0.156,13.0,363,tree,Australian_species
9a,Callistemon viminalis Sweet ex. G.Don,10,0.149,0.039,6.6,277,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,1,0.174,0.043,6.5,360,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,2,0.188,0.046,7.2,328,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,3,0.260,0.065,9.8,347,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,4,0.235,0.058,9.3,365,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,5,0.256,0.066,9.3,370,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,6,0.123,0.029,4.9,290,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,7,0.168,0.041,6.6,308,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,8,0.191,0.048,7.6,313,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,9,0.173,0.042,6.9,305,tree,Australian_species
9b,Callistemon viminalis Sweet ex. G.Don,10,0.104,0.025,4.2,273,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,1,0.145,0.064,5.3,310,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,2,0.217,0.093,7.9,357,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,3,0.181,0.077,6.8,320,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,4,0.279,0.118,9.6,327,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,5,0.290,0.120,10.7,357,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,6,0.252,0.110,8.8,367,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,7,0.193,0.082,7.1,317,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,8,0.242,0.102,8.7,355,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,9,0.187,0.094,6.4,340,tree,Australian_species
9c,Callistemon viminalis Sweet ex. G.Don,10,0.099,0.051,3.4,313,tree,Australian_species
10a,Convolvulus mauritanicus Boiss.,1,0.040,0.009,2.0,295,tree,non-native
10a,Convolvulus mauritanicus Boiss.,2,0.039,0.009,2.1,287,tree,non-native
10a,Convolvulus mauritanicus Boiss.,3,0.054,0.012,2.7,298,tree,non-native
10a,Convolvulus mauritanicus Boiss.,4,0.042,0.009,2.0,292,tree,non-native
10a,Convolvulus mauritanicus Boiss.,5,0.035,0.009,1.8,307,tree,non-native
10a,Convolvulus mauritanicus Boiss.,6,0.027,0.007,1.5,303,tree,non-native
10a,Convolvulus mauritanicus Boiss.,7,0.020,0.005,1.1,320,tree,non-native
10a,Convolvulus mauritanicus Boiss.,8,0.045,0.011,2.4,298,tree,non-native
10a,Convolvulus mauritanicus Boiss.,9,0.042,0.010,2.3,298,tree,non-native
10a,Convolvulus mauritanicus Boiss.,10,0.045,0.012,2.4,298,tree,non-native
10b,Convolvulus mauritanicus Boiss.,1,0.047,0.011,2.5,330,tree,non-native
10b,Convolvulus mauritanicus Boiss.,2,0.060,0.014,2.7,330,tree,non-native
10b,Convolvulus mauritanicus Boiss.,3,0.054,0.012,3.0,340,tree,non-native
10b,Convolvulus mauritanicus Boiss.,4,0.038,0.010,2.0,337,tree,non-native
10b,Convolvulus mauritanicus Boiss.,5,0.042,0.010,2.2,287,tree,non-native
10b,Convolvulus mauritanicus Boiss.,6,0.029,0.007,1.7,267,tree,non-native
10b,Convolvulus mauritanicus Boiss.,7,0.038,0.009,2.1,333,tree,non-native
10b,Convolvulus mauritanicus Boiss.,8,0.042,0.010,2.5,320,tree,non-native
10b,Convolvulus mauritanicus Boiss.,9,0.032,0.007,1.8,300,tree,non-native
10b,Convolvulus mauritanicus Boiss.,10,0.024,0.006,1.3,268,tree,non-native
10c,Convolvulus mauritanicus Boiss.,1,0.022,0.005,1.6,222,tree,non-native
10c,Convolvulus mauritanicus Boiss.,2,0.030,0.008,1.9,230,tree,non-native
10c,Convolvulus mauritanicus Boiss.,3,0.046,0.012,2.7,327,tree,non-native
10c,Convolvulus mauritanicus Boiss.,4,0.037,0.010,2.3,277,tree,non-native
10c,Convolvulus mauritanicus Boiss.,5,0.053,0.014,3.0,310,tree,non-native
10c,Convolvulus mauritanicus Boiss.,6,0.035,0.010,2.2,273,tree,non-native
10c,Convolvulus mauritanicus Boiss.,7,0.022,0.005,1.3,233,tree,non-native
10c,Convolvulus mauritanicus Boiss.,8,0.024,0.006,1.4,323,tree,non-native
10c,Convolvulus mauritanicus Boiss.,9,0.028,0.006,1.8,300,tree,non-native
10c,Convolvulus mauritanicus Boiss.,10,0.028,0.007,1.9,233,tree,non-native
11a,Salix babylonica L.,1,0.087,0.028,4.4,417,tree,non-native
11a,Salix babylonica L.,2,0.118,0.038,6.2,405,tree,non-native
11a,Salix babylonica L.,3,0.124,0.045,6.4,447,tree,non-native
11a,Salix babylonica L.,4,0.158,0.053,8.4,417,tree,non-native
11a,Salix babylonica L.,5,0.173,0.061,9.1,420,tree,non-native
11a,Salix babylonica L.,6,0.137,0.047,7.3,403,tree,non-native
11a,Salix babylonica L.,7,0.189,0.060,10.3,403,tree,non-native
11a,Salix babylonica L.,8,0.218,0.081,10.8,460,tree,non-native
11a,Salix babylonica L.,9,0.235,0.087,11.5,450,tree,non-native
11a,Salix babylonica L.,10,0.223,0.080,11.8,405,tree,non-native
11b,Salix babylonica L.,1,0.103,0.027,5.4,367,tree,non-native
11b,Salix babylonica L.,2,0.131,0.039,6.5,387,tree,non-native
11b,Salix babylonica L.,3,0.142,0.044,7.4,395,tree,non-native
11b,Salix babylonica L.,4,0.153,0.052,7.7,405,tree,non-native
11b,Salix babylonica L.,5,0.161,0.053,8.9,380,tree,non-native
11b,Salix babylonica L.,6,0.195,0.067,10.0,437,tree,non-native
11b,Salix babylonica L.,7,0.191,0.067,10.0,410,tree,non-native
11b,Salix babylonica L.,8,0.205,0.073,10.9,463,tree,non-native
11b,Salix babylonica L.,9,0.231,0.084,12.1,473,tree,non-native
11b,Salix babylonica L.,10,0.279,0.104,13.7,457,tree,non-native
11c,Salix babylonica L.,1,0.145,0.042,6.7,457,tree,non-native
11c,Salix babylonica L.,2,0.166,0.052,7.8,400,tree,non-native
11c,Salix babylonica L.,3,0.170,0.053,8.9,410,tree,non-native
11c,Salix babylonica L.,4,0.192,0.064,9.1,420,tree,non-native
11c,Salix babylonica L.,5,0.202,0.070,10.4,437,tree,non-native
11c,Salix babylonica L.,6,0.161,0.052,8.7,360,tree,non-native
