species,tissue,total_annual_rainfall_mm,Delta13C_permil,delta13C_permil,total_annual_rainfall_mm_digitized,delta13C_permil_digitized
Eucalyptus dichromophloia,wood,407,17.2,-25,406.6698008765677,17.16715052344506
Eucalyptus dichromophloia,wood,395,17.8,-25.6,395.04542076767916,17.812263569983287
Eucalyptus dichromophloia,wood,382,18.8,-26.6,382.3913010509714,18.83803994017771
Eucalyptus gamophylla,leaf,282,17.2,-25,282.2878811818614,17.17428835
Eucalyptus gamophylla,leaf,282,17.2,-25,282.2878811818614,17.17428835
Eucalyptus gamophylla,leaf,249,18.5,-26.3,249.06304313477654,18.455118568449638
Eucalyptus gamophylla,leaf,232,17.9,-25.7,232.46168431031765,17.85737840065952
Eucalyptus gamophylla,leaf,197,17.5,-25.3,196.68194027492495,17.49017991368023
Eucalyptus gamophylla,wood,203,15.5,-23.3,203.00837415073465,15.493089568886088
Eucalyptus gamophylla,wood,225,16.2,-24,225.2283141096541,16.16269822
Eucalyptus gamophylla,wood,250,16.7,-24.5,249.5054510981197,16.660637214490084
Eucalyptus gamophylla,wood,281,16.5,-24.3,281.4804866487598,16.525629212938266
Eucalyptus gamophylla,wood,288,15.7,-23.5,288.1719070943277,15.674555065224771
Eucalyptus leucophloia,leaf,748,20.1,-27.9,747.9974367190003,20.085649993992156
Eucalyptus leucophloia,leaf,671,20.2,-28,670.9174409911353,20.16062787420669
Eucalyptus leucophloia,leaf,675,19.8,-27.6,674.7837232,19.775776377161456
Eucalyptus leucophloia,leaf,456,18.7,-26.5,455.53775499305766,18.685975509847403
Eucalyptus leucophloia,leaf,398,18.2,-26,398.38726903770157,18.233836171583995
Eucalyptus leucophloia,leaf,389,19.2,-27,389.43714621382037,19.21344227555245
Eucalyptus leucophloia,leaf,389,19.2,-27,389.43714621382037,19.21344227555245
Eucalyptus leucophloia,leaf,350,18.1,-25.9,350.2403076,18.109746905960872
Eucalyptus leucophloia,leaf,298,17.7,-25.5,298.1416212752322,17.668793078964903
Eucalyptus leucophloia,wood,750,19.4,-27.2,749.9946598312506,19.381312331370772
Eucalyptus leucophloia,wood,677,18.7,-26.5,676.7809462779023,18.704064578850208
Eucalyptus leucophloia,wood,677,18.7,-26.5,676.7809462779023,18.704064578850208
Eucalyptus leucophloia,wood,456,18.1,-25.9,456.3494606429563,18.10930997192699
Eucalyptus leucophloia,wood,395,17.3,-25.1,395.49289757556335,17.34659792237867
Eucalyptus leucophloia,wood,406,17.6,-25.4,405.5751362,17.645635575169038
Eucalyptus leucophloia,wood,373,17.8,-25.6,373.3632382783296,17.81577768796356
Eucalyptus leucophloia,wood,347,17.6,-25.4,347.34593613158177,17.57319191235103
Eucalyptus leucophloia,wood,300,17.3,-25.1,300.26700843746653,17.25423006761554
Eucalyptus miniata,leaf,1577,21.6,-29.4,1576.8359561022257,21.559518332769148
Eucalyptus miniata,leaf,1454,21.4,-29.2,1454.1345683932157,21.441185516601216
Eucalyptus miniata,leaf,1388,21.5,-29.3,1388.4552331294776,21.521268436854154
Eucalyptus miniata,leaf,1249,21.1,-28.9,1249.3039135922058,21.05994065239931
Eucalyptus miniata,leaf,1196,22,-29.8,1196.0687383342784,22.00078059805547
Eucalyptus miniata,leaf,1103,21.2,-29,1103.2902472443418,21.228616422909692
Eucalyptus miniata,leaf,988,20,-27.8,988.4471769,19.97855249435292
Eucalyptus miniata,leaf,900,21,-28.8,900.4843678180679,21.020974130799722
Eucalyptus miniata,leaf,835,21.3,-29.1,835.0677061164577,21.33879762191541
Eucalyptus miniata,leaf,765,20.4,-28.2,764.6164678073953,20.40637802805318
Eucalyptus miniata,leaf,765,20.4,-28.2,764.6164678073953,20.40637802805318
Eucalyptus miniata,wood,1577,20.2,-28,1577.3175242994603,20.248362064601075
Eucalyptus miniata,wood,1454,19.7,-27.5,1454.2987393695457,19.67721139
Eucalyptus miniata,wood,1391,19.8,-27.6,1391.3774765081507,19.84714125944122
Eucalyptus miniata,wood,1247,19.5,-27.3,1247.125911972895,19.515701880318318
Eucalyptus miniata,wood,1200,19.4,-27.2,1199.6804998135374,19.436066851118248
Eucalyptus miniata,wood,1109,18.7,-26.5,1108.7407236584963,18.695971675357875
Eucalyptus miniata,wood,989,19.1,-26.9,988.7317399612975,19.127380337481085
Eucalyptus miniata,wood,909,19.1,-26.9,909.3496005398856,19.14896868622936
Eucalyptus miniata,wood,838,18.7,-26.5,838.2088441302375,18.749449867070407
Eucalyptus miniata,wood,780,19,-26.8,780.4425499256032,19.01406390110528
Eucalyptus miniata,wood,766,18.5,-26.3,765.8422777639923,18.523891932845686
Eucalyptus odontocarpa,leaf,400,18.2,-26,400.3870471,18.179084298023152
Eucalyptus odontocarpa,leaf,400,18.2,-26,400.3870471,18.179084298023152
Eucalyptus odontocarpa,leaf,352,18.3,-26.1,351.8707999667124,18.319439666551997
Eucalyptus odontocarpa,leaf,322,17.6,-25.4,321.92076058604744,17.602942470619293
Eucalyptus odontocarpa,leaf,278,17.1,-24.9,277.5042575651396,17.14168340040161
Eucalyptus odontocarpa,wood,398,16,-23.8,397.8677387125142,16.04623310959463
Eucalyptus odontocarpa,wood,403,17.4,-25.2,403.3288482965538,17.44178660287847
Eucalyptus odontocarpa,wood,367,17.3,-25.1,367.4873826740811,17.32440778578686
Eucalyptus odontocarpa,wood,353,17.1,-24.9,352.52018692298066,17.05796939126539
Eucalyptus odontocarpa,wood,324,16.3,-24.1,324.0410481179597,16.284126819043657
Eucalyptus odontocarpa,wood,280,15.7,-23.5,280.00791811942713,15.683344400265607
Eucalyptus pachyphylla,leaf,378,18.2,-26,377.89647824148415,18.207236361199357
Eucalyptus pachyphylla,leaf,283,18.1,-25.9,283.4125889417585,18.08381537273123
Eucalyptus pachyphylla,leaf,313,17.2,-25,312.5111949075697,17.182487684101073
Eucalyptus pachyphylla,leaf,282,17.1,-24.9,282.0965715865209,17.085619931794238
Eucalyptus pachyphylla,wood,376,17.2,-25,375.85703614126214,17.17043560846476
Eucalyptus pachyphylla,wood,311,17.5,-25.3,310.95660130664555,17.52993549027949
Eucalyptus pachyphylla,wood,279,17.7,-25.5,278.8103762023893,17.727666870237826
Eucalyptus pachyphylla,wood,277,17.4,-25.2,277.1480384905101,17.379574568036077
Eucalyptus pruinosa,leaf,800,21.2,-29,800.0588540765103,21.165070172900073
Eucalyptus pruinosa,leaf,734,22.6,-30.4,734.4330967630258,22.599512719033946
Eucalyptus pruinosa,leaf,669,20.9,-28.7,669.3768391898908,20.880170039647357
Eucalyptus pruinosa,leaf,683,20.2,-28,683.0327159,20.197695134611948
Eucalyptus pruinosa,leaf,544,19.5,-27.3,544.1595984074772,19.484892474820697
Eucalyptus pruinosa,leaf,478,20.4,-28.2,478.20668166868654,20.374439665639365
Eucalyptus pruinosa,leaf,406,20.2,-28,406.4497143846288,20.165861034421212
Eucalyptus pruinosa,leaf,402,19.7,-27.5,401.6634931625413,19.736351739418794
Eucalyptus pruinosa,leaf,347,19.9,-27.7,346.84611389994757,19.87905286361763
Eucalyptus pruinosa,leaf,380,18,-25.8,379.79227972996296,17.964889507984914
Eucalyptus pruinosa,wood,798,19.4,-27.2,798.3018867924532,19.43478138335326
Eucalyptus pruinosa,wood,740,19.9,-27.7,739.8615198199751,19.855453451804312
Eucalyptus pruinosa,wood,686,19.3,-27.1,686.4375973688769,19.30784667
Eucalyptus pruinosa,wood,670,18.9,-26.7,670.2977323870522,18.870705229500423
Eucalyptus pruinosa,wood,542,18.3,-26.1,542.1118227453692,18.282125856573327
Eucalyptus pruinosa,wood,475,19.3,-27.1,475.33494893543366,19.31316909524292
Eucalyptus pruinosa,wood,405,18.8,-26.6,405.08049160463906,18.80010784011845
Eucalyptus pruinosa,wood,362,19.3,-27.1,362.1499047948764,19.257534737180883
Eucalyptus pruinosa,wood,384,18.4,-26.2,383.5849056603772,18.419404137206552
Eucalyptus pruinosa,wood,345,18.5,-26.3,344.9437424268649,18.46690422992017
Eucalyptus tectifica,leaf,1384,19.2,-27,1383.5287170669856,19.22371274901897
Eucalyptus tectifica,leaf,1217,20.5,-28.3,1217.266711822018,20.52827752
Eucalyptus tectifica,leaf,1119,21.4,-29.2,1119.4376421959391,21.40016048
Eucalyptus tectifica,leaf,991,21.1,-28.9,990.8873026624287,21.126850795481616
Eucalyptus tectifica,leaf,919,19.8,-27.6,919.4029073099568,19.80623848150145
Eucalyptus tectifica,leaf,850,20.3,-28.1,850.2648535056185,20.28575906121886
Eucalyptus tectifica,wood,1384,19.2,-27,1383.5287170669856,19.22371274901897
Eucalyptus tectifica,wood,1212,19.4,-27.2,1212.306570103684,19.39602321878565
Eucalyptus tectifica,wood,1126,18.6,-26.4,1126.2821514788372,18.643895039053195
Eucalyptus tectifica,wood,987,19.4,-27.2,987.2644541,19.375161415693995
Eucalyptus tectifica,wood,917,20.2,-28,917.3240243838902,20.18114915436982
Eucalyptus tectifica,wood,844,19,-26.8,844.4293926605187,19.036157115454536
Eucalyptus terminalis,leaf,731,19.5,-27.3,731.1071456280549,19.51190140067026
Eucalyptus terminalis,leaf,670,19.2,-27,669.9868104585305,19.244779710536328
Eucalyptus terminalis,leaf,670,20.2,-28,669.5957793467297,20.21820257546556
Eucalyptus terminalis,leaf,497,19.2,-27,496.92295756071076,19.175544125409704
Eucalyptus terminalis,leaf,476,19.7,-27.5,476.2634804872371,19.73757994623194
Eucalyptus terminalis,leaf,391,20.5,-28.3,390.75801070680427,20.500349860669523
Eucalyptus terminalis,leaf,394,20.8,-28.6,393.9731554038326,20.755293944341464
Eucalyptus terminalis,leaf,394,20.8,-28.6,393.9731554038326,20.755293944341464
Eucalyptus terminalis,leaf,335,19.6,-27.4,335.49228023896353,19.59223432071789
Eucalyptus terminalis,leaf,257,20.3,-28.1,256.74295911242143,20.323578153963247
Eucalyptus terminalis,leaf,227,18.2,-26,226.62270152843507,18.20909392
Eucalyptus terminalis,leaf,283,18.7,-26.5,283.46341841880667,18.73557898871853
Eucalyptus terminalis,leaf,286,17.3,-25.1,286.3527038560012,17.294889579062374
Eucalyptus terminalis,leaf,277,17.7,-25.5,276.6095119869656,17.667485054197712
Eucalyptus terminalis,leaf,288,18.1,-25.9,288.1449297850879,18.067283730865075
Eucalyptus terminalis,leaf,330,18.5,-26.3,330.44146171153693,18.548200979609874
Eucalyptus terminalis,leaf,368,18.5,-26.3,367.6545892,18.52040854
Eucalyptus terminalis,wood,732,17.8,-25.6,731.5742105671503,17.83306121947926
Eucalyptus terminalis,wood,670,18.4,-26.2,669.8347428039414,18.40668540774113
Eucalyptus terminalis,wood,499,18.4,-26.2,499.3886259601211,18.366224328206137
Eucalyptus terminalis,wood,472,17.6,-25.4,471.6797269,17.61877462834976
Eucalyptus terminalis,wood,270,18.9,-26.7,269.94025913569703,18.921483900271294
Eucalyptus terminalis,wood,270,18.9,-26.7,269.94025913569703,18.921483900271294
Eucalyptus terminalis,wood,243,17.6,-25.4,243.44790131119566,17.59952615361952
Eucalyptus terminalis,wood,283,15.3,-23.1,282.87687175110545,15.28106701366298
Eucalyptus terminalis,wood,300,16,-23.8,299.57172782993257,15.953192325161734
Eucalyptus terminalis,wood,266,16.4,-24.2,265.8887423384281,16.388934582192707
Eucalyptus terminalis,wood,228,16,-23.8,228.11079214834353,15.984520199850236
Eucalyptus terminalis,wood,288,16.9,-24.7,287.8625184265652,16.860227593572382
Eucalyptus terminalis,wood,277,17.1,-24.9,277.1526107533555,17.05143565632634
Eucalyptus terminalis,wood,277,17.1,-24.9,277.1526107533555,17.05143565632634
Eucalyptus terminalis,wood,325,17,-24.8,324.5759950345255,17.046230711628876
Eucalyptus terminalis,wood,336,17.4,-25.2,336.11141283264806,17.35332244877917
Eucalyptus terminalis,wood,364,17.5,-25.3,364.3091008,17.544530511533125
Eucalyptus terminalis,wood,409,17.9,-25.7,409.31026456668474,17.905242999717657
Eucalyptus terminalis,wood,409,17.9,-25.7,409.31026456668474,17.905242999717657
Eucalyptus tetrodonta,leaf,1572,21.3,-29.1,1571.541772218472,21.287837183007593
Eucalyptus tetrodonta,leaf,1448,20.1,-27.9,1448.4682205061226,20.08072512207547
Eucalyptus tetrodonta,leaf,1214,19.8,-27.6,1213.6111427644787,19.824074649304823
Eucalyptus tetrodonta,leaf,1191,19,-26.8,1190.5279489494494,18.998558701837656
Eucalyptus tetrodonta,leaf,994,19.1,-26.9,993.7992514222101,19.09746157573649
Eucalyptus tetrodonta,leaf,900,20.2,-28,899.736157,20.245132512456046
Eucalyptus tetrodonta,leaf,836,21.2,-29,835.5180000525934,21.217760272355655
Eucalyptus tetrodonta,leaf,756,20.5,-28.3,755.8006013165844,20.460333238075123
Eucalyptus tetrodonta,leaf,756,20.5,-28.3,755.8006013165844,20.460333238075123
Eucalyptus tetrodonta,wood,1568,19.6,-27.4,1568.265210416977,19.551818396431543
Eucalyptus tetrodonta,wood,1450,19.2,-27,1449.756756046037,19.164158890697415
Eucalyptus tetrodonta,wood,1217,18.6,-26.4,1216.8631610318798,18.623224780388405
Eucalyptus tetrodonta,wood,1191,19,-26.8,1190.5279489494494,18.998558701837656
Eucalyptus tetrodonta,wood,992,18.3,-26.1,991.9462146,18.298187194811327
Eucalyptus tetrodonta,wood,897,19,-26.8,897.0977270934317,18.997564703105002
Eucalyptus tetrodonta,wood,831,19,-26.8,830.8792721089023,18.951940161276294
Eucalyptus tetrodonta,wood,780,18.5,-26.3,779.6446446885166,18.45056720052682
Eucalyptus tetrodonta,wood,756,19.2,-27,756.1687543279891,19.22012102
